
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly Andy and I co Renee rich you'll join me. We got lots to talk about
[01:30:44.400 --> 01:30:50.720]   Um a lot of people were going to be deeply affected by this. It was very very generous of her to write something like that and make it public
[01:30:50.720 --> 01:30:52.720]   Yeah, no kidding
[01:30:52.720 --> 01:30:56.560]   Uh even down to his uh his final words
[01:30:56.560 --> 01:31:00.640]   That beautiful beautiful piece so appropriate for us to
[01:31:00.640 --> 01:31:03.680]   commemorate those two
[01:31:03.680 --> 01:31:05.680]   anniversaries
[01:31:05.680 --> 01:31:09.040]   Tim cook does he speak french talking with the president of france
[01:31:09.040 --> 01:31:13.200]   The young just turned forward. I'd love to hear his accent
[01:31:13.200 --> 01:31:18.320]   Hey zuckerberg speaks chinese at least uh, tim could speak french
[01:31:18.320 --> 01:31:22.960]   Yall i think it was using those google buds to do like instant translation those were pretty amazing
[01:31:22.960 --> 01:31:26.480]   Translation answer the question. I cannot wait to use those
[01:31:26.480 --> 01:31:34.000]   Uh the next time i'm at the un no actually i'm going to japan as i mentioned in korea in uh the spring and I will definitely have
[01:31:34.000 --> 01:31:38.960]   Those will be your novel fish. Yeah, because I keep I mean I can get along and in romance languages
[01:31:38.960 --> 01:31:44.160]   Well enough because they sound like a little bit like english even german, but boy japanese
[01:31:44.160 --> 01:31:49.840]   Baffles me so that will be cafe cafe. I don't know what you're saying. I'm sure it's good
[01:31:49.840 --> 01:31:53.760]   Coffee. Yeah, really say you say coffee in japanese
[01:31:53.760 --> 01:31:59.200]   No in uh in all the romantic language. Yeah, no right. I but that's a perfect example
[01:31:59.280 --> 01:32:03.200]   I could get coffee in almost any country even china isn't it yum yum cafe?
[01:32:03.200 --> 01:32:06.800]   I think so i studied so i can even fake japanese, but
[01:32:06.800 --> 01:32:11.840]   Japanese that's that's you know, that's part of the that's part of the smart firm revolution like to get around
[01:32:11.840 --> 01:32:17.680]   I used to like never really trust myself using taxis and like non english countries at point
[01:32:17.680 --> 01:32:22.720]   But now it's in chapan in chapan in china all I needed to know was take me here, please
[01:32:22.720 --> 01:32:28.880]   And then just and then simply show here is the name of the place in the actual local language near the map
[01:32:28.960 --> 01:32:33.920]   Yeah, now you now you might actually be able to do it. Okay. Yeah, say say it into your phone
[01:32:33.920 --> 01:32:40.000]   Hold the phone. I I will not I would not have the guts to try that with a french waiter though in france
[01:32:40.000 --> 01:32:44.960]   Give give him another reason to hate you and spit. I know I might be too embarrassed to use it anywhere
[01:32:44.960 --> 01:32:50.960]   You're attempting to speak french you and imo I buried the lead the biggest story of the week
[01:32:50.960 --> 01:32:55.040]   Google is gonna buy apple. Yeah
[01:32:57.520 --> 01:33:00.960]   For a mere nine billion dollars, which would be a really good deal
[01:33:00.960 --> 01:33:03.840]   Accidental news report is amazing
[01:33:03.840 --> 01:33:12.160]   Uh, this was uh somehow an accidental uh post on uh the dow Jones and newswire
[01:33:12.160 --> 01:33:17.120]   I think somebody was messing around in a surprise move to everyone who is alive
[01:33:17.120 --> 01:33:20.720]   Google said it's going to buy apple for nine billion dollars
[01:33:20.720 --> 01:33:24.880]   Google chief executive larry page had secret talks with an out of c steve jobs
[01:33:25.360 --> 01:33:29.440]   In 2010 to firm up the deal the deal was announcement jobs will was red and kupertino
[01:33:29.440 --> 01:33:34.560]   The deal which is expected to close tomorrow gives each google shell holder nine shares of apple stock
[01:33:34.560 --> 01:33:36.400]   Worth
[01:33:36.400 --> 01:33:42.720]   Uh, what is that 1350 bucks? Obviously google will move into apple's fancy headquarters google employees said that's part yay
[01:33:42.720 --> 01:33:44.880]   That's the best part right there
[01:33:44.880 --> 01:33:48.720]   Well, that's see that that that makes sense because there are there are two o's and google
[01:33:48.720 --> 01:33:52.560]   There are no o's and apple so they could just keep adding on as they keep going
[01:33:53.520 --> 01:33:55.520]   uh
[01:33:55.520 --> 01:33:59.040]   Yes, accidental news
[01:33:59.040 --> 01:34:04.400]   That see that that's a whole that remember the good old days when like that in the press room
[01:34:04.400 --> 01:34:08.000]   They would they need to test out equipment so they would of course write stories that of course
[01:34:08.000 --> 01:34:10.080]   I'm never going to be printed eight million times
[01:34:10.080 --> 01:34:15.920]   But now the same person on the same motivation the same authority hits the one wrong button
[01:34:15.920 --> 01:34:20.160]   And suddenly oh look it's happening. Let's take the thought market
[01:34:21.200 --> 01:34:23.840]   You know the funniest thing and actually in a way
[01:34:23.840 --> 01:34:26.800]   catastrophe averted
[01:34:26.800 --> 01:34:29.840]   Programmatic trading doesn't know from crazy
[01:34:29.840 --> 01:34:33.680]   And that fact apple stock price briefly went up
[01:34:33.680 --> 01:34:39.680]   Uh due to program act trading but imagine if you know they'd really glommed onto this
[01:34:39.680 --> 01:34:48.880]   Anyway, it was just a test or is this or is this like those things someone like amazon like incorrectly keys in the price of like a
[01:34:49.280 --> 01:34:53.920]   $1000 pair of headphones to 30 cents and they they sell 30 but they have to honor the price
[01:34:53.920 --> 01:34:58.160]   Does apple have to honor this $9 billion price of google wants to actually take over
[01:34:58.160 --> 01:35:01.440]   Google has to give them nine billion but apple doesn't have to sell anymore. I think it's
[01:35:01.440 --> 01:35:07.760]   Uh, all right. Let's uh, I think we uh anything else that I miss any other big stories
[01:35:07.760 --> 01:35:10.560]   There's a lot of them. I don't need to talk about the qualcom apple
[01:35:10.560 --> 01:35:13.200]   War it's actually a good piece though in bloomberg
[01:35:13.680 --> 01:35:18.960]   Over an 18 dollar part apple and qualcom's billion dollar war. I just like the graphic
[01:35:18.960 --> 01:35:25.200]   The in hindsight that was bruce. Who was last probably his last interview as head counsel for apple. Oh, that's right. He's moving on
[01:35:25.200 --> 01:35:27.200]   Isn't he's retiring retiring?
[01:35:27.200 --> 01:35:33.360]   Uh apple pays two billion dollars a year to qualcom in patent fees
[01:35:33.360 --> 01:35:37.680]   And it doesn't want to do that anymore and it's withholding payments
[01:35:37.680 --> 01:35:41.760]   So uh that one's going to go on for a while. I have a feeling
[01:35:42.560 --> 01:35:46.320]   Although given that qualcom's two billion dollars in the whole every year
[01:35:46.320 --> 01:35:48.880]   They might be somewhat incentive to resolve this
[01:35:48.880 --> 01:35:55.520]   And given that apple still has what 21 letters left in there silicon alphabet. Yeah. Yeah, and one of those could be m for modem
[01:35:55.520 --> 01:35:59.280]   Yeah, well, I you got to think apple's working hard on replacing
[01:35:59.280 --> 01:36:04.160]   Yeah, i mean the w2 already does a lot more than w1 did in this only a year later. Yeah. Yeah
[01:36:04.160 --> 01:36:07.600]   That would be interesting. Maybe that would be in the next phone, huh
[01:36:08.960 --> 01:36:12.320]   apple would like to make the i'll tell you two trends you're gonna
[01:36:12.320 --> 01:36:15.040]   One is getting rid of all holes
[01:36:15.040 --> 01:36:18.160]   No more no more lightning jack no more headphone jack just a
[01:36:18.160 --> 01:36:20.800]   Everybody everybody
[01:36:20.800 --> 01:36:22.800]   All be
[01:36:22.800 --> 01:36:25.680]   No more belly buttons
[01:36:25.680 --> 01:36:27.200]   Uh
[01:36:27.200 --> 01:36:30.800]   And the other one will be getting rid of all non apple parts in the iphone like
[01:36:30.800 --> 01:36:36.800]   It should all be apple book and could they do that is there? There's kind of there's different where it provides significant differentiation
[01:36:36.800 --> 01:36:40.480]   They want to control the technology. I like sony still makes the camera parts, right?
[01:36:40.480 --> 01:36:44.960]   Yeah, yeah, and it would take it would take them look out one
[01:36:44.960 --> 01:36:49.200]   It's taken them to become a chip fab and they are really really good chip designers
[01:36:49.200 --> 01:36:52.240]   Now imagine how long it's going to take for to be camera designers
[01:36:52.240 --> 01:36:57.040]   How long it's going to take them to be screen designers? I don't think yeah, I don't think they have enough bandwidth to do all of that
[01:36:57.040 --> 01:37:00.320]   I don't think they have the interest either even even
[01:37:00.320 --> 01:37:05.520]   I think they'd even be preferred to strong arm intel into making
[01:37:06.240 --> 01:37:11.280]   modem chips that are very very completely up to apple standards and apple specifications
[01:37:11.280 --> 01:37:13.520]   Rather than build their own
[01:37:13.520 --> 01:37:19.680]   Because just getting certification just just getting a just getting a modem chip that they know is going to work in every single market in which they are
[01:37:19.680 --> 01:37:22.240]   operating the iphone which includes Antarctica
[01:37:22.240 --> 01:37:25.440]   I think that they're going to be judicious
[01:37:25.440 --> 01:37:32.560]   When they they will do that when they can find a way to improve their product by taking control of the manufacturing other other than that they're not interested
[01:37:33.120 --> 01:37:37.600]   You also they often tell manufacturers to make very specific things that they don't want like they they are happy to engineer
[01:37:37.600 --> 01:37:40.080]   But they don't want to make themselves and when you look at things like
[01:37:40.080 --> 01:37:45.680]   The way the modem works or the way the screen is going to work like the apple is using a samsung panel for the iphone 10
[01:37:45.680 --> 01:37:52.080]   But they are doing things with that OLED screen that no one has ever done before the same way they do things with lcd screens that other companies
[01:37:52.080 --> 01:37:54.720]   Don't do like true tone or the you know
[01:37:54.720 --> 01:37:58.800]   Some of the other stuff that they've done with the way that you know 3d touch works and things like that
[01:37:58.880 --> 01:38:05.600]   So they're very happy to take the commodity part from the quantity part maker and then provide the differentiation by how they actually implement the technology
[01:38:05.600 --> 01:38:10.320]   You mentioned any we're seeing more and more iphone 10s in the wild here's some images
[01:38:10.320 --> 01:38:18.720]   collated by nine to five mac this one I like this shows the vertical orientation of the lens on the back and the beautiful
[01:38:18.720 --> 01:38:21.520]   fully mirrored surface
[01:38:21.520 --> 01:38:27.440]   On the steel gray version of the iphone everyone at apple going please don't let that be mine. Please don't let that be mine
[01:38:27.520 --> 01:38:31.840]   Yeah, really do you think there's some way that they could uh, I guess not there's no identity
[01:38:31.840 --> 01:38:37.040]   I would never risk. I mean, I know people who deliberately don't want to carry them just just in case someone snaps a float of the mountain
[01:38:37.040 --> 01:38:40.240]   Yeah, no, I know
[01:38:40.240 --> 01:38:43.600]   And of course for all we know this is an android phone modified
[01:38:43.600 --> 01:38:46.320]   Yeah, well
[01:38:46.320 --> 01:38:51.760]   Yeah, I think I think the real fireable offense is going to be if they let someone actually hold it
[01:38:52.240 --> 01:38:57.520]   Because they that they apple wasn't even terribly pleased that I let david letterman use my ipad
[01:38:57.520 --> 01:39:02.160]   Really? So wow. Yeah, I was yeah, so wow
[01:39:02.160 --> 01:39:08.160]   All right, which is which is understandable because I had had like two weeks worth of experience using it at that point and
[01:39:08.160 --> 01:39:11.520]   Letterman had had what four or five hours, so
[01:39:11.520 --> 01:39:15.920]   All right, let's take a break picks of the week
[01:39:15.920 --> 01:39:19.680]   Getting ready coming up in just a moment or show today
[01:39:20.480 --> 01:39:22.480]   brought to you by
[01:39:22.480 --> 01:39:26.320]   It's another it's another sponsor lottery
[01:39:26.320 --> 01:39:30.000]   Freshbox. Yeah, we love fresh books
[01:39:30.000 --> 01:39:33.920]   Used fresh books in 2004. That's how long they've been around
[01:39:33.920 --> 01:39:37.360]   Uh to do my invoices. They save me a lot
[01:39:37.360 --> 01:39:40.160]   Not a lot of not just a lot of time, but they actually
[01:39:40.160 --> 01:39:43.920]   Help me get paid faster. That's one of the things you find when you start invoicing
[01:39:43.920 --> 01:39:47.920]   With fresh books you get paid on average 11 days faster
[01:39:48.720 --> 01:39:50.720]   the professional looking invoices help
[01:39:50.720 --> 01:39:57.120]   What I think the secret there is that button on there on the invoice that goes to your client that says pay leo
[01:39:57.120 --> 01:39:59.760]   And they press the button. It's easy. It's easy
[01:39:59.760 --> 01:40:03.920]   But one of the things that's really changed since I started using fresh books all those years ago
[01:40:03.920 --> 01:40:07.680]   By the way 10 million people now use fresh books. So that's that's a big change
[01:40:07.680 --> 01:40:14.000]   But the dashboard now is really a full accounting system. You don't have not I don't want to say that because you don't have to do anything extra
[01:40:14.000 --> 01:40:16.320]   You're just setting out invoices
[01:40:16.560 --> 01:40:21.520]   You know, recording them paid putting your expenses in the things you do anyway with fresh books
[01:40:21.520 --> 01:40:26.240]   But because they know you're in you know, you're uh accounts receivable your accounts paid
[01:40:26.240 --> 01:40:30.320]   They know your expenses. They know your total profit. They know what's outstanding
[01:40:30.320 --> 01:40:33.920]   You can get all the information you need in fact for the first time ever
[01:40:33.920 --> 01:40:39.120]   For a lot of individuals and small businesses. You'll know whether you're making a profit at any given time
[01:40:39.120 --> 01:40:42.720]   Sticky headers make it really easy in this new dashboard
[01:40:43.200 --> 01:40:48.080]   You know how when you're looking to spread sheet and you scroll it up and then the you don't know now what columns you're looking at
[01:40:48.080 --> 01:40:51.760]   They've got sticky headers. So the headers shrink your main at the top
[01:40:51.760 --> 01:40:54.400]   So, you know exactly what you're looking at it really is elegant
[01:40:54.400 --> 01:41:01.120]   They constantly improve the dashboard, which I really like you could build for time by client or by specific project
[01:41:01.120 --> 01:41:04.240]   They actually have a timer built into the app or into the website
[01:41:04.240 --> 01:41:10.160]   So you just start the timer it keeps track of the time if you build for time and hours and automatically puts it into the
[01:41:11.200 --> 01:41:16.640]   invoice you go to sign services to projects and designate different rates for every service
[01:41:16.640 --> 01:41:22.880]   Time entries are sort of chronologically. So it's very easy for you to see and they go right into the invoice
[01:41:22.880 --> 01:41:25.680]   No extra typing on your part
[01:41:25.680 --> 01:41:31.200]   It's really great too because if people are slow to pay you'll know that you'll know when they viewed your invoice
[01:41:31.200 --> 01:41:39.440]   You'll know when they paid it. It can automatically send dink, you know little reminders getting increasingly vociferous if they don't pay
[01:41:40.800 --> 01:41:43.600]   Employees can now log on to the fresh books mobile app for iOS
[01:41:43.600 --> 01:41:48.240]   Which makes it easy for them to take care of business wherever they are full description of every line item
[01:41:48.240 --> 01:41:50.800]   Is now visible when you view an invoice on mobile?
[01:41:50.800 --> 01:41:55.120]   So you the invoices are actually informational for you as well as your client of course
[01:41:55.120 --> 01:42:00.800]   They've got great help great support straight out of the fresh books offices, but also in the app they have a new help widget
[01:42:00.800 --> 01:42:07.520]   Which makes it very easy forbs put fresh books in their small giants list for 2017. No wonder there's that great support team
[01:42:07.520 --> 01:42:09.600]   They're really nice people
[01:42:09.760 --> 01:42:16.720]   Fresh books stop laboring over your invoices and keeping track of your money and learn more and do it more easily
[01:42:16.720 --> 01:42:21.360]   Get paid faster with fresh books go to fresh books dot com slash mac break
[01:42:21.360 --> 01:42:24.000]   All you got to do is
[01:42:24.000 --> 01:42:28.240]   For me is when they ask how did you hear about us just put mac break weekly in that form
[01:42:28.240 --> 01:42:31.120]   fresh books dot com slash mac break
[01:42:31.120 --> 01:42:33.520]   We thank them so much
[01:42:33.520 --> 01:42:35.520]   For making my life a lot easier
[01:42:35.760 --> 01:42:40.240]   Going way back and making your life easier going forward for supporting
[01:42:40.240 --> 01:42:43.200]   back break weekly
[01:42:43.200 --> 01:42:45.120]   Andy and i co
[01:42:45.120 --> 01:42:47.120]   I love your pick of the week
[01:42:47.120 --> 01:42:54.080]   Yeah, uh, the game cuphead came out last week. So it's an amazing game
[01:42:54.080 --> 01:42:58.800]   It's so it's not available for mac yet. It isn't available for mobile yet, but the the whole way
[01:42:58.800 --> 01:43:00.000]   I
[01:43:00.000 --> 01:43:03.360]   The it's been in development for years and years and years. It is
[01:43:03.920 --> 01:43:05.920]   There's been no game like this. It is a
[01:43:05.920 --> 01:43:09.680]   cartoon hand drawn cartoon from 1932
[01:43:09.680 --> 01:43:15.440]   The max fly share studios disney studios again 1931 1932 as a game
[01:43:15.440 --> 01:43:20.720]   And it's not and it's not like you might have seen this like slapped at before with the idea
[01:43:20.720 --> 01:43:24.720]   Oh, you can see that this character this this 3d character. It looks a little bit like beddy boob
[01:43:24.720 --> 01:43:31.920]   And this one looks a little bit like popeye. It's no they this is all hand drawn animation and then process to look like it is
[01:43:32.880 --> 01:43:35.920]   35 millimeter 16 millimeter film complete with scratches
[01:43:35.920 --> 01:43:41.440]   But then when you play when the game is played it looks like you're watching a cartoon
[01:43:41.440 --> 01:43:48.000]   Really fun. It's like it's like a six minute short that ends with popeye and bluto fighting
[01:43:48.000 --> 01:43:51.680]   Now imagine just that part of the cartoon. Only that's the entire game
[01:43:51.680 --> 01:43:55.680]   So I can't I can't play the game. However, uh, I
[01:43:55.680 --> 01:43:59.920]   I found myself watching the entire play through video
[01:44:00.480 --> 01:44:05.520]   From a youtube user called the red brad. I can't imagine what it's like to play this game
[01:44:05.520 --> 01:44:11.200]   But oh my god. It's so fun to watch this game being played because the animation is so amazing
[01:44:11.200 --> 01:44:15.680]   So I'm recommending so my pick is both these these gameplay videos
[01:44:15.680 --> 01:44:18.720]   So again the one I the one I was watching was from the red brad
[01:44:18.720 --> 01:44:23.440]   I like the way he does these videos because it's not he's not hey dude
[01:44:23.440 --> 01:44:26.160]   Oh my god. I just turned he died
[01:44:26.640 --> 01:44:31.360]   He's just playing the game and like commenting to explain what's happening or he's reacting
[01:44:31.360 --> 01:44:33.440]   It is very very very very watchable
[01:44:33.440 --> 01:44:38.080]   But the other reason why I'm recommending it is the soundtrack to this game is amazing
[01:44:38.080 --> 01:44:40.080]   They put just as much work
[01:44:40.080 --> 01:44:43.680]   And creativity and beauty into the music going behind it
[01:44:43.680 --> 01:44:49.840]   And I was so disappointed because I went to I went to where you buy the game and you could only buy the soundtrack
[01:44:49.840 --> 01:44:52.480]   Uh, if as a add-on to the game
[01:44:53.440 --> 01:44:58.880]   $20 for the game and $10 for the soundtrack, but then I found out you could buy the soundtrack separately on bandcamp
[01:44:58.880 --> 01:45:04.720]   Uh, so if you go to studio m d h r dot band camp camp dot com, uh, you can buy
[01:45:04.720 --> 01:45:12.400]   Uh for at least $10, but I gave them extra money. I'd say three hour soundtrack that I'm not joking after I bought it
[01:45:12.400 --> 01:45:15.120]   I was I was listening to it from start to finish
[01:45:15.120 --> 01:45:18.880]   Uh, I listed this three hour start soundtrack from start to finish
[01:45:19.520 --> 01:45:24.880]   On saturday while I was just pottering around the house and really great like thirties jazz music
[01:45:24.880 --> 01:45:32.320]   Uh, you can also use it for music that will if you want to imagine you're in like a 1950s or 1960 detectives
[01:45:32.320 --> 01:45:38.160]   Movie, uh, and you are chasing someone through like the back streets of lower manhattan
[01:45:38.160 --> 01:45:42.640]   Uh, the music works for that too. I can't stop playing cop head
[01:45:42.640 --> 01:45:48.560]   Of course you have to have an xbox or windows machine to play it, but it is really it is really awkward
[01:45:49.200 --> 01:45:54.480]   When it comes to when it comes to something I can play on my on a mac or on android device. I
[01:45:54.480 --> 01:45:57.040]   Hope they release it. You know, it's only $20
[01:45:57.040 --> 01:46:00.800]   Uh, this was it's just incredible a lot of there's no
[01:46:00.800 --> 01:46:05.600]   There's I don't understand how people can actually play this game because I would be just sitting there
[01:46:05.600 --> 01:46:12.720]   Why is the animation and dying? It's really hard. It's really really hard. It's but it's a whole heck of a lot of fun
[01:46:12.720 --> 01:46:18.880]   It's I mean, it's it's got a so entertaining and so good looking and the music so good. You don't mind dying
[01:46:18.960 --> 01:46:21.280]   That's I think that's kind of the the point of it
[01:46:21.280 --> 01:46:24.960]   Uh, it's just a lot of fun. Really a lot of fun
[01:46:24.960 --> 01:46:25.520]   Gorgeous
[01:46:25.520 --> 01:46:31.440]   I'll go back to inkwell isle and uh and start playing them from the very beginning for you. It's it's just really
[01:46:31.440 --> 01:46:37.280]   Boy, it is it is great. I don't know how they do this for us so little frankly
[01:46:37.280 --> 01:46:44.000]   Yeah, that that just amazed me. I again I came so close to buying it just because i'm gonna buy it at some point sometime
[01:46:44.000 --> 01:46:46.720]   I do own a windows machine. I suppose I could play it
[01:46:47.600 --> 01:46:49.600]   Yeah
[01:46:49.600 --> 01:46:54.480]   Yeah, and you know this is uh, you don't really need a very high powered machine to play it actually whoa
[01:46:54.480 --> 01:46:59.440]   Oh, see that's pretty much the saga right there
[01:46:59.440 --> 01:47:02.240]   says
[01:47:02.240 --> 01:47:03.680]   Cuphead as
[01:47:03.680 --> 01:47:08.880]   You you lost your soul to the devil in a and again playing dice and it'll give you a soul back
[01:47:08.880 --> 01:47:14.720]   If you if you basically to be a debt collector for other souls that got sold but not turned tuned in to go all through the island
[01:47:15.200 --> 01:47:20.640]   It's it's a whole thing, but it's it's just like I said for free go watch these these gameplay videos and then
[01:47:20.640 --> 01:47:23.120]   Like it's really the best way to do it. Huh?
[01:47:23.120 --> 01:47:28.400]   Yeah, it's just it's just watch the videos or download the soundtrack. Look how many tracks there are in here
[01:47:28.400 --> 01:47:30.000]   There's 56 yeah
[01:47:30.000 --> 01:47:37.360]   And it's not it's not repetitive. It's like it's just everyone is there are very few like down tempo numbers as you might understand but
[01:47:37.360 --> 01:47:40.080]   Well, you're you're in hell
[01:47:42.240 --> 01:47:50.240]   Uh, really really nice. Christopher Madigan is the uh, toronto based percussionist drummer and composer who wrote the soundtrack for
[01:47:50.240 --> 01:47:55.840]   Cuphead xbox one windows ten and steam, but you can buy the whole soundtrack on band camp
[01:47:55.840 --> 01:47:58.800]   Very nice $10
[01:47:58.800 --> 01:48:00.240]   $10
[01:48:00.240 --> 01:48:01.200]   $10
[01:48:01.200 --> 01:48:03.680]   All right, mr. Renee ritchie. What's your pick?
[01:48:03.680 --> 01:48:07.920]   So mine is the return of a classic many many moons ago
[01:48:08.480 --> 01:48:15.120]   I believe the first twitter native client ever made was twitterific and it debuted on the mac and now today twitterific
[01:48:15.120 --> 01:48:20.160]   Cryo infantly returns to the mac the icon factory the developers behind this
[01:48:20.160 --> 01:48:24.000]   Uh people like shawn herber and giddy and mehia and craig hawkin berry
[01:48:24.000 --> 01:48:31.440]   Uh, they did a kickstarter first and if you did do the kickstarter you got really awesome stuff like little ollie toys for your trouble
[01:48:31.440 --> 01:48:34.000]   Which are just you know pretty amazing
[01:48:34.000 --> 01:48:40.080]   But regardless it is on the mac app store as of today and it gives you exactly what you expect in twitter in twitterific
[01:48:40.080 --> 01:48:46.080]   That is a unified timeline very clean interface delightful interactions really good sounds
[01:48:46.080 --> 01:48:50.480]   Uh, and it's just it's a lot of really fond memories of twitter
[01:48:50.480 --> 01:48:57.680]   You know before all the developer nonsense before it became a political machine before they're all the bots and all the spam and all that stuff was just using
[01:48:58.240 --> 01:49:05.600]   Twitterific with a bunch of tech people sitting there on my mac and now I have it is absolutely new it is completely redesigned completely rebuilt
[01:49:05.600 --> 01:49:09.600]   Uh, but it's that same familiar twitterific experience
[01:49:09.600 --> 01:49:13.760]   And if you do like this if you do like reading twitterific, I have two different modes
[01:49:13.760 --> 01:49:17.360]   I use I know other apps if I'm in twitter triage mode, right?
[01:49:17.360 --> 01:49:19.600]   I just want to quickly see and respond to things
[01:49:19.600 --> 01:49:22.480]   But on my ipad and you know now again on my mac
[01:49:22.480 --> 01:49:25.600]   I'm using this reader mode where I just want to go through and see everything is happening
[01:49:26.000 --> 01:49:31.760]   And twitterific is great for that because it has that one timeline to roll them all and you can just scroll through and catch up on
[01:49:31.760 --> 01:49:34.240]   Everything that's happened throughout the day
[01:49:34.240 --> 01:49:38.480]   So this is the reason to get it is you don't get while you are away updates you get just the
[01:49:38.480 --> 01:49:47.360]   Chronological list of tweets. That's all I want. Yes. No no blue lines. No threads. No promoted tweets
[01:49:47.360 --> 01:49:51.760]   No weird media handles. No it doesn't know no BS
[01:49:52.080 --> 01:49:54.080]   No BS
[01:49:54.080 --> 01:49:55.440]   At the top so that it's not you know
[01:49:55.440 --> 01:49:58.080]   Some people don't like it on the side because it interferes with the look of it
[01:49:58.080 --> 01:50:00.960]   But right really and you can customize a lot of aspects of it
[01:50:00.960 --> 01:50:04.240]   You can make it look the way you want it to look. I need this now. How much is it?
[01:50:04.240 --> 01:50:07.200]   It's 20 bucks, you know, and it's worth every penny
[01:50:07.200 --> 01:50:11.040]   Yeah, totally it's an app you use all at least for people like me use it all day every day
[01:50:11.040 --> 01:50:15.840]   And having a good experience is easily worth, you know the price of a few burgers to me. Yeah
[01:50:15.840 --> 01:50:18.720]   Very good recommendation
[01:50:19.040 --> 01:50:21.040]   My friends are coming in
[01:50:21.040 --> 01:50:24.320]   We've come to the icon factory deserves a lot of credit because they do great
[01:50:24.320 --> 01:50:27.280]   All around everything they do is well worth it
[01:50:27.280 --> 01:50:28.800]   We have come
[01:50:28.800 --> 01:50:33.040]   I need so money to put that hairdo that he's been sporting on today lately. I haven't seen it. That's the
[01:50:33.040 --> 01:50:36.560]   That's why I need a crown logic round. They call it the dog brown luck. Oh no
[01:50:36.560 --> 01:50:41.680]   That doesn't sound good at all. He says it makes him look even taller. I don't know if that's what he was pointing
[01:50:41.680 --> 01:50:44.160]   Our show today
[01:50:44.160 --> 01:50:50.480]   Has come to its clothes, but I thank you all for being here. You'll find more Andy and not go online at cwob.com
[01:50:50.480 --> 01:50:54.800]   That's his website. Of course he writes for the chicago sun times
[01:50:54.800 --> 01:51:00.320]   Some great technology reporting there and he takes fabulous pictures follow him on instagram
[01:51:00.320 --> 01:51:02.960]   I h n a t k o
[01:51:02.960 --> 01:51:06.480]   Well worth it or his flicker site and d I
[01:51:06.480 --> 01:51:08.480]   And d I
[01:51:08.480 --> 01:51:13.600]   But I think you'll find all of that including the podcasts he hosts. He's not just on this show. He's a
[01:51:14.160 --> 01:51:20.160]   Does the naco almanac on five by five and the material podcast at relay.fm
[01:51:20.160 --> 01:51:25.600]   And if you're in boston or if you're if you have access to the internet, I'm going to be on boston npr again
[01:51:25.600 --> 01:51:30.800]   This friday at 1130 eastern time so you can go to w w gph
[01:51:30.800 --> 01:51:35.200]   I think it's w gph.org org if you want to stream it. Yeah, very nice
[01:51:35.200 --> 01:51:42.320]   We'll be listening for you. Thanks to rene richie. He does a lot of work at i'mor.com to keep us all up to date
[01:51:42.400 --> 01:51:45.920]   We had mica sergeant on the uh, twit the other day. That was a lot of he's so good
[01:51:45.920 --> 01:51:49.440]   You got a great team over there at they're awesome. Yeah, very lucky
[01:51:49.440 --> 01:51:51.600]   Is it called mobile nations?
[01:51:51.600 --> 01:51:57.120]   Mobile nations absolutely and that's you know, it's trying to call the world where you dial mica sergeant or you'll everyone on i'mor is top notch
[01:51:57.120 --> 01:51:58.320]   Great great people
[01:51:58.320 --> 01:52:03.360]   i'mor.com is the new yellow i'mor.com is a place to go to keep up on all sorts of technology
[01:52:03.360 --> 01:52:06.640]   But more importantly, it's where I go when I have a new device
[01:52:06.640 --> 01:52:11.120]   Or new software or ios 11 or high cira and I just want to understand it better
[01:52:11.360 --> 01:52:13.360]   They do the best how to
[01:52:13.360 --> 01:52:15.600]   Explainers and all of that
[01:52:15.600 --> 01:52:21.360]   i'mor.com we do we'll mac break weekly every Tuesday right after ios today
[01:52:21.360 --> 01:52:25.200]   That's 11 a.m pacific 2 p.m. Eastern time 1800 utc
[01:52:25.200 --> 01:52:27.840]   Please stop by we will shift our time a little bit
[01:52:27.840 --> 01:52:32.880]   Uh when our clocks uh fall back in about what is that two or three weeks?
[01:52:32.880 --> 01:52:37.040]   We'll let you know ahead of time. It's very confusing. Yeah too soon
[01:52:37.040 --> 01:52:39.440]   But uh for now 1700 utc
[01:52:40.320 --> 01:52:47.120]   Uh, you can join us online at irc.twit.tv during the live show and comment away in the background
[01:52:47.120 --> 01:52:48.880]   We love that if you do that
[01:52:48.880 --> 01:52:53.120]   Uh, you can also watch live twit.tv/live or listen live on your echo
[01:52:53.120 --> 01:52:59.120]   Just say echo listen to twit live on tune in you can hear the latest mac break weekly anytime
[01:52:59.120 --> 01:53:06.160]   Echo listen to mac break weekly on tune in or subscribe. That's the best way to do it find your favorite podcast
[01:53:06.160 --> 01:53:08.800]   application like overcast or
[01:53:09.280 --> 01:53:15.040]   Um stitcher or pocket cast and subscribe that way you're going to get it every week the minute it's available
[01:53:15.040 --> 01:53:17.920]   Thanks for listening. Thanks for watching and we'll see you next time
[01:53:17.920 --> 01:53:22.320]   Now it's time to get back to break get back to work because now it
[01:53:22.320 --> 01:53:28.400]   How many times have i said this 600 sometimes now it's time to get back to work
[01:53:28.400 --> 01:53:31.040]   Because break time is over
[01:53:31.040 --> 01:53:33.040]   You
[01:53:33.040 --> 01:53:35.040]   You
