
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly show where we talk about all the apples stuff
[01:28:34.100 --> 01:28:39.100]   It would look different. So let's move towards that, how it would look in an iPad centric world.
[01:28:39.100 --> 01:28:45.100]   It doesn't seem to understand that a phone particularly is such a weird app environment.
[01:28:45.100 --> 01:28:58.100]   I mean, I, the six apps that I use, I spend 90% of my time using on the iPad, for instance, I will just absolutely launch by simply hitting command space and typing the first couple letters because I can remember on the outliner.
[01:28:58.100 --> 01:29:15.100]   I can remember Microsoft where I can remember you, but the thing is there's going to be, there's, on a phone, there's like the six apps you use all the time, but then they're going to be 40 apps that you use maybe once a week, like that you're, maybe you're online bank, you're online banking app or maybe the app that
[01:29:15.100 --> 01:29:23.100]   gives you the online viewer guide for your cable system or whatever like that. And the times where you need to launch that, you need to be able to find it really quickly.
[01:29:23.100 --> 01:29:35.100]   And so you may, you don't know, it's terrible. There's so many apps that I want to, if I'm using the, if I'm using a Fred's Bank, I want to launch the Fred's Bank app.
[01:29:35.100 --> 01:29:41.100]   I keep wanting to type FRE, they're running, oh, they decided to name it my Fred's Bank.
[01:29:41.100 --> 01:29:53.100]   And so that's the sort of stuff that you just can't solve. And it's not even so much that it's partly that the current springboard is really, really inadequate.
[01:29:53.100 --> 01:30:05.100]   It's also, you have had iOS out for since 2000, 2009 was it, or 2008, it's like, you have had time to think about this now.
[01:30:05.100 --> 01:30:20.100]   There's been an entire presidential administration has come and gone since you came up with this idea. You're not telling me that you can't think of something better than a grid, a static grid of every icon that you have installed on this thing.
[01:30:20.100 --> 01:30:25.100]   If not, let's time figuring out how to curve glass. Actually, more time, how to launch.
[01:30:25.100 --> 01:30:34.100]   You're reminding me, Andy, that this is in fact the ninth anniversary of the announcement of the iPhone January 9th, 2007. Was it almost exactly?
[01:30:34.100 --> 01:30:38.100]   Yeah, that's when he called the Starbucks.
[01:30:38.100 --> 01:30:50.100]   To Andy's point, there are other ideas there, but there's a couple of things that it's always tough because Apple now is carrying the legacy debt we all made fun of Windows for so many years that you have hundreds of millions of people who are used to doing it this way.
[01:30:50.100 --> 01:31:01.100]   You also have people with the new education stuff who are five years old, four years old, six years old, and people who are in their 90s. You want to have a system that can scale with them.
[01:31:01.100 --> 01:31:03.100]   It's challenging. It deserves attention.
[01:31:03.100 --> 01:31:09.100]   They started Refact. I think since iOS 5, they've been refactoring springboard every year. They broke it into backboard and then frontboard.
[01:31:09.100 --> 01:31:11.100]   There's a bunch of different things in there.
[01:31:11.100 --> 01:31:20.100]   I think the XPC is doing much more. My guess is we won't really see a replacement, but like Andy said, there'll be so many ways to interact with this.
[01:31:20.100 --> 01:31:28.100]   Our understanding of what apps and what launchers will be really different. Right now, I use PCalc in widget space. I never open the app anymore.
[01:31:28.100 --> 01:31:37.100]   I use Pinterest as a share, which I never opened the Pinterest app. What it means to be an app is only a little bit different now, but in three, four years, it'll be phenomenal.
[01:31:37.100 --> 01:31:41.100]   That app's going to be on my car. This will be on my watch. That will be on my TV.
[01:31:41.100 --> 01:31:47.100]   I hope that Apple is really working on how that system works rather than just incremental changes here.
[01:31:47.100 --> 01:31:54.100]   Back to 9.3. Discover new health apps and see more on your dashboard.
[01:31:54.100 --> 01:31:56.100]   Is this a big change to health kit?
[01:31:56.100 --> 01:32:02.100]   It's part of what you see throughout iOS. I started putting recommended apps on the lock screens.
[01:32:02.100 --> 01:32:07.100]   This is just a way of recommending apps that you might find interesting because it's hard.
[01:32:07.100 --> 01:32:10.100]   Health kit does nothing really by itself. You need apps.
[01:32:10.100 --> 01:32:15.100]   Yeah, and all the data. It's basically just a database for all your health information.
[01:32:15.100 --> 01:32:19.100]   When you're out of that context, you leave health and then you go, "I want an app."
[01:32:19.100 --> 01:32:25.100]   This is trying to put those apps front and center. When you're thinking about health, it gives you apps that it thinks will go with you.
[01:32:25.100 --> 01:32:33.100]   I think the other change that they don't mention on this page, which is at apple.com/ioS/Preview,
[01:32:33.100 --> 01:32:36.100]   is you can now pair two Apple watches.
[01:32:36.100 --> 01:32:39.100]   That's an Apple Watch 2.2 beta.
[01:32:39.100 --> 01:32:42.100]   That release from Apple watches update.
[01:32:42.100 --> 01:32:45.100]   You've got a new Maps app and you maps glance.
[01:32:45.100 --> 01:32:52.100]   Siri now also supports Malay, Finnish, and Hebrew, which are nice additions.
[01:32:52.100 --> 01:32:55.100]   She woke up and said, "Okay, I'll support..."
[01:32:55.100 --> 01:33:01.100]   She actually said, "Okay, I'll do that." It was nice of you.
[01:33:01.100 --> 01:33:03.100]   Let's see. What else is...
[01:33:03.100 --> 01:33:06.100]   TVOS brings back the Bluetooth keyboard.
[01:33:06.100 --> 01:33:11.100]   And now there's a big debate about whether we can get PC-style games.
[01:33:11.100 --> 01:33:14.100]   Some people are really enthusiastic and others are saying that it's just not capable yet.
[01:33:14.100 --> 01:33:15.100]   On the watch.
[01:33:15.100 --> 01:33:17.100]   No, sorry, with keyboards on the Apple TV.
[01:33:17.100 --> 01:33:18.100]   Oh, keyboards on the Apple TV.
[01:33:18.100 --> 01:33:20.100]   TVOS, that's right.
[01:33:20.100 --> 01:33:22.100]   They did release everything yesterday.
[01:33:22.100 --> 01:33:28.100]   I have to admit, I don't even consider using that stupid little keyboard that you have to scroll back and forth on.
[01:33:28.100 --> 01:33:30.100]   I mean, as soon as I see it, I'm going on my phone.
[01:33:30.100 --> 01:33:33.100]   I just open up my phone and I hit remote and I just type it in.
[01:33:33.100 --> 01:33:34.100]   I'm like, "Oh, I'm not going to..."
[01:33:34.100 --> 01:33:35.100]   Yeah, I just...
[01:33:35.100 --> 01:33:36.100]   Bluetooth keyboard support would be great.
[01:33:36.100 --> 01:33:40.100]   I have a leftover Apple wedge Bluetooth wireless keyboard.
[01:33:40.100 --> 01:33:43.100]   I will just put it in the living room and it'll make me eat my life so much easier.
[01:33:43.100 --> 01:33:45.100]   That will be...
[01:33:45.100 --> 01:33:46.100]   And that will all...
[01:33:46.100 --> 01:33:48.100]   We think all probably come out in March, right?
[01:33:48.100 --> 01:33:49.100]   Yeah.
[01:33:49.100 --> 01:33:50.100]   That's a good sense.
[01:33:50.100 --> 01:33:52.100]   It makes sense.
[01:33:52.100 --> 01:33:58.100]   There's no truth to the rumor that Apple is making an iPhone to Android switching tool.
[01:33:58.100 --> 01:33:59.100]   They're not.
[01:33:59.100 --> 01:34:02.100]   They have an Android iPhone switching tool.
[01:34:02.100 --> 01:34:03.100]   Yes.
[01:34:03.100 --> 01:34:04.100]   But they're not going the other way.
[01:34:04.100 --> 01:34:06.100]   So just take that on.
[01:34:06.100 --> 01:34:13.100]   I think they would only do that under legal duress and only if they lost the eighth appeal.
[01:34:13.100 --> 01:34:14.100]   Right.
[01:34:14.100 --> 01:34:15.100]   You know, there's no...
[01:34:15.100 --> 01:34:16.100]   In the EU, yeah.
[01:34:16.100 --> 01:34:19.100]   Anything else?
[01:34:19.100 --> 01:34:23.100]   Okay, anything else VLC is now available on the TVOS App Store.
[01:34:23.100 --> 01:34:24.100]   That's good news.
[01:34:24.100 --> 01:34:27.100]   VLC is our favorite video player.
[01:34:27.100 --> 01:34:31.100]   I think we covered it all, right?
[01:34:31.100 --> 01:34:33.100]   Anything else you guys want to bring up before we go to our break?
[01:34:33.100 --> 01:34:37.100]   I was trying to think of what the feature that you'd really need VLC on the Apple TV,
[01:34:37.100 --> 01:34:41.100]   but I guess that one of the things would be to be able to pull direct streams in, you know,
[01:34:41.100 --> 01:34:43.100]   to view raw streams.
[01:34:43.100 --> 01:34:47.100]   Like a lot of times we have test streams when we're doing it to HLS that are just, you know,
[01:34:47.100 --> 01:34:48.100]   an internal stream.
[01:34:48.100 --> 01:34:50.100]   I just need a URL to do that.
[01:34:50.100 --> 01:34:52.100]   And I think that those would be the kind of things we'd use for VLC.
[01:34:52.100 --> 01:34:57.100]   If anyone else is wondering along with me why you would need VLC on an Apple Apple TV,
[01:34:57.100 --> 01:35:00.100]   that would be those kind of hacks would be useful.
[01:35:00.100 --> 01:35:06.100]   Those of you who celebrate the arrival of VLC on TVOS know exactly why.
[01:35:06.100 --> 01:35:11.100]   Why didn't want to talk about that?
[01:35:11.100 --> 01:35:15.100]   Let us take a break and come back with your picks of the week gentlemen.
[01:35:15.100 --> 01:35:16.100]   Prepare them.
[01:35:16.100 --> 01:35:18.100]   Our show today brought to you by Gazelle.
[01:35:18.100 --> 01:35:23.100]   You're hearing all this excitement about iPhones and iPads.
[01:35:23.100 --> 01:35:27.100]   Maybe you think it's time to get a new one to upgrade.
[01:35:27.100 --> 01:35:28.100]   Well, Gazelle's the place.
[01:35:28.100 --> 01:35:29.100]   Just keep this in mind.
[01:35:29.100 --> 01:35:33.100]   If you think you're going to do it in the next 30 days, now would be the time to go to Gazelle.com
[01:35:33.100 --> 01:35:34.100]   and get a quote.
[01:35:34.100 --> 01:35:37.100]   Gazelle locks those quotes in for 30 days.
[01:35:37.100 --> 01:35:39.100]   You don't have to take action for 30 days.
[01:35:39.100 --> 01:35:43.100]   That means you have plenty of time to decide, buy, transfer your data over,
[01:35:43.100 --> 01:35:44.100]   and then send it to Gazelle.
[01:35:44.100 --> 01:35:45.100]   Even pay the postage.
[01:35:45.100 --> 01:35:47.100]   Make it very easy.
[01:35:47.100 --> 01:35:55.100]   In fact, my suggestion is I am learning the Japanese art of tidying up from Rickondo.
[01:35:55.100 --> 01:35:58.100]   And you're wondering, what do I do with all this old stuff?
[01:35:58.100 --> 01:35:59.100]   Don't throw it out.
[01:35:59.100 --> 01:36:02.100]   Go to Gazelle and get some cash for that.
[01:36:02.100 --> 01:36:07.100]   Buy some beautiful flowers and some herbal tea with your cash or more.
[01:36:07.100 --> 01:36:12.100]   G-A-Z-E-L-L-E, maybe get yourself the new device.
[01:36:12.100 --> 01:36:20.100]   Because the new iPhone and iPad are now widely purchased, that means they have a lot of old stuff to sell as well.
[01:36:20.100 --> 01:36:27.100]   Older iPhones from the 4S through the 6 Plus, great for replacing a broken device or getting a device for your kids.
[01:36:27.100 --> 01:36:30.100]   They have iPads and they standard air and mini models.
[01:36:30.100 --> 01:36:31.100]   Samsung Galaxy phones.
[01:36:31.100 --> 01:36:33.100]   This is the part of Gazelle that's new.
[01:36:33.100 --> 01:36:39.100]   They sell certified, slightly used pre-owned devices.
[01:36:39.100 --> 01:36:46.100]   Every one of them has been put through Gazelle's rigorous 30-point inspection, so they work fully and there's no major scratches or anything.
[01:36:46.100 --> 01:36:51.100]   They have a variety of quality choices between excellent good.
[01:36:51.100 --> 01:36:58.100]   So you can get it just like new, but you pay a little more or save money and have a little gentle signs of wear.
[01:36:58.100 --> 01:37:05.100]   But of course in every case you have a 30-day return policy and no cost to you, so you really have no risk.
[01:37:05.100 --> 01:37:06.100]   I love Gazelle.
[01:37:06.100 --> 01:37:20.100]   To buy or to sell, G-A-Z-E-L-L-E, bring new life to old gadgets, replace your stuff with pre-owned gadgets at gazelle.
[01:37:20.100 --> 01:37:25.100]   .com time for our picks of the week.
[01:37:25.100 --> 01:37:27.100]   Alex, you want some time or do you have something for us?
[01:37:27.100 --> 01:37:28.100]   Sure.
[01:37:28.100 --> 01:37:29.100]   No, I don't need time.
[01:37:29.100 --> 01:37:44.100]   So the CFO in the company who happens to also be my wife has been giving me a lot of grief that I don't keep track of my mileage for tax purposes and all those things.
[01:37:44.100 --> 01:37:47.100]   You need that fresh books.
[01:37:47.100 --> 01:37:51.100]   And that's in the end.
[01:37:51.100 --> 01:37:53.100]   It's always be closing.
[01:37:53.100 --> 01:37:56.100]   [laughter]
[01:37:56.100 --> 01:38:01.100]   The app that I started playing with that I'm pretty happy with is MileIQ.
[01:38:01.100 --> 01:38:02.100]   Have you seen that?
[01:38:02.100 --> 01:38:03.100]   Yeah, it's very good.
[01:38:03.100 --> 01:38:07.100]   And you can say this is business, this is personal.
[01:38:07.100 --> 01:38:08.100]   It's just like cards.
[01:38:08.100 --> 01:38:10.100]   I think the interface is just really good.
[01:38:10.100 --> 01:38:15.100]   So you just have it, you don't have to think about it once it's on, you're just driving around.
[01:38:15.100 --> 01:38:17.100]   And it just keeps track of car stop, car start.
[01:38:17.100 --> 01:38:23.100]   It just keeps track of all your movements and breaks those up into trips.
[01:38:23.100 --> 01:38:27.100]   And then you just scroll back and forth, you can add some notes to it and so on and so forth.
[01:38:27.100 --> 01:38:30.100]   And then you can just submit it all as an email.
[01:38:30.100 --> 01:38:33.100]   And I can't remember how much it costs.
[01:38:33.100 --> 01:38:35.100]   But it was, I think it was--
[01:38:35.100 --> 01:38:36.100]   It's about 99, something like that.
[01:38:36.100 --> 01:38:37.100]   It's not expensive.
[01:38:37.100 --> 01:38:38.100]   Yeah, it was easy.
[01:38:38.100 --> 01:38:45.100]   And anyway, I found it to be, I just always like to see good interfaces.
[01:38:45.100 --> 01:38:47.100]   If they thought about it, they thought they made it easy.
[01:38:47.100 --> 01:38:51.100]   They make it, you know, these kind of things need to be get to a point where they're kind of seamless.
[01:38:51.100 --> 01:38:55.100]   Like you don't think about it unless you let your battery run out on your phone and then you restart it.
[01:38:55.100 --> 01:38:56.100]   You're sorry.
[01:38:56.100 --> 01:39:00.100]   Then you take that long trip and then you go back to itemize it and you're like, it's gone.
[01:39:00.100 --> 01:39:01.100]   Oh, it's free.
[01:39:01.100 --> 01:39:02.100]   But there must be in that purchases, right?
[01:39:02.100 --> 01:39:04.100]   I think there's an in that purchase.
[01:39:04.100 --> 01:39:05.100]   Yeah.
[01:39:05.100 --> 01:39:06.100]   Yeah.
[01:39:06.100 --> 01:39:07.100]   And you know, to subscribe to it or whatever.
[01:39:07.100 --> 01:39:08.100]   Yeah, there you go.
[01:39:08.100 --> 01:39:09.100]   599.
[01:39:09.100 --> 01:39:10.100]   All right.
[01:39:10.100 --> 01:39:11.100]   Yeah, and but you can play with it.
[01:39:11.100 --> 01:39:13.100]   You can download it for free, play with it, and then upgrade it.
[01:39:13.100 --> 01:39:18.100]   Which I think is a good, when we talk about demos, I mean, I think that that kind of demo thing works pretty well,
[01:39:18.100 --> 01:39:21.100]   where you just do in that purchase to move to that process.
[01:39:21.100 --> 01:39:26.100]   But I'm kind of surprised that now I understand why she was so upset because once I started doing it,
[01:39:26.100 --> 01:39:30.100]   I realized how many business trips I was just kind of paying attention.
[01:39:30.100 --> 01:39:31.100]   Yeah.
[01:39:31.100 --> 01:39:33.100]   I was like, oh, wow.
[01:39:33.100 --> 01:39:35.100]   I drive a lot.
[01:39:35.100 --> 01:39:40.100]   You know, so anyway, so I think that it's a pretty useful app.
[01:39:40.100 --> 01:39:44.100]   My IQ, my life, IQ, my IQ.
[01:39:44.100 --> 01:39:45.100]   I like you.
[01:39:45.100 --> 01:39:46.100]   My IQ.
[01:39:46.100 --> 01:39:48.100]   Keep track of your driving.
[01:39:48.100 --> 01:39:52.100]   We also, the automatic, which is another sponsor, that little OBD to dongle.
[01:39:52.100 --> 01:39:54.100]   We'll do that for you too, which is nice.
[01:39:54.100 --> 01:39:58.100]   I like, I like something that does it automatically because it is a pain in the butt.
[01:39:58.100 --> 01:39:59.100]   It really has to be.
[01:39:59.100 --> 01:39:59.100]   Yeah.
[01:39:59.100 --> 01:40:01.100]   Those are the kinds of things you want to have happen.
[01:40:01.100 --> 01:40:02.100]   Yeah.
[01:40:02.100 --> 01:40:03.100]   And there's no reason I can't now, really.
[01:40:03.100 --> 01:40:04.100]   Yeah.
[01:40:04.100 --> 01:40:06.100]   Renee Richie, your pick of the week.
[01:40:06.100 --> 01:40:10.100]   So I have a pick of the week that I am completely unqualified to properly represent.
[01:40:10.100 --> 01:40:12.100]   But I'm going to mention it anyway because it is awesome.
[01:40:12.100 --> 01:40:13.100]   It's called Pythonista.
[01:40:13.100 --> 01:40:15.100]   It just hit version 2.0.
[01:40:15.100 --> 01:40:17.100]   And we were talking about automation and scripting before.
[01:40:17.100 --> 01:40:22.100]   What Pythonista does is bring pretty awesome Python scripting abilities to iOS.
[01:40:22.100 --> 01:40:28.100]   It's made by Old Zorn, who's the same one who made editorial, which also has phenomenal scripting
[01:40:28.100 --> 01:40:29.100]   ability.
[01:40:29.100 --> 01:40:31.100]   Yeah, that's Federico Vitticci from MacStory is right up on it.
[01:40:31.100 --> 01:40:34.100]   And he's a huge iPad Pro and automation connoisseur.
[01:40:34.100 --> 01:40:37.100]   And it just, it does everything that you'd expect it to do.
[01:40:37.100 --> 01:40:41.100]   Again, like I know nothing about Python and I have not had a chance to use it, but just
[01:40:41.100 --> 01:40:43.100]   looking at it, it is so impressive.
[01:40:43.100 --> 01:40:47.100]   And it shows that things like this and like workflow and like editorial shows that for
[01:40:47.100 --> 01:40:52.100]   all the limitations that are imposed on iOS, there are still some spectacularly cool things
[01:40:52.100 --> 01:40:53.100]   that can be done with it.
[01:40:53.100 --> 01:40:58.100]   So if you've been frustrated, the lack of your ability to maybe script or automate or code
[01:40:58.100 --> 01:41:03.100]   tasks on iOS, Pythonista, the big change in version 2.0 is it now supports all the new
[01:41:03.100 --> 01:41:08.100]   screen sizes up to and including iPad Pro and all the iOS 9 features.
[01:41:08.100 --> 01:41:10.100]   Yeah, but it just looks incredible.
[01:41:10.100 --> 01:41:16.100]   I used to for a long time when I tried to install fourth and Python and everything mobile to
[01:41:16.100 --> 01:41:18.100]   face and gave up.
[01:41:18.100 --> 01:41:20.100]   But with this, I mean, you got to complete IDE.
[01:41:20.100 --> 01:41:27.100]   I don't know how many hooks you have into iOS, but you could write Python apps and in some
[01:41:27.100 --> 01:41:30.100]   cases you'd actually be able to hook into iOS and do stuff.
[01:41:30.100 --> 01:41:32.100]   This is a boy that's power.
[01:41:32.100 --> 01:41:35.100]   It puts stuff in the action extensions, which is sort of like what workflow does, which
[01:41:35.100 --> 01:41:37.100]   means they're not bound-boomed to their own app.
[01:41:37.100 --> 01:41:39.100]   You can implement some of that stuff inside other apps.
[01:41:39.100 --> 01:41:40.100]   That's great.
[01:41:40.100 --> 01:41:41.100]   Boy, this is nice.
[01:41:41.100 --> 01:41:46.100]   This is the kind of thing that when you do this, this really puts light of the idea that
[01:41:46.100 --> 01:41:50.100]   an iPad is a consumption device because this is a programming language.
[01:41:50.100 --> 01:41:53.100]   You have to concentrate on Microsoft today, called it a companion device.
[01:41:53.100 --> 01:41:55.100]   You can actually do pretty cool stuff.
[01:41:55.100 --> 01:41:56.100]   Yeah, wow.
[01:41:56.100 --> 01:41:57.100]   That's nice.
[01:41:57.100 --> 01:41:58.100]   I love Python.
[01:41:58.100 --> 01:41:59.100]   Yeah.
[01:41:59.100 --> 01:42:04.100]   Good pick.
[01:42:04.100 --> 01:42:07.100]   Python East at $10.
[01:42:07.100 --> 01:42:10.100]   From iTunes for your iOS device, from OMSZ software.
[01:42:10.100 --> 01:42:13.100]   Andy Inaco?
[01:42:13.100 --> 01:42:16.100]   I'm still on the...
[01:42:16.100 --> 01:42:17.100]   Oops.
[01:42:17.100 --> 01:42:18.100]   You're frozen solid.
[01:42:18.100 --> 01:42:19.100]   Oh, dear.
[01:42:19.100 --> 01:42:20.100]   That's a good shot, though.
[01:42:20.100 --> 01:42:21.100]   Put it on up again.
[01:42:21.100 --> 01:42:22.100]   I like it.
[01:42:22.100 --> 01:42:23.100]   You look like Intrepid.
[01:42:23.100 --> 01:42:25.100]   The Intrepid Andy Inaco.
[01:42:25.100 --> 01:42:28.100]   The implacable Andy Inaco.
[01:42:28.100 --> 01:42:35.100]   Now, here we are boarding all spaceship to investigate the seventh quadrant.
[01:42:35.100 --> 01:42:40.100]   If only a Contrepid young reporter, Holly Henderson, were here to document this.
[01:42:40.100 --> 01:42:43.100]   Oh, you just saw editioning for the next incomparable.
[01:42:43.100 --> 01:42:45.100]   I know you.
[01:42:45.100 --> 01:42:48.100]   I need to update my radio IMDB.
[01:42:48.100 --> 01:42:50.100]   What do you got for us?
[01:42:50.100 --> 01:42:53.100]   Actually, I get two things, but one of them you want to show, I know.
[01:42:53.100 --> 01:42:58.100]   One I wanted to show, so if we can't get the video going, then we'll just save that for
[01:42:58.100 --> 01:42:59.100]   next week.
[01:42:59.100 --> 01:43:00.100]   I had a couple of things anyway.
[01:43:00.100 --> 01:43:04.100]   So the other one is Aurora HDR, which is...
[01:43:04.100 --> 01:43:05.100]   I think someone's...
[01:43:05.100 --> 01:43:09.100]   It's been around for a little while, so I think that someone else certainly picked it.
[01:43:09.100 --> 01:43:15.100]   But I wanted to add my own endorsement because I just actually bought my own copy of it a few weeks ago.
[01:43:15.100 --> 01:43:17.100]   And it's such a great tool.
[01:43:17.100 --> 01:43:24.100]   People have this idea correctly of that HDR is historically where it's a professional photographer
[01:43:24.100 --> 01:43:30.100]   on a tripod, bracketing exposures to get pictures of sunsets and it's really the sort of thing
[01:43:30.100 --> 01:43:35.100]   that you would only get if you are this really high-falutant photographer.
[01:43:35.100 --> 01:43:40.100]   But the thing is that HDR also works with a single individual photo.
[01:43:40.100 --> 01:43:44.100]   So, first of all, you can actually just take a picture with your phone and then dump it
[01:43:44.100 --> 01:43:50.100]   into the photo over our HDR and it will basically look for all of the detail that's sort of hidden
[01:43:50.100 --> 01:43:52.100]   in there to create a sort of...
[01:43:52.100 --> 01:43:56.100]   An HDR based on sort of exposure twiddling with it.
[01:43:56.100 --> 01:44:03.100]   But the upshot is that it is such a quick and effective way to get from the photo that you have
[01:44:03.100 --> 01:44:05.100]   to the photo that you had in mind.
[01:44:05.100 --> 01:44:13.100]   It's not as though the Photos app or Lightroom or Aperture can't help you to bring out details
[01:44:13.100 --> 01:44:15.100]   and shadows and intensify colors.
[01:44:15.100 --> 01:44:17.100]   But the thing is the fur...
[01:44:17.100 --> 01:44:19.100]   The HDR will make.
[01:44:19.100 --> 01:44:23.100]   It's going to be really close to something more dramatic and wonderful.
[01:44:23.100 --> 01:44:29.100]   And then when you start sliding things around, not with an understanding necessarily of what each of these things do,
[01:44:29.100 --> 01:44:31.100]   but just sliding things around.
[01:44:31.100 --> 01:44:33.100]   I wish that were a little bit brighter.
[01:44:33.100 --> 01:44:35.100]   I wish the shadows were a little bit less intense.
[01:44:35.100 --> 01:44:37.100]   I think that red is a little bit too strong.
[01:44:37.100 --> 01:44:39.100]   I think that green should be a little bit stronger.
[01:44:39.100 --> 01:44:41.100]   You can just push sliders around.
[01:44:41.100 --> 01:44:43.100]   And it just gets great results.
[01:44:43.100 --> 01:44:44.100]   It really is.
[01:44:44.100 --> 01:44:49.100]   We're now at the point where if you spent more than $180 on a smartphone,
[01:44:49.100 --> 01:44:54.100]   all of the cameras are at least within, let's say, five percentage points of each other.
[01:44:54.100 --> 01:45:05.100]   But then when you add a tool like Aurora HDR, it turns into something that's super close to what you'd get off of a really good $500-600 pocket camera.
[01:45:05.100 --> 01:45:08.100]   Because it will just simulate all of those effects.
[01:45:08.100 --> 01:45:15.100]   And don't even think that the course of demo pictures they have up there are the sort of super HDR looking,
[01:45:15.100 --> 01:45:18.100]   bordering on artificial looking stuff.
[01:45:18.100 --> 01:45:20.100]   But you can also get really subtle effects.
[01:45:20.100 --> 01:45:31.100]   One of the things I've been doing with it recently is just going through old photos in my Flickr gallery of pictures that were as good as I could make them last year or the year before.
[01:45:31.100 --> 01:45:37.100]   And then even just downloading it as a JPEG, I'll open it in Aurora HDR to see if I can make it better.
[01:45:37.100 --> 01:45:47.100]   And so I think I have a link to it in the show notes of this picture, this comedian and cosplayer from near Comic Con 2014-2013,
[01:45:47.100 --> 01:45:49.100]   that super, super low light.
[01:45:49.100 --> 01:45:51.100]   I had to jack up the ISO really, really high.
[01:45:51.100 --> 01:46:02.100]   So I was never really super happy with it, but put it into Aurora HDR and was able to finally tweak it so that it looks like it was shot at 200 ISO with good lighting.
[01:46:02.100 --> 01:46:04.100]   So I'm really, really happy with it.
[01:46:04.100 --> 01:46:10.100]   It's 40 bucks, you can get a free demo of it that will do everything except for save images, I think.
[01:46:10.100 --> 01:46:14.100]   For 40 bucks, you get the version that will process JPEGs.
[01:46:14.100 --> 01:46:21.100]   For $100, you get the version that can also handle RAW files natively as a few extra features.
[01:46:21.100 --> 01:46:26.100]   I went for the 99 bucks version and part of it was just that I just wanted these people to have more money.
[01:46:26.100 --> 01:46:28.100]   So I'm really happy with it.
[01:46:28.100 --> 01:46:34.100]   For a lot of people, it's almost as good as buying a whole new camera or upgrading your phone just to get a better camera.
[01:46:34.100 --> 01:46:37.100]   There are a lot of HDR programs I use Photomatics for years.
[01:46:37.100 --> 01:46:39.100]   This is Trey Rakcliffe's program.
[01:46:39.100 --> 01:46:41.100]   He designed it with Mac fun.
[01:46:41.100 --> 01:46:43.100]   He's the king of HDR.
[01:46:43.100 --> 01:46:48.100]   It's a modern UI for one thing, but it really does a nice job.
[01:46:48.100 --> 01:46:50.100]   I agree with you 100%.
[01:46:50.100 --> 01:46:52.100]   This is just a fantastic program.
[01:46:52.100 --> 01:46:55.100]   Even just a generalized photo editor, it's just fantastic.
[01:46:55.100 --> 01:47:00.100]   If you spring for the 100 bucks, it will also integrate with aperture and lightroom.
[01:47:00.100 --> 01:47:03.100]   So you can just simply pull it down off a menu.
[01:47:03.100 --> 01:47:09.100]   Mac fun makes a lot of really nice plugins, including Tonality Pro, which we've also mentioned.
[01:47:09.100 --> 01:47:10.100]   You have good black and white.
[01:47:10.100 --> 01:47:11.100]   Noiseless too.
[01:47:11.100 --> 01:47:12.100]   That's another thing.
[01:47:12.100 --> 01:47:22.100]   If you're using a phone as your primary camera, it will just do such a great job of knocking down all that high ISO noise that are almost inevitable when you're shooting in low light.
[01:47:22.100 --> 01:47:28.100]   I think this is an important point, is that an HDR doesn't require multiple images.
[01:47:28.100 --> 01:47:36.100]   Even with your smartphone now, there's enough dynamic range in the single image that you can actually do some really great stuff.
[01:47:36.100 --> 01:47:39.100]   It doesn't have to look like you're painting something.
[01:47:39.100 --> 01:47:42.100]   There were these guys who have done a great job with it.
[01:47:42.100 --> 01:47:43.100]   I completely agree with you.
[01:47:43.100 --> 01:47:47.100]   Aurora HDR from Mac fun.
[01:47:47.100 --> 01:47:49.100]   PHUN.
[01:47:49.100 --> 01:47:54.100]   Well Renee, since you mentioned, I'm going to blame you on this.
[01:47:54.100 --> 01:48:04.100]   Since you mentioned Pythonista, I'm going to show you two programs for the Macintosh that I really like.
[01:48:04.100 --> 01:48:06.100]   Not very expensive.
[01:48:06.100 --> 01:48:11.100]   As you know, I'm a programming language, a physio nato.
[01:48:11.100 --> 01:48:18.100]   I collect them, love Python, but I've been playing a lot with functional languages, which is the oldest kind of languages.
[01:48:18.100 --> 01:48:24.100]   For many reasons, some often consider the best languages for learning programming like Lisp.
[01:48:24.100 --> 01:48:29.100]   There's an excellent Lisp in the App Store, which I highly recommend.
[01:48:29.100 --> 01:48:38.100]   Confusingly named closure, C-L-O-Z-U-R-E-C-L, but it is a full common Lisp.
[01:48:38.100 --> 01:48:42.100]   It includes a REPL and IDE, everything you need to program.
[01:48:42.100 --> 01:48:43.100]   It's very easy.
[01:48:43.100 --> 01:48:45.100]   You don't have to use Emacs, which a lot of people do.
[01:48:45.100 --> 01:48:47.100]   Highly recommend it.
[01:48:47.100 --> 01:48:50.100]   I think this is free.
[01:48:50.100 --> 01:48:55.100]   Then because I've been also learning Haskell, I was very pleased to find this.
[01:48:55.100 --> 01:49:00.100]   Haskell is a really remarkable programming language, also functional that's being used by more and more people.
[01:49:00.100 --> 01:49:08.100]   We're lucky because on Mac, the easiest way to learn Haskell is with Haskell functional programming lab for the Mac.
[01:49:08.100 --> 01:49:09.100]   I don't have it installed in here.
[01:49:09.100 --> 01:49:10.100]   It's $20.
[01:49:10.100 --> 01:49:12.100]   Well worth it.
[01:49:12.100 --> 01:49:21.100]   Because it not only gives you an IDE and the ability to write Haskell programs, but it's got a playground.
[01:49:21.100 --> 01:49:27.100]   One of the points that the programmers make on this is inspired by Swift.
