;FFMETADATA1
title=You Can't Touch This
artist=Leo Laporte, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-05-10
track=817
language=English
genre=Podcast
comment=The history of the iPod, Apple & FIDO, Apple's AR plans
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.340]   It's time for Mac Break Weekly. Alex has the day off Andy and Renee are here as we started the show
[01:34:22.480 --> 01:34:29.360]   But john Gruber had a fabulous noted design and security experts at the EU decided to remake apple pay article that I thought was
[01:34:29.360 --> 01:34:34.400]   typically snarky in the Gruber fashion, but I'm always I'm always wary because they
[01:34:35.120 --> 01:34:39.440]   The EU I find has really really good concepts and really terrible implementations
[01:34:39.440 --> 01:34:43.680]   And I've never seen one of their antitrust things work out the way that I as a consumer
[01:34:43.680 --> 01:34:46.720]   And I keep mentioning this but like they effectively destroyed web rendering engines
[01:34:46.720 --> 01:34:52.400]   I only have chromium and web kit now effectively. I just wish that they're their policies were
[01:34:52.400 --> 01:34:58.400]   Um, let's write we're more in the spirit of competitiveness and not in sort of the my opiate
[01:34:58.400 --> 01:35:02.480]   They always get dragged down into well. It's well. It's interesting. There was a finding this isn't part of the
[01:35:03.280 --> 01:35:08.800]   Of the 2023 act, but there was a finding that he sort of attached to it left or was passed saying that oh by the way
[01:35:08.800 --> 01:35:15.760]   The fact that the only web rendering engine that it's being allowed on ios is apple's web at rendering engine similar for google
[01:35:15.760 --> 01:35:21.280]   That's that's not going to fly either. You're going to have to allow competing web rendering engines on your platforms
[01:35:21.280 --> 01:35:26.640]   That's it. I don't I think there's going to be a lot of pain associated with these laws
[01:35:26.640 --> 01:35:31.840]   The question is is it going to achieve much much more than the pain that's going to be suffered? That's always the question
[01:35:31.920 --> 01:35:36.080]   I'm kind of I'm kind of okay if if if it's no longer
[01:35:36.080 --> 01:35:41.920]   As easy to do certain things so long as it's solving really really major problems as long as I don't have to worry
[01:35:41.920 --> 01:35:46.080]   About as long as I have more options as long as I have more opportunities. I'm perfectly okay
[01:35:46.080 --> 01:35:51.040]   I think that'll be okay for everybody the old joke was that the justice department really only cared about lowest pricing
[01:35:51.040 --> 01:35:54.320]   They didn't care about any sort of real competitiveness if you could get a lower price
[01:35:54.320 --> 01:35:59.120]   Like if amazon was willing to undercut people that was fine as long as it was lower price and the eu cared about
[01:35:59.520 --> 01:36:05.200]   Competitiveness but in an abstract where it was like a force competitiveness that wasn't always in the best interest of the consumer
[01:36:05.200 --> 01:36:10.240]   And I have this this romantic notion of them looking at a market getting the best people involved in it
[01:36:10.240 --> 01:36:14.960]   Like the brightest people who understand that market deeply and figure out laws that make it better for me as a customer
[01:36:14.960 --> 01:36:19.520]   Because sometimes the lowest price isn't what I need or want and sometimes just having a bunch of companies do it
[01:36:19.520 --> 01:36:25.520]   Isn't what I need or want there's like there's a lot of different solutions across this and I just like there's such a big and powerful thing
[01:36:25.520 --> 01:36:30.480]   I wish they were they took the process more seriously that is actually what commissioner cons
[01:36:30.480 --> 01:36:33.360]   What a lot of his her dogma is about that
[01:36:33.360 --> 01:36:38.320]   Part of part of her thesis isn't just that hey tech prims are too big they need to be knocked down a pig
[01:36:38.320 --> 01:36:41.040]   But part of it is that we need to start stop considering
[01:36:41.040 --> 01:36:48.880]   Making how much are people paying for for a pair of set of snow tires the only criteria for whether a monopoly exists
[01:36:48.880 --> 01:36:54.720]   They need to they need to ask what is what are what is the consumer experience like what is consumer options like?
[01:36:54.800 --> 01:37:01.760]   Is it is it giving them more power or is it being used to restrict their power which I think is a very 2022 attitude
[01:37:01.760 --> 01:37:03.840]   Uh
[01:37:03.840 --> 01:37:05.360]   I'm not an explorer
[01:37:05.360 --> 01:37:06.880]   Finally
[01:37:06.880 --> 01:37:10.240]   There's oh if there's a will there's a way now you could play fortnight
[01:37:10.240 --> 01:37:13.680]   On any device picking of which for free
[01:37:13.680 --> 01:37:15.600]   Speaking of which
[01:37:15.600 --> 01:37:19.040]   Uh xbox cloud gaming no subscription required
[01:37:19.040 --> 01:37:22.880]   You can play with touch or play with a controller you can use safari right
[01:37:23.760 --> 01:37:30.880]   Um, it won't work on my browser firebox. I'm epic was so happy. Yeah fortnight is everywhere. You cannot escape it
[01:37:30.880 --> 01:37:34.480]   You can get your view box
[01:37:34.480 --> 01:37:36.480]   bit on the web right there
[01:37:36.480 --> 01:37:42.640]   All right, let's take a little time out and get your picks ready if you would boys and girls
[01:37:42.640 --> 01:37:47.200]   But first a word from our sponsor and actually
[01:37:47.200 --> 01:37:51.440]   I know john's been playing with it because he's been doing some wild
[01:37:52.080 --> 01:37:59.040]   Transitions with our new tricaster to elite that is the latest tricaster that we are using
[01:37:59.040 --> 01:38:02.000]   The most complete live production system on the planet
[01:38:02.000 --> 01:38:06.800]   And john has been playing with all those new features too every once in a while
[01:38:06.800 --> 01:38:14.080]   Strange things will happen new tech is an amazing company went back when I started twit in 2005
[01:38:14.080 --> 01:38:18.560]   I was looking for actually was when I started doing videos. So maybe a couple of years later
[01:38:18.880 --> 01:38:23.200]   We were looking for a way to switch video live a way I could do it at the same time as I was doing a show
[01:38:23.200 --> 01:38:30.880]   And they're just it was a no brainer. That's when we started using tricaster. We have not stopped in more than 15 years
[01:38:30.880 --> 01:38:32.960]   There you go
[01:38:32.960 --> 01:38:35.600]   The tricaster to elite is our current model
[01:38:35.600 --> 01:38:37.680]   Pretty impressive
[01:38:37.680 --> 01:38:42.480]   For instance, we've got that point tilt pan tilt zoom camera over my head
[01:38:42.480 --> 01:38:46.320]   Which is connected with one wire power over ethernet
[01:38:47.360 --> 01:38:51.120]   And ndi means that camera can feed our tricaster
[01:38:51.120 --> 01:38:57.200]   Over the network digital interface and get its power all from one cable. That's remarkable
[01:38:57.200 --> 01:39:04.240]   Uh, it's an all-encompassing digital media solution to create content for the internet mobile television distribution
[01:39:04.240 --> 01:39:11.680]   Uh late last year they released the updated version of the tricaster to elite. That's what we got the new one lots of new features
[01:39:12.160 --> 01:39:16.800]   The much loved live call connect feature now supports facebook messenger
[01:39:16.800 --> 01:39:20.400]   What's app and facetime as inputs to any production in addition?
[01:39:20.400 --> 01:39:29.040]   Selectable audio and video returns now enables the tricaster to elite operators to view an audio return like any other output allowing greater flexibility
[01:39:29.040 --> 01:39:34.080]   They've got this new neural voice isolation tool to clean your audio
[01:39:34.080 --> 01:39:39.120]   Using ai the system can cancel or reduce background noise and automatically detect voices
[01:39:39.600 --> 01:39:46.080]   Maintaining all important production quality really widely used in churches and sporting events television stations
[01:39:46.080 --> 01:39:49.440]   The tricaster to elite is an entire production
[01:39:49.440 --> 01:39:54.080]   Facility in a box increased power increased flexibility
[01:39:54.080 --> 01:39:59.600]   But simplicity so have driven some of the exciting new capabilities with variable support
[01:39:59.600 --> 01:40:05.040]   In macros the system offers a dynamic and powerful tool that allows operators to nest macros
[01:40:05.440 --> 01:40:13.120]   Deliver complex productions more easily little pro tip little secret. That's that's how I run my tricaster in my other studio
[01:40:13.120 --> 01:40:18.720]   It's all macros, baby and it'll all work tricaster to elite now supports encoding of three channels
[01:40:18.720 --> 01:40:21.920]   Anything from hd to uhd all at the same time
[01:40:21.920 --> 01:40:25.840]   Which is fantastic greater power and flexibility of productions
[01:40:25.840 --> 01:40:33.200]   They've brought the live panel builder into the tricaster meaning users can create bespoke user interfaces and customize each preset
[01:40:33.520 --> 01:40:40.880]   Within the user interface making your distributed workflows simpler more cohesive and never never compromising on quality
[01:40:40.880 --> 01:40:47.680]   Quality and creativity have not been forgotten as operators now see the resolution and frame rate of every video source
[01:40:47.680 --> 01:40:52.720]   Coming into their tricaster to ensure they can always be confident of the quality of their sources
[01:40:52.720 --> 01:40:59.120]   The ndi genlock tool allows tricaster to elite users to match outputs to a common sync pulse
[01:40:59.600 --> 01:41:05.280]   Alex lindsey will tell you how important that is so you know exactly when to send a frame of video for pinpoint accuracy
[01:41:05.280 --> 01:41:11.680]   It's perfect for remote workflows. You can now send alpha channel through one of the mix outs bringing post production closer to live
[01:41:11.680 --> 01:41:17.360]   Users can use the keying on tricaster to feed graphics or real-time 3d creation tools
[01:41:17.360 --> 01:41:23.760]   Since it's arrival in 2020 the tricaster to elite has offered incredibly powerful live production system
[01:41:24.320 --> 01:41:31.680]   The very latest updates which we have now i'm so happy to say put even more power in the hands of storytellers everywhere tricaster to
[01:41:31.680 --> 01:41:33.280]   Elite
[01:41:33.280 --> 01:41:38.160]   It's transformative. It's setting new standards and you know what it's better than broadcast
[01:41:38.160 --> 01:41:45.840]   It is it really is the tricaster one pro is an evolution in modern storytelling for producers content creators and publishers
[01:41:45.840 --> 01:41:49.600]   With future ready capabilities. Why don't we have one of those john?
[01:41:50.000 --> 01:41:55.280]   Let's get one of those is a streamlined live video production system with live call connect support for 4k
[01:41:55.280 --> 01:41:58.880]   uhd switching live streaming recording and data driven
[01:41:58.880 --> 01:42:02.320]   We can have 4k, but just not from my picture. Okay
[01:42:02.320 --> 01:42:06.000]   explore the latest in the tricaster family
[01:42:06.000 --> 01:42:10.560]   Visit go.newtech.com/twit- tv
[01:42:10.560 --> 01:42:15.360]   Where you'll find it easy to use interactive guide that offers advice on which tricaster is right for you
[01:42:15.360 --> 01:42:19.040]   That's go. Any w tk
[01:42:19.680 --> 01:42:25.120]   newtech.com/twit- tv don't forget the dash
[01:42:25.120 --> 01:42:29.840]   I just love the new tech stuff and now I want to tricaster one pro
[01:42:29.840 --> 01:42:32.720]   Did we get did they give us the option?
[01:42:32.720 --> 01:42:35.360]   Did they say you can have the tricaster to elite?
[01:42:35.360 --> 01:42:37.280]   Ah
[01:42:37.280 --> 01:42:39.680]   This is brand new this new one. This just came out
[01:42:39.680 --> 01:42:48.000]   All right, okay get it. Let's get on the horn. I always want the latest visit go.newtech.com/twit
[01:42:48.560 --> 01:42:50.560]   dash tv
[01:42:50.560 --> 01:42:52.720]   now time
[01:42:52.720 --> 01:42:56.880]   For the picks of the week Andy and not co can start us off Andrew
[01:42:56.880 --> 01:43:01.680]   Uh, this is a really esoteric but interesting app I came across recently
[01:43:01.680 --> 01:43:07.920]   It's called blur screen and all it does is it will blur sections of your screen on command
[01:43:07.920 --> 01:43:11.200]   So that if you're doing like a live stream and you're doing the hey
[01:43:11.200 --> 01:43:16.880]   Or you're even recording a video recording a screen capture of hey and here's what it's like
[01:43:16.960 --> 01:43:21.920]   Here's how to log into the system and this is the point which you don't want people to see your username or your password
[01:43:21.920 --> 01:43:28.640]   Instead of like recording it to video and then using post-production you can just simply activate this this plugin
[01:43:28.640 --> 01:43:36.240]   Uh draw a rectangle on the screen and select how blurry it's going to be and then like that section of the screen is just blurred out
[01:43:36.240 --> 01:43:38.800]   It's also nice because you can activate it by hotkey
[01:43:38.800 --> 01:43:44.080]   So again if you're pre recording you can you know that this is the this is the area of the screen that I will want to have blurred
[01:43:44.080 --> 01:43:49.360]   Out when I demonstrate this part of it so you can just blah blah blah blah click this do this and then hit command B
[01:43:49.360 --> 01:43:54.880]   And now suddenly that part is blurred out while you're typing in your thing and then you go to the next part you can unblur it
[01:43:54.880 --> 01:44:00.640]   It's it seems to do a very very simple thing such a simple thing that I was surprised that I I was like there must be something else
[01:44:00.640 --> 01:44:05.520]   Like this uh out there somewhere and there kind of really isn't there a lot of individual apps for
[01:44:05.520 --> 01:44:13.440]   uh graphic designers that will make it very very easy to I'm gonna drag this image onto this app and then I can black out parts of a user ID or
[01:44:13.440 --> 01:44:20.080]   Whatever like this. This is this is the only one that I can come across that seems to be for live streamers
[01:44:20.080 --> 01:44:24.720]   It'll work with zoom. It'll work with most screen sharing sort of apps
[01:44:24.720 --> 01:44:28.880]   Or if you're or again for screen capture for for for
[01:44:28.880 --> 01:44:32.240]   Capturing what you're doing on your screen while you're doing it
[01:44:32.240 --> 01:44:34.800]   And it's not that expensive it's 20 bucks, but you own it
[01:44:34.800 --> 01:44:39.840]   It's not like 20 bucks like a year for for that and it it strikes me as something that
[01:44:40.400 --> 01:44:45.040]   If you don't need it, you will never use it, but there are people listening to what's the give the URL
[01:44:45.040 --> 01:44:47.040]   But give the URL this is exactly a solution
[01:44:47.040 --> 01:44:52.560]   It'll if most of your post processing is like now what now they've gotten the video editor
[01:44:52.560 --> 01:44:55.440]   Now I have to edit out all this stuff. I don't want people to see
[01:44:55.440 --> 01:45:00.320]   It's nice to be able to do this stuff live or in camera so to speak without having to deal with it later
[01:45:00.320 --> 01:45:02.320]   So I thought it that seems to work pretty well
[01:45:02.320 --> 01:45:06.880]   Now I can go 4k and just blur my face perfect solution here you go
[01:45:07.120 --> 01:45:11.760]   I just if I didn't shave this morning, there you go. Just blur from like here down blur screen dot app
[01:45:11.760 --> 01:45:14.400]   Bob your l-u-r-s-c-r-e-e-n dot app
[01:45:14.400 --> 01:45:17.680]   Renee red jay pick of the week
[01:45:17.680 --> 01:45:19.440]   So this just came out today
[01:45:19.440 --> 01:45:25.200]   And I always like to keep these pics super fresh if I can and it is the dgi mini 3 pro
[01:45:25.200 --> 01:45:28.480]   I have a mini 2 and the reason that the minis are so important
[01:45:28.480 --> 01:45:31.680]   Is that a lot of jurisdictions have clamped down on drones, you know as well
[01:45:31.680 --> 01:45:34.880]   They should have and for over I think it's 250 grams
[01:45:35.120 --> 01:45:37.760]   You need to basically register it with your local flight authority
[01:45:37.760 --> 01:45:40.720]   I think in some places you got to take the equivalent of a pilot's license
[01:45:40.720 --> 01:45:46.640]   But they're highly highly regulated with tons of areas that you just like people will tattle on you super fast
[01:45:46.640 --> 01:45:51.040]   So this is like a 249 or something like one gram one ounce. I forget the measurement
[01:45:51.040 --> 01:45:56.320]   Right below the legal limit so you can actually use this in a lot of areas
[01:45:56.320 --> 01:45:58.800]   And this is a caveat
[01:45:58.800 --> 01:46:01.120]   This is what my gjelgen had when we were in mexico
[01:46:01.120 --> 01:46:03.920]   And it was great because you could just whip it out anywhere
[01:46:04.560 --> 01:46:07.840]   And and get great footage because it's so light. It's so little
[01:46:07.840 --> 01:46:10.000]   There's still there's no fly zone still like for example
[01:46:10.000 --> 01:46:11.680]   The app won't let you use it near an airport
[01:46:11.680 --> 01:46:16.240]   So there are places where it's heavily risk and some some places are completely restricted just because of the government
[01:46:16.240 --> 01:46:19.280]   But it lets you use it any place where it's not dangerous to use
[01:46:19.280 --> 01:46:22.080]   And the big difference between this and the two is one
[01:46:22.080 --> 01:46:25.360]   This has higher capacity batteries if you really need to use it longer
[01:46:25.360 --> 01:46:26.480]   They are heavier though
[01:46:26.480 --> 01:46:29.920]   So you will then have to go through the whole normal drone process if you want to use those
[01:46:29.920 --> 01:46:33.120]   But you can get like 30 minutes with just the built-in batteries here
[01:46:33.280 --> 01:46:36.640]   This is iJustines a video using the M3 pro
[01:46:36.640 --> 01:46:37.520]   Yeah
[01:46:37.520 --> 01:46:38.640]   Yeah
[01:46:38.640 --> 01:46:43.120]   You need to find something you need to find somebody in your life who looks at you the way Justine looks
[01:46:43.120 --> 01:46:45.440]   At the controller that she discovers
[01:46:45.440 --> 01:46:49.200]   She didn't think there was an included controller. She sees there's a controller with a screen
[01:46:49.200 --> 01:46:52.080]   She lights up in a way that you've just got to find something you like
[01:46:52.080 --> 01:46:54.880]   Because in the past you've used an iPhone or an iPad right
[01:46:54.880 --> 01:46:57.520]   Yeah
[01:46:57.520 --> 01:46:59.520]   And a touch
[01:46:59.520 --> 01:47:05.600]   Yeah
[01:47:05.600 --> 01:47:10.160]   The great thing about iJustine is that her reputation is like you know that's a genuine like reaction
[01:47:10.160 --> 01:47:11.440]   It's not supposed to
[01:47:11.440 --> 01:47:15.680]   Now get ready to shoot the thumbnail producer because i'm going to be really a big one i go
[01:47:15.680 --> 01:47:17.120]   Oh my god
[01:47:17.120 --> 01:47:19.520]   I like it though that i don't have that i that it has
[01:47:19.520 --> 01:47:21.680]   The controller
[01:47:21.680 --> 01:47:23.600]   Has its own thing built in that's fine
[01:47:23.600 --> 01:47:26.720]   So no one tries to face time you or call your message while you're using it
[01:47:26.960 --> 01:47:31.440]   And also this has four sensors two on the top and two on the bottom for dodging like
[01:47:31.440 --> 01:47:33.600]   Uh good because i need that
[01:47:33.600 --> 01:47:38.400]   The mini two didn't so like if you were if you were flying at someplace you should be flying to it's really easy
[01:47:38.400 --> 01:47:41.840]   I know this from personal experience it would bounce off. Yeah, that's not good for a drone
[01:47:41.840 --> 01:47:44.000]   So this actually will avoid obstacles
[01:47:44.000 --> 01:47:47.360]   For you, which makes it much more useful and the camera pivots
[01:47:47.360 --> 01:47:52.640]   So that if you are doing like for example if your son is doing the tick-tock and he wants to zoom in on his cooking
[01:47:52.640 --> 01:47:56.400]   You don't have to crop anymore. You can just rotate the camera to portrait mode
[01:47:56.800 --> 01:48:00.400]   Film all your videos that way so he flies into the window right into the kitchen
[01:48:00.400 --> 01:48:03.760]   Just down on the table just in time for the flambe whatever you need
[01:48:03.760 --> 01:48:08.480]   Uh, which is great because there are shorts and reels and tick-tocks and all those things right now
[01:48:08.480 --> 01:48:10.960]   I may have to get this
[01:48:10.960 --> 01:48:12.960]   Uh, do you think i won't be able to crash it?
[01:48:12.960 --> 01:48:19.120]   No, no, you'll crash it for sure, but there's a bonus pack you can get that has extra batteries and extra propellers
[01:48:19.120 --> 01:48:22.400]   Oh, you know, hopefully it'll it'll resist at least a couple times
[01:48:22.400 --> 01:48:25.920]   I'm thinking i'd like to bring this uh with me to alaska it might be kind of fun
[01:48:25.920 --> 01:48:29.120]   Peter mckinnon had some footage he filmed on a lake in italy and it is
[01:48:29.120 --> 01:48:34.880]   Unbelievably good looking as a 48 megapixel sensor on the camera, uh, so it shoots really really crisp
[01:48:34.880 --> 01:48:40.320]   Beautiful looking video. That's a big sacrifice and a lot of these little ones is you don't have a good camera
[01:48:40.320 --> 01:48:42.960]   That's pretty impressive. Yeah, and you can do though
[01:48:42.960 --> 01:48:46.800]   It's not like first person like some drones are first person and you actually feel like you're flying it
[01:48:46.800 --> 01:48:49.520]   Um, but if you're if you're if you're a good enough video game player
[01:48:49.520 --> 01:48:52.400]   You can do those shots where like you fly through the open door right?
[01:48:52.400 --> 01:48:58.400]   You know, so you could use it really impressive. FPV is very hard to do. Yeah, uh, yeah, it's you know
[01:48:58.400 --> 01:49:04.880]   It's kind of cool if you get really good at it, but it's very very you got to really practice a lot
[01:49:04.880 --> 01:49:09.440]   And this stuff is just gorgeous looking does this have the follow me thing because that's the other thing
[01:49:09.440 --> 01:49:11.920]   Yeah, it looks like it does it has tracking. Yes. Yeah
[01:49:11.920 --> 01:49:16.480]   So I I can get on the cruise and just say follow us
[01:49:16.480 --> 01:49:19.760]   As long as it's cruise legal
[01:49:20.720 --> 01:49:26.480]   I don't know if it's cruise legal. Okay, but a lot of beaches are fine with it
[01:49:26.480 --> 01:49:32.400]   You know a lot of places a lot of parks are fine with it and like a lot of car like you there's fantastic car shots that you can get
[01:49:32.400 --> 01:49:36.640]   It's it's really nice. Wow. It's I love it that it has obstacle sensing and all
[01:49:36.640 --> 01:49:39.280]   All planes now
[01:49:39.280 --> 01:49:44.000]   This might be this might be finally the one that says you know what maybe this wouldn't be a foolish purchase handy
[01:49:44.000 --> 01:49:49.520]   It's always a full is always a foolish purchase for me right now. You have to reserve it
[01:49:49.520 --> 01:49:51.520]   You can't buy it yet
[01:49:51.520 --> 01:49:58.480]   So I'll just have to fill in my address and I think if you want it like act fast because what we've noticed about the last couple of years
[01:49:58.480 --> 01:50:01.440]   Is that you can buy things right away or have a really long wait?
[01:50:01.440 --> 01:50:06.080]   Yeah, like they made a hundred and they're not gonna make any more till 2025
[01:50:06.080 --> 01:50:12.800]   I don't know if you saw it, but like the Macbook was like, I don't know 70 70 odd days or something to get like a Mac book pro and some of the other stuff
[01:50:12.800 --> 01:50:18.080]   Crazy. Oh wait a minute. It won't be available till august. So I can't take it on the cruise. That's a relief
[01:50:18.480 --> 01:50:27.280]   You can get a map you can go to DJI mini too. I mean you're sorry. No, no, no, no, no, no, I I did order the uh snapchat selfie
[01:50:27.280 --> 01:50:28.800]   drone
[01:50:28.800 --> 01:50:31.360]   I figured I can't screw that up. There's nothing to steer with
[01:50:31.360 --> 01:50:35.440]   If it's cruise if it's if it's gonna screw up, it's just gonna have to screw itself up
[01:50:35.440 --> 01:50:44.080]   I figure Lindsey must have an ornithopter for his iPhone. Oh, wouldn't that be cool with the flapping wings? Yeah, he leave gyro
[01:50:46.160 --> 01:50:54.080]   We have come to the conclusion of this gripping thrilling edition of mac break weekly the day the ipod died
[01:50:54.080 --> 01:51:02.080]   Thousand songs in my pocket
[01:51:02.080 --> 01:51:07.200]   Andy and ako wgbh is calling when will you respond?
[01:51:07.200 --> 01:51:12.720]   I am off this week this week, but I'll be back next week until then you can see everything that I've been done for the last
[01:51:13.280 --> 01:51:15.280]   Few years on wgbh news.org
[01:51:15.280 --> 01:51:19.040]   You can stream it wherever you want to usually break up my own segment
[01:51:19.040 --> 01:51:21.520]   segments into their own actual link
[01:51:21.520 --> 01:51:28.880]   I have a plug you can watch my son salt hank in the sandwich battle tonight on access hollywood
[01:51:28.880 --> 01:51:31.600]   I know who wins, but I can't tell you
[01:51:31.600 --> 01:51:38.720]   This is his second appearance in access hollywood. I think he's becoming a celebrity
[01:51:40.640 --> 01:51:46.400]   Uh mr. Yes when you'll be the father you won't be like the star. I will be the star already am I know his dad
[01:51:46.400 --> 01:51:51.360]   Yeah, I'm the father your hank's dad. I'm hank's dad. What's what's you gonna wear to the metgal the next year?
[01:51:51.360 --> 01:51:57.360]   You know, that's a good question. I'll have to ask him. I bet he's going black chef's had I bet he's going
[01:51:57.360 --> 01:52:03.600]   Renee richy youtube.com/Renee richy you said you just did a video
[01:52:03.600 --> 01:52:07.360]   All about this whole back to work thing
[01:52:08.480 --> 01:52:13.760]   I'm looking at apples culture clash from retention through like whether people are happy with apple park
[01:52:13.760 --> 01:52:19.600]   People who have enough money. They don't have to work anymore if they don't want to people want to spend time with their rsu's if they can
[01:52:19.600 --> 01:52:27.360]   And then just what's what's gonna happen moving forward? So everything that's currently a battle. I think within apple apple for their future
[01:52:27.360 --> 01:52:31.280]   Finally is the name of the is the name of the piece
[01:52:31.280 --> 01:52:36.400]   You're gonna have to watch it. You gotta have to watch it to find out what he's talking about
[01:52:36.400 --> 01:52:38.720]   I'm trying to do videos that you won't see on any other youtube channel
[01:52:38.720 --> 01:52:39.520]   I like it
[01:52:39.520 --> 01:52:46.160]   Experimenting with not doing like b-roll. I'm trying to do the stuff that I can do good very rewarding so far. Good. That's so great
[01:52:46.160 --> 01:52:49.280]   Your point of view is what I love about your videos exactly
[01:52:49.280 --> 01:52:50.240]   So
[01:52:50.240 --> 01:52:57.760]   And we don't need to be we don't need the 13th hot take on something that really there's only there's really nothing to say about it except for to inform people
[01:52:57.760 --> 01:53:03.120]   It's happened. It's like you have such a great point of view and every time you have something to say about his topic
[01:53:03.440 --> 01:53:11.040]   It always makes me not necessarily reconsider what I thought that is something I hadn't I hadn't seen it from that this that direction before
[01:53:11.040 --> 01:53:16.400]   I'm gonna reconsider a few things. Absolutely. I get to hone them all here with you guys on Mac break. So you are my
[01:53:16.400 --> 01:53:18.720]   Exactly
[01:53:18.720 --> 01:53:25.440]   I'm so I'm so lucky that like I'm on NPR on fridays because oftentimes I'll will written like that's that part of the segment like on like
[01:53:25.440 --> 01:53:30.720]   Monday night when the news hit then like suddenly I have to actually talk about it with three very very smart people like oh
[01:53:31.280 --> 01:53:36.560]   That is that is an excellent point. I guess I guess I guess I hadn't thought about that before
[01:53:36.560 --> 01:53:41.840]   Absolutely on Friday. I'm a genius. Why do you think I started twit all those years ago?
[01:53:41.840 --> 01:53:48.320]   It was to combine all the knowledge of all the friends I have so that I could not be such an idiot and uh
[01:53:48.320 --> 01:53:52.000]   It hasn't worked yet, but it's like if you listen to us in the morning
[01:53:52.000 --> 01:53:55.520]   You will be the smartest person in the room and at lunchtime. That's our only goal. That's our goal
[01:53:56.160 --> 01:54:03.040]   We do Mac break weekly every Tuesday 11 am pacific 2 pm eastern time 1800 utc you can watch us do it live
[01:54:03.040 --> 01:54:05.120]   at live dot twit
[01:54:05.120 --> 01:54:12.080]   Dot tv there's actually live audio and video there watching live chat live with us either in our club twit discord or on our
[01:54:12.080 --> 01:54:20.640]   Wide open irc at irc dot twit dot tv folks if you subscribe to club twit seven bucks a month you get ad free shows
[01:54:20.640 --> 01:54:24.960]   I get ad free shows you get ad free shows plus you get the twit plus feed
[01:54:25.440 --> 01:54:31.200]   Which has some wonderful stuff and including the untitled linux show and you get access to our discord, which is
[01:54:31.200 --> 01:54:33.520]   gobs of fun
[01:54:33.520 --> 01:54:37.040]   All the time so it's really a win all around
[01:54:37.040 --> 01:54:41.760]   Seven dollars a month twit dot tv slash club twit
[01:54:41.760 --> 01:54:49.440]   Please help us out help a guy out help the fellow out after the fact on demand versions of the show available
[01:54:49.440 --> 01:54:53.120]   It is a open the pod bay doors how cast
[01:54:53.120 --> 01:54:57.840]   You can get it from our website twit dot tv slash m b w
[01:54:57.840 --> 01:55:01.680]   You can also get it wherever you get your podcasts or on youtube
[01:55:01.680 --> 01:55:04.080]   There's a full youtube channel dedicated to it as well
[01:55:04.080 --> 01:55:08.560]   Audio and video of all the shows. Thank you so much for watching
[01:55:08.560 --> 01:55:14.240]   And now I have to say it it's time to get back to work because break time is over
[01:55:14.240 --> 01:55:16.160]   See you next time
[01:55:16.160 --> 01:55:20.560]   The world is changing rapidly so rapidly in fact that it's hard to keep up
[01:55:20.560 --> 01:55:28.160]   That's why mica sergeant and I Jason howl talk with the people making and breaking the tech news on tech news weekly every thursday
[01:55:28.160 --> 01:55:30.480]   They know these stories better than anyone
[01:55:30.480 --> 01:55:33.600]   So why not get them to talk about it in their own words
[01:55:33.600 --> 01:55:38.240]   Subscribe to tech news weekly and you won't miss a beat every thursday at twit dot tv
[01:55:38.240 --> 01:55:50.320]   [Music]

