
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[00:22:24.040 --> 00:22:27.560]   They really want to have this but the it's been a very difficult negotiation
[00:22:28.120 --> 00:22:34.040]   All of it and the carrying locals live locals isn't just doesn't just require the approval of the locals
[00:22:34.040 --> 00:22:38.760]   You've also if they're gonna put network content on it, which if they don't and it's one then who cares
[00:22:38.760 --> 00:22:44.600]   They're gonna get the network approval too, right? I mean this is a and so far apple's been rebuffed every time
[00:22:44.600 --> 00:22:47.080]   Well, I think it's a big thing to them that yeah
[00:22:47.080 --> 00:22:53.080]   Danger the content creators. I mean or those studios not really content creators the studios are getting into is that they have
[00:22:53.640 --> 00:22:58.520]   Successfully turned off Netflix from buying stuff from them. They've successfully turned off fans. Yeah, it's accessible
[00:22:58.520 --> 00:23:02.280]   And so they're getting billions of dollars spent by these tech companies to
[00:23:02.280 --> 00:23:08.120]   To essentially build their own content. So I mean apple's only gonna put up with this for so long if they don't
[00:23:08.120 --> 00:23:11.800]   They need to they need to figure out a way that makes sense for them
[00:23:11.800 --> 00:23:16.120]   But they keep on pushing on this apple's gonna go start building their own content and and forget about them
[00:23:16.120 --> 00:23:22.680]   I mean the studios are really in a well, but okay apple's built its own content so far and it's not been exactly a threat to the networks
[00:23:22.840 --> 00:23:27.400]   Yes, no, I agree that they they've not I I think that they brought in new folks that
[00:23:27.400 --> 00:23:31.080]   Hopefully we'll have a better sense of what that looks like, but yeah, they're original
[00:23:31.080 --> 00:23:38.440]   Uh version of the apps coming on and uh, so far carpool karaoke's not exactly a winner either for that matter
[00:23:38.440 --> 00:23:42.520]   But there there's also an argument you made that if they're really pursuing the networks
[00:23:42.520 --> 00:23:47.960]   It's sort of like trying to get big band music on your on your music service
[00:23:48.440 --> 00:23:53.080]   I mean, it's how how many people are really interested in network programming outside of sports
[00:23:53.080 --> 00:23:58.120]   So really live tv is where it's at if you can get people want their football people want their basketball
[00:23:58.120 --> 00:24:00.520]   Uh, but even that's going to cable channels
[00:24:00.520 --> 00:24:05.560]   They're they have the money to uh to buy the licenses with those things and you can get that through sling
[00:24:05.560 --> 00:24:10.920]   Sling tv can get that through other things people who do like uh network programming very
[00:24:10.920 --> 00:24:15.880]   They may be they might be perfectly happy to wait for it to come to hulu a couple seasons later
[00:24:15.960 --> 00:24:18.680]   It might be perfectly happy to wait for it to come to netflix
[00:24:18.680 --> 00:24:23.000]   So you think what they would do is carry a local but blackout the network programming?
[00:24:23.000 --> 00:24:25.560]   No, I'm I'm saying that it's a it's a
[00:24:25.560 --> 00:24:30.920]   Pursuing local network stations was a much bigger
[00:24:30.920 --> 00:24:36.280]   What was a much bigger jewel three or four years ago and that it is right now at this point?
[00:24:36.280 --> 00:24:45.000]   The amount of effort they have to put in which is considerable for the win that they will receive by getting that which is now much lower
[00:24:45.400 --> 00:24:52.520]   I mean, it's and I think would be much more interesting if apple were to say oh and by the way apple tv now supports network tv tuners
[00:24:52.520 --> 00:24:56.760]   So if you buy an hd home run you can get every single local broadcast station for free
[00:24:56.760 --> 00:25:03.720]   Uh, and if if they were to go even further and say that this also every apple tv is all can also work as a dv
[00:25:03.720 --> 00:25:07.160]   R that will sink automatically to your iTunes library
[00:25:07.160 --> 00:25:13.880]   To me, that's a much better solution than trying to keep negotiating with cbs and nbc and all these other groups
[00:25:14.440 --> 00:25:20.840]   I'm looking at my my ipad the tv app and my ipad right now and contrast this to youtube tv
[00:25:20.840 --> 00:25:26.760]   Which i'm also looking at and I have a subscription for on the ipad sign into your tv provider. I have to I have to
[00:25:26.760 --> 00:25:32.680]   I have to use that is like the like and you just this is the constant attack and then it's like this complicated thing and
[00:25:32.680 --> 00:25:39.000]   And you got a log in and then i look at youtube tv and look at i've got all the locals now that this is market by market
[00:25:39.000 --> 00:25:44.360]   But i'm in the san francisco market, so i've got fox i've got cbs i've got abc and
[00:25:44.360 --> 00:25:47.800]   By the way, this is a nice interface the only thing lacking is
[00:25:47.800 --> 00:25:53.400]   It's it's on a computer. It's not on an apple tv style device. I can't run
[00:25:53.400 --> 00:25:59.960]   Weirdly and I suspect this is a restriction that the locals and the and the content creators have offered
[00:25:59.960 --> 00:26:05.400]   I can't put this on my android tv. I can only which is weird. I mean, why can't i put you?
[00:26:05.400 --> 00:26:09.080]   Put other stuff on your computer it's the i don't think it's any coincidence
[00:26:09.080 --> 00:26:15.080]   Quinses either that the amazon app is going to debut at this event and not earlier on because earlier on you wouldn't get the benefit
[00:26:15.080 --> 00:26:20.200]   Of the hdr content, and that's the thing it's like there was apple could have done 4k earlier
[00:26:20.200 --> 00:26:25.560]   But there was no 4k itunes they didn't have the deals in place even today the wall street journalist saying that apples are going over pricing
[00:26:25.560 --> 00:26:31.480]   They want 20 for for the 4k content and the studios want 25 to 30 dollars for it
[00:26:31.480 --> 00:26:33.720]   And it's you know, there's no there's no guarantee those deals
[00:26:34.120 --> 00:26:37.000]   Well, I'll get made I mean usually they come through at the last minute because you know
[00:26:37.000 --> 00:26:40.120]   They figured all this is this is as last minute as you can get this is again
[00:26:40.120 --> 00:26:44.280]   Another wall street or a box with no 4k content is a hard sell. Yeah
[00:26:44.280 --> 00:26:47.000]   Well, yeah, hmm
[00:26:47.000 --> 00:26:50.680]   So this is about buying the movie as opposed to renting it
[00:26:50.680 --> 00:26:55.400]   But I know when I voodoo or amazon or google I pay more
[00:26:55.400 --> 00:27:00.120]   For uhd content than I do for hd content and I pay more for hd content
[00:27:00.120 --> 00:27:04.280]   I do for a standard definition content so and we're still purchase native
[00:27:04.280 --> 00:27:08.600]   I mean a lot of people these days are stream native. They don't want anything to do with purchasing individual movies anymore
[00:27:08.600 --> 00:27:10.600]   Yeah, yeah
[00:27:10.600 --> 00:27:14.280]   Hmm. Hmm. This will be very very interesting
[00:27:14.280 --> 00:27:22.200]   All right, well, it feels like it's just a lot of turbulence right now like they
[00:27:22.200 --> 00:27:27.800]   The hollywood is still they're still convinced that apple ruined the music business and they're not gonna let don't ruin the
[00:27:28.200 --> 00:27:33.640]   Video business. Well, the funny thing is is that they're actually getting themselves into a position where they're gonna ruin their own business because they're
[00:27:33.640 --> 00:27:40.600]   Not wanting to play they're so afraid of of this happening that they are you know trying to hang on to something that is moving very fast
[00:27:40.600 --> 00:27:42.920]   These companies did not want to make their own content
[00:27:42.920 --> 00:27:49.720]   Like they they wanted to license the easy way out was the license their own content and hollywood is very quickly persuading them
[00:27:49.720 --> 00:27:53.000]   To do something different, you know like that they're gonna have to build their own content
[00:27:53.000 --> 00:27:54.520]   They're gonna have to develop their own
[00:27:54.520 --> 00:28:00.280]   You know bits and pieces because they can't work with with the studios, you know and the studios keep on putting out when you look at television content
[00:28:00.280 --> 00:28:02.600]   I mean they just put out stuff that isn't
[00:28:02.600 --> 00:28:08.280]   Andy you said that live tv isn't the crown jewel it used to be but look at this interface on youtube tv
[00:28:08.280 --> 00:28:13.880]   I mean I think this is these are all live and moving. These are news channels recommended channels
[00:28:13.880 --> 00:28:19.560]   This would be a great interface on apple tv that you could put up and then you could zoom in on the channel that you wanted to
[00:28:20.120 --> 00:28:28.440]   Watch I mean, I think this is this is what youtube's doing with youtube tv. I think that's very compelling and I it's so it's a shame that apple can't do that on the apple tv
[00:28:28.440 --> 00:28:32.440]   There's a difficulty when there's a difficulty when it's
[00:28:32.440 --> 00:28:39.720]   It's important to remember how important simply training an audience training a customer is
[00:28:39.720 --> 00:28:44.920]   People for generations were trained to go to live tv for entertainment
[00:28:45.320 --> 00:28:55.080]   And over the years I can only speak for myself. I've been trained not to go to live tv anymore because nothing that I very little of what I want to see is actually on tv anymore
[00:28:55.080 --> 00:29:00.200]   And when it's there because advertising has become so much more
[00:29:00.200 --> 00:29:07.240]   Of a blood sport now instead of i'm going to get at least three or four commercials for you know, hey
[00:29:07.240 --> 00:29:12.920]   Let's sign these papers and we'll take your home away from you like you get your home take away from you sign with us
[00:29:12.920 --> 00:29:15.960]   We'll have your loan if you know all these commercials that aren't just annoying
[00:29:15.960 --> 00:29:20.680]   But they're kind of insulting and offensive and so which also drives me away from seeing things
[00:29:20.680 --> 00:29:25.800]   Especially when you have the opportunity to go to something like hulu where for a tie or youtube
[00:29:25.800 --> 00:29:31.160]   Where for a tiny amount extra per month you it'll say and we will give you no commercials whatsoever
[00:29:31.160 --> 00:29:33.960]   You just get to see the show and that's for me
[00:29:33.960 --> 00:29:40.600]   That's worth waiting 24 hours to just not see any commercials and have a dpr to me youtube tv is an interesting
