
[00:00:00.000 --> 00:00:05.760]   It's time for Mac Break Weekly Andy and Akko's here and it's a rare sighting of Alex Lindsey
[01:28:50.300 --> 01:28:52.460]   Anyway
[01:28:52.460 --> 01:28:54.460]   This is by way of saying
[01:28:54.460 --> 01:29:02.140]   Please sign up for audible audible.com slash mac break. You will love it. They are having a big sale and it's july 5th
[01:29:02.140 --> 01:29:04.460]   $5 books. This is just great
[01:29:04.460 --> 01:29:07.180]   Enough enough said
[01:29:07.180 --> 01:29:12.620]   Do you want to do an iOS you have you haven't been here so long? We haven't done any iOS tips
[01:29:12.620 --> 01:29:15.900]   Do you have an iOS tip? Do you want to do an iOS? Do you care? Okay, go ahead. I do so um
[01:29:15.900 --> 01:29:18.780]   As we've talked about earlier, I travel a lot
[01:29:18.780 --> 01:29:23.260]   Um and one of the problems that you end up with is that you get onto these Wi-Fi networks and
[01:29:23.260 --> 01:29:27.260]   The what your messages aren't going through because you know, you're you kind of work
[01:29:27.260 --> 01:29:29.580]   Oh, I don't know if I talked about this one before but I'm gonna try it
[01:29:29.580 --> 01:29:33.100]   I'm gonna it's important one because I use it all the time. Yeah, so uh
[01:29:33.100 --> 01:29:39.340]   So essentially what happens is that you are constantly in a situation where you're finding your messages through messages
[01:29:39.340 --> 01:29:43.740]   There's not going through it. So you know because what the iOS is doing is if you're going iPhone to iPhone
[01:29:43.740 --> 01:29:45.100]   It's gonna use the Wi-Fi
[01:29:45.100 --> 01:29:49.420]   But you what happens is you walk into an airport you walk into a hotel and you're being logged into their little thing
[01:29:49.420 --> 01:29:51.580]   And it's waiting for you to go to the website and pay 18 dollars
[01:29:51.580 --> 01:29:57.340]   So you're so so your iPhone thinks that you are now connected to Wi-Fi and it's trying to send out text message through there
[01:29:57.340 --> 01:29:59.660]   But it's not getting anywhere and it's not smart enough to know that
[01:29:59.660 --> 01:30:05.660]   So one of the things that's really important is to know that you can go into your messages go to iMessage and turn that iMessage off
[01:30:06.140 --> 01:30:09.580]   And I really toggle this all the time. So if I feel like I'm traveling a lot
[01:30:09.580 --> 01:30:13.100]   You do want it on because it saves you a lot of money if you overseas
[01:30:13.100 --> 01:30:15.340]   So it's very important to turn it on when you can
[01:30:15.340 --> 01:30:20.700]   Um, so you turn it on um, but when you if you're having if you find that it's stalling constantly
[01:30:20.700 --> 01:30:26.060]   You know like iMessage is a lot of times when it's doing iPhone to iPhone little blue box instead of the green box
[01:30:26.060 --> 01:30:30.060]   Um, you're gonna find that it's stalling like just waiting for a long time it the
[01:30:30.060 --> 01:30:33.260]   Your sms will be much much faster to get to somebody
[01:30:33.260 --> 01:30:37.500]   Oh, that's good. Um, it just that if you have a limit on your if you're not unlimited sms or if you're overseas
[01:30:37.500 --> 01:30:38.780]   It's gonna cost you money
[01:30:38.780 --> 01:30:43.420]   But if you are but the thing to know is that if you're seeing it stall and you feel like the thing's going slow
[01:30:43.420 --> 01:30:47.740]   You can always switch you can go to messages and switch to iMessage and just turn off iMessage
[01:30:47.740 --> 01:30:51.980]   And then it'll go back to sms and then it you know and it'll be much much faster
[01:30:51.980 --> 01:30:54.700]   Um sending those back and forth. So that's my tip
[01:30:54.700 --> 01:30:57.260]   By the way katie
[01:30:57.260 --> 01:31:02.060]   Is not sleeping. She's enjoying mac break weekly. She's trying to touch your head right now
[01:31:02.780 --> 01:31:04.780]   Sam, thank you
[01:31:04.780 --> 01:31:05.900]   our uh
[01:31:05.900 --> 01:31:07.900]   OS 10 tip and dianna co
[01:31:07.900 --> 01:31:10.220]   I am going to call it audible
[01:31:10.220 --> 01:31:15.340]   I'm gonna dispense with the one that I was planning on do since we're talking about the iMessage and messaging in general
[01:31:15.340 --> 01:31:19.820]   Uh, this is a tip for iChat and messaging the mess new messaging app
[01:31:19.820 --> 01:31:26.140]   Which I only discovered about a month and a half two months ago when I was trying to debug a problem where for some reason
[01:31:26.140 --> 01:31:32.620]   The app would just not connect to to any of the iChat servers servers or the iMessage servers
[01:31:33.180 --> 01:31:38.780]   Uh, and didn't matter if I quit and restart it didn't matter if I killed the helper amp that's invisible
[01:31:38.780 --> 01:31:41.660]   Just did not work and that's when I started digging through
[01:31:41.660 --> 01:31:47.660]   Support files and I found out that there is a there isn't an explicit logout of
[01:31:47.660 --> 01:31:50.300]   iMessage logout of
[01:31:50.300 --> 01:31:52.300]   Of of iChat
[01:31:52.300 --> 01:31:56.460]   Button in the in the app, but if you do go into preferences and go into accounts
[01:31:56.460 --> 01:32:01.260]   There is a checkbox next to enable this account for each of the different services that you use
[01:32:01.500 --> 01:32:07.820]   If you just uncheck it wait a couple of seconds and then check it again that will log you out and then back in again
[01:32:07.820 --> 01:32:10.300]   uh, so what will happen then is that
[01:32:10.300 --> 01:32:15.500]   The frame I experienced at least seven out of ten times if for some reason you can't log in
[01:32:15.500 --> 01:32:18.940]   If you just simply uncheck the account then check it back. You don't have to quit
[01:32:18.940 --> 01:32:24.380]   You don't have to restart you have to do anything like that. It will somehow debam boozle itself and you'll be offering it again
[01:32:24.380 --> 01:32:25.980]   Ah, good tip
[01:32:25.980 --> 01:32:29.580]   It's good to know and I did mention you can't get messages anymore
[01:32:29.580 --> 01:32:32.540]   If you didn't get it when it was available downloadable for the beta
[01:32:32.540 --> 01:32:37.500]   You're gonna you're not gonna have it on your desktop, but I think we're gonna see
[01:32:37.500 --> 01:32:42.780]   It's gonna be this month right for for about one life. Yeah. Yeah. Yeah, so any day now
[01:32:42.780 --> 01:32:46.940]   Maybe my next week will be going the mountain line episode
[01:32:46.940 --> 01:32:52.780]   Yeah, yeah, I'm gonna wait until like tom do you know something is that why you leapt into the air? No, he didn't he just leapt at the
[01:32:52.780 --> 01:32:55.340]   Something okay
[01:32:55.340 --> 01:32:57.100]   Yeah, okay. He knows nothing
[01:32:57.100 --> 01:33:02.220]   Um, all right time for our picks of the week. Oh gosh. We'll look at all these people watching us now
[01:33:02.220 --> 01:33:04.940]   I tuned her 99 in his home office
[01:33:04.940 --> 01:33:12.140]   Dave is watching. Oh, it's so hot in wasa, wisconsin. He can't even take a picture of it. Here's robert
[01:33:12.140 --> 01:33:14.780]   He's got a nice leather couch
[01:33:14.780 --> 01:33:17.660]   Uh mike l who's lickle in the chat room
[01:33:17.660 --> 01:33:22.380]   It's fun to see people's spaces isn't it where they're watching the show
[01:33:22.940 --> 01:33:27.260]   It's us, you know, I always wanted to do this. This is us looking through this the camera at you
[01:33:27.260 --> 01:33:29.900]   In a way, isn't it? Yeah, it's great
[01:33:29.900 --> 01:33:37.340]   Pearson's in england drinking port very civilized played well played nicely done, sir
[01:33:37.340 --> 01:33:40.060]   uh dan de brido that's his
[01:33:40.060 --> 01:33:41.500]   A lot of papers
[01:33:41.500 --> 01:33:45.660]   Dan if you heard of the paperless office, it's good though. He's using the speakers to hold the papers down
[01:33:45.660 --> 01:33:49.020]   They wouldn't they won't escape this way
[01:33:49.260 --> 01:33:52.140]   This is it taken with a blackberry from greg. Thank you
[01:33:52.140 --> 01:33:55.180]   uh stacy's home office
[01:33:55.180 --> 01:33:59.580]   Very tidy. Yes. We tidy stacy. I always think that's the way it should be
[01:33:59.580 --> 01:34:04.620]   It's never the way mine is but yeah, it should be and here's another audible lover james g listening at work
[01:34:04.620 --> 01:34:09.340]   And we look at that pant nice panorama. That's awesome. There's james in this his bench
[01:34:09.340 --> 01:34:12.300]   That's a this is a this is an engineer. He's an engineer
[01:34:12.300 --> 01:34:15.500]   and uh
[01:34:15.500 --> 01:34:18.220]   Let's see keeping cool and kcmo raven
[01:34:19.180 --> 01:34:20.780]   and uh
[01:34:20.780 --> 01:34:25.420]   Somebody else let's see I think this needs to be kind of a regular little Samson and me that we kind of love it
[01:34:25.420 --> 01:34:27.420]   Well, I just I maybe it's just us
[01:34:27.420 --> 01:34:29.500]   But I just I can for those of you and a lot of you
[01:34:29.500 --> 01:34:31.820]   I mean far more people have tweeted me than I can possibly
[01:34:31.820 --> 01:34:36.140]   And if you're listening to the show, you're now gonna have to go watch the show to actually see these photos
[01:34:36.140 --> 01:34:41.900]   So Alex your pick of the week saw okay, I've got an iPhone one and a hardware one and I talked a little bit before okay
[01:34:41.900 --> 01:34:45.260]   So hardware one I just want to people always ask what are you gonna use thunderbolt for
[01:34:46.700 --> 01:34:49.420]   It's that you're gonna use it for that. This is one of the things I'm using it for
[01:34:49.420 --> 01:34:51.020]   So what this is is a
[01:34:51.020 --> 01:34:53.420]   Sonnet came out now. This is the big version. There's a small version of this
[01:34:53.420 --> 01:34:55.820]   There's like half the size that I that I'm testing as well
[01:34:55.820 --> 01:35:01.180]   But what this does is this lets you basically take uh, you know to a thunderbolt connection
[01:35:01.180 --> 01:35:07.580]   It's got two of them so you can loop through uh and uh connect a regular card to your um
[01:35:07.580 --> 01:35:14.700]   To your mac uh and so to your to your laptop and one of the things I've been testing is is can I get a whole bunch of cameras going into
[01:35:14.700 --> 01:35:20.620]   Wirecast and the answer is yes. So this is a black magic quote. What's called a quad car quad card
[01:35:20.620 --> 01:35:23.420]   And uh, what it actually does is let me ring four
[01:35:23.420 --> 01:35:26.140]   uncompressed a HD
[01:35:26.140 --> 01:35:31.820]   uh video feeds uh into this box which then lets me attach these with one little cable
[01:35:31.820 --> 01:35:37.980]   Wow, I lapped up and I was able to cut from camera to camera streaming out of wire cast out of them laptop
[01:35:37.980 --> 01:35:42.300]   So when you talk about like mobile stuff and what what people are talking about in this industry in the industry
[01:35:42.540 --> 01:35:46.620]   You know the in the media industry video and audio thunderbolt is just taken over
[01:35:46.620 --> 01:35:51.500]   So anyway, that's the boxes on it and the card is black magic. Anyway, so then though
[01:35:51.500 --> 01:35:57.420]   How much I suppose is foolish with me boxes like 700 bucks and uh, it's one Alex. It's that that's and that's the big one
[01:35:57.420 --> 01:36:01.180]   I think it's or maybe 799 7 and then and then the smaller one's like 599
[01:36:01.180 --> 01:36:06.140]   So it's there's a personal price the card itself is about a thousand dollars, which does the four inputs
[01:36:06.140 --> 01:36:11.580]   Uh, um, so, you know, it's a little pricey for that box, but remember if the half box works which we're going to test today
[01:36:12.140 --> 01:36:14.780]   Um, you're talking about a little briefcase that you can stream
[01:36:14.780 --> 01:36:20.300]   a four-camera shoot on location with graphics to youtube anyway, so um
[01:36:20.300 --> 01:36:23.660]   Um, the the software the iOS
[01:36:23.660 --> 01:36:28.380]   One now that we're getting the political season. Uh, I thought it was I thought it was really cool
[01:36:28.380 --> 01:36:32.140]   Someone just just this just went up and this is called sponsored by
[01:36:32.140 --> 01:36:36.700]   So the name of the the app is called sponsored by and what it does is it lets you
[01:36:36.700 --> 01:36:39.740]   Um, take a look at all the politicians
[01:36:39.740 --> 01:36:44.540]   This is whether they're republican or democrat and you can click on them and uh, find out where all the money came from
[01:36:44.540 --> 01:36:50.860]   So you see those little stickers on them of where uh contributions have been applied to there
[01:36:50.860 --> 01:36:54.300]   And and you can and all the logos for all of the companies who have
[01:36:54.300 --> 01:37:00.780]   Um, given money to uh in each each one of these individuals. That's really, um, yeah, so you can show it
[01:37:00.780 --> 01:37:02.620]   Yeah, do you have an over the shoulder for uh, Alex?
[01:37:02.620 --> 01:37:09.580]   He's looking for like he can we can do it online. Okay. It's very pretty. Oh, there it is. So so it's very
[01:37:09.580 --> 01:37:12.860]   It's very nice and um, so what you have here
[01:37:12.860 --> 01:37:16.460]   So we can say like mit romney here and we can click on this and so you see
[01:37:16.460 --> 01:37:19.260]   It's like a last car uniform on a suit
[01:37:19.260 --> 01:37:23.020]   But what you can do is I can scroll over here and I can go bank of america and it'll click in
[01:37:23.020 --> 01:37:25.180]   I'll say bank of america has contributed
[01:37:25.180 --> 01:37:31.580]   $398,850. Wow, you know and so you need to know this now because the supreme court said the corporations have no limits
[01:37:31.580 --> 01:37:33.820]   Right and what they can donate to campaigns
[01:37:33.820 --> 01:37:37.420]   So it is a significant amount compared to what they used to donate
[01:37:37.420 --> 01:37:42.380]   So this is a very valuable. I think and the big thing is most of this data is something you have to eat that is all publicly available
[01:37:42.380 --> 01:37:50.220]   It's hard to find this makes it, you know very very easy to find you know anybody you're interested in you can drill down into um all of these uh,
[01:37:50.220 --> 01:37:51.340]   You know
[01:37:51.340 --> 01:37:53.340]   All these politicians
[01:37:53.340 --> 01:37:54.300]   Has a pack
[01:37:54.300 --> 01:37:56.860]   That stuff yeah, I'm not sure it has I guess you can get more
[01:37:56.860 --> 01:38:01.740]   This has all the major politicians that are running and then I guess you can you can buy more politicians
[01:38:01.740 --> 01:38:02.940]   So you can follow
[01:38:02.940 --> 01:38:05.500]   Oh, so I see so you can uh you can you know
[01:38:05.500 --> 01:38:10.300]   It's nice that they have in-app purchases for politicians now. Yeah, exactly. I think that's a great thing
[01:38:10.300 --> 01:38:18.140]   I'd like to buy that boat. You know that's what they really what they really need is a kickstarter for bills. Yeah, so I'd like to pay a little extra
[01:38:18.140 --> 01:38:23.100]   So anyway, so let's yeah, what we know the kickstarter for what's the name of this? Um, it's called um uh
[01:38:23.100 --> 01:38:24.780]   It is called
[01:38:24.780 --> 01:38:29.340]   Sorry, I just lost it here sponsored by it's a buck 99, you know, it's a coffee
[01:38:29.340 --> 01:38:31.660]   um and um
[01:38:31.660 --> 01:38:36.300]   I think it's good for at least a little entertainment, but I think it's important because I think one of the things that that's interesting this year
[01:38:36.300 --> 01:38:41.580]   As I said is that this is the weirdest political year ever because of all the um
[01:38:41.580 --> 01:38:45.180]   kind of the unleashed
[01:38:45.180 --> 01:38:48.780]   uh funding power that right that that has happened in this election
[01:38:48.780 --> 01:38:51.020]   So I think it is more important than almost any other time
[01:38:51.020 --> 01:38:53.740]   Um to uh to at least know
[01:38:53.740 --> 01:38:58.380]   You know where that money is coming from and yeah, I don't know if it's not it's not falling super packed maybe they will eventually
[01:38:58.380 --> 01:39:01.180]   But I can't because I think they don't have to
[01:39:01.740 --> 01:39:06.620]   There's no rules. It's gonna be fine. I imagine that there are other there will be a lot of these kinds of apps
[01:39:06.620 --> 01:39:09.500]   This is the first one I've seen I'm looking here and I don't see any
[01:39:09.500 --> 01:39:14.380]   This is the I haven't seen any others that make it easy for you to figure out what's what where the money's actually coming from yeah
[01:39:14.380 --> 01:39:18.380]   That's that's uh all year round
[01:39:18.380 --> 01:39:25.580]   Uh contributions and it's sponsored by not supported by but unless someone was sponsored by all one word
[01:39:25.580 --> 01:39:28.460]   Huh sponsored by I'm gonna buy it. I phone only
[01:39:29.180 --> 01:39:31.180]   Andy your pick of the week
[01:39:31.180 --> 01:39:37.740]   My pick is an update to one of my favorite cameras in the world. This is the go pro hd hero two
[01:39:37.740 --> 01:39:44.780]   Which was released just a few months ago. I'm waiting for a very important accessory to be released that they announced alongside
[01:39:44.780 --> 01:39:49.100]   Um those you've probably if you've seen any reality shows on cable cable
[01:39:49.100 --> 01:39:55.500]   You've seen mythbusters with this strap to their cars or their heads or magro has worn one of these means clapping a
[01:39:56.220 --> 01:39:58.220]   3,000 foot radio tower or whatever
[01:39:58.220 --> 01:40:04.700]   Uh and they're really wonderful little cameras their hd video cameras with a built-in battery. Uh they are uh
[01:40:04.700 --> 01:40:07.820]   Also come with this really cool
[01:40:07.820 --> 01:40:13.180]   Uh shockproof waterproof windproof dustproof housing you're gonna actually submerge it
[01:40:13.180 --> 01:40:15.980]   To something like 20 or 30 feet don't work just fine
[01:40:15.980 --> 01:40:19.180]   It takes lots and lots of abuse the actual camera itself
[01:40:19.180 --> 01:40:24.460]   Is actually sealed inside this as through this fully gasketed thingy here
[01:40:25.180 --> 01:40:27.740]   And here is the actual camera in
[01:40:27.740 --> 01:40:36.380]   Uh, and it shoots vid what I love about it is that it is so flexible they decide when they design this they didn't decide to make any
[01:40:36.380 --> 01:40:43.180]   Uh any guess they didn't decide to make any any predictions or guesses about what specifically someone would want to use this for
[01:40:43.180 --> 01:40:46.060]   It is for shooting pictures and video
[01:40:46.060 --> 01:40:48.700]   in extreme situations
[01:40:48.700 --> 01:40:54.940]   For pretty much any purpose. So it will shoot high definition video this new version shoots 1080p video
[01:40:54.940 --> 01:40:59.580]   Instead of just 720p it will also shoot still photos this new version does
[01:40:59.580 --> 01:41:05.740]   Uh 10 megapixel photos instead of just 5 megapixel photos the lens itself is super wide angle
[01:41:05.740 --> 01:41:11.260]   So you will get like pretty much like 170 something field a degree field of view
[01:41:11.260 --> 01:41:13.660]   Uh from from every single shot
[01:41:13.660 --> 01:41:20.460]   Not not only not only that but there's also uh the you can you can activate it yourself
[01:41:21.100 --> 01:41:24.700]   By actually if you're if you're having like photo mode for instance, you can activate yourself
[01:41:24.700 --> 01:41:29.420]   Just by pushing like this char button up at the top there or you can just set it up for time lapse
[01:41:29.420 --> 01:41:31.740]   And we'll shoot up to 10 frames per second
[01:41:31.740 --> 01:41:36.940]   Uh for as long as you have storage this has a a regular SD card slot
[01:41:36.940 --> 01:41:40.700]   And on the side here it also can power you can also power itself
[01:41:40.700 --> 01:41:43.260]   Uh from this standard mini usb connector
[01:41:43.260 --> 01:41:50.220]   So you can put a 32 gigabyte card in there hook it up to like a battery extender and just leave it outside in the yard
[01:41:50.460 --> 01:41:55.260]   For like three days and have it shoot like five frames per per minute and just get pictures of
[01:41:55.260 --> 01:42:02.700]   Either all of the animals that make their way through your yard in the early morning or the vagrant who might be peeing in your rose bushes
[01:42:02.700 --> 01:42:07.660]   Either way, uh, it'll be weatherproof. It'll take all those photos. You'll get them there
[01:42:07.660 --> 01:42:13.180]   Um, this also has hdmi out so you can use it just for as as a regular video camera
[01:42:13.180 --> 01:42:15.660]   Uh now what I love about it is that
[01:42:17.020 --> 01:42:22.140]   My main thing I love about it is that it's also expandable if you look in the back here here is like an expansion slot
[01:42:22.140 --> 01:42:27.420]   So what you can do is you get these little accessory where they call them backpacks and just snap them on the back here
[01:42:27.420 --> 01:42:30.460]   And the backpacks also ship with a little extra like
[01:42:30.460 --> 01:42:36.300]   Larger doors so you can still put it inside that waterproof explosive exposure and kuja
[01:42:36.300 --> 01:42:40.220]   Uh one of them is like a battery extender another is like an actual lcd
[01:42:40.220 --> 01:42:45.100]   Uh color lcd viewfinder so if you want to actually be able to see stand behind it and see what you're shooting
[01:42:45.100 --> 01:42:48.940]   We're shooting it, but they had they had this really cool thing for 2012
[01:42:48.940 --> 01:42:52.460]   Uh that the they called the the wifi backpack
[01:42:52.460 --> 01:42:59.820]   So with this special backpack put onto it. This has full communications video and data via wifi with nearby devices
[01:42:59.820 --> 01:43:03.260]   So for instance, uh, it comes with this remote
[01:43:03.260 --> 01:43:07.020]   So obviously if you've got this thing strapped to your head is kind of inconvenient to
[01:43:07.020 --> 01:43:10.620]   You know turn it on and off like that and make sure you know that it's actually running
[01:43:11.020 --> 01:43:14.940]   Uh, this thing will actually you can control the camera via wifi from this thing
[01:43:14.940 --> 01:43:17.100]   So whether you're uh, what you've just got it like
[01:43:17.100 --> 01:43:20.300]   If you're sky dive and you just have it like sort of tag right here
[01:43:20.300 --> 01:43:24.540]   Or whether you've got it like on the on the railing of the porch outside
[01:43:24.540 --> 01:43:29.740]   And you're just trying to sneakily take pictures of squirrels as they approach it curiously and look at the peanut butter
[01:43:29.740 --> 01:43:34.300]   You've smeared all over the railing that there you use that way too. The doubly cool thing though
[01:43:34.300 --> 01:43:37.420]   Is that uh
[01:43:37.420 --> 01:43:41.980]   There is going to be very soon an iOS app and an android app
[01:43:41.980 --> 01:43:47.260]   So that you can actually use your phone your ipad as a viewfinder for this device
[01:43:47.260 --> 01:43:53.180]   So you can have this like stuck pretty much anywhere shooting video, but then you can also have your iphone
[01:43:53.180 --> 01:43:58.300]   You can actually see live video being transmitted from this camera and you're also controlling it from this remote
[01:43:58.300 --> 01:44:01.180]   Uh, so it really does underscore what I love about it
[01:44:01.180 --> 01:44:05.420]   Which is it is there are so many situations in which you would love to get a photo
[01:44:05.420 --> 01:44:08.620]   But you have to be physically present in order to make that happen
[01:44:08.620 --> 01:44:11.420]   You can't be sitting there for three hours to wait for this thing to happen
[01:44:11.420 --> 01:44:16.380]   Or you're in this really extreme environment where it's going to be really really difficult to shoot that sort of thing
[01:44:16.380 --> 01:44:20.540]   With this camera, it's if you're if you're out boating with some friends
[01:44:20.540 --> 01:44:23.260]   It's very very easy to like stick this uh
[01:44:23.260 --> 01:44:24.380]   to
[01:44:24.380 --> 01:44:28.540]   Submerge those like three feet underwater and be able to watch like all the fish and everything come out
[01:44:28.540 --> 01:44:31.260]   All the sharks coming in the bite at the the chum that you've uh you've been
[01:44:31.900 --> 01:44:32.860]   So
[01:44:32.860 --> 01:44:40.220]   Growing off the side of the the hole you can suction cup it to the side of of your car and be used and as a passenger in that car
[01:44:40.220 --> 01:44:46.380]   Be using that be using like your phone to judge when you want to start and stop the camera for like really good action shots
[01:44:46.380 --> 01:44:50.060]   And every time you buy this thing it's like 200 the camera itself is about 300 bucks
[01:44:50.060 --> 01:44:53.980]   It's discounted a little bit online, but for that money you can buy it in three different packages
[01:44:53.980 --> 01:44:58.460]   Uh and in one package. It's like it's for like outdoorsy sort of stuff
[01:44:58.780 --> 01:45:02.540]   Like riding your bike and it comes with like a million different mounts and attachments
[01:45:02.540 --> 01:45:05.100]   You can figure out a way to attach it to pretty much whatever you want
[01:45:05.100 --> 01:45:09.660]   There's another kit that's pretty much specifically for using it with cars and it gives you a suction cup mount
[01:45:09.660 --> 01:45:15.020]   Another little elbow so you can get it aimed exactly the way you want then there's another one that's specifically for water exports
[01:45:15.020 --> 01:45:20.380]   Uh, so in addition to the standard underwater housing there's a whole bunch of different groups and things that make it to work
[01:45:20.380 --> 01:45:22.540]   So the it's the
[01:45:22.540 --> 01:45:24.620]   I've often wondered that
[01:45:24.620 --> 01:45:27.020]   How do you recommend like what people buy for a camera?
[01:45:27.020 --> 01:45:31.660]   And if someone told me that they had like a 1200 budget, I would instinctively say well
[01:45:31.660 --> 01:45:35.500]   Here's a really good like 1200 camera. Here's the sony any x7. That's really really great
[01:45:35.500 --> 01:45:37.820]   but part of me would say
[01:45:37.820 --> 01:45:40.700]   I would want to talk to them a little bit and then say well why don't you get a
[01:45:40.700 --> 01:45:46.540]   $700 conventional camera, but also 300 bucks for this really cool durable underwater extreme sports camera
[01:45:46.540 --> 01:45:51.980]   As I guarantee you they're going to be shots that you're not going to be able to get with like a fragile conventional
[01:45:52.540 --> 01:45:56.620]   R style camera, but if you have this little thing and you're going on the cruise and you're kayaking
[01:45:56.620 --> 01:46:02.860]   Expedition for the day with your kids you will be happily able to get all kinds of photos and all kinds of video with the
[01:46:02.860 --> 01:46:07.580]   Hero camera that you can get anything else though. It's a lot of fun 200 300 bucks for the camera
[01:46:07.580 --> 01:46:12.620]   This back to this Wi-Fi backpack is 100 bucks, but both all these things are discounted online
[01:46:12.620 --> 01:46:19.100]   Uh really really fun stuff some of the most fun stuff. Uh, having my flick or feed are things I just got from this hero camera
[01:46:19.660 --> 01:46:24.460]   I'm looking to get one because I'm going to be going in a great great barrier reef when we go down
[01:46:24.460 --> 01:46:27.980]   Yeah, I'd be really good for underwater purpose. Oh absolutely
[01:46:27.980 --> 01:46:29.820]   Yeah, well, I think also if you have kids
[01:46:29.820 --> 01:46:33.100]   You know that you can actually it fits into their little hands really well
[01:46:33.100 --> 01:46:36.060]   And they and it takes them a little while to figure out how to unlock it
[01:46:36.060 --> 01:46:38.540]   And if you kind of tape that down a little bit and just handing it to them
[01:46:38.540 --> 01:46:42.300]   They're not a lot of damage they can do to the camera and they go out and have take lots of photos and and
[01:46:42.300 --> 01:46:48.140]   Go pro hero too. We reviewed what amazing we reviewed it on before you buy 26 brian bernette
[01:46:48.540 --> 01:46:50.540]   Look at this. He put it on his motorcycle
[01:46:50.540 --> 01:46:53.180]   Uh and compared the hero to the hero to
[01:46:53.180 --> 01:46:57.020]   Uh, he has a very nice bike and he got great images
[01:46:57.020 --> 01:47:01.740]   And as you can see they are better. I think better quality on the hero too really fun
[01:47:01.740 --> 01:47:05.260]   Really neat. It really is one of those. I really should have this in china
[01:47:05.260 --> 01:47:08.700]   They make they make like a harness you can actually wear it in the middle of your chest
[01:47:08.700 --> 01:47:12.700]   And I really wish that I would have had it like when i'm walking under the forbidden city
[01:47:12.700 --> 01:47:16.780]   Not just not shooting video, but just simply take a picture every like 20 seconds
[01:47:17.100 --> 01:47:19.820]   So that even when i'm not thinking that I want to take a picture here
[01:47:19.820 --> 01:47:22.700]   I've got photographic record of where I was and the things that I saw
[01:47:22.700 --> 01:47:27.180]   And in case you're asking you can't turn off the red recording led
[01:47:27.180 --> 01:47:32.060]   So the people don't know that okay. Yes. Yes. I look like a fool with this little box the middle of my chest
[01:47:32.060 --> 01:47:34.140]   But yes, it is taking pictures. Unfortunately
[01:47:34.140 --> 01:47:38.860]   I'm sorry with a little words. You can probably make it look like a good public places. I'm not going to this
[01:47:38.860 --> 01:47:42.300]   Um
[01:47:42.300 --> 01:47:45.820]   Yeah before you buy 26 highly recommended. I want to mention
[01:47:46.300 --> 01:47:49.100]   Look at that. I mean just some great shots. There's some really good stuff
[01:47:49.100 --> 01:47:52.860]   Uh, I want to mention a couple of things in my picks
[01:47:52.860 --> 01:47:59.420]   I was going to mention just one, but I've got a couple that came up one is people were asking what is the twitter
[01:47:59.420 --> 01:48:03.820]   Uh client that you were showing those things on the desktop and we've talked about in fact
[01:48:03.820 --> 01:48:06.140]   I think it was uh, don mccallister who recommended
[01:48:06.140 --> 01:48:09.340]   Ospora for ipad and
[01:48:09.340 --> 01:48:14.860]   iPhone and now they have a desktop client for twitter and you're gonna want this Alex when you finally get your retina display
[01:48:15.660 --> 01:48:19.580]   Because it twitter is not retinized. Maybe it will be by the time you get yours
[01:48:19.580 --> 01:48:25.020]   But ospora is and it's just a gorgeous, uh, and I think very effective very functional
[01:48:25.020 --> 01:48:30.540]   Uh twitter app. So I just wanted to mention that it's a couple of bucks in the in the app store
[01:48:30.540 --> 01:48:37.500]   A highly recommend and then there is a deal right now. Um, I know we're all going to get turned by turn directions and ios 6
[01:48:37.500 --> 01:48:42.220]   Uh, but the navagon is offering because they realize they're going to frankly be on a little bit of trouble
[01:48:42.700 --> 01:48:49.020]   And when i was six comes out. I think it's half price like it's like 30 bucks for the navagon, which is a really good turn by turn
[01:48:49.020 --> 01:48:51.820]   Navigator that has some very cool
[01:48:51.820 --> 01:48:54.860]   Features including a cockpit feature
[01:48:54.860 --> 01:49:01.500]   Uh that lets you uh, well, I you know, I i'm not in a car. So I don't know, you know how i'm gonna be able to
[01:49:01.500 --> 01:49:03.900]   Make it look
[01:49:03.900 --> 01:49:09.980]   Oh, I'm sorry. I just set the home address you can download maps for the us and canada for that price. They do have some in app
[01:49:10.700 --> 01:49:15.420]   Purchases traffic is 20 bucks, uh 3d panoramic views 10 bucks
[01:49:15.420 --> 01:49:21.180]   Uh, it does by the way use street view and I know you like street view and that's not gonna be part of the ios 6
[01:49:21.180 --> 01:49:27.020]   I know and that's a big thing. Yes, a navagon will add that radar info so you know where the radar guns are
[01:49:27.020 --> 01:49:31.660]   And uh, it's offline maps by the way, so that's that's kind of handy
[01:49:31.660 --> 01:49:38.620]   Um, anyway, it's a it's a very nice navigator and the cockpit put bit mode is very cool, but I don't know if I can show it
[01:49:39.580 --> 01:49:41.580]   Uh what it will look like
[01:49:41.580 --> 01:49:46.220]   But it shows role and yah in your car and stuff and by the way, it's universal
[01:49:46.220 --> 01:49:49.900]   So you buy it for the ipad and you'll get it for the iphone. That's great, which is which is really nice
[01:49:49.900 --> 01:49:51.900]   And it's done. It's nice on the iphone
[01:49:51.900 --> 01:49:54.860]   So a couple of the couple of the cockpits like four bucks extra
[01:49:54.860 --> 01:49:57.740]   Um, that's called navagon and then finally one other thing
[01:49:57.740 --> 01:50:04.220]   Uh, and I thank the chat room for this tip mac rumors has a direct link to the messages beta
[01:50:04.220 --> 01:50:06.300]   for lion
