
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[00:22:23.720 --> 00:22:28.040]   I'm sorry the the start of the end of his career meaning that he's still incredibly
[00:22:28.040 --> 00:22:30.600]   Incredibly competitive, but he's not
[00:22:30.600 --> 00:22:35.560]   There's not an implicit understanding that if he's on the court he's gonna get the ball and he's gonna
[00:22:35.560 --> 00:22:40.200]   Put put put points on the board apple really does have to
[00:22:40.200 --> 00:22:47.000]   Walk its way through every single argument that no here is why the iPad mini is still the best small tablet you can buy
[00:22:47.000 --> 00:22:53.400]   Here is why the iPhone 5s the iPhone 6 is still the best phone you can buy you can't just they can't just simply blow past
[00:22:53.400 --> 00:22:58.760]   We think it's the best camera and every phone ever made it then move on to that your new you know is done bull store opening
[00:22:58.760 --> 00:23:04.760]   They really have to now sell those points here is why you buy an apple device and it's not just because of magic pixie does
[00:23:04.760 --> 00:23:08.520]   It's because of so much thought that we put into it and the features that you get from it
[00:23:08.520 --> 00:23:12.920]   The interesting thing to me is how you know, I Apple's monetized software with the app store
[00:23:12.920 --> 00:23:16.360]   And that means that people buy more iPhones because oh look so much cheap software to use
[00:23:16.680 --> 00:23:24.760]   And google knows exactly how to hurt apple they put out new stuff before apple does their products like also apple stuff looks as old and outdated as possible when they release it
[00:23:24.760 --> 00:23:29.480]   And they put the they put the price as low as possible because google doesn't make their money off hardware
[00:23:29.480 --> 00:23:32.840]   And buying a lot of cheap hardware helps people use google services
[00:23:32.840 --> 00:23:38.760]   So the chrome cast can be 35 bucks and this tablet can be 229 because google's making their money off of services amazon
[00:23:38.760 --> 00:23:44.280]   It's very hard for apple. Yeah, absolutely and that's very hard for apple to compete against because they're making their money off hardware margins
[00:23:44.760 --> 00:23:47.880]   Well, but I and I wonder how much of apples business is well
[00:23:47.880 --> 00:23:52.600]   It's changing because they're making so much money on itunes now that maybe they are becoming more of a service
[00:23:52.600 --> 00:23:56.200]   But but I also think that I think that the two big markets for apple
[00:23:56.200 --> 00:24:02.680]   You know when when they're thinking about their products and I don't know what they're thinking but but my opinion what they're thinking is
[00:24:02.680 --> 00:24:07.640]   Number one are people who already own apple products. So, you know, I'm so you know like for my day-to-day
[00:24:07.640 --> 00:24:11.320]   I mean I I ordered a couple of nexus sevens for use in the company
[00:24:11.320 --> 00:24:15.320]   We use a lot we do a lot of stuff. I'd be curious for some of your kids who are real iPad fanatics
[00:24:15.320 --> 00:24:17.160]   That's all if they can use it
[00:24:17.160 --> 00:24:19.720]   And I'm gonna let them play with it and see where they go with it
[00:24:19.720 --> 00:24:23.480]   My my son has gotten pretty pretty agile with both the tv and the
[00:24:23.480 --> 00:24:26.760]   He does things with the tv that I can't figure out how to undo
[00:24:26.760 --> 00:24:30.760]   He's what three? Yeah, he's five
[00:24:30.760 --> 00:24:33.800]   He's just like he's just like cranks. Oh, yeah, dad. You don't understand
[00:24:33.800 --> 00:24:38.360]   He's the worst part is like I've already gotten to the point where he goes give me the controller
[00:24:38.360 --> 00:24:40.360]   Oh
[00:24:40.360 --> 00:24:47.480]   That's their work but but the um so I think that he'd probably be fine
[00:24:47.480 --> 00:24:53.080]   But but I don't know if I'm still not convinced that the android is that my daughter when she was two years old was
[00:24:53.080 --> 00:24:56.920]   Very comfortably finding her apps, you know what she wanted on an iPad
[00:24:56.920 --> 00:25:00.440]   I'm not totally clear that that would happen with an android. I'm still not sold on that
[00:25:00.440 --> 00:25:04.760]   Um, I'm also not sold that so so I think simplicity is an important piece and I think their own market
[00:25:04.760 --> 00:25:09.880]   So like I'm locked in in a lot of ways like it'd be very hard for me to replace everything I have on my ipads
[00:25:09.880 --> 00:25:13.880]   On on it on an exes
[00:25:13.880 --> 00:25:17.720]   I agree if you're a DJ you need it
[00:25:17.720 --> 00:25:22.200]   I know what I mean. Well, what are the apps that you have to have but that are not specialty apps
[00:25:22.200 --> 00:25:27.960]   Well, I mean, they're all free and available in the android. Okay. I'll have to I'll have to look at that
[00:25:27.960 --> 00:25:31.720]   I mean, I just gotta have my own eye too. Oh, yeah, I choose is not available in the back of my head
[00:25:31.800 --> 00:25:37.160]   What I have is I've got probably 90 music has all your music and has radio, but okay, I'm
[00:25:37.160 --> 00:25:42.520]   But I have 90 why you spotify so I don't really think about buying music but 799 google music
[00:25:42.520 --> 00:25:48.920]   By the way, I can Chromecast it. I've been playing on my stereo since the Chromecast came out. That is mind-boggling. That is awesome
[00:25:48.920 --> 00:25:51.080]   Yeah rock and roll
[00:25:51.080 --> 00:25:53.080]   Yeah, and the um
[00:25:53.080 --> 00:25:59.240]   But the well and and like this gets this is why it's so important to play the you know to do these things is because for instance for spotify
[00:25:59.400 --> 00:26:02.920]   I don't look at the cost of it. I look at the fact that I spent a lot of time building those playlists
[00:26:02.920 --> 00:26:05.240]   And I don't really want to do it again, you know and and the
[00:26:05.240 --> 00:26:09.080]   There is investment ecosystem right now is the key it is key
[00:26:09.080 --> 00:26:13.720]   And that's the thing that apple did right early on is that I mean I've got 90 to 100 movies on on iTunes
[00:26:13.720 --> 00:26:20.360]   I have 450 or 500 apps. I have you know, you know, it's like, you know, that you know a lot of which I purchased and I'm not that excited about
[00:26:20.360 --> 00:26:24.840]   Reinvesting that you know, you know and and or trying to find it or whatever
[00:26:24.840 --> 00:26:28.520]   So I do use android. I mean I haven't I have an android phone. I have an exes
[00:26:28.760 --> 00:26:30.840]   Or I just ordered an exes. So I use the stuff
[00:26:30.840 --> 00:26:33.480]   But I don't use them in the same way that I use my iOS app
[00:26:33.480 --> 00:26:36.600]   Right, you know, I think that that's the thing that I notice and but I think that the simplicity
[00:26:36.600 --> 00:26:41.320]   But I also think that people returning so what apple has to make something good enough so a lot of us go
[00:26:41.320 --> 00:26:44.040]   Oh, we're gonna get the next phone, you know, like we're gonna upgrade
[00:26:44.040 --> 00:26:46.680]   To the next one or we're gonna upgrade to the next iPad
[00:26:46.680 --> 00:26:52.360]   Like the last iPad for I didn't upgrade. I do my I was just like you do market research all the time on this and I you know
[00:26:52.360 --> 00:26:55.400]   I guess you'd have got my teeth cleaned
[00:26:55.400 --> 00:26:57.320]   So the dental
[00:26:57.320 --> 00:27:04.040]   Technicians asking me she says that my phone is up. So I said, uh, I said there's something really exciting new phones are coming
[00:27:04.040 --> 00:27:07.640]   I'm thinking iPhone 5c or whatever they're calling it and the
[00:27:07.640 --> 00:27:10.200]   Moto X the note 3
[00:27:10.200 --> 00:27:17.000]   I said, what do you have? She says an iPhone 4. She says and I'm due for my upgrade and my fiance is also he's android
[00:27:17.000 --> 00:27:18.760]   She said which is interesting
[00:27:18.760 --> 00:27:21.480]   uh, and he's looking and um
[00:27:21.480 --> 00:27:27.080]   And it very willing to change and I think this is something that should scare apple a little bit
[00:27:27.240 --> 00:27:30.600]   For a long time people were like jeff needles over here said take my
[00:27:30.600 --> 00:27:35.080]   You can have my iPhone when you could pry it from my cold dead fingers. You still say that jeff
[00:27:35.080 --> 00:27:39.480]   Yeah, although you didn't you ask me didn't you say if you're not going to use it htc one? I'll take it
[00:27:39.480 --> 00:27:42.040]   Yeah, what's that about blackberry?
[00:27:42.040 --> 00:27:45.400]   But I do think that in the general populace
[00:27:45.400 --> 00:27:51.960]   Where where was that way it's starting to shift and my biggest question is is google getting in the hardware business?
[00:27:51.960 --> 00:27:56.920]   I think they have to that's a very odd thing exactly getting in the services business
[00:27:57.080 --> 00:28:01.880]   It seems to be microsoft's getting into hardware. Well, but it seems to be a shifting
[00:28:01.880 --> 00:28:04.360]   I think the integrated solution is not very successfully
[00:28:04.360 --> 00:28:08.360]   Having an integrated solution is really important because it's no longer about
[00:28:08.360 --> 00:28:10.840]   Microsoft has proven in a lot of ways
[00:28:10.840 --> 00:28:15.560]   You know what was wrong with building only software and letting everybody build hardware and and and android
[00:28:15.560 --> 00:28:17.720]   I think something is going to continue to become
[00:28:17.720 --> 00:28:22.040]   More proof of that um, which is that you get fragmented hardware
[00:28:22.040 --> 00:28:26.680]   I mean google has this issue now when they run an update of how many people are actually updating app when apple runs an update
[00:28:26.680 --> 00:28:29.080]   Everybody updates, you know, and so so the
[00:28:29.080 --> 00:28:30.520]   uh
[00:28:30.520 --> 00:28:36.200]   So I think that that google has to take more and more control over the over the hardware so that they can create the
