;FFMETADATA1
title=Treat It Like a Buritto
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=674
genre=Podcast
comment=http://twit.tv/mbw
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.280]   Hi, I'm Renee Ritchie.
[01:40:33.560 --> 01:40:39.400]   things to it. And one of the things I hooked to it is my my AirPods. And the Air Snap is pretty
[01:40:39.400 --> 01:40:45.720]   amazing at being incredibly sturdy and easy to use. It has a little clip on it so that you can
[01:40:45.720 --> 01:40:49.880]   connect it to your key ring or, you know, a pull a zipper pull or in my case, the D ring on your
[01:40:49.880 --> 01:40:57.960]   Fanny pack flips open on the top so that it's very easy to access your AirPods. They're not kind of
[01:40:57.960 --> 01:41:04.440]   trapped in one of those plastic containers that's really hard to pull them out. It's really easy
[01:41:04.440 --> 01:41:11.960]   to get them in and out. And just last week, or maybe it was even earlier this week, they released
[01:41:11.960 --> 01:41:19.160]   the Twill version. So I have the beautiful cognac leather, which is really nice. It's got the
[01:41:19.160 --> 01:41:23.960]   patina growing on it already. Well, already I've had it for a year. But the new one is the Twill
[01:41:23.960 --> 01:41:29.720]   version, which is like just a little bit classier, you know, it's if you're kind of more in the
[01:41:29.720 --> 01:41:34.200]   executive market and you don't want to carry around brown leather or I mean, I they do have the
[01:41:34.200 --> 01:41:39.640]   other color leather. But I love this one too, because it's just kind of a little nicer for the
[01:41:39.640 --> 01:41:42.360]   dressier times when I'm out. And I'll probably.
[01:41:42.360 --> 01:41:43.960]   Professor Jones and Indiana Jones.
[01:41:43.960 --> 01:41:50.920]   Yeah, exactly. Yeah. So if you, I've said this before, if you are looking for a case for your
[01:41:50.920 --> 01:42:00.440]   AirPods, the air is not by 12 South is my absolute hands down favorite. The features on it, the way
[01:42:00.440 --> 01:42:06.200]   it works, how how rugged it is. Like I said, I've had that the leather one dangling from my
[01:42:06.200 --> 01:42:10.600]   Fanny pack for the past year. So it's gone on rides with me. It's been in the rain with me.
[01:42:10.600 --> 01:42:15.720]   It's been at punk shows where I'm watching in a pit with me. It goes everywhere with me and it
[01:42:15.720 --> 01:42:22.600]   has never torn or the hook hasn't messed up or anything. So they're incredibly rugged and reliable.
[01:42:22.600 --> 01:42:28.120]   And they're just, I don't know, their feature features are awesome. So go out and get one if you
[01:42:28.120 --> 01:42:35.400]   need anyone. Awesome. So my pick is, I don't remember if we talked about it or not, but I do know that when
[01:42:35.400 --> 01:42:41.640]   Apple announced the $1,000 stand for the $6,000 display, there was a series of crushed souls in the
[01:42:41.640 --> 01:42:48.440]   prosumer display market, because after LG had discontinued the previous 5K, almost everyone and
[01:42:48.440 --> 01:42:54.360]   their Apple store business rep were hoping that there would be a lower cost 5K display to replace
[01:42:54.360 --> 01:43:00.520]   it. Turns out not from Apple, but LG has come out with a new 5K display all of their own and you
[01:43:00.520 --> 01:43:07.080]   can get it from Apple. Now Apple typically uses LG panels in their displays. So this,
[01:43:07.080 --> 01:43:13.400]   in all likelihood, is what Apple is shipping now in the iMac and the iMac Pro. So it'll look like
[01:43:13.400 --> 01:43:18.440]   your iMac display. It'll be calibrated like your iMac display. Apple's probably working with LG to
[01:43:18.440 --> 01:43:24.600]   make sure that it is as exact as it can. But of course, it doesn't have Apple industrial design.
[01:43:24.600 --> 01:43:30.920]   And for people like me not having that Apple logo on is still a horn effect, the opposite of a
[01:43:30.920 --> 01:43:37.240]   halo effect. Anything a user looks at should have an Apple logo on it if I were Apple. But since you
[01:43:37.240 --> 01:43:44.040]   can't get that from Apple and if you are just not in the market for a 6K display, 4 or 6K,
[01:43:44.040 --> 01:43:49.720]   you can pick up the 5K version. I think it's $1200 right now and it might go down a little bit over
[01:43:49.720 --> 01:43:55.560]   time. It works with all of your Macs over Thunderbolt including the MacBook Pro. There was some erroneous
[01:43:55.560 --> 01:44:00.360]   information at first about how many you could use and how but Apple has corrected that. So
[01:44:00.360 --> 01:44:06.440]   on any Thunderbolt 3 equipped MacBook Pro, iMac Pro, all of those things, you can plug one or two
[01:44:06.440 --> 01:44:13.080]   of them in. And it'll also work over USB-C in 4K mode with your iPad Pro. So if you looked at that
[01:44:13.080 --> 01:44:19.080]   iPad Pro introduction and you saw them swipe away that lightning port and wipe in that USB-C
[01:44:19.080 --> 01:44:23.800]   port and then promptly plug it into a monitor to do all sorts of fancy video editing and video
[01:44:23.800 --> 01:44:29.640]   watching, you can do all of that with this. So again, not ideal in terms of not having an Apple
[01:44:29.640 --> 01:44:34.760]   logo on the front or Apple industrial design wrapped around the panel, but it's a really good panel
[01:44:34.760 --> 01:44:40.520]   and it's not back in stock, but it's newly in stock at Apple stores and probably elsewhere. So
[01:44:40.520 --> 01:44:45.400]   you're in the market, you don't want to spend six grand, you have a 12. 1.2 grand option.
[01:44:45.400 --> 01:44:52.200]   So that's it. Andy and Aco, if people want to see you or sorry if you want to hear you
[01:44:52.200 --> 01:44:54.920]   on Boston Public Radio this week, when can they tune in?
[01:44:54.920 --> 01:45:01.960]   I'm going to be on Friday, I think 1230, check my Twitter at an onco for the exact time,
[01:45:01.960 --> 01:45:07.160]   but it's going to be at the Boston Public Library again. The GBWGBH has a studio right there. So if
[01:45:07.160 --> 01:45:11.480]   you're in Boston, check out the Boston Public Library, sit down, watch the show live if you'd like.
[01:45:11.480 --> 01:45:17.640]   And if you don't get to see it, go to wgphnews.org, they will stream it live and you can also stream
[01:45:17.640 --> 01:45:23.000]   it later. And you'll be talking all about Samsung's new phones and Google's new betas
[01:45:23.000 --> 01:45:30.520]   on the podcast this week. I'll be talking about probably about a certain executive's
[01:45:30.520 --> 01:45:36.040]   attempt to destroy the entire internet as we know it, because he thinks that the internet is
[01:45:36.040 --> 01:45:40.440]   being deemed him. I'm not going to mention any names that I want to surprise, but he's very,
[01:45:40.440 --> 01:45:43.480]   very high up in the American corporation, let's just say.
[01:45:43.480 --> 01:45:48.200]   All right. And Lori Gill, what have you got going on this week? What's I'm more up to?
[01:45:48.200 --> 01:45:54.680]   Well, you know, I might go out and buy myself that Aura Glow Note 10, because that thing is gorgeous.
[01:45:54.680 --> 01:46:01.800]   If it weren't for the fact that I'm saving up my car, I'd be buying that right now.
[01:46:03.720 --> 01:46:13.000]   But the small one, obviously, my best friend actually just yesterday bought himself an iPhone SE.
[01:46:13.000 --> 01:46:19.400]   He's going to downgrade to the iPhone SE right now. He's really down great though.
[01:46:19.400 --> 01:46:21.560]   I don't think so.
[01:46:21.560 --> 01:46:29.800]   They're like Volkswagen's people who love them love them. And they will, if Apple were to
[01:46:29.800 --> 01:46:34.200]   completely say, we will never make a phone like this again. Watch the value of that phone go up to
[01:46:34.200 --> 01:46:40.360]   like $1,500 on eBay as people have people try to collect stock piles of them.
[01:46:40.360 --> 01:46:43.880]   Hello. Oh, look, my phone actually fits on my face.
[01:46:43.880 --> 01:46:47.720]   Yes. I swear, Lori, you were saying what you were working on.
[01:46:47.720 --> 01:46:52.840]   Oh, yes. So obviously it's all about Apple Card this week for me. So if you want to learn
[01:46:52.840 --> 01:46:57.400]   more about Apple Card, you can hit me up on Twitter. I put out the call, any questions. I'll
[01:46:57.400 --> 01:47:01.080]   answer what I can. Obviously, there's some stuff that I definitely won't be able to answer. But
[01:47:01.080 --> 01:47:06.520]   I'll try to get some answers if I don't know them. And I'll be writing how to
[01:47:06.520 --> 01:47:10.920]   guys how to use it. And we'll hopefully have an actual review of it maybe early next week.
[01:47:10.920 --> 01:47:14.360]   I got to go out and buy some stuff with it. So I'll stop that.
[01:47:14.360 --> 01:47:18.200]   Thank you for taking that below. And that you will find at iMore.
[01:47:18.200 --> 01:47:21.000]   Anything in the sick burn agenda?
[01:47:22.600 --> 01:47:30.360]   Our next show is on Saturday night. We're playing with an old punk band that's been around for a
[01:47:30.360 --> 01:47:35.880]   long time. So it's kind of awesome. So it's a big-ish deal. They're sort of having a reunion
[01:47:35.880 --> 01:47:39.720]   show. So we get to play with them. And that's going to be cool. So yeah, this Saturday night.
[01:47:39.720 --> 01:47:45.320]   Everybody else is going to be going and begging Leo to come back because as much as we try to fill
[01:47:45.320 --> 01:47:51.560]   in for him, he just makes it look and sound and is just so great. So time to get back to work.
[01:47:51.560 --> 01:47:54.120]   Sorry, you gold bricks, but break time is over.
[01:47:54.120 --> 01:48:07.000]   [Music]

