;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[00:23:17.680 --> 00:23:21.760]   So i'm not crazy about that. That was actually a watchOS 9 change not so much a hardware
[00:23:21.760 --> 00:23:27.520]   Ultra, you know from series 7 ultra, but uh an action button for swimming two thumbs up definitely like that
[00:23:27.520 --> 00:23:30.880]   So uh workout stopwatch waypoint
[00:23:31.440 --> 00:23:33.440]   Backtrack
[00:23:33.440 --> 00:23:36.160]   Dive flashlight or shortcut
[00:23:36.160 --> 00:23:43.600]   Uh, I like shortcut. I mean rather I like flashlight at a moment's notice because yeah use that on my apple watch quite a bit
[00:23:43.600 --> 00:23:45.680]   The red one in particular because at night
[00:23:45.680 --> 00:23:52.160]   Uh red light doesn't travel as far and the waves by oh, that's another nice feature by the way of the
[00:23:52.160 --> 00:23:55.680]   I think it's only of the uh, uh, uh, where what is it?
[00:23:55.680 --> 00:23:57.120]   Oh, yeah, you've got that special
[00:23:57.120 --> 00:24:01.520]   I can make it red at night, which is good if i'm wearing it at night and it doesn't bother your eyes
[00:24:01.520 --> 00:24:06.880]   Astronomy mode too, right? That's the the color you're supposed to use if you're doing an astronomy at night
[00:24:06.880 --> 00:24:11.840]   Doesn't somehow bother your eyes. So yeah, I like that feature a lot. I'm
[00:24:11.840 --> 00:24:14.640]   I'm very happy now. I played the siren
[00:24:14.640 --> 00:24:23.600]   On uh on sundays let me play it for you now because it's a it's a little weird so press and hold the action button to activate siren
[00:24:24.400 --> 00:24:31.280]   Okay, and then i'm gonna press that by the way, that's another nice feature you could press and hold it medical id compass backtrack emergency call
[00:24:31.280 --> 00:24:38.800]   And siren all pop up. Let me turn on the siren folks. This is just a test. This is only a test
[00:24:38.800 --> 00:24:43.440]   Stop that loud
[00:24:43.440 --> 00:24:47.440]   It's really more uh for finding you like you're you're falling under a bush
[00:24:47.440 --> 00:24:51.200]   And they can use echolocation to find you I guess
[00:24:51.600 --> 00:24:57.440]   Yeah, they made it clear that the the way that it's created the frequencies are good for traveling across
[00:24:57.440 --> 00:25:03.760]   distances, so however they've designed it it can do a better job of being heard at a distance. Yeah
[00:25:03.760 --> 00:25:09.760]   It's not it's it's not that loud. It's not piercingly loud, which is probably a good thing
[00:25:09.760 --> 00:25:14.800]   Uh, but still maybe we should we should have warned people listening on head. Okay pick up
[00:25:14.800 --> 00:25:18.800]   Although to take off their headphones before you yeah burt came running in well
[00:25:19.280 --> 00:25:22.720]   He didn't really come running and he kind of lounged in are you okay? You all right?
[00:25:22.720 --> 00:25:25.280]   Is everything all right everything? I work it. Yeah, I'm fine
[00:25:25.280 --> 00:25:28.560]   Yes, thank you, uh, Andy
[00:25:28.560 --> 00:25:32.640]   I should have said that beforehand shouldn't I was it that loud though? I'm wearing headphones. It didn't
[00:25:32.640 --> 00:25:34.240]   Well, I wasn't too bad for me, but yeah
[00:25:34.240 --> 00:25:38.960]   People do those boosters that they turn on on their in their podcasts. So there's a chance
[00:25:38.960 --> 00:25:43.440]   Sorry, hope I haven't deafened our audience
[00:25:43.440 --> 00:25:47.600]   Um, so you can tie the shortcut to your focus modes
[00:25:48.560 --> 00:25:53.760]   But what you need is like, uh, hurricane focus mode so you could set it to flashlight you need you need us some
[00:25:53.760 --> 00:25:55.760]   How
[00:25:55.760 --> 00:26:03.200]   Get super contextual with it. Yeah, it's getting super contextual only when a hurricane is directly overhead, right? And it read that focus
[00:26:03.200 --> 00:26:04.320]   Right
[00:26:04.320 --> 00:26:07.200]   I feel like this is a super watch. I mean, I'm really kind of
[00:26:07.200 --> 00:26:14.160]   Kind of excited. I mean, I feel like I there's like stuff in here that I don't know like that shortcut thing
[00:26:14.160 --> 00:26:18.640]   That's cool. I think that what what I learned this morning is that
[00:26:18.640 --> 00:26:24.240]   If you if you were excited enough about this watch it doesn't matter how it looks because rosemary
[00:26:24.240 --> 00:26:27.200]   She's trying wearing one this morning. She's trying to look okay, huh?
[00:26:27.200 --> 00:26:33.600]   And it looked okay on her wrist. She's like it is big obviously bigger than but she didn't care because now she has that action
[00:26:33.600 --> 00:26:37.760]   But now she has these extra features. She's gonna be able to use of those. Yeah, and so it's worth it. Yeah
[00:26:37.760 --> 00:26:41.200]   Um to give you an idea of the size lisa came up with this
[00:26:41.200 --> 00:26:44.320]   It's like strapping an apple ipod nano to your wrist
[00:26:44.320 --> 00:26:50.400]   I used to do that some people did and it's about that roughly that size, right?
[00:26:50.400 --> 00:26:53.440]   Yeah, but I also I just like the look of it
[00:26:53.440 --> 00:26:59.760]   You know just for when I see my series seven now or the series six it looks not not plain
[00:26:59.760 --> 00:27:02.880]   But I mean it's kind of very smooth edges a very particular design
[00:27:02.880 --> 00:27:07.200]   I actually like this kind of hardware and it feels substantial
[00:27:07.520 --> 00:27:11.760]   And so even if I'm not you know ice climbing or whatever it's I like it. I like looking down at it
[00:27:11.760 --> 00:27:18.880]   I uh, I put my series six uh to rest this morning in its little uh rubber mac and tush holder
[00:27:18.880 --> 00:27:24.240]   I went to settings. I said reset forget everything you ever knew
[00:27:24.240 --> 00:27:30.800]   And this slid it into soon soon you'll be at peace. I was just beginning to feel
[00:27:30.800 --> 00:27:32.480]   uh
[00:27:32.480 --> 00:27:39.200]   Daisy daisy you're not gonna live the two watch lifestyle like sleeping with one watch and then wearing another one during the day
[00:27:39.200 --> 00:27:41.280]   He actually wears one around his name at all
[00:27:41.280 --> 00:27:47.280]   No, I would it but this goes so long. I don't have to it's kind of kind of cool
[00:27:47.280 --> 00:27:52.720]   And you're right it feels like when you the ancient say this out loud when you have the old watch. It's like
[00:27:52.720 --> 00:27:56.000]   What is this a model t this feels so
[00:27:56.000 --> 00:28:02.160]   It feels dainty in comparison. Yeah. Yeah. What is the name of that rubber?
[00:28:02.640 --> 00:28:04.160]   I'm I'm a I'm a I'm a
[00:28:04.160 --> 00:28:06.880]   I'm a oh is that a logo?
[00:28:06.880 --> 00:28:13.200]   Yeah, thank you. Well, you got a good you young people have such good memories. It's my uh, what's that called ginkgo below?
[00:28:13.200 --> 00:28:18.080]   Are you taking that is it made of is it made out of octopus shells?
[00:28:18.080 --> 00:28:19.760]   Yeah
[00:28:19.760 --> 00:28:22.080]   Yeah, um, case it was have shells. We know
[00:28:22.080 --> 00:28:27.440]   Here it is. So this is it's actually really cool. I we do recommend this is a really cool
[00:28:27.840 --> 00:28:32.160]   The idea is like it's an old class mac classic, but it's got a watch charger in it
[00:28:32.160 --> 00:28:36.640]   You have to provide it and then you slide your watch into it. So I took the band off
[00:28:36.640 --> 00:28:43.200]   I reset it and I slid it into its little rubber mac the reason I did is this watch is too huge
[00:28:43.200 --> 00:28:46.160]   You could stuff it in there, but it really bulges
[00:28:46.160 --> 00:28:49.440]   It will charge, but it really bulges. So
[00:28:50.080 --> 00:28:56.560]   Maybe El go Elo go has to make a new bigger one for the Oh, they need they they need to either make like a Mack two
[00:28:56.560 --> 00:29:02.920]   A version of effects for sure. Yeah, yeah or or they should or they should do like when they read when they
[00:29:02.920 --> 00:29:08.560]   Would apple like rehab refad the Apple Lisa and Lisa Mac Excel. They should make a rubber version of a Lisa Mac Okay?
[00:29:08.560 --> 00:29:10.200]   Oh
[00:29:10.200 --> 00:29:16.600]   Elago. I hope you're listening. I would be those ideas for free. I love your stuff. Yeah, give me a free one and you can have that idea
[00:29:16.800 --> 00:29:21.100]   Is this it works with all the charges like I had the I have the
[00:29:21.100 --> 00:29:27.500]   extra capacity battery a magsafe thing and I put it on that it goes and it's great
[00:29:27.500 --> 00:29:34.040]   That's a good. That's actually how I charge it where I've been no mad stand up a charger and it goes right on that and
[00:29:34.040 --> 00:29:40.480]   Like it even works with the magsafe duo which that was some concern because the puck to charge is so close to the surface
[00:29:40.480 --> 00:29:43.240]   But it works on magsafe do charges just fine. Okay. Yeah
[00:29:43.240 --> 00:29:46.440]   Well, that's our Apple watch ultra segment
[00:29:46.720 --> 00:29:53.200]   Now let's talk about these because you got yours Mike and I got mine. This is the new
[00:29:53.200 --> 00:30:00.840]   Air pod pro 2 second generation and you can tell because we have lanyards hanging off exactly
[00:30:00.840 --> 00:30:06.040]   Yeah, oh you did the custom. Oh, yeah, I want to mine sooner. Steven has one - same
[00:30:06.040 --> 00:30:10.920]   And the engraving shows up on the iPhone screen when you pair it which is really nice. Oh what?
[00:30:10.920 --> 00:30:13.760]   What?
[00:30:13.760 --> 00:30:17.080]   I thought I wanted to get it faster. I didn't want to gram
[00:30:17.080 --> 00:30:25.240]   That's actually that's actually a more not just a cute feature. That's important because it's it's testimony to how badly
[00:30:25.240 --> 00:30:30.680]   It's like smart pairing works that you just get all of these notifications. Hey these air pods are within range
[00:30:30.680 --> 00:30:34.840]   You want to pair with them now, you know exactly which one trying to pair with it. I'm not trying to pair it. Yeah
[00:30:34.840 --> 00:30:41.840]   So I you know I I have always thought the Air pods and the pros were overpriced
[00:30:42.600 --> 00:30:44.280]   underperforming
[00:30:44.280 --> 00:30:47.040]   Look at that studio display is refusing to focus on the
[00:30:47.040 --> 00:30:50.600]   No, no, we want your face even we want your face
[00:30:50.600 --> 00:30:54.960]   Graping yeah, yeah, it is cool. Wow
[00:30:54.960 --> 00:30:59.080]   That's pretty nice. Yeah, if you get it engraved in person like
[00:30:59.080 --> 00:31:02.000]   Someone got at the fifth Avenue Apple store
[00:31:02.000 --> 00:31:07.360]   We can get engravings in person if you do that it won't show the engraving right in the card
[00:31:07.360 --> 00:31:12.080]   Right, right if you order online it has to program the magnet they have an engraver there at the
[00:31:13.080 --> 00:31:16.440]   Fit that Avenue Apple okay, it's a little stretch calling graving. They're not actually
[00:31:16.440 --> 00:31:24.280]   Inkjet printing laser edge is it etched really does your texture on it? No, no, it's not it's like a print
[00:31:24.280 --> 00:31:28.920]   You know, it's it's actually why are they they have a special Air pods for a string inkjet
[00:31:28.920 --> 00:31:35.360]   I think it goes. Oh, I see because I've got a laser printer. So this is laser. Okay. Yeah, they call it laser I
[00:31:35.360 --> 00:31:41.440]   Don't remember now. I think you added the laser. I may have added the laser in my mind. Yeah
[00:31:41.440 --> 00:31:47.840]   It's so what do we think Micah? Do you ask you first this time? What do you like? What do you think about the Air pods?
[00:31:47.840 --> 00:31:53.960]   Broke to so everything so far the fact that there's a speaker on the
[00:31:53.960 --> 00:31:58.560]   Case itself. I quite like that it's I think some people will be annoyed by it
