
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly. I'm back. I miss you guys Renee Richie's here Alex Lindsey's here
[01:30:20.940 --> 01:30:22.540]   Um
[01:30:22.540 --> 01:30:28.220]   When when apple's approached this they did point out that one of the things that's in high cera and I suspect this is not a coincidence is
[01:30:28.220 --> 01:30:30.620]   A weekly efi check. Yeah
[01:30:30.620 --> 01:30:36.620]   Uh, so my it's my guess that if you're running high c this would be a good reason to run high cera
[01:30:36.620 --> 01:30:45.340]   That if your efi is not up to date that high cera will eventually catch this and and uh, and give you an update although
[01:30:46.380 --> 01:30:52.780]   It's unclear whether it merely catches hacked, uh efi or actually out of date, uh efi
[01:30:52.780 --> 01:30:59.740]   But I would guess that if it doesn't catch out of date efi it will soon since they've got that check built in that wouldn't be a hard thing
[01:30:59.740 --> 01:31:00.860]   I think
[01:31:00.860 --> 01:31:07.420]   Too bad, but I I wanted to make sure we mentioned that and uh, so that's a good reason if you haven't if you can't upgrade a high cera
[01:31:07.420 --> 01:31:11.500]   And you have it I can see no reason not to oh, I can't actually if you have a fusion drive
[01:31:12.300 --> 01:31:16.700]   If you have well you can still update it just won't do the apf you won't get apf part of the update
[01:31:16.700 --> 01:31:18.780]   Yeah, you'll get everything has anybody
[01:31:18.780 --> 01:31:25.020]   Has it ever has it happened that apf update is attempted and then people lose data or is that not they're pretty good at detecting?
[01:31:25.020 --> 01:31:26.220]   I
[01:31:26.220 --> 01:31:30.780]   There might have been a few issues. I don't think they were related to fusion or because they want to hard drives either
[01:31:30.780 --> 01:31:35.340]   And like companies like drobo will tell you don't don't do anything without promise with it. Yeah. Yeah, it has
[01:31:35.340 --> 01:31:37.340]   Leave those on hfs plus
[01:31:37.340 --> 01:31:40.220]   Yeah, most of the most of those makers have actually put letters on their sites
[01:31:40.460 --> 01:31:45.420]   Saying here's what you should think about before you start doing the stuff and the makers of drobo did something that do yeah
[01:31:45.420 --> 01:31:50.300]   Uh, disc utility on high cera does not recognize
[01:31:50.300 --> 01:31:53.420]   Unformatted disks according to tiny apps
[01:31:53.420 --> 01:32:00.780]   Unless they'll tip for you click view show all devices quick quick disc utility and then relaunch it
[01:32:00.780 --> 01:32:07.740]   Okay, just a little fix a little work around that is weird sure we'll get us
[01:32:08.140 --> 01:32:10.460]   That'll be a dot one release and by the way the
[01:32:10.460 --> 01:32:15.980]   See serenity came up with a fix for the wife. I think does that actually work if you are
[01:32:15.980 --> 01:32:21.260]   Did you do did get to a captive portal and lost access? I don't know how you would know if you lost connectivity
[01:32:21.260 --> 01:32:24.780]   But if you did turn the Wi-Fi off and on again, and it's fine
[01:32:24.780 --> 01:32:30.380]   Is that right? We do I do that all the time. So I yeah, right? I definitely maybe make a
[01:32:30.380 --> 01:32:34.860]   That's for the same issue or not, but she has done a boatload of testing okay, that's a lot
[01:32:34.860 --> 01:32:36.060]   You know what go to i'm more
[01:32:36.060 --> 01:32:37.740]   I'm still testing
[01:32:37.740 --> 01:32:41.020]   Oh, go ahead. No, I'm done. I'm just saying read syringe. I'm still
[01:32:41.020 --> 01:32:43.980]   I'm still testing whether
[01:32:43.980 --> 01:32:47.340]   It's shaking the phone makes a web page load faster
[01:32:47.340 --> 01:32:53.020]   So I'm doing a lot of research. How do you shake it? I walk around and sometimes, you know, oh, it's how you shake it
[01:32:53.020 --> 01:32:55.020]   Yeah, you gotta do it like a polaroid
[01:32:55.020 --> 01:32:58.060]   Like a polaroid
[01:32:58.060 --> 01:33:03.740]   I've been shaking it like a hammer and not like a polaroid and because I feel like that shaking is telling the phone that no
[01:33:03.740 --> 01:33:06.140]   Really I want this to load right now
[01:33:06.140 --> 01:33:07.900]   um
[01:33:07.900 --> 01:33:09.740]   And anyway, so it's and now a facial idea
[01:33:09.740 --> 01:33:10.860]   I'm hoping that it just show it
[01:33:10.860 --> 01:33:14.300]   I don't have to shake it that I just have to show my my my
[01:33:14.300 --> 01:33:20.940]   Disappointment but the phone and that shame will cause it to download the page faster
[01:33:20.940 --> 01:33:23.420]   That's really that's the that's the big future that I think apple name
[01:33:23.420 --> 01:33:25.900]   shame shame shame shame
[01:33:25.900 --> 01:33:29.100]   apple says they improve the gyroscopes just to
[01:33:29.820 --> 01:33:34.060]   cope with uh, augmented reality, but it's really so that they can detect a wider range of anger
[01:33:34.060 --> 01:33:40.620]   We're gonna take a break come back with your picks of the week gentlemen start your picks but meanwhile
[01:33:40.620 --> 01:33:46.620]   Let me tell you what saved my life as I was flying hours and hours on an airplane texture
[01:33:46.620 --> 01:33:52.380]   Texture is awesome texture is like netflix for magazines one low monthly fee
[01:33:52.380 --> 01:33:58.780]   That's actually a lot less than subscribing to a couple of magazines you get all the magazines 200
[01:33:59.420 --> 01:34:01.980]   magazines on your phone on your tablet
[01:34:01.980 --> 01:34:07.100]   Uh on your uh, iPad it looks beautiful on the iPad pro
[01:34:07.100 --> 01:34:11.820]   This is kind of like no wonder apple said it's one of the top 2016 top ipad apps
[01:34:11.820 --> 01:34:15.020]   It's it's kind of the must have app with texture
[01:34:15.020 --> 01:34:20.060]   Uh, you you get to read all the articles you want in all the magazines you want
[01:34:20.060 --> 01:34:22.140]   And it's inevitable that there's always something
[01:34:22.140 --> 01:34:25.580]   You know enrolling stoner vanity fair or the new yorker that I want to read
[01:34:25.580 --> 01:34:28.940]   But if you were to subscribe to 10 magazines you'd not only spend a lot more
[01:34:29.660 --> 01:34:31.420]   Imagine the clutter
[01:34:31.420 --> 01:34:34.380]   The coffee table would be groaning under its burden
[01:34:34.380 --> 01:34:38.300]   Uh, and I always felt guilty throwing out those magazines. In fact, actually
[01:34:38.300 --> 01:34:41.580]   Is what the new yorker was which is weekly
[01:34:41.580 --> 01:34:45.580]   I I felt guilty. I'd see this pile of unread new yorkers
[01:34:45.580 --> 01:34:49.100]   And I oh I gotta read that it actually made me feel bad with texture. I don't even worry about it
[01:34:49.100 --> 01:34:53.100]   You automatically you pick the the favorites you automatically download them
[01:34:53.100 --> 01:34:55.260]   So even when you're on an airplane with no connectivity
[01:34:55.660 --> 01:35:00.860]   Uh, you've got the magazines you want to read and you get every page of every including the ads
[01:35:00.860 --> 01:35:03.020]   By the way, you get everything that's in the magazine
[01:35:03.020 --> 01:35:07.260]   Not just the current edition on the newsstands, but all back issues video
[01:35:07.260 --> 01:35:15.740]   You get a wonderful curated section of highlights stories just for you new and noteworthy stories daily news top 10 reads
[01:35:15.740 --> 01:35:24.540]   A collection. So if you want to read more about tom petty they've got a collection of articles remembering tom petty from roighters rolling stone
[01:35:25.340 --> 01:35:28.940]   And men's journal that's really cool. I mean that it's just it is
[01:35:28.940 --> 01:35:31.740]   Gosh, it's just the best
[01:35:31.740 --> 01:35:38.940]   I want you to try it. I've got a free two-week subscription for you if you go to texture.com/twit
[01:35:38.940 --> 01:35:43.420]   Texture works great on the iphone or any smartphone
[01:35:43.420 --> 01:35:47.580]   But I tell you if you've got a tablet if you've got a good tablet
[01:35:47.580 --> 01:35:54.860]   I'm a big you know, I love photography the imagery on in the photography magazines like national geographic and shutturbug
[01:35:55.100 --> 01:35:59.500]   Looks 10 times better and of course it does. It's not screened to print
[01:35:59.500 --> 01:36:05.260]   It's right there on the page on the you're getting the high quite you can zoom in
[01:36:05.260 --> 01:36:12.380]   I'm just a big fan texture texture.com/twit don't take my word for it. Try it for two weeks
[01:36:12.380 --> 01:36:17.820]   I think you'll agree. It's it's the best way to read all those magazines
[01:36:17.820 --> 01:36:20.060]   So so much great stuff being done
[01:36:20.540 --> 01:36:22.140]   and magazines
[01:36:22.140 --> 01:36:25.980]   All right time for our picks of the week. Eenie meenie meenie meen
[01:36:25.980 --> 01:36:29.340]   I'm gonna start with rene richie from imore.com
[01:36:29.340 --> 01:36:36.780]   So my my pick to the surprise of no one is the latest generation of apple watch bands and the new one they introduced is the sport loop
[01:36:36.780 --> 01:36:39.020]   I'm so mad at you
[01:36:39.020 --> 01:36:44.140]   Why I want the black sport loop and it's they don't make it for 42 millimeters anymore
[01:36:44.300 --> 01:36:49.820]   Ran out, but I showed you showed one on your instagram. You can you can still some stores have it in stock
[01:36:49.820 --> 01:36:53.900]   So you can I want this go to the apple store and you might find it on the shelf
[01:36:53.900 --> 01:36:56.780]   It's velcro, but it's my erotent. I'm sorry hook and loop
[01:36:56.780 --> 01:37:01.020]   But it's hook it. Yeah, it's a hook and loop hook and loop, but it's a better hook and loop, right?
[01:37:01.020 --> 01:37:05.020]   I mean, I I'm not an velcro expert. Are you a hick and looper?
[01:37:05.020 --> 01:37:08.540]   I make it but so they have a variety of colors
[01:37:08.540 --> 01:37:10.300]   There are some Nike colors as well
[01:37:10.300 --> 01:37:12.300]   But basically I would show you mine
[01:37:12.300 --> 01:37:15.580]   But I actually gave it to a friend of mine this morning because he tried it on and didn't want to give it back to me
[01:37:15.580 --> 01:37:17.580]   So I told him you could just keep it
[01:37:17.580 --> 01:37:21.820]   But one what looks best with the gray band the black the black
[01:37:21.820 --> 01:37:25.020]   That's the one I want are both really nice looking what I want
[01:37:25.020 --> 01:37:26.460]   I'm wearing a variation of the wet
[01:37:26.460 --> 01:37:31.020]   I think it's called pearl mine has stripes on it though, but you can get a version that does not have stripes on it just
[01:37:31.020 --> 01:37:33.980]   The I'm finding this
[01:37:33.980 --> 01:37:35.980]   I'm sorry. You shouldn't wear that after labor day
[01:37:35.980 --> 01:37:37.580]   That's
[01:37:37.580 --> 01:37:42.540]   True. Yeah, that's true or after Canadian Thanksgiving at least but the sports loop is super comfortable
[01:37:42.540 --> 01:37:44.380]   You loop it through you pull on it
[01:37:44.380 --> 01:37:47.260]   It's you can adjust it to the size just like any of apple loops
[01:37:47.260 --> 01:37:51.100]   You can adjust it throughout the day if you know your wrist is feeling a little bit bigger or a little bit smaller
[01:37:51.100 --> 01:37:54.780]   But it's not metal like the millenaz loop and it's not leather like the leather loop
[01:37:54.780 --> 01:38:00.860]   It really is the same sort of really comfortable nylon fabric that sports bands are famous for I love your tip
[01:38:00.860 --> 01:38:04.460]   My local apple store still has one. Yes
[01:38:05.420 --> 01:38:06.380]   Yay
[01:38:06.380 --> 01:38:08.700]   Yep, you can get it Leo and it's got flex of color in it
[01:38:08.700 --> 01:38:13.340]   So it really it looks great with the ceramic watch but it looks great with all the watches because there's a little flex of gold
[01:38:13.340 --> 01:38:17.820]   A little flex of different colors in it. Yeah, so it really sets it up and it looks it looks classy enough
[01:38:17.820 --> 01:38:19.820]   Like you can wear it for a workout
[01:38:19.820 --> 01:38:24.380]   Absolutely and they recommend you do it backwards for water activities because you can more easily, you know
[01:38:24.380 --> 01:38:26.380]   Open it up and close it again if you want to
[01:38:26.380 --> 01:38:31.500]   Uh, but again, you can go wear it out later if you want to because it looks it looks really nice in person
[01:38:31.980 --> 01:38:34.540]   So if you want something more flashy they have it with neon colors
[01:38:34.540 --> 01:38:36.140]   You have the pinks and they have the bright yellows
[01:38:36.140 --> 01:38:39.500]   And they have an olive version too so you can get as many colors as you want
[01:38:39.500 --> 01:38:42.860]   I like the black one the white one is really nice too, but the sport loop
[01:38:42.860 --> 01:38:46.460]   I'm really happy with it is the it is the next generation in apple sport bands
[01:38:46.460 --> 01:38:48.380]   I think I actually have to go to the store though
[01:38:48.380 --> 01:38:50.700]   It doesn't look like I can buy it online and then pick it up
[01:38:50.700 --> 01:38:52.460]   I have to actually go to the store to get it
[01:38:52.460 --> 01:38:58.140]   Is that makes sense? I thought you would be able to do that you should be able to yeah, but it doesn't it's not letting me
[01:38:58.140 --> 01:39:00.860]   It's not letting me
[01:39:00.860 --> 01:39:02.860]   Still says unavailable
[01:39:02.860 --> 01:39:05.980]   Breakdown
[01:39:05.980 --> 01:39:09.420]   And the other tip I'll give you is apple watch bands are seasonal
[01:39:09.420 --> 01:39:11.420]   Some people were like why can't I still get the old colors?
[01:39:11.420 --> 01:39:14.140]   Apple stops making the old colors and makes the new ones
[01:39:14.140 --> 01:39:17.580]   So if you see a color you like just grab it because their chances are
[01:39:17.580 --> 01:39:20.700]   Depending on when exactly it is you may not get any more of that stuff
[01:39:20.700 --> 01:39:22.700]   which
[01:39:22.700 --> 01:39:24.700]   This is a bonus pick
[01:39:24.700 --> 01:39:28.380]   Which blue which wireless charger are you using?
[01:39:29.100 --> 01:39:31.100]   For the iPhone yeah, because apple doesn't make one
[01:39:31.100 --> 01:39:37.020]   I'm using the mophie. I generally go towards belkin because I think that apple spends a lot of time rigorously testing the belkin stuff
[01:39:37.020 --> 01:39:41.740]   Because they're almost always a first adopter of apples new technologies, but the belkin one's just a little bit big
[01:39:41.740 --> 01:39:49.180]   Bigger than the mophie one and I like the smaller one and my usual caveat with the wireless chargers is pong got this so right with the touchstone
[01:39:49.180 --> 01:39:50.700]   It was just so magnetic
[01:39:50.700 --> 01:39:57.580]   But ever since then especially Qi chargers you have to really make sure you put it down and you visibly look that it is charging
[01:39:57.820 --> 01:40:03.980]   Because if you are off at all or if it is close enough to your bed well you will knock it or you have a pet who might walk across it or something
[01:40:03.980 --> 01:40:09.900]   It could theoretically not charge it might be dislodged just enough that the magnet is no longer in place than it does in charge
[01:40:09.900 --> 01:40:12.140]   So just I like the mophie right now
[01:40:12.140 --> 01:40:13.020]   If you do get it though
[01:40:13.020 --> 01:40:16.540]   Make sure you put your phone down and you see that wireless charging image for that
[01:40:16.540 --> 01:40:18.860]   I have a solution and at least to my pick of the week
[01:40:18.860 --> 01:40:24.300]   Which I've tested and it works and it's now only $30. This is from tilt tylt
[01:40:24.700 --> 01:40:28.140]   The VU with an oomle out so that makes it v
[01:40:28.140 --> 01:40:30.540]   Wireless charger
[01:40:30.540 --> 01:40:35.100]   V it has you can't miss first of all it's an easel which is really nice
[01:40:35.100 --> 01:40:37.180]   So the phone just sits right on it
[01:40:37.180 --> 01:40:39.740]   Very easy, but it has three coils
[01:40:39.740 --> 01:40:42.860]   So if you if you put the phone on it it will charge
[01:40:42.860 --> 01:40:50.620]   And it doesn't slip off it doesn't slide away because it's not lying down it's sitting up and I love the v
[01:40:51.740 --> 01:40:56.700]   So uh, it comes in all sorts of fun colors and uh, I've recommended it before but I just want
[01:40:56.700 --> 01:40:59.500]   Want to report back it works great with the iPhone 8
[01:40:59.500 --> 01:41:06.380]   And it has doesn't have that issue of you know, you could perfect aim for your uh for your Qi charger
[01:41:06.380 --> 01:41:08.780]   the v
[01:41:08.780 --> 01:41:10.780]   Nice thing about a standard
[01:41:10.780 --> 01:41:14.700]   I'm so happy that apple supports Qi now because that means Qi's gonna be everywhere
[01:41:14.700 --> 01:41:19.580]   And they're they it looks like they're going to force Qi to evolve very quickly to meet what they want to do
[01:41:19.580 --> 01:41:21.500]   Yeah as they should
[01:41:21.500 --> 01:41:23.500]   Andy and not go pick of the week, sir
[01:41:23.500 --> 01:41:26.700]   I got a pick and a tip. Uh, we mentioned before about
[01:41:26.700 --> 01:41:29.500]   User's guides for iOS 11 actually
[01:41:29.500 --> 01:41:32.860]   Apple usually does have a really good pdf
[01:41:32.860 --> 01:41:36.780]   Excuse me really good user's guides to their new stuff on the iBook store
[01:41:36.780 --> 01:41:43.260]   And just double checked in. Yes, they've got the iphone user guide for iOS 11 and the ipad user guide for iOS 11
[01:41:43.260 --> 01:41:47.180]   Both on the iBook store if you just do a web do a search for it
[01:41:47.180 --> 01:41:50.860]   You'll find both of them and they're really and I was saying there's no manual, but there is
[01:41:51.100 --> 01:41:55.020]   Yeah, they are literally the missing manual only without having to pay
[01:41:55.020 --> 01:42:00.140]   David any any fourth a bit. Yes, so they're really really good
[01:42:00.140 --> 01:42:04.380]   It's not it's not like the a pdf of the fold out thing you would get packed with the box
[01:42:04.380 --> 01:42:06.620]   It really is like a commercial book
[01:42:06.620 --> 01:42:07.900]   uh book quality
[01:42:07.900 --> 01:42:09.900]   Uh, and the second is kind of a tip
[01:42:09.900 --> 01:42:14.300]   Uh, that's kind of my standard advice every time that apple comes out with a new piece of hardware
[01:42:14.300 --> 01:42:18.460]   Particularly if it's a radically new design like the iphone 10 for instance
[01:42:18.860 --> 01:42:22.300]   uh less the iphone 8 the 8 plus for the first couple weeks
[01:42:22.300 --> 01:42:25.900]   You might want to be a little bit more
[01:42:25.900 --> 01:42:32.140]   Uh a little bit more ambitious about taking back things that have problems with them
[01:42:32.140 --> 01:42:33.980]   like if you if you
[01:42:33.980 --> 01:42:36.940]   You know the iphone 8 has the glass back and now
[01:42:36.940 --> 01:42:40.780]   You for years you've been putting your old iphone on the armrest of your sofa
[01:42:40.780 --> 01:42:45.100]   And then now because the glass back it slid off and smashed the pieces on your tile floor
[01:42:45.420 --> 01:42:49.340]   You might want to consider particularly the first two or three weeks of the release of a brand new thing
[01:42:49.340 --> 01:42:55.260]   Take it back to the apple store and see what they do because they do normally have their were awesome policy
[01:42:55.260 --> 01:42:59.260]   But they also I haven't heard any news about this in the past couple of years
[01:42:59.260 --> 01:43:03.020]   But I knew that last time I talked to people who were allowed to talk to me about this a few years ago
[01:43:03.020 --> 01:43:05.900]   They apple is often for the
[01:43:05.900 --> 01:43:11.820]   They stores have like a hunting list or a request list from the from the mothership saying that if
[01:43:12.460 --> 01:43:18.380]   Someone comes in with a brand new iphone 8 that is having a Wi-Fi connectivity issue
[01:43:18.380 --> 01:43:22.380]   And you just determine that's not due to software swap it out give them a brand new one
[01:43:22.380 --> 01:43:27.740]   Because we want to see iPhones and how we're having Wi-Fi issues or if you have one that has a damaged
[01:43:27.740 --> 01:43:33.100]   A cracked back but not a cracked front again. They they'll actually put it into i've been there
[01:43:33.100 --> 01:43:40.300]   They've actually put it in what looks like the sarcophagus that they fired spots body to the genesis planet in
[01:43:40.620 --> 01:43:46.460]   It's it goes directly to kupertino because they they want to find out how their designs are performing in the real world
[01:43:46.460 --> 01:43:50.060]   So that they can improve either manufacturing or improve the design
[01:43:50.060 --> 01:43:54.460]   That doesn't mean that again. This doesn't change the warranty. It doesn't change what they are likely to do
[01:43:54.460 --> 01:44:00.540]   But realize that as far as I haven't I haven't heard any contradiction to the idea that again in the first few weeks
[01:44:00.540 --> 01:44:03.820]   They are have their eyes open to oh well look there
[01:44:03.820 --> 01:44:09.100]   There's a broken connector at the base doesn't even matter that you mishandled the device
[01:44:09.580 --> 01:44:14.940]   So long as you weren't trying to shoot a youtube video if you know what I mean about how much abuse these things contain
[01:44:14.940 --> 01:44:19.260]   It's worth an extra choice if if you were if you would have been hesitant before to say
[01:44:19.260 --> 01:44:23.900]   I shouldn't I really shouldn't say that I dropped it in a bowl of pudding
[01:44:23.900 --> 01:44:29.340]   And forgot it was there until the pudding was cooked. It's possible that again at your local store
[01:44:29.340 --> 01:44:35.020]   They've received an email from kupertino saying we're looking we're looking for food related in grass problems
[01:44:35.020 --> 01:44:39.420]   And they will maybe they will swap up you on a brand new phone. So somebody to keep in mind
[01:44:40.300 --> 01:44:45.500]   Thank you and drew and the nakos is Chicago Sun times at cwob.com
[01:44:45.500 --> 01:44:48.540]   Finally lasts but most expensive
[01:44:48.540 --> 01:44:56.380]   You know, it's thinking about really expensive and then I said not too soon. We'll save that from the day
[01:44:56.380 --> 01:45:00.460]   But I have a so I buy a lot of tripods
[01:45:00.460 --> 01:45:05.180]   and little ones and big ones and ones that I can fit in my pack and ones that'll fit in my
[01:45:06.300 --> 01:45:09.020]   My carry-ons and everything else and the one that I've kind of
[01:45:09.020 --> 01:45:14.860]   Coalesced around at least for my backpack is the I think it's smart tree smart
[01:45:14.860 --> 01:45:19.500]   I I always thought of as smart tree, but I always have to look for it. Yes. M a t r e
[01:45:19.500 --> 01:45:22.460]   Smart tree. I never heard of this
[01:45:22.460 --> 01:45:25.580]   Smart tree. It's mad tree. So this one they make they make a lot of
[01:45:25.580 --> 01:45:30.780]   A lot of different little monopods, but I think this one's the best one now of course is the most expensive one
[01:45:30.780 --> 01:45:35.020]   But it is it's $43. It's not like it's a bad or tripod
[01:45:35.500 --> 01:45:37.740]   It it goes about it goes about four feet high
[01:45:37.740 --> 01:45:42.220]   So it's not enough to kind of you know, take a you know be full size there
[01:45:42.220 --> 01:45:45.980]   But you can set it on something now this one's built for the osmo
[01:45:45.980 --> 01:45:50.380]   Which I have but that's not really what I the nice thing is it's just a quarter 20
[01:45:50.380 --> 01:45:56.300]   And that that quarter 20 top will fit in any phone. I use it for more for spherical
[01:45:56.300 --> 01:45:59.500]   Cameras than I do for
[01:45:59.500 --> 01:46:01.740]   40 inches. I'm sorry not quite four feet
[01:46:02.380 --> 01:46:05.420]   The nice thing is is that the base is a little bit beefier
[01:46:05.420 --> 01:46:06.620]   They make a couple a lot
[01:46:06.620 --> 01:46:10.220]   There's a lot of these little monopods and a lot of them have really cheap bases
[01:46:10.220 --> 01:46:14.700]   And then it just you're you're afraid that your little 360 camera is going to fall over
[01:46:14.700 --> 01:46:16.860]   So this one's a little bit beefier
[01:46:16.860 --> 01:46:22.620]   It does you can unscrew that that and use it as a selfie stick or use it as a general stick
[01:46:22.620 --> 01:46:24.620]   And you can use the base is also a quarter 20
[01:46:24.620 --> 01:46:27.260]   So you can put if you just want like a little base to hold up your camera
[01:46:27.580 --> 01:46:32.300]   You can use that as well and it it's relatively light and it fits in my in my my rush 24
[01:46:32.300 --> 01:46:37.900]   So so anyway, so it is um, I you know, I I have probably bought in the last year
[01:46:37.900 --> 01:46:43.020]   Eight or 10 of these tripods trying to figure out we build kits for
[01:46:43.020 --> 01:46:46.780]   clients and stuff like that and that you need little tripods like this and so
[01:46:46.780 --> 01:46:47.980]   um
[01:46:47.980 --> 01:46:49.980]   And this one is definitely the beefiest
[01:46:49.980 --> 01:46:51.180]   uh
[01:46:51.180 --> 01:46:52.380]   of the little
[01:46:52.380 --> 01:46:54.940]   easy to use tripods we because it should be
[01:46:55.180 --> 01:47:00.780]   like if you uh, you would put a camera on this for skyping or something like that or
[01:47:00.780 --> 01:47:03.100]   Yeah, yeah, we would put a yes
[01:47:03.100 --> 01:47:08.540]   The lara it's too head. It's too thin for that. Yeah, but like but if you have like a theta or if you have a
[01:47:08.540 --> 01:47:13.100]   Uh, of course, it's built for the osmos, but if you have a theta or if you have the samson
[01:47:13.100 --> 01:47:17.500]   Like you're 360 on it. Yeah, exactly and what's nice about it is a tripod
[01:47:17.500 --> 01:47:19.500]   Of course shows up a lot in your 360
[01:47:19.500 --> 01:47:24.780]   So having the base be all the way down at the bottom means it's very small and easy to paint out later
[01:47:24.940 --> 01:47:29.820]   Which is something that's super to me. So, um, you know, you can if you use something like affinity
[01:47:29.820 --> 01:47:33.340]   Uh image or photo image affinity photo. Yeah
[01:47:33.340 --> 01:47:38.860]   They have a they have a little thing built into it that lets you go into a 360 mode and paint things out
[01:47:38.860 --> 01:47:41.740]   um in a more intelligent way, um, and so
[01:47:41.740 --> 01:47:46.540]   Uh, so affinity photo is you know, that's a good recommendation for affinity photo
[01:47:46.540 --> 01:47:50.140]   Wow. Yeah, it's it's the secret to the operation
[01:47:50.140 --> 01:47:54.860]   So I think I might have talked about it earlier, but maybe not I maybe have forgotten about it, but I use that probably every day
[01:47:55.340 --> 01:48:01.420]   But but this combined with that the what's nice about it is is that you have this tripod with a long neck or you know, long
[01:48:01.420 --> 01:48:04.220]   Uh, yeah long neck down to a little piece
[01:48:04.220 --> 01:48:08.220]   And so now you have this little thing that you sit down and if you think about it when you're setting it down
[01:48:08.220 --> 01:48:12.380]   You set it on something that doesn't have a lot of detail as best you can with wherever you want to shoot
[01:48:12.380 --> 01:48:16.220]   And then what happens is you take your photo or you take your video if you take your video
[01:48:16.220 --> 01:48:21.820]   It's a little bit more complicated because you basically paint out that little section and then comp it back in final coat or after effects
[01:48:21.820 --> 01:48:24.380]   Um, but the but if it's a still
[01:48:25.020 --> 01:48:32.380]   You literally in an affinity photo can just say, you know, project in you know, I think it's project 360 or whatever a live view of 360
[01:48:32.380 --> 01:48:39.180]   And now you're in a 360 environment you can rotate and look straight down at it because usually the bottom of your of your of your
[01:48:39.180 --> 01:48:41.580]   spherical looks like a big, you know, it's
[01:48:41.580 --> 01:48:43.500]   Shmoosable, right? It's this much
[01:48:43.500 --> 01:48:48.220]   Hand is a tripod. You can now you can now see your tripod and you can see what it's covering
[01:48:48.220 --> 01:48:52.060]   And you can just sit there with your little clone tool in that live view and paint it all out
[01:48:52.460 --> 01:48:55.340]   And then unwrap it and the key is that you're not losing
[01:48:55.340 --> 01:48:59.100]   Con you're not losing data because if you use like a polar coordinate
[01:48:59.100 --> 01:49:03.820]   Conversion you're actually doing something that destroys the the sharpness of the image
[01:49:03.820 --> 01:49:10.620]   This is a lossless way to to knock that get rid of that tripod. So for, you know, little videos and you know
[01:49:10.620 --> 01:49:16.220]   You know for a little projects and stills and so on so forth where you really want to get rid of that that base
[01:49:16.220 --> 01:49:19.020]   Um, this is this combined with that
[01:49:19.500 --> 01:49:23.100]   Um is a is a great tool. That's two two two tips in one
[01:49:23.100 --> 01:49:26.780]   The smotry sma pole ds one
[01:49:26.780 --> 01:49:32.060]   Which is about uh 40 bucks 45 bucks on amazon 43 bucks on amazon
[01:49:32.060 --> 01:49:38.540]   And the same price for ios affinity photo which is a great photo editor for a lot and i use
[01:49:38.540 --> 01:49:42.140]   I use affinity photo on the uh on the mac too
[01:49:42.140 --> 01:49:46.620]   That's the one that i'm using and it's and it's about the same price of the tripod
[01:49:46.620 --> 01:49:48.060]   4999
[01:49:48.060 --> 01:49:53.020]   Um, so they have one they have a great one on the ipad that i have but the one that i use on a day-to-day basis
[01:49:53.020 --> 01:49:55.420]   Is the ipad version do the same thing with the 360s?
[01:49:55.420 --> 01:49:56.700]   I don't know
[01:49:56.700 --> 01:50:00.060]   I haven't tried that I do go color corrections and stuff like that but i'm using
[01:50:00.060 --> 01:50:04.460]   Uh, it may so i'll i'll check it out and maybe come back and report back. Yeah
[01:50:04.460 --> 01:50:07.900]   Yeah, I I didn't real and they have a windows version too
[01:50:07.900 --> 01:50:12.060]   mr. Alex lindsay you are the greatest thanks for being here
[01:50:12.060 --> 01:50:16.380]   We love it when you're here at Alex lindsay on the twitter if you want to follow him and find out what's going on with
[01:50:16.380 --> 01:50:19.580]   the pixel core and all i know you have you opened it up now
[01:50:19.580 --> 01:50:23.420]   We have we're gonna we're still structuring we're still getting off the ground
[01:50:23.420 --> 01:50:26.700]   But you can definitely get more information about it at the website. We have opened it up
[01:50:26.700 --> 01:50:30.460]   Uh also, um, i've started to play with flip board as far as like
[01:50:30.460 --> 01:50:34.700]   I spent a lot of time in flip board in the morning and i started to build little magazines
[01:50:34.700 --> 01:50:39.980]   So if you search for like pixel core or or other things like that you might be able to uh find me up there
[01:50:39.980 --> 01:50:43.020]   Um, if you want to follow what i'm following that's so 2010
[01:50:43.340 --> 01:50:46.940]   That's great. I know but it but I use flip board all the time
[01:50:46.940 --> 01:50:51.340]   And so I I was like, I might as well keep it someone was asking me like where do you put your magazines?
[01:50:51.340 --> 01:50:55.900]   I'm like, well, it's where I keep them all to remember where they all are. I still like flip board
[01:50:55.900 --> 01:51:03.980]   I don't know of anything else that is so easy to use. Um, I think a lot of us are still stuck in that thing. I miss flip board
[01:51:03.980 --> 01:51:06.620]   Thank you. Alex
[01:51:06.620 --> 01:51:11.100]   Great to see you. Thank you. Andy and aco chicago sun times go to cwob.com
[01:51:11.660 --> 01:51:17.660]   His website do you have links there for uh, your your flicker and your your instagram and all that because his images are so great
[01:51:17.660 --> 01:51:24.460]   I'm about to post uh, i've got the instagram i was posting instagram while I was taking my photo walk with the iphone 8 and 8 plus
[01:51:24.460 --> 01:51:29.260]   Uh, but sometime later today. Hopefully i will have the raw picks the original pictures
[01:51:29.260 --> 01:51:33.500]   Uh from flickers if you want to see them at full size the ones on instagram are unedited
[01:51:33.500 --> 01:51:39.580]   But you know instagram might recompress or do something weird to them. Oh proudly powered by wordpress. I notice
