;FFMETADATA1
title=It's Not a Clown, Bill
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-08-17
track=779
language=English
genre=Podcast
comment=Apple CSAM updates, Safari updates, Apple TV's value
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Mac break weekly Andy Renee Alex. They're all here lots to talk about
[00:22:44.520 --> 00:22:46.520]   But it seems like this might be a problem in apples dna
[00:22:46.520 --> 00:22:49.240]   We know yeah being a little bit of a nanny
[00:22:49.240 --> 00:22:52.440]   We know better than you you're well and you have to yeah, you're welcome
[00:22:52.440 --> 00:22:55.560]   You have to trust us that we have figured out a way to do this
[00:22:55.560 --> 00:22:57.880]   That's going to be private and secure
[00:22:57.880 --> 00:23:03.160]   And just trust us we know how to do this and that will give you a little bit of hard for them to listen
[00:23:03.160 --> 00:23:05.720]   To what people are saying they just dismiss it
[00:23:05.720 --> 00:23:10.280]   Uh, yeah, and again, we're not concerned about it. We're
[00:23:12.120 --> 00:23:18.360]   The content that they're looking for is is very it's it's defendable that you want to get you want to sure go after that content
[00:23:18.360 --> 00:23:20.120]   And they've historically a terrible job of it
[00:23:20.120 --> 00:23:25.480]   But the problem is is that we're we're we're afraid that that list gets longer
[00:23:25.480 --> 00:23:30.600]   Like that's the that's the thing that I think everybody's afraid of is that that list based on at the be at the you know
[00:23:30.600 --> 00:23:32.680]   At the behest of governments
[00:23:32.680 --> 00:23:36.920]   That you've now opened up this little thing that i'm going to now go in there and this has been the
[00:23:37.480 --> 00:23:42.040]   The hard line that apple has had with every government like no, you can't get into the phone
[00:23:42.040 --> 00:23:44.200]   You can't have the phone you can and they said they're gonna fight it
[00:23:44.200 --> 00:23:49.480]   But it was just like why did you go down that path like because now that you've opened it up and people start thinking about it
[00:23:49.480 --> 00:23:53.800]   You're just like, okay. Well, they say we'll refuse any requests sure
[00:23:53.800 --> 00:24:03.000]   Unless please please allow us to simply please tie our hands by passing a law because we don't have we don't like having to take
[00:24:03.000 --> 00:24:08.680]   A stance on anything, right? But if you but hey if you if you put in a law saying that we have to scan for pictures of like
[00:24:08.680 --> 00:24:12.920]   Your president as when you the poo so that you can round these people up please
[00:24:12.920 --> 00:24:18.920]   We've much rather we'd much rather not have to deal with that they say it's available only in the us but I don't think that
[00:24:18.920 --> 00:24:25.560]   That makes a difference it they're saying we have the technology and we currently are only offering it in the us
[00:24:25.560 --> 00:24:28.760]   Doesn't mean that china can't say well you're now offering it in china as well
[00:24:29.560 --> 00:24:34.920]   Yeah, I mean their defense against that is that again, it's a single disk image and people like you know gi Rambo or like
[00:24:34.920 --> 00:24:41.320]   Yeah, we'll find this this kind of stuff and they'll it'll be detrimental to their to their existence or the existential threat
[00:24:41.320 --> 00:24:46.120]   To their existence but for us it just creates anxiety because it becomes shorting or is cat
[00:24:46.120 --> 00:24:49.400]   We can never know like we can even if they don't do it today
[00:24:49.400 --> 00:24:53.480]   We don't know what they're gonna do tomorrow and that feeling will persist forever like once it happens
[00:24:53.480 --> 00:24:55.400]   Well, okay. Yeah, our worst fear is realized
[00:24:55.400 --> 00:25:00.840]   But if nothing happens, it's just a case of tomorrow and forever and that's a terrible feeling to have to live with as just a user
[00:25:00.840 --> 00:25:06.920]   This system and I think leo you're you're right in that's I think that there's there's a conflict between
[00:25:06.920 --> 00:25:08.280]   um
[00:25:08.280 --> 00:25:13.880]   The amount of credit that I that apple thinks it has earned and maybe has just a firefully earned in terms of how much trust
[00:25:13.880 --> 00:25:17.480]   It's earned from its users and how much trust
[00:25:17.480 --> 00:25:22.360]   People are willing to simply give to again a two trillion dollar company like they're there
[00:25:22.360 --> 00:25:27.720]   I'll speak personally where there are times where someone will say I can't believe it and he's just you know
[00:25:27.720 --> 00:25:34.280]   How much money did apple give Andy to say that or do how much how much money did he take from google to switch from the iphone
[00:25:34.280 --> 00:25:36.920]   And like well, why would they think I would do that like I don't
[00:25:36.920 --> 00:25:42.120]   About Ford but but but but then but then it's like well the thing is you
[00:25:42.120 --> 00:25:46.680]   You know that you're a good person your mom knew you're a good person
[00:25:46.680 --> 00:25:48.680]   This person doesn't know you from adam
[00:25:48.680 --> 00:25:54.280]   So you kind of have to make sure that you consistently demonstrate that this is why my opinions are my own
[00:25:54.280 --> 00:25:59.320]   I think apple kind of falls into that same trap where they don't it's hard for them to
[00:25:59.320 --> 00:26:02.760]   To think that they're that the general public
[00:26:02.760 --> 00:26:04.920]   Is going to think of them as again
[00:26:04.920 --> 00:26:10.200]   I'm a two trillion dollar company that is operating in international markets in a time where it is
[00:26:10.200 --> 00:26:15.080]   Really really difficult to operate in russia in turkey
[00:26:15.720 --> 00:26:19.640]   In iran in uh in china in all these other companies of countries
[00:26:19.640 --> 00:26:24.760]   It is impossible for us to simply trust that this technology will never be used
[00:26:24.760 --> 00:26:30.520]   In a way that hurts people, but this is the sort of suspicion that we have to have it's nothing personal apple
[00:26:30.520 --> 00:26:36.040]   But this is something you have to really make the case to us with your hat in hand and with a humble attitude
[00:26:36.040 --> 00:26:38.200]   You can't just simply say you
[00:26:38.200 --> 00:26:43.000]   It's imagine the imagine the time that someone really really insulted you and they said oh
[00:26:43.880 --> 00:26:47.240]   You didn't understand what I said. I'll dumb it down for you
[00:26:47.240 --> 00:26:53.800]   And I'll I agree that I I was at fault in not messaging it correctly for people who are not going to understand what I say
[00:26:53.800 --> 00:26:57.400]   It's like oh, that's not the way to respond to a crisis example
[00:26:57.400 --> 00:27:02.120]   Um erica point noy at the uh eff
[00:27:02.120 --> 00:27:08.920]   Said I think very succinctly once you've built in surveillance, you can't call that privacy preserving
[00:27:08.920 --> 00:27:11.640]   Yeah, uh and so
[00:27:12.040 --> 00:27:14.040]   What should so?
[00:27:14.040 --> 00:27:15.880]   To date apple is not backed down in any way
[00:27:15.880 --> 00:27:18.840]   They've just given us more information and and attempted to
[00:27:18.840 --> 00:27:20.760]   Feels
[00:27:20.760 --> 00:27:24.600]   Yeah, but they haven't said oh well k we won't do that. We're not doing it yet. Yeah
[00:27:24.600 --> 00:27:27.720]   I mean, I think that the only the only thing they could say is oh we found
[00:27:27.720 --> 00:27:32.440]   I mean the the the face saving way out of this is we found some technical issues that we're gonna have
[00:27:32.440 --> 00:27:34.920]   You know, just it's like the the chargers that never came out
[00:27:34.920 --> 00:27:37.080]   This is the thing that we're still working on it
[00:27:37.080 --> 00:27:42.440]   It'll be out, you know, and then just slowly let it dribble out into the into the spring and then just let it disappear
[00:27:42.440 --> 00:27:46.760]   To be clear none of their privacy charges shipped on time like every big privacy
[00:27:46.760 --> 00:27:51.800]   The shit above the last few years has been delayed at least until january february march of the next year to be clear
[00:27:51.800 --> 00:27:54.520]   There is nothing you can't turn off here
[00:27:54.520 --> 00:27:57.080]   Right is that right?
[00:27:57.080 --> 00:28:02.120]   If you turn off iCloud photo sharing. Yeah, no scanning if your photos are big mass
[00:28:02.680 --> 00:28:08.280]   Yeah, I mean you can't stop them from downloading the fingerprint database. That's going to be built into iOS 15
[00:28:08.280 --> 00:28:14.200]   So that database is just a bunch of hashes, but that database will be on your phone
[00:28:14.200 --> 00:28:18.600]   But you can say don't scan my photos because i'm not going to use iCloud photos
[00:28:18.600 --> 00:28:25.560]   You have to opt in if you want the parental iMessage scanning, right? So that's not going to happen unless you say yes to it
[00:28:25.560 --> 00:28:28.280]   I guess you can't turn off
[00:28:28.280 --> 00:28:30.280]   Siri and search
[00:28:30.280 --> 00:28:33.720]   Is that for everybody the Syrian search warning? Oh, you're about to see nudity
[00:28:33.720 --> 00:28:39.480]   Or is that just but it's but they do that already like they do that for like a plant parent
[00:28:39.480 --> 00:28:42.280]   They do that for a whole like a vast a number of things already
[00:28:42.280 --> 00:28:43.720]   Yeah
[00:28:43.720 --> 00:28:49.080]   And realize that google search does that as well if you you have to turn it off but it will do safe search safe search
[00:28:49.080 --> 00:28:54.600]   Safe search is well see it's been so long. I'm confused. I think it's off by default or is it on by default
[00:28:54.600 --> 00:28:59.320]   I know they're always trying to they're always trying to protect you from yourself and it makes me ducking and
[00:28:59.960 --> 00:29:03.400]   Great. I hate ducking that ducking stuff. Yeah
[00:29:03.400 --> 00:29:12.200]   Really is an anti i'm gonna my pick later is gonna be a new photo app which I love and in the terms of service they say follow you right now
[00:29:12.200 --> 00:29:14.360]   We can't
[00:29:14.360 --> 00:29:15.720]   Allow you to upload
[00:29:15.720 --> 00:29:16.920]   Nudes
[00:29:16.920 --> 00:29:18.680]   Because of apple
[00:29:18.680 --> 00:29:23.400]   And if we have to we have to build some things into the app that allow you to say
[00:29:23.400 --> 00:29:25.960]   I don't I don't want to see that before apple would approve it
[00:29:25.960 --> 00:29:30.840]   So we're just gonna not allow nudes and that to me is I mean it's a photo app
[00:29:30.840 --> 00:29:33.880]   So there's porno, but there's also legitimate
[00:29:33.880 --> 00:29:41.080]   Photographic nudity that to me is a nanny's kind of ish point of view on apple's part that really strikes me as out of
[00:29:41.080 --> 00:29:43.560]   Date at least in the u.s
[00:29:43.560 --> 00:29:47.000]   It's a horrible idea
[00:29:47.000 --> 00:29:50.920]   I'm just saying it's a bit
[00:29:50.920 --> 00:29:53.960]   You're getting something a lot of trouble to what yeah, I mean allow nudes you mean
[00:29:54.600 --> 00:29:57.240]   Yeah, I mean you know, no, I'm saying it's it's
[00:29:57.240 --> 00:30:03.480]   They can allow it or not a lot. I'm just saying that that functionally as a person. It's a dangerous thing to do that's all
[00:30:03.480 --> 00:30:09.160]   Oh notes of yourself you're saying i'm anybody like you're like yourself your your friends whatever
[00:30:09.160 --> 00:30:11.400]   Born naked. I don't think it is
