
[00:00:00.000 --> 00:00:06.000]   Hey, it's time for Mac Break weekly and well one week into the new iPad Air era
[01:33:20.760 --> 01:33:26.040]   But just like letterpress in a way they took all that personality and they made it dynamic and interactive
[01:33:26.040 --> 01:33:32.440]   With blurs and physics and bounces and collisions and you can you know tap a photo the photo pops up
[01:33:32.440 --> 01:33:35.640]   You can spin it around you can throw it away like a card
[01:33:35.640 --> 01:33:42.040]   It's full of all those delightful little interactions paul and mark even gave themselves their own little verified by twitter badges
[01:33:42.040 --> 01:33:44.520]   Which you can see there verified by tap bots
[01:33:45.400 --> 01:33:51.080]   And it's it's sort of the spiritual successor for tweedy, which was always my favorite out on the road
[01:33:51.080 --> 01:33:53.800]   triage get stuff done app
[01:33:53.800 --> 01:33:58.840]   I use twitterific on my ipad because i'm my ipad i just want to read and i like the unified timeline for that
[01:33:58.840 --> 01:34:04.200]   But when i'm on my iphone and especially when i'm out and about and i just want to get through twitter, you know reply
[01:34:04.200 --> 01:34:07.080]   triage stuff as fast as i can
[01:34:07.080 --> 01:34:11.960]   I always go back to twitterific because it's it's workflow makes so much logical sense for me
[01:34:12.520 --> 01:34:16.600]   There are some features because they rewrote the entire app that didn't make it into the new version
[01:34:16.600 --> 01:34:18.600]   But they are adding that they are adding
[01:34:18.600 --> 01:34:23.160]   Right now they're using system fonts for the dynamic text and they're going to add independent fonts
[01:34:23.160 --> 01:34:26.520]   They're going to add a night mode if you want to turn the interface dark again
[01:34:26.520 --> 01:34:30.840]   So there's a lot of stuff coming in the next update, but for now it's a fantastic rewrite
[01:34:30.840 --> 01:34:35.800]   It is a new app if you bought it before you do have to buy it again tweed bot 2 was free
[01:34:35.800 --> 01:34:39.560]   And unfortunately paul and mark both have little kids they want to feed so they are charging
[01:34:39.960 --> 01:34:44.840]   Three bucks right now on sale for the new version. I use it eight hours a day every day
[01:34:44.840 --> 01:34:47.640]   So they could easily charge me 30 bucks and i wouldn't blink
[01:34:47.640 --> 01:34:51.560]   But it is only three bucks for now. So if you want to upgrade i encourage you to do so
[01:34:51.560 --> 01:34:56.040]   You know post-haste and this is the ios version not the ios 7
[01:34:56.040 --> 01:34:59.560]   Ios 7 because yeah, I use it on this also on the desktop. I love tweed bot
[01:34:59.560 --> 01:35:01.800]   I like twitterific too
[01:35:01.800 --> 01:35:03.720]   And of course the late limited tweetee
[01:35:03.720 --> 01:35:07.560]   They are very different workflows from like that. That's what i like about twitter
[01:35:07.560 --> 01:35:12.520]   And you know john gruber says a long time ago. It's a playground for designers and you can make very different experiences with the same
[01:35:12.520 --> 01:35:15.000]   core technology, right
[01:35:15.000 --> 01:35:17.480]   uh, we mentioned
[01:35:17.480 --> 01:35:23.400]   Air mail i don't i know i like apple mail a lot and the main reason i stick with apple mail even if there are gmail problems
[01:35:23.400 --> 01:35:25.400]   Which i haven't really had too much problem with
[01:35:25.400 --> 01:35:30.360]   Uh, is because i like to use uh, pgp encryption i use the gpg tools i've mentioned before
[01:35:30.360 --> 01:35:34.280]   And it seems like that's the i want to put out the word to all the
[01:35:35.000 --> 01:35:38.280]   Email, you know third party email clients support
[01:35:38.280 --> 01:35:45.720]   Pgp or gpg just because then it would be so nice everybody could say oh yeah get this and it would work
[01:35:45.720 --> 01:35:49.000]   Nobody does that to my knowledge yet if anybody has a suggestion i would love it
[01:35:49.000 --> 01:35:52.200]   But you mentioned air mail and air mail is actually a really nice
[01:35:52.200 --> 01:35:57.160]   Interface if you use a gmail to get into your gmail
[01:35:57.160 --> 01:36:01.720]   Uh, it's just it's pretty it's simple. It gets the job done
[01:36:02.680 --> 01:36:06.840]   Um, and i highly i recommend i have to be careful when i show my
[01:36:06.840 --> 01:36:12.760]   Email, okay, there we go. This is the three-pane interface. Do you use this rina you mentioned it?
[01:36:12.760 --> 01:36:15.240]   I have fried it i i
[01:36:15.240 --> 01:36:21.720]   I'm going through this big dilemma now because i i'm a huge mail dot app user but you're taking up so much space on my computer
[01:36:21.720 --> 01:36:26.280]   And i don't need all that available so either i'm going to move to air mail or i'm going to lock
[01:36:26.920 --> 01:36:31.640]   Gmail up in chrome next to flash in sort of a jail if you like sparrow and you're saying well
[01:36:31.640 --> 01:36:33.880]   It's kind of dead because google bottom and they're not
[01:36:33.880 --> 01:36:42.120]   Improving it i think this is a good a really good choice air mail. It's cheap buck 99 app store of course desktop app
[01:36:42.120 --> 01:36:50.520]   I think it's great and i down i paid for it download and installed it, but i just i don't i don't use it that much because i'm a mail user
[01:36:50.520 --> 01:36:52.840]   It's from bloop
[01:36:54.520 --> 01:36:56.520]   We read out yeah
[01:36:56.520 --> 01:37:00.760]   Ladies and gentlemen that concludes this edition of macabrick weekly we did think
[01:37:00.760 --> 01:37:05.000]   Alex would be able to join us from a wanda. He says he has more bandwidth than god, but no where to sit
[01:37:05.000 --> 01:37:09.640]   Isn't it always that way that's a third with no chairs
[01:37:09.640 --> 01:37:16.600]   So uh, maybe he'll come back, but uh, he could not be here today in case you were tuning in and wonder where he was
[01:37:16.600 --> 01:37:22.200]   Oh, I forgot. I did have a better pick. It's this the hypercard script language guide
[01:37:23.000 --> 01:37:29.960]   To the hyper talk language just a fabulous book for those of you who are under the age of 30 have no memory whatsoever
[01:37:29.960 --> 01:37:34.040]   Of hyper talk, but would like to duplicate hypercard
[01:37:34.040 --> 01:37:39.720]   On the web this is your reference manual and if you should need it
[01:37:39.720 --> 01:37:47.000]   A shrink wrapped copy of hypercard. Alex gumpel who is our windows guy around here. He's like he's
[01:37:47.000 --> 01:37:51.160]   Weighted in line at midnight at the microsoft store last week to buy a surface too
[01:37:52.440 --> 01:37:54.440]   Also oddly enough
[01:37:54.440 --> 01:37:57.320]   Collects vintage mac and touch stuff
[01:37:57.320 --> 01:38:00.680]   But prefers it shrink wrapped in the box
[01:38:00.680 --> 01:38:05.240]   Oh, it's been real i'm not gonna. I'm not gonna open it
[01:38:05.240 --> 01:38:07.880]   Mint in the box there
[01:38:07.880 --> 01:38:11.320]   Really? Well you like you you have a resealer
[01:38:11.320 --> 01:38:15.480]   I'm not gonna reseal it cheating isn't it no
[01:38:15.480 --> 01:38:19.480]   Stay on the eel say a real eel ray
[01:38:21.000 --> 01:38:23.000]   Like pig Latin rusty. I apologize
[01:38:23.000 --> 01:38:24.520]   um
[01:38:24.520 --> 01:38:26.520]   Wow hypercard, you know it came on
[01:38:26.520 --> 01:38:30.920]   Three i can three floppies. I can hear it when I write. It's a plastic. Yeah
[01:38:30.920 --> 01:38:36.600]   Those are better. Thank you, Alex. Huh? It came on save icons
[01:38:36.600 --> 01:38:43.960]   Yeah, what what is what is that there's a save icon? Oh, it must be a coaster that goes with the software
[01:38:43.960 --> 01:38:46.920]   Um, there's a save icon in here
[01:38:48.600 --> 01:38:51.480]   Kids today. They don't know they don't know
[01:38:51.480 --> 01:38:55.880]   Renee riches i'm more calm. That's where you'll find his work
[01:38:55.880 --> 01:39:02.440]   He also uh works at crackberry and other places android central central central we won't mention any of that
[01:39:02.440 --> 01:39:05.160]   And he has an a7 chip on his wall
[01:39:05.160 --> 01:39:09.160]   I do I love the a7 chip leo i would marry it if it was legal in this state
[01:39:09.160 --> 01:39:13.640]   I'm excited by the a7. I cannot wait to get my ipad mini with retina display a7 chip
[01:39:14.120 --> 01:39:16.840]   Etc, etc. I was talking to brian clug about it
[01:39:16.840 --> 01:39:21.800]   And you know I was asking him is it too much for the iphone or too little for the ipad because how can they have the same chip?
[01:39:21.800 --> 01:39:23.240]   And he said it is
[01:39:23.240 --> 01:39:29.000]   Literally a desktop class processor that has no business being in a phone that apple just yeah, and it's ridiculous
[01:39:29.000 --> 01:39:34.760]   How much power is that so exciting and I just wish they would get the I am going to be camping on the apple store
[01:39:34.760 --> 01:39:38.040]   I figure I know I have a couple of weeks before I have to do that
[01:39:38.040 --> 01:39:40.600]   But starting about november 15th
[01:39:41.000 --> 01:39:46.600]   Every night midnight coop routine of time. I'm going to log into the apple store and just try to buy an ipad mini with
[01:39:46.600 --> 01:39:48.920]   I'm sure they'll announce that I don't think they'll try to surprise anybody
[01:39:48.920 --> 01:39:56.680]   But they'll but maybe they'll announce it. Yeah, maybe i'm I don't want to miss the announcement. Yeah, I want it. I want it
[01:39:56.680 --> 01:39:59.560]   Andy and ico
[01:39:59.560 --> 01:40:01.560]   Chicago sun times
[01:40:01.560 --> 01:40:03.160]   baseball fan
[01:40:03.160 --> 01:40:06.360]   He will be glued to the television set this coming wednesday
[01:40:07.560 --> 01:40:12.920]   I will be down if there's a game seven. I will be answering the door in my official costume as anoint person
[01:40:12.920 --> 01:40:17.080]   Who really didn't want to be taken away from the game. It's not too late to start growing a beard
[01:40:17.080 --> 01:40:19.160]   I really bushy bosecx beard
[01:40:19.160 --> 01:40:24.760]   Exactly, that is this I just I just hope it doesn't affect their balance as
[01:40:24.760 --> 01:40:29.160]   The longer the longer they go the more can affect their swing and that's that's problematic
[01:40:29.160 --> 01:40:31.320]   They're all looking like the unibomber now
[01:40:31.320 --> 01:40:35.000]   Uh, we make some make some scary make some scary
[01:40:35.960 --> 01:40:41.480]   We do also what also and this this is this is actually a question that I really wanted seriously answered now
[01:40:41.480 --> 01:40:49.160]   They've got now not something have these huge beards. Okay, so now they can sort of like in like sort of extend their beard into the strike zone
[01:40:49.160 --> 01:40:51.560]   So if the ball just hits their beard, do they get the base?
[01:40:51.560 --> 01:40:59.160]   That actually that actually happened he had with the elbow guard on there and had like three inches to his elbow hit by pitch
[01:40:59.160 --> 01:41:02.040]   There he go very handy and it doesn't hurt
[01:41:02.760 --> 01:41:07.400]   Next person they may come. Can we like is it too late to sign ZZ top like a you know pinch hitter
[01:41:07.400 --> 01:41:15.640]   There's a guy who bicycles around petaluma who has a big long gray beard that he splits in the middle
[01:41:15.640 --> 01:41:20.440]   And it has it's like a mustache beard, you know with a little waxed ends
[01:41:20.440 --> 01:41:26.280]   Well, probably it's probably it's not split in the middle. It's probably the arc reactor he installed probably burned off that that's such a hair
[01:41:26.280 --> 01:41:31.320]   We do mac break weekly at 11 a.m. Pacific time
[01:41:32.440 --> 01:41:34.440]   That is 2 p.m. Eastern time
[01:41:34.440 --> 01:41:42.600]   Currently 1,800 UTC, but next week we go to summertime here in the United States, which means our clocks will change
[01:41:42.600 --> 01:41:47.640]   But of course UTC does not which means we will change UTC time that figure that out
[01:41:47.640 --> 01:41:50.200]   It'll be 1,800 ut
[01:41:50.200 --> 01:41:53.400]   1,900 UTC instead of 1,800
[01:41:53.400 --> 01:41:57.240]   So next to next week you do the math
[01:41:58.920 --> 01:42:01.640]   Because I've really challenged it's exact Zulu
[01:42:01.640 --> 01:42:07.640]   Uh, so i'll say it again 11 a.m. Pacific that's not going to change
[01:42:07.640 --> 01:42:12.280]   Uh 2 p.m. Eastern time that's not going to change because we move the show
[01:42:12.280 --> 01:42:19.000]   Uh, but UTC will change because you don't observe summertime figure that out
[01:42:19.000 --> 01:42:21.720]   1,900 UTC
[01:42:21.720 --> 01:42:28.600]   Well, Greenwich Observatory is in London. They don't really get very as much summertime weather. So why bother that why bother changing
[01:42:29.560 --> 01:42:31.960]   They don't have to get up at sunrise
[01:42:31.960 --> 01:42:38.120]   To milk the cows. They're already miserable harvest the summertime is over. It is over
[01:42:38.120 --> 01:42:44.920]   Is it over in Canada already? No, we we copied the u.s. Because we moved just really afraid of missing our television shows at the proper times
[01:42:44.920 --> 01:42:49.160]   I've got a big dish aimed at Detroit. I don't want to miss it
[01:42:49.160 --> 01:42:51.560]   Now what what you're did you do that?
[01:42:51.560 --> 01:42:56.040]   I'm trying to figure out the last time american television broadcast tell which would have been so good that I would consider
[01:42:56.600 --> 01:42:58.600]   The standard
[01:42:58.600 --> 01:43:00.600]   We were petrified of being left behind
[01:43:00.600 --> 01:43:03.160]   Thank you everybody for being here
[01:43:03.160 --> 01:43:07.800]   If you can't watch live we do make on demand available after the fact that's always the same time
[01:43:07.800 --> 01:43:13.080]   Whatever time works for you at twitter.tv/mbw if you'd like to be in studio with us
[01:43:13.080 --> 01:43:17.640]   We always have room for more just email tickets at twitter.tv. We'll put a chair out for you
[01:43:17.640 --> 01:43:19.640]   Have a nice hot bun sitting underneath it
[01:43:19.640 --> 01:43:25.160]   Hot buns not included. Thanks for joining us. We'll see you next time now get back to work because break time
[01:43:25.880 --> 01:43:27.880]   Well, it's actually over
[01:43:27.880 --> 01:43:29.880]   You
[01:43:29.880 --> 01:43:31.880]   You
[01:43:31.880 --> 01:43:33.880]   You
[01:43:33.880 --> 01:43:36.460]   (upbeat music)
[01:43:36.460 --> 01:43:40.460]   [MUSIC]

