;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[00:22:27.680 --> 00:22:31.520]   Everybody was hugely influenced by this tv show
[00:22:31.520 --> 00:22:34.720]   And I should correct myself. It was on bbc initially
[00:22:34.720 --> 00:22:40.640]   I think in the united states it was aired on public broadcasting because of course it was way too brainy for nbc
[00:22:40.640 --> 00:22:43.120]   CBS
[00:22:43.120 --> 00:22:48.640]   And most of it is on us still on the you were you're watching it on the internet archive, but most of it is also on youtube
[00:22:48.640 --> 00:22:49.600]   So
[00:22:49.600 --> 00:22:55.520]   Um, you can you can watch the show still today and it's it is well worth it. So the special event
[00:22:55.520 --> 00:22:57.440]   keynote
[00:22:57.440 --> 00:23:04.160]   Is 10 a.m. monday june 22nd followed and I don't think we're going to stream this followed by the state of the union at 2 p.m
[00:23:04.160 --> 00:23:08.960]   Should we stream it? What is the state of the union larry? What are they do at the state of the union?
[00:23:09.440 --> 00:23:11.440]   It's basically the way
[00:23:11.440 --> 00:23:16.720]   Alex was describing it. It's kind of the more brainy deep dive stuff
[00:23:16.720 --> 00:23:22.640]   So whatever apple announces at the keynote, it's broad stroking and it's kind of a general
[00:23:22.640 --> 00:23:27.600]   Here's a demo. Here's how it's done and then the state of the union is more like here's the code
[00:23:27.600 --> 00:23:31.120]   And here's how you would they actually it's a little more brainy
[00:23:31.120 --> 00:23:36.160]   This time it's titled maybe it always is but this time it's it's titled platforms state of the union
[00:23:36.320 --> 00:23:38.320]   So it's gonna be mac OS IOS
[00:23:38.320 --> 00:23:44.880]   TV OS watch OS that kind of thing and it goes over all the same stuff. It just goes into it with a little bit more
[00:23:44.880 --> 00:23:50.800]   I toured the developer instead of I toured like the press or the general public
[00:23:50.800 --> 00:23:55.520]   So it's really the same keynote done twice once for the normies and one for the geese
[00:23:55.520 --> 00:23:58.160]   There's more
[00:23:58.160 --> 00:23:59.200]   Go ahead
[00:23:59.200 --> 00:24:01.200]   There's so much to talk about
[00:24:01.280 --> 00:24:05.760]   Of what's new in dub dub that you can't the keynote is like the 10,000
[00:24:05.760 --> 00:24:11.840]   You the the state the next one is a thousand feet and then the sessions are the hundred feet and below
[00:24:11.840 --> 00:24:13.520]   apple saying
[00:24:13.520 --> 00:24:16.320]   June 23rd to 26th so tuesday through friday
[00:24:16.320 --> 00:24:18.800]   100 plus engineering sessions
[00:24:18.800 --> 00:24:22.880]   Watch on the web or the apple developer app on iphone ipad and apple tv
[00:24:22.880 --> 00:24:26.000]   They're also creating developer forums
[00:24:26.880 --> 00:24:32.240]   So that's interesting and they're going to put their engineers on the forum. So this is how they're going to have the interactivity
[00:24:32.240 --> 00:24:38.320]   Starting the first day of the conference eligible members can connect with apple engineers. They're going to put a thousand engineers in there
[00:24:38.320 --> 00:24:42.240]   uh over the wwdc content on the forums
[00:24:42.240 --> 00:24:46.640]   There are also by appointment developer labs for one-on-one guidance
[00:24:46.640 --> 00:24:50.880]   If you're lorn britter you can go there and say hey, how does that work?
[00:24:50.880 --> 00:24:53.280]   You know, yeah, what's this that's gonna be?
[00:24:53.760 --> 00:24:59.680]   That's going to be a really important thing for them to implement somehow because a lot of developers look forward to wwdc
[00:24:59.680 --> 00:25:05.040]   As a time to talk directly to an engineer saying here is specifically the problem i'm having
[00:25:05.040 --> 00:25:10.240]   Transitioning my app from one platform to another here's what i want my app to do
[00:25:10.240 --> 00:25:12.320]   But i'm not allowed to do it
[00:25:12.320 --> 00:25:15.200]   Under under restrictions that are under the app store. How am i supposed to do that?
[00:25:15.200 --> 00:25:19.840]   How do we get around with it and this is an opportunity for engineers to speak directly and frankly
[00:25:20.160 --> 00:25:26.080]   Because it's it's it's not for public consumption is for here's how who is us trying to solve your problem with you
[00:25:26.080 --> 00:25:31.360]   So it's not only specifically trying to solve problems for specific developers, but it's also good outreach
[00:25:31.360 --> 00:25:36.640]   So this is something that a lot of developers buy that ticket for to make sure they get that facetime and they
[00:25:36.640 --> 00:25:40.800]   Essentially get that face in their logbook has someone they can talk to in the future
[00:25:40.800 --> 00:25:44.640]   So this is going to be that was something that was going to be really important for apple to replicate
[00:25:44.640 --> 00:25:49.120]   If they're going to be doing a remote wwdc. I'm guessing they're not using zoom to do that
[00:25:49.760 --> 00:25:52.800]   No, they use the using google meet
[00:25:52.800 --> 00:25:55.040]   Yeah
[00:25:55.040 --> 00:25:58.800]   And then you were right the awards are the following monday on the 29th
[00:25:58.800 --> 00:26:03.600]   It is yeah, usually the the awards actually take place the second or third day
[00:26:03.600 --> 00:26:08.320]   I think it's usually the second day of wwdc, but they're actually postponing it till the
[00:26:08.320 --> 00:26:15.040]   Um, the conference is completely over this year. It's gonna be a doing it though. Oh gosh. Yeah, the designer words are
[00:26:15.600 --> 00:26:18.480]   I'm sure for developers. I haven't seen any information about it
[00:26:18.480 --> 00:26:21.840]   And then I just recently read that they they're holding it on the 29th
[00:26:21.840 --> 00:26:24.240]   So I was really happy to see that it's happening. So nice
[00:26:24.240 --> 00:26:28.560]   Yeah, they were the big prizes just that placement on the app store for that period of time
[00:26:28.560 --> 00:26:33.600]   Or so yeah, if they delayed that a couple of weeks, that's a couple of weeks of money that they get that they miss out on
[00:26:33.600 --> 00:26:36.880]   They're also doing the swift student challenge
[00:26:36.880 --> 00:26:42.000]   So you uh is actually in a in swift playgrounds, I think
[00:26:42.960 --> 00:26:46.800]   So uh you create a swift playground on the topic of your choice
[00:26:46.800 --> 00:26:53.440]   Winners will get the highly coveted wwdc 20 jacket and pin set
[00:26:53.440 --> 00:26:56.560]   How else can we get that? I want that. Yeah
[00:26:56.560 --> 00:27:01.600]   The uh swift student challenge winners were actually announced and oh, it's over
[00:27:01.600 --> 00:27:08.400]   The the great yeah the great thing about it was everybody won it was 350 entrance and 350
[00:27:08.400 --> 00:27:11.680]   Oh, which I thought was really sweet. Oh, that's really great
[00:27:12.160 --> 00:27:18.080]   This is well, it's also a little bit like like a big treasure hunt and then we find out. Oh, the price was love
[00:27:18.080 --> 00:27:22.320]   We'll think about this. Oh, Andy. What's still come on
[00:27:22.320 --> 00:27:25.040]   Think about this usually
[00:27:25.040 --> 00:27:29.520]   You know, however many people attend wwc get the jacket and pins right?
[00:27:29.520 --> 00:27:37.360]   There are only 350 people with those jacket and pins and it's those swift developer challenge students like they did win
[00:27:37.360 --> 00:27:39.440]   They want something really cool
[00:27:39.760 --> 00:27:43.840]   This is so cool. Do any of them take like a size 46 jacket
[00:27:43.840 --> 00:27:46.480]   and
[00:27:46.480 --> 00:27:48.960]   I'm sure one or two will go on ebay
[00:27:48.960 --> 00:27:50.960]   Uh, you know
[00:27:50.960 --> 00:27:55.520]   So wishes expensive these days a lot of them are there you go a lot of them have to pay college tuition
[00:27:55.520 --> 00:27:59.520]   I guess these are i'm looking at the the newsroom announcement of the winners
[00:27:59.520 --> 00:28:04.160]   I which was on the 16th. So shame of me. Oh, no, that's today. Nevermind. It's just
[00:28:04.160 --> 00:28:07.120]   It just happened this morning. Yeah
[00:28:07.120 --> 00:28:13.680]   Are these the pins or are I love the I love to go? I don't think we've seen the pins. I want the I love to code pin
[00:28:13.680 --> 00:28:15.760]   That's really cool
[00:28:15.760 --> 00:28:16.480]   Um
[00:28:16.480 --> 00:28:19.680]   neat neat stuff and read the press release because some of these
[00:28:19.680 --> 00:28:24.720]   Some of these kids are going to change the world. Uh, this is really really exciting
[00:28:24.720 --> 00:28:27.360]   Stuff from all of them. There's nothing more
[00:28:27.360 --> 00:28:33.840]   Nothing more exciting than like really really young people who have not been taught what won't work and what has been tried before
[00:28:34.080 --> 00:28:37.760]   They just have an idea. I mean they're ahead of what they want to exist and then they make it exist
[00:28:37.760 --> 00:28:42.080]   Well, and that's by the way, I got to point out the beauty of swift and the platform
[00:28:42.080 --> 00:28:49.280]   Is uh, you can be a high schooler and develop something pretty pretty polished and so yeah amazing
[00:28:49.280 --> 00:28:55.680]   No, it's I'm so jealous of of young people who who are learning to code because every 10 years
[00:28:55.680 --> 00:29:02.480]   I really have to it was so tough to break myself out of the pre-object oriented programming
[00:29:03.360 --> 00:29:08.560]   mindset that I had molded my brain on since I was like 10 years old it was there
[00:29:08.560 --> 00:29:11.760]   There were kids that were like I was like 22 23
[00:29:11.760 --> 00:29:16.720]   And their kids were like 10 years old and because they started learning like objective languages
[00:29:16.720 --> 00:29:22.800]   It's like, uh, but wait a minute. You don't have to do a loop wait a minute. Where does where did you break out of the it's?
[00:29:22.800 --> 00:29:27.760]   Oh, he it was so it's exciting now that when you have people kids who uh,
[00:29:27.760 --> 00:29:30.240]   not now are growing up knowing that
[00:29:30.480 --> 00:29:35.680]   Uh, you can the best the best way to write an effective program that does magical fangs
[00:29:35.680 --> 00:29:41.520]   Is to write as little right only the most specific code to your app as possible
[00:29:41.520 --> 00:29:48.560]   And support the framework that you've been given because not only were there there are a lot of like older programmers that are
[00:29:48.560 --> 00:29:53.760]   suffering right now in the in the app store because they uh, uh,
[00:29:53.760 --> 00:29:56.560]   They have been trained to
[00:29:56.640 --> 00:30:02.320]   Solve a problem. However, it has to be solved if the if the systems that apple gives them first
[00:30:02.320 --> 00:30:08.080]   For writing certain pieces of code doesn't work. They will find a way to work around it to make sure that their app does what they want
[00:30:08.080 --> 00:30:14.160]   Whereas a younger developer is going to say, oh, wow. Well, look here's this brand new and here's here's this brand new system for networking
[00:30:14.160 --> 00:30:18.000]   I'm certainly going to use this stack. I'm not gonna have i'm not going to do any modifications to it
[00:30:18.000 --> 00:30:23.440]   I'm not going to uh, use the 10 year old stack that I created myself and because it's what our entire
