;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[00:22:19.680 --> 00:22:23.520]   But yeah, they've just never been as sort of creepy about their technology
[00:22:23.520 --> 00:22:26.960]   Which is funny too because if you think about it years ago, they launched the xbox one
[00:22:26.960 --> 00:22:30.240]   And it had the connect camera and everybody was freaking out there
[00:22:30.240 --> 00:22:32.960]   I don't want to put a camera with microphones on my living room. Were you nuts?
[00:22:32.960 --> 00:22:35.520]   And and now today
[00:22:35.760 --> 00:22:40.080]   By a tv. Yeah, you don't have to do it. They'll do it for you and it goes to show you this
[00:22:40.080 --> 00:22:42.880]   Overton window right how things have just shifted over now
[00:22:42.880 --> 00:22:45.840]   We're putting cameras in our bedroom and hoping that amazon's
[00:22:45.840 --> 00:22:51.760]   Only occasionally recording and saving the audio that amazon employees may or may not be listening to which is like
[00:22:51.760 --> 00:22:57.120]   So different meanwhile maryks I was like yeah, no more connect. So it's like I don't know everything shifting around
[00:22:57.120 --> 00:23:03.600]   It's uh very strange times. I think we're definitely trying to balance between there are definitely people who really care about privacy and they
[00:23:03.840 --> 00:23:08.640]   You know make it a point to buy products that have it then there's just a lot of people just don't care
[00:23:08.640 --> 00:23:11.600]   Right. I'm still amazed by the facebook, you know, how many people
[00:23:11.600 --> 00:23:16.960]   Yeah, they don't care. No, so but louise you cover security maybe
[00:23:16.960 --> 00:23:19.600]   Microsoft's
[00:23:19.600 --> 00:23:27.200]   Problem is not going to be privacy so much as security. Uh, we just heard another problem with uh 1903
[00:23:27.200 --> 00:23:32.480]   Um, you know, which is the the version that they're going to about to push push out
[00:23:32.480 --> 00:23:34.400]   They are pushing out in some cases
[00:23:34.400 --> 00:23:41.920]   It seems like microsoft can't seem to write software or at least they can't update windows twice a year as they've promised to without all sorts of issues
[00:23:41.920 --> 00:23:47.360]   And now it was 1803 then it was 1809 now. It's 1903 all have had big problems
[00:23:47.360 --> 00:23:51.840]   Yeah, the amount of issues in uh, microsoft is crazy
[00:23:51.840 --> 00:23:57.280]   Like there's there's just constantly like way more bugs than there should be and they can't seem to get their act together on that
[00:23:57.280 --> 00:24:00.880]   And it's just routine at this point like it's not even that interesting
[00:24:01.280 --> 00:24:03.920]   When these bugs come up because they are so frequent
[00:24:03.920 --> 00:24:08.960]   Um, I think if you're really concerned, you know from a privacy standpoint, you probably shouldn't be
[00:24:08.960 --> 00:24:13.600]   Using word or like they're just certain programs that I don't think are are great
[00:24:13.600 --> 00:24:19.200]   Uh, but yeah, I mean, I think that you know all software has these kinds of issues
[00:24:19.200 --> 00:24:22.400]   But it is interesting that you know windows continues to stumble
[00:24:22.400 --> 00:24:29.120]   Uh with these problems over and over again. Yeah, I continue to hear so much beef about windows 10 and
[00:24:30.080 --> 00:24:32.800]   Personally, I can't say that I have those issues because
[00:24:32.800 --> 00:24:39.520]   About 90 percent of the time i'm staring at an app not necessarily staring at the living in adobe world
[00:24:39.520 --> 00:24:48.400]   Either adobe or a terminal or it's a terminal cdos getting in the way are you using mac or using windows
[00:24:48.400 --> 00:24:55.680]   No, no, no, I use windows, but when i'm not doing creative stuff i'm staring at some old informant databases
[00:24:55.680 --> 00:24:58.480]   Geez louise. I'm so sorry
[00:24:59.040 --> 00:25:01.040]   My god
[00:25:01.040 --> 00:25:07.680]   Really, really you know, I I handled all of this issue by wiping I bought a new think pad x1 extreme
[00:25:07.680 --> 00:25:10.400]   Love it, but I finally just wipe windows off
[00:25:10.400 --> 00:25:12.800]   Oh, how dare you?
[00:25:12.800 --> 00:25:15.680]   There really is the only real way to use a computer honestly
[00:25:15.680 --> 00:25:19.360]   I've struggled with windows and the only thing is I don't have the adobe universe
[00:25:19.360 --> 00:25:25.200]   But i'm actually quite impressed by the range of desktop software for licks even for photo editing in fact in some ways it's
[00:25:25.520 --> 00:25:29.680]   It's it's more powerful. It is pretty competitive on an exciting. Yeah, i'm using
[00:25:29.680 --> 00:25:34.640]   A poorly named but very good program called raw therapy with two e's
[00:25:34.640 --> 00:25:38.880]   Lina, what is this? Where did you get this?
[00:25:38.880 --> 00:25:42.560]   It was on the internet i downloaded it's great i love it
[00:25:42.560 --> 00:25:46.400]   No, i'm using so here. Yeah, i'm so uh
[00:25:46.400 --> 00:25:51.600]   Are you making some memes? What are you doing? No, no, no i'm doing for fair because i like to take pictures
[00:25:52.160 --> 00:25:57.760]   Although i my our photographer friend uh chris mark work made me swear not to take pictures for the next two weeks
[00:25:57.760 --> 00:25:59.840]   Because i was complaining that i was kind of in a
[00:25:59.840 --> 00:26:04.000]   Dold rooms and he said okay, you can't take any pictures for two weeks i said no no i want to now
[00:26:04.000 --> 00:26:11.440]   But anyway, uh, but this this camera imports very nicely into the linux that think pad has an sd card slot
[00:26:11.440 --> 00:26:14.960]   I use g thumb to import it. It looks just like light room when it's importing
[00:26:14.960 --> 00:26:19.920]   Does the same organizational things i use raw therapy or dark table actually raw therapy is my new
[00:26:20.480 --> 00:26:26.240]   Fave and it does all the editing i want to do it's great and i use the light dark table dark table is pretty good
[00:26:26.240 --> 00:26:31.360]   Uh, it's fine and raw therapy looks even better. It's very interesting both are non destructive
[00:26:31.360 --> 00:26:35.440]   Uh, honestly adobe's hold on this market is gonna is gonna get
[00:26:35.440 --> 00:26:40.240]   A little shaky especially as they're moving towards more and more towards forcing you to subscribe
[00:26:40.240 --> 00:26:45.680]   I was so peeved that they you know i have to buy a terabyte of storage to upload my photos to adobe
[00:26:45.680 --> 00:26:47.920]   I don't want to upload my photos to adobe
[00:26:48.800 --> 00:26:52.880]   But you don't have to you're not forced to do that. No, but it's like i'm paying for it
[00:26:52.880 --> 00:26:59.840]   Right, it's part of how you're part of the deal. You can't not pay for it. You can't take that out of your subscription
[00:26:59.840 --> 00:27:06.480]   I know i think it's a different standpoint because i i use the whole suite
[00:27:06.480 --> 00:27:12.320]   You know i never think about using the ten dollar photo thing which is photoshop and light room and actually that's ten
[00:27:12.320 --> 00:27:17.360]   Dollars a month pretty good price for that. But i figured you are paying for storage. That's right
[00:27:17.360 --> 00:27:20.400]   That does require the storage on that package
[00:27:20.400 --> 00:27:22.960]   Anyway, i'm happier with lemmex to be honest with you
[00:27:22.960 --> 00:27:28.080]   But you're using a surface studio in front of you. Yeah, well, I haven't put lemmex on this yet
[00:27:28.080 --> 00:27:31.760]   But it might just be a matter of time
[00:27:31.760 --> 00:27:34.160]   How many like
[00:27:34.160 --> 00:27:41.600]   Artists do we really think are drawing on those like that was the whole thing when when that was released is that all the ads were like that color wheel thing
[00:27:41.600 --> 00:27:46.240]   And there was gonna be everyone was gonna be painting. Oh, there you go. There you go. I have my knob
[00:27:46.720 --> 00:27:48.720]   Well, I never use it. By the way
[00:27:48.720 --> 00:27:54.480]   You caught me. I'm looking at a listing on alie bobba for the nokia 33 10 the real one
[00:27:54.480 --> 00:27:56.480]   14 dollars
[00:27:56.480 --> 00:28:01.200]   Pretty good pretty good. It's gonna take probably six weeks to get to you from alie bobba though. That's fine and it may work
[00:28:01.200 --> 00:28:08.480]   Apparently free shipping the united states via the netherlands. I don't understand that at all estimated delivery time 33 days
[00:28:08.480 --> 00:28:13.280]   That's one of the things i love about alie bobba. So does it say 18 months, you know, it's crazy
[00:28:13.920 --> 00:28:18.080]   Uh, but for 15 dollars now I can have a big one and a little one. I can have a matching set
[00:28:18.080 --> 00:28:21.920]   We oh, I love that or I could pretend my son is growing up
[00:28:21.920 --> 00:28:25.200]   Exactly
[00:28:25.200 --> 00:28:29.760]   Louise if if I had one of those surface
[00:28:29.760 --> 00:28:34.720]   Studios like he has there I would I would definitely use it. I have a
[00:28:34.720 --> 00:28:40.480]   Cintiq over here. This is like a cintiq. Yeah, right? It would be totally useful for me
[00:28:40.480 --> 00:28:46.240]   I'm not an illustrator, but I do use a cintiq to edit photos a lot actually here's where microsoft
[00:28:46.240 --> 00:28:51.200]   Oddly went wrong with this. I think their surface line is pretty cool. This is very expensive
[00:28:51.200 --> 00:28:56.000]   It's $3,000 because you have this 30 inch touch screen, which is awesome
[00:28:56.000 --> 00:29:00.320]   I mean it's for what i'm doing and for an artist we brought in a an illustrator
[00:29:00.320 --> 00:29:03.600]   Uh and let her play with it when it first came out. She was she fell in love with it
[00:29:03.600 --> 00:29:06.960]   She loved it. She used the knob and all that stuff, but
[00:29:07.600 --> 00:29:09.600]   uh, dial surface
[00:29:09.600 --> 00:29:13.200]   But uh
[00:29:13.200 --> 00:29:16.800]   The sad thing is they have this great screen and then I guess to save money
[00:29:16.800 --> 00:29:20.160]   They basically put the the power of the
[00:29:20.160 --> 00:29:26.080]   Computer is terrible. It's basically like a bad laptop. We actually upgraded it a little bit
[00:29:26.080 --> 00:29:31.200]   But are you on surface studio one or two one is too better? Yeah, yeah two is significantly better
[00:29:31.200 --> 00:29:36.720]   So the processor is still roughly the same of 45 watt. So it's still technically a mobile processor
[00:29:37.200 --> 00:29:41.680]   Yeah, but now it has a gtx what 1060 in it. Oh, okay. That that would help
[00:29:41.680 --> 00:29:43.600]   Yeah, that's a
[00:29:43.600 --> 00:29:48.800]   And we were placed it had slow 5400 rpm spinning. Yeah, so we replaced that with ssd's
[00:29:48.800 --> 00:29:52.480]   You know we we souped it up a little bit, but uh, honestly
[00:29:52.480 --> 00:29:55.040]   Ssd slows it down. I mean the hard drive slowed it down
[00:29:55.040 --> 00:29:55.680]   It's terrible
[00:29:55.680 --> 00:29:59.920]   But the new one is just ssd is the only option and it's the prophraiben. That's what i use
[00:29:59.920 --> 00:30:05.600]   I use a surface studio. Oh you do? Yeah, and it's it's been perfect. There's been no slowdowns
[00:30:05.600 --> 00:30:10.560]   Do you draw? What are you doing with it? No, no, I I use it as a pretty much a normal computer
[00:30:10.560 --> 00:30:14.320]   They occasionally have to sign a document so you have it in the all-in-one
[00:30:14.320 --> 00:30:17.120]   You have it upright last. Yep
[00:30:17.120 --> 00:30:21.680]   This is made for video podcasts because it's you know at a low angle and it's
[00:30:21.680 --> 00:30:27.600]   Yeah, three by two aspects and I have the pen and what is it dial? I never use but I got them
[00:30:27.600 --> 00:30:30.240]   Yeah, I could actually you know what I do with it
[00:30:30.240 --> 00:30:32.160]   I do do this because this is really awesome
