;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[00:25:22.000 --> 00:25:24.400]   is it politically difficult to because
[00:25:24.400 --> 00:25:26.760]   There are certain look
[00:25:26.760 --> 00:25:31.840]   There are a lot of people out there who think the vaccine is gonna insert a chip in your arm that Bill Gates is gonna
[00:25:31.840 --> 00:25:38.080]   use to follow you around there's clearly a lot of people especially in the United States who are very skeptical of
[00:25:38.080 --> 00:25:42.000]   Anything that's not printed on paper, right?
[00:25:42.000 --> 00:25:48.160]   And and I think the notion of cash and the anonymity of the true anonymity of cash and all that
[00:25:48.160 --> 00:25:51.000]   drives a lot of people I
[00:25:51.000 --> 00:25:56.040]   Think politically it might be difficult to to persuade people to give up cash
[00:25:56.040 --> 00:26:01.240]   It's something you would have to give it up. It would just be it's almost face it out
[00:26:01.240 --> 00:26:06.520]   Slow. Yeah, yeah, yeah, I mean you're there's no money in the bank. I don't have any money in the bank
[00:26:06.520 --> 00:26:11.160]   Yeah, exactly. I mean, I don't know it's bits. It's bits in the bank. It's bits already
[00:26:11.160 --> 00:26:15.680]   Nobody wants to think about that by the way. That's a terrifying fun
[00:26:15.680 --> 00:26:22.200]   There's the currency and then there's the paint. There's the transaction and then there's the FIs supporting all of it
[00:26:22.200 --> 00:26:23.320]   so
[00:26:23.320 --> 00:26:24.840]   On the one hand
[00:26:24.840 --> 00:26:30.720]   So Kevin's absolutely right there. There are actually quite a few countries that are already pushing much further ahead than we are
[00:26:30.720 --> 00:26:32.720]   on a
[00:26:32.720 --> 00:26:34.960]   National crypto of some kind
[00:26:34.960 --> 00:26:38.440]   You know a lot of us just goes back to belief
[00:26:38.440 --> 00:26:42.440]   That's what fiat means it's Latin for belief
[00:26:42.440 --> 00:26:45.200]   right and so yeah
[00:26:45.200 --> 00:26:49.640]   But I was gonna say on the flip side of this so right so in New York
[00:26:49.640 --> 00:26:51.600]   I
[00:26:51.600 --> 00:26:57.480]   Don't know like two years ago a lot of places stopped taking cash and now they all have to take cash again. So
[00:26:59.320 --> 00:27:01.320]   Why do they have to take cash again?
[00:27:01.320 --> 00:27:08.000]   Because it turns out a lot of people are unbanked or underbanked and they don't have a way to digitally. That's another issue
[00:27:08.000 --> 00:27:13.720]   Yeah, right is that that that is being fixed so fast like look at what Square has done there
[00:27:13.720 --> 00:27:16.440]   I mean they are just crushing it. But what if you don't even have a smartphone?
[00:27:16.440 --> 00:27:22.320]   What do you I mean, you know the price of smartphones and everything. I mean it's just coming down to next to nothing
[00:27:22.320 --> 00:27:29.280]   It's to get an Android phone and if actually there's there's the data show that there's not a very high
[00:27:29.520 --> 00:27:33.320]   correlation between your socio-economic income level and your smartphone adoption
[00:27:33.320 --> 00:27:37.040]   Oh meaning people who are on the very low and I still have smartphones
[00:27:37.040 --> 00:27:40.200]   Just it's not about money. It's a necessary. Yeah, right?
[00:27:40.200 --> 00:27:45.800]   But there are people who are will be left out by a digital transformation aren't there? I
[00:27:45.800 --> 00:27:54.680]   Don't know what it's to be but the data on that skew more toward people who just don't have that the digital literacy
[00:27:54.680 --> 00:28:00.600]   So if anything like that people money it's holding back cryptos right now is that people don't quite grok
[00:28:00.600 --> 00:28:07.600]   Cryptos right they understand how you get them or use them. So if somebody's listening to this and poo pooing it and saying, uh,
[00:28:07.600 --> 00:28:09.040]   right
[00:28:09.040 --> 00:28:12.920]   It probably behoove you to figure it out now. Yeah start to think about it
[00:28:12.920 --> 00:28:16.360]   You think well, I mean the whole thing Amy you're right though
[00:28:16.360 --> 00:28:21.320]   There's a lot of people that don't grok and I think that's those the those the rough edges that are being sanded out over the last
[00:28:21.320 --> 00:28:24.880]   You know a couple years. I mean the fact that you can go with everybody
[00:28:24.880 --> 00:28:28.400]   You know people that have a PayPal account have no idea what crypto is right
[00:28:28.400 --> 00:28:32.680]   They can just go in there and with two clicks own cryptocurrency like that that is amazing
[00:28:32.680 --> 00:28:38.320]   Like from where we were a few years ago in the world of crypto. It was so hard to set up your own wallet and everything else
[00:28:38.320 --> 00:28:43.200]   You had to do to get crypto. I mean in square cash they they do these squares
[00:28:43.200 --> 00:28:47.880]   Just been so brilliant here where they do these little these bonuses where they'll say
[00:28:48.240 --> 00:28:53.680]   You can go and we'll get we'll send you a debit card. So you get a visa debit card for your square accounts
[00:28:53.680 --> 00:28:58.240]   You still don't have a bank account, but someone sent you some square cash your baby's sitting whatever it may be
[00:28:58.240 --> 00:29:05.000]   You enable one of these little booths boost they call them and they'll say 10% are the next day of 115%
[00:29:05.000 --> 00:29:09.160]   Bitcoin back on your coffee shop purchase
[00:29:09.160 --> 00:29:14.240]   So you go use your visa card and then all of a sudden for the first time you're like wait a second
[00:29:14.240 --> 00:29:19.720]   I own Bitcoin now and you click on the tab for the first time and you realize you don't have to have
[00:29:19.720 --> 00:29:25.720]   $55,000 to buy Bitcoin you can buy Bitcoin for $2 or $5 and they just make it super simple
[00:29:25.720 --> 00:29:29.080]   And it's just the on ramps are getting that much easier for the average consumer
[00:29:29.080 --> 00:29:31.600]   Right and it's the use cases
[00:29:31.600 --> 00:29:35.120]   It's it's the use case on the spending side that still needs to be worked out
[00:29:35.120 --> 00:29:39.120]   And and I think part of the part of the problem with people not paying
[00:29:39.120 --> 00:29:41.120]   contactless
[00:29:41.120 --> 00:29:46.840]   Is less to do with the individual individual consumer and more to do with merchant merchant services and the terminals
[00:29:46.840 --> 00:29:53.360]   I just it's taken a really really long time for merchants to switch over their term their POS terminals
[00:29:53.360 --> 00:29:57.640]   That's part of the problem. So like it's fine. I mean, I've got a bunch of different
[00:29:57.640 --> 00:30:01.520]   I've got I'm holding a bunch of different options, right?
[00:30:01.520 --> 00:30:08.800]   And I can't do anything not really with any of it one of my friends who's probably listening at some point this week
[00:30:10.120 --> 00:30:13.800]   who had had set up a mining operation and built
[00:30:13.800 --> 00:30:20.760]   He mined enough that I think he bought most of a car with it, but it was it required like multiple
[00:30:20.760 --> 00:30:27.880]   Transactions to get to the point where he could complete that purchase. So that's getting easier though. That's Kevin's point is the infrastructure
[00:30:27.880 --> 00:30:30.920]   I don't I don't that's one place where I kind of like disagree
[00:30:30.920 --> 00:30:36.120]   I don't know that it is getting easier relative to what in order for it to move from fringe to mainstream
[00:30:36.120 --> 00:30:43.160]   It has to be you have to hit critical mass and and I think there's also a psychological hurdle that might even be more
[00:30:43.160 --> 00:30:47.880]   Intractable, but maybe that's because I'm older than you guys, but I think that
[00:30:47.880 --> 00:30:55.160]   You know, there's also a psychological hurdle to self-driving cars. I don't want to get in that thing. There's no driver. There's no steering wheel
[00:30:55.160 --> 00:31:01.720]   There's this psychological heart that well who owns this? Where does it exist and how do I know? I'm not getting ripped off
[00:31:01.720 --> 00:31:04.120]   Yeah, but nobody understands the fed
[00:31:05.000 --> 00:31:08.040]   I mean like that's that's fine. Yeah, but we all do it
[00:31:08.040 --> 00:31:13.720]   We all do it. So we use somebody must understand it because we all it's time. It's time. It's time
[00:31:13.720 --> 00:31:18.920]   It's it's amount of time with an idea because if you stop and ask how does the fed work?
[00:31:18.920 --> 00:31:23.640]   How does how does like macroeconomics work? It doesn't your brain will hurt right?
[00:31:23.640 --> 00:31:28.600]   People have a rough idea. They say well, they print money. It's slightly inflationary
[00:31:28.600 --> 00:31:30.840]   I mean people have a very
[00:31:30.840 --> 00:31:36.360]   No, people don't understand economics. They have a very rough idea, but there is a sense of security because everybody
[00:31:36.360 --> 00:31:39.400]   It's the way we do it. Everybody does it. So you're saying in time
[00:31:39.400 --> 00:31:43.400]   It'll be the way we do things and everybody oh yeah fine. That's fine. That's be yeah
[00:31:43.400 --> 00:31:47.320]   I I calculated by Thanksgiving dinners like three Thanksgiving dinners ago
[00:31:47.320 --> 00:31:52.120]   Like three people were asking me how I think of my Bitcoin now at Thanksgiving dinner
[00:31:52.120 --> 00:31:54.200]   Everyone's talking about what's the price gonna go to it?
[00:31:54.200 --> 00:31:57.560]   No, everybody already has it. I feel like that's driven by speculation
[00:31:57.560 --> 00:32:02.760]   That's driven fundamentally by greed like how do I get in on this so I could be another Bitcoin billionaire
[00:32:02.760 --> 00:32:11.160]   It's driven by speculation that worries me a little bit. Yeah, and so does the stock market, you know, it's all oh yeah worries me also
[00:32:11.160 --> 00:32:16.200]   And by the way, he's considered another asset class
[00:32:16.200 --> 00:32:19.000]   I think you know, it's silly to think that this is going away
[00:32:19.000 --> 00:32:22.680]   And so for me, it's like what percentage of my overall portfolio does this make up?
[00:32:22.840 --> 00:32:28.040]   Do you diversify into cyber punks crypto punks? That's right. Yeah, and you actually can do that
[00:32:28.040 --> 00:32:32.840]   Sneakers, I was gonna say like sneakers are asset classes too. I mean, it's it's yeah
[00:32:32.840 --> 00:32:38.520]   It's what we it's what we ascribe value to I know I was talking to Christina Warren about her crazy sneaker thing
[00:32:38.520 --> 00:32:42.600]   Uh, and she does that whole thing online where they all and it's like
[00:32:42.600 --> 00:32:47.720]   I finally feel like my grandfather going I don't get what you kids are up to
[00:32:47.720 --> 00:32:50.120]   Is she is she buying?
[00:32:50.120 --> 00:32:54.120]   To wear or to resell? Uh, I think she's actually just buying to wear
[00:32:54.120 --> 00:32:56.840]   somebody by the way has to buy
[00:32:56.840 --> 00:33:03.800]   To use as opposed to buy to speculate or the or it just does become completely untethered to reality
[00:33:03.800 --> 00:33:07.240]   At some point everything has to have some utility
[00:33:07.240 --> 00:33:09.880]   There's no point in having
[00:33:09.880 --> 00:33:13.880]   It's it then it's just that's that's the thing with art right?
[00:33:13.880 --> 00:33:19.240]   You don't I mean the painting I've got hanging up over there doesn't have utility there's utility
[00:33:19.240 --> 00:33:21.240]   You at least can look at it
