;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[00:26:11.480 --> 00:26:18.640]   15 20 years that anyone who has traveled anyone who has friends who live abroad especially in Europe or in Asia
[00:26:18.640 --> 00:26:24.360]   Who can send money to each other instantly? They don't think about what's the fee gonna be?
[00:26:24.360 --> 00:26:31.000]   Is it a wire transfer? What app do I have to use all this stuff just works and it should work here
[00:26:31.000 --> 00:26:33.860]   It should money should move back and forth very quickly
[00:26:33.860 --> 00:26:38.600]   And I think it's a good room. It's a good reminder that sometimes, you know, like a
[00:26:39.640 --> 00:26:41.640]   federal centralized
[00:26:41.640 --> 00:26:46.800]   Program like this that would be most efficient actually is the right solution
[00:26:46.800 --> 00:26:50.880]   And I think obviously the cryptocurrency dream that was sold for a long time around
[00:26:50.880 --> 00:26:53.240]   instant payments and
[00:26:53.240 --> 00:26:59.400]   You know ability to send money. Why can't you would send money on a Saturday or when the bank is closed?
[00:26:59.400 --> 00:27:02.520]   I think it's finally time that that becomes reality
[00:27:02.520 --> 00:27:06.520]   We catch isn't this isn't this proof that crypto won and
[00:27:07.240 --> 00:27:10.960]   Like this is like a defensive move from the Fed to say, okay
[00:27:10.960 --> 00:27:17.240]   This is our weakness that could have let the Bitcoiners sort of take over and it what's happened now is that you know
[00:27:17.240 --> 00:27:22.320]   The mainstream way of paying is actually gonna resemble a little bit more like what the crypto dream looked like well
[00:27:22.320 --> 00:27:24.320]   It was the dream, but remember
[00:27:24.320 --> 00:27:33.840]   Crypto transfers sometimes took a very long time to clear right even though it was fully digital because the way Bitcoin worked
[00:27:34.800 --> 00:27:38.380]   It could sometimes take days for a Bitcoin transaction to clear
[00:27:38.380 --> 00:27:42.440]   That's such this is the true victory that they've pushed the federal reserve to be their dream
[00:27:42.440 --> 00:27:49.880]   Exactly what the entire industry wanted and Toshi Nakimoto when you sat down to write that paper thought about this
[00:27:49.880 --> 00:27:55.600]   Instant Fed Venmo thing and said if we could get that to happen. Wow, I could die happy Wow
[00:27:55.600 --> 00:28:03.440]   Check your bank to see if you can get fed now and also check to see what they may add on as additional fees
[00:28:03.600 --> 00:28:10.340]   Is widely expected banks will somehow manage to make some money out of this even though the Fed does not charge for it
[00:28:10.340 --> 00:28:13.840]   Yeah, but it's it's also a good reminder again
[00:28:13.840 --> 00:28:18.960]   I think public private partnerships and the potential for them and where they can work well
[00:28:18.960 --> 00:28:25.760]   And this is always with payments having one centralized source that was connected to every individual bank
[00:28:25.760 --> 00:28:31.360]   That could basically as you said and as Alex had a live the crypto dream and be that ledger
[00:28:31.560 --> 00:28:36.960]   It does not need to be decentralized exactly centralized and it can match payments instantly
[00:28:36.960 --> 00:28:41.200]   I think and then I mean banks can profit off of this and that's okay
[00:28:41.200 --> 00:28:46.280]   I think you know, it's how much they charge and that level of competition
[00:28:46.280 --> 00:28:52.520]   Obviously, you'll just kind of continue within the banking industry, but having that underlying infrastructure
[00:28:52.520 --> 00:28:57.560]   I mean anyone again coming from a trading background, especially I worked in emerging market trading
[00:28:57.680 --> 00:29:06.880]   So seeing how kind of you know an efficient infrastructure could then grow entire economies or just help other things happen
[00:29:06.880 --> 00:29:11.720]   I think it was a reminder that you know, it's something that's been lacking in the US for a while
[00:29:11.720 --> 00:29:15.240]   I don't know how long ago you were at B of A ron John, but
[00:29:15.240 --> 00:29:19.320]   B of A was one of the companies one of the banks has started zell
[00:29:19.320 --> 00:29:25.680]   Which was the banking industry's response to Venmo PayPal cash app Apple pay
[00:29:27.360 --> 00:29:28.720]   a
[00:29:28.720 --> 00:29:32.080]   Lot of people think zell is a problem because it's very easy
[00:29:32.080 --> 00:29:38.000]   You know if if you could trick somebody into zelling you you got their money and the banks aren't gonna stand behind it
[00:29:38.000 --> 00:29:45.160]   I find it's a problem because if I ever say the words zell out loud in the social situation. I will be a
[00:29:45.160 --> 00:29:51.720]   What you're using zell could you please Venmo me please?
[00:29:51.720 --> 00:29:54.960]   You're out of the room. Yeah, yeah
[00:29:55.240 --> 00:30:01.440]   But yeah, but but that was also the fraud problems that happened with zell
[00:30:01.440 --> 00:30:06.440]   I think we're a reminder that it's it's this eternal tension between friction
[00:30:06.440 --> 00:30:11.640]   Especially when it comes to financial services, but remember Venmo had a lot of issues
[00:30:11.640 --> 00:30:18.560]   Especially in its early days when it was trying to grow around fraud or illicit use it utility utilization
[00:30:18.560 --> 00:30:22.320]   So I think it's just it payments always are
[00:30:22.880 --> 00:30:26.320]   reminder that you know, it's a battle of between friction and
[00:30:26.320 --> 00:30:35.640]   And utilities yeah, he's in utility this hysterical because I I'm with a bank that is not signing up for Fed now so far
[00:30:35.640 --> 00:30:42.680]   They have a bill pay service and most of the time. It's not an a CH the bank prints a check
[00:30:42.680 --> 00:30:46.800]   Which they put in the mail and sent to the payee
[00:30:46.800 --> 00:30:52.240]   Why is it in the United States where we should be on the cutting edge?
[00:30:52.720 --> 00:30:56.360]   We are so far behind every other country in the world
[00:30:56.360 --> 00:31:02.760]   How does Canada or or France or any of these other countries? How do they handle the fraud issue?
[00:31:02.760 --> 00:31:08.800]   How does the Fed propose to handle a fraud issue banks have said we don't want to be responsible if
[00:31:08.800 --> 00:31:12.800]   If you if you sell somebody money, that's your problem, dude
[00:31:12.800 --> 00:31:16.040]   We're not going to give it to you back if it turns out to be fraudulent
[00:31:18.000 --> 00:31:25.240]   We know one of the problems that's happened with Zell again is if you accidentally send to the wrong person
[00:31:25.240 --> 00:31:31.320]   You send too much money, but I think these kind of things these are just like UX challenges, right?
[00:31:31.320 --> 00:31:36.080]   These are however these things are built when Venmo started there was no two-factor authentication
[00:31:36.080 --> 00:31:40.040]   So you know like at a time where you don't even need a secondary
[00:31:40.040 --> 00:31:42.640]   Input someone could grab your phone and send money
[00:31:42.640 --> 00:31:49.160]   So I think you know every single bank maybe the Fed as part it to be part of the program
[00:31:49.160 --> 00:31:57.640]   Does put some liability on the banks which would force them to put in some additional checks because remember so far with Zell
[00:31:57.640 --> 00:32:02.080]   Banks have been so desperate to compete against Venmo on volume
[00:32:02.080 --> 00:32:08.200]   That they would do anything to get you over there and they remove all friction to get you to use Zell in
[00:32:08.320 --> 00:32:15.080]   The hopes that you switch away from Venmo now if they have a better more secure solution that works very well
[00:32:15.080 --> 00:32:19.800]   Adding an extra button adding an extra are you sure you want to send it to this person?
[00:32:19.800 --> 00:32:23.280]   Can you check the amount these kind of things? I don't think it's no longer
[00:32:23.280 --> 00:32:28.160]   Gonna kneecap them versus what was happening where they're trying to compete against Venmo. Yeah
[00:32:28.160 --> 00:32:32.080]   And so does have an interstitial anytime at least with Chase
[00:32:32.080 --> 00:32:34.800]   I mean I use it a lot for business and anytime I try to use it
[00:32:34.800 --> 00:32:41.240]   There's an interstitial there talking through like six different types of scams saying that if someone told you to send money this way
[00:32:41.240 --> 00:32:45.600]   And you should probably that's why you know, yeah, that's good friction there
[00:32:45.600 --> 00:32:48.120]   You know, I used to say Zell is fine
[00:32:48.120 --> 00:32:51.240]   It's no worse on the radio show people that because there were as another
[00:32:51.240 --> 00:32:55.040]   Finance radio host who used to rail against sell
[00:32:55.040 --> 00:33:00.040]   Probably for reasons of his own, but people would say well you shouldn't you shouldn't use Zell
[00:33:00.040 --> 00:33:04.600]   I said well if you it's no different than Venmo or PayPal or frankly an ATM machine
[00:33:04.600 --> 00:33:08.800]   If you take money out of an ATM machine because somebody walked up to you and said hey
[00:33:08.800 --> 00:33:12.760]   I can't get home. Can you give me 20 bucks for gas and you gave them that money?
[00:33:12.760 --> 00:33:17.840]   The banks not liable for that. Why should the bank be liable for that?
[00:33:17.840 --> 00:33:24.480]   So I'm not sure I really understand why people think the bank should be liable for a Zell transaction
[00:33:25.440 --> 00:33:30.600]   But I'm glad that they are at least kind of warning people that don't fall for this and don't fall for that
[00:33:30.600 --> 00:33:33.760]   It's yeah, I think it's a good reminder
[00:33:33.760 --> 00:33:39.920]   especially large banks in terms of having this stuff built in because again their financial incentives are
[00:33:39.920 --> 00:33:42.720]   definitely away from
[00:33:42.720 --> 00:33:49.680]   allowing too much fraud or too many scams happening where people lose trust because they don't want to lose your trust on
[00:33:49.680 --> 00:33:52.360]   Zell and then you don't want to get a mortgage with them
[00:33:52.360 --> 00:33:56.280]   So I think what happened is when credit card companies came along
[00:33:56.280 --> 00:33:59.000]   Everybody was afraid to use them
[00:33:59.000 --> 00:34:02.200]   So the credit card companies in order to get you to use credit cards said well
[00:34:02.200 --> 00:34:06.520]   Don't worry if there's a fraudulent transaction will we'll back it back it up
[00:34:06.520 --> 00:34:10.920]   We'll give you your money back and they had to do that to get people to use plastic
[00:34:10.920 --> 00:34:15.640]   But that's just because they didn't have a choice I mean
[00:34:15.640 --> 00:34:19.640]   Financial institutions don't so we got in other words
[00:34:19.640 --> 00:34:22.680]   We got a false sense of security thanks to credit cards
[00:34:22.680 --> 00:34:30.520]   That's a lot easier to back up any purchase when you're charging 18% interest. Yeah, they can afford to exactly
[00:34:30.520 --> 00:34:35.120]   All right. Well anyway watch for Fed now coming to a bank near you or not
[00:34:35.120 --> 00:34:36.280]   I bet my bank now
[00:34:36.280 --> 00:34:40.000]   So this is why I'm brought up Zell because I think the banks have already put so much investment
[00:34:40.000 --> 00:34:44.400]   Into getting a Zell up and running that they don't want to do Fed now
