;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.940]   It's time for Treadt this week in Tech Plate Morris is here along with Scott Johnson
[00:22:19.920 --> 00:22:24.680]   You know, I mean it's just a bunch of icons with with numbers on them as them
[00:22:24.680 --> 00:22:26.680]   But is the best you can do on the iPhone I?
[00:22:26.680 --> 00:22:34.080]   I'm getting I'm buying an HTC one. I decided the HTC one to me is the closest thing to an iPhone running Android
[00:22:34.080 --> 00:22:36.600]   beautiful hardware it will
[00:22:36.600 --> 00:22:43.000]   One I will be able to install home on it home will install a galaxies. I believe the note
[00:22:43.000 --> 00:22:49.280]   Yeah, Alex is three and S4 and S2 will it will install on the note one. I don't think so right
[00:22:49.280 --> 00:22:53.720]   Maybe not just a no, no, it's some some late model. So I will absolutely install it
[00:22:53.720 --> 00:22:56.800]   It's easy to turn a launcher on and off. So it's an easy thing to do
[00:22:56.800 --> 00:23:03.640]   Wonder if we're a little bit right. Pardon me. Sorry. Next is forward run it right. Yeah. Okay. Yeah
[00:23:03.640 --> 00:23:09.280]   I don't know I saw the list and I don't it seemed to me that most of the late model Android phones be just fine with it
[00:23:09.280 --> 00:23:12.400]   One thing I think is interesting that's going on with with fate
[00:23:12.400 --> 00:23:14.880]   You know, I don't know if you recall there's a great wired magazine piece
[00:23:14.880 --> 00:23:20.000]   Maybe almost five years ago now talking about sort of the cold war between Google and Facebook and you know
[00:23:20.000 --> 00:23:22.720]   Google being open having access to all the searchable information
[00:23:22.720 --> 00:23:29.680]   But sort of the white whale of data was what was being held behind the wall of Facebook and now you have Facebook
[00:23:29.680 --> 00:23:35.040]   Sharing this experience on Android how much of that information is available to Google if any?
[00:23:35.040 --> 00:23:42.120]   Ah, that's interesting. Everybody's asking how much is available to Facebook, but you're saying how much is available to Google
[00:23:42.120 --> 00:23:48.160]   Right, I mean it struck me this week that Google has long wanted the information that Facebook had and Facebook kept closed
[00:23:48.160 --> 00:23:51.440]   You couldn't you know when you do Google search up until what about two years ago?
[00:23:51.440 --> 00:23:57.160]   You couldn't get any of the information that was behind that wall be valuable data think about the stuff that people are sharing on Facebook
[00:23:57.160 --> 00:24:00.120]   That they're not sharing on Google. I mean, that's why we have Google plus, right?
[00:24:00.120 --> 00:24:06.040]   So why don't Google would but maybe that I don't that's an interesting question
[00:24:06.040 --> 00:24:10.160]   I'm really thinking I mean it's just running on the Android kernel on top of everything
[00:24:10.160 --> 00:24:14.240]   It's not I don't think running separately does Android send how much does it send back to Google?
[00:24:14.240 --> 00:24:17.920]   How much does it send back to the handset maker? How much does it send back to the wireless carrier?
[00:24:17.920 --> 00:24:20.800]   All three are involved in the making of this phone
[00:24:20.800 --> 00:24:28.780]   I don't think there's a Google's but by the way at Danny Sullivan search engine land pointed out to get to Google search from Facebook
[00:24:28.780 --> 00:24:31.560]   Home is two clicks. It's buried in there
[00:24:31.560 --> 00:24:37.400]   I would true, but if you think there's a lot of there's a lot of I mean
[00:24:37.400 --> 00:24:40.800]   There's a lot of answering on on Android, you know if you set up a new Android phone
[00:24:40.800 --> 00:24:46.200]   I just I was doing something with the galaxy note to the other day
[00:24:46.200 --> 00:24:50.000]   And you know when you're spending up different apps or you're launching different things within the Google services
[00:24:50.000 --> 00:24:54.160]   You're constantly being asked to send data back to Google of course like you would in iOS to you know
[00:24:54.160 --> 00:24:58.040]   When you first launch it that so I wonder you know if
[00:24:58.040 --> 00:25:03.600]   How much of this information if you're using Facebook information you're liking this cat picture
[00:25:03.600 --> 00:25:08.120]   And then of course we know that ads are coming right Zuckerberg was very forthcoming that ads. Yes, they are coming
[00:25:08.120 --> 00:25:15.920]   Which also brings up this whole minority report style idea of using Facebook Facebook home in this geolocation era
[00:25:16.080 --> 00:25:21.760]   When all of these ads are sort of popping up it contextually how much information does Google have is this a?
[00:25:21.760 --> 00:25:26.760]   You know I thought it was sort of a Trojan horse for Facebook, right? They don't have to build their own phone
[00:25:26.760 --> 00:25:34.240]   They get to use an open platform in Android and they get to do this entire experience that doesn't look anything like
[00:25:34.240 --> 00:25:36.640]   like the Android experience
[00:25:36.640 --> 00:25:38.640]   much
[00:25:38.640 --> 00:25:42.840]   Important report connection because this is keeps coming up lately and there was an article and I wish I could point to it now
[00:25:42.840 --> 00:25:48.920]   I wish you could tell Chad where it is, but there's an article that I just read recently that talked a whole bunch about how the design aesthetic of
[00:25:48.920 --> 00:25:54.720]   That movie was so powerful and driving designers to try to reach that
[00:25:54.720 --> 00:26:01.120]   Oh, we all want this pinch and zoom and separate and there's been visible screen stuff that we've actually gotten to a point now
[00:26:01.120 --> 00:26:08.440]   where we're implementing those design essentials and that it's a mistake that it's not good design that it's that it causes us all kinds of
[00:26:08.440 --> 00:26:13.680]   Problems down the road and some would point to windows 8 issues with some of the interface stuff with the way they've done it
[00:26:13.680 --> 00:26:16.780]   The way the Xbox 360 tries to integrate this stuff. Oh, yeah
[00:26:16.780 --> 00:26:23.840]   Even that Samsung television you guys played the big that's from the all Christian Brown's chair. Yeah
[00:26:23.840 --> 00:26:28.680]   Remember that guys last year that Samsung television where you put a stand in swipe
[00:26:28.680 --> 00:26:33.400]   Yeah, just and now there's a commercial for that Samsung television saw the other day and it looks the guy looks ridiculous
[00:26:33.400 --> 00:26:36.760]   It's like he's grabbing in the air like mid-air like he's you know
[00:26:37.400 --> 00:26:41.720]   We've all tried to connect on the Xbox and that doesn't work very well to the this
[00:26:41.720 --> 00:26:47.480]   And it's not intuitive and then of course leap motion is coming out
[00:26:47.480 --> 00:26:50.480]   And those are basically minority report and Samsung remember that bizarre
[00:26:50.480 --> 00:26:56.080]   Launch event that I'm sure you were at Clayton where they showed that you don't have to touch the screen
[00:26:56.080 --> 00:27:01.800]   You have minority report style gestures you can do in front of the screen. So it's it's here
[00:27:01.800 --> 00:27:05.040]   And I agree. I don't think it is exactly what we want to be doing
[00:27:05.920 --> 00:27:11.760]   Just a question of will who will suss out and get to the point where it is the way we want to use it
[00:27:11.760 --> 00:27:14.200]   I mean you could look at every single platform and say well
[00:27:14.200 --> 00:27:18.560]   They've all taken pieces of those ideas and tried to integrate them and some are a little more flashy than others
[00:27:18.560 --> 00:27:24.960]   But one of the big kicks again against Apple right now in iOS's current state is that that really hasn't changed since 2007
[00:27:24.960 --> 00:27:30.080]   And we're all using the interface and essentially the same way all these years later. It's a conservative road
[00:27:30.080 --> 00:27:35.280]   It while while everybody else is saying look I can make stuff move with my hand without even touching the thing
[00:27:35.280 --> 00:27:39.200]   And that seems flashy or more interesting and more sort of cutting edge
[00:27:39.200 --> 00:27:41.840]   But the argument of this article wasn't even in favor of Apple
[00:27:41.840 --> 00:27:45.880]   It was just saying we may not really want to go down this road because when we get to the end of it
[00:27:45.880 --> 00:27:51.440]   We're gonna go none of this is practical in the end. Well, wait a minute remember what we were we were influenced before
[00:27:51.440 --> 00:27:55.440]   The minority report we have influenced by 2001 a space odyssey
[00:27:55.440 --> 00:28:01.840]   We wanted to converse with our computers and that didn't happen because it's hard to do and you look like a moron going computer
[00:28:02.080 --> 00:28:06.880]   You know give me that so so now so I don't know if minority important
[00:28:06.880 --> 00:28:11.920]   Vented this or they knew a little bit about what was already kind of coming. I'm not sure what the genesis of it is
[00:28:11.920 --> 00:28:13.920]   But it's it's clearly
[00:28:13.920 --> 00:28:18.720]   An attempt by designers to come up with a new user interface the mouse the keyboard
[00:28:18.720 --> 00:28:22.880]   This is all kind of dated the keyboard is 150 years old for crying out loud
[00:28:22.880 --> 00:28:28.200]   Wouldn't it and everybody thinks well, there's got to be a better way if if it's not voice maybe it's gestures
[00:28:28.200 --> 00:28:29.840]   Maybe it's a combination
[00:28:29.840 --> 00:28:35.080]   There are maybe it's touch. I have to say when using windows 8 which I'm doing in front of me
[00:28:35.080 --> 00:28:43.000]   Of course Microsoft had to add new ideas to gestures to accommodate the broad variety of controls and the idea of you know
[00:28:43.000 --> 00:28:45.920]   everything is sweeping in from the edge and
[00:28:45.920 --> 00:28:52.080]   You close applications by sweeping down and over and there's just all sorts of new
[00:28:52.080 --> 00:28:57.880]   Counterintuitive or at least not discoverable gestures a lot of these are not gonna make the cut
[00:28:58.560 --> 00:29:02.600]   Yeah, I think I mean there's something maybe to be said for skeu morphism in this right
[00:29:02.600 --> 00:29:06.880]   I mean we don't know how to I mean certainly when someone's sitting down for the first time where they go to a best
[00:29:06.880 --> 00:29:08.680]   By they're gonna use one of these windows 8 machines
[00:29:08.680 --> 00:29:13.680]   That's my biggest gripe against it and exactly your point right to close an application within windows 8
[00:29:13.680 --> 00:29:15.680]   You have to swipe down from the top of the screen
[00:29:15.680 --> 00:29:21.520]   But you don't know that because there's no trash can there to let you know that you're swiping this away
[00:29:21.520 --> 00:29:25.520]   And it only appear does it even appear when you swipe it down it only here's what happens here
[00:29:26.080 --> 00:29:31.660]   So I've got one note open I'm gonna swipe down from the top and it's going to make one note get small now
[00:29:31.660 --> 00:29:38.760]   I can do different things if I sweep over to the left one note now occupies a gutter and now I'm really confused
[00:29:38.760 --> 00:29:45.360]   If I if I sweep down and to the off there it goes away
[00:29:45.360 --> 00:29:48.600]   Right and so these are not discoverable
[00:29:48.600 --> 00:29:55.680]   I know I and I don't think the charms on the right side of the screen like you have that there's the the the main home screen there
[00:29:55.680 --> 00:29:58.640]   Right on the right side of the screen you would think okay
[00:29:58.640 --> 00:30:03.560]   Yeah, then you pull these charms up right those like pop up those aren't those aren't there those aren't discoverable
[00:30:03.560 --> 00:30:06.560]   You don't know that there's even exist and if you don't know it by the way
[00:30:06.560 --> 00:30:11.320]   You'll never figure out how to turn the machine off because turning off the machine is hidden in charms
[00:30:11.320 --> 00:30:13.920]   settings power
[00:30:13.920 --> 00:30:15.080]   off
[00:30:15.080 --> 00:30:22.120]   So what Scott Scott brings up a great point about iOS. I wonder how many people I mean I'm sure I'm I'm positive
[00:30:22.120 --> 00:30:28.160]   No one in my family knows about gesture controls. I mean my wife's you know a tech nerd
