;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100
;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.760]   It's time for Twit this weekend tech white Silverman joins John C. Devorak and Jolie Odell
[01:33:12.640 --> 01:33:15.120]   by the way, we have now taken over the
[01:33:15.120 --> 01:33:19.680]   uh, hls stream for the roku the twit app and the roku we got to
[01:33:20.000 --> 01:33:23.680]   Houdini seven in our chat room, uh, krag millaney to rewrite the roku app
[01:33:23.680 --> 01:33:28.000]   It's fantastic and we have our own stream that we pay for now
[01:33:28.000 --> 01:33:33.840]   So I think our live stream on roku is in fact the best twit experience there is on the big screen. It's really fantastic
[01:33:33.840 --> 01:33:39.120]   Look at this. This is a third party database roku dash channels.com
[01:33:39.120 --> 01:33:42.960]   Of roku of things you can do on roku that you never knew
[01:33:42.960 --> 01:33:49.600]   There are a ton of you said what 4,000 there are 400 400 this has 654 pages
[01:33:50.480 --> 01:33:53.440]   Of private channels so it's far more
[01:33:53.440 --> 01:34:01.520]   Uh, there are all sorts of weird things on here. Did I say where did you get this playboy joustin tv playboy?
[01:34:01.520 --> 01:34:07.360]   Justin oh just and he's a 17 year old in de morn, Iowa. He's gonna show him something
[01:34:07.360 --> 01:34:13.120]   This is great if you have a roku this roku dash channels.com because some of these you have to know the magic
[01:34:13.120 --> 01:34:19.280]   Keyword or whatever there is what is 400 what this is this is roku dash channels like a third party
[01:34:19.600 --> 01:34:22.320]   Some of them are free some of them are private some of them are private
[01:34:22.320 --> 01:34:30.160]   Yep, so they stream. Oh, so all of this you can get via going into this channel 596 the sex channel free
[01:34:30.160 --> 01:34:36.000]   Free sex channel. Yeah, let's check it out. I wish I had a roku what could go wrong
[01:34:36.000 --> 01:34:42.560]   So these are all on roku people don't know about him roku does not publish these in their channel store
[01:34:42.960 --> 01:34:49.600]   You have to know the magic code to get there. I've got and this list 654 channels
[01:34:49.600 --> 01:34:52.160]   Is that amazing?
[01:34:52.160 --> 01:34:54.160]   I bet your suspender guy didn't tell you about that
[01:34:54.160 --> 01:34:57.440]   He wasn't wearing the no, he didn't he didn't
[01:34:57.440 --> 01:35:01.600]   She didn't go back. I think it's very interesting the roku's supporting all of these
[01:35:01.600 --> 01:35:06.560]   I mean that you you go through roku to do this. I think you're right. This is they there is something going on here
[01:35:06.560 --> 01:35:10.320]   And I don't know if you know there's something going on. Mr. Jones
[01:35:11.360 --> 01:35:13.360]   Uh, yahoo's
[01:35:13.360 --> 01:35:16.560]   Yahoo started its first season of scripted comedy programming
[01:35:16.560 --> 01:35:18.400]   Am I reading?
[01:35:18.400 --> 01:35:22.640]   I believe that this is a program about breast pumps. It must be the new ceo
[01:35:22.640 --> 01:35:28.000]   Um, yeah, yucking it up on yahoo. Oh, there's nothing funnier than breast pumps
[01:35:28.000 --> 01:35:33.520]   Ashley praiser and ricky lindholm was created by lindsey crystal
[01:35:33.520 --> 01:35:40.400]   Um, it's everybody's gonna do this. Uh, unfortunately it looks like yahoo's doing as bad a job with this as they do with everything else
[01:35:40.400 --> 01:35:43.200]   You know, there's a lot of these independent little seven eight minute programs
[01:35:43.200 --> 01:35:49.040]   There's like, I don't know dozens of them all producing hollywood by professionals who just don't happen to be working right now
[01:35:49.040 --> 01:35:55.680]   And some of this stuff is quite credible and very good. I love the guild the guild is one of my favorite things to watch on my computer
[01:35:55.680 --> 01:36:00.240]   I mean that doesn't who doesn't yeah felicia day's gonna be a guest on game on a couple of weeks. I think
[01:36:00.240 --> 01:36:05.520]   Yeah, if you see her will you tell her I love her. Oh, we tell I tell her that I said joe every time I see her
[01:36:05.520 --> 01:36:07.120]   I said joe Lee loves you
[01:36:07.120 --> 01:36:08.720]   Does she ever say anything back?
[01:36:08.720 --> 01:36:13.280]   She loves you too. No, she's great. Isn't she she's an inspiration. Yeah
[01:36:13.280 --> 01:36:20.880]   Uh, there are quite a few stars that are doing these little seven and absolutely very limn ratskob the woman who played cloey on
[01:36:20.880 --> 01:36:22.960]   24 has her own show
[01:36:22.960 --> 01:36:29.280]   The thing is I think people don't understand well produced when you work in hollywood. There's a lot of downtime
[01:36:29.280 --> 01:36:35.840]   Yeah, you work and you have the skill set to produce sky quality professional stuff even though it's on the internet and the truth is
[01:36:35.920 --> 01:36:40.880]   You know, you're making enough money. You probably don't need to work in that downtime that you know, but it's it's something that they do
[01:36:40.880 --> 01:36:44.320]   That's fun. Most of them don't make that much money a lot of them need to do it, but a lot of them don't
[01:36:44.320 --> 01:36:48.480]   Yeah, and it's just fun and it's a difference. I've talked to a few people who are in that
[01:36:48.480 --> 01:36:52.000]   You know, okay, I do the big screen and now i'm going to do the internet screen
[01:36:52.000 --> 01:36:58.320]   And they have so much more fun and it's a completely different structure and it all happens so fast and they just they really love the change of pace
[01:36:58.320 --> 01:36:59.840]   I think it's uh
[01:36:59.840 --> 01:37:04.800]   We're in a brave new world. Well, you know people also like to work with breast pumps though. I don't understand
[01:37:05.120 --> 01:37:09.680]   Well, it's funny. It's a hot subject. Yeah, I know I
[01:37:09.680 --> 01:37:11.920]   Bested humorous. I agree
[01:37:11.920 --> 01:37:14.720]   But that's because maybe we're not the target audience cringy
[01:37:14.720 --> 01:37:22.400]   People I want to thank what john. I said that's are you we done? We're done. Wow. I read I run through the entire
[01:37:22.400 --> 01:37:25.840]   You only did three commercials. You didn't do the fourth. We don't do four. Huh?
[01:37:25.840 --> 01:37:30.400]   We are not greedy contrary to what some would say about capitalist enterprises
[01:37:31.120 --> 01:37:36.160]   I do not go for the gold. I go for the silver. Well, the calberkeley bears lost
[01:37:36.160 --> 01:37:39.840]   They don't still be in the nc double a tournament, but now they won't be the top
[01:37:39.840 --> 01:37:43.440]   You know, it was a great. I know how how much the calberts mean to you and i really appreciate it
[01:37:43.440 --> 01:37:46.080]   I'm not i'm being sincere here. It was a great sacrifice to be here
[01:37:46.080 --> 01:37:49.680]   So I thank you for doing that. What is it sacrifice? Normally they play on saturday though, right?
[01:37:49.680 --> 01:37:51.680]   That's why you can normally be here
[01:37:51.680 --> 01:37:56.880]   Is that isn't college football? This is a basketball not football. Okay, never mind
[01:37:56.880 --> 01:38:00.480]   Sorry, i'm not following the ola pore sports show
[01:38:00.960 --> 01:38:02.800]   We won't see any this weekend sports
[01:38:02.800 --> 01:38:06.960]   Work is basketball on sundays. Yeah, they bounce the ball. I know i'm
[01:38:06.960 --> 01:38:13.600]   Dribbling. Yeah, I know about it. I've been doing it for years. So, uh, this is basketball all the time
[01:38:13.600 --> 01:38:20.400]   Yeah, 20 so every day every day of the year all year round is basketball because i understand college football was
[01:38:20.400 --> 01:38:22.240]   pronounced back a ball
[01:38:22.240 --> 01:38:25.920]   Eggable it was easy with college football because it was saturday's but now this is confusing
[01:38:25.920 --> 01:38:29.040]   So it's all so we it's gonna be here miss whether we can get you in here
[01:38:29.520 --> 01:38:32.560]   You don't want me coming is that what you're saying brian wilson called he wants to
[01:38:32.560 --> 01:38:37.440]   What are you doing material? What is this?
[01:38:37.440 --> 01:38:42.480]   John c dvor a jail de vorac and don't forget to know agenda show
[01:38:42.480 --> 01:38:46.640]   We haven't been able to plug it for weeks on end every thursday ladies and gentlemen about five p.m
[01:38:46.640 --> 01:38:51.520]   Right around the cocktail hour. It's going to know agenda show dot com and you'll have it figured out
[01:38:51.520 --> 01:38:56.800]   Yes, it's right. org slash blog channel de vorac.com boom boom you can catch up with all my stuff
[01:38:57.200 --> 01:39:01.840]   He is a master of the new media, which is funny because when we first started doing podcasting
[01:39:01.840 --> 01:39:04.000]   I think you didn't really think that wis was going anywhere
[01:39:04.000 --> 01:39:11.120]   But boy you realized right and you jumped on that band. I've decided to take your cue. Yeah, you realize this is the future
[01:39:11.120 --> 01:39:15.280]   Yeah, what is the future? There's nothing to do about it. Yeah, just ask felicia day
[01:39:15.280 --> 01:39:20.720]   Thank you. You can't uh, you know, you got all these cameras and you got people and there's an audience and people can drag in there
[01:39:20.720 --> 01:39:23.920]   As is from jeremy and south carolina all over the world
[01:39:24.480 --> 01:39:26.720]   Charleston, south carolina, germany where else?
[01:39:26.720 --> 01:39:29.520]   Atlanta, Georgia
[01:39:29.520 --> 01:39:32.160]   Jinx, oh, you're coke and it's not a pepsi
[01:39:32.160 --> 01:39:38.960]   And I get a cute one. Oh, dell you've won our floor prize. Uh, his name is aussie and uh, he's had his shots
[01:39:38.960 --> 01:39:41.760]   And he needs shots. Yes. Yeah
[01:39:41.760 --> 01:39:44.720]   He really he seems to get along quite well with you and veronica
[01:39:44.720 --> 01:39:46.800]   Well, he fell asleep on the dogs
[01:39:46.800 --> 01:39:49.600]   He's the dead out. He's like i like oh, actually
[01:39:49.600 --> 01:39:54.640]   He's a papi on and they were bred by mariente to a net to do exactly what they're doing right now
[01:39:54.640 --> 01:40:00.000]   Be a lap dogs a true lap dog. Yeah, and he would fit in my bicycle back. Yeah, don't you think
[01:40:00.000 --> 01:40:03.840]   That's not the legacy in that
[01:40:03.840 --> 01:40:06.080]   Too let's thank angelina jolly
[01:40:06.080 --> 01:40:09.280]   I'm sorry jolly
[01:40:09.280 --> 01:40:16.800]   That should be calm. I'm sure she's never heard that. Thank you so much. It's great to have you really appreciate
[01:40:16.880 --> 01:40:18.880]   Congratulations on the
[01:40:18.880 --> 01:40:22.160]   Oh and aussie's happy to yeah
[01:40:22.160 --> 01:40:27.040]   It's very simple talk like that to dogs. I don't know because dogs understand
[01:40:27.040 --> 01:40:31.600]   I would say that oh hi john poopy poo actually no it doesn't matter what you say to a dog it all sounds the same
[01:40:31.600 --> 01:40:33.760]   Something to that
[01:40:33.760 --> 01:40:36.720]   I think people just like to talk baby talk for no good reason
[01:40:36.720 --> 01:40:40.640]   Your judge you
[01:40:40.640 --> 01:40:45.840]   Thank you too for joining us. We really appreciate it from the houston chronicle blog
[01:40:46.080 --> 01:40:50.800]   i'm not cron.com/techblog let's get him out here mr. Dwight silverman, which I know you need to get out
[01:40:50.800 --> 01:40:53.520]   You were out here for the ipad launch
[01:40:53.520 --> 01:40:56.160]   in january 2010
[01:40:56.160 --> 01:40:57.840]   Right
[01:40:57.840 --> 01:40:59.840]   And you have that sense
[01:40:59.840 --> 01:41:00.320]   Yeah, I know
[01:41:00.320 --> 01:41:04.320]   So can we get you? I mean there's one coming up wednesday. Why don't you just get the get the crond to fly out?
[01:41:04.320 --> 01:41:08.080]   Yeah, I've been telling them that they laugh maniacally and then uh
[01:41:08.080 --> 01:41:14.080]   Don't you know the newspaper business is dying right exactly who's gonna run the presses if you leave
[01:41:14.800 --> 01:41:16.800]   And then and then the other the other
[01:41:16.800 --> 01:41:24.560]   Media show I do you know is for a pacifica station technology bites on wednesday nights and uh, it's pacifica
[01:41:24.560 --> 01:41:30.320]   So they're not gonna pay me to fly out of the sifica you work for pacifica. Oh, that's good. It's a work for him here
[01:41:30.320 --> 01:41:34.160]   Yeah, that's what it's actually I've been on the show. You know, you should get john on too
[01:41:34.160 --> 01:41:38.000]   It's a great show. It's really fun. I get to different audience from mega go for it. Yeah, it's really fun
[01:41:38.000 --> 01:41:43.360]   Yeah, yeah, you know talk politics. They talk computers. Yeah, well, but this guy to have to have a left-wing angle
[01:41:43.440 --> 01:41:47.520]   Doesn't I don't think so progressive stations very well notorious some of our some of our
[01:41:47.520 --> 01:41:52.480]   Some of the more strident members of the kpft family complain that we're not
[01:41:52.480 --> 01:41:58.240]   Strident enough, but we're you know technology is kind of politically lots of old berkeley barbs
[01:41:58.240 --> 01:42:04.640]   Yeah, you know, I don't know if people know this but john was very involved in the free speech movement. He and mario sovea were like that
[01:42:04.640 --> 01:42:07.920]   That's a very obscure freaking reference, but you were
[01:42:08.720 --> 01:42:15.920]   In berkeley in 1965. Is that right? I believe so. Huh? I have the I don't remember any of it. It's really that's a good sign that you were there
[01:42:15.920 --> 01:42:22.400]   Thank you all for being here. We do twit every sunday three pm pacific six pm eastern time
[01:42:22.400 --> 01:42:27.760]   Uh twit dot tv do watch live because we cut out all the good stuff before we put it out on the internet
[01:42:27.760 --> 01:42:29.760]   But if you miss it, you can in fact watch
[01:42:29.760 --> 01:42:35.760]   Uh or listen on the internet at twit.tv or on iTunes or wherever better podcasts are distributed
[01:42:36.560 --> 01:42:41.760]   TNT all week long for tech news at three pm pacific six pm eastern time monday through friday
[01:42:41.760 --> 01:42:48.160]   And don't forget we are going to do special coverage of the ipad three launch this wednesday march 7th
[01:42:48.160 --> 01:42:51.040]   We start at nine 30 a.m pacific 1230 eastern
[01:42:51.040 --> 01:42:54.960]   sarah lane tom marrot and i I think alix lindsey will be there
[01:42:54.960 --> 01:42:56.080]   um
[01:42:56.080 --> 01:43:01.040]   Jason uh snell will be reporting from the event right after the event we hope to get in with him
[01:43:01.040 --> 01:43:05.680]   Uh to the if they have a test room to see the uh new one and all of that
[01:43:05.680 --> 01:43:11.840]   We thank you all for being here. We hope you come back next week. We wouldn't want to do this without you another twit is in the can
[01:43:11.840 --> 01:43:14.000]   Thanks
[01:43:14.000 --> 01:43:21.280]   All right, do the twin
[01:43:21.280 --> 01:43:31.280]   [MUSIC]

