;FFMETADATA1
title=Like a Fine Cheese
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=472
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.340]   It's time for "Twit!"
[00:14:37.400 --> 00:14:42.040]   And my friends and I, when we compare and I pull out the feed,
[00:14:42.040 --> 00:14:44.760]   it is running away with the game.
[00:14:44.760 --> 00:14:45.760]   Oh, no.
[00:14:45.760 --> 00:14:46.280]   Facebook, when--
[00:14:46.280 --> 00:14:47.120]   Oh, not even close.
[00:14:47.120 --> 00:14:50.280]   I guarantee you, in a year, you are going to come back to me
[00:14:50.280 --> 00:14:51.560]   and say I was wrong.
[00:14:51.560 --> 00:14:53.760]   That Facebook is running away with the game,
[00:14:53.760 --> 00:14:55.880]   particularly if you ship the search engine
[00:14:55.880 --> 00:14:59.000]   and if you ship the network thing.
[00:14:59.000 --> 00:15:00.720]   It is running away with the game.
[00:15:00.720 --> 00:15:02.720]   Here's another way it's running away with the game.
[00:15:02.720 --> 00:15:05.920]   I post a video done on my iPhone, on the Facebook app,
[00:15:05.920 --> 00:15:09.640]   and it's up in two minutes, because it's compressing on the GPU
[00:15:09.640 --> 00:15:12.040]   of the iPhone, and then it's uploading
[00:15:12.040 --> 00:15:14.000]   while I'm typing the description.
[00:15:14.000 --> 00:15:17.920]   So by the time I hit publish, it nearly goes live instantly.
[00:15:17.920 --> 00:15:21.040]   Google+, I just did the same thing three days ago.
[00:15:21.040 --> 00:15:24.080]   It took 10 hours for a video from my iPhone
[00:15:24.080 --> 00:15:25.600]   to get online live.
[00:15:25.600 --> 00:15:29.520]   This is-- Facebook is running away with the game
[00:15:29.520 --> 00:15:31.360]   and all a lot of levels.
[00:15:31.360 --> 00:15:34.200]   And if Twitter and Google+, don't
[00:15:34.200 --> 00:15:36.240]   fix what's going on.
[00:15:36.240 --> 00:15:39.760]   They're going to notice that other people are going away from it.
[00:15:39.760 --> 00:15:41.760]   And I notice for most people--
[00:15:41.760 --> 00:15:42.320]   What game are we talking about?
[00:15:42.320 --> 00:15:44.800]   Are those videos searchable, for instance, if--
[00:15:44.800 --> 00:15:46.080]   Not yet.
[00:15:46.080 --> 00:15:46.600]   Not yet.
[00:15:46.600 --> 00:15:47.160]   That's the issue, right?
[00:15:47.160 --> 00:15:49.680]   So someone takes a video of themselves in their backyard
[00:15:49.680 --> 00:15:51.520]   doing an ice bucket challenge.
[00:15:51.520 --> 00:15:54.800]   There's the first place I went after the other cook was Twitter.
[00:15:54.800 --> 00:15:57.400]   I didn't even consider Facebook.
[00:15:57.400 --> 00:16:00.320]   Facebook in one minute brought me 20 posts.
[00:16:00.320 --> 00:16:03.520]   I posted a whole bunch of them right instantly off my iPhone
[00:16:03.520 --> 00:16:04.840]   that I would see on my iPhone.
[00:16:04.840 --> 00:16:06.760]   What was the first place-- well, you weren't in the Bay Area.
[00:16:06.760 --> 00:16:08.480]   And either of you were in the Bay Area.
[00:16:08.480 --> 00:16:09.480]   No, sir.
[00:16:09.480 --> 00:16:11.480]   You probably didn't jump up and say--
[00:16:11.480 --> 00:16:12.480]   I want to write a letter.
[00:16:12.480 --> 00:16:13.800]   --at 3.21 for no reason at all.
[00:16:13.800 --> 00:16:15.920]   Let me check Twitter.
[00:16:15.920 --> 00:16:17.560]   It didn't even occur to me to go to Facebook.
[00:16:17.560 --> 00:16:19.200]   I'll give you a more german example.
[00:16:19.200 --> 00:16:22.760]   When you heard Robin Williams died, did you go to Twitter?
[00:16:22.760 --> 00:16:24.280]   I just--
[00:16:24.280 --> 00:16:26.560]   Yeah, I flipped it on-- well, I flipped it on television
[00:16:26.560 --> 00:16:27.560]   because I want--
[00:16:27.560 --> 00:16:28.680]   Oh, you're a TV guy.
[00:16:28.680 --> 00:16:33.400]   I'll tell you, my wife yelled, she saw it on Facebook.
[00:16:33.400 --> 00:16:35.720]   I went to Twitter and Facebook instantly.
[00:16:35.720 --> 00:16:37.840]   And I was still very early in the story.
[00:16:37.840 --> 00:16:41.200]   Most people were-- when I said Robin Williams just died,
[00:16:41.200 --> 00:16:45.040]   the XYZ-- I forget whether it was ABC or somebody
[00:16:45.040 --> 00:16:48.520]   is reporting-- people were saying, dude, is that a hoax?
[00:16:48.520 --> 00:16:48.920]   Right.
[00:16:48.920 --> 00:16:52.680]   Because they didn't believe that it was so early in the news.
[00:16:52.680 --> 00:16:53.840]   I don't think you're calm.
[00:16:53.840 --> 00:16:54.920]   You're typical, though, Robert.
[00:16:54.920 --> 00:16:57.520]   I think most people would don't think of Facebook
[00:16:57.520 --> 00:17:00.040]   as a good source for breaking news.
[00:17:00.040 --> 00:17:01.480]   Absolutely true.
[00:17:01.480 --> 00:17:02.560]   I'm ahead.
[00:17:02.560 --> 00:17:04.280]   And that's why I know in a year you're
[00:17:04.280 --> 00:17:06.680]   going to come back to me and say, are you were right?
[00:17:06.680 --> 00:17:09.480]   This thing is running away with the game.
[00:17:09.480 --> 00:17:10.920]   The game game game game game game.
[00:17:10.920 --> 00:17:12.400]   My feed is just filled with--
[00:17:12.400 --> 00:17:13.560]   Here is a topic--
[00:17:13.560 --> 00:17:14.400]   Social--
[00:17:14.400 --> 00:17:14.880]   Farmville.
[00:17:14.880 --> 00:17:16.280]   That's the game it's winning.
[00:17:16.280 --> 00:17:16.920]   Yeah, absolutely.
[00:17:16.920 --> 00:17:18.960]   Social-- no, I don't see any games on my feed.
[00:17:18.960 --> 00:17:20.360]   I taught it in my show.
[00:17:20.360 --> 00:17:20.760]   You know what?
[00:17:20.760 --> 00:17:23.760]   I don't see any more games on my feed either, I have to say.
[00:17:23.760 --> 00:17:24.640]   So Facebook--
[00:17:24.640 --> 00:17:25.640]   But the topic game--
[00:17:25.640 --> 00:17:29.400]   But the game is like viral junk weird news articles are the ones--
[00:17:29.400 --> 00:17:30.880]   and maybe it's because I click like--
[00:17:30.880 --> 00:17:31.880]   I'm worthy.
[00:17:31.880 --> 00:17:33.280]   Do you like up worthy?
[00:17:33.280 --> 00:17:34.280]   I just--
[00:17:34.280 --> 00:17:37.200]   I don't see any up worthy.
[00:17:37.200 --> 00:17:39.480]   No, I've taken up worthy out.
[00:17:39.480 --> 00:17:41.200]   I liked one Robert Scoble post.
[00:17:41.200 --> 00:17:43.400]   Now I can't help but see Robert Scoble every time
[00:17:43.400 --> 00:17:44.840]   I go to Facebook.
[00:17:44.840 --> 00:17:47.200]   Yep, because it's studying your signal.
[00:17:47.200 --> 00:17:48.440]   You give it a little bit of a--
[00:17:48.440 --> 00:17:49.520]   I just loaded this.
[00:17:49.520 --> 00:17:51.400]   Look at-- this is my Facebook feed.
[00:17:51.400 --> 00:17:54.360]   Here's a video that was posted four hours ago.
[00:17:54.360 --> 00:17:57.160]   Here's-- I don't know when you liked Wix.
[00:17:57.160 --> 00:17:58.600]   I don't-- I guess this is an ad.
[00:17:58.600 --> 00:18:00.080]   So I'm not going to care about that.
[00:18:00.080 --> 00:18:00.520]   That's an ad.
[00:18:00.520 --> 00:18:04.200]   Russell posted this tweet about Twitter 11--
[00:18:04.200 --> 00:18:09.440]   about to the earthquake 11 hours ago, nine hours ago,
[00:18:09.440 --> 00:18:12.080]   two hours-- this is not current.
[00:18:12.080 --> 00:18:14.360]   Does it mean you're blaming me for this?
[00:18:14.360 --> 00:18:15.560]   11 hours ago.
[00:18:15.560 --> 00:18:17.920]   Hey, Petaluma friends, did you feel that quake?
[00:18:17.920 --> 00:18:21.160]   That's in my current feed just now.
[00:18:21.160 --> 00:18:23.880]   Yes, it's your fault because you haven't been on Facebook.
[00:18:23.880 --> 00:18:24.400]   It's your fault.
[00:18:24.400 --> 00:18:27.480]   It's showing you interesting stuff from the past hours
[00:18:27.480 --> 00:18:29.080]   that you haven't been on Facebook.
[00:18:29.080 --> 00:18:30.880]   I've been on Facebook all day, so--
[00:18:30.880 --> 00:18:32.440]   No, no, that's wrong, that's wrong, Robert.
[00:18:32.440 --> 00:18:34.680]   I've been using Facebook a lot because I've been looking--
[00:18:34.680 --> 00:18:36.960]   Well, here's something 23 minutes ago on my feed.
[00:18:36.960 --> 00:18:39.400]   Here's Business Week 24 minutes ago.
[00:18:39.400 --> 00:18:41.960]   I admit, you're winning at Facebook.
[00:18:41.960 --> 00:18:43.680]   But I just-- OK, get this.
[00:18:43.680 --> 00:18:45.280]   I just refreshed-- wait a minute, Robert.
[00:18:45.280 --> 00:18:46.320]   I just refreshed my feed.
[00:18:46.320 --> 00:18:47.520]   What did I get?
[00:18:47.520 --> 00:18:52.920]   YouTube post from August 22nd, two days ago.
[00:18:52.920 --> 00:18:54.440]   Let me ask you this, Robert, since you--
[00:18:54.440 --> 00:18:56.240]   I mean, I don't know that there's anybody better
[00:18:56.240 --> 00:18:57.880]   at this than you, but--
[00:18:57.880 --> 00:19:00.400]   It thinks Paul Therott's still in Barcelona.
[00:19:00.400 --> 00:19:03.360]   According to Facebook, Paul Therott has been home for a week,
[00:19:03.360 --> 00:19:04.840]   is still in Barcelona.
[00:19:04.840 --> 00:19:08.200]   This is useless.
[00:19:08.200 --> 00:19:09.120]   Let me ask you this, Robert.
[00:19:09.120 --> 00:19:10.040]   I know that pictures--
[00:19:10.040 --> 00:19:11.040]   I'm going to put the time into it.
[00:19:11.040 --> 00:19:13.600]   Go ahead, Clayton.
[00:19:13.600 --> 00:19:14.520]   Robert, let me ask you this.
[00:19:14.520 --> 00:19:16.680]   I mean, I know that pictures get such a huge reaction, right?
[00:19:16.680 --> 00:19:18.480]   So in my Facebook feed, I just posted--
[00:19:18.480 --> 00:19:19.600]   we were heading on vacation.
[00:19:19.600 --> 00:19:23.240]   I was playing around with this one of these giant ass
[00:19:23.240 --> 00:19:24.360]   windows phones.
[00:19:24.360 --> 00:19:27.240]   And I'm just shooting some photos while my wife was driving.
[00:19:27.240 --> 00:19:31.320]   And so that post that I put up there,
[00:19:31.320 --> 00:19:34.240]   on the road for a little family vacation, it's public,
[00:19:34.240 --> 00:19:41.440]   that photo post got 245 likes in just like a matter of minutes.
[00:19:41.440 --> 00:19:45.000]   I had linked to via Twitter this earthquakes course
[00:19:45.000 --> 00:19:47.600]   on iTunes University.
[00:19:47.600 --> 00:19:52.160]   It was like an excellent iTunes U course from Cal Academy.
[00:19:52.160 --> 00:19:54.280]   And said, hey, you know, if you hear something great,
[00:19:54.280 --> 00:19:56.160]   I was fooling around on my iPad when
[00:19:56.160 --> 00:19:59.120]   Daddy asks when your child asks, what's an earthquake?
[00:19:59.120 --> 00:20:02.280]   And I linked to that almost no likes,
[00:20:02.280 --> 00:20:03.480]   because I pushed it from Twitter.
[00:20:03.480 --> 00:20:08.520]   So literally one like compared to nearly 300 likes for a photo.
[00:20:08.520 --> 00:20:12.800]   And that seems-- anytime I post a news piece on Facebook,
[00:20:12.800 --> 00:20:15.120]   very rarely do I get any kind of interest on it.
[00:20:15.120 --> 00:20:21.120]   It's usually just casual junk that gets the most response.
[00:20:21.120 --> 00:20:24.000]   You have not picked your friends very well.
[00:20:24.000 --> 00:20:26.120]   See, it's always our fault, isn't it?
[00:20:26.120 --> 00:20:29.120]   Your friends are connecting to like your photos.
[00:20:29.120 --> 00:20:30.400]   Socks, Robert.
[00:20:30.400 --> 00:20:31.400]   You're so wrong.
[00:20:31.400 --> 00:20:33.160]   Now, here's how the filter works.
[00:20:33.160 --> 00:20:33.880]   Let's get some--
[00:20:33.880 --> 00:20:35.720]   Not that Twitter is a whole lot better,
[00:20:35.720 --> 00:20:37.160]   but at least when there's an earthquake,
[00:20:37.160 --> 00:20:40.800]   I know I can go to Twitter, and I will immediately see,
[00:20:40.800 --> 00:20:43.560]   you know, confirmation and information about the earthquake.
[00:20:43.560 --> 00:20:44.560]   Here's how Facebook--
[00:20:44.560 --> 00:20:46.000]   Like today on the air, today on the air--
[00:20:46.000 --> 00:20:46.840]   It's still open for us.
[00:20:46.840 --> 00:20:48.880]   Let me just say this was so--
[00:20:48.880 --> 00:20:50.440]   Go ahead, Tim, let me give you a chance
[00:20:50.440 --> 00:20:52.800]   since you haven't had it been able to get a word in it twice.
[00:20:52.800 --> 00:20:54.480]   I was going to say that I think Robert
[00:20:54.480 --> 00:20:56.680]   needs to start up a school for how to use Facebook,
[00:20:56.680 --> 00:20:59.040]   and then we can send all of our friends to the school.
[00:20:59.040 --> 00:21:01.200]   I'm guessing tuition will be affordable,
[00:21:01.200 --> 00:21:02.680]   and maybe they'll be financial and how to use it.
[00:21:02.680 --> 00:21:03.680]   But how can you--
[00:21:03.680 --> 00:21:04.600]   But if we can send all of our friends,
[00:21:04.600 --> 00:21:06.360]   then maybe Facebook will be a better experience.
[00:21:06.360 --> 00:21:09.400]   That's the point is how can you say something is good
[00:21:09.400 --> 00:21:11.160]   if it requires this much energy?
[00:21:11.160 --> 00:21:15.120]   Even Mark Zuckerberg himself said no one makes lists.
[00:21:15.120 --> 00:21:19.000]   Because it's like driving a Ferrari.
[00:21:19.000 --> 00:21:22.920]   If you don't put the work into knowing how to drive a Ferrari,
[00:21:22.920 --> 00:21:26.200]   you're going to probably wreck the car and kill yourself
[00:21:26.200 --> 00:21:27.880]   like you did this.
[00:21:27.880 --> 00:21:31.240]   The CEO of Eagle Computer did it on his first day of going
[00:21:31.240 --> 00:21:31.600]   public.
[00:21:31.600 --> 00:21:33.520]   He bought a Ferrari and killed himself the first day.
[00:21:33.520 --> 00:21:34.960]   And he killed himself the first day.
[00:21:34.960 --> 00:21:37.960]   I will say, let me say this about local advertising.
[00:21:37.960 --> 00:21:39.000]   You're absolutely right.
[00:21:39.000 --> 00:21:40.520]   And I see a lot of small businesses
[00:21:40.520 --> 00:21:44.120]   that I work with and help them with their Facebook advertising
[00:21:44.120 --> 00:21:45.560]   and talk with them about this.
[00:21:45.560 --> 00:21:47.920]   And I've done some myself, and it's been tremendous.
[00:21:47.920 --> 00:21:50.360]   The amount of granularity that you can get in a community--
[00:21:50.360 --> 00:21:53.240]   so let's say I use this example.
[00:21:53.240 --> 00:21:56.120]   If you're a local pet store owner,
[00:21:56.120 --> 00:21:57.840]   or you have a small little pet store
[00:21:57.840 --> 00:22:00.080]   in some small town in New Jersey,
[00:22:00.080 --> 00:22:04.040]   what better way to get people foot traffic into your store
[00:22:04.040 --> 00:22:06.400]   in addition to the general traffic that's walking by,
[00:22:06.400 --> 00:22:09.280]   but then by taking out a Facebook ad locally
[00:22:09.280 --> 00:22:12.080]   that targets specifically with all of the information
[00:22:12.080 --> 00:22:14.440]   you can do now with the power editor inside of Facebook
[00:22:14.440 --> 00:22:19.600]   advertising to target those people who, A, have a pet in that town,
[00:22:19.600 --> 00:22:22.800]   might be over 33 years old, so they may have some more
[00:22:22.800 --> 00:22:25.520]   disposable income than the 18-year-old.
[00:22:25.520 --> 00:22:27.120]   Maybe they own their own home.
[00:22:27.120 --> 00:22:29.160]   You can target all of those people specifically
[00:22:29.160 --> 00:22:30.600]   within a specific zip code.
[00:22:30.600 --> 00:22:33.040]   Then you can offer them a coupon of 20% off,
[00:22:33.040 --> 00:22:35.640]   or even a free toy to come in and say,
[00:22:35.640 --> 00:22:38.520]   hello for the first week while we're opening at the grand opening
[00:22:38.520 --> 00:22:39.040]   store.
[00:22:39.040 --> 00:22:41.800]   Nowhere else, I think, can you get that kind of granularity
[00:22:41.800 --> 00:22:42.920]   from advertising?
[00:22:42.920 --> 00:22:44.560]   But it pays, Robert, to your point,
[00:22:44.560 --> 00:22:47.840]   to learn how to use that system instead of just putting up
[00:22:47.840 --> 00:22:51.600]   one of those generic posts to try to drive traffic to a post.
[00:22:51.600 --> 00:22:54.120]   Actually, how to use the power editor within Facebook
[00:22:54.120 --> 00:22:56.640]   can be tremendous for local businesses.
[00:22:56.640 --> 00:22:59.160]   Yeah, but we're talking about Facebook as end users,
[00:22:59.160 --> 00:23:01.080]   not as advertisers.
[00:23:01.080 --> 00:23:06.240]   I mean, here's the problem for end users for normal people, not me.
[00:23:06.240 --> 00:23:10.040]   They are going to open up Facebook and Twitter and Google
[00:23:10.040 --> 00:23:13.440]   Plus on their phone, probably an Android phone,
[00:23:13.440 --> 00:23:15.560]   and they're going to compare the three.
[00:23:15.560 --> 00:23:19.200]   And the three, probably of the three,
[00:23:19.200 --> 00:23:22.280]   Facebook will have some more interesting things to them.
[00:23:22.280 --> 00:23:24.640]   Their friends are on it, first of all.
