;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[00:24:26.200 --> 00:24:30.240]   It's a three dollars and nine nine cent game that you now know where and it's just like now
[00:24:30.240 --> 00:24:32.840]   That's not called duty level, right? But there is still potential
[00:24:32.840 --> 00:24:37.640]   And that's what I want to make sure that we there's still a place for innovation
[00:24:37.640 --> 00:24:44.600]   And and it's not it does, you know, look what happened in the movie industry. It's it's blockbuster after blockbuster
[00:24:44.600 --> 00:24:47.920]   Nobody's making the little you know
[00:24:47.920 --> 00:24:54.760]   Movie anymore indie films right now indie gaming is a thing. I mean and there is still steam
[00:24:54.760 --> 00:24:56.920]   Which is the you know nine million
[00:24:57.400 --> 00:25:02.160]   Real, right? Yeah, it is the iTunes of gaming. It's the distribution platform
[00:25:02.160 --> 00:25:05.320]   And and to this point they've been pretty laissez-faire
[00:25:05.320 --> 00:25:13.600]   I a bro, I'm curious like what is your take on all this as a non game or like what are the implications of this outside the gaming nerd world?
[00:25:13.600 --> 00:25:17.120]   Yeah, I'm kind of observing this very much on the outside
[00:25:17.120 --> 00:25:23.760]   But yeah, I think it's it's fascinating to see discussions about monopolies kind of it within in the gaming sphere and in all the parallels
[00:25:23.760 --> 00:25:29.800]   I mean, I just even observing big tech in general and and and the ways that it's you know
[00:25:29.800 --> 00:25:33.440]   The ways that there's a lot of scrutiny and and to see it extend into the gaming world
[00:25:33.440 --> 00:25:36.720]   I think I don't know enough to say how I feel personally about it
[00:25:36.720 --> 00:25:37.360]   but
[00:25:37.360 --> 00:25:43.200]   it is it is curious to see these companies just kind of in all these in all these parallels and and and what they
[00:25:43.200 --> 00:25:49.080]   want to acquire and and all those all those sectors, but yeah, I'm learning a lot just listening to you guys
[00:25:49.080 --> 00:25:50.320]   Do you share my concern?
[00:25:50.320 --> 00:25:57.680]   I'm rather though that on the one hand you do need to be you know, there would be no vision pro without Apple having just
[00:25:57.680 --> 00:25:59.960]   Billions a dollar to throw away, right?
[00:25:59.960 --> 00:26:04.680]   So on the one hand you do need these big tech companies to do kind of these big
[00:26:04.680 --> 00:26:11.560]   Things but but I also worry that you'd lose some innovation if you don't and you know one of the problems of gaming
[00:26:11.560 --> 00:26:17.360]   And this is where big problem in Activision pleasure was it it was for a long time just a bunch of bros
[00:26:17.360 --> 00:26:22.880]   And so the games weren't representative. They were really violent. They they were the kind of things
[00:26:22.880 --> 00:26:27.760]   You know the John Carmex of the world and the and the Romero's of the world wanted to play
[00:26:27.760 --> 00:26:31.840]   I think diversity and
[00:26:31.840 --> 00:26:36.920]   Small Indies are important to any creative outlet. Yes
[00:26:36.920 --> 00:26:39.600]   Yeah, and I think we
[00:26:39.600 --> 00:26:44.920]   Go ahead. Sorry. Go ahead. Well, I was just gonna say I think you know that what you're saying reflects a lot of what we've seen with these
[00:26:44.920 --> 00:26:48.440]   You know smaller startups that are acquired by companies like meta for example, right?
[00:26:48.440 --> 00:26:53.840]   So you see all these those two sides of the argument where it's like okay that platform could grow because it was acquired by meta or Google
[00:26:53.840 --> 00:26:59.840]   But then you see a lot of people leave because the objective of the company changes and the culture changes
[00:26:59.840 --> 00:27:05.520]   Sometimes for better sometimes for worse. So yeah, it is interesting to see that kind of in the gaming realm as well. Yeah
[00:27:05.520 --> 00:27:07.920]   Meta did eventually get
[00:27:07.920 --> 00:27:14.680]   Supernatural they were able to acquire within even though the FTC wanted to stop that that was another one of the losses that
[00:27:14.680 --> 00:27:18.000]   They talk about with when you know to your green that do oh
[00:27:18.000 --> 00:27:25.640]   Sorry, well to your point about the the very broish and misogynistic nature of gaming
[00:27:25.640 --> 00:27:28.400]   We have to look no further than Brianna Wu. I mean she was a
[00:27:28.400 --> 00:27:36.960]   Yeah, gamer gate. She was totally yeah, totally abused in game again still is by the way. It hasn't stopped. Yeah. Oh
[00:27:36.960 --> 00:27:39.780]   No, it has not yeah gamers are still
[00:27:39.780 --> 00:27:42.400]   Talk to take a deep breath. Yeah
[00:27:42.520 --> 00:27:47.280]   Yeah, it's not the hope of the world is mobile gaming. Oh, I'm sorry. Go ahead Daniel finish your thought
[00:27:47.280 --> 00:27:48.600]   I didn't mean to change
[00:27:48.600 --> 00:27:53.320]   Yeah, no, I was gonna say about the indie gaming like I was kind of agreeing with Dan there with you know steam is just like
[00:27:53.320 --> 00:27:59.280]   I love steam steams has so much you really have like talk about indie like you have games that are created
[00:27:59.280 --> 00:28:07.680]   So not by one or two individuals and they they get like business like they get great reviews and like all the PC gaming sites
[00:28:08.080 --> 00:28:12.000]   Do eventually pick it up and you know often I see a lot more coverage of them
[00:28:12.000 --> 00:28:15.360]   Then I do like the call of duties because everybody knows about those
[00:28:15.360 --> 00:28:22.280]   But like the indie stuff is really great because it's so much more like one reason I haven't bought Diablo 4 is it's like 70 bucks
[00:28:22.280 --> 00:28:28.880]   You know, but I can go get like other games for 10 $15 and have just as much fun
[00:28:28.880 --> 00:28:32.440]   Now my job does do a really good job my opinion of highlighting indies
[00:28:32.440 --> 00:28:39.320]   So they end up offering like often going and taking a lot of the stuff on steam and getting it on Xbox and even putting it into
[00:28:39.320 --> 00:28:43.640]   Their game pass and people can just play all these really cool games. I've been a big fan of it
[00:28:43.640 --> 00:28:47.720]   It was one reason I got into Nintendo switch initially. I didn't care about any of Nintendo's IP
[00:28:47.720 --> 00:28:52.160]   They had a lot of steam IP though a lot of steam indie games were appearing on it
[00:28:52.160 --> 00:28:56.360]   And that's what I wanted to play and my husband they have their ID at Xbox program
[00:28:56.360 --> 00:29:00.160]   They support any developers a lot because I think there is a lot of
[00:29:01.400 --> 00:29:04.840]   We do focus law on the triple-a titles and they are big business
[00:29:04.840 --> 00:29:09.080]   But those small indie ones are also big business too or just on a different scale
[00:29:09.080 --> 00:29:12.360]   And I think it's a really interesting thing and I think it'll be fine
[00:29:12.360 --> 00:29:17.400]   I think those you know right now what we're seeing call boomer shooters. We did a whole like wrap up
[00:29:17.400 --> 00:29:22.960]   Our basically remakes of doom games from the 90s
[00:29:22.960 --> 00:29:29.640]   And people are just taking that same graphics and this pixel art kind of thing and making these first-person shooters
[00:29:29.720 --> 00:29:32.720]   They're really affordable. They're like ten dollars half the time
[00:29:32.720 --> 00:29:36.880]   They're a lot of fun to play they play on any low-end system and for people like my age
[00:29:36.880 --> 00:29:39.160]   We're like hell yeah, this is where it's you know
[00:29:39.160 --> 00:29:43.720]   The gaming is I think still very strong and will be strong regardless of this deal because I know myself
[00:29:43.720 --> 00:29:46.800]   I don't play Call of Duty. I don't play World of Warcraft
[00:29:46.800 --> 00:29:51.520]   I play a lot of like the sides the side scrollers and indie stuff from steam
[00:29:51.520 --> 00:29:54.680]   I thought I mean I'm waving my steam deck around here
[00:29:54.680 --> 00:29:57.920]   But this is I mean also I play Microsoft games on my steam deck
[00:29:57.920 --> 00:30:01.360]   It's the most interesting gadget released in years. It's a Linux. Absolutely
[00:30:01.360 --> 00:30:04.480]   You know this is if you want to hack on a Linux computer
[00:30:04.480 --> 00:30:09.640]   The Steam Deck is the best place to do it and it's open you can install whatever you want including Diablo 4
[00:30:09.640 --> 00:30:14.920]   Which I I've used us to play D4. Yes, we'll be talking about the steam deck in 20 years
[00:30:14.920 --> 00:30:21.640]   That'll be regarded as interesting one of the most innovative advice. Yeah, it seems just like a copy of the switch to me
[00:30:21.640 --> 00:30:23.880]   No, no switch that could play Linux games
[00:30:24.560 --> 00:30:29.840]   Yeah, I mean, it's like a handheld PC right it's a PC in a form factor. They just make something
[00:30:29.840 --> 00:30:36.080]   It scratches that like if you don't have time to really hack on Linux anymore because you're an adult
[00:30:36.080 --> 00:30:40.520]   And you just got stuff to do and your PC needs to get stuff done for you get a steam deck
[00:30:40.520 --> 00:30:45.840]   Then you can monkey around with Linux so you actually don't just play the games you actually drop into Linux on that thing
[00:30:45.840 --> 00:30:51.900]   Oh, yeah, absolutely. There's desktop mode you you click two buttons and you're in desktop mode. It'll plug right into your
[00:30:53.040 --> 00:30:59.000]   Monitor they sell a dock for it that props it up and plugs into your monitor and just runs all windows 11
[00:30:59.000 --> 00:31:05.920]   Allied the raw G. Ally from aces is a windows machine, which I thought was kind of rising. Yeah
[00:31:05.920 --> 00:31:11.720]   It's a really good device. It is not I played with the steam deck when we when it first came out
[00:31:11.720 --> 00:31:17.640]   I was pre-ordering all that I just it's like I the game I play which is actually interesting
[00:31:17.640 --> 00:31:23.600]   You should mention this is a $20 indie game at a sweet and 10 developers called Valheim
[00:31:23.600 --> 00:31:28.840]   But it's incredibly competitive compelling. Oh, yeah, and in fact, they've made hundreds of millions of dollars
[00:31:28.840 --> 00:31:32.360]   They haven't even come out of beta yet. They're just like raking it in
[00:31:32.360 --> 00:31:37.360]   And I played it on the steam deck and it I just wanted to go back to my big monitor
[00:31:37.360 --> 00:31:39.920]   I felt so
[00:31:39.920 --> 00:31:43.600]   But I guess you have a new baby. You don't get this sit down in your office
[00:31:43.600 --> 00:31:48.520]   What's going to say the benefit the handhelds is you can sit on the couch with your significant others
[00:31:48.520 --> 00:31:55.080]   Watching TV hanging out with your pets hanging out there by but still kind of game my day. Oh, I had
[00:31:55.080 --> 00:32:02.480]   I'm going into the next room
[00:32:02.480 --> 00:32:07.460]   Right, it's a very like the have the to play games like
[00:32:07.960 --> 00:32:15.160]   Pre-seam thick or pre-switch to play games seriously. It was a fairly anti-social activity. That's true. Yeah
[00:32:15.160 --> 00:32:17.680]   I love actually I'd like to switch a lot
[00:32:17.680 --> 00:32:21.120]   It saved me in the in the beginnings of the pandemic
[00:32:21.120 --> 00:32:23.800]   playing Animal Crossing New Horizons and
[00:32:23.800 --> 00:32:29.880]   And people love the Zelda games and you know, I mean yeah, the switch has been a great success
[00:32:29.880 --> 00:32:34.160]   Abra you play any game. I don't understand. I know it's you know
[00:32:35.640 --> 00:32:42.360]   It is really I mean growing up like my we had like my brother's old super Nintendo that I would like play on when I was
[00:32:42.360 --> 00:32:46.880]   Superborn so I've played like the classics like the Donkey Kongs and the Mario Kart's but it's literally been like
[00:32:46.880 --> 00:32:51.000]   15 years since I think I have like really flippant. I mean wait
