;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[00:19:27.000 --> 00:19:28.000]   It makes sense.
[00:19:28.000 --> 00:19:29.000]   There were other things wrong with it.
[00:19:29.000 --> 00:19:32.960]   Microsoft certainly was chastened and was much less aggressive.
[00:19:32.960 --> 00:19:36.920]   In a way, we've lost because it would be great to have another standard besides iOS
[00:19:36.920 --> 00:19:37.920]   and Android.
[00:19:37.920 --> 00:19:40.840]   And it was, I think, when it was fun was great.
[00:19:40.840 --> 00:19:45.720]   So the consumer has lost a little bit, but I don't think a less rapacious Microsoft
[00:19:45.720 --> 00:19:48.200]   is a bad thing in general overall.
[00:19:48.200 --> 00:19:51.760]   I just want to come back to this issue.
[00:19:51.760 --> 00:19:56.320]   I think because I'm looking at the Club Twitch chat, I don't think any of us here begrudge
[00:19:56.320 --> 00:20:02.280]   any tech company for doing very well and making a lot of money.
[00:20:02.280 --> 00:20:06.040]   I don't think anyone here has any kind of problem with that.
[00:20:06.040 --> 00:20:11.800]   My interest in this really begins and ends when you have companies that are so large
[00:20:11.800 --> 00:20:16.160]   that we cannot continue to have innovation in the tech industry.
[00:20:16.160 --> 00:20:21.160]   And I think we have to be asking ourselves, could you launch another Facebook today without
[00:20:21.160 --> 00:20:23.760]   that being gobbled up by Facebook?
[00:20:23.760 --> 00:20:30.040]   Could you have a really strong hardware manufacturer come along today with an operating system
[00:20:30.040 --> 00:20:33.200]   and compete with Apple or Microsoft?
[00:20:33.200 --> 00:20:39.320]   I think that answer is increasingly probably not.
[00:20:39.320 --> 00:20:44.960]   So my only interest here is making sure we can continue to foster innovation in the tech
[00:20:44.960 --> 00:20:50.560]   industry because if we don't, this thing that all of us love, it's just going to stack
[00:20:50.560 --> 00:20:51.560]   me.
[00:20:51.560 --> 00:20:54.160]   And I think we are unfortunately seeing that in many ways.
[00:20:54.160 --> 00:20:55.160]   Competition.
[00:20:55.160 --> 00:20:58.520]   And even for those startups who do fit within this ecosystem, who could write an app that
[00:20:58.520 --> 00:21:04.280]   will fit within App Store guidelines now need to make 30% additional margins on their end
[00:21:04.280 --> 00:21:08.320]   just to break even because of the high fees that Apple is charging.
[00:21:08.320 --> 00:21:12.240]   I mean, if you think of your average retail space, there isn't a shopping mall on the
[00:21:12.240 --> 00:21:17.000]   planet that would take 30% off of all the sales of any of their stores and expect for those
[00:21:17.000 --> 00:21:18.000]   stores to survive.
[00:21:18.000 --> 00:21:19.840]   But that's exactly what Apple is doing.
[00:21:19.840 --> 00:21:23.320]   And it's hard for that to not look egregious.
[00:21:23.320 --> 00:21:28.640]   And regarding margins, I love that Apple's response to the margins wasn't this is invalid
[00:21:28.640 --> 00:21:29.640]   or this is wrong.
[00:21:29.640 --> 00:21:32.280]   It was, we actually don't calculate that and we can't calculate that.
[00:21:32.280 --> 00:21:33.280]   Which is totally BS.
[00:21:33.280 --> 00:21:34.280]   Of course they calculate.
[00:21:34.280 --> 00:21:35.280]   Of course they know that.
[00:21:35.280 --> 00:21:36.280]   No, no.
[00:21:36.280 --> 00:21:38.400]   This because they don't report it doesn't mean they don't have a number ready.
[00:21:38.400 --> 00:21:39.400]   We don't know.
[00:21:39.400 --> 00:21:40.400]   We have no idea how much we make.
[00:21:40.400 --> 00:21:41.400]   No idea at all.
[00:21:41.400 --> 00:21:46.160]   By the way, they're spending $90 billion to buy back stock.
[00:21:46.160 --> 00:21:48.440]   They announced that as well in the quarterly results.
[00:21:48.440 --> 00:21:49.600]   That's a huge amount.
[00:21:49.600 --> 00:21:54.320]   And that will of course inflate the stock price even further, which means that people
[00:21:54.320 --> 00:21:58.840]   who own Apple stock, probably members of Congress, will be very well disposed towards
[00:21:58.840 --> 00:21:59.840]   Apple.
[00:21:59.840 --> 00:22:04.840]   It also means that employees will get bigger stock grants and so forth and so on.
[00:22:04.840 --> 00:22:12.680]   But in the club Twitch chat, they are pointing out that the cost isn't to Spotify or Amazon,
[00:22:12.680 --> 00:22:17.920]   it's to you because in most cases companies just pass along this 30% to the consumers.
[00:22:17.920 --> 00:22:25.240]   So Joe's saying when you buy YouTube premium on the web, it's 12 bucks when you buy it
[00:22:25.240 --> 00:22:29.920]   on the Apple store, it's 16 bucks and on and on and on and that actually kind of makes
[00:22:29.920 --> 00:22:30.920]   sense.
[00:22:30.920 --> 00:22:35.400]   But there are some services that aren't available elsewhere.
[00:22:35.400 --> 00:22:39.160]   If you're buying a premium app, a game, something like that, and you can only get it through
[00:22:39.160 --> 00:22:41.040]   the app store, then you don't have an option.
[00:22:41.040 --> 00:22:42.280]   There's no way around it.
[00:22:42.280 --> 00:22:44.240]   So that premium is certainly is baked in there.
[00:22:44.240 --> 00:22:45.840]   It is being passed on to the user.
[00:22:45.840 --> 00:22:51.040]   But if the app is 30% higher, more expensive than it would be otherwise, then do you expect
[00:22:51.040 --> 00:22:53.600]   to have 30% fewer sales?
[00:22:53.600 --> 00:22:54.600]   Probably so.
[00:22:54.600 --> 00:22:59.200]   The funny thing is, and this is why it's so hard to cover, Apple is this mixed bag.
[00:22:59.200 --> 00:23:04.720]   Because as you said, Brianna, you use it because it's privacy focused.
[00:23:04.720 --> 00:23:08.400]   I would say you could argue that the app store makes it a more secure, I think the iPhone
[00:23:08.400 --> 00:23:12.120]   is a more secure platform, whether it's the app store or Apple's engineering or the fact
[00:23:12.120 --> 00:23:16.600]   that it's such a closed system compared to Android, but for whatever reason, I think
[00:23:16.600 --> 00:23:19.720]   it feels a lot safer.
[00:23:19.720 --> 00:23:29.880]   And then Apple is this week, Apple released iOS 14.5, iPadOS 14.5, which is sticking it
[00:23:29.880 --> 00:23:38.000]   to Facebook with their application tracking switches and their privacy statements.
[00:23:38.000 --> 00:23:41.720]   All of a sudden companies like Google and Facebook have to admit they're gathering huge
[00:23:41.720 --> 00:23:43.320]   amounts of information.
[00:23:43.320 --> 00:23:47.280]   And consumers get to decide, A, whether they want to let them continue to do that and B,
[00:23:47.280 --> 00:23:51.600]   whether they want to use WhatsApp or Facebook Messenger, maybe I'm going to use something
[00:23:51.600 --> 00:23:55.760]   else because I'm looking at the privacy statement and comparing it to Signal.
[00:23:55.760 --> 00:23:59.160]   And I don't want to give up that information.
[00:23:59.160 --> 00:24:02.240]   So Apple's doing some real good, right?
[00:24:02.240 --> 00:24:06.480]   We agree with this new ATT stuff.
[00:24:06.480 --> 00:24:11.600]   Take it for a former political fundraiser, the amount of information I can get on you
[00:24:11.600 --> 00:24:16.440]   from your Facebook account is it would it would horrify you if you really found out about
[00:24:16.440 --> 00:24:18.800]   it just from your Facebook account.
[00:24:18.800 --> 00:24:20.800]   Well, now people are.
[00:24:20.800 --> 00:24:21.800]   Exactly.
[00:24:21.800 --> 00:24:22.800]   They're horrified.
[00:24:22.800 --> 00:24:25.280]   You could do list matching with it.
[00:24:25.280 --> 00:24:27.400]   I can ultimately find out your address.
[00:24:27.400 --> 00:24:29.320]   I can find out what your interests are.
[00:24:29.320 --> 00:24:33.040]   I can find out what website she visited because all this is collated.
[00:24:33.040 --> 00:24:36.000]   And I have to tell you, they sell it for a song.
[00:24:36.000 --> 00:24:40.040]   They sell it for an insultingly low amount.
[00:24:40.040 --> 00:24:46.200]   So, you know, I think having seen how the sausage is made, you better believe.
[00:24:46.200 --> 00:24:49.760]   I was, I was sitting there waiting for them to update it on my iPhone.
[00:24:49.760 --> 00:24:56.440]   I'm like, install now, install now because this is, it's, it's such an obvious step forward.
[00:24:56.440 --> 00:25:02.120]   I think it's really sad that, you know, Google is probably not going to do this on Android
[00:25:02.120 --> 00:25:06.680]   because I think in many ways that's an ecosystem that needs this even more.
[00:25:06.680 --> 00:25:12.640]   This week, Apple also released its air tags, something that the company Tyle, which is up
[00:25:12.640 --> 00:25:17.560]   to now has been the leader in Bluetooth tracking tags.
[00:25:17.560 --> 00:25:18.560]   Has been very afraid of.
[00:25:18.560 --> 00:25:23.360]   Tyle CEO has testified before Congress saying, "App, Apple's going to put us out of business.
[00:25:23.360 --> 00:25:24.880]   They're going to use their market clout.
[00:25:24.880 --> 00:25:28.680]   They're going to use the fact that there's a billion iPhones out there to completely dominate
[00:25:28.680 --> 00:25:30.040]   and it's happening."
[00:25:30.040 --> 00:25:36.400]   Apple, two weeks before they released air tags, did open the Find My System.
[00:25:36.400 --> 00:25:40.400]   Another Bluetooth tracker, Chipolo agreed to support it.
[00:25:40.400 --> 00:25:45.840]   Keeping these guys much of the benefit that air tags have, but it's very hard to compete
[00:25:45.840 --> 00:25:51.000]   against a Bluetooth tracker that uses the fact that there are a billion iPhones out there,
[00:25:51.000 --> 00:25:54.280]   all of which will be, you know, keeping an eye out for your lost keys.
[00:25:54.280 --> 00:25:58.320]   That's a tough thing to compete with.
[00:25:58.320 --> 00:26:00.040]   And this is the problem.
[00:26:00.040 --> 00:26:01.320]   You want Apple to innovate.
[00:26:01.320 --> 00:26:03.720]   You want Apple to do these things.
[00:26:03.720 --> 00:26:04.800]   You want them to be good.
[00:26:04.800 --> 00:26:06.000]   You want them to make money.
[00:26:06.000 --> 00:26:12.640]   You just don't want them to use their monopoly position to kill competition or disadvantage
[00:26:12.640 --> 00:26:13.640]   consumers.
[00:26:13.640 --> 00:26:18.320]   And it's difficult to think of, for instance, the solution to the App Store that would somehow
[00:26:18.320 --> 00:26:19.960]   fix this problem.
[00:26:19.960 --> 00:26:23.280]   Putting a third-party App Store is not going to change things dramatically.
[00:26:23.280 --> 00:26:24.280]   I don't know.
[00:26:24.280 --> 00:26:25.520]   I think there is an easy fix.
[00:26:25.520 --> 00:26:31.320]   I think let people put their own payment systems in the App Store and let the consumer make
[00:26:31.320 --> 00:26:32.320]   their choice.
[00:26:32.320 --> 00:26:37.320]   They choose Stripe instead of Apple Pay and not give Apple a 30% big.
[00:26:37.320 --> 00:26:42.000]   They do it through Safari and put their credit card details in or they use Apple Pay.
[00:26:42.000 --> 00:26:43.000]   Do the same in the apps.
[00:26:43.000 --> 00:26:46.680]   And I think, you know, a huge part of this problem just goes away overnight.
[00:26:46.680 --> 00:26:47.960]   They should do that because you know what?
[00:26:47.960 --> 00:26:52.040]   People are still going to use Apple Pay by a vast majority are still going to use it because
[00:26:52.040 --> 00:26:56.080]   it's easy in fingerprinting or a face ID and you're done.
[00:26:56.080 --> 00:26:59.680]   I want to pay for my Apple Music subscription with my Dogecoin.
[00:26:59.680 --> 00:27:01.640]   Well, I would hold on.
[00:27:01.640 --> 00:27:07.960]   You don't want to be that person who sold, bought an album for $5 million with Dogecoin.
[00:27:07.960 --> 00:27:14.000]   Now that Elon Musk and Mark Cuban are saying, "Dogecoin is the next big crypto," how much
[00:27:14.000 --> 00:27:15.720]   Dogecoin do you have, Rian?
[00:27:15.720 --> 00:27:17.480]   Oh, I would never have Dogecoin.
[00:27:17.480 --> 00:27:19.240]   I have a lot of Bitcoin.
[00:27:19.240 --> 00:27:21.320]   You should have got the Dogecoin.
[00:27:21.320 --> 00:27:23.840]   You got to get on the Dogecoin train.
[00:27:23.840 --> 00:27:25.240]   Christina made bank.
[00:27:25.240 --> 00:27:27.480]   Christina made so much money from the Bitcoin.
[00:27:27.480 --> 00:27:28.480]   She has to have to have a real coin.
[00:27:28.480 --> 00:27:29.480]   It is obscene.
[00:27:29.480 --> 00:27:31.240]   She bought it on a lark.
[00:27:31.240 --> 00:27:36.080]   For me, if you look at Dogecoin, the very thing that makes Bitcoin valuable in the long
[00:27:36.080 --> 00:27:41.520]   term, like the fact that they're not going to have more of it, probably, you know, Dogecoin
[00:27:41.520 --> 00:27:43.080]   is the opposite of that.
[00:27:43.080 --> 00:27:46.880]   Like, look into the architecture before you sweat serious money in this.
[00:27:46.880 --> 00:27:51.600]   If you want to play a short game, more power to you, but you're destroying the planet for
[00:27:51.600 --> 00:27:52.600]   something.
[00:27:52.600 --> 00:27:53.600]   Well, that's another problem.
[00:27:53.600 --> 00:27:54.600]   It probably has no value.
[00:27:54.600 --> 00:27:55.600]   That's another problem entirely.
[00:27:55.600 --> 00:27:56.600]   Yeah.
[00:27:56.600 --> 00:28:03.040]   So, this year is up 5,000%.
[00:28:03.040 --> 00:28:08.520]   It may hit cryptocurrency experts say a dollar.
[00:28:08.520 --> 00:28:10.440]   How much did Christina have?
[00:28:10.440 --> 00:28:11.440]   Did she sell it?
[00:28:11.440 --> 00:28:13.120]   Like I was holding it.
[00:28:13.120 --> 00:28:14.120]   She sold a ton of it.
[00:28:14.120 --> 00:28:16.520]   We're like, "Christia, just cash out.
[00:28:16.520 --> 00:28:20.280]   Go get a new M2 Mac or M1 Mac, iMac.
[00:28:20.280 --> 00:28:21.480]   Like get it.
[00:28:21.480 --> 00:28:22.880]   Have something that's real from this.
[00:28:22.880 --> 00:28:23.880]   Enjoy your trip.
[00:28:23.880 --> 00:28:26.400]   We're talking about Christina Warren, who's your co-host and Rocket and of course, what
[00:28:26.400 --> 00:28:27.400]   are you doing?
[00:28:27.400 --> 00:28:32.200]   Well, I'm a regular on our show and she's a developer advocate at Microsoft, but she
[00:28:32.200 --> 00:28:33.200]   wants an M1.
[00:28:33.200 --> 00:28:34.200]   Okay.
[00:28:34.200 --> 00:28:39.320]   What kind of guy behind Dogecoin didn't he work at IBM?
[00:28:39.320 --> 00:28:40.560]   It was a joke.
[00:28:40.560 --> 00:28:41.560]   It was...
[00:28:41.560 --> 00:28:42.560]   Yeah.
[00:28:42.560 --> 00:28:43.560]   The Doge meme.
[00:28:43.560 --> 00:28:44.560]   It was a meme.
[00:28:44.560 --> 00:28:45.560]   Very Doge.
[00:28:45.560 --> 00:28:46.560]   Yeah, very doge.
[00:28:46.560 --> 00:28:47.560]   Such value.
[00:28:47.560 --> 00:28:48.560]   Yeah, such a...
