;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[00:23:51.380 --> 00:23:56.740]   but if this really was a first women issue then the 230 stuff would be moot because
[00:23:57.620 --> 00:24:02.660]   Obviously, you know like they would have even less ability to like they wouldn't be
[00:24:02.660 --> 00:24:05.220]   reliable for anything that they
[00:24:05.220 --> 00:24:10.740]   You know any any decision that they made the other I already if you look at fox and news max and oem which are publishers
[00:24:10.740 --> 00:24:13.780]   They're not social media right their guests have had things
[00:24:13.780 --> 00:24:21.940]   About the election lie and other things which are clearly lies and in fact, I think it's one of the uh one of the uh
[00:24:21.940 --> 00:24:24.660]   voting machine companies is suing them they've sued
[00:24:25.380 --> 00:24:27.860]   Yeah, two-minute dominion is the other one
[00:24:27.860 --> 00:24:31.380]   Dominion sued um and they had to issue apologies. Why not?
[00:24:31.380 --> 00:24:37.300]   That suit worked really well. It was for such a huge amount of money that that everybody right back down and said oh
[00:24:37.300 --> 00:24:42.580]   I do love all the clips of their anchor saying no no no you cannot say that and here's my prepared statement
[00:24:42.580 --> 00:24:46.820]   So so maybe that's the way to go about it is
[00:24:46.820 --> 00:24:49.540]   Is that that kind of lawsuit?
[00:24:49.540 --> 00:24:51.940]   Defamation live with money slander
[00:24:51.940 --> 00:24:54.020]   Twitter
[00:24:54.020 --> 00:25:00.020]   Did a survey which is closed now so I can't show you all the questions, but it was I thought very interesting
[00:25:00.020 --> 00:25:02.740]   They they they said we and they stopped us on april 12th
[00:25:02.740 --> 00:25:05.700]   We we read some of these questions on this week in google
[00:25:05.700 --> 00:25:08.340]   Uh, and I thought it was very challenging
[00:25:08.340 --> 00:25:13.300]   Because it's not easy to know what to do and that's really the thing I yeah
[00:25:13.300 --> 00:25:18.020]   I think comes home to me every time is it's hard. It's easy to say oh you are bad
[00:25:18.020 --> 00:25:22.180]   You're wrong. You shouldn't do this. It's very hard to know what to do
[00:25:22.340 --> 00:25:25.140]   Thanks to the verge there. I have a screenshot from one of the questions
[00:25:25.140 --> 00:25:32.340]   Let me just ask you guys and and the people listening put yourself in this consider twitter said the following hypothetical situation
[00:25:32.340 --> 00:25:34.180]   You see a tweet
[00:25:34.180 --> 00:25:40.340]   as described below a tweet is from a representative in the national legislature of another country
[00:25:40.340 --> 00:25:42.260]   Okay, not ours
[00:25:42.260 --> 00:25:47.220]   It contains misleading information about election in a third country in another different country
[00:25:47.860 --> 00:25:53.460]   The tweet is an official government account and this is their third violation of twitter rules
[00:25:53.460 --> 00:25:57.620]   So what should twitter do take no action delete the tweet
[00:25:57.620 --> 00:26:00.420]   Not delete the tweet, but apply a label
[00:26:00.420 --> 00:26:06.180]   Require the account holder delete the tweet remember. It's the third violation should they permanently suspend the account
[00:26:06.180 --> 00:26:12.100]   Remember, it's an official government account. You know what's embarrassing. I'm on twitter safety advisory board
[00:26:12.100 --> 00:26:17.620]   And you would think I would know the answer to this right? It's impossible and and I we are they actually
[00:26:17.700 --> 00:26:22.660]   At one of our meetings they presented similar things a year ago and about two-thirds of us got it wrong
[00:26:22.660 --> 00:26:26.660]   Well, I don't know what is wrong even. I mean, I don't know what the right answer is
[00:26:26.660 --> 00:26:30.580]   If you do this always changing and it had many questions
[00:26:30.580 --> 00:26:33.860]   You'd see it's very difficult very nuanced
[00:26:33.860 --> 00:26:40.580]   And the real problem is neither twitter nor facebook nor youtube can write rules that cover all situations
[00:26:40.580 --> 00:26:42.980]   so
[00:26:42.980 --> 00:26:47.460]   I don't envy them their job. I do think there's a responsibility because they are a public
[00:26:47.460 --> 00:26:50.260]   They are effectively our public forums these days
[00:26:50.260 --> 00:26:54.180]   No, it is really hard and it's hard for their moderators to get it right even if they have rules
[00:26:54.180 --> 00:26:57.220]   And it's even hard for their senior staff who you would think
[00:26:57.220 --> 00:27:03.620]   Who even make the rules to understand how to interpret them at every every step of the way as you know facebook created it's
[00:27:03.620 --> 00:27:06.820]   It's supreme court if some people are calling it
[00:27:06.820 --> 00:27:14.900]   To arbitrate some of these issues and I think even they are going to have challenges. Yeah. Yeah, I mean that first case is fundamentally useless for them, right?
[00:27:14.980 --> 00:27:18.100]   So this by the way, this conversation is where I shout out a
[00:27:18.100 --> 00:27:25.140]   The show everybody should be watching which is the good fight which the latest episode was about section 230
[00:27:25.140 --> 00:27:30.900]   And even had a jolt in song. Uh, yeah going over 230. It was mess. It was a mess
[00:27:30.900 --> 00:27:36.820]   Really? It wasn't how all these because yeah, what was the predecessor to the good fight the
[00:27:36.820 --> 00:27:42.820]   Good wife the good wife. Oh, yeah, often great. I covered technology subjects pretty well. I saw it
[00:27:43.380 --> 00:27:46.820]   But this one this this showed us too. I just think this topic was kind of a
[00:27:46.820 --> 00:27:48.900]   Yeah, I
[00:27:48.900 --> 00:27:52.980]   Well, they're not alone. In fact, you know, tecta mic masonic actually has a page
[00:27:52.980 --> 00:27:57.860]   That you can refer to people to when they get section 230 wrong
[00:27:57.860 --> 00:28:02.980]   Have you seen that page? No, but i'm glad he's oh it's hysterical. Let me see if I can find it because it has
[00:28:02.980 --> 00:28:08.820]   Uh, it has basically you can link to parts of it
[00:28:08.820 --> 00:28:12.740]   Uh depending on what they got wrong
[00:28:13.620 --> 00:28:18.260]   So it says hello you've been referred here because you're wrong about section 230
[00:28:18.260 --> 00:28:27.780]   And and then it has sections if you said once a company like that starts moderating content
[00:28:27.780 --> 00:28:29.460]   It's no longer a platform but a publisher
[00:28:29.460 --> 00:28:33.380]   And then it says I regret to inform you you're wrong and explains why if you said
[00:28:33.380 --> 00:28:37.860]   Because of 230 websites have no incentive to moderate you were wrong and explains why
[00:28:38.420 --> 00:28:41.860]   Etc, etc, etc, etc, etc, highly recommended
[00:28:41.860 --> 00:28:45.380]   Next time you get in a fight over section 230 and maybe we should
[00:28:45.380 --> 00:28:50.260]   Send this live right this post. Yeah, we should send this to uh the the good uh, what is it? Good fight?
[00:28:50.260 --> 00:28:54.900]   Good fight. Good fight. Yeah, this saved me a lot of writing because i'm constantly
[00:28:54.900 --> 00:28:59.780]   Playing this to people. Yeah, that's I think that's probably why mike did this is because he got really tired
[00:28:59.780 --> 00:29:06.100]   Of answering all these we've got a great panel. We're gonna talk about the billionaires in space
[00:29:06.100 --> 00:29:09.460]   Billionaires in space and more
[00:29:09.460 --> 00:29:16.660]   With christina warren from microsoft. She's senior cloud advocate, but more importantly just a great person
[00:29:16.660 --> 00:29:21.220]   I almost don't want to even say you're from microsoft. You're from you're from christina warrenville
[00:29:21.220 --> 00:29:24.980]   I'm from the internet from the internet of the internet fame
[00:29:24.980 --> 00:29:29.060]   Devender hard-or-war senior editor at engagit always a pleasure having you
[00:29:29.060 --> 00:29:34.900]   How's the baby? Yeah, she's good. She's sleeping two and a half now. So she's barely a baby now
[00:29:34.900 --> 00:29:38.420]   She is a little one and i'm wow go so fast
[00:29:38.420 --> 00:29:43.620]   And uh, I know you know that larry maggot also here connect safely
[00:29:43.620 --> 00:29:47.780]   Dot org, but he still helps kids. I do with his sight and seniors too
[00:29:47.780 --> 00:29:51.060]   Diaper than both ends
[00:29:51.060 --> 00:29:55.700]   I'm just waiting. I knew there was a circle up. Yeah, it's a circle
[00:29:55.700 --> 00:29:59.860]   Are you
[00:29:59.860 --> 00:30:03.780]   Are you sure today by the way larry? I don't know if you've noticed but the air you're breathing is pure
[00:30:03.860 --> 00:30:05.860]   it's fresh it's delicious because
[00:30:05.860 --> 00:30:08.660]   We use a molecule not because we can open the window
[00:30:08.660 --> 00:30:16.100]   Unfortunately a lot of offices you can open the window, but you know the EPA says indoor air can be as bad as five times worse
[00:30:16.100 --> 00:30:18.660]   Than outdoor air
[00:30:18.660 --> 00:30:24.660]   And of course outdoor air can be pretty bad too if you live in wildfire area. I have one of those at home
[00:30:24.660 --> 00:30:29.380]   Yeah, yeah, we got we got no living room and we got it when we were having the that was so smoky
[00:30:29.460 --> 00:30:33.780]   So we got one at home and then we got one for the kid then we got one for the studio
[00:30:33.780 --> 00:30:35.860]   We actually have a variety of molecules
[00:30:35.860 --> 00:30:39.860]   Molecule is not it. It's not it's not exactly a filter
[00:30:39.860 --> 00:30:47.220]   So I want to kind of explain what this is. There's a there's a pre filter that you change, but there is also a picot
[00:30:47.220 --> 00:30:52.820]   Device it's a it's kind of like a screen a grid that traps
[00:30:52.820 --> 00:30:56.660]   Tiny tiny pollutants in the air
[00:30:57.220 --> 00:31:01.220]   Viruses bacteria mold even volatile organic compounds
[00:31:01.220 --> 00:31:05.460]   And then it doesn't just trap them in storm it destroys them with light
[00:31:05.460 --> 00:31:12.900]   It's picostans for photo electrochemical oxidation. It actually destroys these pollutants in the air
[00:31:12.900 --> 00:31:20.020]   picotecnology for molecule meets performance requirements and fda's guidance for use in helping reduce the risk of exposure
[00:31:20.020 --> 00:31:24.340]   To sars cove to the covet 19 virus in health care settings
[00:31:24.740 --> 00:31:30.020]   In fact their molecule air pro rx which is used in medical medical offices dental offices
[00:31:30.020 --> 00:31:34.660]   Got a 510k class two medical device clearance from the fda
[00:31:34.660 --> 00:31:38.820]   For per for devices used to destroy bacteria and virus in the air
[00:31:38.820 --> 00:31:46.500]   So we've always had molecules around the studio, but we actually went out and we we got the molecule air pro for this giant studio
[00:31:46.500 --> 00:31:51.140]   For that very reason because uh that we had to have some people in the studio
[00:31:51.140 --> 00:31:54.660]   Yeah, isn't I review? Oh, you have a good review of it. I mean cleaning your air. Yeah
[00:31:54.660 --> 00:31:59.300]   Uh, I think this is really an interesting technology. Unfortunately
