
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[00:25:36.540 --> 00:25:42.100]   He's actually but he's been a reporter since he was 16 William Turtenet at Bloomberg was one of the people who helped
[00:25:42.100 --> 00:25:48.980]   Really crack that down. We saw his scoop. He's I didn't realize he had started when he was 16. That's very interesting
[00:25:48.980 --> 00:25:53.460]   Yeah, no, it will this is what I was he he's one of the best security reporters and
[00:25:54.420 --> 00:25:58.580]   He's fantastic. Yeah, when when I so he worked at the daily dot with my husband
[00:25:58.580 --> 00:26:03.500]   Years and years and years ago when again, he was like 16 and then when we hired him at Gizmodo
[00:26:03.500 --> 00:26:09.860]   He was still in high school. So he was a senior in high school and he would like have to he would be on slack
[00:26:09.860 --> 00:26:11.180]   He was like, okay, I've got I gotta go
[00:26:11.180 --> 00:26:15.460]   I gotta take a test and then he'd come back like 45 minutes later and blog
[00:26:15.460 --> 00:26:19.100]   Just an incredible reporter, but I
[00:26:19.100 --> 00:26:24.300]   Was joking with him was like so I see you can still get your friends, you know to give you scoops
[00:26:24.300 --> 00:26:27.100]   But yeah, a bunch of 16 year olds
[00:26:27.100 --> 00:26:32.940]   Terrifying but also I mean, I guess the kids are all right. I don't know they
[00:26:32.940 --> 00:26:37.740]   Kids are all right in one way, you know, they're gonna be able to get jobs. Let's put it that way
[00:26:37.740 --> 00:26:46.180]   lapses first la psu s dollar sign which tells you a little bit about their motivations first surfaced December of 2021
[00:26:46.180 --> 00:26:53.100]   With an extortion demand on Brazil's Ministry of Health. I think as I remember they released a bunch of records
[00:26:53.380 --> 00:26:57.580]   There they broke in in vidia released source code from Nvidia
[00:26:57.580 --> 00:27:00.860]   They broke in a Samsung they broke into Vodafone
[00:27:00.860 --> 00:27:09.220]   They broke in a Microsoft released the source code for a bunch of Microsoft project products including teams and I think Windows
[00:27:09.220 --> 00:27:14.820]   As well, although Microsoft said they had disrupted the download before could finish
[00:27:14.820 --> 00:27:17.500]   So they didn't get all of all of it
[00:27:17.500 --> 00:27:21.860]   And then maybe most notoriously they were the group that broken now octa
[00:27:22.260 --> 00:27:26.580]   Octa says they didn't get very far. Yeah, but that's a big one because it's a security firm
[00:27:26.580 --> 00:27:32.020]   That's used by many other companies for you know single sign on in their security. So
[00:27:32.020 --> 00:27:34.900]   We're starting to learn a little bit more
[00:27:34.900 --> 00:27:39.900]   Octa was two teenagers 16 and 17 in the UK
[00:27:39.900 --> 00:27:43.300]   They both been released on bail because what are you gonna do, right?
[00:27:43.300 --> 00:27:50.700]   Both teenagers charged with three counts of unauthorized access with intent to appear operation of or hinder
[00:27:50.900 --> 00:27:56.900]   Access to a computer to accounts of two counts of fraud by false representation. I'll explain why that
[00:27:56.900 --> 00:27:59.620]   Those are the charges
[00:27:59.620 --> 00:28:05.340]   This the father of the 16 year old said we just thought he was in the basement playing games
[00:28:05.340 --> 00:28:10.620]   We were shocked I say shocked to find out
[00:28:10.620 --> 00:28:13.820]   Obviously fairly fairly skilled
[00:28:13.820 --> 00:28:20.860]   Around the same time as news of the arrests emerged according to the BBC lapses told its 45,000
[00:28:20.860 --> 00:28:25.000]   followers on telegram that some of its members would be taking a vacation
[00:28:25.000 --> 00:28:35.860]   On Wednesday they started posting again after the arrest releasing stolen material from a software development company in Argentina
[00:28:35.860 --> 00:28:40.160]   So the kids are all right, I like that
[00:28:40.160 --> 00:28:49.760]   Lapsis did the same thing as the solar wind hackers breaking through two factor
[00:28:50.160 --> 00:28:52.560]   in a couple of interesting ways
[00:28:52.560 --> 00:28:58.000]   One of the ways of course two factor works and this is very popular Microsoft uses it
[00:28:58.000 --> 00:29:01.080]   GitHub uses it now by the way I noticed
[00:29:01.080 --> 00:29:03.360]   Yeah
[00:29:03.360 --> 00:29:11.600]   Where it sends a push to your phone and you approve and it logs in so one of the tricks is called MFA bombing
[00:29:11.600 --> 00:29:17.760]   multifactor bombing where you just keep hitting it so that the the
[00:29:18.240 --> 00:29:24.080]   Victim keeps getting pop-ups over and over saying you approved you proved and finally just says oh screw it. I approve
[00:29:24.080 --> 00:29:28.160]   And apparently that works
[00:29:28.160 --> 00:29:31.720]   There is also a sort of a slow motion
[00:29:31.720 --> 00:29:37.400]   MFA bombing where you do one or two prompts a day, but apparently there's still a good chance
[00:29:37.400 --> 00:29:43.000]   According to a red team hacker that was talking to
[00:29:44.040 --> 00:29:49.840]   Our is technical that people will still say yeah, yeah, you can also call the target this more of a social
[00:29:49.840 --> 00:29:52.840]   This is probably where they got the charge of impersonation
[00:29:52.840 --> 00:29:58.520]   Sort of a social attack pretending to be called the target saying hey, I'm with github Christina
[00:29:58.520 --> 00:30:03.040]   I'm just I need to send you an MFA make sure we're all in setup
[00:30:03.040 --> 00:30:09.480]   So just I'm gonna send you an MFA just to prove it. Okay. We'll just make sure that you're your single sign-ons working
[00:30:09.480 --> 00:30:12.000]   And you know Christina you're new at the company
[00:30:12.480 --> 00:30:16.160]   Right think that okay. Yeah, sure. I'll wait. Oh, yeah. I see it. Thank you
[00:30:16.160 --> 00:30:19.360]   And you hit okay
[00:30:19.360 --> 00:30:22.400]   MFA bombing
[00:30:22.400 --> 00:30:24.640]   It works kids
[00:30:24.640 --> 00:30:31.200]   In fact lapses of course did not invent this it's been going on for some time, but
[00:30:31.200 --> 00:30:39.480]   There you go. Don't even two-factor is not necessarily enough to protect you against it makes me wonder if there was no pandemic
[00:30:40.120 --> 00:30:45.880]   Would we be talking about this did you think that he should have been studying social studies instead?
[00:30:45.880 --> 00:30:49.200]   He was hacking a Brazil. Is that what you think?
[00:30:49.200 --> 00:30:52.080]   Yeah, I mean
[00:30:52.080 --> 00:30:54.080]   There's a lot of time in the basement, right?
[00:30:54.080 --> 00:31:01.920]   I mean, even outside the pandemic even outside the pandemic I remember being a teenager like in the 90s and like being online
[00:31:01.920 --> 00:31:06.040]   My parents had no idea what I was doing. What are you doing with it with a
[00:31:06.320 --> 00:31:10.760]   2400 modem how much trouble can you really get up to right but but the time where you're at school
[00:31:10.760 --> 00:31:15.040]   We're like oh, I can't wait to get home to try this now. You're home all the time like what's that?
[00:31:15.040 --> 00:31:17.040]   It's totally
[00:31:17.040 --> 00:31:20.720]   According now I this is a daily mail so consider the source according to Daily Mail
[00:31:20.720 --> 00:31:27.000]   He's autistic and enrolled in a special ed school in Oxford his father told the BBC
[00:31:27.000 --> 00:31:29.480]   My son is very good on computers
[00:31:32.280 --> 00:31:38.360]   But you know if he's autistic, maybe he doesn't really think of the consequences. He just says oh, this is cool what I can do
[00:31:38.360 --> 00:31:44.800]   Look what look what I can do and maybe he somebody else some other kids took advantage of his skills
[00:31:44.800 --> 00:31:47.360]   Seven suspects were arrested
[00:31:47.360 --> 00:31:54.760]   The father who the kid lives with his mother the father who does not live with him says I had never heard about this until recently
[00:31:54.760 --> 00:31:59.320]   He never talked about hacking, but he's very good on computers. It spends a lot of time on the computer
[00:31:59.320 --> 00:32:03.800]   I always thought he was playing games. We're gonna try and stop him from going on computers
[00:32:03.800 --> 00:32:10.520]   As a person who is newer to version myself I would say most likely
[00:32:10.520 --> 00:32:15.760]   Being autistic would not prevent you from understanding the severity of the issue. He knew what he was doing
[00:32:15.760 --> 00:32:18.840]   It might make you a victim though of others
[00:32:18.840 --> 00:32:23.680]   Yes, but what it could be is that you might have issues with
[00:32:24.120 --> 00:32:30.680]   Social structures and cues and if this was a defined way that was spoken up before where you can get
[00:32:30.680 --> 00:32:39.240]   Cred with your peer group. Ah then that might make you vulnerable. Yeah. Yeah, probably do this type of yes. Yes
[00:32:39.240 --> 00:32:46.760]   Well, the kids are all right. That's the motto today for this segment of the show. Thank you Christina
[00:32:46.760 --> 00:32:53.120]   Let's take a little break Christina Warren is here now senior dev advocate for the lovely GitHub
[00:32:53.120 --> 00:32:54.720]   Whoo-hoo
[00:32:54.720 --> 00:33:00.880]   You know when Microsoft bought GitHub, I was like oh bummer, but they've really been you know great
[00:33:00.880 --> 00:33:05.320]   They're they're they're good stewards in the sense. They like GitHub do what GitHub's doing
[00:33:05.320 --> 00:33:12.120]   Support it. I think GitHub's bigger and better than ever to be honest with you, right? Yeah, I mean I think so definitely
[00:33:12.120 --> 00:33:17.400]   I wouldn't have joined otherwise, but yeah, totally you were saying something interesting Wesley you said that
[00:33:17.400 --> 00:33:20.600]   How many
[00:33:20.600 --> 00:33:25.040]   Developers don't use any version control at all. I think around 30%
