
[00:00:00.000 --> 00:00:03.080]   It's time for pizza also twitch
[01:36:10.260 --> 01:36:16.260]   I love the galaxy note, but I am gonna replace the galaxy note as soon as my galaxy s3 comes you like that better
[01:36:16.260 --> 01:36:23.020]   I think I will we'll see what do you has anybody played with the s3 yet? Not not yet comes out end of the month internationally
[01:36:23.020 --> 01:36:25.740]   And we look it looks like June 20th and 80 a t2
[01:36:25.740 --> 01:36:31.260]   I was just wondering because you made such a big fuss love the note about the note somebody changed it to Russian
[01:36:31.260 --> 01:36:33.260]   And I can't use it anymore
[01:36:33.260 --> 01:36:37.900]   No, what do you think of the HTC one phone? Oh, it's the best phone out there the X one
[01:36:37.900 --> 01:36:41.260]   Yeah, yeah, I have the sprint
[01:36:41.260 --> 01:36:43.420]   the
[01:36:43.420 --> 01:36:49.100]   See if I I can don't have it here with me, but I the evil 4g touch. Yeah, that's a galaxy s2
[01:36:49.100 --> 01:36:51.340]   Yeah, that's a galaxy s2. I like that a lot
[01:36:52.140 --> 01:36:54.980]   But I think the one is much dup. It looks terrible
[01:36:54.980 --> 01:36:59.160]   Well, they all do eventually no not my
[01:36:59.160 --> 01:37:03.220]   one the one the one is the best phone right now, but
[01:37:03.220 --> 01:37:09.700]   The people I've talked to have touched a galaxy s3 or very you know, it's quad core
[01:37:09.700 --> 01:37:12.700]   Which is stupid in a phone, but what the hell right?
[01:37:12.700 --> 01:37:17.820]   It's got a nice screen for it's what's for almost five inches, right? It's big screen
[01:37:19.260 --> 01:37:24.300]   I see s3. Yeah, it's at 4.8 4.8. So close to five I
[01:37:24.300 --> 01:37:32.140]   Didn't I used to not like the the overlays like a sense and touch with that's a nice thing touch with
[01:37:32.140 --> 01:37:36.140]   Since it's really nice. I really like that for on that phone
[01:37:36.140 --> 01:37:42.100]   This is this is an LTE phone sprint hasn't turned on its LTE network Houston's supposed to be one of the first ones
[01:37:42.100 --> 01:37:45.820]   First cities that gets it so I keep you know checking it. Oh, is it on yet?
[01:37:45.820 --> 01:37:51.340]   It's it on yet, right? But it's but I really like these phones and if I was to switch to an Android phone
[01:37:51.340 --> 01:37:53.740]   I would look at one of these I like these yeah
[01:37:53.740 --> 01:38:00.980]   Well, I wish is that the one s was available with LTE. That's the one on T mobile. That is a nice phone and the camera is really good on that one
[01:38:00.980 --> 01:38:06.940]   Apparently the camera very good on the s3 to 8 megapixels. We'll see you know apples apples not dead yet
[01:38:06.940 --> 01:38:12.660]   They got a new phone coming out. We probably figure in what September before Christmas for the iPhone 5
[01:38:12.660 --> 01:38:15.420]   I think it's gonna be something to watch something to look for
[01:38:15.740 --> 01:38:17.420]   We shall see
[01:38:17.420 --> 01:38:20.340]   Google says well hold but before you go on yes
[01:38:20.340 --> 01:38:23.660]   Why did you get a white one?
[01:38:23.660 --> 01:38:28.140]   Because I'm a girl. What do you I don't know because I like it. It looks good. Don't you like it?
[01:38:28.140 --> 01:38:33.140]   Yes, it's it's kind of a tuxedo. It's like black and white show so much like you really
[01:38:33.140 --> 01:38:36.400]   Emphasizes the white space shows you how small the screen is
[01:38:36.400 --> 01:38:39.460]   You know what you do realize and did you like yeah?
[01:38:39.460 --> 01:38:42.220]   He's got white too look at that we got to overnight next one
[01:38:42.220 --> 01:38:47.180]   I got will be black the iPad what did I get for the iPad actually I don't remember now white and
[01:38:47.180 --> 01:38:52.500]   Oh, so the choices on the galaxy you're gonna wear white shoes and you get a yacht
[01:38:52.500 --> 01:38:59.220]   Yeah, I am John as a matter of fact so the galaxy s3 comes in either either
[01:38:59.220 --> 01:39:02.500]   Pebble blue or
[01:39:02.500 --> 01:39:07.860]   Metallic white I got the white for that. I think my whole wardrobe is going one excellent. Thank you
[01:39:08.460 --> 01:39:12.020]   There's actually a bunch of yachts pack parked parked out the turning basin right now
[01:39:12.020 --> 01:39:14.780]   But I didn't see him. Yeah, there's a ton of them. Huh?
[01:39:14.780 --> 01:39:18.220]   Google can I do this story now?
[01:39:18.220 --> 01:39:23.740]   What what story let me take a break come back and do more. There you go. What do you say you want it?
[01:39:23.740 --> 01:39:24.940]   You want to take a walk?
[01:39:24.940 --> 01:39:29.300]   No, I'm good. Are you having bladder issues prostate problems is there something? No
[01:39:29.300 --> 01:39:32.940]   You want to tell us about no, yeah, I'm gonna tell you okay. I'll tell you about it
[01:39:32.940 --> 01:39:35.540]   Where is the Pellegrino?
[01:39:35.540 --> 01:39:39.420]   Can we have scrounging around you know what I'm doing some fizzy
[01:39:39.420 --> 01:39:45.380]   Before I draw the drawers and you got five refrigerators back there and they're filled with nothing but diet coke
[01:39:45.380 --> 01:39:49.100]   Where is the Pellegrino? That's what I want to know. There's no Pellegrino
[01:39:49.100 --> 01:39:52.420]   That's what I'm doing. I'm looking for something to drink. God. I wish Pellegrino
[01:39:52.420 --> 01:39:57.380]   I used to have the cottage used to be stuck to the gills with quality wine
[01:39:57.380 --> 01:40:02.260]   You know, that's a good point. I don't know what happened got a bunch of drunks working for you
[01:40:02.260 --> 01:40:08.660]   That's what happened drinking it. That's exactly right. They've been drinking it and I know exactly who to you know
[01:40:08.660 --> 01:40:11.580]   There's a thing called a lock and key. I might have to get one
[01:40:11.580 --> 01:40:16.860]   We do have a cage in the basement, don't we but we've been keeping Burke down there. So I don't know if I
[01:40:16.860 --> 01:40:19.020]   That's what's
[01:40:19.020 --> 01:40:21.020]   That's what that noise is coming from
[01:40:21.020 --> 01:40:28.780]   Let me tell you about square space. You know what Burke could do that down he could actually create a square space site
[01:40:28.780 --> 01:40:31.260]   Let me add it here. Let's do it right now
[01:40:31.900 --> 01:40:34.260]   Let me let me do it right now help. I'm Burke
[01:40:34.260 --> 01:40:37.700]   McQuinn and
[01:40:37.700 --> 01:40:40.700]   Burke at
[01:40:40.700 --> 01:40:44.900]   Twit TV and we'll kind of call this help. I'm
[01:40:44.900 --> 01:40:49.060]   In the basement
[01:40:49.060 --> 01:40:55.540]   Dot squarespace calm and we'll make the password be let me out
[01:40:55.540 --> 01:41:01.140]   All right, so we're gonna create a new website now. This is the view. This is that's how easy it is to create a new website on
[01:41:01.140 --> 01:41:05.340]   And help. I'm in the basement and look it's already kind of you know boom
[01:41:05.340 --> 01:41:09.740]   These are the buttons up here. You can write revise publish
[01:41:09.740 --> 01:41:11.900]   build organize and architect
[01:41:11.900 --> 01:41:16.900]   This is where you can figure pages and widgets and you can add buttons and so forth and I got to tell you
[01:41:16.900 --> 01:41:19.460]   Let's start with the design and stock cuz they have so many great styles
[01:41:19.460 --> 01:41:23.940]   Built into here. This is the help. This is they really walk you through it
[01:41:23.940 --> 01:41:30.740]   I mean they make it as easy as possible. You've got hundreds of beautiful styles all professionally designed
[01:41:31.700 --> 01:41:39.180]   This is a usonian, which is a very nice clean one, but we can get we can get more templates once you start with a template then you will
[01:41:39.180 --> 01:41:43.420]   Pick some styles based on the template. I mean I just
[01:41:43.420 --> 01:41:50.060]   You couldn't be easier and the thing is it's great about this is each site is unique now another thing that's fantastic
[01:41:50.060 --> 01:41:56.500]   Is they have these great Google fonts? So I can I can modify this help them in the basement?
[01:41:56.500 --> 01:42:00.620]   I can choose from a variety 300 different fonts in the Google font library now
[01:42:00.620 --> 01:42:04.500]   That's what's cool because the Google font let's create a style and save that out all right
[01:42:04.500 --> 01:42:09.840]   Because you're gonna have a unique style here the look at these fonts. I mean just incredible
[01:42:09.840 --> 01:42:14.580]   There we go and I've got I
[01:42:14.580 --> 01:42:17.420]   can scroll through
[01:42:17.420 --> 01:42:22.260]   I mean jockey one let's use the jockey one font or goblin or
[01:42:23.060 --> 01:42:30.180]   Gloria or these are all and these are all compatible with every browser because Google's got this really cool system where you
[01:42:30.180 --> 01:42:33.580]   You get you actually download the font and it's really cool
[01:42:33.580 --> 01:42:38.860]   300 plus fonts that's gonna that's gonna make a big difference. That's not a great look
[01:42:38.860 --> 01:42:43.140]   I don't even can't even tell you what I gave you the password
[01:42:43.140 --> 01:42:47.660]   It's it's help. I'm in the basement that squarespace.com the password is let me out
[01:42:47.660 --> 01:42:54.460]   I will let you the audience go to work on that while I talk some more about the fabulous squarespace.com
[01:42:54.460 --> 01:42:57.540]   You know, it's great the price now that was the triad free
[01:42:57.540 --> 01:42:59.020]   You don't need to use our offer code or anything
[01:42:59.020 --> 01:43:05.180]   But if you decide to buy if you use the offer code twit five you're gonna get 10% off your first purchase make it an annual purchase
[01:43:05.180 --> 01:43:11.820]   Eight dollars a month when you buy annually for the basic go for the unlimited unlimited pages unlimited bandwidth
[01:43:11.820 --> 01:43:15.540]   I don't know any other web hosting company that does this unlimited storage
[01:43:15.980 --> 01:43:17.740]   free custom domain
[01:43:17.740 --> 01:43:22.940]   16 bucks a month and take another buck 60 off of that because you're gonna get 10% off when you use twit five for the first year
[01:43:22.940 --> 01:43:25.060]   This is so fantastic
[01:43:25.060 --> 01:43:27.580]   You've got you've got
[01:43:27.580 --> 01:43:32.860]   The best hosting you've got the best software for content management always secure always safe
[01:43:32.860 --> 01:43:40.140]   You cannot bring a squarespace site down and by the way, we could even tie it to it custom domain because they're gonna throw in for the month of May
[01:43:40.140 --> 01:43:45.860]   free domain registration plus set up with the with the annual package
[01:43:46.580 --> 01:43:49.780]   Let me add it here says Burke. I'm in the basement
[01:43:49.780 --> 01:43:57.580]   Let me just see I wonder I'm in the basement help. I'm in the basement that squarespace
[01:43:57.580 --> 01:44:01.860]   That's somebody's changed the name of the verge. I don't know if I like that the verge
[01:44:01.860 --> 01:44:05.300]   It's the new verge. Who is the verge?
[01:44:05.300 --> 01:44:11.860]   This is always fun. I always enjoy this effect. Let's just a browse browse the site here and see
[01:44:14.580 --> 01:44:18.220]   Don't even know there's Burke. There's Burke right there. Make good
[01:44:18.220 --> 01:44:25.300]   I'm in the basement. I've given the keys away to this anybody who wants to use it. Go ahead
[01:44:25.300 --> 01:44:31.780]   It's a help. I'm in the basement that squarespace.com the password is let me out by the end of the show
[01:44:31.780 --> 01:44:37.420]   We'll have something fun going on there. I just love squarespace. That's how easy it is to create a site very fast very easy
[01:44:37.420 --> 01:44:41.620]   Very very professional unless you do that
[01:44:43.300 --> 01:44:47.780]   Here's an album of pictures taken from project glass
[01:44:47.780 --> 01:44:50.900]   Are you gonna get these glasses?
[01:44:50.900 --> 01:44:54.340]   That's it one
[01:44:54.340 --> 01:45:00.540]   No, both of good. Thank goodness. These are all people wearing these. I think this was them from the Google+
[01:45:00.540 --> 01:45:08.820]   Conference oh they were handed now. I guess these are not working. I know there's a Google+ conference. Yeah photo conference
[01:45:08.820 --> 01:45:13.460]   Google+ photography conference look at Trey Radcliffe look at dashing in those
[01:45:13.460 --> 01:45:17.700]   I don't know if those were functioning or not. It seems unlikely seems does seem unlikely
[01:45:17.700 --> 01:45:21.900]   Let me see here
[01:45:21.900 --> 01:45:28.180]   Here's a video sample from the GLAP project pass those amends back you like those the Frank goes well
[01:45:28.180 --> 01:45:30.180]   I'll probably never have them again
[01:45:30.180 --> 01:45:36.740]   Little ad little ad
[01:45:37.300 --> 01:45:41.540]   So this is 15 seconds long a shot in 720p
[01:45:41.540 --> 01:45:45.940]   I don't know what I'm looking at is this an ad
[01:45:45.940 --> 01:45:48.980]   This is an ad
[01:45:48.980 --> 01:45:53.460]   Forget it. This is an ad. I don't even want to see it. There's like a beer ad making pay ya make me
[01:45:53.460 --> 01:45:59.180]   Yeah, they're gonna get mad. Oh here it is here. It is video from a Google glasses of a guy on a trampoline. I
[01:45:59.180 --> 01:46:06.900]   Don't know what that bell is. I think it's my chatroom keeps banging at me. That's a guy that's it right there
[01:46:06.900 --> 01:46:11.540]   See if you had a camera in your glasses, you could shoot this kind of video and now back probably not
[01:46:11.540 --> 01:46:14.660]   Looks like the beer ads at the beginning and the end
[01:46:14.660 --> 01:46:18.820]   Lord
[01:46:18.820 --> 01:46:22.980]   All right, I'm closing that I'm closing that
[01:46:22.980 --> 01:46:28.020]   Microsoft has asked Google to remove search results
[01:46:28.020 --> 01:46:34.340]   For Microsoft stuff, but they're gonna leave them on Bing now. This is an interesting way to oh this is dumb
[01:46:34.980 --> 01:46:39.300]   Google the nerve of these people you couldn't you can never navigate the Microsoft site
[01:46:39.300 --> 01:46:42.180]   Google says we get more than this is a story
[01:46:42.180 --> 01:46:47.380]   I kept trying to do more than 1.2 million takedown requests for search results every month
[01:46:47.380 --> 01:46:54.740]   And you know the number one complainant is Microsoft Microsoft. Yeah, they claim a copyright violation on half a million
[01:46:54.740 --> 01:46:57.780]   Search results and fringing search results
[01:46:57.780 --> 01:47:01.380]   You can find out because you can go through Google's transparency tool
[01:47:02.100 --> 01:47:08.100]   Some of these links are links to pirated Xbox content Google said okay. We'll take them down Microsoft Bing
[01:47:08.100 --> 01:47:13.780]   They're still there. So if you want to search for pirated Xbox content, where do you go Bing Bing?
[01:47:13.780 --> 01:47:23.060]   The number one organization demanding takedowns from Google is one of Microsoft's neighbors in Redmond, Washington a firm called market fly
[01:47:23.060 --> 01:47:26.180]   Which is also employed employed by Microsoft?
[01:47:28.260 --> 01:47:35.220]   So uh, presuming I guess that market fly is asking it to remove it on behalf of Microsoft since they're all Xbox
[01:47:35.220 --> 01:47:38.260]   issues
[01:47:38.260 --> 01:47:45.140]   It could be according to the Verge given the sheer size and complexity of sifting through and reporting hundreds of thousands of URLs each month
[01:47:45.140 --> 01:47:47.060]   Microsoft
[01:47:47.060 --> 01:47:49.060]   Can't do it
[01:47:49.060 --> 01:47:52.740]   Themselves that's funny. It's actually quite funny. That's right. Yeah
[01:47:53.540 --> 01:47:56.500]   Twitter says we'll support do not track in this stunning
[01:47:56.500 --> 01:48:00.900]   Admission that they don't really need to use do not track so we'll support it
[01:48:00.900 --> 01:48:05.940]   They have nothing to track. Yeah, don't drag anything. Why track so by the way?
[01:48:05.940 --> 01:48:13.380]   We at the channel devorek.com and also the devorek blog and the no agenda show dot com. Yes, we're not tracking anybody
[01:48:13.380 --> 01:48:15.380]   We've decided against it
[01:48:15.380 --> 01:48:21.940]   Thank you. It's a risk breaking. That should be a headline should John see the vorax says we will honor do not track requests. Yes
[01:48:22.660 --> 01:48:25.300]   I should do the same. You should you we track anybody
[01:48:25.300 --> 01:48:28.980]   John do we no we don't try
[01:48:28.980 --> 01:48:32.020]   Twit for he does some guy in the back does
[01:48:32.020 --> 01:48:34.980]   He's with the FBI. He's trying to now
[01:48:34.980 --> 01:48:41.060]   I would like you sir to pledge along with me and john c devorek that you too will honor do not track
[01:48:41.060 --> 01:48:44.500]   Will you will you will you pledge along with us sir?
[01:48:44.500 --> 01:48:47.380]   Wait a minute. That's berg
[01:48:47.380 --> 01:48:49.540]   Works for you
[01:48:50.660 --> 01:48:52.660]   Talking about a setup
[01:48:52.660 --> 01:48:57.860]   Ah, did you know that apple has a vibrating pen? Yeah, you should as a pen
[01:48:57.860 --> 01:49:02.980]   It's a patent it's a patent
[01:49:02.980 --> 01:49:08.820]   We don't know if they have the pen but they have patented a vibrating pen that makes noise according to mike elk
[01:49:08.820 --> 01:49:10.820]   It makes noise
[01:49:10.820 --> 01:49:15.300]   That's exactly noise. It's a haptic pen. Yeah
[01:49:16.740 --> 01:49:21.940]   It's a tiny speaker which is design abuse on touch screens to make you feel like you're actually writing
[01:49:21.940 --> 01:49:30.020]   Make the nice smooth screen feel like yeah, like yeah canvas or something burlap
[01:49:30.020 --> 01:49:33.700]   I don't pay that much attention to patents like this because I figure it could just be
[01:49:33.700 --> 01:49:37.940]   In it's like one of those just in case we want to make one patents
[01:49:37.940 --> 01:49:40.580]   Doesn't mean they're actually going to make it
[01:49:41.780 --> 01:49:46.500]   I think it'd be cool if you had a pen that had a speaker in like that and then as you as you wrote like j
[01:49:46.500 --> 01:49:49.300]   Oh, it would say j
[01:49:49.300 --> 01:49:51.220]   Oh
[01:49:51.220 --> 01:49:54.420]   The live scribe does that I think live scribble it actually an answer as you're writing
[01:49:54.420 --> 01:49:58.180]   Uh, it'll do the words. I think the words are different
[01:49:58.180 --> 01:50:00.340]   Microsoft
[01:50:00.340 --> 01:50:03.620]   NBC wants to buy microsoft share of msnbc.com and just
[01:50:03.620 --> 01:50:06.420]   have it to itself
[01:50:06.420 --> 01:50:10.020]   What does microsoft have to do? Why did why is I thought that deal was done long ago?
[01:50:10.100 --> 01:50:14.340]   They killed the tv, you know, mbc bought msnbc the tv network for microsoft
[01:50:14.340 --> 01:50:18.180]   But microsoft still owns a significant stake in msnbc.com
[01:50:18.180 --> 01:50:23.060]   Really? Yeah, huh? I don't know why I don't either
[01:50:23.060 --> 01:50:31.620]   Okay, I don't know what this headline means. I'm just gonna I'm just gonna read it and maybe you can parse it for me
[01:50:31.620 --> 01:50:34.420]   iPhone
[01:50:34.420 --> 01:50:40.820]   Theif's Disney Cruise adventure goes on public display in owner's facebook album
[01:50:40.820 --> 01:50:47.220]   See katie macafrey who owned an iphone has a public facebook photo album
[01:50:47.220 --> 01:50:51.540]   But apparently a Disney cruise ship employee named nelson
[01:50:51.540 --> 01:50:57.220]   Stoller phone and started taking pictures started taking pictures which are automatically uploading where
[01:50:57.220 --> 01:51:00.820]   To katie macafrey's facebook the problem with this world
[01:51:01.620 --> 01:51:06.260]   So katie has created basically the stolen iphone adventures gallery
[01:51:06.260 --> 01:51:11.300]   This is the guy
[01:51:11.300 --> 01:51:13.300]   She has the guys that is boyfriend
[01:51:13.300 --> 01:51:18.980]   Maybe it's his boyfriend. I don't know. I don't know who this is. It's not katie. This is nelson's girlfriend
[01:51:18.980 --> 01:51:23.140]   Or his mom katie, which is nice. She's captioning these
[01:51:23.140 --> 01:51:25.700]   Apparently she works at the spa
[01:51:27.540 --> 01:51:31.540]   Nelson likes to take photos of buildings in mexico with stolen phones. She says
[01:51:31.540 --> 01:51:35.220]   He also likes to take photos of kabos on lucas
[01:51:35.220 --> 01:51:38.100]   So this idiot doesn't know
[01:51:38.100 --> 01:51:43.780]   Unless he has no idea that he is posting these pictures. Are you sure this is in bogus?
[01:51:43.780 --> 01:51:47.780]   John you're such a cynic long just saying it's a hundred commercial
[01:51:47.780 --> 01:51:49.700]   Yeah
[01:51:49.700 --> 01:51:51.460]   Could be
[01:51:51.460 --> 01:51:55.700]   So it just seems by this the guy is an idiot. Well, how would he know he's on a boat?
[01:51:57.220 --> 01:52:01.220]   Would the can he go check his settings and see that he's linked to something? He does not pay any attention
[01:52:01.220 --> 01:52:06.740]   He's just taking pictures. They're on the phone. They appear on the phone. So he thinks he's got him. There he is. He's cool
[01:52:06.740 --> 01:52:12.740]   Very chill. She writes. I love it that she she is just captioning his pictures as he takes him
[01:52:12.740 --> 01:52:15.460]   Here's the crude dining room that nelson likes to eat in
[01:52:15.460 --> 01:52:21.140]   Here's a bird nelson needed a photo of
[01:52:23.780 --> 01:52:29.780]   By the way, harry, thank you for the friend request. I'm going to confirm that I'm going to refer confirm that right now
[01:52:29.780 --> 01:52:32.740]   That is so sweet your name wrong the first time. Yeah
[01:52:32.740 --> 01:52:37.460]   This is me. This is the real me now we're buddies you and me is that how it works
[01:52:37.460 --> 01:52:42.100]   If you ever steal my iphone expect trouble buddy. That's amazing. You can do that
[01:52:42.100 --> 01:52:45.140]   Acknowledge is stunning
[01:52:45.140 --> 01:52:51.460]   Apparently her phone was stolen last month and his photos are just making it now to her photo stream
[01:52:52.260 --> 01:52:54.260]   Uh, I presume at this point she's
[01:52:54.260 --> 01:52:59.140]   Reported him but she knows she knows exactly knows his name and for pal
[01:52:59.140 --> 01:53:02.900]   I think I probably took a lot of self pictures if you know what i'm saying
[01:53:02.900 --> 01:53:08.340]   There's probably some stuff in there that you have to pull. Oh, I didn't even think of that. You know these guys. She should circle him
[01:53:08.340 --> 01:53:10.820]   Yes, sir
[01:53:10.820 --> 01:53:15.780]   Uh, did you watch the space x launch? Very very cool the space x dragon three in the morning when it took off
[01:53:15.780 --> 01:53:18.260]   No, I didn't watch it. I watched a rerun
[01:53:19.300 --> 01:53:27.380]   Um, the space x dragon capsule has been captured by the iss is the first time a commercial really vehicle has ever landed at the international space station
[01:53:27.380 --> 01:53:33.780]   Was Boeing that's not a commercial company? Oh, it's Donald Douglas those guys they make jets and rockets
[01:53:33.780 --> 01:53:39.140]   Yeah, but those were at the bottom on the behalf of the u.s government. Oh, I thought nasa was a prime of these guys
[01:53:39.140 --> 01:53:41.220]   No, I don't think so
[01:53:41.220 --> 01:53:43.220]   For free
[01:53:43.220 --> 01:53:48.180]   They're trying to win the this elan musk is guys been in his uh, he spent his tesla money
[01:53:48.260 --> 01:53:51.700]   I'm telling you it's it's uh, stavros blowfeld you watch
[01:53:51.700 --> 01:53:54.660]   Starro's coming
[01:53:54.660 --> 01:53:56.660]   That is pretty that is pretty cool
[01:53:56.660 --> 01:53:59.300]   Uh, here's if video of the
[01:53:59.300 --> 01:54:02.500]   They have a big nasa contract or as
[01:54:02.500 --> 01:54:05.060]   Uh good sound says a big nasa
[01:54:05.060 --> 01:54:09.540]   Oh nasa nasa paid them for the shipment. I get it. So they're bringing
[01:54:09.540 --> 01:54:12.180]   Yeah, isn't that what Boeing did stuff up
[01:54:12.180 --> 01:54:16.100]   Mm. What did mcdonald Douglas?
[01:54:16.100 --> 01:54:21.300]   russian rocket rocket martin effort to them there's a 1.6 billion dollar counter. That's cool
[01:54:21.300 --> 01:54:27.620]   That's actually cool. So that means like this is now becoming like, you know commerce. Yeah, it's just rocketry on the cheap
[01:54:27.620 --> 01:54:29.540]   The ibm has
[01:54:29.540 --> 01:54:33.700]   Band syri from uh, it's the ibm building good idea
[01:54:33.700 --> 01:54:36.580]   If you work for ibm
[01:54:36.580 --> 01:54:41.140]   I'm sure the nsa wouldn't have a bunch of those in their offices either
[01:54:41.140 --> 01:54:44.980]   You can bring your iphone, but they block syri traffic
[01:54:45.380 --> 01:54:48.500]   Why because syri ships everything you say
[01:54:48.500 --> 01:54:52.580]   To a big data center in north carolina owned by apple
[01:54:52.580 --> 01:54:55.860]   And yet they a lot people use google
[01:54:55.860 --> 01:54:58.020]   Yeah, right
[01:54:58.020 --> 01:55:01.700]   ibm cio janet horen told mit technology review
[01:55:01.700 --> 01:55:07.300]   We banned syri because the company worries that the spoken queries might be stored elsewhere
[01:55:07.300 --> 01:55:13.620]   They will be well of course they will but what do you think apple's like combing them for
[01:55:14.420 --> 01:55:17.780]   Revelations about ibm if you're in stock investor be handy
[01:55:17.780 --> 01:55:20.420]   syri
[01:55:20.420 --> 01:55:24.900]   But the chat room's all over my case about my comment about the rocket what about it?
[01:55:24.900 --> 01:55:33.780]   Uh, you know, they're Boeing didn't they didn't launch the rocket. It was a nasa personnel. I think you're right. I agree. I agree
[01:55:33.780 --> 01:55:39.620]   Um, if you see if you've seen have any if you seen maybe harry saw this the leap 3d motion control
[01:55:40.020 --> 01:55:44.820]   That is great. That is the that if that works $70 which basically connects
[01:55:44.820 --> 01:55:49.220]   I wonder if it works, but if it works, this is the biggest deal going. Do I have you seen this thing?
[01:55:49.220 --> 01:55:53.380]   I've seen the video, but I want one. Yeah
[01:55:53.380 --> 01:56:00.500]   Um, it's one bad. This is going to be the hottest thing ever if it works as if it was advertised which i doubt by the way
[01:56:00.500 --> 01:56:07.220]   The company's a startup has significant funding it's scheduled launch early next year at $70 and this video has been removed by the user
[01:56:08.020 --> 01:56:10.020]   Yeah
[01:56:10.020 --> 01:56:12.020]   Well so much for that
[01:56:12.020 --> 01:56:22.420]   Pre-orders, but i'm not sure i'd want to order it if it's not available till january. That's a lot of wouldn't uh, just wait wait and and let somebody like kara or
[01:56:22.420 --> 01:56:27.380]   Do I review it? Yeah, well, he looks cool. I already said he wouldn't do it. Yeah
[01:56:27.380 --> 01:56:31.460]   I'll buy it. Yeah, you would for sure wait for me to buy it for 70 bucks
[01:56:31.460 --> 01:56:35.700]   You know 70 bucks is how much a it won't be a magic mouse or the magic trackpad
[01:56:36.820 --> 01:56:40.020]   So right to be worth it when it came out. It won't be 70 bucks
[01:56:40.020 --> 01:56:44.660]   So we've done all the juicy good stuff that we were gonna do now
[01:56:44.660 --> 01:56:52.340]   We did at the beginning of the show we front loaded the show so we could stop we can yeah go have us some fizzy water there is none
[01:56:52.340 --> 01:56:56.500]   We gave you frango mints for crying out. Well, that was a they were good
[01:56:56.500 --> 01:57:00.820]   But it would be better with a little pellegrino where yes exactly that's what i was thinking or some
[01:57:00.820 --> 01:57:03.620]   quality wine wish you don't have either so
[01:57:03.620 --> 01:57:06.420]   Where did these come from?
[01:57:06.820 --> 01:57:13.300]   Somebody dropped them off bob brought him bob bob and his wife i'm trying to remember his name bottom jackie bob and jackie dropped
[01:57:13.300 --> 01:57:17.620]   Bob and jackie brought him from chica from chicago. Yeah, they brought him. Yeah, well that was a good idea
[01:57:17.620 --> 01:57:19.940]   Yeah, it was nice of them. They also brought me a marshal fields mug
[01:57:19.940 --> 01:57:24.660]   Really? Yeah, and and i'm very grateful to them it's fascinating
[01:57:24.660 --> 01:57:29.300]   And uh, and you see all these people here they all brought us stuff too, but now that they've seen the show they were gonna keep it
[01:57:29.300 --> 01:57:31.140]   I don't blame him
[01:57:31.140 --> 01:57:36.340]   You did the best we could we tried there was just a bad week. That's all i can say john c de vora can be found
[01:57:36.340 --> 01:57:43.140]   Oh the week ahead. Oh, yeah, don't forget good old tom merit might be able to redeem us. Let's see tom merit
[01:57:43.140 --> 01:57:48.100]   What's coming up this week? Hey, thanks leo here's some things we'll be keeping an eye on for tech news today in the week ahead
[01:57:48.100 --> 01:57:52.900]   Tuesday may 29th. It's d 10 the all things d conference kicking off for a couple days
[01:57:52.900 --> 01:57:59.860]   Wednesday may 30th nokia is discontinuing ovi share in case you remembered what it was thursday may 31st
[01:58:00.100 --> 01:58:06.580]   Gigabyte is unveiling the x 11 which they say is the lightest laptop ever and friday june first best by connect
[01:58:06.580 --> 01:58:10.660]   Well, no longer accept new activations. That was their phone service. It's being
[01:58:10.660 --> 01:58:17.620]   Retired and tech news today celebrates. It's two year anniversary. So thank you for that. That's a look at the week ahead
[01:58:17.620 --> 01:58:21.700]   Actuilia probably means tom's contract is up. That's why he'd be bringing these look a version go
[01:58:21.700 --> 01:58:27.140]   So one more time. Let's check uh help. I'm in the basement dot squarespace.com
[01:58:29.220 --> 01:58:33.700]   Yeah, one of our great one of our jokers no agenda
[01:58:33.700 --> 01:58:37.140]   There's a great picture of uh of birk
[01:58:37.140 --> 01:58:42.820]   Uh behind the bars somebody's done an ad for the verge more adam curry pictures
[01:58:42.820 --> 01:58:49.220]   And uh pizza body grass who hasn't had autograph picture of adam somebody has an autograph picture of adam curry
[01:58:49.220 --> 01:58:55.940]   It's kind of and no adam agenda. It's called rick asli approved this website on august second 1991
[01:58:57.140 --> 01:58:59.140]   And there's another picture of birk
[01:58:59.140 --> 01:59:07.060]   This is good. This is what squarespace lets you do instant websites. I wonder what the deal is with the bagel bites
[01:59:07.060 --> 01:59:09.460]   I don't know. It is a bit of a video
[01:59:09.460 --> 01:59:17.060]   Okay, that's kind of annoying boy. No kidding
[01:59:17.060 --> 01:59:23.460]   A little annoying is to say the least wait a minute. Is that more? No, it's a honda ad
[01:59:24.020 --> 01:59:30.180]   It's did you just update it? We've got people in the audience updating it and now but I don't want to be a pirate help
[01:59:30.180 --> 01:59:32.580]   I'm in the basement with dancing
[01:59:32.580 --> 01:59:38.340]   It's all laughing all dancing adam curry videos. Is that that's great
[01:59:38.340 --> 01:59:41.860]   Okay
[01:59:41.860 --> 01:59:47.460]   Oh, I love it. I love it. By the way bagel bites suck and we were pizza rolled
[01:59:47.460 --> 01:59:51.300]   Thank you all for being here. We uh do this show every sunday afternoon 3 p.m
[01:59:51.300 --> 01:59:56.420]   Pacific often with this fella john c to vorak channeled of orak i'd be here next week will you yes?
[01:59:56.420 --> 01:59:58.900]   I was scheduled already be booked chat. I asked chat
