
[00:00:00.000 --> 00:00:05.600]   It's time for Twit this weekend taking all in studio panel Nathan Olaveras, Giles, Rob Reed and
[00:23:43.520 --> 00:23:50.080]   They explicitly said they did not right? They said that they didn't and our memories are so faulty like if you asked me how many things
[00:23:50.080 --> 00:23:57.080]   I've signed up with I have no clue. I have absolutely no clue. I can barely remember use one password put on two factor authentication
[00:23:57.080 --> 00:24:02.800]   Well, I don't want to I don't want to oversimplify this but exactly like it seems as though
[00:24:02.800 --> 00:24:06.640]   The way to protect yourself if you're worried about this is to change your password
[00:24:06.640 --> 00:24:13.760]   To something unique. Yeah, you're hopefully not using on another service or use one password to remember that or yeah password manager like one password
[00:24:13.760 --> 00:24:17.920]   Last pass and then turn on two factor authentication because even if they have the password
[00:24:18.320 --> 00:24:22.400]   And if they use it if they have two factor, they're not going to get that you need to do that
[00:24:22.400 --> 00:24:24.880]   So do that and if you don't have two factor on turn it on
[00:24:24.880 --> 00:24:28.000]   Things like we're all going to be okay here
[00:24:28.000 --> 00:24:33.600]   And these this is the sort of advice that I think all of us give out to our friends and family all the time
[00:24:33.600 --> 00:24:35.200]   um
[00:24:35.200 --> 00:24:42.640]   And so it should be a fairly easy fix and I don't think apple's gonna set on email telling everybody to change their passwords or anything
[00:24:42.640 --> 00:24:45.200]   But if you're watching this show and if you're worried about it
[00:24:45.440 --> 00:24:50.800]   Like that's what you should do and you can protect yourself fairly easily. Is that an oversimplification of things or no?
[00:24:50.800 --> 00:24:55.120]   I think you're you should still change the password but between two factor everywhere you can
[00:24:55.120 --> 00:25:00.160]   Does the article indicate um how much zd net was able to raise in their own ransom from these 10
[00:25:00.160 --> 00:25:04.720]   I got five i2c guys. I'm glad to give you
[00:25:04.720 --> 00:25:09.360]   They actually mocked this group. They said based on our experience and our interactions with the group and its members
[00:25:09.360 --> 00:25:12.160]   It's evident the group is naive and inexperienced. Oh, man
[00:25:12.880 --> 00:25:15.680]   You don't say that to hackers. It really feels like a troll though
[00:25:15.680 --> 00:25:18.560]   It's almost a troll based on its grandiose claims
[00:25:18.560 --> 00:25:22.480]   And it's cherry picking of media outlets because they called media outlets
[00:25:22.480 --> 00:25:27.760]   Uh, they also said when we began asking the group questions the conversation quickly turned to whether
[00:25:27.760 --> 00:25:35.360]   CBS news which owns zd net would cover this too. Yeah, uh, can you get those on cbs news? I
[00:25:35.360 --> 00:25:38.960]   Really like that scut the pelly. He's a great guy
[00:25:39.600 --> 00:25:45.360]   I don't I mean the group also appears according to zd net disorganized and unable to maintain order with its own ranks
[00:25:45.360 --> 00:25:49.360]   Seen by the apparent firing of one of its members who ran the twitter account
[00:25:49.360 --> 00:25:53.520]   And weaving a red cape at a ball right now the dude the author of this
[00:25:53.520 --> 00:25:56.160]   I don't want to out them or anything. Yes, they did
[00:25:56.160 --> 00:26:00.960]   Yes, that's and i'm not gonna say it can't seem to say a message is evidenced by the need to correct the record after reporters
[00:26:00.960 --> 00:26:03.440]   Quote misunderstood the situation abritch
[00:26:03.440 --> 00:26:09.200]   Means this is a paste bin quote from the group the hacker. What is it the turkish turkish crime?
[00:26:09.440 --> 00:26:10.960]   Crime family
[00:26:10.960 --> 00:26:12.800]   It's like don't ease the pronto tcf
[00:26:12.800 --> 00:26:20.400]   Hey, abritch means nothing in 2017 when you can just pull the exact same user information and smaller scales through companies that aren't as secure
[00:26:20.400 --> 00:26:22.480]   Ah, that's what they're kind of saying
[00:26:22.480 --> 00:26:25.680]   Maybe they you know what they might have gotten as a password vaults, right?
[00:26:25.680 --> 00:26:29.280]   It would identify it as I cloud information possible
[00:26:29.280 --> 00:26:35.040]   zd net says we can't be sure this is something big but based on reporting are reporting. We can't say that it's nothing
[00:26:36.080 --> 00:26:39.200]   So that's why we're either massive or nothing
[00:26:39.200 --> 00:26:42.400]   I'm gonna vote for me. What about for man?
[00:26:42.400 --> 00:26:46.480]   But it's always a good idea turn on two factor change your password. Nothing wrong with that. Yep
[00:26:46.480 --> 00:26:49.600]   And that's a but that's a good template for future
[00:26:49.600 --> 00:26:55.440]   Yeah, because that is a real threat because if you have somebody's eye cloud account, you can wipe their mac you can wipe their iphone
[00:26:55.440 --> 00:27:00.400]   Yeah, you could be a bad bad person. Yeah matt honed and notoriously went through that when he was at wire if you're mad
[00:27:00.400 --> 00:27:02.560]   and he lost like
[00:27:03.040 --> 00:27:07.200]   A lot of pictures of his children and just like a ton of they can wipe your mac
[00:27:07.200 --> 00:27:13.120]   Well, they did go back wipe this is specifically because he did not have two factor turned on he was using his
[00:27:13.120 --> 00:27:17.680]   Uh the same password for iCloud and gmail if I remember correctly it was a sophisticated
[00:27:17.680 --> 00:27:20.640]   Amazon apple
[00:27:20.640 --> 00:27:21.760]   Uh
[00:27:21.760 --> 00:27:27.360]   So they so they got the last four digits of the credit card number by a social engineering hack
[00:27:27.360 --> 00:27:31.520]   I think with apple and then they went to amazon. They said we're changing the credit car
[00:27:31.760 --> 00:27:36.160]   It was a complicated multistate like a back door thing through amazon. I remember this. Yeah, it was
[00:27:36.160 --> 00:27:39.280]   reverse social engineering or matt
[00:27:39.280 --> 00:27:42.560]   And if the irony is this group that was doing it to matt
[00:27:42.560 --> 00:27:46.880]   Had only one goal. They wanted his twitter account because he had a three letter twitter handle
[00:27:46.880 --> 00:27:52.800]   Yeah, and matt is a valuable twitter handle. It turns out. I don't know if this is still true
[00:27:52.800 --> 00:27:57.680]   But in those days three years ago people would pay for that stuff kids wanted clever
[00:27:58.560 --> 00:28:05.120]   Handles, right there was a whole thing to get clever three letter handles. Yeah, so I worry for Alex will helms future
[00:28:05.120 --> 00:28:11.200]   What's what's his just Alex Alex? Right? Yeah, that's a nice. That's a nice one. I'm glad I didn't do at leo
[00:28:11.200 --> 00:28:16.640]   I could have you know, I joined early enough there were no other leos, but I went for my full name and i'm grateful at this point
[00:28:16.640 --> 00:28:23.600]   Uh, I cloud may have docked speaking of i cloud a journalist twitter attacker. This is an interesting slant
[00:28:23.600 --> 00:28:25.920]   on
[00:28:25.920 --> 00:28:31.440]   The story we already reported on kurt eichenwald who remember is the reporter for vanity fair
[00:28:31.440 --> 00:28:34.080]   who apparently upset
[00:28:34.080 --> 00:28:35.280]   a troll
[00:28:35.280 --> 00:28:39.520]   The trolls he's a kurt's epileptic the troll set him an epigenetic
[00:28:39.520 --> 00:28:46.640]   uh, he's got an enemy gift that that looked like a strobe. Yeah, yes. Yep hoping to send him into uh seizure
[00:28:46.640 --> 00:28:48.880]   and uh
[00:28:48.880 --> 00:28:54.960]   And so the we found out how this happened and that's kind of why the verge is saying i cloud may have docked
[00:28:55.600 --> 00:29:01.360]   twitter attacker because this was the this was the steps that the police used first. They sent a quarter to twitter
[00:29:01.360 --> 00:29:04.320]   Saying, you know, well, we know this account
[00:29:04.320 --> 00:29:11.680]   Uh, so twitter it was at jew_goldstein, which give you some idea of the the kind of person this is
[00:29:11.680 --> 00:29:14.960]   Uh twitter said, all right. Yeah, yeah, we'll give you all the data
[00:29:14.960 --> 00:29:20.400]   Uh, but the data showed only a dummy email address along with an ip address and phone numbers
[00:29:20.400 --> 00:29:22.160]   for a
[00:29:22.160 --> 00:29:24.720]   prepaid track phone, which is normally anonymous, but
[00:29:25.520 --> 00:29:31.200]   The the guy foolishly i should say this i put it in his iphone six. Yeah
[00:29:31.200 --> 00:29:33.920]   And so then they said well
[00:29:33.920 --> 00:29:38.640]   Let's go to apple to find out what i cloud accounts are associated with this phone number and apples at all yeah, we know who this is
[00:29:38.640 --> 00:29:41.680]   And that's how they got the guy
[00:29:41.680 --> 00:29:43.520]   Yeah, uh
[00:29:43.520 --> 00:29:46.800]   And so i or a ledge i should say allegedly
[00:29:46.800 --> 00:29:51.600]   But it is important to understand that you know, this is an example of
[00:29:52.560 --> 00:29:54.800]   There's information about yet they're all over the place
[00:29:54.800 --> 00:30:01.280]   Yeah, and then they use that information from icloud to be able to read his messaging where and his search is where he searched for
[00:30:01.280 --> 00:30:07.040]   How to induce an epileptic seizure and someone and you know messages of actually saying i'd like to
[00:30:07.040 --> 00:30:11.360]   You know have him have a seizure. Oh, he was sending dms to people saying i sent him
[00:30:11.360 --> 00:30:14.400]   Ha ha sent him a yeah bragging about it. Yeah, i hope he dies
[00:30:14.400 --> 00:30:19.200]   He really uh hurt the guy. I mean it said i was doing a little bit of research
[00:30:19.200 --> 00:30:20.240]   um
[00:30:20.240 --> 00:30:24.160]   While coming up here and apparently the guy had trouble speaking for weeks after word
[00:30:24.160 --> 00:30:27.280]   I mean he really really genuinely damaged the guy pretty badly
[00:30:27.280 --> 00:30:32.960]   He's as bad as an assault really. Yeah, it's almost it's like going through like an electro shop kind of your brain. He assaulted
[00:30:32.960 --> 00:30:36.000]   He assaulted this guy. That's that is an assault. Yeah, absolutely
[00:30:36.000 --> 00:30:40.240]   And that that's i think what is the most fascinating aspect about this to me is
[00:30:40.240 --> 00:30:45.920]   It's it's one of the first situations that i can think of where we're seeing trolling on the internet
[00:30:46.320 --> 00:30:48.320]   That has a real implication
