
[00:00:00.000 --> 00:00:02.500]   It's time for Twitch.
[00:17:52.160 --> 00:17:53.600]   But anyway, it's over.
[00:17:53.600 --> 00:18:00.600]   And I think it's time to, it's like the end of the Vietnam War, just time to move on and
[00:18:00.600 --> 00:18:01.600]   think of other things.
[00:18:01.600 --> 00:18:05.280]   I don't think lawsuits in Silicon Valley are really the right way to go, honestly, in
[00:18:05.280 --> 00:18:06.680]   the long run.
[00:18:06.680 --> 00:18:14.120]   Speaking of lawsuits, I am not happy about a California law, I'm sorry, a federal bill.
[00:18:14.120 --> 00:18:19.680]   I mean, get this story up, I don't have the link here, that just was proposed in the
[00:18:19.680 --> 00:18:26.960]   House of Representatives that would change the way patents work.
[00:18:26.960 --> 00:18:28.760]   And this one is a little personal for me.
[00:18:28.760 --> 00:18:31.560]   Do you remember the podcast troll?
[00:18:31.560 --> 00:18:32.560]   Yeah.
[00:18:32.560 --> 00:18:33.560]   Yeah.
[00:18:33.560 --> 00:18:34.560]   Oh, yes.
[00:18:34.560 --> 00:18:39.040]   Here's a story from, this is actually from the Center for Protection of Intellectual Property,
[00:18:39.040 --> 00:18:45.840]   which is a conservative think tank that wants this bill to be passed.
[00:18:45.840 --> 00:18:49.960]   The whole idea here was, when was this?
[00:18:49.960 --> 00:18:56.000]   A few years ago, there was a company down in Texas, a very popular place in Texas, East
[00:18:56.000 --> 00:18:57.480]   Texas, Tyler, Texas.
[00:18:57.480 --> 00:18:58.480]   Yeah.
[00:18:58.480 --> 00:18:59.480]   Where everybody sews.
[00:18:59.480 --> 00:19:01.120]   All the patent trolls.
[00:19:01.120 --> 00:19:07.880]   Now we want patent trolls is kind of a weighted, weighted, we'll call them non-practicing entities
[00:19:07.880 --> 00:19:08.880]   and piece.
[00:19:08.880 --> 00:19:09.880]   Okay.
[00:19:09.880 --> 00:19:10.880]   The patent trolls.
[00:19:10.880 --> 00:19:13.160]   They're the companies that don't actually make anything.
[00:19:13.160 --> 00:19:14.160]   They're non-practicing.
[00:19:14.160 --> 00:19:19.480]   They buy the rights to products so that they can go around demanding royalties.
[00:19:19.480 --> 00:19:23.360]   And there's a famous one that goes around to small businesses saying, "Do you have a
[00:19:23.360 --> 00:19:24.360]   copy machine?"
[00:19:24.360 --> 00:19:28.520]   Oh, we have the patent for copy machines.
[00:19:28.520 --> 00:19:30.880]   You have to pay us to use your copy machine.
[00:19:30.880 --> 00:19:36.040]   And these companies usually ask for such a small amount, only $10,000 or $20,000, that
[00:19:36.040 --> 00:19:40.760]   it's more expensive to say no than it is just to give them some money.
[00:19:40.760 --> 00:19:45.560]   So there was a patent troll in Tyler, Texas that was doing this for podcasts, as you remember.
[00:19:45.560 --> 00:19:47.360]   They went to Adam Corolla.
[00:19:47.360 --> 00:19:48.560]   They went to a lot of podcasters.
[00:19:48.560 --> 00:19:51.080]   They asked us for $2 million.
[00:19:51.080 --> 00:19:55.520]   See, that was a strategic mistake, by the way, because if they'd asked us for $50,000,
[00:19:55.520 --> 00:19:58.320]   I might have said, "Well, better just to give them the money because it's going to cost
[00:19:58.320 --> 00:19:59.320]   me.
[00:19:59.320 --> 00:20:00.520]   We got lawyers.
[00:20:00.520 --> 00:20:02.160]   We found out it would cost a million dollars.
[00:20:02.160 --> 00:20:04.440]   We'd have to go to Texas to defend."
[00:20:04.440 --> 00:20:07.240]   And I was so incensed, and they were asking so much, I said, "Doesn't matter.
[00:20:07.240 --> 00:20:08.480]   We're going to do it."
[00:20:08.480 --> 00:20:09.800]   So we hired attorneys and everything.
[00:20:09.800 --> 00:20:15.040]   Adam Corolla, you remember, had a crowdfunding campaign to raise money.
[00:20:15.040 --> 00:20:22.600]   But what happened and what ended up destroying this company was the Electronic Frontier Foundation.
[00:20:22.600 --> 00:20:27.440]   They did something that is still currently law, but that this new bill would overturn
[00:20:27.440 --> 00:20:31.600]   called an interpartase appeal.
[00:20:31.600 --> 00:20:36.440]   They go to the patent office and say, "Hey, dudes, I know you approved this patent many
[00:20:36.440 --> 00:20:41.340]   years ago, but you see how they're trying to apply it now?
[00:20:41.340 --> 00:20:43.180]   Is it still a good patent?"
[00:20:43.180 --> 00:20:46.240]   And in the case of the podcast troll, they overturned it.
[00:20:46.240 --> 00:20:48.880]   The patent and trademark office said, "No, no, that's ridiculous."
[00:20:48.880 --> 00:20:50.800]   But that's a huge risk.
[00:20:50.800 --> 00:20:56.120]   It's a huge risk when they do that, because if you lose that case, it strengthens the other
[00:20:56.120 --> 00:20:57.120]   party.
[00:20:57.120 --> 00:20:58.120]   Right.
[00:20:58.120 --> 00:21:02.720]   You could say, "Well, see, the patent office agreed that it's a good patent."
[00:21:02.720 --> 00:21:06.280]   It's funny that you know this, Wesley, because that's exactly what our lawyers said, "Don't
[00:21:06.280 --> 00:21:09.000]   do that.
[00:21:09.000 --> 00:21:13.040]   If you do that, you're running a huge risk."
[00:21:13.040 --> 00:21:18.240]   So we didn't, but we don't control the EFF and the EFF did.
[00:21:18.240 --> 00:21:21.000]   And that's what EFF does.
[00:21:21.000 --> 00:21:24.040]   I actually gave them several thousand dollars when they announced it.
[00:21:24.040 --> 00:21:25.200]   I said, "Good.
[00:21:25.200 --> 00:21:26.200]   Good luck."
[00:21:26.200 --> 00:21:27.200]   And they won.
[00:21:27.200 --> 00:21:34.080]   And this bill, it's got a terrible name, too.
[00:21:34.080 --> 00:21:40.320]   It's called, let me find the name, Representative Massey introduced this, "The Restoring America's
[00:21:40.320 --> 00:21:48.680]   Leadership in Innovation Act of 2018, HR 6264.
[00:21:48.680 --> 00:21:51.880]   It eliminates Interpartase Review.
[00:21:51.880 --> 00:21:54.240]   It eliminates Post-Grant Review.
[00:21:54.240 --> 00:21:56.720]   It eliminates any appeal.
[00:21:56.720 --> 00:22:02.720]   Essentially, it is a bill clearly designed to support people who have patents, including
[00:22:02.720 --> 00:22:08.000]   patent trolls, and to really reduce your ability to fight those trolls.
[00:22:08.000 --> 00:22:12.800]   And it would have, in my opinion, exactly the opposite of supporting innovation.
[00:22:12.800 --> 00:22:13.800]   Yeah, exactly.
[00:22:13.800 --> 00:22:18.000]   The "Rizbit Agi-Pai."
[00:22:18.000 --> 00:22:19.000]   Go ahead, Wesley.
[00:22:19.000 --> 00:22:23.240]   I was just saying, "Rizbit Agi-Pai and his naming of the Freedom of Internet."
[00:22:23.240 --> 00:22:26.120]   Yeah, you know when they say it's about freedom, it's not.
[00:22:26.120 --> 00:22:27.120]   It's not.
[00:22:27.120 --> 00:22:28.120]   Go ahead, Christina.
[00:22:28.120 --> 00:22:31.800]   No, all I was going to say is that all the claim it's going to help spur innovation,
[00:22:31.800 --> 00:22:35.120]   all it really does is it helps spur people to file patent after patent after patent.
[00:22:35.120 --> 00:22:36.120]   Right.
[00:22:36.120 --> 00:22:39.520]   And then sit on it and either sell it to someone or do something else.
[00:22:39.520 --> 00:22:43.600]   It doesn't actually encourage anyone to innovate.
[00:22:43.600 --> 00:22:47.960]   Because the sampling thing, as we were just talking about, I mean, we can talk that both
[00:22:47.960 --> 00:22:52.480]   companies were hurt in some ways by all of the protracted legal stuff.
[00:22:52.480 --> 00:22:57.760]   And that if we're honest, both, yes, did Google steal blatantly from iOS?
[00:22:57.760 --> 00:22:58.760]   Absolutely.
[00:22:58.760 --> 00:23:02.000]   But has Apple also been able to steal blatantly some things from Google?
[00:23:02.000 --> 00:23:03.000]   Yes.
[00:23:03.000 --> 00:23:06.840]   And we as consumers, is the world better for both?
[00:23:06.840 --> 00:23:07.840]   Yes.
[00:23:07.840 --> 00:23:15.720]   And in keeping things in a way where you can sue someone for something like a podcast or
[00:23:15.720 --> 00:23:20.120]   there was an early on, there was a patent troll who was trying to sue anybody who was doing
[00:23:20.120 --> 00:23:23.440]   anything in the App Store and trying to claim that if you were selling a mobile app that
[00:23:23.440 --> 00:23:28.040]   you were violating their patent, and Apple actually stood up and said, okay, we'll fight
[00:23:28.040 --> 00:23:29.040]   these companies.
[00:23:29.040 --> 00:23:34.280]   But I knew a number of independent developers who were contacted by that, you know, NPD
[00:23:34.280 --> 00:23:38.600]   and were worried and didn't know what to do.
[00:23:38.600 --> 00:23:43.160]   And if Apple hadn't stepped in and said, we'll take care of the legal things, that would
[00:23:43.160 --> 00:23:48.320]   just encourage people not to make apps, which is hardly encouraging innovation.
[00:23:48.320 --> 00:23:56.920]   By the way, the guys who were going around to small businesses saying, do you use your
[00:23:56.920 --> 00:23:58.400]   copy or to scan documents?
[00:23:58.400 --> 00:24:03.920]   Oh, you owe us money because we patented that.
[00:24:03.920 --> 00:24:08.760]   Those guys also were put out of business by appealing to the patent office, a defense
[00:24:08.760 --> 00:24:10.600]   that would disappear if this bill passed.
[00:24:10.600 --> 00:24:12.600]   So I don't know.
[00:24:12.600 --> 00:24:16.120]   I mean, you might as well call it the patent troll act of 2018.
[00:24:16.120 --> 00:24:19.240]   I have no idea how likely it is to pass.
[00:24:19.240 --> 00:24:26.600]   But if you're talking to your Congress critic anyway, you might mention HR 6264 and say,
[00:24:26.600 --> 00:24:28.520]   I don't think that's a good idea either.
[00:24:28.520 --> 00:24:32.160]   I mean, literally it would have put us out of business if we'd lost that case.
[00:24:32.160 --> 00:24:38.920]   Wasn't there a proposed patent reform bill last year that was designed to crack down
[00:24:38.920 --> 00:24:40.400]   on patent trolls in general?
[00:24:40.400 --> 00:24:41.480]   Did that go anywhere?
[00:24:41.480 --> 00:24:43.040]   That's why this bill exists.
[00:24:43.040 --> 00:24:44.040]   Yes.
[00:24:44.040 --> 00:24:45.040]   This is in response?
[00:24:45.040 --> 00:24:46.040]   Yes.
[00:24:46.040 --> 00:24:51.200]   This bill exists because both the courts and Congress have done a lot to make it harder
[00:24:51.200 --> 00:24:52.600]   to be a patent troll.
[00:24:52.600 --> 00:24:55.200]   And apparently the patent trolls don't like it.
[00:24:55.200 --> 00:25:03.640]   So they got representative Massey to suggest this revive the patent trolls act of 2018.
[00:25:03.640 --> 00:25:04.640]   I agree.
[00:25:04.640 --> 00:25:08.480]   There's definitely a lot of things wrong with the patent system.
[00:25:08.480 --> 00:25:09.480]   Oh, God, yes.
[00:25:09.480 --> 00:25:11.560]   When you look at drug prices.
[00:25:11.560 --> 00:25:12.560]   Oh, yes.
[00:25:12.560 --> 00:25:16.760]   I mean, it's totally crazy, but this is not the fix.
[00:25:16.760 --> 00:25:21.040]   No, frankly, this is a long conversation, but I don't think software patents are a good
[00:25:21.040 --> 00:25:22.040]   idea at all.
[00:25:22.040 --> 00:25:27.280]   No, I mean, that's there have been a couple of cases where people thought that they would
[00:25:27.280 --> 00:25:30.840]   be settled case law on the issue of software patents, and that's still so unsettled.
[00:25:30.840 --> 00:25:35.760]   But yeah, I mean, your opinion isn't uncommon for people in the industry to, you know, it's
[00:25:35.760 --> 00:25:37.040]   a difficult area for sure.
[00:25:37.040 --> 00:25:38.040]   It's complicated.
[00:25:38.040 --> 00:25:40.960]   It's a very complicated philosophical debate.
[00:25:40.960 --> 00:25:45.880]   People have some other time, but yeah, I mean, you could make a strong case that one of the
[00:25:45.880 --> 00:25:50.360]   reasons we have patent trolls is because of software patents.
[00:25:50.360 --> 00:25:51.480]   Let's take a little bit of break.
[00:25:51.480 --> 00:25:52.760]   There's lots more to talk about.
[00:25:52.760 --> 00:25:55.960]   Apple says it's rebuilding maps from the ground up.
[00:25:55.960 --> 00:26:02.240]   Dr. Dre owes its ex partner, the beats partner, the guy who invented beats $25 million.
[00:26:02.240 --> 00:26:03.400]   Are you wearing beats?
[00:26:03.400 --> 00:26:05.400]   No, those aren't beats.
[00:26:05.400 --> 00:26:06.400]   All right.
[00:26:06.400 --> 00:26:07.840]   I had a check.
[00:26:07.840 --> 00:26:09.600]   You're very cool looking.
[00:26:09.600 --> 00:26:10.600]   All right.
[00:26:10.600 --> 00:26:13.560]   Those are nice looking headphones.
[00:26:13.560 --> 00:26:18.040]   Foxconn finally breaks ground on its Wisconsin plant.
[00:26:18.040 --> 00:26:22.040]   And a whole lot more.
[00:26:22.040 --> 00:26:24.560]   But first a word from rocket mortgage.
[00:26:24.560 --> 00:26:28.160]   Actually, you've heard me talk about rocket mortgage and quick and loans.
[00:26:28.160 --> 00:26:30.040]   And they've got a new thing that's really cool.
[00:26:30.040 --> 00:26:31.760]   You know, interest rates are going all over the place.
[00:26:31.760 --> 00:26:33.440]   They're going up.
[00:26:33.440 --> 00:26:36.280]   And there's a lot of unpredictability when you buy a home and you get a home loan these
[00:26:36.280 --> 00:26:37.280]   days.
[00:26:37.280 --> 00:26:41.320]   There's a lot of anxiety and our friends at quick and loans don't like anxiety.
[00:26:41.320 --> 00:26:43.160]   They don't want you to be nervous.
[00:26:43.160 --> 00:26:47.520]   So they've created something they call the power buying process.
[00:26:47.520 --> 00:26:48.760]   Quick and loans.
[00:26:48.760 --> 00:26:49.760]   This out works.
[00:26:49.760 --> 00:26:51.160]   We'll verify your income assets and credit.
[00:26:51.160 --> 00:26:53.520]   They'll do that in less than 24 hours.
[00:26:53.520 --> 00:26:59.040]   Once you get verified approval, it basically gives you the strength of a cash buyer.
[00:26:59.040 --> 00:27:03.240]   Once you're verified, you qualify for their all new exclusive rate shield approval.
[00:27:03.240 --> 00:27:06.920]   They'll lock up your rate for 90 days while you shop.
[00:27:06.920 --> 00:27:09.000]   You have 90 days at guaranteed rate.
[00:27:09.000 --> 00:27:10.000]   But here's the best part.
[00:27:10.000 --> 00:27:11.360]   If rates go up, your rate stays the same.
[00:27:11.360 --> 00:27:12.360]   It doesn't change.
