
[00:00:00.000 --> 00:00:01.000]   Let's do the twit.
[00:14:27.960 --> 00:14:30.560]   They're trying to send them in there to do saying, "Hey, look, if you mess with us,
[00:14:30.560 --> 00:14:33.960]   meeting other media organizations, if you try to report us in a way we might not like,
[00:14:33.960 --> 00:14:36.960]   we're big enough and important enough that if we don't talk to you, you might care about
[00:14:36.960 --> 00:14:37.960]   it."
[00:14:37.960 --> 00:14:39.840]   Well, that's why I'm surprised John's not leaping to CNET's defense.
[00:14:39.840 --> 00:14:42.360]   Yeah, this is how the entire music industry is right.
[00:14:42.360 --> 00:14:45.960]   If you work for a music paper, if you don't cover all the horrible little bands that nobody
[00:14:45.960 --> 00:14:49.840]   cares about, especially the ones that are total marketing fabrication, you will not get an
[00:14:49.840 --> 00:14:53.280]   interview with the larger bands, you know, unless you're maybe rolling stone.
[00:14:53.280 --> 00:14:55.880]   I mean, that's just the way it's done in other industries.
[00:14:55.880 --> 00:14:56.880]   Well, there's a precedent.
[00:14:56.880 --> 00:14:59.440]   I mean, you go downstairs and find a Wiley and Sons book.
[00:14:59.440 --> 00:15:01.600]   You know, here's one other thing you have to consider.
[00:15:01.600 --> 00:15:03.240]   CNET's a news outlet.
[00:15:03.240 --> 00:15:08.120]   If they wanted to, which is what I think they should do, if they find this to be a problem,
[00:15:08.120 --> 00:15:10.240]   why don't they go after Google?
[00:15:10.240 --> 00:15:13.160]   Start investigating the company, writing a lot of negative stories.
[00:15:13.160 --> 00:15:14.160]   That always helps.
[00:15:14.160 --> 00:15:17.400]   I mean, there's ways of doing this.
[00:15:17.400 --> 00:15:18.400]   How are the press?
[00:15:18.400 --> 00:15:19.400]   Why are they writing to us?
[00:15:19.400 --> 00:15:21.360]   I'm not working for CNET.
[00:15:21.360 --> 00:15:22.360]   Why should I be defending them?
[00:15:22.360 --> 00:15:25.480]   They can't take care of themselves, a bigger company than I am.
[00:15:25.480 --> 00:15:31.200]   The reason it's came up is the New York Times op-ed pages did, in fact, just publish an
[00:15:31.200 --> 00:15:34.240]   editorial piece saying, "It's shameful what Google's doing."
[00:15:34.240 --> 00:15:35.600]   Oh, it's so shameful.
[00:15:35.600 --> 00:15:36.840]   The New York Times does it.
[00:15:36.840 --> 00:15:37.840]   Who are they kidding?
[00:15:37.840 --> 00:15:38.840]   Do they?
[00:15:38.840 --> 00:15:39.840]   Why don't they do it?
[00:15:39.840 --> 00:15:41.640]   If you don't ask the right questions at a big press conference, they--
[00:15:41.640 --> 00:15:42.640]   That's right.
[00:15:42.640 --> 00:15:43.640]   You never get invited back.
[00:15:43.640 --> 00:15:44.640]   Apple's the same way.
[00:15:44.640 --> 00:15:47.280]   Why do you think I don't get invited to these things?
[00:15:47.280 --> 00:15:51.400]   At least CNET knows why they can't give phone calls back.
[00:15:51.400 --> 00:15:52.400]   True.
[00:15:52.400 --> 00:15:56.880]   Besides that, you can always have a string or go do a story, and then file it with CNET.
[00:15:56.880 --> 00:15:58.280]   You can always circumvent the system.
[00:15:58.280 --> 00:16:01.720]   You don't have to say, "I'm with CNET."
[00:16:01.720 --> 00:16:05.320]   You could be an independent guy, and they can hire freelancers to do this kind of work.
[00:16:05.320 --> 00:16:09.160]   If they want to get a story out of Google, it's not a big deal.
[00:16:09.160 --> 00:16:10.160]   Anyway.
[00:16:10.160 --> 00:16:13.600]   I think that's pretty much says it all.
[00:16:13.600 --> 00:16:16.280]   Anything you are on your mind right now, Kevin Rose?
[00:16:16.280 --> 00:16:17.440]   Lin Spire launches 5.0.
[00:16:17.440 --> 00:16:19.080]   They're going to give it away.
[00:16:19.080 --> 00:16:22.920]   Now, wasn't that because somebody else-- is it a free spire?
[00:16:22.920 --> 00:16:27.240]   Somebody did this free spire that was a Lin Spire distro that was going to be free.
[00:16:27.240 --> 00:16:28.240]   They've been doing this for a while, though.
[00:16:28.240 --> 00:16:30.840]   They've been giving coupon codes so you can get it for a couple of days.
[00:16:30.840 --> 00:16:32.880]   They're saying just for a few days they're going to be giving it away.
[00:16:32.880 --> 00:16:33.880]   But who cares?
[00:16:33.880 --> 00:16:36.760]   I think Lin Spire is the worst Linux operating system I've ever seen.
[00:16:36.760 --> 00:16:39.160]   Somebody sent me an email saying, "Quick, you can get Lin Spire for free."
[00:16:39.160 --> 00:16:40.920]   I was like, "That's terrible."
[00:16:40.920 --> 00:16:41.920]   What do you use?
[00:16:41.920 --> 00:16:42.920]   I get sousa for free.
[00:16:42.920 --> 00:16:46.520]   I would rather prefer using a Linux distro that you don't have to pay for.
[00:16:46.520 --> 00:16:47.520]   Debian?
[00:16:47.520 --> 00:16:48.520]   Debian?
[00:16:48.520 --> 00:16:49.520]   Well, it's based on Debian.
[00:16:49.520 --> 00:16:50.520]   What do you like the best?
[00:16:50.520 --> 00:16:51.520]   Debian.
[00:16:51.520 --> 00:16:52.520]   You do?
[00:16:52.520 --> 00:16:53.520]   Debian is for advanced users.
[00:16:53.520 --> 00:16:55.720]   Well, the package management is pretty much the nice part of it.
[00:16:55.720 --> 00:16:56.720]   All that is wonderful.
[00:16:56.720 --> 00:16:59.120]   It's easy to update applications.
[00:16:59.120 --> 00:17:00.120]   Gen 2 is similar.
[00:17:00.120 --> 00:17:02.000]   It uses the same kind of thing.
[00:17:02.000 --> 00:17:04.360]   Do you use anything but Windows, Roger?
[00:17:04.360 --> 00:17:07.480]   I use the NOPICS like the STD.
[00:17:07.480 --> 00:17:10.280]   I love those live distros.
[00:17:10.280 --> 00:17:11.280]   They're really cool.
[00:17:11.280 --> 00:17:12.280]   Why is that?
[00:17:12.280 --> 00:17:13.280]   Because you don't want to bother installing it.
[00:17:13.280 --> 00:17:16.280]   I don't want to take up the hard drive on my dedicated...
[00:17:16.280 --> 00:17:20.360]   Because I'm recording and I've got a lot of tracks on hard drive and I don't want to
[00:17:20.360 --> 00:17:21.360]   mess with it.
[00:17:21.360 --> 00:17:22.360]   I'll just get into Linux.
[00:17:22.360 --> 00:17:26.520]   He actually goes on the road with a laptop and does live recordings with these expensive
[00:17:26.520 --> 00:17:27.520]   mic.
[00:17:27.520 --> 00:17:28.520]   Tell us about this mic.
[00:17:28.520 --> 00:17:29.520]   He's got a mic.
[00:17:29.520 --> 00:17:30.520]   This is a Samsung.
[00:17:30.520 --> 00:17:31.920]   It's called a C01U.
[00:17:31.920 --> 00:17:32.920]   Not Samsung.
[00:17:32.920 --> 00:17:33.920]   No.
[00:17:33.920 --> 00:17:35.720]   Samsung like the guy who lost his hair.
[00:17:35.720 --> 00:17:36.720]   Like Samsung.
[00:17:36.720 --> 00:17:37.720]   It's a...
[00:17:37.720 --> 00:17:38.720]   Samsung is a music...
[00:17:38.720 --> 00:17:39.720]   They sell hardware.
[00:17:39.720 --> 00:17:40.720]   Music.
[00:17:40.720 --> 00:17:41.720]   Oh, okay.
[00:17:41.720 --> 00:17:42.720]   Like instruments and stuff like that.
[00:17:42.720 --> 00:17:43.720]   So they're well known?
[00:17:43.720 --> 00:17:44.720]   Yeah, it's Sam Ash.
[00:17:44.720 --> 00:17:45.880]   Oh, Sam Ash, okay.
[00:17:45.880 --> 00:17:48.080]   And this is their proprietary brand.
[00:17:48.080 --> 00:17:49.080]   And so it's a C01U.
[00:17:49.080 --> 00:17:50.920]   It's a USB studio mic.
[00:17:50.920 --> 00:17:56.320]   I think it's about a 19 millimeter large die-firm condenser mic.
[00:17:56.320 --> 00:17:57.600]   So it'd be very good for voice.
[00:17:57.600 --> 00:17:59.800]   Yeah, it's great for voice and musical instruments.
[00:17:59.800 --> 00:18:00.800]   I feel like...
[00:18:00.800 --> 00:18:02.440]   How much did those go for?
[00:18:02.440 --> 00:18:03.440]   I don't know.
[00:18:03.440 --> 00:18:04.440]   It was...
[00:18:04.440 --> 00:18:05.440]   He was like you, Devorek.
[00:18:05.440 --> 00:18:06.440]   He doesn't buy this stuff.
[00:18:06.440 --> 00:18:08.440]   It was a gimme.
[00:18:08.440 --> 00:18:09.440]   Yeah, it's...
[00:18:09.440 --> 00:18:10.440]   But what's needed to USB?
[00:18:10.440 --> 00:18:11.440]   Yes.
[00:18:11.440 --> 00:18:12.440]   At least I have a ballpark figure.
[00:18:12.440 --> 00:18:15.960]   I think it's probably like under 200 bucks.
[00:18:15.960 --> 00:18:16.960]   Really?
[00:18:16.960 --> 00:18:17.960]   Yeah, it's like 199 something.
[00:18:17.960 --> 00:18:18.960]   What's the model again?
[00:18:18.960 --> 00:18:19.960]   It's a C01U.
[00:18:19.960 --> 00:18:23.680]   I think a lot of podcasters that would be probably a very good one.
[00:18:23.680 --> 00:18:24.680]   Oh, they need it.
[00:18:24.680 --> 00:18:25.680]   It's ideal for podcasters.
[00:18:25.680 --> 00:18:28.440]   Most podcasters do a crappy job because they're audio.
[00:18:28.440 --> 00:18:30.000]   They don't have good microphones.
[00:18:30.000 --> 00:18:31.000]   But it's a simple...
[00:18:31.000 --> 00:18:32.000]   It's a simple...
[00:18:32.000 --> 00:18:33.000]   It's a...
[00:18:33.000 --> 00:18:34.000]   You beat me.
[00:18:34.000 --> 00:18:35.000]   Samson C01U.
[00:18:35.000 --> 00:18:36.000]   80 bucks.
[00:18:36.000 --> 00:18:37.000]   It's 80 bucks.
[00:18:37.000 --> 00:18:38.000]   It's about 80 bucks.
[00:18:38.000 --> 00:18:39.000]   Cool.
[00:18:39.000 --> 00:18:40.000]   Cool.
[00:18:40.000 --> 00:18:41.000]   That's great.
[00:18:41.000 --> 00:18:42.000]   Now, does it have a mount?
[00:18:42.000 --> 00:18:43.880]   I mean, it looks like the USB is plugging into the bottom.
[00:18:43.880 --> 00:18:46.720]   Yeah, there's a mount here that's on screws and there's a...
[00:18:46.720 --> 00:18:48.440]   So you could put it on a microphone stand.
[00:18:48.440 --> 00:18:49.520]   It goes on a mic stand, right?
[00:18:49.520 --> 00:18:50.520]   I just didn't bring the mic in.
[00:18:50.520 --> 00:18:51.520]   Right.
[00:18:51.520 --> 00:18:54.240]   We should actually, for all this publicity, we should be getting a bunch of free mics
[00:18:54.240 --> 00:18:55.240]   for all the Twitcasters here.
[00:18:55.240 --> 00:18:56.480]   I think it'd be a good thing.
[00:18:56.480 --> 00:18:57.480]   I think so.
[00:18:57.480 --> 00:18:58.480]   Yeah, now that I've spent...
[00:18:58.480 --> 00:19:00.120]   I'll look into it.
[00:19:00.120 --> 00:19:01.120]   I just...
[00:19:01.120 --> 00:19:06.000]   You know, I mean, we just bought one, two, three, four, five Sennheiser headset mics.
[00:19:06.000 --> 00:19:07.000]   Yeah.
[00:19:07.000 --> 00:19:08.000]   And so we don't need them now.
[00:19:08.000 --> 00:19:09.000]   But thanks.
[00:19:09.000 --> 00:19:10.000]   Anyway, right.
[00:19:10.000 --> 00:19:11.400]   But this could be handy for others.
[00:19:11.400 --> 00:19:12.400]   Yeah, we could use it.
[00:19:12.400 --> 00:19:16.560]   And also, I just wanted to say I'm recording this on Audacity, which is a cross-platform
[00:19:16.560 --> 00:19:18.800]   free multi-track program.
[00:19:18.800 --> 00:19:19.800]   It's a wonderful...
[00:19:19.800 --> 00:19:20.800]   We were talking...
[00:19:20.800 --> 00:19:26.360]   Because I use right now what I'm recording this on, for instance, is Auditions from Adobe,
[00:19:26.360 --> 00:19:29.320]   which is a proprietary $300 program for Windows-only.
[00:19:29.320 --> 00:19:32.000]   Audacity is Windows, Mac, Linux, and it's absolutely free.
[00:19:32.000 --> 00:19:33.000]   It's great.
[00:19:33.000 --> 00:19:34.000]   You find them comparable?
[00:19:34.000 --> 00:19:38.720]   Well, no, I think there are probably more features on Adobe Audition or Pro Tools or
[00:19:38.720 --> 00:19:41.520]   the ones that cost hundreds of dollars.
[00:19:41.520 --> 00:19:43.120]   But for the price, you can't beat this.
[00:19:43.120 --> 00:19:44.120]   I mean, it's amazing.
[00:19:44.120 --> 00:19:47.200]   And it's also great if you want to record something on Mac and give it to somebody on
[00:19:47.200 --> 00:19:49.200]   Linux or a Windows phone.
[00:19:49.200 --> 00:19:53.480]   You said that you recorded an album on Adobe Audition in a laptop?
[00:19:53.480 --> 00:19:54.480]   I did.
[00:19:54.480 --> 00:19:57.600]   Dell gave me a complimentary laptop to play with.
[00:19:57.600 --> 00:19:59.240]   An 8,200 in-spron.
[00:19:59.240 --> 00:20:04.600]   And I used Adobe Audition to record my last CD, which is called Limited Edition, and it's
[00:20:04.600 --> 00:20:06.800]   available on Amazon.com.
[00:20:06.800 --> 00:20:10.200]   Are you not working for record companies anymore?
[00:20:10.200 --> 00:20:11.200]   You're doing your own thing.
[00:20:11.200 --> 00:20:12.200]   No, I became a record company.
[00:20:12.200 --> 00:20:17.040]   I bought a book on how to become a record company, and it was pretty simple.
[00:20:17.040 --> 00:20:20.080]   Because basically, when you have a record company, the only thing they're good for
[00:20:20.080 --> 00:20:21.800]   is promotion, and they are great at that.
[00:20:21.800 --> 00:20:23.000]   They're wonderful for promotion.
[00:20:23.000 --> 00:20:25.520]   They can get you on Leno and Letterman and all that.
[00:20:25.520 --> 00:20:27.160]   But they take all the money.
[00:20:27.160 --> 00:20:28.160]   Yes.
[00:20:28.160 --> 00:20:29.160]   So you get the publicity and they get the money.
[00:20:29.160 --> 00:20:30.160]   It's nothing else.
[00:20:30.160 --> 00:20:31.160]   I'd rather have the money.
[00:20:31.160 --> 00:20:32.160]   And I'd have it.
[00:20:32.160 --> 00:20:33.160]   He gets to screw himself.
[00:20:33.160 --> 00:20:34.160]   Yeah.
[00:20:34.160 --> 00:20:35.160]   Right.
[00:20:35.160 --> 00:20:36.160]   And he can't sell it to dinner.
[00:20:36.160 --> 00:20:37.160]   Right.
[00:20:37.160 --> 00:20:38.160]   And charge it to myself.
[00:20:38.160 --> 00:20:41.400]   Yeah, can Leno and I go out to dinner and go, "The record company's paying for this.
[00:20:41.400 --> 00:20:42.400]   Isn't it great?"
[00:20:42.400 --> 00:20:44.880]   I do think more artists will kind of move in this direction.
[00:20:44.880 --> 00:20:45.880]   I do.
[00:20:45.880 --> 00:20:49.680]   Now that the equipment is getting affordable for everybody, I mean, anybody can buy a
[00:20:49.680 --> 00:20:53.520]   Pro Tools or Adobe Audition set up and record an album now.
[00:20:53.520 --> 00:20:57.160]   And you don't need to see the thing was before you had to sell your soul to the company
[00:20:57.160 --> 00:21:01.240]   store to get the money to record because it cost a thousand bucks a day to do it.
[00:21:01.240 --> 00:21:02.840]   Now it costs nothing a day.
[00:21:02.840 --> 00:21:05.240]   So levels of playing field for artists.
[00:21:05.240 --> 00:21:06.240]   It's annoying.
[00:21:06.240 --> 00:21:07.440]   Nor do you need them for distribution anymore.
[00:21:07.440 --> 00:21:08.440]   Not really.
[00:21:08.440 --> 00:21:10.440]   No, because, right, you've got Amazon.com.
[00:21:10.440 --> 00:21:13.720]   I mean, that's a perfect international distribution.
[00:21:13.720 --> 00:21:16.960]   How hard is it to get yourself on iTunes or Napster services?
[00:21:16.960 --> 00:21:24.160]   I signed with, I'm not sure what the threshold is, but it was easy for me to get into it.
[00:21:24.160 --> 00:21:28.560]   I got like a one sort of a one stop thing that got me on iTunes and all the other ones
[00:21:28.560 --> 00:21:29.560]   E music.
[00:21:29.560 --> 00:21:33.720]   So it helps to be a brand name artist.
[00:21:33.720 --> 00:21:35.360]   It helps if you got some name recognition.
[00:21:35.360 --> 00:21:37.920]   I'm not sure how it would be for just, you know, from an app.
