
[00:00:00.000 --> 00:00:02.640]   (whistling)
[00:51:22.280 --> 00:51:23.280]   - March 23rd.
[00:51:23.280 --> 00:51:25.620]   - Being a mere four days, something like that.
[00:51:25.620 --> 00:51:31.720]   - I'll be at my rehearsal dinner.
[00:51:31.720 --> 00:51:32.560]   - Sure, sure.
[00:51:32.560 --> 00:51:33.400]   (laughing)
[00:51:33.400 --> 00:51:34.240]   - Hey, Mary.
[00:51:34.240 --> 00:51:35.760]   - I'm getting married next Saturday.
[00:51:35.760 --> 00:51:36.680]   - Congratulations.
[00:51:36.680 --> 00:51:37.520]   - Thank you very much.
[00:51:37.520 --> 00:51:38.360]   - It's very exciting.
[00:51:38.360 --> 00:51:39.480]   - Yes, I'm getting married down in LA
[00:51:39.480 --> 00:51:40.520]   and then going to Vancouver.
[00:51:40.520 --> 00:51:41.440]   - You wanna tell him where it is?
[00:51:41.440 --> 00:51:42.720]   - No, I'm not gonna say it.
[00:51:42.720 --> 00:51:44.400]   - Hey, wait, let's invite the fans.
[00:51:44.400 --> 00:51:46.520]   - It's a nice church.
[00:51:46.520 --> 00:51:47.880]   Nice glass church.
[00:51:47.880 --> 00:51:48.720]   That's all.
[00:51:48.720 --> 00:51:50.120]   - Oh, the Crystal Cathedral in Garden.
[00:51:50.120 --> 00:51:51.560]   - Not the Crystal Cathedral.
[00:51:51.560 --> 00:51:53.360]   - Yes, I am.
[00:51:53.360 --> 00:51:54.720]   I'm at the Crystal Cathedral.
[00:51:54.720 --> 00:51:56.120]   (laughing)
[00:51:56.120 --> 00:51:56.960]   I'll be this--
[00:51:56.960 --> 00:51:57.800]   - There'll be a bunch of people,
[00:51:57.800 --> 00:51:58.640]   there'll be someone at a wedding.
[00:51:58.640 --> 00:52:00.800]   I'll be the big crowd of people standing outside
[00:52:00.800 --> 00:52:02.040]   and they're like, we're here.
[00:52:02.040 --> 00:52:02.880]   - Alex!
[00:52:02.880 --> 00:52:04.240]   - They're like, Alex!
[00:52:04.240 --> 00:52:05.840]   - How many glass churches are there down there?
[00:52:05.840 --> 00:52:07.360]   - Where are you registered, Alex?
[00:52:07.360 --> 00:52:08.200]   (laughing)
[00:52:08.200 --> 00:52:09.400]   - Yeah, that's until straight.
[00:52:09.400 --> 00:52:11.400]   - Suddenly I'll start getting all the damn room.
[00:52:11.400 --> 00:52:13.440]   - Oh, anyway, so I thought you could use these.
[00:52:13.440 --> 00:52:14.920]   - So I won't be here, that's all I'm gonna say.
[00:52:14.920 --> 00:52:16.920]   There'll be a whole 'nother crew here to,
[00:52:16.920 --> 00:52:20.400]   I think we're shooting at the Golden Gate Studios next week.
[00:52:20.400 --> 00:52:21.240]   - Oh, what's this?
[00:52:21.240 --> 00:52:22.080]   - Shooting the wedding?
[00:52:22.080 --> 00:52:23.160]   - No, you guys are shooting.
[00:52:23.160 --> 00:52:24.000]   I am--
[00:52:24.000 --> 00:52:24.840]   - Fuck.
[00:52:24.840 --> 00:52:26.600]   - You'll be disposed--
[00:52:26.600 --> 00:52:27.440]   - Absolutely, the more accurate--
[00:52:27.440 --> 00:52:28.280]   - Yeah, exactly.
[00:52:28.280 --> 00:52:29.520]   - with the damn of that blog.
[00:52:29.520 --> 00:52:31.320]   - Devork.org/blog.
[00:52:31.320 --> 00:52:32.800]   - And what's the name of the new television show?
[00:52:32.800 --> 00:52:33.640]   - Yeah, we're doing it.
[00:52:33.640 --> 00:52:35.160]   I think for the Cranky Geek show.
[00:52:35.160 --> 00:52:36.000]   - Cranky Geek.
[00:52:36.000 --> 00:52:38.720]   - With your crews over there at San Francisco Studios
[00:52:38.720 --> 00:52:40.920]   for, it's on dltv.com.
[00:52:40.920 --> 00:52:41.760]   What's the--
[00:52:41.760 --> 00:52:42.800]   - Crankygeeks.com.
[00:52:42.800 --> 00:52:44.080]   - Cranky, we have our own URL.
[00:52:44.080 --> 00:52:47.440]   - CrankyGym and CrankyGeeks.com.
[00:52:47.440 --> 00:52:49.600]   And we've done a couple of shows and prints.
[00:52:49.600 --> 00:52:52.120]   It's gonna be experimental for the first couple of months
[00:52:52.120 --> 00:52:53.960]   until they tell us to stop being experimental.
[00:52:53.960 --> 00:52:56.560]   So every time you see it's gonna have a different set.
[00:52:56.560 --> 00:52:58.160]   - No, I have to tell you to stop being,
[00:52:58.160 --> 00:52:59.000]   am I they?
[00:52:59.000 --> 00:53:00.560]   Or am I they my plus?
[00:53:00.560 --> 00:53:02.440]   - I think it's somebody up the ladder from you,
[00:53:02.440 --> 00:53:03.840]   'cause I don't think you care.
[00:53:03.840 --> 00:53:04.680]   - Oh!
[00:53:04.680 --> 00:53:05.720]   - It's not that I don't care,
[00:53:05.720 --> 00:53:07.400]   it's just letting evolve.
[00:53:07.400 --> 00:53:08.480]   - Yeah, that's what we're trying to do.
[00:53:08.480 --> 00:53:09.840]   And then we've got good people there,
[00:53:09.840 --> 00:53:11.200]   so I think it'll be pretty interesting.
[00:53:11.200 --> 00:53:13.400]   When we finally settle in on something,
[00:53:13.400 --> 00:53:16.040]   we're gonna play with some green screens too, I think.
[00:53:16.040 --> 00:53:17.600]   - That I'm a little worried about.
[00:53:17.600 --> 00:53:19.080]   - Well, you know, we can see what happens.
[00:53:19.080 --> 00:53:20.600]   - But before I can space,
[00:53:20.600 --> 00:53:21.920]   what's the worst that can happen?
[00:53:21.920 --> 00:53:24.080]   - We can just make it into a body dead show.
[00:53:24.080 --> 00:53:25.520]   - I've got a good camera for that.
[00:53:25.520 --> 00:53:26.360]   - Oh dude.
[00:53:26.360 --> 00:53:27.280]   (laughing)
[00:53:27.280 --> 00:53:29.080]   - Is that the one with the ring that shoots the thing?
[00:53:29.080 --> 00:53:30.440]   You gotta run those ring job.
[00:53:30.440 --> 00:53:31.280]   - I have something better than that.
[00:53:31.280 --> 00:53:32.520]   - I have some good ring jobbers.
[00:53:32.520 --> 00:53:33.360]   - I have a--
[00:53:33.360 --> 00:53:34.200]   (laughing)
[00:53:34.200 --> 00:53:35.040]   - That's how they feel.
[00:53:35.040 --> 00:53:36.320]   - You have to check out Macbreak.
[00:53:36.320 --> 00:53:37.840]   You have to go on the scenes.
[00:53:37.840 --> 00:53:39.000]   It's got all the, our little camera.
[00:53:39.000 --> 00:53:39.840]   - It's not really good.
[00:53:39.840 --> 00:53:40.680]   - I like it.
[00:53:40.680 --> 00:53:41.520]   - Are you enjoying it?
[00:53:41.520 --> 00:53:42.360]   - Yeah.
[00:53:42.360 --> 00:53:43.200]   - Did you see the one with the XP?
[00:53:43.200 --> 00:53:44.040]   Did that--
[00:53:44.040 --> 00:53:44.880]   - I did not see the one with the XP.
[00:53:44.880 --> 00:53:45.880]   That was the most reason one, right?
[00:53:45.880 --> 00:53:46.720]   - Yeah, that's the one.
[00:53:46.720 --> 00:53:48.400]   - No, I watched the behind 1080i.
[00:53:48.400 --> 00:53:49.240]   Was it 1080p?
[00:53:49.240 --> 00:53:50.080]   - Right, that was the behind 1080i.
[00:53:50.080 --> 00:53:52.480]   - 1080p 'cause I is evil.
[00:53:52.480 --> 00:53:54.800]   - Well, I second best, that's why.
[00:53:54.800 --> 00:53:56.720]   - It's, I was gonna say something
[00:53:56.720 --> 00:53:58.400]   that would cause me to have to edit.
[00:53:58.400 --> 00:53:59.240]   - You have to edit another thing.
[00:53:59.240 --> 00:54:00.080]   - I'm too lazy.
[00:54:00.080 --> 00:54:00.920]   - Uh oh.
[00:54:00.920 --> 00:54:01.840]   (laughing)
[00:54:01.840 --> 00:54:02.720]   - Well, you're ready to end it.
[00:54:02.720 --> 00:54:04.160]   We can do our little six.
[00:54:04.160 --> 00:54:05.000]   - Ready?
[00:54:05.000 --> 00:54:06.840]   - I'll do the countdown, ready?
[00:54:06.840 --> 00:54:08.440]   - Three, two, one.
[00:54:08.440 --> 00:54:11.640]   - Another twin is in the can.
[00:54:11.640 --> 00:54:13.880]   (laughing)
[00:54:13.880 --> 00:54:16.760]   - Leah, Leah is gonna be--
[00:54:16.760 --> 00:54:18.440]   - I think on the part where ever you are.
[00:54:18.440 --> 00:54:19.360]   (laughing)
[00:54:19.360 --> 00:54:21.280]   - Leah's gonna be, what have they done to my show?
[00:54:21.280 --> 00:54:22.640]   (laughing)
[00:54:22.640 --> 00:54:23.480]   I leave for one week.
[00:54:23.480 --> 00:54:25.160]   This is what Leah gets for.
[00:54:25.160 --> 00:54:26.520]   - You know what I really like to get?
[00:54:26.520 --> 00:54:27.920]   - You know what, there's a funniest thing,
[00:54:27.920 --> 00:54:31.600]   I think an audio is a chorus of little girls.
[00:54:31.600 --> 00:54:32.520]   (laughing)
[00:54:32.520 --> 00:54:35.200]   - Trying hard, you just all say something at once.
[00:54:35.200 --> 00:54:37.000]   And if you can just give the chorus a little girl
[00:54:37.000 --> 00:54:38.840]   to say another twin is in the can.
[00:54:38.840 --> 00:54:40.520]   It would be so funny.
[00:54:40.520 --> 00:54:41.760]   (laughing)
[00:54:41.760 --> 00:54:44.340]   (upbeat music)
[00:54:44.340 --> 00:54:46.920]   (upbeat music)
[00:54:46.920 --> 00:55:12.540]   - This is amazing.
[00:55:12.540 --> 00:55:15.120]   (upbeat music)
[00:55:15.120 --> 00:55:24.300]   - Round the board.
[00:55:24.300 --> 00:55:26.880]   (upbeat music)
[00:55:26.880 --> 00:55:35.100]   Round the board.
[00:55:35.100 --> 00:55:36.740]   (upbeat music)
[00:55:36.740 --> 00:55:37.580]   - All right.
[00:55:37.580 --> 00:55:38.420]   (upbeat music)
[00:55:38.420 --> 00:55:39.420]   - I should have paid attention.
[00:55:39.420 --> 00:55:40.340]   I don't know what I'm gonna do.
[00:55:40.340 --> 00:55:41.180]   Too much work.
[00:55:41.180 --> 00:55:42.900]   The problem is, there's no limit.
[00:55:42.900 --> 00:55:44.620]   My server's completely collapsed.
[00:55:44.620 --> 00:55:45.900]   So here's the deal.
[00:55:45.900 --> 00:55:47.140]   I'm just trying to get the thing off,
[00:55:47.140 --> 00:55:50.620]   but I have a hell of a ton of blue screens, like forget it.
[00:55:50.620 --> 00:55:51.980]   I'm killing you.
[00:55:51.980 --> 00:55:53.620]   (laughing)
[00:55:53.620 --> 00:55:56.200]   (upbeat music)
[00:55:56.200 --> 00:55:57.200]   Round the board.
[00:55:57.200 --> 00:55:59.780]   (upbeat music)
[00:55:59.780 --> 00:56:00.700]   - Do it the twin.
[00:56:00.700 --> 00:56:01.540]   - Do it the twin.
[00:56:01.540 --> 00:56:02.540]   All right.
[00:56:02.540 --> 00:56:04.420]   Do it the twin, baby.
[00:56:04.420 --> 00:56:05.260]   Do it the twin.
[00:56:05.260 --> 00:56:06.260]   All right.
[00:56:06.260 --> 00:56:08.100]   Do it the twin, baby.
[00:56:08.100 --> 00:56:08.940]   Do it the twin.
[00:56:08.940 --> 00:56:09.940]   All right.
[00:56:09.940 --> 00:56:11.820]   Do it the twin, baby.
[00:56:11.820 --> 00:56:12.660]   Do it the twin.
[00:56:12.660 --> 00:56:13.660]   All right.
[00:56:13.660 --> 00:56:15.540]   Do it the twin, baby.
[00:56:15.540 --> 00:56:16.380]   Do it the twin.
[00:56:16.380 --> 00:56:17.380]   All right.
[00:56:17.380 --> 00:56:19.380]   Do it the twin, baby.
[00:56:19.380 --> 00:56:21.960]   (upbeat music)
[00:56:21.960 --> 00:56:23.060]   - Let's go round.
[00:56:23.060 --> 00:56:25.640]   (upbeat music)
[00:56:25.640 --> 00:56:30.300]   Round the board.
[00:56:30.300 --> 00:56:32.900]   All right.
[00:56:32.900 --> 00:56:34.220]   (upbeat music)
[00:56:34.220 --> 00:56:35.980]   - PS3 and help device.
[00:56:35.980 --> 00:56:37.860]   I'm raised to Linux.
[00:56:37.860 --> 00:56:39.660]   Napster, megabyte,
[00:56:39.660 --> 00:56:40.900]   sit phone, mac and phy,
[00:56:40.900 --> 00:56:43.340]   and a virus, Microsoft M3,
[00:56:43.340 --> 00:56:44.260]   service park one,
[00:56:44.260 --> 00:56:45.180]   service pack two,
[00:56:45.180 --> 00:56:46.020]   service pack two.
[00:56:46.020 --> 00:56:47.060]   - Let's grant that.
[00:56:47.060 --> 00:56:47.900]   - Firewall.
[00:56:47.900 --> 00:56:51.760]   (upbeat music)
[00:56:51.760 --> 00:56:52.600]   Round the board.
[00:56:52.600 --> 00:56:55.180]   (upbeat music)
[00:56:55.180 --> 00:56:56.300]   - Do it the twin.
[00:56:56.300 --> 00:56:57.140]   - Do it the twin.
[00:56:57.140 --> 00:56:58.140]   All right.
[00:56:58.140 --> 00:57:00.020]   Do it the twin, baby.
[00:57:00.020 --> 00:57:00.860]   Do it the twin.
[00:57:00.860 --> 00:57:01.860]   All right.
[00:57:01.860 --> 00:57:03.700]   Do it the twin, baby.
[00:57:03.700 --> 00:57:04.540]   Do it the twin.
[00:57:04.540 --> 00:57:05.540]   All right.
[00:57:05.540 --> 00:57:07.420]   Do it the twin, baby.
[00:57:07.420 --> 00:57:08.260]   Do it the twin.
[00:57:08.260 --> 00:57:09.100]   All right.
[00:57:09.100 --> 00:57:11.140]   Do it the twin, baby.
[00:57:11.140 --> 00:57:11.980]   Do it the twin.
[00:57:11.980 --> 00:57:12.980]   All right.
[00:57:12.980 --> 00:57:14.900]   Do it the twin, baby.
[00:57:14.900 --> 00:57:15.740]   Do it the twin.
[00:57:15.740 --> 00:57:16.580]   All right.
[00:57:16.580 --> 00:57:17.940]   Do it the twin, baby.
[00:57:17.940 --> 00:57:20.520]   (upbeat music)
[00:57:20.520 --> 00:57:23.100]   (upbeat music)
[00:57:23.100 --> 00:57:28.680]   (upbeat music)
[00:57:28.680 --> 00:57:29.520]   - Center.
[00:57:29.520 --> 00:57:31.620]   (upbeat music)
[00:57:31.620 --> 00:57:32.460]   - Center.
[00:57:32.460 --> 00:57:35.720]   - This week in the center.
[00:57:35.720 --> 00:57:39.460]   This week in the center.
[00:57:39.460 --> 00:57:43.300]   This week in the center.
[00:57:43.300 --> 00:57:47.420]   (upbeat music)
[00:57:47.420 --> 00:57:48.420]   - Round the board.
[00:57:48.420 --> 00:57:51.000]   (upbeat music)
[00:57:51.000 --> 00:57:51.840]   - Do it the twin.
[00:57:51.840 --> 00:57:52.680]   - Do it the twin.
[00:57:52.680 --> 00:57:53.520]   - All right.
[00:57:53.520 --> 00:57:55.580]   Do it the twin, baby.
[00:57:55.580 --> 00:57:56.420]   Do it the twin.
[00:57:56.420 --> 00:57:57.420]   All right.
[00:57:57.420 --> 00:57:59.300]   Do it the twin, baby.
[00:57:59.300 --> 00:58:00.140]   Do it the twin.
[00:58:00.140 --> 00:58:01.140]   All right.
[00:58:01.140 --> 00:58:03.020]   Do it the twin, baby.
[00:58:03.020 --> 00:58:03.860]   Do it the twin.
[00:58:03.860 --> 00:58:04.860]   All right.
[00:58:04.860 --> 00:58:06.740]   Do it the twin, baby.
[00:58:06.740 --> 00:58:07.580]   Do it the twin.
[00:58:07.580 --> 00:58:08.580]   All right.
[00:58:08.580 --> 00:58:10.420]   Do it the twin, baby.
[00:58:10.420 --> 00:58:11.260]   Do it the twin.
[00:58:11.260 --> 00:58:12.260]   All right.
[00:58:12.260 --> 00:58:14.140]   Do it the twin, baby.
[00:58:14.140 --> 00:58:14.980]   Do it the twin.
[00:58:14.980 --> 00:58:15.980]   All right.
[00:58:15.980 --> 00:58:17.860]   Do it the twin, baby.
[00:58:17.860 --> 00:58:18.700]   Do it the twin.
[00:58:18.700 --> 00:58:19.700]   All right.
[00:58:19.700 --> 00:58:21.580]   Do it the twin, baby.
[00:58:21.580 --> 00:58:22.420]   Do it the twin.
[00:58:22.420 --> 00:58:23.420]   All right.
[00:58:23.420 --> 00:58:25.340]   Do it the twin, baby.
[00:58:25.340 --> 00:58:26.180]   Do it the twin.
[00:58:26.180 --> 00:58:27.180]   All right.
[00:58:27.180 --> 00:58:28.340]   Do it the twin, baby.

