;FFMETADATA1
title=Jiggery Pokery
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=229
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.300]   It's time for Twig.
[00:14:34.440 --> 00:14:37.320]   where they had two cameras, kind of like connect actually.
[00:14:37.320 --> 00:14:38.320]   On you.
[00:14:38.320 --> 00:14:39.680]   And it would 3D map your face.
[00:14:39.680 --> 00:14:40.680]   Wow.
[00:14:40.680 --> 00:14:42.920]   And then you would chat with people by looking at the Avatar.
[00:14:42.920 --> 00:14:46.320]   They found that the reason people don't like video conferencing is that they can't make
[00:14:46.320 --> 00:14:47.320]   eye contact.
[00:14:47.320 --> 00:14:50.040]   One person's looking over here and the other person's looking over there.
[00:14:50.040 --> 00:14:55.280]   But with an Avatar, everybody, each person can look at the make eye contact with the computer
[00:14:55.280 --> 00:14:57.520]   generated Avatar.
[00:14:57.520 --> 00:15:02.200]   Fascinating technology using off the shelf parts and nothing fancy and it went nowhere.
[00:15:02.200 --> 00:15:04.200]   Is that where Google, is that the difference with Google?
[00:15:04.200 --> 00:15:07.440]   It seems like it's R&D almost always ends up in a product of some kind.
[00:15:07.440 --> 00:15:09.920]   Even if it's a moon shot like a self-referencing.
[00:15:09.920 --> 00:15:12.680]   Even if they kill it later, they play with it.
[00:15:12.680 --> 00:15:13.680]   It's part of the openness.
[00:15:13.680 --> 00:15:16.040]   They open it up to the public and say, "What do you think of this?"
[00:15:16.040 --> 00:15:17.040]   We're not sure.
[00:15:17.040 --> 00:15:21.240]   Speaking of which, have you met Google's newest employee?
[00:15:21.240 --> 00:15:22.840]   They call him Big Dog.
[00:15:22.840 --> 00:15:28.080]   Yes, he's a little noisy.
[00:15:28.080 --> 00:15:29.080]   But it's...
[00:15:29.080 --> 00:15:30.080]   But it...
[00:15:30.080 --> 00:15:31.080]   Imagine seeing this coming at you through the woods.
[00:15:31.080 --> 00:15:35.320]   It's boss of Dynamics, the robotics company, making these robots for the US Department
[00:15:35.320 --> 00:15:40.880]   of Defense just acquired the eighth robotics company purchased by Google, presumably for
[00:15:40.880 --> 00:15:43.960]   whatever robotics project Andy Rubin is working on.
[00:15:43.960 --> 00:15:47.200]   Although Andy said, "I'm working on business to business."
[00:15:47.200 --> 00:15:50.720]   I don't know what business this is.
[00:15:50.720 --> 00:15:51.720]   The courier service.
[00:15:51.720 --> 00:15:53.720]   Well, you know what it could be.
[00:15:53.720 --> 00:15:55.720]   I'm not sure you want Google War weekly.
[00:15:55.720 --> 00:15:56.720]   It's going to try to kick it over.
[00:15:56.720 --> 00:15:57.720]   That is uncanny.
[00:15:57.720 --> 00:15:59.400]   That looks like there's a man in there.
[00:15:59.400 --> 00:16:00.400]   Yeah.
[00:16:00.400 --> 00:16:01.400]   It's creepy.
[00:16:01.400 --> 00:16:02.400]   Yeah.
[00:16:02.400 --> 00:16:07.120]   Boss of Dynamics specialized in robots that locomote using human-like or animal-like capabilities.
[00:16:07.120 --> 00:16:11.760]   This is a four-legged creature that can walk over uneven terrain and keep its balance.
[00:16:11.760 --> 00:16:14.360]   I mean, that guy kicked it and it did not fall over.
[00:16:14.360 --> 00:16:15.760]   And it really looks like a human.
[00:16:15.760 --> 00:16:16.960]   It would look better than I can.
[00:16:16.960 --> 00:16:17.960]   I'll tell you that.
[00:16:17.960 --> 00:16:18.960]   Yeah.
[00:16:18.960 --> 00:16:22.720]   Well, it was not smart enough to get off the snow and into the road.
[00:16:22.720 --> 00:16:26.400]   Go to the road, Big Dog.
[00:16:26.400 --> 00:16:27.640]   So Andy Rubin is...
[00:16:27.640 --> 00:16:29.240]   Obviously, he's got a big checkbook.
[00:16:29.240 --> 00:16:32.160]   They're giving him their question by anything he wants.
[00:16:32.160 --> 00:16:33.160]   Unbelievable.
[00:16:33.160 --> 00:16:34.960]   This to me is a little creepy.
[00:16:34.960 --> 00:16:37.360]   But here's what I fear about this.
[00:16:37.360 --> 00:16:39.080]   So it's not very far.
[00:16:39.080 --> 00:16:43.560]   This thing is, because it's done for DOD, this thing carries guns and weapons and it becomes
[00:16:43.560 --> 00:16:45.960]   the bland, the lumber drone.
[00:16:45.960 --> 00:16:50.360]   They want to use it instead of mules, although, as Mike pointed out on Sunday, a mule is a
[00:16:50.360 --> 00:16:51.360]   lot cheaper.
[00:16:51.360 --> 00:16:52.360]   It was lovely.
[00:16:52.360 --> 00:16:54.280]   It does exactly the same thing.
[00:16:54.280 --> 00:16:59.280]   So the government should Google really be doing, especially right now, the bidding of
[00:16:59.280 --> 00:17:01.800]   the government for these kinds of secret projects.
[00:17:01.800 --> 00:17:07.320]   Well, Google said that they are going to honor the existing contracts, but except no additional
[00:17:07.320 --> 00:17:09.080]   future contract they did.
[00:17:09.080 --> 00:17:13.480]   So this is actually one of the most interesting aspects of this story.
[00:17:13.480 --> 00:17:18.400]   The Pentagon now needs to go find a robotic donkey supplier because these guys are out
[00:17:18.400 --> 00:17:19.400]   of it.
[00:17:19.400 --> 00:17:20.400]   Out of the robotic donkey.
[00:17:20.400 --> 00:17:22.400]   Mike, I just know that that's very interesting.
[00:17:22.400 --> 00:17:25.080]   And yet they are still doing government work.
[00:17:25.080 --> 00:17:27.320]   We don't know for how long.
[00:17:27.320 --> 00:17:30.600]   So a big dog can handle 225 pound payload.
[00:17:30.600 --> 00:17:31.600]   It can dance.
[00:17:31.600 --> 00:17:32.800]   It can dance.
[00:17:32.800 --> 00:17:41.280]   Actually, Cheetah, this is another one of them, it can run faster than Usain Bolt.
[00:17:41.280 --> 00:17:42.560]   Look at this.
[00:17:42.560 --> 00:17:46.120]   I mean, I don't know what if this is a package.
[00:17:46.120 --> 00:17:47.280]   It's pretty impressive.
[00:17:47.280 --> 00:17:55.720]   Well, my feeling is that this, the founder of Boss & Dynamics has always specialized,
[00:17:55.720 --> 00:18:01.720]   I think his name is Mark Raybert in duplicating animal locomotion.
[00:18:01.720 --> 00:18:04.040]   And the reason for that is it's more efficient.
[00:18:04.040 --> 00:18:06.560]   Nature has already come up with the best forms of locomotion.
[00:18:06.560 --> 00:18:07.560]   Is that true?
[00:18:07.560 --> 00:18:10.720]   Because sometimes I feel like nature came up with like the least clue.
[00:18:10.720 --> 00:18:11.720]   Clueges.
[00:18:11.720 --> 00:18:14.720]   Yeah, the least unacceptable clue, which as opposed to the most efficient means.
[00:18:14.720 --> 00:18:15.720]   I feel like a clue.
[00:18:15.720 --> 00:18:16.720]   Many days.
[00:18:16.720 --> 00:18:17.720]   No.
[00:18:17.720 --> 00:18:18.720]   Look at this.
[00:18:18.720 --> 00:18:21.360]   This is the big dog, the Cheetah running.
[00:18:21.360 --> 00:18:23.600]   It could go to the gym for you.
[00:18:23.600 --> 00:18:27.080]   Think about that and just send this thing to the gym and work out for you.
[00:18:27.080 --> 00:18:29.280]   But notice that there's a massive tether.
[00:18:29.280 --> 00:18:33.200]   I mean, a big dog was gas-powered.
[00:18:33.200 --> 00:18:35.640]   That's why it was so noisy.
[00:18:35.640 --> 00:18:38.440]   But yeah, I don't know.
[00:18:38.440 --> 00:18:43.360]   Yeah, and of course Google purchased eight robotics companies in the last six months.
[00:18:43.360 --> 00:18:44.360]   Right.
[00:18:44.360 --> 00:18:45.360]   Busy busy.
[00:18:45.360 --> 00:18:50.000]   There's one company that specializes in robotic hands.
[00:18:50.000 --> 00:18:53.040]   There's robotic eyes, these kinds of things.
[00:18:53.040 --> 00:18:54.360]   So they're body parts.
[00:18:54.360 --> 00:18:58.520]   I don't think they've purchased, to the best of my knowledge, any companies that specialize
[00:18:58.520 --> 00:19:03.000]   in robotics, computer, machine intelligence.
[00:19:03.000 --> 00:19:04.520]   I guess Google will do that part.
[00:19:04.520 --> 00:19:09.960]   This is a walking man, a pet man, who was able to walk over sprint ads in a single
[00:19:09.960 --> 00:19:10.960]   bounce.
[00:19:10.960 --> 00:19:12.800]   You can't look at that without thinking of Skynet.
[00:19:12.800 --> 00:19:13.800]   It's very...
[00:19:13.800 --> 00:19:15.800]   It's very terminator-like.
[00:19:15.800 --> 00:19:16.800]   I mean, you know...
[00:19:16.800 --> 00:19:20.920]   Or come with me if you want to save your life.
[00:19:20.920 --> 00:19:22.080]   If you want to live.
[00:19:22.080 --> 00:19:23.080]   What?
[00:19:23.080 --> 00:19:24.920]   That would be a good celebrity voice.
[00:19:24.920 --> 00:19:26.320]   Microsoft should collaborate.
[00:19:26.320 --> 00:19:27.320]   Yeah.
[00:19:27.320 --> 00:19:28.320]   Wow.
[00:19:28.320 --> 00:19:30.720]   It's pretty spooky.
[00:19:30.720 --> 00:19:31.720]   Yeah.
[00:19:31.720 --> 00:19:32.720]   It's a bit bad about Starkalatska.
[00:19:32.720 --> 00:19:33.720]   What was that series?
[00:19:33.720 --> 00:19:34.720]   Oh, yes.
[00:19:34.720 --> 00:19:35.720]   Silence, yeah.
[00:19:35.720 --> 00:19:38.320]   Caprica, where they've had the guy making these in the lab.
[00:19:38.320 --> 00:19:39.320]   Right.
[00:19:39.320 --> 00:19:41.160]   Okay, Kevin, you win the Northern War of the day.
[00:19:41.160 --> 00:19:42.400]   Yes, Caprica.
[00:19:42.400 --> 00:19:43.400]   No, should we be...
[00:19:43.400 --> 00:19:45.160]   I mean, but that's the problem with science fiction.
[00:19:45.160 --> 00:19:47.360]   It's just fiction.
[00:19:47.360 --> 00:19:53.880]   So you can't let that stop you because, you know, Frankenstein.
[00:19:53.880 --> 00:19:56.880]   Somebody in the chat, Castle Bravo says in the chat, "The future is both interesting
[00:19:56.880 --> 00:19:57.880]   and scary."
[00:19:57.880 --> 00:19:58.880]   Yeah.
[00:19:58.880 --> 00:19:59.880]   Did the same time.
[00:19:59.880 --> 00:20:00.880]   Yeah.
[00:20:00.880 --> 00:20:01.880]   Yep.
[00:20:01.880 --> 00:20:03.400]   Well, I just wrote a column about this concept.
[00:20:03.400 --> 00:20:05.360]   What is it that's scary about this kind of technology?
[00:20:05.360 --> 00:20:07.280]   What is it that's creepy?
[00:20:07.280 --> 00:20:13.440]   And I have come to believe that it's the combination of the fear of the unknown combined with a
[00:20:13.440 --> 00:20:16.200]   fear of being out of control.
[00:20:16.200 --> 00:20:20.000]   So people don't know what these things are going to be capable of and they have a strong
[00:20:20.000 --> 00:20:23.760]   feeling that they won't have any control over it coming into our lives.
[00:20:23.760 --> 00:20:25.480]   And that creeps us out.
[00:20:25.480 --> 00:20:26.480]   That's...
[00:20:26.480 --> 00:20:29.160]   Well, I've told the story many, many times in the show, but that's the case with many
[00:20:29.160 --> 00:20:32.680]   technologies starting, you know, the Kodak camera, the BRIC, the press.
[00:20:32.680 --> 00:20:36.400]   Yeah, but the Kodak camera couldn't run 28.3 miles an hour.
[00:20:36.400 --> 00:20:38.920]   But it could take your picture and steal your soul.
[00:20:38.920 --> 00:20:39.920]   Yeah.
[00:20:39.920 --> 00:20:43.040]   I feel like it's also uncanny valley.
[00:20:43.040 --> 00:20:44.040]   Yeah.
[00:20:44.040 --> 00:20:45.040]   That was about to say that.
[00:20:45.040 --> 00:20:46.040]   Yeah.
[00:20:46.040 --> 00:20:47.040]   Yeah.
[00:20:47.040 --> 00:20:48.040]   Where you don't want to make...
[00:20:48.040 --> 00:20:51.880]   It's very hard to do animations that look just like humans because they're just off enough
[00:20:51.880 --> 00:20:54.720]   that the human brain goes, "Ooh, that's something wrong with that."
[00:20:54.720 --> 00:20:55.720]   Yeah.
[00:20:55.720 --> 00:20:56.720]   And we're programmed for disgust.
[00:20:56.720 --> 00:21:01.200]   In fact, one of our regular listeners does research in disgust.
[00:21:01.200 --> 00:21:03.120]   I think he's at Cornell.
[00:21:03.120 --> 00:21:09.600]   And disgust is a very valuable evolutionary trait because it keeps you from eating rotten
[00:21:09.600 --> 00:21:11.160]   food.
[00:21:11.160 --> 00:21:14.240]   And we also have disgust at malformed creatures.
[00:21:14.240 --> 00:21:15.240]   Yeah.
[00:21:15.240 --> 00:21:16.960]   And, you know, those are potentially dangerous situations.
[00:21:16.960 --> 00:21:17.960]   So I think it's partly that.
[00:21:17.960 --> 00:21:22.520]   But having the opposite too, Leon, where there's a wonderful researcher at MIT with wonderfully
[00:21:22.520 --> 00:21:28.800]   named Kate Darlene, who does cute little robot things to make you cuddle with, right?
[00:21:28.800 --> 00:21:29.800]   Yeah.
[00:21:29.800 --> 00:21:31.320]   It's the cybercat.
[00:21:31.320 --> 00:21:34.040]   And then she tries to get people to destroy it.
[00:21:34.040 --> 00:21:35.040]   And they can't.
[00:21:35.040 --> 00:21:36.720]   They can't, right?
[00:21:36.720 --> 00:21:39.320]   Logically, it's just a machine.
[00:21:39.320 --> 00:21:42.920]   I can, you know, I can destroy this computer.
[00:21:42.920 --> 00:21:44.280]   Well, no, yeah, I'll destroy the Mac.
[00:21:44.280 --> 00:21:45.440]   I won't destroy my...
[00:21:45.440 --> 00:21:48.440]   So Boston Dynamics blew it.
[00:21:48.440 --> 00:21:50.600]   They should have made Big Dog look like an e-walk.
[00:21:50.600 --> 00:21:55.400]   Well, it's an interesting fact that Mark Raybert, who founded this company in 1992, was actually
[00:21:55.400 --> 00:21:56.400]   a consultant.
[00:21:56.400 --> 00:21:58.200]   He was a consultant on the Sony IBO.
[00:21:58.200 --> 00:21:59.200]   Remember that?
[00:21:59.200 --> 00:22:00.200]   IBO.
[00:22:00.200 --> 00:22:01.200]   That was a cute and cuddle robot.
[00:22:01.200 --> 00:22:07.840]   So apparently the pet man can actually do the John DeVolta impression.
[00:22:07.840 --> 00:22:10.480]   Just exactly the right kids.
[00:22:10.480 --> 00:22:11.480]   Right.
[00:22:11.480 --> 00:22:13.960]   I can do it.
[00:22:13.960 --> 00:22:19.720]   It's also scary because it looks like, okay, here's what's the most scary thing you can
[00:22:19.720 --> 00:22:20.720]   think of.
[00:22:20.720 --> 00:22:22.520]   A human being with no conscience.
[00:22:22.520 --> 00:22:23.520]   Yeah.
[00:22:23.520 --> 00:22:25.520]   A killing machine that doesn't care.
[00:22:25.520 --> 00:22:26.520]   Yeah.
[00:22:26.520 --> 00:22:29.200]   Better, more powerful than being a flying movie.
[00:22:29.200 --> 00:22:30.200]   Yeah, many of them.
[00:22:30.200 --> 00:22:36.240]   And it can be replicated in factories like iPhones, just cranking these things out.
[00:22:36.240 --> 00:22:37.240]   Aren't we doing...
[00:22:37.240 --> 00:22:38.240]   Aren't we...
[00:22:38.240 --> 00:22:39.240]   Isn't Google making all that?
[00:22:39.240 --> 00:22:40.240]   Yeah.
[00:22:40.240 --> 00:22:41.440]   We're pushing us in that direction.
[00:22:41.440 --> 00:22:42.440]   Yeah.
[00:22:42.440 --> 00:22:44.440]   I mean, just saying.
[00:22:44.440 --> 00:22:47.200]   So Larry gets his Google Island and we're not allowed there.
[00:22:47.200 --> 00:22:48.200]   Right.
[00:22:48.200 --> 00:22:49.200]   I'm sorry.
[00:22:49.200 --> 00:22:50.200]   You must have died.
[00:22:50.200 --> 00:22:51.200]   That's the robots.
[00:22:51.200 --> 00:22:57.280]   You know, it would be great if you could use technology like that to make more money.
[00:22:57.280 --> 00:22:58.280]   Somehow.
[00:22:58.280 --> 00:23:00.280]   You can't do it.
[00:23:00.280 --> 00:23:01.280]   It's the track of your financial status.
[00:23:01.280 --> 00:23:02.440]   Wait, you can with personal capital.
[00:23:02.440 --> 00:23:07.000]   I'll be back in just a minute with this week in Google our sponsor this week is personal
[00:23:07.000 --> 00:23:08.000]   capital.
[00:23:08.000 --> 00:23:13.200]   I talked to Bill Harris, the founder of personal capital and a triangulation about a year ago.
[00:23:13.200 --> 00:23:16.000]   In fact, that's when I first got my first personal capital account.
[00:23:16.000 --> 00:23:20.360]   He was the CEO of PayPal and Intuit and really done a lot of, I think, profound thinking
[00:23:20.360 --> 00:23:25.000]   about finance, about money, about our relationship to money.
[00:23:25.000 --> 00:23:28.160]   One of the things, of course, he learned at Intuit is that people want to keep track
[00:23:28.160 --> 00:23:30.000]   of their financial life.
[00:23:30.000 --> 00:23:31.480]   They want better tools for doing that.
[00:23:31.480 --> 00:23:33.120]   And that's what personal capital is.
[00:23:33.120 --> 00:23:35.800]   It's a dashboard for your financial life.
[00:23:35.800 --> 00:23:39.320]   You give it your accounts, all of your accounts in a single spot.
[00:23:39.320 --> 00:23:43.640]   And you know, it's true, is that the more money you have, the more successful you are,
[00:23:43.640 --> 00:23:47.360]   the more you got to keep track of, the more complicated it becomes.
