;FFMETADATA1
title=Weiner, Weiner, Pizza Dinner
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=304
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.800]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin
[01:33:08.040 --> 01:33:16.200]   Remember that really phony scene where the guys got a sam sum tablet and he says well, let's just put it up on the big screen
[01:33:16.200 --> 01:33:19.880]   He goes like this and swipes the tablet and goes was that house of cars?
[01:33:19.880 --> 01:33:23.160]   I think I thought it was something something one of those I saw it on tv
[01:33:23.160 --> 01:33:28.840]   Yeah, but this uh the the uh microsoft phone runs windows 10. What is the sam's song run?
[01:33:28.840 --> 01:33:31.720]   Must run android right?
[01:33:31.720 --> 01:33:39.000]   There are versions there are things from in focus. There's an in focus product is there's oh sure and they run windows 7
[01:33:39.000 --> 01:33:42.680]   And they're vastly less elegant vastly less integrated
[01:33:43.000 --> 01:33:46.440]   They just surface hub is there's nothing like it. It's way better than well anything else
[01:33:46.440 --> 01:33:50.600]   We've tried since tech tv days to get you know, I mean there's been devices like that
[01:33:50.600 --> 01:33:52.600]   Yeah, they had special pens and stuff
[01:33:52.600 --> 01:33:58.360]   But the problem was shooting them on camera was hard because yeah the lights in a television studio in those days had to be so bright
[01:33:58.360 --> 01:34:00.680]   Yeah, that the tv would get washed out
[01:34:00.680 --> 01:34:05.000]   But you see it on cnn and all the time they're always doing this stuff like that's something important right?
[01:34:05.000 --> 01:34:09.080]   Um, yeah, I'm thinking I don't know what we put it on a stand
[01:34:09.560 --> 01:34:15.320]   They make a whole bunch of they make a plethora of stands you can take your picks including ones on rollers
[01:34:15.320 --> 01:34:20.520]   They have a that's what we'd have to do. The fundamental stand has rollers on it and it would you know, it'd be perfect
[01:34:20.520 --> 01:34:25.560]   For so we could roll it behind you for tech news tonight. You could today rather you could yeah
[01:34:25.560 --> 01:34:30.360]   You could tap it or something. So here's here's an example of how it's contextual
[01:34:30.360 --> 01:34:35.000]   You you basically walk up to it and and there are apps that you know, for example the main app
[01:34:35.000 --> 01:34:36.360]   Which is uh one note
[01:34:36.360 --> 01:34:41.080]   We'll have controls on one side and they're right there and you can tap the controls and then right on the whiteboard and stuff like that
[01:34:41.080 --> 01:34:43.240]   When you walk to the other side the controls move over to
[01:34:43.240 --> 01:34:46.920]   Oh nice another person comes up two sets of controls up here on that's nice
[01:34:46.920 --> 01:34:49.480]   You have the the Skype connections are all stacked on one side
[01:34:49.480 --> 01:34:53.880]   So you could have 10 people on a line very and the surface hub would handle all those connections
[01:34:53.880 --> 01:34:56.040]   It's just so good. It's just so good
[01:34:56.040 --> 01:35:01.560]   Let us uh take a break because I think we've I unless there's some news that we haven't mined jeff is there a story
[01:35:01.560 --> 01:35:02.920]   so
[01:35:02.920 --> 01:35:05.240]   Jeff, no mic anything that we we didn't uh
[01:35:05.880 --> 01:35:07.720]   I mean, I you know, I jumped around a lot. Yep
[01:35:07.720 --> 01:35:11.800]   But uh, you know this one of the things I love about this show is it's very informal
[01:35:11.800 --> 01:35:16.520]   Uh, there's really no structure to it and we kind of does talk about whatever the hell we want to talk about
[01:35:16.520 --> 01:35:19.240]   It's like a box of chocolates. You never know what you're gonna get
[01:35:19.240 --> 01:35:23.240]   Laugh is like a box of chocolates
[01:35:23.240 --> 01:35:27.240]   We uh, okay get your picks ready
[01:35:27.240 --> 01:35:31.080]   Our show today brought to you by a really great company brain tree
[01:35:31.080 --> 01:35:33.560]   You know, I asked i'm starting to see the other day
[01:35:33.800 --> 01:35:40.440]   I said are you named after brain tree massachusetts? He said not exactly we're actually in chicago and sephrancesco
[01:35:40.440 --> 01:35:46.760]   But the fat one of the founders was a was a fan of I think john adam's a president born in brain tree
[01:35:46.760 --> 01:35:50.200]   huh, and so he thought oh it's a good name for a company that has
[01:35:50.200 --> 01:35:55.720]   brains and shakes the money tree or whatever. I don't know anyway, it's a great name for a company you can
[01:35:55.720 --> 01:35:58.280]   Forget it and it's very cool
[01:35:58.280 --> 01:36:03.160]   Because what brain tree does if you're a mobile app developer with a few lines of code is give you
[01:36:03.960 --> 01:36:05.160]   a
[01:36:05.160 --> 01:36:06.520]   secure
[01:36:06.520 --> 01:36:08.760]   Payment solution your customers are going to love
[01:36:08.760 --> 01:36:12.360]   It's brain trees v.0 s dk
[01:36:12.360 --> 01:36:18.440]   It gives you or your customer's ability to pay in almost anyway credit cards. Yes, but also apple pay
[01:36:18.440 --> 01:36:23.320]   Also venmo also bit coin bitcoin which is cool
[01:36:23.320 --> 01:36:27.080]   Uh, they have other stuff coming, you know what i'm talking about
[01:36:27.080 --> 01:36:30.840]   Basically, that's the beauty part of this you as a developer don't have to worry about it
[01:36:31.400 --> 01:36:37.320]   They add the features they make it seamless. They make it magical. No wonder companies like uber
[01:36:37.320 --> 01:36:40.840]   use brain tree payments
[01:36:40.840 --> 01:36:46.520]   Because you know for uber that what is the selling point for uber? There's two you push a button somebody comes
[01:36:46.520 --> 01:36:50.600]   Number two you get out of the car and you're paid that's brain tree
[01:36:50.600 --> 01:36:54.600]   Right lift and uber air b&b and hotel tonight
[01:36:54.600 --> 01:36:59.320]   github munchry living social i bet you luksal uses it i don't know but i mean
[01:36:59.640 --> 01:37:02.200]   i'm checking now, but i'm pretty sure they do it's so straightforward
[01:37:02.200 --> 01:37:04.520]   um
[01:37:04.520 --> 01:37:07.880]   Any language for the mobile web for your app?
[01:37:07.880 --> 01:37:12.440]   It is a full what they call a full stack payment solution
[01:37:12.440 --> 01:37:17.160]   Start accepting pay pal apple pay bitcoin venmo credit cards and more
[01:37:17.160 --> 01:37:20.760]   Couldn't be easier and as a little pot sweetener
[01:37:20.760 --> 01:37:27.080]   Your first fifty thousand dollars in transactions fee free. Yes. Hey very
[01:37:27.880 --> 01:37:31.000]   brain tree payments dot com slash twig you can sign up to uh
[01:37:31.000 --> 01:37:36.040]   To put use the sandbox so you can see how easy it is to integrate it into your app
[01:37:36.040 --> 01:37:38.840]   Very simple. I think you'll love it
[01:37:38.840 --> 01:37:42.360]   Uh, and your and more importantly, maybe even your customers will love it
[01:37:42.360 --> 01:37:46.600]   As a developer you'll like the ease of use your customers will
[01:37:46.600 --> 01:37:49.320]   Just the one touch
[01:37:49.320 --> 01:37:52.600]   Checkout means they don't have to enter a credit card number
[01:37:53.000 --> 01:37:57.800]   They don't have to mess around you get far fewer people abandoning their shopping carts
[01:37:57.800 --> 01:38:00.360]   braintree payments dot com slash
[01:38:00.360 --> 01:38:01.880]   twig
[01:38:01.880 --> 01:38:07.720]   I am a believer and and you know you use it. You already use it. You lose it all the time probably right? Yeah
[01:38:07.720 --> 01:38:10.840]   Uh, you might not know that but you do
[01:38:10.840 --> 01:38:15.240]   And that's funny because I use the whole list, you know, it's like airbnb
[01:38:15.240 --> 01:38:20.040]   Everybody and and and though it but to me that's the selling point, right? Exactly
[01:38:20.200 --> 01:38:23.800]   That's the thing about uber is that the payment is non-existent. You don't even think about it
[01:38:23.800 --> 01:38:25.240]   Get out of the car
[01:38:25.240 --> 01:38:29.720]   But it informs you about how much it is about and all that kind of stuff. So yeah, it's it's really bad
[01:38:29.720 --> 01:38:31.880]   But I think that's a selling point friction free, right?
[01:38:31.880 --> 01:38:34.840]   Uh, I'll give you a little uh
[01:38:34.840 --> 01:38:39.240]   Tool in absence of uh a tip from jina trapani
[01:38:39.240 --> 01:38:45.560]   This is actually the reason i'm mentioning this is it comes from google google supported this research at the cornel
[01:38:45.560 --> 01:38:48.200]   lab of ornethology
[01:38:48.680 --> 01:38:50.680]   If you've ever been a birder
[01:38:50.680 --> 01:38:54.520]   Or you just look out in your backyard and you go, what the hell is that bird?
[01:38:54.520 --> 01:39:01.320]   the merlin bird id app for google play or the uh, ios app store
[01:39:01.320 --> 01:39:02.840]   well
[01:39:02.840 --> 01:39:09.320]   Let you take a picture or feed a picture or even go through a checklist of 400 north of berniken birds and
[01:39:09.320 --> 01:39:11.720]   Determine what that bird is
[01:39:11.720 --> 01:39:13.800]   Our birders gonna love this or hate this
[01:39:13.800 --> 01:39:18.200]   Uh, well birders probably don't need it if you're like a really sophisticated burger
[01:39:18.200 --> 01:39:22.040]   Birder you you look ago. There's a purple build orange tailed thrush
[01:39:22.040 --> 01:39:29.800]   Or whatever, but I am always wondering you know, what the hell is that bird and it is it edible? That's the important thing
[01:39:29.800 --> 01:39:33.240]   Now there's a
[01:39:33.240 --> 01:39:38.920]   Five steps five simple questions. What size what were the main colors? What was the bird doing?
[01:39:38.920 --> 01:39:45.160]   Uh, why was it doing it? Why was it doing it? You also get bird photos birding is big
[01:39:45.160 --> 01:39:48.200]   I'm not a birder, but boy. I know birders and birding is huge
[01:39:48.200 --> 01:39:53.720]   Oh, there's bird you already know this app
[01:39:53.720 --> 01:39:57.080]   Oh, oh f&n done knows the site. Okay
[01:39:57.080 --> 01:39:58.920]   So
[01:39:58.920 --> 01:40:03.400]   You you also can hear what the bird sounds like you should just be able to point it at the bird
[01:40:03.400 --> 01:40:05.960]   Come on google f&n done is always giving somebody the bird
[01:40:05.960 --> 01:40:11.880]   But but I imagine they collect the data right so they can sort of 70 million data points
[01:40:13.080 --> 01:40:19.000]   70 million observations from the e-bird citizen science project wonder if they feel like their privacy is being violated
[01:40:19.000 --> 01:40:21.400]   Yeah, and that's my data
[01:40:21.400 --> 01:40:28.360]   Uh, so google was involved in this as was the national science foundation and the pennington's wild bird food
[01:40:28.360 --> 01:40:36.520]   But uh, I just thought that's kind of cool. Yeah, well big see sometimes big data is something as simple as what the hell does that? Yeah
[01:40:36.520 --> 01:40:39.320]   What the what am I looking at?
[01:40:41.560 --> 01:40:45.080]   It's actually fascinating because uh, you know they could do is for people
[01:40:45.080 --> 01:40:50.760]   Yeah, but they they choose not to there's a story that I ran across and almost covered on tnt this morning
[01:40:50.760 --> 01:40:54.600]   But it turns out that it's been in the news, but under the radar for a while
[01:40:54.600 --> 01:41:02.600]   But the the law enforcement and and a few universities are working on a tattoo database where an tattoo image recognition is that unique?
[01:41:02.600 --> 01:41:04.520]   Yeah, well right now they have 70 keywords
[01:41:04.520 --> 01:41:10.040]   So when the police have a suspect or whatever and they enter in identifying information
[01:41:10.040 --> 01:41:14.840]   They there's 70 words they can use to describe a tattoo. It's a girl. It's like, you know, there's that in the other house
[01:41:14.840 --> 01:41:21.000]   It's a secret logo. Right now. They're just using machine intelligence to identify tattoos
[01:41:21.000 --> 01:41:23.000]   and
[01:41:23.000 --> 01:41:26.200]   It's a it's a whole it's becoming an important part of you know
[01:41:26.200 --> 01:41:32.440]   Of of that makes sense actually does doesn't it that's an identifying mark. Yeah, it's often unique. Yep
[01:41:32.440 --> 01:41:36.520]   The merlin bird big bird data app
[01:41:37.560 --> 01:41:41.800]   Big bird big bird data app
[01:41:41.800 --> 01:41:45.880]   The app replaces google
[01:41:45.880 --> 01:41:48.680]   No, and i'm sorry it's google backed
[01:41:48.680 --> 01:41:53.000]   Well identify it does say this article does say will identify a bird just from a photo
[01:41:53.000 --> 01:41:55.640]   So I guess that's that's just one of many
[01:41:55.640 --> 01:41:59.000]   Researchers have created a computer that vision
[01:41:59.000 --> 01:42:02.840]   Technology that will identify a species from a single photo
[01:42:02.840 --> 01:42:06.920]   Very cool
[01:42:07.160 --> 01:42:12.280]   Uh, mr. Mr. Jeff Jarvis. You got some before we get to the number
[01:42:12.280 --> 01:42:19.160]   Yeah, lancey mills inform me on twitter that the stuff crossed pizza with hot dogs came from
[01:42:19.160 --> 01:42:24.440]   Australia and the uk and canada first it is a product of the empire and on the rundown
[01:42:24.440 --> 01:42:30.600]   I have a 2012 guardian review of the pizza for even the progressive snooty guardian
[01:42:30.600 --> 01:42:35.800]   Actually kind of like that from that long ago, but see there's is there's is lateral a little bit different
[01:42:35.800 --> 01:42:41.160]   The we there is that lateral wiener it's going around. Yeah, it's weaved. It's weaved it through
[01:42:41.160 --> 01:42:45.880]   The hurt I think pizza hut has actually refined. I think it has
[01:42:45.880 --> 01:42:51.560]   I think it has but if you go below there's an australian commercial for it. I think you're gonna want to play. Ah
[01:42:51.560 --> 01:42:56.680]   Should I find that maybe on my right below right below on the next thing on the rundown
[01:42:56.680 --> 01:43:00.120]   Oh, it's on the rundown the rundown below. I do my do my work for you
[01:43:00.600 --> 01:43:09.080]   You sure do I believe that the the the version that you showed earlier in the show has actually originated in japan with the half hot dogs
[01:43:09.080 --> 01:43:14.040]   Oh, please. Let's see from the home of the hot dog to the home of stops trust
[01:43:14.040 --> 01:43:20.040]   Introducing paisa hud's new hot dog stuffed crust pizza. Oh god. That's disgusting. It's the
[01:43:20.040 --> 01:43:23.720]   I'll lay up paisa and then there's one below that from canada
[01:43:24.280 --> 01:43:31.640]   Notice the one from australia had much up met mustard and ketchup. Oh around the crust. Oh, it's just horrible
[01:43:31.640 --> 01:43:34.360]   Then here's the Canadian one
[01:43:34.360 --> 01:43:44.920]   You got pizza in my hot dog you got hot dogs in my pizza
[01:43:44.920 --> 01:43:49.960]   And this is pizza hot pizza and hot dog collide
[01:43:50.920 --> 01:43:57.320]   Oh, yes, we did the hot dog. It's just not
[01:43:57.320 --> 01:43:59.640]   Mustard on the pizza
[01:43:59.640 --> 01:44:05.640]   Make it great. It's not okay. No, it's not gonna be enough. You shouldn't like that. No, let's knock it
[01:44:05.640 --> 01:44:12.120]   And then there's yeah, I I'm actually really so uh, it doesn't come to the United States
[01:44:12.120 --> 01:44:15.160]   For another week
[01:44:15.640 --> 01:44:22.520]   June 18th run now, but I think that next you're gonna get this in the studio. Aren't you? Oh, you're definitely
[01:44:22.520 --> 01:44:26.040]   Huh? Yeah, save the date. Yeah. Thank you, chris
[01:44:26.040 --> 01:44:31.160]   What day is it out there? That's your new june 18th
[01:44:31.160 --> 01:44:38.520]   Unfortunately the day after next week's twig. Oh, but maybe I'll come in and we'll have a very special unboxing
[01:44:41.720 --> 01:44:45.560]   Of the pizza had see but I think the pizza had one in the us is gonna be
[01:44:45.560 --> 01:44:51.720]   Better because the hot dogs are like little pigs in a blanket. They're sideways. They're little mini dogs
[01:44:51.720 --> 01:44:56.520]   It's meant for you know popping at a party. It's like a party popper. It's a party pop. Oh, it's just
[01:44:56.520 --> 01:44:59.800]   It's like break off a piece. It's a delicious looking
[01:44:59.800 --> 01:45:04.600]   Oh, yeah, you can just break off a piece. It's like i'm on i'm on the go right now. That's a good point
[01:45:04.600 --> 01:45:07.000]   In a hurry. I just need one of these to go
[01:45:07.000 --> 01:45:09.320]   Of course there's a event in uh
[01:45:09.720 --> 01:45:12.760]   In england and australia and apparently south korea
[01:45:12.760 --> 01:45:17.320]   Wow, man. It's bangers in pizza
[01:45:17.320 --> 01:45:23.320]   A little more labor intensive this way. I have to say yeah, I was opposed to just looping the hot dog
[01:45:23.320 --> 01:45:26.600]   Or you can call it the double sensation pizza
[01:45:26.600 --> 01:45:30.680]   No, that's something else pizza hot middle east released
[01:45:30.680 --> 01:45:33.880]   pizzas with a crust stuff with cheeseburgers
[01:45:33.880 --> 01:45:36.680]   and the other one with chicken nuggets
[01:45:36.680 --> 01:45:38.760]   why why
[01:45:38.760 --> 01:45:40.760]   Because it's twice as nice
[01:45:40.760 --> 01:45:44.520]   There's a pizza has confirmed
[01:45:44.520 --> 01:45:49.960]   That you will be able to get a large one topping pizza featuring 28 premium hot dog bites
[01:45:49.960 --> 01:45:55.640]   Baked into the crust served with a side of french's mustard for 11 dollars in 99
[01:45:55.640 --> 01:46:01.560]   Unlike by the way, this is the official pizza hut spokesperson
[01:46:01.560 --> 01:46:07.720]   Unlike international variations the hot dog bites pizza available in the united states while supplies last
[01:46:08.040 --> 01:46:11.960]   Will be surrounded by 28 bite-sized hot dogs baked into the crust
[01:46:11.960 --> 01:46:17.320]   Perfect for dipping into the free. Oh, they don't charge you for the mustard. Wow. That's what a deal
[01:46:17.320 --> 01:46:21.560]   The free side of french's mustard. Oh, they're using your data for that free mushroom
[01:46:21.560 --> 01:46:25.000]   Well, it replaces the mustard drizzle offered on previous versions
[01:46:25.000 --> 01:46:29.880]   Do you really want a mustard drizzle?
[01:46:29.880 --> 01:46:32.920]   Mm-hmm
[01:46:32.920 --> 01:46:34.600]   I wonder how the by the way
[01:46:34.600 --> 01:46:36.600]   By the way in my day
[01:46:36.840 --> 01:46:41.720]   A McDonald's hamburger came with ketchup and mustard. Yes. In fact, I used to be the guy who did it
[01:46:41.720 --> 01:46:44.040]   I squirted it. You can't get mustard on them anymore
[01:46:44.040 --> 01:46:49.880]   What they made I had we had a very special squirter that held mustard and ketchup
[01:46:49.880 --> 01:46:54.120]   So with one squirt you'd apply both. I know you were a girl guy at McDonald's
[01:46:54.120 --> 01:46:59.160]   I don't know if you knew that but that's what my high school job was and actually for the first couple of years of college
[01:46:59.160 --> 01:47:01.720]   Oh, which caused so you know I was
[01:47:01.720 --> 01:47:05.640]   I was the kitchen manager at ponderosa steakhouse nice
[01:47:06.680 --> 01:47:08.680]   And did I ever do this for you?
[01:47:08.680 --> 01:47:15.320]   So I I was taught to use the lettuce slicer by a very short guy who said keep your finger outside
[01:47:15.320 --> 01:47:23.320]   And some of a sudden you'll be okay. Yes, and it's sliced off. Oh my god. He's got a lettuce slice injury of the finger here
[01:47:23.320 --> 01:47:25.960]   See that?
[01:47:25.960 --> 01:47:28.040]   I made true chef salad
[01:47:28.040 --> 01:47:29.320]   Oh
[01:47:29.320 --> 01:47:35.800]   Who got the salad that your finger piece? The manager was trying to figure out whether he could save the salad and and was convinced that no
[01:47:35.800 --> 01:47:40.680]   He should throw it out. We're gonna pixelate that to shop by the way because he just flipped us all the bird
[01:47:40.680 --> 01:47:45.560]   Yeah, I didn't realize this but remember the original facebook like
[01:47:45.560 --> 01:47:51.640]   Uh button had a thumbs up. Yes turns out they had to remove that because culturally. Yes, that's not good
[01:47:51.640 --> 01:47:56.200]   That means up your means sit on this and rotate in the when it's out
[01:47:56.200 --> 01:48:01.960]   I think in the middle east the middle east places. Yeah, it is still the logo on the building in it headquarters
[01:48:02.200 --> 01:48:06.440]   There's so many hand gestures. You just don't want to use abroad, especially the okay gesture
[01:48:06.440 --> 01:48:11.400]   Which yeah, americans are going around Abu Dhabi going. Hey, that's great and the guy's going
[01:48:11.400 --> 01:48:18.920]   Yes, the source of all the tension it is actually in fact there it really isn't uh over religious
[01:48:18.920 --> 01:48:22.760]   No, no, it's over the gesture started with the american tourists
[01:48:22.760 --> 01:48:29.240]   Um isn't isn't that the the stole the gesture on the on the street sign at one hacker way?
[01:48:29.240 --> 01:48:31.800]   Maybe it is but it's not a mic button anymore
[01:48:32.280 --> 01:48:33.880]   map style
[01:48:33.880 --> 01:48:38.360]   Not like button. Oh, I just messed up. Do you have a number your numbers should be 28?
[01:48:38.360 --> 01:48:41.960]   All right, how many hot dogs are on that the number was I thought he was showed us the number two, right?
[01:48:41.960 --> 01:48:44.600]   Was that 11?
[01:48:44.600 --> 01:48:46.200]   Hey, hey
[01:48:46.200 --> 01:48:52.760]   Up your chef salad. Uh, no my number is one larry page is the highest rated boss
[01:48:52.760 --> 01:48:58.280]   Yes, I'm country right rightly so because golly he must be fun to work for
[01:49:00.920 --> 01:49:08.200]   Who was the guy before linkedin's jeff whiner? Yeah, wiener. Yeah speaking of hot dogs. I'm trying to give him a break
[01:49:08.200 --> 01:49:11.800]   I also pronounce it uranus
[01:49:11.800 --> 01:49:13.880]   Um, all right jeff wiener
[01:49:13.880 --> 01:49:15.640]   Was number one
[01:49:15.640 --> 01:49:21.160]   97 percent approval rating for larry page rose from 11th place last year. Has he been highly visible?
[01:49:21.160 --> 01:49:26.920]   He's been at all the events and answers the questions of course they do do they talk to him slowly he's to find this out
[01:49:26.920 --> 01:49:29.880]   Yeah, that's the employee survey us employees only
[01:49:30.600 --> 01:49:35.160]   Yeah, google also the best tech company to work for a glass door is the site that does that
[01:49:35.160 --> 01:49:38.840]   As opposed to glass ceiling. Yeah, that's right. That's a
[01:49:38.840 --> 01:49:44.040]   I guess that's the point number one larry page mark zuckerberg 95
[01:49:44.040 --> 01:49:48.920]   Tim cook only know it 94 percent. He's number 10 on the list
[01:49:48.920 --> 01:49:55.240]   jeff whiner down to 13 place down 12 places to number 12 93
[01:49:56.200 --> 01:50:03.160]   Only 15 tech CEOs on the on the top 100. Oh, these are the top tech guys. I guess these are the top tech guys
[01:50:03.160 --> 01:50:05.720]   There's a complete list with yeah
[01:50:05.720 --> 01:50:09.080]   So I just put up the facebook headquarters
[01:50:09.080 --> 01:50:14.760]   Sign on the chat and then run down. Okay, so that there it is still have a thumb
[01:50:14.760 --> 01:50:21.080]   Well, we're sorry. We just want to park. We want to apologize to our viewers in the middle east for showing that
[01:50:21.240 --> 01:50:23.240]   I
[01:50:23.240 --> 01:50:33.960]   Yeah, I've got to feel like the people who get that survey may not be completely forthright, right? Oh, I love larry
[01:50:33.960 --> 01:50:36.200]   Right. It's not like google's watching
[01:50:36.200 --> 01:50:44.040]   To come to them an email because if it did I don't know I just may this really may be more a measure of how how paranoid you are
[01:50:44.040 --> 01:50:46.040]   As an employee of a company. Yeah
[01:50:46.040 --> 01:50:50.680]   Do you have a nice little pick for us mr. Mike Elgin? I do it's a kind of picky
[01:50:50.920 --> 01:50:54.600]   tippy kind of the thing pickley tippy and droid users for a long time
[01:50:54.600 --> 01:50:56.920]   I've enjoyed a feature in google maps where you could
[01:50:56.920 --> 01:51:02.520]   Do a search find a place on google maps on your desktop and then you'd get a send to device
[01:51:02.520 --> 01:51:08.920]   Option that we just send that location right to your foot and you could do directions or whatever you want to do
[01:51:08.920 --> 01:51:14.680]   And it hasn't been available to ios users because apple has essentially blocked them from having that kind of integration
[01:51:14.680 --> 01:51:19.800]   Right, so google in its desire to be cross-platform to provide benefits to all of its users
[01:51:19.800 --> 01:51:25.160]   No matter what platform has found a really really clever workaround. They're sending it via
[01:51:25.160 --> 01:51:31.400]   Notification so so now send device exists on on the ios platform
[01:51:31.400 --> 01:51:33.880]   And i'm going to demonstrate it here put the camera on here
[01:51:33.880 --> 01:51:35.960]   So i've got a i've got twit here
[01:51:35.960 --> 01:51:37.960]   This is a silicon valley on this map right now
[01:51:37.960 --> 01:51:41.800]   So on your desktop and on the desktop i have twit and i'm going to click send to device
[01:51:41.800 --> 01:51:44.760]   And you're going to see that the map will suddenly move
[01:51:44.760 --> 01:51:49.160]   That's right. Okay, so it's asking me send to michaels phone. Okay, it's michael
[01:51:49.320 --> 01:51:50.920]   It's mike google
[01:51:50.920 --> 01:51:57.000]   Uh and what's going to happen is whoa you've jumped to betaluma now. He did that somehow through notifications
[01:51:57.000 --> 01:52:01.320]   Wow, that's interesting. Yeah, it's very interesting for apple blocks that i don't know
[01:52:01.320 --> 01:52:08.360]   I mean they can't really quite block notifications, but i don't know how they automatic sometimes you get the notification say do you want this?
[01:52:08.360 --> 01:52:12.440]   And you click it and he goes sometimes it just goes and i don't know how they do it
[01:52:12.440 --> 01:52:17.400]   But it's quite miraculous and it's a great feature and a major convenience for people you i give that
[01:52:17.960 --> 01:52:20.360]   Two thumbs up. Yes. Oh, sorry
[01:52:20.360 --> 01:52:23.400]   That was painful. Yeah
[01:52:23.400 --> 01:52:26.360]   Now i can i'll never look at this again the same way. Yeah
[01:52:26.360 --> 01:52:31.400]   Don't replace it with the okay symbol. That's that's bad too. That's where is that bad?
[01:52:31.400 --> 01:52:37.800]   Um, I don't recall where but it's basically what you're i think in idly that's bad. It's a hole what you're showing
[01:52:37.800 --> 01:52:42.920]   Yeah, it's a hole that's bad in idly. What about the v versus like uh, what about the british v thing?
[01:52:42.920 --> 01:52:46.440]   Oh, you do it one way i always forget i always forget which way is the wrong way
[01:52:47.320 --> 01:52:49.320]   Oh
[01:52:49.320 --> 01:52:53.560]   John we just grossed john out. Yeah, we've lost most of our world wide audience
[01:52:53.560 --> 01:53:00.920]   I want to on behalf of all of us here at twit apologize to our local audience. So the okay sign is very not good in brazil
[01:53:00.920 --> 01:53:03.240]   Brazil
[01:53:03.240 --> 01:53:08.680]   Brazil you know i feel like every time i travel it's a landmine out there. Yeah, it is you don't know what's gonna
[01:53:08.680 --> 01:53:12.440]   Keep your hands in your pockets. Although that may be offensive. Yeah, that could be bad too. Yeah
[01:53:13.400 --> 01:53:18.360]   Uh, there's apparently an entire wikipedia article on aok
[01:53:18.360 --> 01:53:24.280]   Uh, I guess here's how you'd say aok in a variety of nations
[01:53:24.280 --> 01:53:28.920]   It actually was uh invented by us air force lieutenant kernal john shorty powers
[01:53:28.920 --> 01:53:33.800]   You know, uh, he was public affairs officer for project mercury
[01:53:33.800 --> 01:53:42.760]   Or sure for all okay, right? It's a diving signal. I've used i've used that in diving scuba diving
[01:53:43.480 --> 01:53:47.400]   in some Mediterranean countries like turkey as well as brazil it is a vulgar expression
[01:53:47.400 --> 01:53:50.280]   either an insult
[01:53:50.280 --> 01:53:51.640]   or
[01:53:51.640 --> 01:53:53.640]   God it's terrible
[01:53:53.640 --> 01:54:00.440]   Wow when the sign in most continental european countries and the sign is placed over the nose
[01:54:00.440 --> 01:54:04.360]   With the nose protruding through the oh it means drunk
[01:54:04.360 --> 01:54:06.360]   huh
[01:54:06.360 --> 01:54:08.120]   all right
[01:54:08.120 --> 01:54:10.360]   uh
[01:54:10.360 --> 01:54:15.000]   In the arab world it's used as a threatening gesture as in saying you will see you'll see
[01:54:15.000 --> 01:54:20.280]   And occultists believe it's the number 666
[01:54:20.280 --> 01:54:23.880]   because of the 666
[01:54:23.880 --> 01:54:27.800]   All I just think it's a okay. Hmm
[01:54:27.800 --> 01:54:31.400]   Thank you as shorty
[01:54:31.400 --> 01:54:37.720]   Thank you all for joining us. We do this show every uh week wednesday afternoons about 1 1 30 p.m
[01:54:38.360 --> 01:54:41.560]   uh pacific time for 30 eastern time 23
[01:54:41.560 --> 01:54:43.880]   430
[01:54:43.880 --> 01:54:47.240]   I don't know divided by 2 23 30 utc
[01:54:47.240 --> 01:54:50.200]   live dot twit dot tv by the way, uh
[01:54:50.200 --> 01:54:55.640]   While that url will still work. We're no longer going to have a separate live page on a separate server
[01:54:55.640 --> 01:55:01.240]   It's been incorporated into the new website. So you just go to twit dot tv slash live but live dot twit dot tv
[01:55:01.240 --> 01:55:04.760]   I think we're going to make it work. I hope we do but if you go there, nothing happens
[01:55:07.480 --> 01:55:09.480]   Just try to put that tv slash
[01:55:09.480 --> 01:55:10.680]   Huh?
[01:55:10.680 --> 01:55:15.480]   Blame leave leave blame me there is going to be so much for to blame me for when you see this new website
[01:55:15.480 --> 01:55:17.800]   I'm feeling
[01:55:17.800 --> 01:55:20.040]   Just dreading it
[01:55:20.040 --> 01:55:26.600]   Uh, you should also go to our website twit dot tv slash twig if you can't get the watch show live
[01:55:26.600 --> 01:55:27.800]   We love
[01:55:27.800 --> 01:55:32.360]   uh giving you an on-demand version of everything we do at the website and wherever you see your favorite podcast
[01:55:32.360 --> 01:55:34.440]   And if you want to be in studio, we love that too
[01:55:34.440 --> 01:55:36.440]   Just email tickets at twit dot
[01:55:37.400 --> 01:55:40.920]   tv. Thanks for being here. We'll see you next time on this week in google. Bye. Bye
[01:55:40.920 --> 01:55:51.320]   [Music]

