;FFMETADATA1
title=93 Million Selfies
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=255
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.120]   It's time for Twig is Weekend Google and we are just back from the Google I/O keynote.
[01:29:56.880 --> 01:30:01.760]   But I didn't feel like it was missing because I didn't feel like this was in any attempt to make a state of the world
[01:30:01.760 --> 01:30:08.800]   Uh address and the fact that Larry pager. He was there in the front row. We saw a picture of what i did
[01:30:09.360 --> 01:30:14.640]   Yeah, he was there but didn't say anything as he did last year. Maybe wisely
[01:30:14.640 --> 01:30:19.040]   He probably was advised by people don't mention the island that you want to be on
[01:30:19.040 --> 01:30:23.040]   You know, can't we all just get along that just didn't play too well?
[01:30:23.040 --> 01:30:25.920]   But I think having the ceo speak is important
[01:30:25.920 --> 01:30:30.160]   That's that's one thing you see at all the other companies events the ceo does speak
[01:30:30.160 --> 01:30:33.280]   and um and and kind of sets the tone
[01:30:33.280 --> 01:30:38.160]   Um, and I don't I think he's missing. I think Larry is very shy and very
[01:30:38.720 --> 01:30:43.520]   Hands-off maybe not in in uh one-to-one settings, but in a setting like this, right?
[01:30:43.520 --> 01:30:48.320]   Um, now I think this I think that this was a year of them
[01:30:48.320 --> 01:30:51.280]   better developing their platforms
[01:30:51.280 --> 01:30:54.640]   and bringing them together and making sense of them and and
[01:30:54.640 --> 01:30:58.640]   Revealing and enforcing principles of design
[01:30:58.640 --> 01:31:06.320]   Our show today brought to you by our friends at hover.com. One of the things google announced is that they're going to become a domain registrar
[01:31:06.960 --> 01:31:12.320]   But there's some weird little things in there that you may think I can do better for one of the things they said is
[01:31:12.320 --> 01:31:16.480]   Oh, and we'll give you who is privacy as part of the price. Well, so does hover.com
[01:31:16.480 --> 01:31:24.160]   Uh, they said uh, you have email redirection. Yes, so does hover.com fact everything that google offers hover offers without any limits
[01:31:24.160 --> 01:31:28.240]   They go for some reason said you have a limit limited number of dns requests per year
[01:31:28.240 --> 01:31:31.440]   I don't know what that number means. I don't know if it's a lot or a little
[01:31:31.760 --> 01:31:38.000]   But why even have to worry about that and do you really want to put all your eggs in the google basket hover is?
[01:31:38.000 --> 01:31:44.080]   Great domain name management just like everybody else. They're all registered with I can
[01:31:44.080 --> 01:31:49.440]   Their official domain registrars, but you get great tools that make it easy to manage your domains
[01:31:49.440 --> 01:31:56.240]   You have a simple process of registering a domain doesn't take any time at all. You don't have a lot of clicking
[01:31:56.240 --> 01:31:59.440]   You get who is privacy. They've got all the big extensions
[01:32:00.000 --> 01:32:03.040]   Just like everybody else.com.net country codes
[01:32:03.040 --> 01:32:07.760]   They also have some really great new extensions like the dot club, which I love
[01:32:07.760 --> 01:32:13.120]   They also have the best customer support around now. I don't know what kind of customer support you get from google
[01:32:13.120 --> 01:32:17.280]   But it's not from a python script. Let's put it that way
[01:32:17.280 --> 01:32:24.880]   When you call hover.com during business hours, you will get no wait no hold no transfer phone service
[01:32:24.880 --> 01:32:29.840]   A representative is there to help you if you want they will move your existing domain
[01:32:30.080 --> 01:32:33.440]   Over to hover.com their concierge domain movement
[01:32:33.440 --> 01:32:38.000]   That's great. In fact you renew your domains for just ten dollars a year
[01:32:38.000 --> 01:32:41.360]   Or ten dollars to move the domains that gives you an additional year
[01:32:41.360 --> 01:32:45.520]   Plus who is privacy plus a lot of other great benefits hovers fabulous
[01:32:45.520 --> 01:32:48.720]   I think you're gonna love it all my domain names are registered at hover
[01:32:48.720 --> 01:32:50.800]   They now offer volume discounts too
[01:32:50.800 --> 01:32:54.720]   When you uh when you renew numerous domains ten or more
[01:32:54.720 --> 01:32:57.520]   You get a discount
[01:32:57.520 --> 01:32:59.520]   I have so many domains
[01:33:00.480 --> 01:33:02.320]   That's gonna save me a lot of money
[01:33:02.320 --> 01:33:08.240]   The more domains you have the less you have to pay if you're one of those people as I am who registers domain names kind of
[01:33:08.240 --> 01:33:11.840]   Just whenever I think of it because we wind up. I have any idea how many you have
[01:33:11.840 --> 01:33:15.440]   I can go to hover.com. It looks like 20 or 30. I mean it's a lot
[01:33:15.440 --> 01:33:19.920]   Uh, that's the other thing I can quickly see at hover.com. I can manage them. I can move around
[01:33:19.920 --> 01:33:24.240]   It really is the best way to do it. The valet transfer service awesome
[01:33:25.360 --> 01:33:30.240]   For free hover will take care of the entire process let you know when your domains are settled in your hover account
[01:33:30.240 --> 01:33:33.360]   They they'll even transfer the dns settings
[01:33:33.360 --> 01:33:39.520]   Nobody does this in every other case you have to figure out what your dns settings are change them go over to hover change
[01:33:39.520 --> 01:33:43.920]   Nope, they'll do it. No matter how many domain names you have at no additional cost
[01:33:43.920 --> 01:33:47.920]   That is great. That's great huffer.com
[01:33:47.920 --> 01:33:51.040]   I love them you will too
[01:33:51.440 --> 01:33:58.080]   By the way use the offer code twig six you get 10 off your first purchase hover h o ver.com
[01:33:58.080 --> 01:34:04.720]   I maybe you don't have a tip or it looks like you do you got something you want to do? I do I have
[01:34:04.720 --> 01:34:08.960]   I'm recycling content a little bit. We talked about this on all been android a couple episodes ago
[01:34:08.960 --> 01:34:12.880]   But today at the keynote they talked about how in android l you're gonna get
[01:34:12.880 --> 01:34:19.360]   Your notifications on your lock screen. They're gonna look really pretty so you're not gonna have to unlock your phone and swipe down your shade
[01:34:19.680 --> 01:34:25.280]   Well, I'm doing something similar right now with the an app called dynamic notifications for android
[01:34:25.280 --> 01:34:31.920]   Yeah, it'll put notifications of your choice. So I could say hey just show me, you know slack and trello and hang out and nothing else
[01:34:31.920 --> 01:34:36.320]   Um, it'll put it right on your lock screen. So when you're you know, you can if you have your phone out
[01:34:36.320 --> 01:34:40.000]   You're doing something else you can just glance down at it and see your notifications and and you can
[01:34:40.000 --> 01:34:42.800]   So there's a lock screen widget
[01:34:42.800 --> 01:34:47.520]   You can also affix a widget to your home screen. That's there with your notifications
[01:34:47.520 --> 01:34:52.480]   You don't have to mess with the shade and there's there's a bunch of options here custom screen timeouts and you can you know
[01:34:52.480 --> 01:34:56.000]   Do transparency and select themes really great app love it free
[01:34:56.000 --> 01:35:02.560]   Within app purchases for some premium features, but it's really cool. So if you can't wait for the android l notification
[01:35:02.560 --> 01:35:09.440]   Update you can kind of get some of it. Not quite as pretty as l is gonna be but might hold you over until the until the release
[01:35:09.440 --> 01:35:13.520]   So that's dynamic notifications. You're gonna are you gonna get download the l stuff
[01:35:13.760 --> 01:35:19.440]   I guess they're gonna give you images for the x's 5 and then x's 7 this week. Yeah. Yeah
[01:35:19.440 --> 01:35:24.160]   Old nexus 5 line. Yeah, well, I mean certainly have an x's 7 line around that I would install it on
[01:35:24.160 --> 01:35:28.720]   I might not install it on my like daily driver phone, you know, it's because uh because it is a preview
[01:35:28.720 --> 01:35:33.520]   But yeah for sure. I want to say I'm my 5 and I an x's 5. Maybe I'll put it on there
[01:35:33.520 --> 01:35:38.720]   Be fun to play with yeah, I usually stay away from beta. What do they do you have to be you have to be developer?
[01:35:38.720 --> 01:35:41.600]   Do you have to pay any money? Do you have to say I won't never speak of this
[01:35:42.240 --> 01:35:46.720]   I shall not speak of this thing we are doing together. That's that's a good question. They generally don't
[01:35:46.720 --> 01:35:52.160]   Yeah, they're very I mean, well unlike apple where you have to be the developer program at 100 bucks a year or whatever
[01:35:52.160 --> 01:35:56.160]   Android it's usually just a straight up download. I mean, I'll try it. Yeah
[01:35:56.160 --> 01:36:03.920]   Jeff you have I'm sure a number I I do I decided how many cardboard boxes to prove will give away. Well, 40% of them went to women
[01:36:03.920 --> 01:36:08.480]   Yeah
[01:36:08.480 --> 01:36:10.480]   Gee don't resist either bragging about that
[01:36:11.040 --> 01:36:13.520]   You know, yeah, it's a step. It's an improvement. It's not far enough
[01:36:13.520 --> 01:36:17.120]   But we saw the real future. I just put on the rundown you saw it earlier
[01:36:17.120 --> 01:36:23.600]   But people didn't see it the video of the middle the girl middle school coders was a tear in the eye moment
[01:36:23.600 --> 01:36:26.160]   Jeff looked at me and I was gonna like
[01:36:26.160 --> 01:36:29.360]   It was the same way
[01:36:29.360 --> 01:36:33.520]   Uh, it's on the under the number of the rundown. All right. Let me pull it up. Really quite a
[01:36:33.520 --> 01:36:35.760]   Ladies and gentlemen, let's watch a little video
[01:36:35.760 --> 01:36:38.880]   Do you have audio
[01:36:38.880 --> 01:36:42.640]   They have to live because I can ask everyone. Oh, they were all in the front row at the
[01:36:42.640 --> 01:36:45.200]   Uh
[01:36:45.200 --> 01:36:50.240]   Why is this sound so bad?
[01:36:50.240 --> 01:36:52.800]   Christian sensor so that way
[01:36:52.800 --> 01:36:58.880]   For each I feel like you're not getting the oh, I see this is a video from the conference somebody
[01:36:58.880 --> 01:37:03.120]   Always at a tape the conference. So so the mess of one little thing
[01:37:03.120 --> 01:37:07.840]   It can mess up like the whole app. That's really great. Don't you love that?
[01:37:07.840 --> 01:37:09.840]   So they made an app for him
[01:37:09.840 --> 01:37:14.720]   They care about me that's why they make
[01:37:14.720 --> 01:37:17.360]   Is that happy so they made an app for him?
[01:37:17.360 --> 01:37:22.720]   Oh my god, so you can find his way around the class. Okay. Now I am for time
[01:37:22.720 --> 01:37:29.680]   Six girls quoted this in middle school. Yeah, it is the coolest thing on her. So I apologize for the quality
[01:37:29.680 --> 01:37:31.760]   This is actually a screen cap
[01:37:31.760 --> 01:37:34.240]   from the event, but
[01:37:34.560 --> 01:37:40.240]   Yeah, you see send up a check in back on stage. My favorite part is just yeah, you know, you mess up some of the code and the whole thing just breaks
[01:37:40.240 --> 01:37:43.280]   I know
[01:37:43.280 --> 01:37:47.040]   Breaks now I feel really pathetic with my
[01:37:47.040 --> 01:37:50.640]   My app pick. Thanks jeff. Yeah
[01:37:50.640 --> 01:37:53.600]   You make a cry out here or not
[01:37:53.600 --> 01:37:57.360]   This is not gonna make you cry unless it's tears of joy
[01:37:57.360 --> 01:38:01.040]   So I uh, you know, I use the go pro as I was mentioning zip lining
[01:38:01.120 --> 01:38:05.840]   And so it's the easiest way to use the go pro is to install the go pro app on your android device
[01:38:05.840 --> 01:38:11.920]   I use it on all my uh apps devices. It's free. It lets you control it. You connect right to the camera
[01:38:11.920 --> 01:38:14.240]   You get a preview. It's just the it's just so great
[01:38:14.240 --> 01:38:18.720]   But I don't know when they added this there's a new feature though that I love in the settings
[01:38:18.720 --> 01:38:21.840]   You can use the go pro image of the day
[01:38:21.840 --> 01:38:29.040]   As your wallpaper on your android phone. So you get new wallpaper every single day and it's always some cool go pro image
[01:38:29.440 --> 01:38:32.320]   Uh, today's image is a middle school soccer field
[01:38:32.320 --> 01:38:35.680]   And uh, it actually works out really nicely as a as a background
[01:38:35.680 --> 01:38:40.320]   You can kind of see it to the transparency here. Uh, there's a goalie stopping a kick
[01:38:40.320 --> 01:38:45.040]   But these are always gorgeous images lat yesterday. It was uh, it was an aquarium
[01:38:45.040 --> 01:38:48.640]   Uh and free and easy way you don't even have to have a go pro camera
[01:38:48.640 --> 01:38:53.120]   Just download the app and uh turn on the image of the day and every day you'll get an image from the go
[01:38:53.120 --> 01:38:56.320]   Reminds me the thing that poured me most today. What was that?
[01:38:56.880 --> 01:39:03.440]   Was ambient pictures on your tv. I like that visual musac for life. Yeah, I just found that unbearable
[01:39:03.440 --> 01:39:08.880]   I'm just looking for another way to leave my tv. Oh, yeah more power consumption more. Oh, yeah, she's
[01:39:08.880 --> 01:39:13.600]   Wait, wait, this is the images from your own device. It's your pictures
[01:39:13.600 --> 01:39:17.040]   It's got the weather
[01:39:17.040 --> 01:39:19.360]   No
[01:39:19.360 --> 01:39:21.360]   I can see the real pack right there
[01:39:21.360 --> 01:39:26.080]   Shitting all over the place. Love it's the biggest picture frame the best picture frame in your house, jeff
[01:39:26.160 --> 01:39:28.160]   Well, you didn't like that line
[01:39:28.160 --> 01:39:32.720]   No, no, I thought that was that was just ridiculous. That was that was google that was trying too hard
[01:39:32.720 --> 01:39:35.600]   Well, they got this
[01:39:35.600 --> 01:39:37.600]   Oh
[01:39:37.600 --> 01:39:42.960]   How many remote picture frames if we bought the grandparent's it never get filled in I refuse I refuse to buy another one of those
[01:39:42.960 --> 01:39:47.920]   Oh, yeah, yeah, right. Yeah, I was like, I'll rig up the tablet, but I'm not buying another one of those stupid picture frames
[01:39:47.920 --> 01:39:50.480]   Well now you can just get them a $35 chromecast
[01:39:50.480 --> 01:39:53.200]   Simple enough
[01:39:53.360 --> 01:39:58.000]   Apparently google play services is now rolling out. I just checked I'm not getting it
[01:39:58.000 --> 01:40:00.320]   But 5.0 of play services
[01:40:00.320 --> 01:40:07.120]   We'll be rolling out with the new security tools and red wear support so I got the 4-4 update just now
[01:40:07.120 --> 01:40:10.080]   I have it I did it in but there on your next is 54444
[01:40:10.080 --> 01:40:14.960]   And look for google play services 5 it should make its way to all devices over the next
[01:40:14.960 --> 01:40:20.240]   Few days. This is not google play store. Right. This is that little puzzle piece of services
[01:40:20.720 --> 01:40:25.360]   But it's it's actually more important than the store because it's a lot of stuff behind the scenes
[01:40:25.360 --> 01:40:30.080]   It's going to support android wear labels, which means your watches what you get tomorrow will work
[01:40:30.080 --> 01:40:32.720]   That's why they had to push it out google cast
[01:40:32.720 --> 01:40:36.240]   Uh adds closed caption support from chromecast
[01:40:36.240 --> 01:40:39.200]   Um, there's a new save to wallet button
[01:40:39.200 --> 01:40:41.520]   to save off
[01:40:41.520 --> 01:40:44.000]   Offers from your app to your wallet grade
[01:40:44.000 --> 01:40:46.960]   improved in app purchase ads
[01:40:46.960 --> 01:40:50.160]   Forget it don't get it. It's terrible
[01:40:50.880 --> 01:40:54.000]   Unless you got a watch why why?
[01:40:54.000 --> 01:40:57.920]   Uh, there's a few more things app indexing api anyway
[01:40:57.920 --> 01:41:01.440]   This is these are always big and you don't really have much of a choice. So enjoy it
[01:41:01.440 --> 01:41:06.800]   It will be foisted upon you. It's going to be it's going to be forced on you whether you want it or not
[01:41:06.800 --> 01:41:09.920]   Hey, it's so nice to have jeff and jina here. I feel like we're
[01:41:09.920 --> 01:41:12.640]   Is this a second time in a month?
[01:41:12.640 --> 01:41:17.040]   So uh, just come back every other week. Why don't you? Yeah, we'll just fly out. That's fine. Why don't you?
[01:41:17.360 --> 01:41:20.880]   Are you let me ask you at are you glad you came out for IO?
[01:41:20.880 --> 01:41:25.200]   Definitely wasn't a waste of time. No, not at all. Not at all. I'm really I'm really excited to be here
[01:41:25.200 --> 01:41:28.240]   And all all a bit part of it is that I just really excited about that watch
[01:41:28.240 --> 01:41:32.960]   You get something you get a watch what you could have bought for less than the airfare, but fine
[01:41:32.960 --> 01:41:36.960]   I mean, I'm sorry. Yeah, I wouldn't want to see where that is
[01:41:36.960 --> 01:41:41.040]   Well, I was certainly happy to be here today and be at all about android last night and I got to check
[01:41:41.040 --> 01:41:43.600]   That was nice and you were and it was good to see you and I
[01:41:43.600 --> 01:41:46.240]   Live on all about android if you haven't seen the show yet
[01:41:46.240 --> 01:41:50.640]   I I also just enjoy being there tomorrow and I'll go to some sessions and understand what I can understand
[01:41:50.640 --> 01:41:53.760]   But also just running into googlers and talking to them. That's where the mad cap
[01:41:53.760 --> 01:41:58.000]   Yeah, you always get the back the bet the stories the good stories. Yeah with from the googlers
[01:41:58.000 --> 01:42:04.000]   Right with the great thing leo is we hit us all crazy is is just because of you because the magic of leo
[01:42:04.000 --> 01:42:06.480]   People can we take your picture? Oh, yeah, we got
[01:42:06.480 --> 01:42:10.080]   The way out from the way out from the way out of us go any today
[01:42:10.080 --> 01:42:13.920]   People want to take our picture, you know, it was really nice. Yes, I'm thrilled to be here
[01:42:14.320 --> 01:42:17.120]   I wasn't wasted time. That's 93 million selfies
[01:42:17.120 --> 01:42:26.880]   The what happens tomorrow and the next day at ios really if for developers is just tomorrow it's seminars
[01:42:26.880 --> 01:42:28.960]   It's a workshop
[01:42:28.960 --> 01:42:34.080]   Coding usually knows noise does not emerge not significant news emerges
[01:42:34.080 --> 01:42:37.040]   There will be some low-level announcements that
[01:42:37.040 --> 01:42:37.920]   Perfect that
[01:42:37.920 --> 01:42:42.160]   Choirifications that didn't come out of the keynote people will write up some you know other things that they learned and
[01:42:42.560 --> 01:42:49.120]   There might sometimes there, you know, kits developer kits given out for the the lesser projects like, you know, maybe tango
[01:42:49.120 --> 01:42:56.000]   Maybe our I wouldn't be surprised if we heard a little bit more about tango and ara containerizing the cloud with docker designing for wearables
[01:42:56.000 --> 01:42:58.480]   Grow your app with google identity
[01:42:58.480 --> 01:43:05.440]   Uh, it's google plus platform 3d tablet and oscar and a little cache a 3d tablet. Okay, so that's tango
[01:43:05.440 --> 01:43:12.160]   Um cross platform interaction design instant by everywhere go wallet the dawn of fast data
[01:43:12.880 --> 01:43:15.360]   The art of run time. That's that's art
[01:43:15.360 --> 01:43:18.000]   upgrading the engine mid-flow
[01:43:18.000 --> 01:43:25.520]   In every case this is art or whatever for people who are developing there deep dive into these things best for developers
[01:43:25.520 --> 01:43:33.040]   Yeah, so they're so they're gonna meet so they are gonna talk about nests, but it's gonna be stuff. That's there wasn't keynote robotics in a new world
[01:43:33.040 --> 01:43:36.080]   with a protester no doubt
[01:43:36.080 --> 01:43:40.000]   There were also people arrested there on google in
[01:43:41.520 --> 01:43:45.360]   Star Trek plastic outfits stormtroopers
[01:43:45.360 --> 01:43:50.400]   Wars
[01:43:50.400 --> 01:43:54.640]   You're looking for
[01:43:54.640 --> 01:44:07.680]   No, the problem is it's brain latency. It's true. It just takes time
[01:44:09.040 --> 01:44:11.600]   It's latency. That's like a Google cast
[01:44:11.600 --> 01:44:19.760]   Uh and on and on and on it goes you guys got to go to some of those just to find out what the hell google cast is dev ops power tools
[01:44:19.760 --> 01:44:26.560]   I'll mean there. How about debugging dart apps with web storm. That's going on right now. I'm sorry. We missed that. That's
[01:44:26.560 --> 01:44:31.920]   Three days of building useless stuff the makings of the world's craziest makers conference
[01:44:31.920 --> 01:44:35.920]   What did you think speaking of which of the bowling ball the treble?
[01:44:38.160 --> 01:44:43.280]   Made the geeks happy. Yeah, I mean, you know, it was just something for people to look at while the countdown was
[01:44:43.280 --> 01:44:49.040]   My gag was a huge mechanical thing over the corner. I said, oh the algorithm
[01:44:49.040 --> 01:44:52.000]   That's how it works
[01:44:52.000 --> 01:44:55.520]   There is an ignite event. I think Kevin Marx is going to the right that's okay
[01:44:55.520 --> 01:45:00.480]   That's four o'clock this afternoon if you run it if you run you can get back to it. Thank you jeff
[01:45:00.480 --> 01:45:02.480]   Thank you jina. Thanks to all of you for watching
[01:45:02.640 --> 01:45:08.560]   We do this. We can google each and every week even without google io 1 p.m. Pacific 4 p.m. Eastern time
[01:45:08.560 --> 01:45:13.840]   utc on twit you can watch live i'd like it if you do it's great because we see the chatroom in the
[01:45:13.840 --> 01:45:20.160]   Back and forth of the chat room. Uh, but if you can't we have on demand audio and video available from twit.tv/twig
[01:45:20.160 --> 01:45:28.640]   Or on all the platforms where you could get this kind of stuff our apps of course available on android on ios even windows phone and blackberry
[01:45:29.200 --> 01:45:33.200]   Uh, just search for twit. They're not our apps. They're third party the developers, but they do a great job
[01:45:33.200 --> 01:45:35.280]   And I'm really I'm grateful to them for that
[01:45:35.280 --> 01:45:38.800]   You can also use stitcher things like that or iTunes or whatever you use
[01:45:38.800 --> 01:45:41.360]   dogcatcher and stick cast all of that
[01:45:41.360 --> 01:45:46.720]   Apocate cast. Thanks for watching. We appreciate it. We'll see you next week on twig. Bye.
[01:45:46.720 --> 01:45:58.880]   [Music]

