;FFMETADATA1
title=Name Your Child Fester
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=500
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.240]   It's time for twig this week in Google. We've got a great show for your Stacey Higginbotham is here
[01:37:55.680 --> 01:38:04.640]   Thousand I I have to explain that this is for people who live in the cloud if you have a business that uses the cloud for storage
[01:38:04.640 --> 01:38:08.240]   For delivery of content for apps
[01:38:08.240 --> 01:38:14.080]   If your stuff is in the cloud and nowadays I think most businesses have at least some stuff in the cloud
[01:38:14.800 --> 01:38:16.080]   you need
[01:38:16.080 --> 01:38:18.080]   thousand eyes because
[01:38:18.080 --> 01:38:22.480]   There's a reason why we draw the cloud is just this puffy little cloud up there
[01:38:22.480 --> 01:38:28.160]   It's a black box stuff goes in and you hope it comes out in a timely fashion
[01:38:28.160 --> 01:38:34.080]   But it often doesn't and it's very you know hard to see what's going on there in that puffy little cloud
[01:38:34.080 --> 01:38:36.480]   Unless you have thousand eyes
[01:38:36.480 --> 01:38:43.440]   With thousand eyes you can get an immediate unmatched view of all the networks and dependencies that impact your users digital experience
[01:38:43.760 --> 01:38:45.440]   Because it's awesome
[01:38:45.440 --> 01:38:52.880]   They they have eyes everywhere. There's thousands thousand eyes unique path visualization technology
[01:38:52.880 --> 01:38:55.520]   extends beyond any boundaries
[01:38:55.520 --> 01:39:00.000]   You can see understand and improve the experience for all your apps services and websites most people
[01:39:00.000 --> 01:39:02.880]   Most iD departments can basically most sensors
[01:39:02.880 --> 01:39:07.680]   Basically see what's on your network and as soon as it leaves your network, it's like well. I hope it gets there
[01:39:07.680 --> 01:39:11.920]   But thousand eyes has a massive array of vantage points
[01:39:12.560 --> 01:39:20.000]   Spanning both the public and the private internet cloud providers right down to the wifi in your local coffee shop
[01:39:20.000 --> 01:39:24.800]   It can see everything it's as if you've been looking through a smudged
[01:39:24.800 --> 01:39:27.840]   windshield it just
[01:39:27.840 --> 01:39:34.320]   Covered with mud and try and appear through it figure out what's going on and a squeegee just in it's crystal clear you can see it all
[01:39:34.320 --> 01:39:40.960]   Everybody who works in the cloud knows that there are times where you just go. I don't know what's going on
[01:39:41.920 --> 01:39:45.920]   And the boss comes and you say I know we're losing money boss. I I know
[01:39:45.920 --> 01:39:48.560]   the people aren't working or whatever
[01:39:48.560 --> 01:39:56.960]   And we're trying to figure it out, but we just can't see into that puffy little cloud now you can I can't tell you how valuable this is regain
[01:39:56.960 --> 01:40:03.120]   Control ensure the best possible digital experience for your employees for your customers for you
[01:40:03.120 --> 01:40:06.320]   Make sure you're in the right cloud
[01:40:06.880 --> 01:40:12.240]   That's another thing thousand eyes can tell you if the content you want to deliver should be in that cloud
[01:40:12.240 --> 01:40:19.360]   If you're connected to the right sass instance you can see issues before they impact your customers and employees with thousand eyes and they've have
[01:40:19.360 --> 01:40:22.880]   They have great white papers and information
[01:40:22.880 --> 01:40:27.840]   I've learned so much about why you know things don't work or do work
[01:40:27.840 --> 01:40:36.800]   This is why top banks enterprises sass companies the world's largest and fastest growing brands rely on thousand eyes software to do the cloud and do it
[01:40:36.800 --> 01:40:37.920]   Right
[01:40:37.920 --> 01:40:42.560]   Thousand eyes calm slash twit get a demo get find out more
[01:40:42.560 --> 01:40:51.280]   And for your boss you can get the exclusive ebook on five cloud migration challenges. You shouldn't ignore lots of information at a higher level
[01:40:51.280 --> 01:40:54.400]   For for people about
[01:40:54.400 --> 01:41:01.920]   That cloud migration. I know everybody's considering it. We're all moving to the cloud if the cloud is important to you now or going to be important to your future
[01:41:01.920 --> 01:41:04.640]   Thousand eyes dot com slash
[01:41:05.200 --> 01:41:08.240]   Twit do the cloud right thousand eyes
[01:41:08.240 --> 01:41:10.480]   dot com
[01:41:10.480 --> 01:41:14.000]   Slash twit it's thousand spelled out t h o u s a n d
[01:41:14.000 --> 01:41:18.320]   E y e s dot com slash twit thousand eyes thrive
[01:41:18.320 --> 01:41:23.920]   In a connected world. I'm really pleased to be partnering with them. They're just a really great
[01:41:23.920 --> 01:41:29.040]   Company all right stacey. Uh, did you see anything uh that we didn't cover
[01:41:29.040 --> 01:41:31.920]   Nope. No, I'm going mola
[01:41:31.920 --> 01:41:36.000]   Mola mola mola at this point. She says I don't care if there's something in there
[01:41:36.000 --> 01:41:41.040]   How about you mic anything important? Do you want to keep this woman from her mola?
[01:41:41.040 --> 01:41:44.960]   Uh, no, I do not I would never spend like
[01:41:44.960 --> 01:41:46.320]   Between real carefully about that
[01:41:46.320 --> 01:41:52.160]   Stacy do you have a thing I have one more thing for you to do I do
[01:41:52.160 --> 01:41:55.440]   Yes, um, I was typing them in but I type them in badly
[01:41:55.440 --> 01:41:59.680]   So I am planning to drive myself my daughter and my dog up to Seattle
[01:41:59.680 --> 01:42:02.800]   So I've been trusting and playing with road trip apps
[01:42:02.800 --> 01:42:05.760]   And since we are actually it is spring break now
[01:42:05.760 --> 01:42:08.400]   So just the two of you are going to drive together. That's so cute
[01:42:08.400 --> 01:42:12.160]   Well, the dog too. Well, of course
[01:42:12.160 --> 01:42:16.960]   Okay, she's like another person. She has opinions and everything she's gonna be sitting in the in there
[01:42:16.960 --> 01:42:21.360]   She's gonna be sitting shotgun. No, she'll be in the backseat. Okay. The daughter is shotgun
[01:42:21.360 --> 01:42:23.200]   Um
[01:42:23.200 --> 01:42:28.640]   Road trippers is the first app there's two and I'm still up in the up in the air on which one I like that
[01:42:28.720 --> 01:42:31.440]   There's features on each that I like and the other is
[01:42:31.440 --> 01:42:36.880]   For caught. I don't know how to say it F-U-R-K-O-T
[01:42:36.880 --> 01:42:39.760]   For caught
[01:42:39.760 --> 01:42:41.200]   For caught
[01:42:41.200 --> 01:42:43.680]   Yeah, I don't know for that's about forget
[01:42:43.680 --> 01:42:48.080]   Miss the turns on your terms. Oh, I like this idea
[01:42:48.080 --> 01:42:53.760]   So what's neat there is you can actually tell it a lot of things like where you're at a where you're going
[01:42:53.760 --> 01:42:56.720]   But also like how much you want to drive when do you want to start?
[01:42:57.280 --> 01:43:01.200]   and it's it's a lot more detailed. So if you really want to like
[01:43:01.200 --> 01:43:05.280]   and then road trippers is really nice because
[01:43:05.280 --> 01:43:08.160]   It shows you like parks and things like that
[01:43:08.160 --> 01:43:13.680]   And I like both of them because you get like your total drive time you get like estimates
[01:43:13.680 --> 01:43:18.240]   I have to triple a and get a map with a magic marker on it for this
[01:43:18.240 --> 01:43:24.240]   Yeah, and like this this road trippers like estimate your gas costs and that sort of thing great
[01:43:25.440 --> 01:43:31.360]   So yeah, I was I was really excited. I think both of these are so far. I've experienced them
[01:43:31.360 --> 01:43:34.160]   as the free app. They're both high quality
[01:43:34.160 --> 01:43:40.720]   And I'm I mean, I haven't taken the road trip yet. Have you ever done a cross-country trip?
[01:43:40.720 --> 01:43:43.360]   No, I haven't the longest fun
[01:43:43.360 --> 01:43:47.280]   Yeah, I've driven to New Orleans a couple times and I've driven to
[01:43:47.280 --> 01:43:49.920]   Tallahassee
[01:43:52.640 --> 01:43:55.680]   Now I want to ask you why I'm like just fun
[01:43:55.680 --> 01:44:02.560]   Now this is going to be what a great mother daughter thing mother daughter and dog thing to do. I think this is great
[01:44:02.560 --> 01:44:06.480]   Yeah, so things like the giant ball of yarn and stuff like that, right?
[01:44:06.480 --> 01:44:08.480]   We're actually
[01:44:08.480 --> 01:44:12.880]   Focused on I think we're going to go see like the grand canyon. We're going to take some detours
[01:44:12.880 --> 01:44:15.760]   We're going to marfa first so austin amarfa
[01:44:15.760 --> 01:44:18.320]   and then possibly
[01:44:18.320 --> 01:44:20.480]   Somewhere in the middle then maybe the grand canyon
[01:44:21.360 --> 01:44:22.480]   And then
[01:44:22.480 --> 01:44:24.640]   We're going to drive through like the columbia river gorge
[01:44:24.640 --> 01:44:28.800]   I'm trying to convince myself that I want to go to the escoante national park in utah
[01:44:28.800 --> 01:44:31.280]   But that's also kind of like a lot
[01:44:31.280 --> 01:44:36.480]   There really isn't a whole lot to do in canesus except to go to caulkers city and see the world's largest ball of twine
[01:44:36.480 --> 01:44:43.280]   I'm just saying we're skipping canesus. We're skipping canesus is not on the agenda. Oh, come on. You know you want to see this
[01:44:43.280 --> 01:44:44.800]   Nope
[01:44:44.800 --> 01:44:50.240]   I think might you do a gastronomat adventure in caulkers city the twine experience
[01:44:50.480 --> 01:44:52.480]   a twine experience
[01:44:52.480 --> 01:44:55.440]   There's lots to see
[01:44:55.440 --> 01:45:02.240]   That sounds awesome stacey that sounds absolutely incredible
[01:45:02.240 --> 01:45:08.960]   Especially that app sounds great since the world's largest twine ball is pungent with a smell of moist twine decay
[01:45:08.960 --> 01:45:11.920]   Rose
[01:45:11.920 --> 01:45:15.680]   That's the review from roadside america.com
[01:45:15.680 --> 01:45:18.800]   Yeah, you don't have to go there. You can smell it from utah
[01:45:19.680 --> 01:45:26.400]   We went to um, we were in main and we did a roadside attraction. It was the world's largest chocolate moose and I will tell you
[01:45:26.400 --> 01:45:30.560]   It was pretty good. That's fun to see these. It's kind of tradition
[01:45:30.560 --> 01:45:35.120]   All right. Well, enjoy. I think that sounds like a great idea
[01:45:35.120 --> 01:45:37.920]   mr
[01:45:37.920 --> 01:45:39.920]   Michael elgin your pick of the week
[01:45:39.920 --> 01:45:45.200]   As you know, I'm obsessed with gans which are generative adversarial network
[01:45:47.120 --> 01:45:55.440]   Yes, I think this is the most promising technology for the future of fake everything we've ever come up with it's basically a
[01:45:55.440 --> 01:46:00.080]   machine learning technique that's been around for about four or five years
[01:46:00.080 --> 01:46:07.920]   Which can generate fake data can generate fake words fake images fake videos fake this fake that we're all familiar with deep fakes
[01:46:07.920 --> 01:46:15.040]   Those are generated with gans. So basically you throw a bunch of real data at this machine learning system
[01:46:15.760 --> 01:46:21.680]   One of them and there are two machine learning systems one takes the the real data and tries to
[01:46:21.680 --> 01:46:27.440]   Uh to imitate it with fake data lots and lots and lots of fake data throws are the other one
[01:46:27.440 --> 01:46:30.640]   Which is the discriminator which judges that data based on how
[01:46:30.640 --> 01:46:32.800]   good it is
[01:46:32.800 --> 01:46:35.040]   compared with the real sample and then
[01:46:35.040 --> 01:46:37.200]   the
[01:46:37.200 --> 01:46:44.480]   Uh, the original one goes back to the drawing board tries again does it better this time and both the discriminator and the generator
[01:46:44.720 --> 01:46:49.840]   Get better and better and better until you get fake data that looks completely real now
[01:46:49.840 --> 01:46:52.000]   We've seen that this person does not exist
[01:46:52.000 --> 01:47:00.000]   Uh before and then somebody came out with this cat does not exist. This is uh cats made with you know artificial cats made with
[01:47:00.000 --> 01:47:06.160]   This technology and now there's a website and this is my my obsession of the week
[01:47:06.160 --> 01:47:12.400]   Called this x does not exist. So somebody has started to curate all the goofy
[01:47:13.120 --> 01:47:17.120]   GAN related websites that people are throwing out there
[01:47:17.120 --> 01:47:22.720]   Um, this rental does not exist is one of them. It's a fake Airbnb listings
[01:47:22.720 --> 01:47:26.880]   Uh, this waifu does not exist. I'm not sure what a waifu is. I'm not really
[01:47:26.880 --> 01:47:30.800]   Uh, this startup does not exist. So they're creating those the startup
[01:47:30.800 --> 01:47:39.840]   Websites that we've all seen that all very similar. Oh, I gotta go to that wait a minute. This is again created here's here's one
[01:47:41.840 --> 01:47:46.720]   Premescent using ai in fashion and it's got a nice picture of a fox
[01:47:46.720 --> 01:47:53.840]   Meet the team of pre-mess it get to know the heads behind pre-messen or even better become a pre-messen
[01:47:53.840 --> 01:47:57.280]   Masana la four the cco
[01:47:57.280 --> 01:48:00.000]   Shelline claps the c o o
[01:48:00.000 --> 01:48:02.800]   Thuglass domain the ceo
[01:48:02.800 --> 01:48:05.440]   Premescent is more than just blockchain
[01:48:05.440 --> 01:48:10.160]   Funding calling and startup are just a few characteristics of pre-messent
[01:48:10.560 --> 01:48:14.000]   But we offer a lot more fear it fearless
[01:48:14.000 --> 01:48:16.880]   Eurynstably
[01:48:16.880 --> 01:48:19.600]   Premescent is like google but for fashion
[01:48:19.600 --> 01:48:28.720]   This is this is this is auto generated. This is brilliant. This is this is brilliant
[01:48:28.720 --> 01:48:37.760]   Oh, I think that over time this this site will be populated by lots and lots and lots of examples of some some of them better
[01:48:38.240 --> 01:48:41.840]   than others of again generated
[01:48:41.840 --> 01:48:50.720]   fake data and images and videos and everything and I think that'll be very healthy for us to pay attention and like see what is being produced
[01:48:50.720 --> 01:48:55.200]   So that we can dial down our well dial up our skepticism about
[01:48:55.200 --> 01:48:59.520]   the images and words and sites and everything that we're presented because
[01:48:59.520 --> 01:49:04.320]   The problem with this kind of thing is that you can you can when when you can create
[01:49:04.320 --> 01:49:07.360]   fake
[01:49:07.840 --> 01:49:14.400]   Anything at scale. Yeah, then and let me give you another example that we don't talk about because I wrote about how
[01:49:14.400 --> 01:49:17.360]   This technology could be used to crack security
[01:49:17.360 --> 01:49:22.320]   There there's a can that can actually crack fingerprint
[01:49:22.320 --> 01:49:27.040]   Readers the kind that you you have in your your smartphone. Here's how it works
[01:49:27.040 --> 01:49:30.320]   Basically these fingerprint scanners don't scan the whole fingerprint
[01:49:30.320 --> 01:49:36.160]   They scan little chunks of it and lots of little parts of it to see these patterns that are unique to each person
[01:49:36.560 --> 01:49:41.680]   However, there are some snippets of these fingerprints that are more common than others
[01:49:41.680 --> 01:49:44.000]   And so somebody use GANS to create
[01:49:44.000 --> 01:49:46.960]   thousands and thousands and thousands of
[01:49:46.960 --> 01:49:48.960]   fake
[01:49:48.960 --> 01:49:55.520]   fingerprint snippets that are most likely to pass as real snippets and then they're combined
[01:49:55.520 --> 01:50:01.760]   In all these different variations and so it's essentially a brute force attack on fingerprint readers where they throw
[01:50:02.480 --> 01:50:07.840]   Thousands of these snippets at until they get one to unlock the device and of course this can happen very quickly with
[01:50:07.840 --> 01:50:14.000]   You know fast computers. It's a brute force attack just like a password attack, but you can do it with fingerprints now
[01:50:14.000 --> 01:50:20.240]   Thanks for this technology. So there's lots and lots of ways that this general method can be used to
[01:50:20.240 --> 01:50:26.480]   Do things they're not supposed to be able to do they they they just have absolutely destroy captures
[01:50:27.760 --> 01:50:34.800]   Uh, and so which is ironic because the whole point of a capture is to prove you're human turns out machines are better at proving they're human than people
[01:50:34.800 --> 01:50:36.800]   Oh, of course they are
[01:50:36.800 --> 01:50:38.960]   Wow
[01:50:38.960 --> 01:50:42.240]   Anyway, this x does not exist. I love it. Check it out
[01:50:42.240 --> 01:50:48.000]   This was our 500th episode if you've been listening continuously
[01:50:48.000 --> 01:50:54.560]   Since episode one you've listened for 37 days seven hours 17 minutes and 52 seconds
[01:50:55.760 --> 01:51:01.440]   Time will spend I don't know about that, but it's better than two hours of bs. That's all I could say
[01:51:01.440 --> 01:51:04.160]   Thank you. That's your life. Yeah
[01:51:04.160 --> 01:51:09.760]   That's your life. Yes, this the hours spent on twig. Wow. That's a lot of hours
[01:51:09.760 --> 01:51:14.560]   Uh, thank you stacey higginbotham for spending about uh 20 days of that with us
[01:51:14.560 --> 01:51:20.080]   Stacy on iot.com at kickas stacey on twitter and don't forget her great podcast
[01:51:20.800 --> 01:51:26.160]   With kevin toful all about it enjoy your mola stay see
[01:51:26.160 --> 01:51:29.120]   mola
[01:51:29.120 --> 01:51:34.000]   And from mexico city the peripatetic mic elgin
[01:51:34.000 --> 01:51:36.880]   He's our digital nomad digital nomad.net
[01:51:36.880 --> 01:51:42.880]   You can also gastronomad.net is the place to go to flat out about their events. There is a space opening
[01:51:42.880 --> 01:51:47.680]   In mexico city in just a few days last chance
[01:51:48.240 --> 01:51:50.240]   Tell me an email mike it elga.com
[01:51:50.240 --> 01:51:55.600]   And if you want to go because uh just a stroke of good luck that that is that is available
[01:51:55.600 --> 01:51:59.520]   Astronomad.net if you want to learn more this click the experiences button
[01:51:59.520 --> 01:52:05.280]   That's gonna be so much fun. Can I if I looked over that balcony behind you mike would I see the zokalo
[01:52:05.280 --> 01:52:11.200]   You would not we are not in the location yet because it's okay pretty expensive, but
[01:52:11.200 --> 01:52:16.960]   uh, this is our this is apartment we rent when whenever we're in mexico city and uh, it's a it's a view of a
[01:52:17.520 --> 01:52:23.280]   Kind of an average street in a vaguely posh neighborhood. It's not bad. It's not exciting
[01:52:23.280 --> 01:52:28.720]   Yeah, but the but the the apartment itself is great and has as good Wi-Fi and all that kind of stuff. So that's awesome
[01:52:28.720 --> 01:52:32.320]   Yeah, it was great. Uh, thank you so much for joining us for mexico city. Thank you
[01:52:32.320 --> 01:52:35.200]   Thanks to all of you episode 500
[01:52:35.200 --> 01:52:42.880]   Is almost done. We appreciate your being here. We do this week in google every wednesday afternoon 130 pacific 430 eastern
[01:52:43.680 --> 01:52:48.320]   2030 utc you can watch live or listen live at twit.tv/live if you do that
[01:52:48.320 --> 01:52:51.680]   Chattaway at irc. twit.tv
[01:52:51.680 --> 01:52:59.280]   And of course you can always get on demand versions of our shows at twit.tv/twig or subscribe in your favorite podcast application
[01:52:59.280 --> 01:53:02.000]   To get every single episode
[01:53:02.000 --> 01:53:06.240]   Thank you everybody. We'll see you next week for episode
[01:53:06.240 --> 01:53:09.760]   501 of this week in google. Bye. Bye
[01:53:09.760 --> 01:53:13.220]   [MUSIC PLAYING]
[01:53:13.220 --> 01:53:16.560]   [MUSIC PLAYING]
[01:53:16.560 --> 01:53:19.140]   (upbeat music)

