;FFMETADATA1
title=Stop Spocking My Bills!
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=290
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.580]   It's time for Twig this week in Google. Aaron Nukem joins Jeff Jarvis and me
[01:30:00.800 --> 01:30:03.440]   Star fleet emblum and everything yeah
[01:30:03.440 --> 01:30:05.040]   yeah
[01:30:05.040 --> 01:30:08.640]   And I and I appreciate that spocking is now a verb spot
[01:30:08.640 --> 01:30:10.640]   Spocking your five dollars. That's
[01:30:10.640 --> 01:30:16.240]   That is a tribute worthy of Leonard nemo. I might I might I might see
[01:30:16.240 --> 01:30:20.560]   Uh uber is buying a mapping company
[01:30:20.560 --> 01:30:27.520]   Uh hbo has set its price for its cord cutting version of hbo go 15 bucks a month
[01:30:27.520 --> 01:30:31.280]   A little high well, it's pretty much what you pay for on cable right?
[01:30:31.440 --> 01:30:35.200]   I think that's what the the upshot of this is you won't be able to cord cut to save money
[01:30:35.200 --> 01:30:38.400]   No, oh no, no, but you can save everything else right?
[01:30:38.400 --> 01:30:41.840]   I don't know if if hbo and showtime were available
[01:30:41.840 --> 01:30:47.120]   I that's that then I would start to consider it. Yeah, but then you're gonna have to pay for your internet
[01:30:47.120 --> 01:30:52.000]   By the time you add up all the services it's gonna cost exact I guarantee you
[01:30:52.000 --> 01:30:54.640]   Yeah, they're gonna get you they're figuring this out right now
[01:30:54.640 --> 01:30:58.800]   It's gonna cost you exactly what you're paying now you'll go. Oh, I saved a dollar or maybe it costs a dollar more
[01:30:59.120 --> 01:31:01.120]   It'll be so close
[01:31:01.120 --> 01:31:04.800]   So I uh, I will I also wonder if I go and threaten a cord cut what they would do
[01:31:04.800 --> 01:31:11.360]   Uh, they'll do what they did for me and that's I'm now my second year of free hbo nice. There you go. Oh, there you go
[01:31:11.360 --> 01:31:17.680]   See two two solid years of free hbo and a bunch of other discounts, but I don't know if it's worth it
[01:31:17.680 --> 01:31:19.680]   I mean is is hbo really?
[01:31:19.680 --> 01:31:24.640]   I mean nefflux nefflux is still a flex seven eight bucks a month or something
[01:31:25.280 --> 01:31:29.600]   Yeah, nine bucks. I think yeah, so I mean is that really worth it to get those hbo shows
[01:31:29.600 --> 01:31:34.000]   50 shows you want girls you want girls. Yeah, maybe that's it
[01:31:34.000 --> 01:31:40.240]   thing is the game of thrown in tax is what it does exactly what it is totally I
[01:31:40.240 --> 01:31:46.240]   Um, I am such a fan of wireless charging. I I actually helps me determine what phones to get
[01:31:46.240 --> 01:31:51.600]   I was really pleased to see the s6 is going to be doing both chi and power mat those are competing
[01:31:52.240 --> 01:31:55.520]   Um, I added chi charging to my note for which doesn't come with it
[01:31:55.520 --> 01:31:58.240]   But Samsung sells in a relatively expensive back
[01:31:58.240 --> 01:32:02.640]   And all it does is add a little circuitry you note that when most of the Samsung phones have
[01:32:02.640 --> 01:32:05.440]   Can you know have little connectors for that?
[01:32:05.440 --> 01:32:12.080]   So you just snap that on and a chi charge is not quite as well as the phones that has chi built in but I love chi charging now
[01:32:12.080 --> 01:32:16.160]   IKEA is going to release furniture with built-in chargers
[01:32:16.160 --> 01:32:18.000]   Yeah
[01:32:18.000 --> 01:32:22.400]   Best your night table has it you just put the phone down that's it but you know what I really want leo
[01:32:22.400 --> 01:32:28.080]   I want a desk with chi built in a chi chat chi desk. I want a chi desk chi desk
[01:32:28.080 --> 01:32:32.880]   Yeah, it seems kind of silly to have nightstands. Let's have let's have a desk
[01:32:32.880 --> 01:32:39.040]   Well, I mean at night you put it on nightstand or the day. Are those lamps are those lamps? Do they have chi charging bases?
[01:32:39.040 --> 01:32:41.040]   Yes, so yeah, you do that's nice
[01:32:41.040 --> 01:32:44.000]   Here's the question. Is there a chi charging laptop?
[01:32:45.760 --> 01:32:47.760]   No, it doesn't I don't think I'd be good
[01:32:47.760 --> 01:32:53.840]   Now that was tough to charge. It's using inductance and I have a feeling, you know, it's just not gonna there's a chi charging
[01:32:53.840 --> 01:32:56.640]   Uh cutting board
[01:32:56.640 --> 01:33:02.800]   Apparently what if you why would you want that? It looks like a wedding board. I mean, maybe you have a wireless knife
[01:33:02.800 --> 01:33:06.240]   I don't know. Yeah, it does look like a cutting doesn't it and they've got it surrounded by food
[01:33:06.240 --> 01:33:11.840]   So it's like oh, I'll just uh, you know chop up my meat and leave my phone on the cutting board to charge up
[01:33:12.960 --> 01:33:17.120]   All right. Well, wireless is I'm just I love it and uh all phones should have it
[01:33:17.120 --> 01:33:21.680]   This is so brilliant. Why they didn't think of it before just just to make a phone out of those little pads
[01:33:21.680 --> 01:33:25.040]   I mean you could have fed those into a desk pretty easily. I mean they should be selling a desk
[01:33:25.040 --> 01:33:28.960]   I don't know whether or not but well Richard Richard Jingeris shows off his um
[01:33:28.960 --> 01:33:35.760]   Woodworking projects all the time in bars and stuff, you know, I I could imagine he would make that
[01:33:35.760 --> 01:33:39.360]   Better I think I think wireless is coming to the Starbucks, right?
[01:33:39.360 --> 01:33:43.760]   But there has to be little little elements. Yeah, I mean imagine if you went to a bar and the whole bar was changed
[01:33:43.760 --> 01:33:46.560]   Put your phone down. Yep, it charges. Yep
[01:33:46.560 --> 01:33:53.600]   I'm sad to say that one of my uh heroes matt howie who created meta filter
[01:33:53.600 --> 01:34:00.000]   16 years ago and meta filter. We talked about this was going through an economic crisis of uh of kind
[01:34:00.000 --> 01:34:04.160]   Uh, it wasn't making as much money from google ads and so forth. He's decided to retire
[01:34:04.160 --> 01:34:07.920]   Um, he knows he said it's leaving it in good hands. Yeah
[01:34:08.720 --> 01:34:11.440]   Because the moderators are still there. It's a community
[01:34:11.440 --> 01:34:18.000]   Yeah, but uh, it is this you look at it. It really feels like the uh latter day web doesn't it? It's kind of the good old days
[01:34:18.000 --> 01:34:22.080]   Yeah, and matt is a sweet guy and I I wish him the best
[01:34:22.080 --> 01:34:25.840]   He is a great guy and he's gone through this this surress in the past
[01:34:25.840 --> 01:34:27.840]   He's you know, he asked this question years ago
[01:34:27.840 --> 01:34:32.960]   When I was around it and god bless him stuck it out and stayed with it and really built something amazing. Yep
[01:34:33.920 --> 01:34:38.080]   So matt every season turn turn turn if you want a broadcast career, we got a place for you
[01:34:38.080 --> 01:34:43.840]   Just come on over here. Yeah, and this article from kevin marks facebook twitter and google plus shun
[01:34:43.840 --> 01:34:49.680]   html and he blames that on the on the infographic plague
[01:34:49.680 --> 01:34:57.280]   I don't know kevin by choosing images over links and by restricting mark up facebook twitter and google plus
[01:34:57.280 --> 01:35:02.320]   Are hostile to html and it is true. In fact, there's a new service
[01:35:03.360 --> 01:35:04.800]   that uh
[01:35:04.800 --> 01:35:06.800]   a new iphone app that lets you
[01:35:06.800 --> 01:35:13.760]   Screen cap text and put it in twitter and this is how people are getting around the 140 character barrier
[01:35:13.760 --> 01:35:18.160]   Not only that. I think I think i think medium has a build-in so you can you can do that in medium now
[01:35:18.160 --> 01:35:23.840]   Yeah, that's sad. So it is kind of sad. Here's my plea for why i'm at 2012
[01:35:23.840 --> 01:35:30.400]   Oh, is that oh did I how do i let's buy fault i put it in here. How oh no, it says on march 4th
[01:35:31.520 --> 01:35:33.520]   Unless unless this is an old article
[01:35:33.520 --> 01:35:38.800]   Maybe maybe kevin just typed the wrong year
[01:35:38.800 --> 01:35:45.360]   Please provide equal space for html. That's not going to happen and for authors and designers everywhere stop making giant bit maps
[01:35:45.360 --> 01:35:51.120]   When well written text with charts that are worth the bit spent on charts and charts and charts and texts that are searchable
[01:35:51.120 --> 01:35:56.160]   I mean you don't know the text has quoted yeah in twitter now. You could say the same thing about podcasts
[01:35:56.160 --> 01:36:00.320]   No, this was originally published 2011. Oh, sorry
[01:36:01.280 --> 01:36:06.880]   Why so it just it was on mediums. I was it was new is my fault. Yeah, I think he well. I think he reposted
[01:36:06.880 --> 01:36:11.520]   Yeah, he did. Yeah, so it's great news. It showed up nothing. He's gotten better in three years
[01:36:11.520 --> 01:36:17.200]   Still sort of my feeds as I put it there. So yes, it's it's old scum works as great as hits
[01:36:17.200 --> 01:36:20.160]   We love you kevin. He'll be back soon
[01:36:20.160 --> 01:36:21.760]   uh
[01:36:21.760 --> 01:36:23.760]   Do you want to rant on uh?
[01:36:23.760 --> 01:36:27.280]   No, I just want I think we're going to show the cover first one second if you click on just show the cover
[01:36:27.520 --> 01:36:32.880]   So darsh beagle in germany had what I thought was an absolutely ridiculous. Oh my god
[01:36:32.880 --> 01:36:35.600]   so it has uh
[01:36:35.600 --> 01:36:41.120]   Not the ceo of google but but sari a brand sir. Yeah brand marissa mire mark zucker berg
[01:36:41.120 --> 01:36:43.520]   Who's this guy to sarger's right?
[01:36:43.520 --> 01:36:45.440]   Travis
[01:36:45.440 --> 01:36:50.080]   Kalanek uber. Oh uber's Travis Kalanek and of course tim cook and it's develt
[01:36:50.080 --> 01:36:56.960]   Rigid wrong regarold government house silicon valley is controlling our future
[01:36:57.120 --> 01:36:59.120]   Oh, come on and it's just
[01:36:59.120 --> 01:37:05.200]   Obnoxious now. I I used the german n-word to describe this and I got accused of violating godwood's law
[01:37:05.200 --> 01:37:08.240]   But my real argument is that is that they were using
[01:37:08.240 --> 01:37:12.960]   That kind of when you're talking about ruling the world, you know, that's exactly
[01:37:12.960 --> 01:37:18.240]   Rhetoric is just over the top ridiculous and the thing is actually I kind of agree
[01:37:18.240 --> 01:37:23.040]   It's good. I think these guys are met they left out elon musk. They left out a few people
[01:37:23.040 --> 01:37:26.000]   Yeah, I mean, they're just pandering to the
[01:37:26.800 --> 01:37:28.800]   I mean the
[01:37:28.800 --> 01:37:31.600]   Large popular opinion over in europe right though. I mean, isn't this
[01:37:31.600 --> 01:37:38.560]   They're totally pandering to a fear. I think a common fear that one can welcome our new silicon valley over lorn
[01:37:38.560 --> 01:37:43.920]   I do too. I want smart people to run the world. I'm ready to move neither ambitious politicians
[01:37:43.920 --> 01:37:46.000]   It's going to be a hell of a lot better than congress
[01:37:46.000 --> 01:37:47.360]   Yeah
[01:37:47.360 --> 01:37:52.080]   I'm ready to move into the new google verse and shun the rest of society right the google plex
[01:37:52.080 --> 01:37:55.360]   I'll I'll live under the dome. Yeah, that's what it takes live under the dome
[01:37:55.920 --> 01:37:58.880]   Yeah zombies be damned embrace the dome people
[01:37:58.880 --> 01:38:03.760]   Um
[01:38:03.760 --> 01:38:08.080]   But it is the it is the staple it has been for decades of a lot of science fiction the idea
[01:38:08.080 --> 01:38:10.640]   In fact, I think uh, neuromancer corporate
[01:38:10.640 --> 01:38:13.760]   Corporations run the world not governments
[01:38:13.760 --> 01:38:16.560]   And I think that we're headed that way a little bit. Yeah
[01:38:16.560 --> 01:38:21.520]   When you see steve wasne act in a Cadillac commercial, you know times are chaining
[01:38:25.360 --> 01:38:32.480]   Die it said tell me again d veldraiga room veldra gear on developed regi room. I like it
[01:38:32.480 --> 01:38:35.280]   So you don't need to go any further ramp
[01:38:35.280 --> 01:38:38.080]   Just answered me today
[01:38:38.080 --> 01:38:44.000]   Eagle gets a big pass for me. They've been one of the journals publishing a lot of the snowed material
[01:38:44.000 --> 01:38:46.560]   I'm gonna give him a pass
[01:38:46.560 --> 01:38:52.720]   I would have to I would respect them. I think they're just over the top over the top too much too much
[01:38:54.320 --> 01:38:56.160]   Um
[01:38:56.160 --> 01:38:59.040]   Yes, let's move on. We're gonna get your tips picks
[01:38:59.040 --> 01:39:04.000]   Number of the week and uh, we're gonna do an inside twit right after lee says told me we want
[01:39:04.000 --> 01:39:08.560]   To tell the world what's going on at this little business of ours
[01:39:08.560 --> 01:39:13.680]   This little light of mine. I'm gonna let it shine our show brought to you by hit chat
[01:39:13.680 --> 01:39:19.920]   Actually, uh, I do have some updates on our our website. We've been using that's when I first encountered hip chat
[01:39:20.240 --> 01:39:24.000]   We've been using it with our web design team in austin down there at four kitchens
[01:39:24.000 --> 01:39:28.400]   And they're they're big at lassi and house. They use jira and all that stuff if you're a developer
[01:39:28.400 --> 01:39:34.160]   Hip chat makes a whole heck of a lot of sense at first you look at it and go well. It's just instant messenger. Oh, no
[01:39:34.160 --> 01:39:38.160]   It's a whole lot more. It's kind of instant messenger on steroids. It allows you to do
[01:39:38.160 --> 01:39:41.840]   uh document sharing video chat screen sharing
[01:39:41.840 --> 01:39:45.520]   Um, it works with 57 services
[01:39:46.560 --> 01:39:51.680]   So there's a sense of fun to it too much like hangouts. It has like, you know, mojis and fun things
[01:39:51.680 --> 01:39:55.920]   It's just a great way to stay in touch with a team, especially if that team is spread out
[01:39:55.920 --> 01:40:01.520]   Email too slow. It's asynchronous meetings. Oh god. Don't not another meeting
[01:40:01.520 --> 01:40:05.600]   Regular instant messaging doesn't have all the features that hip chat does
[01:40:05.600 --> 01:40:09.760]   And it even works with github and jira of course and zendesk
[01:40:09.760 --> 01:40:15.440]   We use it. I have hip chat running on all my systems all my mobile devices works everywhere you are
[01:40:15.440 --> 01:40:20.400]   There's even a great html5 based web version. So on a chrome book. No problem
[01:40:20.400 --> 01:40:22.960]   easy to use
[01:40:22.960 --> 01:40:27.360]   We've built a hip chat team for our engineering team our sales team
[01:40:27.360 --> 01:40:30.400]   It's just amazing get your team in the same page in seconds
[01:40:30.400 --> 01:40:34.960]   Of course hip chat has a freemium version you can use free forever but for the next 30 days
[01:40:34.960 --> 01:40:39.600]   You're going to get the full version of hip chat including bonus features of video and screen sharing
[01:40:39.600 --> 01:40:41.920]   You can try hip chat
[01:40:41.920 --> 01:40:44.720]   Free no credit card required at hip chat hip
[01:40:44.720 --> 01:40:49.040]   chat.com/twig
[01:40:49.040 --> 01:40:53.360]   Of course it supports linux. Of course it supports linux sign up
[01:40:53.360 --> 01:40:57.360]   Click on start chatting and invite a few team members and try it free for 30 days
[01:40:57.360 --> 01:40:59.280]   In fact, I want to kind of get it going here
[01:40:59.280 --> 01:41:06.640]   So for the for the first hundred people that respond to this ad you're going to get 90 days free three months free
[01:41:06.640 --> 01:41:09.680]   Hip chat.com/twig get on in there
[01:41:10.080 --> 01:41:12.320]   Hip chat your team your project in sync
[01:41:12.320 --> 01:41:14.960]   instantly
[01:41:14.960 --> 01:41:17.360]   Hip chat's cool
[01:41:17.360 --> 01:41:18.960]   Do you what do you use it net app?
[01:41:18.960 --> 01:41:23.680]   Use a combination of things we use a chatter because we're sales force, you know sales people use sales force
[01:41:23.680 --> 01:41:26.160]   We use instant messenger. We use a lot of Cisco tools
[01:41:26.160 --> 01:41:29.520]   But what's nice about hip chat is it kind of combines all that stuff it solves that
[01:41:29.520 --> 01:41:35.760]   It solves that the other thing is uh, it's uh encrypted. Yeah, and then encrypted. So it's a really good choice for
[01:41:36.560 --> 01:41:41.760]   Uh, a team that is you know, and like you said especially developers some of the things that they plug into the all the tools that they plug into
[01:41:41.760 --> 01:41:44.960]   Oh, it's so cool. I don't want to extend the commercial, but it is I've looked at it
[01:41:44.960 --> 01:41:49.360]   It is really exciting products. Well, you know, there's a lot of attention to a slackster but it feels slack right now
[01:41:49.360 --> 01:41:56.960]   But as somebody said, okay, are you gonna are you gonna use a tool designed by Atlassian by programmers for programmers for teams
[01:41:56.960 --> 01:42:00.160]   Are you guys a tool by a guy who did flicker and glitch? Right?
[01:42:00.160 --> 01:42:02.880]   Right actually slack is cool, but
[01:42:02.880 --> 01:42:06.240]   Hip chat is the tool we use and I'm really fond of it. Yep
[01:42:06.720 --> 01:42:12.480]   Uh, erin you got something you want to you you're doing I love all the projects and stuff you do and the things you do
[01:42:12.480 --> 01:42:17.360]   Yeah, uh, you last time you were here. You brought an old time radio device. It was really a rasprit
[01:42:17.360 --> 01:42:23.120]   You're interested in the windows 10 version of rasprit. Uh, I'm I'm I am interested in it
[01:42:23.120 --> 01:42:25.840]   I'm interested in it. Absolutely. In fact, I just did a review for byb
[01:42:25.840 --> 01:42:31.760]   Which will be coming up shortly on the rasprit pi model 2 and I forgot to mention it runs windows 10
[01:42:31.760 --> 01:42:33.440]   Yeah, um
[01:42:33.440 --> 01:42:39.680]   You know what I'm interested in fun to do is make a twit box. Yeah, you know like a steam box, but it's a twit box, right?
[01:42:39.680 --> 01:42:44.880]   Because it has hdmi out there. Yeah, absolutely low power. We could charge 40 bucks for it. Yeah
[01:42:44.880 --> 01:42:49.360]   And then just you plug it in and you get twit on it and you get twit absolutely all the time
[01:42:49.360 --> 01:42:54.240]   You could totally do that in a lot more. I mean a lot of people run xbmc or not sign expensive anymore
[01:42:54.240 --> 01:42:57.600]   It's what I think that's what we do. We put we put plex on it or whatever and uh, right?
[01:42:57.600 --> 01:42:59.840]   Right and then have uh
[01:42:59.840 --> 01:43:05.760]   Things have it all set up, but it's set up for twit for twit. Yeah. Yeah, you turn it on and boop. There you go choose your show
[01:43:05.760 --> 01:43:10.880]   Get absolutely doing so you're doing refrigerator magnets refrigerator magnets. I try to bring something
[01:43:10.880 --> 01:43:17.520]   Um because you know, I'm a maker at heart and I'm always making something I figure what we need to mix it up a little bit on twig
[01:43:17.520 --> 01:43:21.440]   So, um, I like to bring a project. So my project today is refrigerator magnets
[01:43:21.440 --> 01:43:28.400]   So don't throw out those old keyboards. Oh a lot of things we talk about at the maker space is reuse those old electronics
[01:43:28.400 --> 01:43:32.000]   And this is a great way to reuse keyboards. They already have the letters printed on them
[01:43:32.000 --> 01:43:37.440]   So why not just attach some magnets to the back? Oh and they can use them as refrigerator magnets. That's cool
[01:43:37.440 --> 01:43:39.280]   Yeah, it's kind of cool and techie
[01:43:39.280 --> 01:43:42.160]   Uh really easy to do you can just pry those things right off
[01:43:42.160 --> 01:43:44.720]   You don't have to worry about breaking them because you're going to reuse them anyway
[01:43:44.720 --> 01:43:48.160]   Uh, basically you just saw off after you take the keys out
[01:43:48.160 --> 01:43:52.880]   They'll be a little post well here you go. Here's right in the video say that little post is from instructables
[01:43:52.880 --> 01:43:57.520]   This is from instructables. Um, you just kind of take that little post off where it plugs into the keyboard
[01:43:58.000 --> 01:44:00.000]   Amazing how easy it is to break on. I know
[01:44:00.000 --> 01:44:05.600]   Well, I've got that to clean keyboards actually you just glue on little those little magnets and you can even recycle these
[01:44:05.600 --> 01:44:08.400]   I don't know about you, but I get these from real estate agents and stuff
[01:44:08.400 --> 01:44:13.360]   They send you a calendar that comes up the calendar put it up those magnets reuse the magnets
[01:44:13.360 --> 01:44:18.400]   And then put these on your refrigerator and uh, you know if you got a couple of keyboards
[01:44:18.400 --> 01:44:21.760]   Then you can really start, you know spelling some cool words or doing some cool
[01:44:21.760 --> 01:44:25.680]   That's kind of like the uh the poetry magnets, you know, but yeah a little geeky here
[01:44:26.080 --> 01:44:28.080]   A little fun. Yeah
[01:44:28.080 --> 01:44:30.480]   Instructables.com if you uh want to know
[01:44:30.480 --> 01:44:36.000]   Uh more. Yeah, or just google just google a keyboard refrigerator magnets. There's several
[01:44:36.000 --> 01:44:39.840]   Uh several good instructables and links to projects out there that you could follow
[01:44:39.840 --> 01:44:44.400]   God bless the hot glue gun. That's right. Do you have a favored hot glue gun?
[01:44:44.400 --> 01:44:48.080]   No, just about anything you can even get them at the dollar store
[01:44:48.080 --> 01:44:53.520]   Right. I mean they work fine. So just about any hot glue gun mine has hot and cold
[01:44:54.080 --> 01:44:58.400]   You know hot and not so hot temperature control, which is nice. Yeah, it's kind of
[01:44:58.400 --> 01:45:01.280]   It's just not any glue gun to work. A tepid glue gun. Yep
[01:45:01.280 --> 01:45:02.560]   A tepid glue gun. That's right
[01:45:02.560 --> 01:45:10.320]   Jeff your number or the week? Uh, well, how do you follow Martha Stewart, you know, I know it's tough
[01:45:10.320 --> 01:45:12.880]   Uh our our Martha
[01:45:12.880 --> 01:45:15.760]   So, um
[01:45:15.760 --> 01:45:21.280]   Recode, uh, Lauren good. I presume it's good not good. E with an E at the end, but I'll presume good
[01:45:21.360 --> 01:45:27.600]   I think you're right. It's good. I think yeah, I think it is. Okay. Good said, uh, that google says that the error rate
[01:45:27.600 --> 01:45:31.760]   On google voice commands is down to 8% 92% of the time
[01:45:31.760 --> 01:45:33.040]   Wow
[01:45:33.040 --> 01:45:36.160]   So she had a fun story where she just watching house of cards
[01:45:36.160 --> 01:45:40.240]   She just tried to use it and the the fun is to give me a good set list
[01:45:40.240 --> 01:45:41.840]   You mean you hold it up to frank question
[01:45:41.840 --> 01:45:43.360]   And it does searches
[01:45:43.360 --> 01:45:45.600]   Yeah, no, no, it didn't do that. That's too cool
[01:45:45.600 --> 01:45:48.800]   But all the questions she had she just asked google. Yeah
[01:45:49.440 --> 01:45:56.080]   And and you know, I I forget to use voice command and it really does become changing when you do use it when I do dictator or
[01:45:56.080 --> 01:45:58.720]   Ask a question really does make life a lot easier
[01:45:58.720 --> 01:46:02.720]   And I like this story because it was it was a whole bunch of questions about
[01:46:02.720 --> 01:46:08.240]   Um, how's the cards plus other things in life and what worked and what didn't and it does work pretty darn well
[01:46:08.240 --> 01:46:10.480]   Nate
[01:46:10.480 --> 01:46:14.960]   8% that's the name 8% is higher than you think I mean that so
[01:46:15.680 --> 01:46:21.280]   For years we used programs like dragon naturally speaking to dictate and it was it was like 90% accurate
[01:46:21.280 --> 01:46:22.960]   That sounds really good
[01:46:22.960 --> 01:46:25.920]   Until you realize that means one in every 10 words you have to retype
[01:46:25.920 --> 01:46:28.160]   Yeah, suddenly that's not so good
[01:46:28.160 --> 01:46:32.480]   So the problem here I think is that it just it utterly flummoxes on some things right
[01:46:32.480 --> 01:46:36.640]   You know some restaurant names and stuff the thing that drives me nuts when I exalt
[01:46:36.640 --> 01:46:39.760]   I'm driving home and I want to order out for food on the way home
[01:46:39.760 --> 01:46:44.640]   And so I use voice command. I'm not gonna type anything and I'll ask for a rest that there's two
[01:46:45.440 --> 01:46:49.840]   Um, there's a place around here called urban table. There's two of them. There's one near me
[01:46:49.840 --> 01:46:55.040]   I ask for it by town and google never gives it to me. I know that's frustrating, isn't it?
[01:46:55.040 --> 01:46:58.560]   I can't figure out. I'm giving you the data google. Why can't you figure this out?
[01:46:58.560 --> 01:47:03.040]   Yeah, I don't know. I don't understand. They're not perfect. It turns out. Yeah, that's that's the revelation of the day
[01:47:03.040 --> 01:47:05.440]   Isn't that weird? We all kind of
[01:47:05.440 --> 01:47:09.520]   Have our our own ways of looking things up that to make sure we get the right thing
[01:47:09.520 --> 01:47:11.840]   I mean, I'm sure that we all do that right? I do
[01:47:11.840 --> 01:47:13.120]   Yeah, I'll type in you know
[01:47:13.120 --> 01:47:15.360]   I know that if I type in one thing, it's not going to give me the right thing
[01:47:15.360 --> 01:47:16.560]   So I type in
[01:47:16.560 --> 01:47:21.200]   You know the name of the restaurant game google you game google. Yeah, you totally game google after a while
[01:47:21.200 --> 01:47:27.440]   Um, I just yell louder. That doesn't seem to help at all. I know I I have said some very nasty words
[01:47:27.440 --> 01:47:35.040]   Very ridiculous as we're driving like we have road rage. We're just upset with google can't hear what we're saying in our cars
[01:47:35.040 --> 01:47:39.120]   I'll bet there's somebody at google who has a running f counter people screaming in
[01:47:39.760 --> 01:47:41.760]   Google apparently
[01:47:41.760 --> 01:47:49.280]   Did you see that article that uh who whose text to speech was being saved a series series? Yeah, and a guy
[01:47:49.280 --> 01:47:54.960]   I can't remember if it was read it or somewhere said hey by the way you should know I work for a company where we're going through
[01:47:54.960 --> 01:47:57.200]   um
[01:47:57.200 --> 01:48:02.560]   These audio transcriptions is quite a few of them and I don't know they're mining data of some kind out of them nothing
[01:48:02.560 --> 01:48:04.160]   ominous
[01:48:04.160 --> 01:48:06.480]   But he realized they were actually serie. Yeah
[01:48:07.040 --> 01:48:09.520]   And that uh all of that stuff is being saved
[01:48:09.520 --> 01:48:13.440]   And he says it's quite entertaining to hear the kinds of things people say
[01:48:13.440 --> 01:48:16.640]   To serie and apparently there's a database somewhere
[01:48:16.640 --> 01:48:17.920]   Uh-oh
[01:48:17.920 --> 01:48:23.280]   Just you should be aware of that. I think that big uh, sure over the sam-sung tv's
[01:48:23.280 --> 01:48:28.960]   Always baffled me because I thought well, don't you know that that everybody has to do that
[01:48:28.960 --> 01:48:31.920]   If there's no way that these devices can do voice recognition
[01:48:32.320 --> 01:48:37.120]   Effectively without being online. Yep. The server is always getting your voice after you trigger it
[01:48:37.120 --> 01:48:42.480]   Have have you talked on this show about the fact that all of all the voice searches you've ever done while logged into google
[01:48:42.480 --> 01:48:48.560]   Are actually catalogued for you and you hear all those audio files. Yeah, and what I found really interesting about this
[01:48:48.560 --> 01:48:53.840]   It doesn't really creep me out that this happens because I just kind of assume that's just part of how the service works
[01:48:53.840 --> 01:48:55.680]   And it's gonna happen or whatever
[01:48:55.680 --> 01:49:00.160]   What's weird is as i've gotten so used to wearing an android wear watch all the time
[01:49:00.560 --> 01:49:05.360]   All the random misfires that happen throughout the day you're talking and suddenly i get a lot of those
[01:49:05.360 --> 01:49:08.960]   Yeah, so when you look at the list you see all of these transcriptions
[01:49:08.960 --> 01:49:12.560]   Some of them are actual searches like okay, google search for blah blah blah
[01:49:12.560 --> 01:49:14.960]   But others are like parts of your daily life
[01:49:14.960 --> 01:49:18.960]   Just like a conversation that you're having or something that you're listening to
[01:49:18.960 --> 01:49:25.120]   Is really interesting to see it in that perspective and be like wow a lot of the things that I intend to be
[01:49:25.120 --> 01:49:29.760]   You know, it's past to google r and then there's a lot of stuff that I do not intend for google
[01:49:29.760 --> 01:49:35.120]   I think there's a writer for the good wife watching you're gonna see an episode based around that
[01:49:35.120 --> 01:49:37.440]   Why do the words murder
[01:49:37.440 --> 01:49:39.920]   Some up in your google transcript
[01:49:39.920 --> 01:49:46.000]   I'm almost tempted to play some of these this is in your dashboard right google.com slash dashboard under audio
[01:49:46.000 --> 01:49:50.000]   I think it's under audio because I see yeah you're under audio
[01:49:50.000 --> 01:49:53.840]   Uh, there you go. I don't know if I dare play any of these
[01:49:54.000 --> 01:49:59.600]   You'll see some of them and I wonder if some of them are you know, look and tell you what it is
[01:49:59.600 --> 01:50:01.680]   How about this you want to listen?
[01:50:01.680 --> 01:50:03.200]   Okay google
[01:50:03.200 --> 01:50:08.000]   How many tablespoons of sugar are there in 16 ounces of soda?
[01:50:08.000 --> 01:50:13.120]   That was uh, that was at a pizza parlor. I was man. You have to have a misfire in there though
[01:50:13.120 --> 01:50:18.240]   About drinking soda, uh, yeah, we were talking talking here. How about this one?
[01:50:18.240 --> 01:50:21.120]   On my way home now period
[01:50:21.120 --> 01:50:24.320]   Do you want me to come right home or is it okay if I stop at the
[01:50:24.320 --> 01:50:32.000]   So that one's intentional. Yeah. Yeah, no, I'm recording no all of these are some of them are not I have tons that are not intentional
[01:50:32.000 --> 01:50:35.680]   Let me play the yeah, I don't know if I want to play this is it nine this morning
[01:50:35.680 --> 01:50:38.480]   I yeah, you know what?
[01:50:38.480 --> 01:50:40.480]   I know right
[01:50:40.480 --> 01:50:44.880]   And by the way, only you can see these yes and you can delete them
[01:50:44.880 --> 01:50:50.640]   Um, but yeah, isn't that wild. I don't know if people know that you crazy. No, that's crazy. Yeah. Yeah
[01:50:51.280 --> 01:50:53.280]   um
[01:50:53.280 --> 01:50:56.800]   Okay enough of that
[01:50:56.800 --> 01:50:59.920]   We could all get a I should have previewed these ahead of time
[01:50:59.920 --> 01:51:06.720]   Because I don't know what happened in nine this morning, but uh, but was it was my watch? Did you do it? Oh?
[01:51:06.720 --> 01:51:13.200]   That's why I'm not sure. I want to quick. I can have it in preview and then I know oh, you just want to hear it
[01:51:13.200 --> 01:51:18.640]   You saw my butt yesterday. How much more do you want? Okay, that's true. I just
[01:51:19.360 --> 01:51:23.520]   Anyways, no comment. We didn't air it, but I was going through it. We were showing how
