;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[00:17:12.600 --> 00:17:14.600]   But he kept who was the size.
[00:17:14.600 --> 00:17:20.760]   Yeah, the other guy was in notorious, you know, right.
[00:17:20.760 --> 00:17:24.160]   Again, though, we got to defend him because that's the problem.
[00:17:24.160 --> 00:17:25.160]   That's yeah.
[00:17:25.160 --> 00:17:26.160]   I mean, it's he's hard to defend.
[00:17:26.160 --> 00:17:29.280]   You're forced to defend them, even though you don't want to defend them.
[00:17:29.280 --> 00:17:30.280]   You have.
[00:17:30.280 --> 00:17:31.280]   So what about this question?
[00:17:31.280 --> 00:17:37.760]   What if he had been if a Democrat were in the White House and he were charged with interfering
[00:17:37.760 --> 00:17:40.440]   with the American election as a dupe on Putin?
[00:17:40.440 --> 00:17:42.000]   That's different.
[00:17:42.000 --> 00:17:44.200]   I mean, things that that is different, right?
[00:17:44.200 --> 00:17:45.200]   Yeah.
[00:17:45.200 --> 00:17:53.680]   But then you're not charging him with doing journalism, charging him with acting as a
[00:17:53.680 --> 00:17:54.680]   foreign agent.
[00:17:54.680 --> 00:17:55.680]   Yes.
[00:17:55.680 --> 00:17:56.760]   Or you I just released emails, man.
[00:17:56.760 --> 00:17:58.840]   I just got information out there.
[00:17:58.840 --> 00:17:59.920]   That's journalism, he would argue.
[00:17:59.920 --> 00:18:00.920]   Well, and it's the fundamental.
[00:18:00.920 --> 00:18:01.920]   I agree with you, Leo.
[00:18:01.920 --> 00:18:02.920]   So that's the argument.
[00:18:02.920 --> 00:18:07.920]   One of the things we talked about on Twitter on this issue was the stark contrast between
[00:18:07.920 --> 00:18:11.320]   what Edward Snowden did in WikiLeaks does.
[00:18:11.320 --> 00:18:17.840]   So Edward Snowden also had a vast trove of information from the NSA that was illegally
[00:18:17.840 --> 00:18:19.320]   exfiltrated.
[00:18:19.320 --> 00:18:21.400]   He knew that he was in jeopardy.
[00:18:21.400 --> 00:18:26.000]   He attempted to do a whistle blowing thing and was rejected by the agency.
[00:18:26.000 --> 00:18:27.640]   So he said, here's what I'm going to do.
[00:18:27.640 --> 00:18:29.080]   I'm going to take this information.
[00:18:29.080 --> 00:18:32.280]   I am going to get it to a number of newspapers.
[00:18:32.280 --> 00:18:37.160]   I'm going to flee the country because I know regardless of what happens, I will be prosecuted
[00:18:37.160 --> 00:18:38.160]   for this.
[00:18:38.160 --> 00:18:43.080]   Newspapers will be able to vet the material and release it with impunity.
[00:18:43.080 --> 00:18:51.320]   And that has a dual effect on that the newspapers with reduction.
[00:18:51.320 --> 00:18:53.280]   Release it with forethought.
[00:18:53.280 --> 00:18:54.280]   And that has a second.
[00:18:54.280 --> 00:18:55.280]   So there's two things.
[00:18:55.280 --> 00:18:57.840]   One, the newspapers aren't going to go to jail because they're newspapers.
[00:18:57.840 --> 00:19:01.480]   But two, only the stuff that's safe to release can be released.
[00:19:01.480 --> 00:19:02.480]   It won't.
[00:19:02.480 --> 00:19:07.200]   In fact, WikiLeaks has been accused with the diplomatic cables that are released of putting
[00:19:07.200 --> 00:19:09.920]   people in jeopardy, putting foreign agents in jeopardy.
[00:19:09.920 --> 00:19:14.000]   Yeah, although there's no evidence, even government sources have said there's no evidence that
[00:19:14.000 --> 00:19:16.520]   any of those cables put anybody in jeopardy.
[00:19:16.520 --> 00:19:22.840]   But nevertheless, Snowden avoided any even whiff of impropriety, the theory being that
[00:19:22.840 --> 00:19:27.120]   the Washington Post, the New York Times, the Guardian, these people are going to go through
[00:19:27.120 --> 00:19:31.600]   it and clean it up, redact it, as you say, and put out the stuff that the people need
[00:19:31.600 --> 00:19:32.600]   to know.
[00:19:32.600 --> 00:19:34.920]   But that's what fascinates me about this, about WikiLeaks.
[00:19:34.920 --> 00:19:36.400]   WikiLeaks is the opposite.
[00:19:36.400 --> 00:19:38.240]   There's no editing, no redaction.
[00:19:38.240 --> 00:19:39.240]   It's a dump.
[00:19:39.240 --> 00:19:40.240]   Literally it is.
[00:19:40.240 --> 00:19:43.360]   He was enraged that the papers were redacted at all.
[00:19:43.360 --> 00:19:45.400]   That's what they released me about.
[00:19:45.400 --> 00:19:52.440]   WikiLeaks in the beginning, before it's on sort of lost his mind.
[00:19:52.440 --> 00:19:58.200]   So as Snowden went through this sort of traditional media route, leak to the papers, and then
[00:19:58.200 --> 00:20:06.200]   they published, WikiLeaks was like this thing outside of all norms of conduct that was
[00:20:06.200 --> 00:20:09.360]   just publishing things and releasing them on the internet.
[00:20:09.360 --> 00:20:16.080]   And what that did was force people to confront sort of new media, if you will.
[00:20:16.080 --> 00:20:17.080]   Exactly.
[00:20:17.080 --> 00:20:18.080]   Everyone can be a journalist.
[00:20:18.080 --> 00:20:19.080]   Everyone can be a publisher.
[00:20:19.080 --> 00:20:20.080]   It's the digital.
[00:20:20.080 --> 00:20:21.000]   Everyone can distribute content.
[00:20:21.000 --> 00:20:22.440]   It's the digital Daniel Ellsberg.
[00:20:22.440 --> 00:20:23.440]   It's the digital.
[00:20:23.440 --> 00:20:24.440]   Yeah, I got papers.
[00:20:24.440 --> 00:20:26.320]   And that changes everything.
[00:20:26.320 --> 00:20:31.200]   No gatekeepers, no, just release whatever information you have.
[00:20:31.200 --> 00:20:34.240]   But obviously there's problems with that.
[00:20:34.240 --> 00:20:40.120]   But I was fascinated by this sort of non-traditional journalistic entity because some of the things
[00:20:40.120 --> 00:20:43.360]   it was doing were clearly journalistic, not all of them.
[00:20:43.360 --> 00:20:47.120]   And I don't know, to be honest, people keep saying, is Assange a journalist?
[00:20:47.120 --> 00:20:48.120]   Was he a journalist?
[00:20:48.120 --> 00:20:49.120]   So I don't know.
[00:20:49.120 --> 00:20:50.120]   What's a journalist?
[00:20:50.120 --> 00:20:53.360]   Here's a fundamental question then.
[00:20:53.360 --> 00:20:57.480]   We accept the First Amendment should protect free speech and that that free speech should
[00:20:57.480 --> 00:21:04.200]   be extended to journalists, newspapers, particularly so that truth can be spoken to
[00:21:04.200 --> 00:21:06.840]   power.
[00:21:06.840 --> 00:21:10.840]   Does the fact that it's a dump versus a redirected...
[00:21:10.840 --> 00:21:12.240]   Does that change that?
[00:21:12.240 --> 00:21:13.240]   It's irrelevant, right?
[00:21:13.240 --> 00:21:14.240]   No.
[00:21:14.240 --> 00:21:16.840]   The First Amendment doesn't protect journalists.
[00:21:16.840 --> 00:21:20.280]   It protects everybody, but against government.
[00:21:20.280 --> 00:21:21.280]   It protects speech.
[00:21:21.280 --> 00:21:27.240]   Restrictions on speech, but the upshot of it is that newspapers can just...
[00:21:27.240 --> 00:21:28.840]   More than impunity publish what they want.
[00:21:28.840 --> 00:21:30.600]   But there's nothing about newspapers in there.
[00:21:30.600 --> 00:21:31.600]   Of course not.
[00:21:31.600 --> 00:21:32.600]   That's the great thing about it.
[00:21:32.600 --> 00:21:36.960]   Well, and the fact that the Founding Fathers, after writing the First Amendment immediately
[00:21:36.960 --> 00:21:41.480]   broke it by restricting what newspapers could write about.
[00:21:41.480 --> 00:21:44.600]   I can't remember what it was, the tax act or something.
[00:21:44.600 --> 00:21:49.400]   It just shows that even the founders didn't really believe in it.
[00:21:49.400 --> 00:21:51.160]   So it's been under assault ever since.
[00:21:51.160 --> 00:21:53.200]   Nevertheless, I think, at least...
[00:21:53.200 --> 00:21:58.160]   And we are, by the way, one of the few, if not only countries that has such a First Amendment,
[00:21:58.160 --> 00:21:59.160]   right?
[00:21:59.160 --> 00:22:00.160]   Amen.
[00:22:00.160 --> 00:22:03.480]   It's got worse and worse and worse with the regulation of the net.
[00:22:03.480 --> 00:22:07.520]   So it's a challenge in the digital age to...
[00:22:07.520 --> 00:22:09.040]   Because I think you can make a reasonable case.
[00:22:09.040 --> 00:22:11.760]   Remember that the First Amendment is limited a little bit?
[00:22:11.760 --> 00:22:17.040]   Was it Felix Frankfurter who said, "But you can't shout fire in a crowded theater if
[00:22:17.040 --> 00:22:18.600]   there isn't a fire?
[00:22:18.600 --> 00:22:19.600]   That's not protected.
[00:22:19.600 --> 00:22:22.080]   So if it endangers people, it's not protected.
[00:22:22.080 --> 00:22:27.840]   Can that be used to say, "Well, these WikiLeaks data dumps endangered people so they aren't...
[00:22:27.840 --> 00:22:29.600]   Those parts of it are not protected."
[00:22:29.600 --> 00:22:34.320]   Actually, the First Amendment rules in all the jurisprudence.
[00:22:34.320 --> 00:22:40.280]   You have to prove that there's a tangible and specific imminent threat.
[00:22:40.280 --> 00:22:45.400]   Tangible and specific imminent threat to specific individuals.
[00:22:45.400 --> 00:22:47.880]   You can't just say, "This is threatening language."
[00:22:47.880 --> 00:22:50.960]   By the way, it was Oliver Wonder Holmes, not Felix Frankfurter.
[00:22:50.960 --> 00:22:52.680]   He actually changed his mind.
[00:22:52.680 --> 00:22:55.840]   The fire in a crowded theater case is fascinating if you look at it.
[00:22:55.840 --> 00:22:57.320]   There's a great article in the Atlantic.
[00:22:57.320 --> 00:22:59.720]   Yeah, that's a great article right there by Trevor.
[00:22:59.720 --> 00:23:03.040]   It's time to stop using that quote, Trevor Tim.
[00:23:03.040 --> 00:23:04.280]   It's hugely problematic.
[00:23:04.280 --> 00:23:09.440]   In fact, Holmes changed his mind later and said it was a dumb decision.
[00:23:09.440 --> 00:23:13.960]   So then you don't think that endangering somebody is...
[00:23:13.960 --> 00:23:18.360]   So that's the question of free speech.
[00:23:18.360 --> 00:23:19.360]   What is the limit?
[00:23:19.360 --> 00:23:20.840]   Yeah, what's the limit?
[00:23:20.840 --> 00:23:21.840]   I know there's been...
[00:23:21.840 --> 00:23:29.640]   I've had discussions with people about the use of radio in Rwanda, for example.
[00:23:29.640 --> 00:23:36.000]   Radio programs, preachers and so on, calling for violence, helped fuel massacres.
[00:23:36.000 --> 00:23:38.320]   We've got lots of examples.
[00:23:38.320 --> 00:23:43.760]   What's apps groups in India that create rape squads?
[00:23:43.760 --> 00:23:46.720]   But is what's apt to blame for that?
[00:23:46.720 --> 00:23:50.480]   I mean, those people could have just been talking to each other around a campfire.
[00:23:50.480 --> 00:23:55.800]   There's nothing about the app itself except that it distributes it much farther in fact.
[00:23:55.800 --> 00:24:00.360]   That's the conversation we have a lot on the show is the weaponization is what makes
[00:24:00.360 --> 00:24:04.720]   it so very different, the power of the internet.
[00:24:04.720 --> 00:24:11.040]   But I think if you're committed to the idea that free speech and freedom of information
[00:24:11.040 --> 00:24:17.680]   has social benefits that outweigh the disadvantages, then you pretty much have to support something
[00:24:17.680 --> 00:24:22.040]   like Wikileaks, even though Julian Assange isn't asshole.
[00:24:22.040 --> 00:24:26.520]   It's interesting because this original fire in a crowded theater, which goes back to World
[00:24:26.520 --> 00:24:32.960]   War I, was decided it was against the secretary of the Socialist Party of America.
[00:24:32.960 --> 00:24:37.880]   He wrote a pamphlet opposing the draft during World War I.
[00:24:37.880 --> 00:24:40.960]   It didn't call for violence, it didn't call for civil disobedience.
[00:24:40.960 --> 00:24:48.400]   The Supreme Court put him in jail because they ruled it was a clear and present danger to
[00:24:48.400 --> 00:24:51.240]   a nation at war.
[00:24:51.240 --> 00:24:57.600]   So I mean, this is far less really what Wikileaks has done is far less.
[00:24:57.600 --> 00:25:04.880]   But meanwhile now, you know, we were talking about this last week a lot in the UK online
[00:25:04.880 --> 00:25:14.160]   arms, content that is not just illegal and harmful, but legal and harmful is to be outlawed.
[00:25:14.160 --> 00:25:19.120]   And the obligation to do something about that will be on the platforms, not on government.
[00:25:19.120 --> 00:25:27.600]   And it's hugely huge chunks of it are so vague that it's going to be impossible to define
[00:25:27.600 --> 00:25:31.440]   bullying, you're not allowed to have bullying language.
[00:25:31.440 --> 00:25:32.440]   This information.
[00:25:32.440 --> 00:25:36.600]   Yeah, there's there's threats to speech all over and in the US too.
[00:25:36.600 --> 00:25:41.200]   I fear there's there's talk about saying, well, we have too much speech.
[00:25:41.200 --> 00:25:45.400]   The New York Times Sunday said the, you know, the only cure is less internet.
[00:25:45.400 --> 00:25:50.360]   It's getting to be really, really, not just for the Internet, just reaches a hole.
[00:25:50.360 --> 00:25:55.280]   Warren and others are talking about scaling back section 230, which gives the platforms
[00:25:55.280 --> 00:25:59.640]   effective immunity for what's on their for our speech for our conversation.
[00:25:59.640 --> 00:26:03.440]   Things, yeah, that could change things tremendously.
[00:26:03.440 --> 00:26:07.080]   We should point out that that's a white paper is not law yet in the right.
[00:26:07.080 --> 00:26:08.600]   But it's going to be.
[00:26:08.600 --> 00:26:12.520]   And well, given what's going on in the UK, it's hard to tell what what is going to happen.
[00:26:12.520 --> 00:26:14.040]   Well, it's chaos over there.
[00:26:14.040 --> 00:26:16.600]   I mean, it's a train wreck.
[00:26:16.600 --> 00:26:21.320]   Actually, it's like a train where each car is a dumpster fire and it's crashing or
[00:26:21.320 --> 00:26:22.320]   ripping.
[00:26:22.320 --> 00:26:23.800]   Well, the bridge is out.
[00:26:23.800 --> 00:26:24.800]   Yeah.
[00:26:24.800 --> 00:26:26.800]   Well, so.
[00:26:26.800 --> 00:26:29.680]   Well, this is a mess.
[00:26:29.680 --> 00:26:34.280]   This is a fine mess you've gotten us into Julian.
[00:26:34.280 --> 00:26:39.360]   It actually seems like the lesser of all these problems, not just this UK online harms white
[00:26:39.360 --> 00:26:49.080]   paper, but the approval now of the EU of the new copyright act.
[00:26:49.080 --> 00:26:50.680]   That's been gone through its final stages.
[00:26:50.680 --> 00:26:52.120]   And this week was finally approved.
[00:26:52.120 --> 00:26:55.200]   Now each country will have to implement it in law.
[00:26:55.200 --> 00:26:57.800]   And there may be some variations there, but that is.
[00:26:57.800 --> 00:27:02.440]   Well, and think about, I know this is in the lineup, I think, what stars entertainment
[00:27:02.440 --> 00:27:03.920]   did with my tweets.
[00:27:03.920 --> 00:27:05.600]   Oh, yeah, we'll get to that one.
[00:27:05.600 --> 00:27:06.600]   Yeah.
[00:27:06.600 --> 00:27:12.520]   I mean, that's an example of what could happen if platforms are incentivized to take things
[00:27:12.520 --> 00:27:19.880]   down before they get into trouble or block things from being uploaded completely.
[00:27:19.880 --> 00:27:22.520]   Last week we talked about, and I won't go through it again.
[00:27:22.520 --> 00:27:29.280]   The reason we talked about a post I wrote about a proposal for internet courts, which
[00:27:29.280 --> 00:27:30.560]   you might sound might sound frightening.
[00:27:30.560 --> 00:27:33.800]   But actually what it says is that that matters with the gallery on the internet should be
