;FFMETADATA1
title=Google Forked Itself
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=285
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Twig this week in Google Danny Sullivan and Jeff Jarvis are here
[01:35:46.360 --> 01:35:48.520]   hip chat.com
[01:35:48.520 --> 01:35:51.880]   slash twig hip chat your team your project in sync
[01:35:51.880 --> 01:35:56.280]   instantly we do love it
[01:35:56.280 --> 01:36:00.040]   Hip chat.com
[01:36:00.040 --> 01:36:05.080]   I'm trying to think what my tool should be I got a couple of things this is
[01:36:05.080 --> 01:36:07.160]   uh
[01:36:07.160 --> 01:36:10.600]   I think kind of neat. It's a journaling app that has called journey
[01:36:11.320 --> 01:36:15.640]   That has a corresponding I don't let me just real quickly pull it up in my chrome
[01:36:15.640 --> 01:36:21.080]   Make sure I don't have any revealing journal entries. It's an android
[01:36:21.080 --> 01:36:24.920]   Uh, it's an android device
[01:36:24.920 --> 01:36:29.800]   Uh android app. It is a uh, a chrome extension
[01:36:29.800 --> 01:36:32.600]   And I really like it's called journey
[01:36:32.600 --> 01:36:36.600]   It has a few features if you've been looking to journal and this is this is nice
[01:36:36.600 --> 01:36:39.960]   You can you can keep it secure. You can add images to it
[01:36:40.440 --> 01:36:43.880]   It will automatically put the weather forecast in your journal entries
[01:36:43.880 --> 01:36:47.560]   And your location in your journal entries, which is kind of cool
[01:36:47.560 --> 01:36:51.080]   Um, and uh, and it's it's free. It's called
[01:36:51.080 --> 01:36:53.720]   Journey. They also have uh
[01:36:53.720 --> 01:36:56.680]   Inspirations page, which if you're looking for things
[01:36:56.680 --> 01:36:59.800]   To kind of inspire. Yeah, that's it. Okay
[01:36:59.800 --> 01:37:04.200]   Uh, and this just came out last week. I really like it inspire you
[01:37:05.720 --> 01:37:10.680]   To write you can pick an inspiration and then make it be the beginning of that entry
[01:37:10.680 --> 01:37:12.440]   So for instance, bruce lee
[01:37:12.440 --> 01:37:15.080]   Do not pray for an easy life
[01:37:15.080 --> 01:37:19.800]   Pray for the strength to endure a difficult one if I like that I tap the light bulb
[01:37:19.800 --> 01:37:24.360]   It now becomes the beginning of a new journal entry. There's lots of them. There's new ones all the time
[01:37:24.360 --> 01:37:28.520]   Uh, I'm I actually am kind of fond of this. I've been using it a lot
[01:37:28.520 --> 01:37:33.320]   Uh journey it'll bring journal writing back into your life and
[01:37:34.360 --> 01:37:39.880]   Uh, I really like it. It can even become a photo journal and a journal of your travels
[01:37:39.880 --> 01:37:44.760]   And it is what is the uh, URL there is it get journey?
[01:37:44.760 --> 01:37:47.560]   It was
[01:37:47.560 --> 01:37:52.760]   To the number two app studio.com slash journey to app studio.com. All right. Yep
[01:37:52.760 --> 01:37:56.520]   Jeff you got a number for us. There's a lot of them this week
[01:37:57.400 --> 01:38:04.920]   Fastening column in the d- in the New York Times seth, uh, steven's divinovates was looking at online behavior and sex
[01:38:04.920 --> 01:38:13.400]   So I found lots and lots of numbers here a few of them he analyzed general social survey a classic source just to get a start off here
[01:38:13.400 --> 01:38:19.640]   And found that heterosexual men said they performed 63 sex acts per year
[01:38:19.640 --> 01:38:26.840]   Using condoms 23 percent of the time that adds up to 1.6 billion heterosexual condom uses per year
[01:38:27.480 --> 01:38:34.600]   There are sexual women say they average 55 sex acts per year using a condom 16 of the time that has as up to about 1.1
[01:38:34.600 --> 01:38:37.880]   Billion heterosexual condom uses per year
[01:38:37.880 --> 01:38:42.440]   1.6 versus 1.1. Well, who's telling the truth men or women?
[01:38:42.440 --> 01:38:43.960]   Right
[01:38:43.960 --> 01:38:51.160]   According to Nielsen fewer than 600 million condoms are sold every year roughly twice the number of actual sales
[01:38:51.160 --> 01:38:54.840]   Yes, wow, so that goes on and it goes down to look at
[01:38:55.160 --> 01:38:59.080]   Google's uh, what Google can reveal about american attitudes towards sex
[01:38:59.080 --> 01:39:03.400]   And he said on google the top complaint about marriage is not having sex
[01:39:03.400 --> 01:39:10.680]   Yes searches for a sexless marriage are three and a half times more common than unhappy marriage eight times more common than loveless marriage
[01:39:10.680 --> 01:39:17.640]   Wow, there are 16 times more complaints about a spouse not wanting sex than about a married partner not being willing to talk
[01:39:17.640 --> 01:39:21.000]   um
[01:39:21.000 --> 01:39:25.160]   Google searches for sexless relationship or second only to searches for abusive relationship
[01:39:25.160 --> 01:39:27.560]   I don't I say they go together
[01:39:27.560 --> 01:39:29.720]   Yeah, I'd say so on google
[01:39:29.720 --> 01:39:36.200]   There are five and a half times more complaints about an unmarried partner not wanting sex than an unmarried partner refusing to text back
[01:39:36.200 --> 01:39:42.040]   There are more complaints about a boyfriend won't have sex than a girlfriend won't complain
[01:39:42.040 --> 01:39:44.360]   My husband's and lives are roughly equal
[01:39:44.360 --> 01:39:46.600]   um
[01:39:46.600 --> 01:39:53.640]   Taken together the data suggests that americans managed to have sex about 30 times per year or once every 12 days
[01:39:53.640 --> 01:39:57.560]   Now, um
[01:39:57.560 --> 01:40:02.440]   Google searches suggest one predominant reason enormous anxiety much of it misplaced
[01:40:02.440 --> 01:40:05.240]   Start with guess what men's neuroses?
[01:40:05.240 --> 01:40:10.760]   It isn't news that men worry about their genitals, but the degree of this worry is rather profound
[01:40:11.160 --> 01:40:17.080]   From a google search alone. We cannot know the gender of the user. However, we can often make a pretty good guess
[01:40:17.080 --> 01:40:22.600]   He says I'm reading here for searches about sex and body parts like my penis blank
[01:40:22.600 --> 01:40:29.480]   Ben google more questions about their sexual organ than any other body part more than their lungs liver feet ears. Whoa
[01:40:29.480 --> 01:40:32.520]   find
[01:40:32.520 --> 01:40:34.600]   um
[01:40:34.600 --> 01:40:39.800]   Side note one of the more common questions for google about a penis is quote. How big is my penis
[01:40:40.360 --> 01:40:48.440]   That's good google that a ruler with this question is in my opinion a quintessential expression of our digital era
[01:40:48.440 --> 01:40:53.240]   Why I don't why would you google that? I don't know. I don't know
[01:40:53.240 --> 01:40:58.040]   Um and the irony is if you keep going
[01:40:58.040 --> 01:41:05.400]   Yep, that uh more than 40 percent of complaints about a partner's penis is that it's too big
[01:41:07.720 --> 01:41:10.920]   Pain is the most google bird used in searches with the phrase
[01:41:10.920 --> 01:41:15.480]   blank during sex. They don't have to read the rest of these
[01:41:15.480 --> 01:41:19.000]   Why
[01:41:19.000 --> 01:41:23.080]   Why are you people searching for this dove?
[01:41:23.080 --> 01:41:28.760]   This is what google rot however only 1% of searches
[01:41:28.760 --> 01:41:31.320]   That's a story daddy you have every search of this story there is
[01:41:31.320 --> 01:41:37.640]   That story. I'm just I'm just shocked. I am shocked very fast
[01:41:37.640 --> 01:41:41.720]   I'm just a few people search for how to make your penis smaller interestingly only 1% of all searches
[01:41:41.720 --> 01:41:49.880]   Well, that's that's that's there we are searching for sex. I'm gonna have to read all this
[01:41:49.880 --> 01:41:54.360]   This is in the sunday review of books oddly enough at the New York Times
[01:41:54.360 --> 01:42:03.720]   Seth Stevens divot of its writing it's a really cool column. It's really fun. It's interesting and he got and you know what what's cool about it
[01:42:03.720 --> 01:42:06.360]   He got it all by just you know looking up stuff on google
[01:42:07.320 --> 01:42:09.320]   Yeah, where do you get this information?
[01:42:09.320 --> 01:42:11.880]   Are we getting the data about men versus women? Yeah
[01:42:11.880 --> 01:42:15.080]   um, he he mentioned that
[01:42:15.080 --> 01:42:17.480]   He just says analysis of google data
[01:42:17.480 --> 01:42:23.720]   Yeah, he has that in there of why why you can't tell us if he's members women, but he makes the person say my penis
[01:42:23.720 --> 01:42:27.480]   Yes, that's why that was a that's a man
[01:42:27.480 --> 01:42:33.640]   Um, so but where is he getting all this is all says analysis of google data does google publish all this stuff
[01:42:34.840 --> 01:42:39.480]   Uh by by proportion. Yeah, so where would I go to look this stuff up?
[01:42:39.480 --> 01:42:43.640]   I mean right there. Danny. Isn't that isn't it Danny? Would you know?
[01:42:43.640 --> 01:42:48.680]   I'm you also know
[01:42:48.680 --> 01:42:57.400]   Man versus women, but just the general google stuff
[01:42:57.400 --> 01:43:02.440]   But even though he's saying stuff like men's top google concerned about steroids whether it might make their penis smaller
[01:43:03.080 --> 01:43:07.880]   Um, just because they use the word my I said, but I don't know where he's where would he get that?
[01:43:07.880 --> 01:43:13.240]   Because it's like okay. You have to get a list of all the searches related to penises
[01:43:13.240 --> 01:43:15.640]   Then you have to get it right by number
[01:43:15.640 --> 01:43:20.600]   Anyway, how do you get all the search just you know for academic?
[01:43:20.600 --> 01:43:25.080]   Interest google might have provided or you can use things like google trends or there's all right
[01:43:25.080 --> 01:43:27.160]   He may have he may have actually queried google
[01:43:27.160 --> 01:43:29.960]   I'd have liked to listen to that phone call
[01:43:30.360 --> 01:43:32.360]   Let's see when he says like
[01:43:32.360 --> 01:43:35.880]   My penis involved size average monthly searches for the phrasing so
[01:43:35.880 --> 01:43:45.080]   You could do that if you go into the google keyword tool and you're doing a search for penis
[01:43:45.080 --> 01:43:49.640]   And then you're breaking it down by a saying and then I suppose you can break it down with it from there by
[01:43:49.640 --> 01:43:53.000]   Demographics and now i'm going to have to go look. Thanks very much
[01:43:53.000 --> 01:43:59.320]   Ah, but i'm not going to do that. I will not let's have Danny let's have Danny do his thing
[01:43:59.320 --> 01:44:01.320]   And then we'll wrap this sucker up
[01:44:01.320 --> 01:44:07.400]   Uh, you know what beat that daddy beat that soul that he has been I can tell go ahead
[01:44:07.400 --> 01:44:12.040]   You know my thing was going to be semi self-promotional. I suppose go ahead
[01:44:12.040 --> 01:44:14.440]   The super bowl is coming up. Yes, it is
[01:44:14.440 --> 01:44:18.040]   Every every year we run a thing on marketing land called the hashtag bowl
[01:44:18.040 --> 01:44:19.960]   We'll be doing it again on sunday
[01:44:19.960 --> 01:44:22.440]   Where we look at all the ads that run on the super bowl
[01:44:22.440 --> 01:44:27.560]   And we count up how many of them have a hashtag or which social media networks are mentioned the most
[01:44:27.800 --> 01:44:31.480]   And at the end of it, we declare a winner last year facebook beat
[01:44:31.480 --> 01:44:34.360]   twitter by just like one one mention
[01:44:34.360 --> 01:44:38.920]   Sometimes people yeah, it was very very close the year before that
[01:44:38.920 --> 01:44:41.480]   um twitter had one
[01:44:41.480 --> 01:44:47.560]   And we also just kind of look at how often people are putting hashtags then we will do follow up coverage like how effective was putting
[01:44:47.560 --> 01:44:53.080]   All this social media into the ads like if you did search for these hashtags, what did you get or where that you went?
[01:44:53.160 --> 01:44:58.360]   So it'll be interesting to see we know when we get some breakouts like we'll as we have more snapchat in there
[01:44:58.360 --> 01:45:03.960]   What other kinds of things will come along or you know, maybe google plus we'll show a big surprise and people will show more with it
[01:45:03.960 --> 01:45:07.240]   And more integration with that. Yeah, right? It has
[01:45:07.240 --> 01:45:10.520]   Don't let up
[01:45:10.520 --> 01:45:13.880]   No, you can see now first of all you can see it's in our scoreboard
[01:45:13.880 --> 01:45:18.600]   So we care about it enough that we actually consider counting it and it's third on list so
[01:45:18.600 --> 01:45:22.120]   It's a distant third
[01:45:22.120 --> 01:45:24.760]   Yeah, but there's you know, we're we're looking at what's going with it
[01:45:24.760 --> 01:45:27.160]   But you know last year the numbers weren't weren't so big
[01:45:27.160 --> 01:45:30.280]   Um, how's how's elo doing elo? Oh?
[01:45:30.280 --> 01:45:32.360]   Oh, yeah
[01:45:32.360 --> 01:45:33.240]   No
[01:45:33.240 --> 01:45:35.800]   This I like this. This is fun the social media
[01:45:35.800 --> 01:45:37.160]   Yeah
[01:45:37.160 --> 01:45:38.200]   Scoreboard
[01:45:38.200 --> 01:45:42.200]   During the game where we look at all the ads and then as soon as it's over we'll declare the winner
[01:45:42.200 --> 01:45:47.960]   Of you know, which social network was mentioned the most is anybody do ads anymore without a hashtag?
[01:45:47.960 --> 01:45:49.400]   Yes, a lot of them do
[01:45:49.400 --> 01:45:53.320]   I think last year half of them either didn't have tags or didn't have
[01:45:53.320 --> 01:45:57.480]   They did either didn't have hashtags or they didn't have
[01:45:57.480 --> 01:46:03.800]   Social media mentions and it's very common too that they do these things and then they don't pay attention to search
[01:46:03.800 --> 01:46:10.520]   So they put the ads up then you can go search and they've done a terrible job about helping you, you know
[01:46:10.520 --> 01:46:15.480]   Find what the the official ad was or what the official information was and all that sort of stuff
[01:46:15.880 --> 01:46:19.960]   So it's kind of fun to look at it. We're also going to give out an award this year where we talk about
[01:46:19.960 --> 01:46:22.360]   who
[01:46:22.360 --> 01:46:25.080]   Which official campaign which official advertiser?
[01:46:25.080 --> 01:46:31.080]   We think did the best job during the super bowl with their ads and and social media tie-ins and who was the sort of best?
[01:46:31.080 --> 01:46:34.120]   unofficial newsjacker coming you with it from there
[01:46:34.120 --> 01:46:38.120]   And of course facebook will have once again, it's super bowl hub
[01:46:38.120 --> 01:46:43.400]   Facebook that comes to super bowl they've not done that before no this I think it's new
[01:46:43.960 --> 01:46:45.960]   You could really try to favorite
[01:46:45.960 --> 01:46:48.120]   Facebook hub
[01:46:48.120 --> 01:46:50.120]   It's all all things
[01:46:50.120 --> 01:46:53.080]   Super facebook.com/super bowl stuff
[01:46:53.080 --> 01:46:58.360]   You know you can just go tune in there and post and if you start tweeting for it
[01:46:58.360 --> 01:47:02.680]   You can't tweet if you do a post on that page right now. It'll tell everybody you're watching the super bowl
[01:47:02.680 --> 01:47:03.720]   Oh
[01:47:03.720 --> 01:47:08.840]   Like try to update status and it'll automatically say watching super bowl if you're like, uh, that's kind of hard
[01:47:08.920 --> 01:47:13.400]   If i'm sitting on this hub really yeah, see see where it says update status scroll down
[01:47:13.400 --> 01:47:16.920]   Just just put anything in there should put your cursor in there. Okay, click
[01:47:16.920 --> 01:47:18.680]   Uh, I
[01:47:18.680 --> 01:47:19.080]   I
[01:47:19.080 --> 01:47:22.680]   I post type of test. You should see it see I am
[01:47:22.680 --> 01:47:25.480]   Oh my god, you're right
[01:47:25.480 --> 01:47:30.680]   Not watching the super bowl right now
[01:47:30.680 --> 01:47:36.680]   And post that and now it says very confusingly. I am while i'm not
[01:47:37.160 --> 01:47:39.160]   Yeah, that'd be amazing if I were
[01:47:39.160 --> 01:47:45.400]   And then oh look at it. Look at how it handles this has got a little thing with the logos of each team
[01:47:45.400 --> 01:47:49.240]   A little football emoji
[01:47:49.240 --> 01:47:52.120]   Wow
[01:47:52.120 --> 01:47:56.360]   This is uh, this is good marketing
[01:47:56.360 --> 01:48:03.080]   Yeah, so they want to get people up there. This is the worst by the way picture, uh in their band and their
[01:48:03.880 --> 01:48:05.880]   They're banner at the top. Yeah, what is that?
[01:48:05.880 --> 01:48:11.160]   I it's it's a blurry. It's literally a blurry photo of of phoenix
[01:48:11.160 --> 01:48:13.960]   It looks like deflated football, but it's all
[01:48:13.960 --> 01:48:16.760]   Okay, so so facebook here's a little tip
[01:48:16.760 --> 01:48:22.680]   Uh, when you do a big picture at the top of your page only the top part shows up
[01:48:22.680 --> 01:48:25.880]   So those in focus football helmets actually
[01:48:25.880 --> 01:48:29.000]   aren't visible giant turds it's
[01:48:29.000 --> 01:48:33.080]   You'd think facebook could know how to use facebook a little better than that
[01:48:33.880 --> 01:48:35.720]   Look at that
[01:48:35.720 --> 01:48:38.360]   Just you know here's a little tip
[01:48:38.360 --> 01:48:43.080]   You can go right in there and you could scroll your image around until the football helmets
[01:48:43.080 --> 01:48:48.040]   Are the visible portion of the image? I would just maybe I like the I like the cactus
[01:48:48.040 --> 01:48:51.240]   Behind doing the middle finger blurry cactus
[01:48:51.240 --> 01:48:55.240]   It's the blurry cactus picture. What is this?
[01:48:55.240 --> 01:48:59.320]   Oh, there's a football in it too. Wow facebook
[01:49:01.160 --> 01:49:03.160]   What the hell?
[01:49:03.160 --> 01:49:09.080]   Don't you even know how your platform works? You know what it's probably looks better on your mobile the intern did it
[01:49:09.080 --> 01:49:13.640]   Probably looks probably looks great on mobile mobile first. Whoo-hoo. That's how we do it
[01:49:13.640 --> 01:49:22.120]   Mobile first. Now I got to try this facebook. Oh, but see I don't have the facebook app on my mobile
[01:49:22.120 --> 01:49:25.960]   So it's don't know why should I hate facebook?
[01:49:27.800 --> 01:49:33.080]   You know that you're not watching the super bowl on it. I hate I'm not watching the super bowl on facebook
[01:49:33.080 --> 01:49:39.720]   I hate it. Let me see just got a curiosity. What's a strong word leo? I'll have to walk in and all sorts of crap
[01:49:39.720 --> 01:49:43.880]   No facebook makes me feel bad about myself
[01:49:43.880 --> 01:49:47.720]   Whenever I use it like right now
[01:49:47.720 --> 01:49:52.120]   I want to thank you all for being here ladies gentlemen
[01:49:52.120 --> 01:49:54.200]   This concludes this edition of this week in google
[01:49:54.200 --> 01:49:57.880]   Thank you to danny Sullivan of search engine land and marketing land. You could see why
[01:49:57.880 --> 01:50:02.280]   Everybody says that you got to read search engine land and marketing for he's man
[01:50:02.280 --> 01:50:06.280]   He's the man he's becoming it for longer. Anybody is the king of the hill
[01:50:06.280 --> 01:50:09.560]   He's the owl unserved junior
[01:50:09.560 --> 01:50:20.440]   You're gonna if you're gonna go with a race car driver, I don't know why I said that
[01:50:20.440 --> 01:50:22.920]   I know that's a little weird isn't it?
[01:50:23.880 --> 01:50:25.880]   I don't know what I was thinking
[01:50:25.880 --> 01:50:32.840]   Uh, thank you danny if really appreciate your being here today. You're welcome. Congratulations on winning the indie 500. Yeah, it was great
[01:50:32.840 --> 01:50:43.080]   It's always good when I get a speeding ticket. Yeah, it's like saying jeff Jarvis is the j rosen of journalism professors
[01:50:43.080 --> 01:50:51.720]   He's the jackie steward of journalism professors at the cuny city university in New York
[01:50:52.440 --> 01:50:57.000]   Thank you jeff really appreciate it always a pleasure. Welcome back from davos. We missed you last week
[01:50:57.000 --> 01:51:01.800]   I'd missed you guys. Yeah, like a lot of your ten o'clock at night as I was rushing down the hill. I got
[01:51:01.800 --> 01:51:04.920]   Good good good. I don't have to slip and slide now
[01:51:04.920 --> 01:51:11.080]   Have a great week. We do this show and we'll be back next week every wednesday 1 p.m pacific 4 p.m
[01:51:11.080 --> 01:51:17.000]   Eastern time 2100 utc if you want to join in with the live festivities the shenanigans
[01:51:17.000 --> 01:51:21.480]   But if you don't don't worry we make on demand audio and video available after the fact
[01:51:22.440 --> 01:51:25.800]   We leave the we take out the penis jokes, but we leave everything else in
[01:51:25.800 --> 01:51:30.520]   At twitt.tv/twig over the line did it? Oh
[01:51:30.520 --> 01:51:33.560]   What is the line after all?
[01:51:33.560 --> 01:51:37.560]   Is there a line really? I don't think there's a line anymore
[01:51:37.560 --> 01:51:41.000]   I can't find the line. Maybe that's just because i'm getting old
[01:51:41.000 --> 01:51:45.480]   Google has things I didn't read in that column though. Yeah, and not much
[01:51:51.000 --> 01:51:56.120]   You can also watch the old factory part. Oh, okay. Thank you very much
[01:51:56.120 --> 01:51:59.720]   Now i've got to go back and read that article
[01:51:59.720 --> 01:52:04.920]   Uh, we'll see you next week. Thanks. Yeah, everybody. Thank you everybody. Take care on this week in google
[01:52:04.920 --> 01:52:06.920]   Again
[01:52:06.920 --> 01:52:08.920]   You
[01:52:08.920 --> 01:52:10.920]   You
[01:52:10.920 --> 01:52:13.500]   (upbeat music)
[01:52:13.500 --> 01:52:16.320]   (whimsical music)

