;FFMETADATA1
title=Honey, I Livestreamed the Kid
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=353
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.760]   It's time for a twig this week in Google and of course it's our post I/O keynote show
[01:33:41.700 --> 01:33:46.740]   Sitting right next to jeff javis who is also at the google plex
[01:33:46.740 --> 01:33:49.700]   The best panel ever. This is amazing. Isn't it fun?
[01:33:49.700 --> 01:33:55.860]   And of course we welcome back our dearest and oldest friend jina trapani who we hope will see much more of
[01:33:55.860 --> 01:34:00.660]   Going forward on the show, but you know what you go from the frying pan into the fire
[01:34:00.740 --> 01:34:07.060]   Now you're like a big shot and you got lots to do for this digital media empire and i don't think
[01:34:07.060 --> 01:34:10.660]   I have only get her once in a while probably always be around
[01:34:10.660 --> 01:34:13.540]   Yeah, we just adore you and of course
[01:34:13.540 --> 01:34:19.220]   It wouldn't be this week in google without the wonderful matt cuts. We just love having him on
[01:34:19.220 --> 01:34:22.260]   What's your 30 day challenge are you on one?
[01:34:22.260 --> 01:34:28.420]   I'm kind of slacking on this one, but i'm trying to be grateful for one two to three things every day
[01:34:28.900 --> 01:34:34.740]   Not writing them down so i'm it's kind of a week a month off basically, but you know i've been thankful thankful a couple times
[01:34:34.740 --> 01:34:41.300]   You need to be on twig counts for these three days. I'm thankful for being one with such a great panel. I mean wow
[01:34:41.300 --> 01:34:44.340]   You know, I actually had a bot
[01:34:44.340 --> 01:34:49.220]   A grateful bot. Let me see if I can find that for you. I could make that my tip of the week
[01:34:49.220 --> 01:34:52.980]   In the morning at night. It sent me a text saying what are you grateful for?
[01:34:52.980 --> 01:34:57.540]   And then you you enter in and what you're grateful for and it keeps track of it
[01:34:58.180 --> 01:35:00.180]   I won't want this is what you grew up before
[01:35:00.180 --> 01:35:06.740]   Can't keep your edge this that was the first bot that I thought poncho was driving me crazy
[01:35:06.740 --> 01:35:11.620]   Like I said it was a stalker. I had to block him, but uh, but the grateful bot i kind of i mean i turned it off
[01:35:11.620 --> 01:35:16.180]   But uh because after a while, it's like, okay, thanks. I don't need to be needled
[01:35:16.180 --> 01:35:18.180]   but uh
[01:35:18.180 --> 01:35:22.500]   I'm grateful being grateful is a very good thing. I I think that's one of the best things you could
[01:35:22.500 --> 01:35:25.060]   Keep in your head. Sure. Yeah
[01:35:25.700 --> 01:35:29.220]   Another good thing you could do for yourself and your loved ones too
[01:35:29.220 --> 01:35:32.740]   headspace headspace dot
[01:35:32.740 --> 01:35:36.020]   calm slash twig
[01:35:36.020 --> 01:35:43.380]   It is uh, I love having uh, a little a hand it's probably not a little but I I think of him as a little
[01:35:43.380 --> 01:35:45.940]   Andy putty comb in my head. He did that great
[01:35:45.940 --> 01:35:50.660]   Ted talk on meditation five and a half million views last time I
[01:35:51.300 --> 01:35:56.740]   Checked he leads all the meditations. You know, he's was a monk for a 10. I think 10 years
[01:35:56.740 --> 01:36:03.940]   Um, but he also has this kind of great worldly way. He's not there's nothing airy fairy about this
[01:36:03.940 --> 01:36:06.500]   It really is about relaxation
[01:36:06.500 --> 01:36:14.100]   Centering and focus you know your mind can make you crazy with fear and anger and stress and anxiety make it so hard to sleep
[01:36:14.100 --> 01:36:16.980]   Hard to get through your busy day headspace
[01:36:17.540 --> 01:36:23.460]   Can train your mind think of it that way 10 minutes of guided meditation a day and you will
[01:36:23.460 --> 01:36:27.380]   Feel better your relationships will be better. You'll be sleeping better
[01:36:27.380 --> 01:36:33.140]   The take 10 program is free and it includes progress stats and a buddy feature so you can link up with friends
[01:36:33.140 --> 01:36:39.700]   To support the subscriptions to headspace include unlimited access to the complete headspace collection
[01:36:39.700 --> 01:36:46.580]   Uh guided meditations for every purpose including their sos meditations like I am really stressed right now
[01:36:46.580 --> 01:36:50.980]   I need some help and if you meditate for several days in a row you get bonus gifts
[01:36:50.980 --> 01:36:58.100]   It is wonderful over five million users now use headspace to bring mindfulness to their everyday activities
[01:36:58.100 --> 01:37:01.780]   Yes meditating is a thousand year old tradition
[01:37:01.780 --> 01:37:08.260]   But it's also supported by literally by thousands of scientific studies that show it's positive effects. It'll improve your focus
[01:37:08.260 --> 01:37:12.900]   I noticed i've been sleeping through the night. I really was waking up at four in the morning tense
[01:37:13.620 --> 01:37:19.860]   anxious every night for a while and I I haven't done I just noticed that this morning. I haven't done that in weeks
[01:37:19.860 --> 01:37:28.340]   Thank you headspace go to headspace.com slash twig. It's free to get take you know get started with a take 10 program 10 days of guided meditation
[01:37:28.340 --> 01:37:34.660]   Uh, you know, I feel like they're really making the world a better place and they're certainly making your mind a better place 10 days free
[01:37:34.660 --> 01:37:36.740]   Headspace.com
[01:37:36.740 --> 01:37:39.060]   Slash twig. That's what I am
[01:37:39.060 --> 01:37:41.780]   grateful for
[01:37:42.020 --> 01:37:48.420]   Jason I won't ask you for a pick because you've got well you got all about android you got the android app arena my god
[01:37:48.420 --> 01:37:53.860]   You you're the last man standing when it comes to picks you got one. All right go on all right
[01:37:53.860 --> 01:37:57.220]   We didn't talk about google spaces at all with there you go
[01:37:57.220 --> 01:38:04.580]   It's not announced at google. I owe it was announced a couple of days ago, which is yes a messaging app of sorts
[01:38:04.580 --> 01:38:10.100]   Uh, so social app too, right? Yeah, it's it's like for small groups essentially small group sharing
[01:38:10.100 --> 01:38:11.780]   um
[01:38:11.780 --> 01:38:18.100]   Can you kind of get a bunch of people into a room of sorts and uh share on a specific topic and
[01:38:18.100 --> 01:38:21.220]   I don't know i've been playing around with it for a couple of days supposedly here
[01:38:21.220 --> 01:38:29.140]   At google.io each vent is going to have its own space that attendees can kind of hop into and have kind of shared conversation
[01:38:29.140 --> 01:38:33.140]   Around a specific topic. So I really i'm hoping that that will
[01:38:33.140 --> 01:38:36.900]   Through that experience i'll understand a little bit more about
[01:38:36.900 --> 01:38:39.860]   You know what situations in the future I might
[01:38:40.500 --> 01:38:42.500]   opt to use spaces for
[01:38:42.500 --> 01:38:48.260]   Um, but again we were talking earlier in the episode about google kind of bringing it search and all these places
[01:38:48.260 --> 01:38:52.980]   Search integrated into here. So google search inside the app instead of having to go outside of it
[01:38:52.980 --> 01:38:56.100]   But also youtube chrome built in all that kind of stuff
[01:38:56.100 --> 01:39:02.260]   Um interesting stuff. I know yeah mike elgens got uh what he calls the largest space
[01:39:02.260 --> 01:39:08.580]   Uh, and I think he hit the limit of it says exactly 500 people that would be my guest that that's the limit
[01:39:08.820 --> 01:39:12.100]   You can have in his space. It feels like I can't quite figure out
[01:39:12.100 --> 01:39:15.540]   I think probably google doesn't even know quite what it is
[01:39:15.540 --> 01:39:19.220]   Um, it could be personal like just you and your spouse
[01:39:19.220 --> 01:39:24.340]   Sharing stuff. It could be a larger group. It's got some of the google plus
[01:39:24.340 --> 01:39:29.700]   Feeling to it. I a little google wave a little wave in there
[01:39:29.700 --> 01:39:32.820]   Yeah
[01:39:32.820 --> 01:39:37.460]   Yeah, and you know i'm kind of i don't know i'm i'm hesitant to get
[01:39:38.340 --> 01:39:43.780]   Uh, too excited about it because gosh, I keep throwing so much energy into different social networks with no
[01:39:43.780 --> 01:39:48.580]   Benefit, but yeah, it's very intriguing. So yeah, we will see and it's free
[01:39:48.580 --> 01:39:55.860]   Android and ios and web which is nice google spaces.google.com you can check it out
[01:39:55.860 --> 01:39:58.500]   Yeah, jeff you got a number for us
[01:39:58.500 --> 01:40:01.620]   Uh, you know i picked an odd one out which is that um
[01:40:01.620 --> 01:40:07.140]   Google has had more access to the white house since uh than any other lobbyists
[01:40:07.780 --> 01:40:10.820]   In the field and the technology joanna shilton
[01:40:10.820 --> 01:40:15.300]   Google's director of public policy visited the white house since brock obama took office
[01:40:15.300 --> 01:40:17.300]   128 times
[01:40:17.300 --> 01:40:21.300]   Wow, and the reason i mentioned that is because this is also the day when mark zuckerberg out here in the valley
[01:40:21.300 --> 01:40:24.740]   Is supposedly meeting with a whole bunch of conservatives to get over this kerfuffle
[01:40:24.740 --> 01:40:27.300]   Over the lens back
[01:40:27.300 --> 01:40:33.940]   When back he's meeting glenn back i put up a picture of mark meeting with all the star wars characters and i thought but chubaka was glenn back
[01:40:33.940 --> 01:40:37.300]   Um just to joke people don't get all mad at me
[01:40:38.260 --> 01:40:42.980]   Um, I didn't make a bernie joe because i'll please stay easy. He's he's he calmed down
[01:40:42.980 --> 01:40:51.700]   Um, so i i did the i'm fascinated right now with with politics and our alternative government out here at mountain view and our and our other
[01:40:51.700 --> 01:40:57.460]   The valley and our other capital that was my number. That was it not very exciting, but then no it's very exciting day
[01:40:57.460 --> 01:41:02.580]   It's there's a lot to talk about and a short number is fine with me and i'm sure with everybody
[01:41:02.580 --> 01:41:05.540]   Everybody else jeena i see you have a pic also
[01:41:06.100 --> 01:41:10.580]   I just have a really quick tip that this actually came out a couple of weeks ago, but it was new to me
[01:41:10.580 --> 01:41:14.660]   Um, little tip in the in the play store, you know the play store is showing you now if an app
[01:41:14.660 --> 01:41:18.420]   Contains ads it says it right up front all right on the tin
[01:41:18.420 --> 01:41:21.620]   Um, you know when you go to the play store would tell you if an app has in app purchases
[01:41:21.620 --> 01:41:25.700]   Well, now there's a little tag that says contain ads so uh so you can tell whether or not they're gonna be ads
[01:41:25.700 --> 01:41:29.140]   And they app that you download as it should i love that idea
[01:41:29.140 --> 01:41:31.860]   Yeah, a little bit more transparency about what you're getting
[01:41:32.500 --> 01:41:36.500]   They've they did that within app purchases first and i let another don't with ads that's fantastic
[01:41:36.500 --> 01:41:37.780]   Yep, yep
[01:41:37.780 --> 01:41:39.940]   I'll give you matt cuts if you want a chance to
[01:41:39.940 --> 01:41:44.740]   Flog anything you want or tell people about something you like or nothing. It's up to you
[01:41:44.740 --> 01:41:50.340]   Yeah, no, uh, so i haven't mentioned it in a while, but if you type into google google webmaster blog
[01:41:50.340 --> 01:41:56.980]   We have a blog with lots of useful resources. So for example, there's something about a mobile friendly testing tool
[01:41:56.980 --> 01:42:02.100]   That's a brand new blog post that just went out a couple days ago and you can type in any url
[01:42:02.660 --> 01:42:06.020]   Like google.com and it will say yes, this page is mobile friendly
[01:42:06.020 --> 01:42:12.180]   Um, but that's just one blog post they've they've you know if you look at the last thing they're talking about something called rich cards
[01:42:12.180 --> 01:42:18.260]   which is uh basically taking rich snippets and making it so that you can do better things with structured data
[01:42:18.260 --> 01:42:23.060]   Which uh, oh some people have been asking us, you know, how do you how do you feel about structured data these days?
[01:42:23.060 --> 01:42:29.220]   So this is you know a nice way to to bolster the fact that we do care about that and if you keep going you'll find out things like how
[01:42:29.220 --> 01:42:35.540]   webspam the webspam team fought webspam in 2015 which is a very interesting blog post to me at least so uh, yeah
[01:42:35.540 --> 01:42:40.580]   The google webmaster blog is there lots of free resources to help you make better websites and do better in general
[01:42:40.580 --> 01:42:45.140]   I can't show you my pick because I don't have a chromebook in front of me
[01:42:45.140 --> 01:42:48.500]   But those you guys have chromebooks in front of you and maybe matt you could tell me how
[01:42:48.500 --> 01:42:56.100]   New this is if you just discovered it one day i opened the files app in my chromebook and i noticed i could add additional
[01:42:56.100 --> 01:42:58.660]   um file systems
[01:42:58.660 --> 01:43:03.300]   To it including Dropbox and sftp so and and web dev
[01:43:03.300 --> 01:43:10.260]   So if you have a dropbox account and you want the files on your chromebook to show up as part of your file system
[01:43:10.260 --> 01:43:14.020]   You just add it and it's really easy to i know
[01:43:14.020 --> 01:43:17.780]   Do you know when they added this guys because this is the first i just like what whoa
[01:43:17.780 --> 01:43:23.380]   Uh, same as secure ftp which is great. So if you have a secure ftp server running somewhere
[01:43:23.380 --> 01:43:26.900]   This would be a great way to add additional storage
[01:43:27.540 --> 01:43:33.620]   Uh for your chromebook that a secure safe place you could keep that stuff and it's part of the files hierarchy
[01:43:33.620 --> 01:43:37.300]   So it just shows up as another folder in your files hierarchy
[01:43:37.300 --> 01:43:39.060]   Wow
[01:43:39.060 --> 01:43:44.260]   Yeah, so yeah, now matt you probably knew all about that but i i i actually didn't know about this
[01:43:44.260 --> 01:43:50.900]   So it says install new web services or and you can you can have dropbox windows one drive sftp all sorts of great
[01:43:50.900 --> 01:43:52.260]   Isn't that awesome?
[01:43:52.260 --> 01:43:54.260]   That is
[01:43:54.260 --> 01:44:01.460]   Yeah, another reason to love chrome os and how how common are chromebooks really with staff here
[01:44:01.460 --> 01:44:05.540]   Oh with staff here very popular. I mean it's basically
[01:44:05.540 --> 01:44:08.020]   Whenever
[01:44:08.020 --> 01:44:13.780]   China hacked google there was a move away from windows and interesting. Oh, it's interesting
[01:44:13.780 --> 01:44:17.220]   It's usually mac books or chromebooks around here
[01:44:17.220 --> 01:44:23.940]   Well and uh dave sniders crouton which we've talked about before and i used and i know jeff you use it to put skype on your chromebook
[01:44:24.340 --> 01:44:30.500]   Um and i'd kind of pride. Yeah, I I thought it was kind of a hacky thing when i used it a couple of years ago
[01:44:30.500 --> 01:44:34.260]   It's gotten better and better and better and you can now put debbie in on there
[01:44:34.260 --> 01:44:39.860]   You could put other distributions they have all sorts of nice features in this he's really uh
[01:44:39.860 --> 01:44:47.060]   Up the ani and then of course contributors have up the ani because you can create your own charout and and you're you what do you got there?
[01:44:47.060 --> 01:44:49.060]   You got it you're downloading it
[01:44:49.060 --> 01:44:52.820]   Well, we're getting the uh, we're getting the uh android is upgrading optimizing
[01:44:52.980 --> 01:44:55.940]   Yeah, well you're they haven't gotten rid of it yet, Jason
[01:44:55.940 --> 01:45:00.100]   Maybe that's the last time the last time it will never again
[01:45:00.100 --> 01:45:05.300]   All right, what is it by the way? What is it doing when it's doing that?
[01:45:05.300 --> 01:45:12.820]   Ah, it might be well, they said um the just-in-time compiler made it better with uh, right new jit
[01:45:12.820 --> 01:45:17.620]   It may be i mean, there's the android run time the art stuff and so maybe it's recompiling
[01:45:18.180 --> 01:45:19.860]   I you know, why don't i wait for me at hand?
[01:45:19.860 --> 01:45:22.740]   I remember reading at one point was it symbol tables or something?
[01:45:22.740 --> 01:45:26.980]   Do you remember jina why it has to take all that time churning through every app?
[01:45:26.980 --> 01:45:30.500]   I should have taken the time that I was waiting for it to be done to read
[01:45:30.500 --> 01:45:33.940]   I would have had I would have had the time to do that, but I didn't
[01:45:33.940 --> 01:45:40.260]   It has to do with it has to do with dalvik and art and and uh, I believe it's pre compiling
[01:45:40.260 --> 01:45:46.660]   Uh in some way because remember these are these are jvm's that are
[01:45:47.460 --> 01:45:49.460]   uh being used on the system
[01:45:49.460 --> 01:45:53.540]   Uh can read bytecode, but they also can read something a little bit more
[01:45:53.540 --> 01:45:59.140]   Close to the metal and I believe that that's what's going on that there's a some sort of pre compile
[01:45:59.140 --> 01:46:05.300]   Step, I read about this once and I don't but anyway, it's a pain in the frickin button. I'm so glad they're getting rid of it
[01:46:05.300 --> 01:46:11.380]   Thank you. So this do we have the new jit now? Is that once we do this update is the we say goodbye to that?
[01:46:11.380 --> 01:46:16.740]   It's I don't know if it's in this beta version, but it sounds like they're shooting for it to be an end
[01:46:16.820 --> 01:46:19.940]   Oh, it'd be so nice the facebook being just wrapped
[01:46:19.940 --> 01:46:21.540]   All right
[01:46:21.540 --> 01:46:26.740]   Seacup says it's a good brian's shelter at cnn who's the what crack meteor meteor love ryan
[01:46:26.740 --> 01:46:32.020]   Yeah, brian is the greatest said that uh that the conservators did a lot more talking to the facebook people that he
[01:46:32.020 --> 01:46:34.260]   Zuckerberg was taking it seriously
[01:46:34.260 --> 01:46:40.100]   Um, so he's in listening mode. He's a listening mode. We're just smart. He ought to be
[01:46:40.100 --> 01:46:45.940]   And i glad thank you all for being in listening mode for the last couple of hours actually all day today because we've had
[01:46:46.260 --> 01:46:48.260]   A lot of fun talking mode
[01:46:48.260 --> 01:46:52.900]   Thanks so much to our guests today matt cuts great to see you come back anytime. You know, you're always
[01:46:52.900 --> 01:46:57.300]   Yes, fun as we can google always fun to be on. Thanks for having me. Yeah, jeff javus from kunie
[01:46:57.300 --> 01:47:02.340]   Keep your eye peeled for dot nyc still in beta, but soon to emerge into the world
[01:47:02.340 --> 01:47:04.980]   Uh, fueling and puking
[01:47:04.980 --> 01:47:08.180]   Mulean newborn leo leo will tape the birth
[01:47:08.180 --> 01:47:14.580]   I shall I shall post it for all this actually you're doing that yourself and doing a very good job, but
[01:47:15.060 --> 01:47:18.820]   Buzz machine dot com is his blog and it's always a pleasure. Thank you jeff
[01:47:18.820 --> 01:47:21.540]   Thanks also to jina trapana. You must come back
[01:47:21.540 --> 01:47:27.780]   Sometimes soon post light dot com and don't forget mercury dot post light dot com for uh,
[01:47:27.780 --> 01:47:30.900]   Amazing amp our amp your pages. Wow
[01:47:30.900 --> 01:47:35.460]   Thank you. Thank you for having me on google. Io day best best day of the year to be on
[01:47:35.460 --> 01:47:38.900]   Well, there's a lot of really good days to be on twig, but this is one one of my favorites
[01:47:38.900 --> 01:47:42.900]   We knew we wanted you on today that today of all days. Yeah, thank you jina
[01:47:43.300 --> 01:47:47.940]   And thanks to jason howl o has to go get to work because tnt is just around the corner
[01:47:47.940 --> 01:47:51.620]   Megan maroney's start right after this. Yeah, megan maroney's getting ready
[01:47:51.620 --> 01:47:57.060]   Thankfully a lot of tnt is about some of the stuff. Yeah, just continue to do what you're already doing
[01:47:57.060 --> 01:48:02.020]   Uh, you can find jason of course every tuesday afternoon 5 pm pacific 8 pm eastern time
[01:48:02.020 --> 01:48:09.300]   Uh midnight utc for all about and right and then monday through friday with megan maroney for tech news today for pm
[01:48:09.300 --> 01:48:13.060]   Yeah pacific. Thank you guys great to see you and thank you all for being here
[01:48:13.060 --> 01:48:18.660]   We do this week in google around about normally 130 pm pacific 430 eastern 23 utc
[01:48:18.660 --> 01:48:25.620]   On wednesdays you can catch it live if you want stop by the studio join us as these educators did or
[01:48:25.620 --> 01:48:29.220]   Yeah, hey google for education here or
[01:48:29.220 --> 01:48:35.780]   Watch on demand after the fact with that tv slash twig is the website, but you can also subscribe in your piecatcher
[01:48:36.260 --> 01:48:42.340]   Get a copy just for yourself. Don't forget our new t-shirts are now out t spring.com slash twit
[01:48:42.340 --> 01:48:45.860]   T w e s p r i n g.com slash twit
[01:48:45.860 --> 01:48:52.340]   We call it the world tour t because it says twit i p tv on the front and the back all the shows as if
[01:48:52.340 --> 01:48:55.780]   We're making our world tour. I know you got the i but made me think of it
[01:48:55.780 --> 01:48:59.700]   He's got one of our visitors has one of the older shirt run the beautiful old shirts on
[01:48:59.700 --> 01:49:03.140]   Thanks for being here. We'll see you next time on twig. Bye.
[01:49:03.140 --> 01:49:12.660]   (Music)

