;FFMETADATA1
title=More Burritoshot than Moonshot
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=378
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.400]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin is in studio with us
[01:31:14.940 --> 01:31:19.020]   So that we when we get into the white house we know where we stand
[01:31:19.740 --> 01:31:22.380]   Those who vote against trump will be placed on a special
[01:31:22.380 --> 01:31:27.340]   List if she's talking about senator lindsey graham
[01:31:27.340 --> 01:31:33.020]   Uh who voted announced that he voted on twitter of all places for another candidate if graham felt his interest
[01:31:33.020 --> 01:31:35.820]   Were with that candidate god bless him. I would never judge anybody
[01:31:35.820 --> 01:31:40.300]   For exercising their right to and the freedom to choose what they want, but let me just tell you
[01:31:40.300 --> 01:31:48.780]   Mr. trump has a long memory and we are keeping a list. Holy cow. That's uh, there you go. There you go
[01:31:48.780 --> 01:31:52.860]   I consider this source. I don't know if she has it inside the insider's track now
[01:31:52.860 --> 01:31:55.500]   Now just to just to uh, track back to what I said
[01:31:55.500 --> 01:31:59.580]   I was kind of vague about it, but the this is a buzzfeed report on june 30th
[01:31:59.580 --> 01:32:07.020]   Uh, and they say they claim that they have sources that trump had a phone console near his bed at the at the at his florida hotel
[01:32:07.020 --> 01:32:10.060]   Oh, yes. Yeah, he had a big switchboard. Yes
[01:32:10.060 --> 01:32:15.020]   The butler's the butler told us this he had a big switchboard there and he would from time to time listen in
[01:32:15.020 --> 01:32:15.740]   Yeah
[01:32:15.740 --> 01:32:17.900]   And so this is the person who now have zach
[01:32:17.900 --> 01:32:23.580]   I want to know what access he has to the surveillance that the nsa is gathering
[01:32:23.580 --> 01:32:30.940]   Uh because he's already demonstrated an inclination to do that to personally listen listen in on people's very nixonia in very ways
[01:32:30.940 --> 01:32:31.740]   Yeah
[01:32:31.740 --> 01:32:34.860]   Will president outgoing president obama pardon edward stoden
[01:32:34.860 --> 01:32:38.220]   I think he should
[01:32:38.220 --> 01:32:40.220]   There's a certainly a move to do that a petition
[01:32:40.220 --> 01:32:41.820]   Oh, yeah
[01:32:41.820 --> 01:32:42.620]   Um
[01:32:42.620 --> 01:32:45.020]   I doubt it, but it would be a cool move
[01:32:45.740 --> 01:32:47.820]   Certainly I would I would love to see it happen
[01:32:47.820 --> 01:32:49.340]   um
[01:32:49.340 --> 01:32:50.540]   lean pardon
[01:32:50.540 --> 01:32:52.540]   secretary clinton
[01:32:52.540 --> 01:32:57.180]   Can you pardon somebody who's actually who's not been charged and died charged?
[01:32:57.180 --> 01:33:03.980]   Very tight it just a pre pardon an advanced pardon. Well nixon was never charged. No, that's true
[01:33:03.980 --> 01:33:09.820]   Was he pardoned? Yeah, it's right. Gerald Ford pardon and Gerald Ford pardon. Yeah, so yeah, absolutely you can you can
[01:33:09.820 --> 01:33:12.060]   Well and wait for the next part in coming up
[01:33:12.780 --> 01:33:14.300]   pristine
[01:33:14.300 --> 01:33:19.500]   Oh, yeah. Yeah. Yeah, january 2 yeah or january 22 kind of president pardon himself
[01:33:19.500 --> 01:33:24.700]   Actually president can't be ch. I've heard him say it. He said pardon me pardon me. Yeah
[01:33:24.700 --> 01:33:31.660]   Uh, we're going to take a break and give you a chance to have final thoughts. Uh, if you wish jeff
[01:33:31.660 --> 01:33:34.300]   rank, okay google
[01:33:34.300 --> 01:33:38.460]   Can a president pardon himself?
[01:33:39.820 --> 01:33:45.260]   google's very good with because of the knowledge graph with some things. Yes, that's a kind of uh question that may not
[01:33:45.260 --> 01:33:49.180]   It's more promiscuous with sourcing and a president pardoned himself
[01:33:49.180 --> 01:33:52.540]   pardon me
[01:33:52.540 --> 01:34:00.540]   It's like
[01:34:06.220 --> 01:34:10.940]   Oh, then stop reading. However, no president has ever attempted to pardon himself. So I guess you could
[01:34:10.940 --> 01:34:14.620]   I
[01:34:14.620 --> 01:34:18.140]   Oh, I don't know anyway. It's complicated. It's complicated
[01:34:18.140 --> 01:34:19.900]   um
[01:34:19.900 --> 01:34:23.180]   And I say that in jest not it's complicated, but can a president pardon
[01:34:23.180 --> 01:34:26.300]   Not i'm not
[01:34:26.300 --> 01:34:33.740]   Incinuating that there's anything to be pardoned for yeah, uh our show today brought to you by those great people at a base camp
[01:34:34.380 --> 01:34:38.700]   Uh who have made a fabulous tool you probably are well aware of millions have
[01:34:38.700 --> 01:34:42.300]   Used it. I think a hundred thousand companies. I should say not millions
[01:34:42.300 --> 01:34:50.620]   Millions is the new hundred thousand. Yes, 100,000 companies use base camp and the all new base camp three is so
[01:34:50.620 --> 01:34:56.220]   Sweet, you're gonna love it. It'll make your life much easier more organized. It's a private secure
[01:34:56.220 --> 01:34:58.940]   online space
[01:34:58.940 --> 01:35:01.180]   To help teams stay organized
[01:35:01.180 --> 01:35:03.740]   Discuss everything they need to get a project done
[01:35:04.380 --> 01:35:09.580]   No more searching through hundreds of emails or relying on chat to get the latest updates with base camp
[01:35:09.580 --> 01:35:12.780]   Everyone's always in the loop
[01:35:12.780 --> 01:35:17.100]   No matter where I've mentioned this before, you know, uh companies easy to manage when there's three or four people
[01:35:17.100 --> 01:35:20.140]   But as you get the bigger and I think around 15 to 20 employees
[01:35:20.140 --> 01:35:23.260]   It's just hard to know who's working on what what the status is of that
[01:35:23.260 --> 01:35:26.860]   We have a lot of meetings and things but until we found base camp
[01:35:26.860 --> 01:35:29.260]   It was really a hard thing to do to keep up on
[01:35:29.820 --> 01:35:38.300]   All of this to organize all of this base camp is sweet and because unlike certain other tools from a company with two o's in its name
[01:35:38.300 --> 01:35:43.340]   They don't charge by the seat, but they charge a flat fee. I'm always with with g-suite
[01:35:43.340 --> 01:35:46.780]   I'm always have to make this decision. Well, should I add this person to our g-suite?
[01:35:46.780 --> 01:35:51.420]   It's gonna cost me their five dollars a month not with base camp base camp
[01:35:51.420 --> 01:35:55.020]   It's a flat rate and you can include not only everybody on your team
[01:35:55.020 --> 01:35:57.660]   But uh clients and so forth and give them limited access
[01:35:58.220 --> 01:36:00.220]   Art we use it on our live production team
[01:36:00.220 --> 01:36:04.540]   Uh, a live events production team to manage all the events were up to things like ces
[01:36:04.540 --> 01:36:06.460]   We're already in planning for that
[01:36:06.460 --> 01:36:11.820]   Colleen who says it was our our manager there says is very intuitive provides a great visual overview of
[01:36:11.820 --> 01:36:18.540]   Current projects. It's easy to assign tasks to team members to track productivity through reports and daily updates
[01:36:18.540 --> 01:36:21.420]   Cara likes the email reminders
[01:36:21.420 --> 01:36:23.980]   She helps her get her job done stay on track
[01:36:24.140 --> 01:36:29.500]   And I like the fact that you can say what your work hours are and get no reminders when you're off duty
[01:36:29.500 --> 01:36:33.740]   Because you know what base camp's all about a more civilized work life
[01:36:33.740 --> 01:36:38.860]   In fact, Jason free do you see talking there? He's the founder of base camp wrote the book rework
[01:36:38.860 --> 01:36:43.260]   They spent a lot of time thinking about work. David honda mire hanson. We've had both of them on the
[01:36:43.260 --> 01:36:48.780]   Triangulation, uh, the guy who vented ruby on rails and and was right right space camp
[01:36:48.780 --> 01:36:51.500]   They are all about having a great
[01:36:52.380 --> 01:36:57.500]   Work life being more effective more efficient and they've got a great tool to do it base camp
[01:36:57.500 --> 01:37:01.020]   Dot com slash twit and you could try it free right now base camp
[01:37:01.020 --> 01:37:03.500]   dot com
[01:37:03.500 --> 01:37:06.620]   Slash twit make sure you go there so that they know you heard it
[01:37:06.620 --> 01:37:12.460]   On this week in google. It's not slash twig though. It's slash twit base camp
[01:37:12.460 --> 01:37:15.260]   slash
[01:37:15.260 --> 01:37:16.220]   twit
[01:37:16.220 --> 01:37:19.180]   Anything you want to mention that you've been using lately
[01:37:19.260 --> 01:37:23.420]   I have a prepared statement about the use of inbox versus gmail, which is
[01:37:23.420 --> 01:37:27.420]   I use both of them. What are you supposed to?
[01:37:27.420 --> 01:37:30.860]   I know every I think people are they think well, I should move to the new one
[01:37:30.860 --> 01:37:33.820]   But I kind of like the old one, but should I use the new one? I'm gonna pick one
[01:37:33.820 --> 01:37:38.300]   I don't think we have to pick I personally like to use gmail
[01:37:38.300 --> 01:37:44.540]   Uh the old fashion gmail, which is new version by the way. It's faster. I use it for searching because I've started exactly
[01:37:44.620 --> 01:37:48.940]   Everything for today. I just wish there's one feature. I wish I had which is to mark as unread
[01:37:48.940 --> 01:37:51.900]   Which you don't have an inbox that you do have a bunch right?
[01:37:51.900 --> 01:37:55.100]   I love that you've come around to inbox Jeff because I know you oh yeah, I'm using it
[01:37:55.100 --> 01:37:59.260]   I know I I resisted for a long time, but but I I generally like it
[01:37:59.260 --> 01:38:03.980]   I like the reminders that you could put in there and I like the canned it responses
[01:38:03.980 --> 01:38:09.340]   I think and I like the filters like the auto filter whole settings thing is just so many options
[01:38:09.340 --> 01:38:14.460]   It's pretty old school for inbox or gmail for gmail. I do email, but then it's affected in inbox
[01:38:14.620 --> 01:38:18.060]   Oh, I see see if I see something in inbox. I I want to add to a filter
[01:38:18.060 --> 01:38:23.900]   I go to gmail to do the filter and then I come back to to inbox so so it's like gmail settings are like so
[01:38:23.900 --> 01:38:31.500]   Yeah, oh, so if you set up a filter on gmail it propagates. Yes, it functions in in inbox
[01:38:31.500 --> 01:38:34.620]   Yes, and this is this is what like I
[01:38:34.620 --> 01:38:38.700]   Anybody in tech journalism gets a gazillion
[01:38:39.260 --> 01:38:44.620]   Press releases or invitations or whatever every single day and I just can't I can't even so I have
[01:38:44.620 --> 01:38:47.340]   I have hundreds literally hundreds of
[01:38:47.340 --> 01:38:53.820]   of filters in gmail that says okay take that take that and put it in that folder and then once a day I
[01:38:53.820 --> 01:38:59.260]   Address that folder. Well, I do that, you know five six times a day. I set up a new filter with a new
[01:38:59.260 --> 01:39:02.700]   There must be thousands of PR companies out there
[01:39:02.700 --> 01:39:06.460]   And I need that you know and I get I love inbox
[01:39:06.620 --> 01:39:11.900]   But I need that and there are a few other things in gmail that I need I need the all mail folder sometimes
[01:39:11.900 --> 01:39:16.220]   To look through things and so I appreciate the fact that they're simplifying. I love
[01:39:16.220 --> 01:39:18.940]   the insanely high tech
[01:39:18.940 --> 01:39:20.300]   uh
[01:39:20.300 --> 01:39:25.580]   Nuts and bolts behind the so auto reply even though the auto applies so cool though
[01:39:25.580 --> 01:39:30.220]   It's so cool. I love auto reply. I love the I love the reminders. I love all that stuff
[01:39:30.220 --> 01:39:35.900]   Um, but I still need gmail and I think we should all unapologetically use both both. Yeah
[01:39:36.460 --> 01:39:39.820]   Actually, I do you one better because I then I do
[01:39:39.820 --> 01:39:47.580]   And then I forward all my gmail to another email provider and I use a third client to access that. Hmm. So I
[01:39:47.580 --> 01:39:51.500]   I don't know. I guess I want all my mail and i've run by the way
[01:39:51.500 --> 01:39:57.420]   And I I was I just on gmail so I'm using gmail probably as you have for since it started
[01:39:57.420 --> 01:39:59.180]   Is that 10 years something like that?
[01:39:59.180 --> 01:40:04.140]   Yeah, so I was curious because they mentioned that Anthony winner had 650,000 emails on his laptop. Hmm
[01:40:04.220 --> 01:40:07.260]   That seemed like a big number to me. Yeah, seemed like a large note
[01:40:07.260 --> 01:40:11.340]   I don't think it was all on his laptop. I'm betting that was I heard one reference that was metadata
[01:40:11.340 --> 01:40:16.540]   It was probably how much was in an account because I'm I'm looking at all the mail I've ever received over
[01:40:16.540 --> 01:40:22.780]   More than 10 year more than a decade. Yeah, I have I'm asked i'm curious if you could look at your all mail and tell us what it is
[01:40:22.780 --> 01:40:25.820]   But I have 263,000 589 emails
[01:40:25.820 --> 01:40:31.500]   So if you go to your all mail folder, it's under more. Yeah, I got this is this is all you're looking at all mail and this is
[01:40:31.820 --> 01:40:35.180]   On-in-box you account. No, it's 293,000
[01:40:35.180 --> 01:40:37.420]   293,000 no on gmail itself
[01:40:37.420 --> 01:40:42.540]   So I'm saying how do you have 600 and by the way you and I are no slouches right?
[01:40:42.540 --> 01:40:46.540]   I receive in junk mail right right I never delete mail. Yeah
[01:40:46.540 --> 01:40:48.700]   So where do you go Leo?
[01:40:48.700 --> 01:40:53.260]   Uh just open your gmail account and uh got it under more on the left
[01:40:53.260 --> 01:40:56.220]   You see one of the folders is all mail unless you've moved it up
[01:40:56.220 --> 01:41:00.540]   All mail has all the mail including some of it and everything else
[01:41:01.100 --> 01:41:04.540]   263,000 is what I see up in the upper left hand corner
[01:41:04.540 --> 01:41:07.500]   24,000 yeah, so we're all in the 200,000 range
[01:41:07.500 --> 01:41:11.100]   Yeah, and we hold on hold on hold on hold on
[01:41:11.100 --> 01:41:19.180]   How often do you use those google things and tells you how much you have and then when you get to you have 100 and you get 200 and suddenly you have 200
[01:41:19.180 --> 01:41:25.740]   What are you talking about what you sometimes is an approximation. It's an approximation number. I don't think this is approximate
[01:41:25.740 --> 01:41:27.740]   This says 263,000
[01:41:28.300 --> 01:41:32.460]   I don't know. I don't know but sometimes they they're like that this and I have a lot of storage
[01:41:32.460 --> 01:41:36.620]   I have four to 20 gigabytes you probably have as much too because you we all have pixels right exactly
[01:41:36.620 --> 01:41:38.780]   We got a terrible
[01:41:38.780 --> 01:41:43.340]   Um and I've only used 75 gigabytes over 10 11 years. Yeah
[01:41:43.340 --> 01:41:49.740]   Oh, I've also occasionally gone in and purged so I think this number is a little ear numbers low
[01:41:49.740 --> 01:41:56.140]   Yeah, but but I would it's not that you know, I probably have a total of 300,000 625,000 seems like a lot
[01:41:57.260 --> 01:42:00.140]   I don't know. I'm just saying
[01:42:00.140 --> 01:42:05.260]   Okay, when you're when you're tweeting teenagers you get more mail. I think right
[01:42:05.260 --> 01:42:09.980]   Jeff you got a number not 6. Oh, yes
[01:42:09.980 --> 01:42:16.540]   Ah, so I found this interesting I found that uh get a sense of the kind of
[01:42:16.540 --> 01:42:23.180]   Associations these companies have wpp the giant advertising agency run by sir martin as oral
[01:42:23.900 --> 01:42:27.980]   Will spend five billion dollars with google what?
[01:42:27.980 --> 01:42:30.860]   For advertising
[01:42:30.860 --> 01:42:35.820]   Five one company one agency of course bringing middle companies in it's a gigantic agency
[01:42:35.820 --> 01:42:39.420]   But five billion dollars last year. They spent four billion dollars
[01:42:39.420 --> 01:42:44.620]   Facebook last year was one billion dollars and he and he uses this as an opportunity to get some leverage
[01:42:44.620 --> 01:42:48.060]   He says the relationship with google is very good the relationship with facebook not so much
[01:42:48.060 --> 01:42:51.260]   He spent a bill
[01:42:51.260 --> 01:42:53.260]   These are like ads
[01:42:53.260 --> 01:42:56.380]   Yeah, they're just ads spending how big is that agency?
[01:42:56.380 --> 01:42:59.500]   Oh, it's gigantic. What's the lot?
[01:42:59.500 --> 01:43:04.140]   That's amazing and I get excited when we get a $50 buy
[01:43:04.140 --> 01:43:07.740]   I'm in the wrong business
[01:43:07.740 --> 01:43:12.060]   Uh, I was going to mention because I'm using the pixel
[01:43:12.060 --> 01:43:15.660]   And I wasn't really crazy about and this might be of interest to you, Jeff
[01:43:15.660 --> 01:43:20.460]   I wasn't crazy about the pixel launcher. It's okay, but it's google doesn't hear it already has it
[01:43:20.700 --> 01:43:22.300]   Well for one thing
[01:43:22.300 --> 01:43:24.380]   This is just a weird quirk of mine
[01:43:24.380 --> 01:43:28.860]   I'm always accidentally dragging icons and widgets to other places on the screen
[01:43:28.860 --> 01:43:34.620]   So I like to lock the screen so you can't move the widgets and pixel launcher doesn't offer that most other launchers
[01:43:34.620 --> 01:43:37.020]   There's a lock button so that you can't drag
[01:43:37.020 --> 01:43:40.540]   Icons around you kind of have a setup that it stays that way
[01:43:40.540 --> 01:43:43.580]   But the reason I stayed with pixel launcher is the long press
[01:43:43.580 --> 01:43:48.700]   And admittedly it's only a few apps most all google apps that allow you to long press and get a menu
[01:43:48.860 --> 01:43:52.860]   So you can long press on the camera and choose video or selfie and like that
[01:43:52.860 --> 01:43:55.100]   Well, I found another launcher
[01:43:55.100 --> 01:43:59.020]   That is a great launcher. Thank you florin's ion for recommending it called action launcher
[01:43:59.020 --> 01:44:01.100]   That does in fact
[01:44:01.100 --> 01:44:03.820]   Let you do that thing that long press thing
[01:44:03.820 --> 01:44:09.740]   I imagine all of them will eventually but if you have a pixel and or you're using nougat 7-1 somehow
[01:44:09.740 --> 01:44:12.300]   Maybe you borrowed a rom from somebody
[01:44:12.300 --> 01:44:13.900]   um
[01:44:13.900 --> 01:44:15.900]   You you might want to try
[01:44:16.300 --> 01:44:19.500]   Action launcher and it has some really nice folder features
[01:44:19.500 --> 01:44:23.500]   But it has it's not a long press it allows you to swipe down for instance on the camera icon
[01:44:23.500 --> 01:44:27.340]   And choose the menu from the camera icon just by swiping down
[01:44:27.340 --> 01:44:34.780]   Uh if you swipe down on hangouts you get or the actually the phone's a good one because you get most recent contacts and so forth
[01:44:34.780 --> 01:44:38.460]   So if you are using a pixel and by the way, I have to say
[01:44:38.460 --> 01:44:41.660]   Jeff not withstanding. I like my pixel a lot
[01:44:41.660 --> 01:44:44.140]   Oh, okay
[01:44:45.900 --> 01:44:48.380]   For weeks now, I'm trying to get you just give me an order and I'll follow it
[01:44:48.380 --> 01:44:54.060]   Jeff keep it Jeff get rid of it right Jeff. You're a fool if you don't blank, right
[01:44:54.060 --> 01:44:59.660]   It's not biting. I can't I want for me Leo. I can't I can't I can't
[01:44:59.660 --> 01:45:02.380]   I don't I don't want to be responsible
[01:45:02.380 --> 01:45:07.900]   For your freedom. I'm gonna be whining at you for every everything that goes wrong. Yeah, is that it?
[01:45:07.900 --> 01:45:10.380]   I it's a better phone than the six p
[01:45:10.380 --> 01:45:15.100]   Uh, I I like nougat and I like 7-1
[01:45:15.180 --> 01:45:21.900]   I guess you got nougat in the 7 and this 6p name. Yeah, um the camera is really what blows me away now if that's not important to you
[01:45:21.900 --> 01:45:25.820]   These 6p camera is a pain because it's it's slow
[01:45:25.820 --> 01:45:32.700]   This is fast. You can double click the uh start button on off button and launch the camera right away
[01:45:32.700 --> 01:45:37.740]   Oh, yeah, that's some other phone. That's by the way. Once again, that's a software feature
[01:45:37.740 --> 01:45:42.540]   That could be on any Android phone most Android phones do have that but but it's nice to have that and it's fast
[01:45:43.020 --> 01:45:49.500]   So even if it's locked, I can get right to the camera. Um, the camera is superb. I'll show you you want to see a picture
[01:45:49.500 --> 01:45:56.140]   Something I just learned like I actually am using the little five inch one
[01:45:56.140 --> 01:46:00.780]   Uh, I took we had a weird night a couple of nights ago
[01:46:00.780 --> 01:46:03.740]   portending strange things
[01:46:03.740 --> 01:46:09.740]   In the universe. It was a very red sunset. So this is not you might think oh, there's a color cast from that camera
[01:46:09.820 --> 01:46:13.900]   But no, this is actually perfect color. This is exactly that's why I took this picture
[01:46:13.900 --> 01:46:17.980]   But look at this picture. I'll tell you red is very hard to do on a digital camera
[01:46:17.980 --> 01:46:23.740]   I'm getting some nice adept of field on this. Uh, I think this is an example of a camera
[01:46:23.740 --> 01:46:25.980]   That's got great color rendition great detail
[01:46:25.980 --> 01:46:31.740]   Excellent depth of field. I'll zoom in a little bit so you can see that the the detail is is very good
[01:46:31.740 --> 01:46:33.740]   Let's zoom in a little bit even a little bit more
[01:46:33.740 --> 01:46:35.020]   um
[01:46:35.020 --> 01:46:39.260]   I think I it's a it's as good as the iPhone which is you know, the
[01:46:39.660 --> 01:46:41.260]   state of the art
[01:46:41.260 --> 01:46:43.260]   um digital camera that's probably
[01:46:43.260 --> 01:46:46.700]   One to one or close to that's one to one right there
[01:46:46.700 --> 01:46:50.780]   So I would say keep the pixel jeff
[01:46:50.780 --> 01:46:53.660]   All right, I'm gonna take responsibility
[01:46:53.660 --> 01:46:58.780]   For your pixel. Why do you just I mean just since you're you're the tech guy and you can help me with anything
[01:46:58.780 --> 01:47:03.500]   Why do you think it's not in that when I try to transfer the data? It never gives me an estimated time
[01:47:03.500 --> 01:47:08.140]   Well, how much data do you have? I don't I don't how much I very little and I said don't move my videos
[01:47:08.140 --> 01:47:10.620]   Don't move my photos is there all stored elsewhere. Oh, okay
[01:47:10.620 --> 01:47:15.180]   And it but it takes like two three hours in saying no, yeah, it's hanging up
[01:47:15.180 --> 01:47:19.740]   Yeah, I would restart both phones and try again. I mean turn them off and turn them on again
[01:47:19.740 --> 01:47:22.700]   Try again. So what you say on the texture all the time is exactly what I say
[01:47:22.700 --> 01:47:25.900]   Try again
[01:47:25.900 --> 01:47:31.500]   Take two aspirin and get off the phone. It's very fast. I like the 821 that's nap dragon 821 this in there
[01:47:31.500 --> 01:47:32.700]   Um
[01:47:32.700 --> 01:47:36.140]   Feels good. It's you know, it's not the most pretty how does the size feel do you well?
[01:47:36.140 --> 01:47:38.860]   I have a five-inch you know that you had the answer. I know you had to go small one
[01:47:38.860 --> 01:47:42.060]   Um, I like the excel the excels got better battery life
[01:47:42.060 --> 01:47:46.860]   Uh, but this was batteries is quite quite good. 1080p on a five-inch phone is very nice screen
[01:47:46.860 --> 01:47:47.660]   Yep
[01:47:47.660 --> 01:47:53.500]   I like this was it looked rather dull and blue to me if you put these six p next to the excel
[01:47:53.500 --> 01:47:58.460]   Well, let me put it on a white screen the excel did not look as good
[01:47:58.460 --> 01:48:02.060]   Let me the six p was much brighter. Let me put this next to the iPhone
[01:48:02.060 --> 01:48:05.740]   Do you have it over the camera somewhere over the shoulder?
[01:48:06.460 --> 01:48:08.460]   Okay, so there's the iPhone
[01:48:08.460 --> 01:48:12.060]   And there's this I think that's a better that's better looking picture
[01:48:12.060 --> 01:48:15.820]   Uh, frankly on the pixel than on the iPhone
[01:48:15.820 --> 01:48:19.820]   Um, I think it's really really quite beautiful
[01:48:19.820 --> 01:48:23.740]   It looks actually a little blue on the iphone looks a little blue next to it
[01:48:23.740 --> 01:48:28.620]   Oh, it's funny the the pixel look a very blue next to my six p
[01:48:28.620 --> 01:48:30.780]   uh
[01:48:30.780 --> 01:48:35.580]   Well, you know, I don't that I it could be that you have a screen that's that way
[01:48:35.740 --> 01:48:37.740]   Here, let me put that picture up on it
[01:48:37.740 --> 01:48:44.300]   This is Lisa showing there we go. There we go. That's the that's that picture originally
[01:48:44.300 --> 01:48:46.540]   It probably won't rotate because I turn off rotation
[01:48:46.540 --> 01:48:53.820]   I think that's a pretty good. I actually have the same picture here. We go ahead to head comparison
[01:48:53.820 --> 01:48:57.900]   Thanks to google photos. I should have the oh, it hasn't copied it over yet
[01:48:57.900 --> 01:49:00.700]   Same picture on the iphone, but I don't
[01:49:00.700 --> 01:49:03.660]   Um
[01:49:03.660 --> 01:49:05.900]   I like that screen. I think that's a pretty good screen
[01:49:05.900 --> 01:49:09.980]   I like and I like the 5 inch. I'm kind of liking a little phone
[01:49:09.980 --> 01:49:13.820]   Coming back to the little phone says put it right there. Yeah, can't tell I have it
[01:49:13.820 --> 01:49:15.900]   It's invisible
[01:49:15.900 --> 01:49:18.140]   Anyway action launch your three my recommendation
[01:49:18.140 --> 01:49:23.580]   Jeff Jarvis. Thank you so much city universe. You work. I hope you feel a little bit cheered
[01:49:23.580 --> 01:49:27.820]   No, I just don't know which country I moved to that's all
[01:49:27.820 --> 01:49:29.980]   cheer up
[01:49:29.980 --> 01:49:31.980]   cheer up, you know, it's uh
[01:49:32.540 --> 01:49:38.700]   Usa and I know you know, I I was thinking back to 1968 when I was in eighth grade
[01:49:38.700 --> 01:49:41.100]   and uh
[01:49:41.100 --> 01:49:49.420]   And I had watched the conventions that demonstrators getting beat at democratic convention. I you know hated LBJ and hated the war
[01:49:49.420 --> 01:49:55.340]   And I remember nixon getting elected waking up that morning hearing nixon get elected and having very a very similar
[01:49:55.340 --> 01:49:56.860]   kind of like
[01:49:56.860 --> 01:49:57.660]   what
[01:49:57.660 --> 01:49:59.820]   President nixon then I remember in
[01:50:01.420 --> 01:50:02.380]   4
[01:50:02.380 --> 01:50:03.580]   Ronald Reagan
[01:50:03.580 --> 01:50:09.100]   Yeah getting elected had the same because I'm a liberal democrat. Yeah, so thinking that guy's just a movie star
[01:50:09.100 --> 01:50:14.700]   He's an empty suit. Yeah, uh, how could how could this how could the american people make such a huge mistake?
[01:50:14.700 --> 01:50:17.740]   And you know we survived effect nixon open china
[01:50:17.740 --> 01:50:20.460]   Uh ragan ended the soviet union
[01:50:20.460 --> 01:50:24.860]   Let's give him a chance
[01:50:24.860 --> 01:50:27.340]   You want to let out a primal scream jeff
[01:50:28.940 --> 01:50:33.900]   So I yeah, I yeah, I'm a heart my throat. I did I did last night in the car when I heard that
[01:50:33.900 --> 01:50:39.820]   North Carolina was lost I screamed the phone. Yeah, what was it was an interesting and because I don't remember this
[01:50:39.820 --> 01:50:42.140]   Interesting watching the returns
[01:50:42.140 --> 01:50:46.460]   Uh, I I don't think I can remember and I don't think this has ever happened
[01:50:46.460 --> 01:50:51.900]   Maybe with dewy Truman. I don't know where you really thought oh this one's in the bag. Yeah
[01:50:51.900 --> 01:50:58.860]   And the slow but inexorable realization that it's not going right well at all
[01:50:58.860 --> 01:50:59.980]   Oh
[01:50:59.980 --> 01:51:05.180]   And then seeing james carvel and n miss nbc when uh, he was looking I can't remember which state
[01:51:05.180 --> 01:51:10.060]   I think it was at north carolina. Michigan. Well, Michigan. Yes. Right. I'm worried
[01:51:10.060 --> 01:51:12.860]   That's when I was like, oh dear
[01:51:12.860 --> 01:51:19.900]   Was it michigan or wisconsin that was considered by both campaigns to be so favorable toward clinton
[01:51:19.900 --> 01:51:24.380]   Yeah, neither of them really seriously campaign there. Yeah, and I went for trump
[01:51:24.380 --> 01:51:25.980]   Yeah
[01:51:25.980 --> 01:51:32.940]   So so so far it's tough look we all pray for and hope for the best from uh our president elect
[01:51:32.940 --> 01:51:38.140]   Um, you know and uh and hope that he uh, you rises to the occasion
[01:51:38.140 --> 01:51:42.940]   And uh and becomes a great leader and hope he doesn't paint the white house gold and put a giant
[01:51:42.940 --> 01:51:47.500]   I'm a little afraid of that. Yeah, I see trump. I see gold faucets in the bathroom. I don't know
[01:51:47.500 --> 01:51:52.060]   And by the way, it'll be the first time we've had a really good looking first lady, right?
[01:51:52.060 --> 01:51:54.540]   No
[01:51:54.540 --> 01:51:56.780]   Okay, I'm just getting that's a joke
[01:51:56.780 --> 01:52:00.940]   How earth stern was trying to get um
[01:52:00.940 --> 01:52:02.300]   Later, uh
[01:52:02.300 --> 01:52:06.540]   A and i'm a happy listener today to be happy so we started with well he has a had he's a hot daughter
[01:52:06.540 --> 01:52:11.180]   And then he has a hot wife everything kind of service. No, let's just stay here. He has a hot wife, right?
[01:52:11.180 --> 01:52:15.260]   Um, that's not it'll be our first model in the white house
[01:52:15.260 --> 01:52:20.700]   Thank you all so much for being here mike elgan. Where could we find your fine writing?
[01:52:21.100 --> 01:52:25.660]   Elgan.com is a great place to start. I have a new about page that if you want to follow me anywhere
[01:52:25.660 --> 01:52:29.740]   I also have a podcast called the fat cast you go to fatcast.audio
[01:52:29.740 --> 01:52:31.020]   F-a-t
[01:52:31.020 --> 01:52:31.900]   F-a-t
[01:52:31.900 --> 01:52:32.940]   C-a-s-t
[01:52:32.940 --> 01:52:37.180]   Food it's about food and technol- it's about food technology and technology generally
[01:52:37.180 --> 01:52:39.820]   Um, my most recent one I told you I went to the recent
[01:52:39.820 --> 01:52:41.100]   um
[01:52:41.100 --> 01:52:43.100]   rethink food conference I interviewed
[01:52:43.100 --> 01:52:48.940]   Uh somebody there named mike lee who's a food visionary fascinating conversation if you're interested in food technology
[01:52:49.340 --> 01:52:53.980]   So I invite everyone to go to elgan.com and or fatcast.audio
[01:52:53.980 --> 01:52:56.140]   and uh
[01:52:56.140 --> 01:53:01.100]   According to elgan.com you're the world's only lovable tech journal. That is true. That's proven to have to
[01:53:01.100 --> 01:53:04.220]   People are saying that's true
