;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig150
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=150
title=This Week In Google 150: SIM surgery
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.220]   Coming up, it's Twig.
[01:03:21.920 --> 01:03:26.760]   Did they really need it or is that a Trojan horse into iOS devices?
[01:03:26.760 --> 01:03:33.200]   QuickOffice for those who don't know is an iOS app that lets you open office apps from
[01:03:33.200 --> 01:03:34.200]   iOS.
[01:03:34.200 --> 01:03:35.880]   They've been around for a long.
[01:03:35.880 --> 01:03:36.880]   I remember having QuickOffice.
[01:03:36.880 --> 01:03:38.800]   I think I'm blank, Barry.
[01:03:38.800 --> 01:03:40.800]   They've been around for a long time.
[01:03:40.800 --> 01:03:45.280]   Google says it has to do with Google Apps.
[01:03:45.280 --> 01:03:48.960]   Today consumers, businesses and schools use Google Apps to get stuff done from anywhere
[01:03:48.960 --> 01:03:51.600]   with anyone on any device.
[01:03:51.600 --> 01:03:52.600]   QuickOffice.
[01:03:52.600 --> 01:03:54.320]   Well, I guess they want.
[01:03:54.320 --> 01:03:55.960]   I mean, QuickOffice experience in iOS.
[01:03:55.960 --> 01:03:59.800]   I mean, the Google Apps experience in iOS is not very good.
[01:03:59.800 --> 01:04:03.880]   Right now, QuickOffice is for Microsoft Word, Excel and PowerPoint.
[01:04:03.880 --> 01:04:07.840]   It does let those files run on Android and iOS devices.
[01:04:07.840 --> 01:04:11.880]   So this could be good.
[01:04:11.880 --> 01:04:13.280]   It also acquired Mibo.
[01:04:13.280 --> 01:04:14.280]   Yeah.
[01:04:14.280 --> 01:04:17.680]   What was having heard Mibo in like seven years?
[01:04:17.680 --> 01:04:19.640]   I was like, wait, is that that chat thing?
[01:04:19.640 --> 01:04:20.640]   Yeah.
[01:04:20.640 --> 01:04:21.640]   Who uses Mibo?
[01:04:21.640 --> 01:04:22.640]   Who uses Mibo?
[01:04:22.640 --> 01:04:23.640]   Did it change though?
[01:04:23.640 --> 01:04:24.640]   Did it pivot?
[01:04:24.640 --> 01:04:25.640]   It did.
[01:04:25.640 --> 01:04:26.640]   Social platform.
[01:04:26.640 --> 01:04:30.960]   It began as browser-based instant messaging client.
[01:04:30.960 --> 01:04:36.480]   Then they had the Mibo bar, which allows you to chat on TV guide, TMZ, Entertainment Weekly.
[01:04:36.480 --> 01:04:41.200]   Now the website will team up with a search engine giant for future unidentified adventures.
[01:04:41.200 --> 01:04:43.480]   That's PC Magazine.
[01:04:43.480 --> 01:04:46.800]   Stephanie, meot running in PC Magazine.
[01:04:46.800 --> 01:04:49.120]   Future unidentified adventures.
[01:04:49.120 --> 01:04:53.880]   Together, Mibo said, together with Google, we're super jazzed to roll up our sleeves
[01:04:53.880 --> 01:05:00.400]   and get cracking on even bigger and better ways to help users and website owners alike.
[01:05:00.400 --> 01:05:01.400]   Super jazzed.
[01:05:01.400 --> 01:05:03.400]   I'm super jazzed.
[01:05:03.400 --> 01:05:04.400]   Okay.
[01:05:04.400 --> 01:05:08.240]   They said the alleged asking price was $100 million.
[01:05:08.240 --> 01:05:09.880]   I am in the wrong business.
[01:05:09.880 --> 01:05:11.720]   What am I doing?
[01:05:11.720 --> 01:05:15.600]   I should have started a web-based IM platform.
[01:05:15.600 --> 01:05:16.840]   Multi-user chat rooms.
[01:05:16.840 --> 01:05:18.720]   What do you think?
[01:05:18.720 --> 01:05:30.000]   What are the bets that we will get Google glasses under our chairs at IO?
[01:05:30.000 --> 01:05:31.000]   I don't know.
[01:05:31.000 --> 01:05:34.240]   It keeps seeing reports and videos.
[01:05:34.240 --> 01:05:36.600]   There's a video, somebody wearing that.
[01:05:36.600 --> 01:05:39.840]   I think what will happen is that you might be the first people to actually be able to
[01:05:39.840 --> 01:05:41.640]   put them on in a booth somewhere.
[01:05:41.640 --> 01:05:42.640]   Oh, all right.
[01:05:42.640 --> 01:05:43.720]   Yeah, you're probably right.
[01:05:43.720 --> 01:05:45.800]   That's worth it.
[01:05:45.800 --> 01:05:46.800]   That's worth it.
[01:05:46.800 --> 01:05:48.400]   That'd be good.
[01:05:48.400 --> 01:05:49.400]   Yeah.
[01:05:49.400 --> 01:05:56.560]   Um, Twitter says we're going to have a billion dollars in ad revenue next year after next.
[01:05:56.560 --> 01:05:58.560]   That surprised the heck out of me.
[01:05:58.560 --> 01:06:03.000]   Not this year, not next year, the year after 2014.
[01:06:03.000 --> 01:06:04.000]   But they even have what?
[01:06:04.000 --> 01:06:07.480]   525 now surprised me, which I guess is a good thing.
[01:06:07.480 --> 01:06:10.440]   What ads they have are unobtrusive.
[01:06:10.440 --> 01:06:14.400]   I don't know how they got half a billion in revenue from what they're doing.
[01:06:14.400 --> 01:06:17.120]   It was $139.5 million last year.
[01:06:17.120 --> 01:06:19.080]   This year they said $540 million.
[01:06:19.080 --> 01:06:21.520]   Wait a minute.
[01:06:21.520 --> 01:06:24.520]   This is just from promoted tweets and promoted users.
[01:06:24.520 --> 01:06:25.520]   That's...
[01:06:25.520 --> 01:06:27.200]   I mean, how else are they advertising?
[01:06:27.200 --> 01:06:31.440]   Yeah, and maybe advertising in search results.
[01:06:31.440 --> 01:06:32.440]   Huh.
[01:06:32.440 --> 01:06:33.440]   That's right.
[01:06:33.440 --> 01:06:36.880]   I got to Twitter a lot to search.
[01:06:36.880 --> 01:06:38.560]   We had a power outage in my area.
[01:06:38.560 --> 01:06:39.800]   First thing, first place I went.
[01:06:39.800 --> 01:06:40.800]   Oh, yeah.
[01:06:40.800 --> 01:06:41.800]   It's what I do now.
[01:06:41.800 --> 01:06:42.800]   It's just what you do.
[01:06:42.800 --> 01:06:45.480]   I mean, you just expect that, you know, the local news, you know, is going to be reporting
[01:06:45.480 --> 01:06:46.480]   the tweets later.
[01:06:46.480 --> 01:06:47.480]   Right.
[01:06:47.480 --> 01:06:48.480]   We're just looking for tweets.
[01:06:48.480 --> 01:06:49.480]   Go to the source.
[01:06:49.480 --> 01:06:51.080]   You original tweets.
[01:06:51.080 --> 01:06:57.160]   Um, and I use it like on Sunday, the Twitter video feed didn't go.
[01:06:57.160 --> 01:06:59.480]   It was messed up.
[01:06:59.480 --> 01:07:00.560]   And somebody told me that.
[01:07:00.560 --> 01:07:02.600]   So I went to Twitter to see if it was true.
[01:07:02.600 --> 01:07:04.600]   I'm not kidding.
[01:07:04.600 --> 01:07:05.600]   I'm not kidding.
[01:07:05.600 --> 01:07:06.600]   Tweers.
[01:07:06.600 --> 01:07:08.080]   I'm going to jump ahead.
[01:07:08.080 --> 01:07:09.080]   This is probably gone anyway.
[01:07:09.080 --> 01:07:11.080]   We're going to wrap.
[01:07:11.080 --> 01:07:16.480]   No, no, there were some Pew numbers out a week ago, right after our show.
[01:07:16.480 --> 01:07:21.200]   And what's interesting is that the acceptance, the adoption of Twitter, has not gone up that
[01:07:21.200 --> 01:07:24.320]   much, but the engagement with it has, which they...
[01:07:24.320 --> 01:07:26.520]   Pew is guessing it comes from mobile.
[01:07:26.520 --> 01:07:31.720]   So in November 2010, 8% of online adults use Twitter.
[01:07:31.720 --> 01:07:34.200]   2% used it daily.
[01:07:34.200 --> 01:07:35.600]   All right.
[01:07:35.600 --> 01:07:41.360]   In May 2011, 13% used Twitter 4% daily.
[01:07:41.360 --> 01:07:45.760]   Now jumping ahead to now, 15% used it Twitter at all.
[01:07:45.760 --> 01:07:47.240]   8% daily.
[01:07:47.240 --> 01:07:52.960]   So it's still a pretty small adoption to be able to be something valuable for, you know,
[01:07:52.960 --> 01:07:56.440]   that kind of news of having enough people around you that when the power is out, there's
[01:07:56.440 --> 01:07:59.760]   going to be somebody else who's on Twitter who knows about it who's saying something.
[01:07:59.760 --> 01:08:04.960]   Well, it's kind of interesting because it sounds like you don't need a critical mass
[01:08:04.960 --> 01:08:06.960]   to make this valuable.
[01:08:06.960 --> 01:08:10.960]   It's the one 9% and 100% rule, right?
[01:08:10.960 --> 01:08:18.240]   1% of people in social situations are extremely active, 10% somewhat active, and 90% lurk.
[01:08:18.240 --> 01:08:19.800]   And you only need 1%.
[01:08:19.800 --> 01:08:23.800]   I mean, it's Clay Shurkey's rule about Wikipedia.
[01:08:23.800 --> 01:08:27.000]   Less than 2% of the users we can make Wikipedia.
[01:08:27.000 --> 01:08:30.240]   And if you double that, it'd be chaos.
[01:08:30.240 --> 01:08:31.760]   Hmm.
[01:08:31.760 --> 01:08:36.800]   By the way, I can tweet from my galaxy S3 by voice, which I cannot do with Siri.
[01:08:36.800 --> 01:08:39.800]   Oh, I could say, I could say Twitter.
[01:08:39.800 --> 01:08:42.800]   Oops, I just did.
[01:08:42.800 --> 01:08:49.720]   Oh, the voice is not nearly as nice.
[01:08:49.720 --> 01:08:50.880]   Well, you have a choice.
[01:08:50.880 --> 01:08:53.280]   They have a Samsung voice and this is a Google voice.
[01:08:53.280 --> 01:08:56.120]   Please repeat your request.
[01:08:56.120 --> 01:09:00.080]   Twitter, is it time for me to talk?
[01:09:00.080 --> 01:09:01.160]   Twitter update.
[01:09:01.160 --> 01:09:04.600]   I'm tweeting from my galaxy S3 phone period.
[01:09:04.600 --> 01:09:05.600]   Wow.
[01:09:05.600 --> 01:09:11.680]   You must log into Twitter to update the status.
[01:09:11.680 --> 01:09:14.080]   Well, in password.
[01:09:14.080 --> 01:09:15.960]   I thought I did.
[01:09:15.960 --> 01:09:17.440]   I already did.
[01:09:17.440 --> 01:09:21.240]   Anyway, that's by the way, that's the thing that Apple is suing over.
[01:09:21.240 --> 01:09:24.080]   They say that that's too much like Siri.
[01:09:24.080 --> 01:09:27.640]   It's actually much better than-- I'm sorry, didn't mean to offend you.
[01:09:27.640 --> 01:09:29.240]   It's actually much better than Siri.
[01:09:29.240 --> 01:09:34.600]   You could set alarms, weather, turn Wi-Fi on, tweet.
[01:09:34.600 --> 01:09:37.000]   You could say how high is Mount Everest.
[01:09:37.000 --> 01:09:41.600]   You can play music as you saw, set tasks.
[01:09:41.600 --> 01:09:42.600]   You can do memos.
[01:09:42.600 --> 01:09:45.280]   You can navigate.
[01:09:45.280 --> 01:09:46.280]   Look up context.
[01:09:46.280 --> 01:09:48.200]   I could say look up-- let's try it.
[01:09:48.200 --> 01:09:52.600]   Look up Gina Trappani.
[01:09:52.600 --> 01:09:55.960]   I found Gina Trappani in the word draft book.
[01:09:55.960 --> 01:09:56.960]   I love it.
[01:09:56.960 --> 01:09:57.960]   Gina Trappani.
[01:09:57.960 --> 01:09:59.480]   She doesn't know how to say your name.
[01:09:59.480 --> 01:10:01.080]   She says it like I do.
[01:10:01.080 --> 01:10:04.920]   Trappani, I found Gina Trappani in your address book.
[01:10:04.920 --> 01:10:06.280]   Yeah, Apple invented this.
[01:10:06.280 --> 01:10:10.680]   I don't know how Samsung could possibly do this.
[01:10:10.680 --> 01:10:11.760]   Apple, get off it.
[01:10:11.760 --> 01:10:13.600]   Just make a better phone, please.
[01:10:16.720 --> 01:10:21.520]   Sean, you see Sean Parker and Sean Fanning's airtime launch yesterday?
[01:10:21.520 --> 01:10:22.760]   You get it?
[01:10:22.760 --> 01:10:26.000]   I didn't see the launch, but it sounded like I should have missed it.
[01:10:26.000 --> 01:10:27.000]   Nightmare.
[01:10:27.000 --> 01:10:31.200]   Yeah, it was like horrible, wonderful, wonderfully horrible.
[01:10:31.200 --> 01:10:37.160]   Well, they had Julia, Louis, Dreyfus, Jim Carrey, Snoop Dogg, Jimmy Fallon.
[01:10:37.160 --> 01:10:39.160]   So, you know, I mean, this is Sean--
[01:10:39.160 --> 01:10:40.920]   I was never showing off your roll-a-dex, yeah.
[01:10:40.920 --> 01:10:42.080]   This is Sean Parker going.
[01:10:42.080 --> 01:10:43.480]   I know the big guy.
[01:10:43.480 --> 01:10:47.320]   And unfortunately, nothing worked.
[01:10:47.320 --> 01:10:52.000]   So these guys were like-- apparently, Julia Louis Dreyfus was not having.
[01:10:52.000 --> 01:11:01.880]   At one point, they had-- what's her name?
[01:11:01.880 --> 01:11:04.680]   Saying no, really, it worked much better.
[01:11:04.680 --> 01:11:05.600]   Olivia Mon.
[01:11:05.600 --> 01:11:06.560]   Olivia Mon.
[01:11:06.560 --> 01:11:08.560]   And really, it worked much better.
[01:11:08.560 --> 01:11:09.960]   It was video froze.
[01:11:09.960 --> 01:11:12.840]   This is not how it's supposed to be.
[01:11:12.840 --> 01:11:15.440]   Anyway, I don't get it.
[01:11:15.440 --> 01:11:18.440]   It's Shatler, we're like without penises, right?
[01:11:18.440 --> 01:11:19.800]   But how do they assure that?
[01:11:19.800 --> 01:11:21.320]   Well, this is an interesting thing.
[01:11:21.320 --> 01:11:25.400]   I mean, apparently, they're taking screenshots.
[01:11:25.400 --> 01:11:27.960]   They're doing all sorts of stuff.
[01:11:27.960 --> 01:11:29.720]   I'm not too moved to use it.
[01:11:29.720 --> 01:11:33.520]   It looks-- what it does is it's a side-by-side video,
[01:11:33.520 --> 01:11:36.440]   and it uses your social graph to say, hey, what do you like?
[01:11:36.440 --> 01:11:37.680]   Talk to Jeff Jarvis?
[01:11:37.680 --> 01:11:40.200]   I don't want to talk to random people out of my social graph,
[01:11:40.200 --> 01:11:41.080]   just for no reason.
[01:11:41.080 --> 01:11:41.880]   No, either.
[01:11:41.880 --> 01:11:42.760]   I don't either.
[01:11:42.760 --> 01:11:45.280]   Well, you know, I don't want to do it randomly.
[01:11:45.280 --> 01:11:48.240]   I do go on to Google+ once in a rare while,
[01:11:48.240 --> 01:11:51.000]   and I just decide to go on a hangout and see who shows up.
[01:11:51.000 --> 01:11:53.080]   But then we know who we're talking to.
[01:11:53.080 --> 01:11:53.760]   Right.
[01:11:53.760 --> 01:11:54.120]   Yeah.
[01:11:54.120 --> 01:11:55.080]   To have them assigned.
[01:11:55.080 --> 01:11:56.760]   It's the same as when I wrote a couple years ago
[01:11:56.760 --> 01:11:59.640]   about the notion of a social airline.
[01:11:59.640 --> 01:12:01.800]   But now it's a social airline.
[01:12:01.800 --> 01:12:04.200]   Well, the idea is that you could sit next to who you want to,
[01:12:04.200 --> 01:12:06.040]   and you could do other things.
[01:12:06.040 --> 01:12:12.640]   And so KLM and another company here with AirBoltik
[01:12:12.640 --> 01:12:15.360]   just-- they sent me a press release--
[01:12:15.360 --> 01:12:19.240]   just set this up so that the airline, AirBoltik,
[01:12:19.240 --> 01:12:23.040]   will find you at a compatible person to sit next to.
[01:12:23.040 --> 01:12:23.760]   Well, no, I want somebody--
[01:12:23.760 --> 01:12:24.800]   That's interesting.
[01:12:24.800 --> 01:12:25.640]   I want the opposite.
[01:12:25.640 --> 01:12:27.320]   I want somebody who doesn't want to talk to me,
[01:12:27.320 --> 01:12:29.360]   and I don't want to talk to them.
[01:12:29.360 --> 01:12:31.640]   What I really want is if I'm going to South by Southwest
[01:12:31.640 --> 01:12:33.400]   together, then let's find out who else I know
[01:12:33.400 --> 01:12:35.160]   was on the flight, and then give us the option
[01:12:35.160 --> 01:12:36.040]   to sit next to get it.
[01:12:36.040 --> 01:12:37.120]   Now, that would be cool.
[01:12:37.120 --> 01:12:38.120]   For South Bayah, it would be.
[01:12:38.120 --> 01:12:40.880]   But most flights are so random, there's not going to be anybody.
[01:12:40.880 --> 01:12:41.920]   So random, you don't want it.
[01:12:41.920 --> 01:12:42.440]   Yeah.
[01:12:42.440 --> 01:12:46.080]   So this idea of giving me somebody random--
[01:12:46.080 --> 01:12:48.600]   No, because then I'd have to talk to them.
[01:12:48.600 --> 01:12:49.120]   Yes.
[01:12:49.120 --> 01:12:50.000]   You don't know for that.
[01:12:50.000 --> 01:12:51.360]   I don't want to talk to anybody.
[01:12:51.360 --> 01:12:54.240]   That's why you're a type of cynic, cynic, cynic.
[01:12:54.240 --> 01:12:55.960]   I thought I would want to be a ham,
[01:12:55.960 --> 01:12:57.440]   so I passed all the tests, got all the equipment,
[01:12:57.440 --> 01:12:59.400]   and then I realized, no, I talk all day.
[01:12:59.400 --> 01:13:01.240]   I want to go home and shut up.
[01:13:01.240 --> 01:13:04.640]   Well, Ms. Hardaway just came in and said,
[01:13:04.640 --> 01:13:06.080]   you can choose who to talk to.
[01:13:06.080 --> 01:13:08.040]   It's like a pretty Skype.
[01:13:08.040 --> 01:13:09.240]   A pretty Skype.
[01:13:09.240 --> 01:13:11.120]   Well, I thought it served you--
[01:13:11.120 --> 01:13:11.840]   Oh, no, it doesn't.
[01:13:11.840 --> 01:13:13.840]   No, it's not random, but you have a list of people
[01:13:13.840 --> 01:13:15.720]   you might want to call, I guess.
[01:13:15.720 --> 01:13:16.400]   Oh, I saw--
[01:13:16.400 --> 01:13:17.160]   Well, I don't know.
[01:13:17.160 --> 01:13:20.600]   Sarah used it, and did you choose that person, Sarah,
[01:13:20.600 --> 01:13:22.840]   or did you just pop up?
[01:13:22.840 --> 01:13:24.880]   She's not there.
[01:13:24.880 --> 01:13:26.720]   I got the impression it just popped up.
[01:13:26.720 --> 01:13:27.800]   It's a mix.
[01:13:27.800 --> 01:13:31.520]   So you can see your friends that you have printed,
[01:13:31.520 --> 01:13:34.000]   and you could give them a call, or you can just say,
[01:13:34.000 --> 01:13:37.000]   using my social graph, find someone who's interesting.
[01:13:37.000 --> 01:13:39.960]   So you get to give me somebody random, or, hey, let's talk
[01:13:39.960 --> 01:13:40.840]   to Jeff.
[01:13:40.840 --> 01:13:42.720]   I mean, Skype does-- let's talk to Jeff's thing.
[01:13:42.720 --> 01:13:43.960]   I don't know.
[01:13:43.960 --> 01:13:44.400]   Yeah.
[01:13:44.400 --> 01:13:46.320]   I guess you could go like this with Skype.
[01:13:46.320 --> 01:13:46.800]   Mm-hmm.
[01:13:46.800 --> 01:13:48.040]   Minnie, minnie, minnie, moe.
[01:13:48.040 --> 01:13:48.520]   Boom.
[01:13:48.520 --> 01:13:49.040]   And the call.
[01:13:49.040 --> 01:13:50.480]   Well, I did something today's go.
[01:13:50.480 --> 01:13:52.480]   I saw these two people I know from Northwestern's
[01:13:52.480 --> 01:13:54.360]   middle school journalism, and they just
[01:13:54.360 --> 01:13:55.800]   did obviously a public hangout.
[01:13:55.800 --> 01:13:58.560]   I could tell, because it was labeled "medil hangout."
[01:13:58.560 --> 01:13:59.080]   Right.
[01:13:59.080 --> 01:13:59.920]   But I said, what the hell?
[01:13:59.920 --> 01:14:00.800]   They just did it publicly.
[01:14:00.800 --> 01:14:02.320]   So they were just starting up.
[01:14:02.320 --> 01:14:04.080]   So I click in.
[01:14:04.080 --> 01:14:05.040]   Oh, that's cool.
[01:14:05.040 --> 01:14:06.840]   That's a nervous-- what are you doing here, right?
[01:14:06.840 --> 01:14:09.200]   And I said, what's one thought I'd say hello and all that?
[01:14:09.200 --> 01:14:10.680]   And they said, well, it's a faculty being.
[01:14:10.680 --> 01:14:13.760]   It's all going to run away as fast from that as possible.
[01:14:13.760 --> 01:14:16.280]   By the way, that was Chad Johnson, the old redhead,
[01:14:16.280 --> 01:14:20.840]   our new producer on the show, who is just dino-mite.
[01:14:20.840 --> 01:14:23.440]   Dino-mite.
[01:14:23.440 --> 01:14:26.280]   It seems like airtime is tackling kind of the same problem
[01:14:26.280 --> 01:14:27.560]   we're trying to create the same experience
[01:14:27.560 --> 01:14:28.560]   of Google+ hangouts.
[01:14:28.560 --> 01:14:29.060]   Right.
[01:14:29.060 --> 01:14:29.560]   It is.
[01:14:29.560 --> 01:14:30.060]   Exactly.
[01:14:30.060 --> 01:14:30.560]   Right.
[01:14:30.560 --> 01:14:32.920]   And I just figured out that I'm just too old for hangouts.
[01:14:32.920 --> 01:14:34.720]   I think hangouts are really useful.
[01:14:34.720 --> 01:14:35.560]   Hangouts are cool.
[01:14:35.560 --> 01:14:38.120]   Young people who are a lot more outgoing than I am.
[01:14:38.120 --> 01:14:40.240]   And I think probably airtime is a similar thing.
[01:14:40.240 --> 01:14:41.960]   But it seems like just maybe a little bit
[01:14:41.960 --> 01:14:43.200]   of a different approach.
[01:14:43.200 --> 01:14:47.280]   Certainly, we've had so many video chat products come out
[01:14:47.280 --> 01:14:48.520]   in the past couple of years, right?
[01:14:48.520 --> 01:14:52.640]   FaceTime and hangouts and now airtime.
[01:14:52.640 --> 01:14:54.840]   I wasn't that like, oh, I have to have that.
[01:14:54.840 --> 01:14:56.400]   But it just seems like it's this problem
[01:14:56.400 --> 01:14:58.640]   that different companies are trying to solve in different ways.
[01:14:58.640 --> 01:15:00.280]   How can I chat with someone?
[01:15:00.280 --> 01:15:02.440]   If it weren't Sean Parker and Sean Fanning,
[01:15:02.440 --> 01:15:04.440]   I don't think they would have gotten any attention at all.
[01:15:04.440 --> 01:15:05.320]   Oh, well, that's clear.
[01:15:05.320 --> 01:15:05.820]   Yeah.
[01:15:05.820 --> 01:15:07.760]   I mean, deep pockets, big names.
[01:15:07.760 --> 01:15:08.840]   You're going to have a launch like that.
[01:15:08.840 --> 01:15:09.360]   Yeah.
[01:15:09.360 --> 01:15:10.200]   We're going to take a break.
[01:15:10.200 --> 01:15:10.880]   Come back with our--
[01:15:10.880 --> 01:15:12.400]   Leo, Leo, can I do a favor?
[01:15:12.400 --> 01:15:13.080]   Yeah.
[01:15:13.080 --> 01:15:14.960]   Can I give you a number and then--
[01:15:14.960 --> 01:15:15.520]   Yes.
[01:15:15.520 --> 01:15:17.440]   Because we got to-- you got a plane to catch.
[01:15:17.440 --> 01:15:18.280]   I got a plane to catch someone.
[01:15:18.280 --> 01:15:21.040]   So we'll do Gina's tip in my tool, but Jeff's number.
[01:15:21.040 --> 01:15:21.640]   Thank you.
[01:15:21.640 --> 01:15:22.560]   So a different one.
[01:15:22.560 --> 01:15:24.360]   So there's this-- there's this--
[01:15:24.360 --> 01:15:26.000]   I go in now, I'm trying to make it happen to go
[01:15:26.000 --> 01:15:27.280]   into Kickstarter and find new stuff.
[01:15:27.280 --> 01:15:28.960]   And I found this great little thing that happens
[01:15:28.960 --> 01:15:31.760]   to be called the Twig.
[01:15:31.760 --> 01:15:37.320]   And the Twig is a really nice, bendable USB charging
[01:15:37.320 --> 01:15:38.560]   cable for your iPhone.
[01:15:38.560 --> 01:15:40.160]   I presume I've had to.
[01:15:40.160 --> 01:15:43.200]   And it's really nice.
[01:15:43.200 --> 01:15:46.040]   And so I contributed to it.
[01:15:46.040 --> 01:15:47.680]   And they're now a double--
[01:15:47.680 --> 01:15:51.440]   their goal of $50,000, $50 days to go.
[01:15:51.440 --> 01:15:52.760]   And so I thought I'd just give them--
[01:15:52.760 --> 01:15:55.680]   since the name is serendipitous, if we don't want to sue them.
[01:15:55.680 --> 01:15:56.720]   No, I love it.
[01:15:56.720 --> 01:15:58.600]   That's not a problem.
[01:15:58.600 --> 01:16:00.120]   It's a neat little device.
[01:16:00.120 --> 01:16:02.880]   So if you scroll down, you see all the uses for it.
[01:16:02.880 --> 01:16:05.240]   What I like is not having a wire in my briefcase.
[01:16:05.240 --> 01:16:07.960]   But I can use a connector that's not a wire.
[01:16:07.960 --> 01:16:10.080]   Now, you understand that they better hurry
[01:16:10.080 --> 01:16:14.240]   because apparently Apple is eliminating the 30-pin port
[01:16:14.240 --> 01:16:17.920]   on the iPhone.
[01:16:17.920 --> 01:16:20.760]   They're going to a micro-USB port from what the rumor
[01:16:20.760 --> 01:16:23.080]   email seems to indicate.
[01:16:23.080 --> 01:16:25.200]   Which is not a bad thing, OI.
[01:16:25.200 --> 01:16:25.720]   Yeah.
[01:16:25.720 --> 01:16:28.160]   So there's still time, 50 days to go.
[01:16:28.160 --> 01:16:31.800]   They've already got 100,000 of their 50,000 goal.
[01:16:31.800 --> 01:16:33.040]   It's a shorter bendy.
[01:16:33.040 --> 01:16:36.040]   It's a bit and use it as a--
[01:16:36.040 --> 01:16:37.160]   if you scroll down.
[01:16:37.160 --> 01:16:38.320]   It's a gumbee.
[01:16:38.320 --> 01:16:40.240]   Well, that's the inspiration.
[01:16:40.240 --> 01:16:42.880]   It's a gumbee for the iPhone.
[01:16:42.880 --> 01:16:43.360]   Oh, look.
[01:16:43.360 --> 01:16:44.400]   And it can be a tripod.
[01:16:44.400 --> 01:16:45.480]   It can be a tripod.
[01:16:45.480 --> 01:16:46.520]   It can be a--
[01:16:46.520 --> 01:16:47.240]   That's very cool.
[01:16:47.240 --> 01:16:48.560]   That's neat.
[01:16:48.560 --> 01:16:49.480]   I love this.
[01:16:49.480 --> 01:16:51.240]   Isn't this cool?
[01:16:51.240 --> 01:16:54.200]   Now, they have to license the 30-pin port, you understand?
[01:16:54.200 --> 01:16:54.960]   Yeah.
[01:16:54.960 --> 01:16:57.200]   I guess that's probably where most of the money's going to go.
[01:16:57.200 --> 01:16:57.840]   A bet.
[01:16:57.840 --> 01:16:58.280]   A bet.
[01:16:58.280 --> 01:16:59.440]   So I thought it was cool.
[01:16:59.440 --> 01:16:59.920]   It's neat.
[01:16:59.920 --> 01:17:02.360]   Given the name, coincidence, I thought I'd give them a little bit.
[01:17:02.360 --> 01:17:03.360]   It's neat.
[01:17:03.360 --> 01:17:03.880]   There you go.
[01:17:03.880 --> 01:17:05.280]   And it's a cord wrap, too.
[01:17:05.280 --> 01:17:07.120]   It's a cord wrap, yeah.
[01:17:07.120 --> 01:17:08.120]   That is clever.
[01:17:08.120 --> 01:17:11.800]   And it's a pocket protector.
[01:17:11.800 --> 01:17:14.200]   This does everything.
[01:17:14.200 --> 01:17:14.800]   It does.
[01:17:14.800 --> 01:17:16.480]   It solves the world's problems.
[01:17:16.480 --> 01:17:18.280]   It's twig.
[01:17:18.280 --> 01:17:19.120]   Wow.
[01:17:19.120 --> 01:17:21.200]   It's amazing how Kickstarter's being on this market
[01:17:21.200 --> 01:17:23.000]   for iPhone accessories.
[01:17:23.000 --> 01:17:23.680]   Yeah.
[01:17:23.680 --> 01:17:24.160]   Yeah.
[01:17:24.160 --> 01:17:24.680]   That's great.
[01:17:24.680 --> 01:17:25.640]   Yeah, this is really cool.
[01:17:25.640 --> 01:17:28.080]   Amazing, ultra-portable cable for your iPhone.
[01:17:28.080 --> 01:17:29.760]   If you search for Kickstarter and twig,
[01:17:29.760 --> 01:17:32.520]   you'll find it pretty quickly.
[01:17:32.520 --> 01:17:33.440]   Good.
[01:17:33.440 --> 01:17:33.840]   I like it.
[01:17:33.840 --> 01:17:34.360]   Thank you, Jeff.
[01:17:34.360 --> 01:17:34.840]   Sorry, I'm going to do that.
[01:17:34.840 --> 01:17:35.320]   Safe travels.
[01:17:35.320 --> 01:17:37.480]   We'll see you back in the US of A.
[01:17:37.480 --> 01:17:38.200]   Safe flight, Jeff.
[01:17:38.200 --> 01:17:39.240]   I'll see you in Washington next week.
[01:17:39.240 --> 01:17:40.280]   From DC.
[01:17:40.280 --> 01:17:42.160]   He's a traveling fool.
[01:17:42.160 --> 01:17:42.640]   How are you fool?
[01:17:42.640 --> 01:17:43.080]   Is that--
[01:17:43.080 --> 01:17:43.440]   All right.
[01:17:43.440 --> 01:17:44.440]   Take care, Jeff.
[01:17:44.440 --> 01:17:45.000]   We're going to have more.
[01:17:45.000 --> 01:17:47.040]   We get Gina's a tip in my tool of the week,
[01:17:47.040 --> 01:17:48.560]   but first a word from Squarespace.
[01:17:48.560 --> 01:17:49.360]   This should be my tool.
[01:17:49.360 --> 01:17:50.760]   I love Squarespace.
