;FFMETADATA1
title=Flying Cellphones
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=326
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.620]   It's time for Twig this week in Google. Oh, I'm so excited Jeff Jarvis has the day off
[01:33:23.940 --> 01:33:26.620]   Maybe we should talk about this because I get all these questions all the time
[01:33:26.620 --> 01:33:32.020]   So I shoot film 30% of the time. Okay, she's mostly 35 millimeter, but some 120
[01:33:32.020 --> 01:33:40.740]   I take the pictures and then I put them in a little mailer and send them to North Coast photographic services and say I want the scans back now
[01:33:41.180 --> 01:33:45.740]   Oh, okay, so they don't just develop they develop the film, but then they scan the negatives
[01:33:45.740 --> 01:33:48.940]   Yes, so you're gonna get a digital yes image, right?
[01:33:48.940 --> 01:33:52.420]   And now is it noticeably better though than a good quality?
[01:33:52.420 --> 01:33:59.180]   I see you also the Sony a yeah, yeah, should we do it on your computer? Yeah, yeah, yeah is it on your website?
[01:33:59.180 --> 01:34:01.180]   Yeah, go to my website. Okay
[01:34:01.180 --> 01:34:03.700]   Is this the secret entrance?
[01:34:03.700 --> 01:34:09.620]   This might be the secret entrance. Don't show anybody what we're seeing right now. Let's go to actually let your sights on smug mug
[01:34:09.740 --> 01:34:15.420]   Here why don't you log in and you could do it. Okay, right and the only reason is because my laptop is connected and you have some
[01:34:15.420 --> 01:34:19.740]   Weird funky type-c connector on yours. We can't do anything with well
[01:34:19.740 --> 01:34:23.180]   You don't even have like I have to know where actually I think we have the cables and everything
[01:34:23.180 --> 01:34:25.860]   Somewhere because I have a type-c as well
[01:34:25.860 --> 01:34:35.420]   So you know my friend Chris Markwort who's also a film part-time film photographer
[01:34:35.500 --> 01:34:41.700]   Says one of the benefits of doing this is you have to be very thoughtful. You don't have the luxury of shooting 50 images
[01:34:41.700 --> 01:34:44.100]   Checking them in between
[01:34:44.100 --> 01:34:51.300]   Resetting until you find the right shot you have to in your head get the shot right and and you and you have to really think about it
[01:34:51.300 --> 01:34:54.620]   These well what I'm doing is is very meditated
[01:34:54.620 --> 01:35:00.460]   Portraiture so like I'm light metering people you hit by the way. That's another thing these don't have light
[01:35:00.460 --> 01:35:03.580]   Yes, this one actually has an old light meter, but I don't trust it. Yeah, so
[01:35:04.260 --> 01:35:07.740]   You have to buy a light meter so you can remember when the photographers
[01:35:07.740 --> 01:35:10.260]   They come and they put a thing on your forehead and they go. Oh, yeah
[01:35:10.260 --> 01:35:16.760]   Let's check that yeah, and they're getting the little light reading and you have to translate that is this where you wanted to go
[01:35:16.760 --> 01:35:20.660]   so this is a unretouched scan or
[01:35:20.660 --> 01:35:25.620]   Yeah, I see these images on your Instagram all the time. I just love them these portraits you do
[01:35:25.620 --> 01:35:29.380]   There's a lot of pictures and which film do you shoot?
[01:35:29.380 --> 01:35:33.540]   I
[01:35:33.540 --> 01:35:38.700]   120 Kodak or Fuji and you can get all of it you'd shoot a plus X or
[01:35:38.700 --> 01:35:43.220]   Yeah, yeah, yeah, not triax. Do you shoot the I do I should try extra?
[01:35:43.220 --> 01:35:46.060]   It's a little grainier though, right?
[01:35:46.060 --> 01:35:50.260]   Because it's ISO 400. Yeah, but it's really I mean it's another thing for digital photographers
[01:35:50.260 --> 01:35:57.540]   You can't change the ISO you got you got whatever the film is that's the sensitivity of the film you're stuck with it
[01:35:57.540 --> 01:36:01.700]   These are beautiful images you mind if we show these as we scroll no no no no no no
[01:36:01.700 --> 01:36:03.700]   So each one of these is a gallery
[01:36:03.700 --> 01:36:08.220]   So you know some of these people care so sure right
[01:36:08.220 --> 01:36:14.860]   She must be fun to take portrait. So this is this is a shot that I'm not supposed to show anyone. Okay, Prince Charles
[01:36:14.860 --> 01:36:21.980]   What you can see him right there. Oh, I'm not supposed to show that what the what okay? Yeah, yeah, I don't know why
[01:36:21.980 --> 01:36:27.900]   I'm sorry, but the prince does not allow images of himself to be desired without a
[01:36:27.900 --> 01:36:33.180]   Let's try something like that. Let's try this. I mean here's my problem. You can already see it
[01:36:33.180 --> 01:36:37.060]   I have this is just the one of the reasons I would think you would want to do your own
[01:36:37.060 --> 01:36:43.500]   Processing developing is because then you at least can push the film
[01:36:43.500 --> 01:36:47.060]   I guess you could give the lab instructions. Yeah, but you don't necessarily
[01:36:47.060 --> 01:36:51.900]   I mean you do I guess you if you're gonna push the film you have to push the whole role
[01:36:51.900 --> 01:36:57.180]   That means developing it you know Kyra's doll from market. Oh, yeah, you know
[01:36:57.500 --> 01:37:02.300]   That's that okay. Let's but we want to pick an image and you can show me the difference why
[01:37:02.300 --> 01:37:07.880]   You're shooting film as opposed to digital. Can you find an example of that?
[01:37:07.880 --> 01:37:12.860]   I'm sorry didn't have all this setup for you. Let's see
[01:37:12.860 --> 01:37:23.660]   I'm distracting you of course by talking to you while you're doing this some people can do that some people can't so these are 35 millimeter
[01:37:23.660 --> 01:37:30.220]   film shots, so that's not the yeah, I'm not gonna shoot 35 if I'm gonna shoot I'm gonna shoot medium format or even
[01:37:30.220 --> 01:37:37.700]   Large format. I'm gonna shoot. Oh, I'm a more pixel in fact. You have a view camera - in fact, I'm glad you brought that up
[01:37:37.700 --> 01:37:43.740]   I just came back from the North Pole and brought a new format camera Wow and
[01:37:43.740 --> 01:37:47.340]   You can sort of see this is
[01:37:51.540 --> 01:37:53.540]   North Pole scans here we go
[01:37:53.540 --> 01:37:59.740]   So these are my this is a mama. These are yeah, yeah, and you can sort of get a sense of
[01:37:59.740 --> 01:38:08.580]   Is there more detail is it the more dynamic range what is it that you more detail more dynamic range?
[01:38:08.580 --> 01:38:14.340]   These are color shots. I normally shoot black and white and you've got a kind of cross processing here a little bit
[01:38:14.340 --> 01:38:16.340]   Yes, it looks a little different
[01:38:16.340 --> 01:38:20.740]   Yes, and then is that because of the film you choose? Yeah, it could be the film and that's Fuji. Yeah
[01:38:20.740 --> 01:38:23.580]   This is the the trip was a pretty incredible trip
[01:38:23.580 --> 01:38:30.060]   There's only one way to get there and this is on this Russian icebreaker the world's largest the most powerful icebreaker
[01:38:30.060 --> 01:38:34.740]   I had so much fun watching your pictures and I guess it was Instagram that I saw maybe Facebook
[01:38:34.740 --> 01:38:40.060]   Because I'm watching this process this progress of course you deep you posted those after you got back
[01:38:40.060 --> 01:38:44.180]   I'm sure check this guy. This is the captain captain. Raimus. He's not joking around
[01:38:44.500 --> 01:38:50.300]   He's talking like this is too much ice to get through here because you're done taking pictures
[01:38:50.300 --> 01:38:55.180]   You're done. There's no more pictures. Yeah, the prince is on the boat. Yeah, that's kind of yes
[01:38:55.180 --> 01:38:58.340]   Yeah, what he was saying, but you know, I mean this is look at this
[01:38:58.340 --> 01:39:04.580]   Wow, these old this is on a place called France Joseph lands, which is around 81 degrees north now
[01:39:04.580 --> 01:39:10.740]   It's this sort of abandoned island chain where all these Russian is climate an issue as well
[01:39:10.740 --> 01:39:14.580]   I mean the temperature on film. Don't you have to be careful there or no?
[01:39:14.580 --> 01:39:18.700]   You do you have to store the film kind of carefully, but I didn't have any problems
[01:39:18.700 --> 01:39:22.220]   I mean the bigger problem is there's only ten exposures per right, you know
[01:39:22.220 --> 01:39:28.060]   So I'm like constantly taking the back out of the now can you you don't have to put getting a bag to do that right?
[01:39:28.060 --> 01:39:32.180]   You can do that. No, no, no. No, it's no problem. Did you bring a bunch of backs with you or oh?
[01:39:32.180 --> 01:39:34.620]   Yeah, yeah, oh back's oh now. It's just the reels
[01:39:34.620 --> 01:39:40.500]   Nope, just film so I was like changing your roll and roll in the film on to the yeah real as you're going
[01:39:40.580 --> 01:39:45.420]   Yeah, okay, I'm gonna stick with digital because it seems like this is a lot more work it
[01:39:45.420 --> 01:39:51.460]   You think so you think so, but you know that the quality is really really you can tell the difference
[01:39:51.460 --> 01:39:55.140]   I think so. I mean this is all well. This is all digital
[01:39:55.140 --> 01:39:56.860]   You know it looks great
[01:39:56.860 --> 01:40:02.800]   I mean look if you need the shot digital is the way to go look at that now see I you know if you had said look at the
[01:40:02.800 --> 01:40:08.340]   Detail I'm getting in this great medium format film. I would have bought it, but that was digital
[01:40:08.740 --> 01:40:14.860]   And is that the a7r you know that a7 - oh well, what do I have here or what do I know you have an a7 here?
[01:40:14.860 --> 01:40:16.860]   Is that a Leica D810 oh?
[01:40:16.860 --> 01:40:21.540]   The icon the Nikon. Yeah, so you know if I have these are kind of interesting
[01:40:21.540 --> 01:40:24.500]   This is this is like a
[01:40:24.500 --> 01:40:30.700]   Now do when did you go up on the Golden Gate bridge? I'm not supposed to talk about that or even show these pictures ah
[01:40:32.860 --> 01:40:36.500]   I mean because they used to there used to be a way to get up there
[01:40:36.500 --> 01:40:42.540]   But I think since 9/11 nobody's allowed up there anymore. Well some people you have friends if in high places literally
[01:40:42.540 --> 01:40:44.900]   That is a great shit was a really
[01:40:44.900 --> 01:40:50.100]   Interest is it scary up there? You're wired in right? You're a little into that thing. It's a little scary
[01:40:50.100 --> 01:40:53.340]   Well, actually you take it there's an elevator that goes part of the way
[01:40:53.340 --> 01:40:58.660]   Yeah, and then you walk up a kind of ladder system and get real down that there's a spine and you walk along the spine
[01:40:58.900 --> 01:41:02.580]   And it's but are you clipped into like when you go on the Sydney Harbor?
[01:41:02.580 --> 01:41:07.980]   Bridge you're actually yeah, this isn't different you're walking up that that cable the cable. This isn't that
[01:41:07.980 --> 01:41:12.580]   Oh, okay, this is a little you're just looking at a door. This is a little more time. You're in the tower. You're in the tower
[01:41:12.580 --> 01:41:15.420]   Yeah, oh, yeah, I'll go back to that. What do you think this is?
[01:41:15.420 --> 01:41:19.020]   What is this it's a dinosaur?
[01:41:19.020 --> 01:41:21.540]   How is that?
[01:41:21.540 --> 01:41:23.540]   Is it a whale going on here?
[01:41:23.540 --> 01:41:28.260]   It's a whale that is a flying fish that is leapt from the sea what's going on here? Oh?
[01:41:28.260 --> 01:41:30.260]   Oh
[01:41:30.260 --> 01:41:36.740]   Who's ever to see the red nose? Yes genius? Yes, Ryan knows exactly
[01:41:36.740 --> 01:41:45.080]   This is the shot. So I did a magazine. It's underwater and I flipped the image because he looked like he was flying and it was really a cool thing but
[01:41:45.080 --> 01:41:51.020]   Very flip it. That's what that's the very few people get that. Yeah, Brian. You got good eyes
[01:41:51.020 --> 01:41:53.820]   How'd you know that Brian Brian Burnett our technical director?
[01:41:53.820 --> 01:41:56.340]   He picked right up on that he rotated it
[01:41:57.300 --> 01:42:02.740]   But anyway, this camera takes cool pictures and I like using it and you know what I'm gonna give you at the end of this
[01:42:02.740 --> 01:42:05.460]   Session is a beautiful print
[01:42:05.460 --> 01:42:10.700]   That you just wouldn't get anyplace else. Yeah, right and you know part of part of great photography is
[01:42:10.700 --> 01:42:16.780]   Things being kind of valuable and special right if I take a thousand makes a special
[01:42:16.780 --> 01:42:22.220]   I think for sure I think so for sure and you'll probably more likely to keep it if you like right, you know a thousand photos
[01:42:22.220 --> 01:42:26.420]   On your iPhone, you know the problem with that really is devalues a little bit
[01:42:26.420 --> 01:42:29.980]   Yeah, not a little bit. Yeah a lot. It's lost in the clutter
[01:42:29.980 --> 01:42:34.780]   But don't you find it frustrating that you have to kind of meter it and
[01:42:34.780 --> 01:42:40.740]   Think about it and you don't know if you got it till you get home. Isn't that difficult especially after using digital?
[01:42:40.740 --> 01:42:43.580]   For so long. There's a lot of non-obviously
[01:42:43.580 --> 01:42:48.780]   Wonderful things about it. One of them is I don't like normally I come home and I have to process all day long
[01:42:48.780 --> 01:42:50.740]   It's nice. You could pop it in an envelope. Yeah
[01:42:50.740 --> 01:42:55.900]   Well, I just let the film pile up and then I get 20 of them I mailed them in right you can't really post process them very effectively
[01:42:55.900 --> 01:43:01.460]   Oh, you can't oh that's interesting. So you don't pop them in a lightroom and make them much better. They're kind of done
[01:43:01.460 --> 01:43:04.940]   interesting
[01:43:04.940 --> 01:43:09.540]   And then the other camp I mean I basically have stopped using my SLR except for very specific
[01:43:09.540 --> 01:43:11.540]   photo
[01:43:11.540 --> 01:43:15.660]   Situations like you like them the mirrorless well this I'm a I'm a Sony a7 fan
[01:43:15.660 --> 01:43:22.900]   I have this is a 7 this is a 7 R2. Yeah, I love it. I mean it's it's the same. That's the same
[01:43:24.020 --> 01:43:28.740]   Sensor is in your d8 10 basically. Yeah, no better. It's a little bit better
[01:43:28.740 --> 01:43:33.860]   But it's a bit Sony sold and then if you really want to do something special. This is my nice lens on there
[01:43:33.860 --> 01:43:37.380]   This is my oh, this is the knock to look. This is my go-to killer
[01:43:37.380 --> 01:43:44.380]   So this is a point get this so you know that f2 is fast and f1.2 is really fast
[01:43:44.380 --> 01:43:46.980]   So this is f0.95
[01:43:46.980 --> 01:43:53.160]   Which means but you want to turn off the lights before you could take a picture well you get some size of that
[01:43:53.620 --> 01:43:57.420]   I don't move well, you know the depth of field is incredibly hard to focus
[01:43:57.420 --> 01:44:01.820]   Yeah, I have to look right at your eyes through and it's manual focus too, but you actually want that
[01:44:01.820 --> 01:44:05.420]   You look for a manual focus because you can't
[01:44:05.420 --> 01:44:11.340]   You can't you know plant you know yeah, I know it is been there done that oh, that's beautiful
[01:44:11.340 --> 01:44:13.340]   You know I love the creamy bokeh
[01:44:13.340 --> 01:44:18.080]   And the color is kind of muted. It's kind of interesting is well. There's some interesting lighting in here
[01:44:19.420 --> 01:44:23.780]   Yeah, I like that, but you know that pop. I mean that's a special kind of photo right it sort of pops
[01:44:23.780 --> 01:44:30.380]   Yeah, and well, you know this is what I hope for everybody who's getting into photography is that they don't worry about the
[01:44:30.380 --> 01:44:33.460]   10,000 shots they worry about the 20 shots that they love this year
[01:44:33.460 --> 01:44:38.020]   Yeah, that's my problem is I have too many shots. I don't know what to do with them all
[01:44:38.020 --> 01:44:43.980]   It's just it. I don't have time to sit down and go through them all you know the business that I would start if I was starting
[01:44:43.980 --> 01:44:48.500]   Another company would be to do an annual like you had in your high school like you got your your book
[01:44:48.660 --> 01:44:52.500]   Everybody should get a yearbook for their year. Yeah of the few photos that they really care about
[01:44:52.500 --> 01:44:57.860]   I mean not only for themselves, but like in future generations, you know, do you think we're gonna have Facebook photos?
[01:44:57.860 --> 01:45:00.860]   No, get them printed an acid-free paper
[01:45:00.860 --> 01:45:04.940]   I'm saying and put them in a book does blurb do archival prints?
[01:45:04.940 --> 01:45:09.260]   They do very very high quality. I can't tell you if it's archival right very high quality
[01:45:09.260 --> 01:45:10.860]   But that's what you'd want though if you're saying well
[01:45:10.860 --> 01:45:13.420]   I want this for you actually generation well somebody that was talking to yesterday
[01:45:13.420 --> 01:45:18.500]   They were saying that there should be a service where you mail it to like the National Archives right your family
[01:45:18.700 --> 01:45:22.540]   Album I'm gonna tell you the truth though Christopher. You don't have kids do you? No?
[01:45:22.540 --> 01:45:29.480]   My kids they don't care they care and when I'm dead they might there might be one or two pictures
[01:45:29.480 --> 01:45:37.420]   They're just as likely to look at my old Facebook postings as anything else and most of the stuff that I've taken over these years and carefully cultivated
[01:45:37.420 --> 01:45:39.300]   They're just gonna throw it out
[01:45:39.300 --> 01:45:45.460]   Let's be honest. You don't believe that I totally believe we we fool ourselves into thinking future generations
[01:45:45.460 --> 01:45:48.460]   Give it give it rats behind about what we're doing
[01:45:48.660 --> 01:45:50.260]   Only we care
[01:45:50.260 --> 01:45:56.460]   Do you don't have any relatives pictures you look at you go? Well, that's pretty cool. Yeah, but you know one of the things at school is there's like two
[01:45:56.460 --> 01:45:58.820]   right
[01:45:58.820 --> 01:46:00.260]   There's like two
[01:46:00.260 --> 01:46:08.580]   Daddy Leo had 85,000 pictures of every bit of his life meticulously documented in sort of movie
[01:46:08.580 --> 01:46:14.460]   Christopher Michael, I don't know if it's appropriate to say happy Veterans Day
[01:46:14.460 --> 01:46:16.900]   Happy Veterans Day
[01:46:16.900 --> 01:46:19.460]   and are you gonna do you do anything special do you
[01:46:19.460 --> 01:46:23.380]   remember comrades or anything well, it's funny all my
[01:46:23.380 --> 01:46:28.220]   Shipmates, you know comments and people comment and people thank me and you know I just tweeted about this
[01:46:28.220 --> 01:46:33.820]   I'm always embarrassed when people thank me for my service because honestly I loved every minute in the Navy
[01:46:33.820 --> 01:46:38.140]   Yeah, I mean I should be thanking everyone that's listening because it was super super fun
[01:46:38.140 --> 01:46:45.540]   You know really like every day it was like you can't me do do this. Yeah, that's great. Well, we still thank you for your service
[01:46:45.540 --> 01:46:51.860]   And every man and woman in the armed forces well a lot of people are sacrificing a lot more than I've there's some big sacrifices
[01:46:51.860 --> 01:46:55.220]   But so even if they're having fun, that's fine that we appreciate what they've done
[01:46:55.220 --> 01:47:01.720]   And that's a good thing. I'm so glad you could be here on Veterans Day or Remembrance Day or Armistice Day or whatever you
[01:47:01.720 --> 01:47:03.720]   Coincidence? I don't know
[01:47:03.720 --> 01:47:09.980]   Are there any coincidences we do this weekend Google on Wednesdays 130 Pacific 430 Eastern
[01:47:10.420 --> 01:47:16.140]   That's 2130 UTC if you want to stop by and visit this was a fun one kind of a little more relaxed
[01:47:16.140 --> 01:47:20.940]   Jeff Jarvis will be back next week. I think we'll get into the subject of
[01:47:20.940 --> 01:47:23.700]   Mizzou and more
[01:47:23.700 --> 01:47:28.500]   So please do stop by if you can't watch live on demand audio and video always available after the fact at
[01:47:28.500 --> 01:47:31.380]   twit.tv/twig or wherever you get your
[01:47:31.380 --> 01:47:36.060]   Podcasts if you want to be in studio with us just email tickets at twit.tv. We'll
[01:47:36.060 --> 01:47:38.140]   Put a chair out for you
[01:47:38.140 --> 01:47:43.460]   We'll put a nice can ham under each and every seat. I know it. I always get somebody to look
[01:47:43.460 --> 01:47:51.120]   And and you can be part of the part of the festival. Thanks for being here. We'll see you next time on this week in Google
[01:47:51.120 --> 01:47:53.120]   Bye
[01:47:53.120 --> 01:47:55.120]   You
[01:47:55.120 --> 01:47:57.120]   You
[01:47:57.120 --> 01:47:59.700]   (upbeat music)
[01:47:59.700 --> 01:48:02.460]   [MUSIC PLAYING]

