;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[00:24:02.880 --> 00:24:08.000]   I don't I think we'll be past the idea that larry is a one-hit wonder but let's just say that his hits are behind him
[00:24:08.000 --> 00:24:13.440]   Just just the sake of argument here then you're right. What is he 43? I don't know. I'm just saying he has no
[00:24:13.440 --> 00:24:16.480]   If you were in the nba maybe okay, let me
[00:24:16.480 --> 00:24:19.760]   Fully that larry pays doesn't matter. He's gonna live forever
[00:24:19.760 --> 00:24:22.240]   It's let me be clear. He's many more huge incentive
[00:24:22.240 --> 00:24:27.200]   I'm just trying to say structurally that then then man his point is right then all you're doing is divvying up google's money
[00:24:27.200 --> 00:24:28.480]   um
[00:24:28.480 --> 00:24:29.840]   for the future
[00:24:29.840 --> 00:24:36.880]   But the other pressure on google which has been tremendous is to diversify and that's a key part of this is 96 to 98
[00:24:36.880 --> 00:24:41.360]   Percent of their revenue is advertising so by taking alphabet and by getting into new businesses
[00:24:41.360 --> 00:24:45.440]   Which may take a while to grow but new businesses that are not ad supported purely
[00:24:45.440 --> 00:24:50.720]   Then that diversifies the corporation as a whole and that's been another huge pressure on them
[00:24:50.720 --> 00:24:56.800]   Um, but it only works if they create new businesses and that's highly risky like all entrepreneurial ventures are
[00:24:57.280 --> 00:25:01.920]   Uh, and that's where they were they are so they're gonna allocate capital but but unlike just a war and buffet
[00:25:01.920 --> 00:25:07.200]   They're not gonna just buy things they're gonna build new things and build entirely new industries high risk
[00:25:07.200 --> 00:25:12.720]   I return I growth. Um, so so I think in fact, that's the audacious goal
[00:25:12.720 --> 00:25:15.120]   Then the divvying up of google's money
[00:25:15.120 --> 00:25:18.400]   Shouldn't be an issue because there should be lots more money to be made by all these other divisions
[00:25:18.400 --> 00:25:24.880]   In the meantime in the meantime instead of having operating vp's of this and that they have a bunch of ceo's
[00:25:25.280 --> 00:25:29.840]   Who are all now who all now think i'm the ceo this damn thing. I don't have to you know
[00:25:29.840 --> 00:25:34.960]   I should be running x company. Oh my guess is that bag Larry if they're gonna get good ceo's
[00:25:34.960 --> 00:25:37.760]   They're gonna let them do what they they're gonna give them total autonomy
[00:25:37.760 --> 00:25:43.680]   Right and if they make money then they'll have it'll be no it is it's it's serfdom
[00:25:43.680 --> 00:25:50.480]   It is it's a feudal system. It's a feudal system and he's the lord of the manor. Yes. Yeah, but that's listen
[00:25:50.480 --> 00:25:53.680]   That's guys that's drive work in many companies where uh newspaper chains
[00:25:54.160 --> 00:25:58.960]   Where you had 20 newspapers each had a ceo, but you know what they did every month they gave a bag of money to hq
[00:25:58.960 --> 00:26:01.360]   Right and hq decided what to do with that. That's quite normal
[00:26:01.360 --> 00:26:05.040]   Well good. That's what's gonna happen and will Larry have to go to meetings
[00:26:05.040 --> 00:26:10.800]   Only if he wants to oh, I'll leave it's on the jet. Oh leo meetings come to larry
[00:26:10.800 --> 00:26:15.440]   Yeah, so my point do you do not think that this is retirement for larry page
[00:26:15.440 --> 00:26:21.040]   No because I think that I think it's retirement from the day to day of google
[00:26:21.040 --> 00:26:25.040]   I think it's I think it's larry retrained was youth to build new google
[00:26:25.040 --> 00:26:29.360]   Yeah, well it's a promotion retirement means you get to do what you want if you want to putter in the garden
[00:26:29.360 --> 00:26:32.400]   You get to putter in the garden. Yeah, but he's gonna have higher goals than that
[00:26:32.400 --> 00:26:36.880]   He's gonna go of course he is but it's to me it was it was I mean if i'm larry page
[00:26:36.880 --> 00:26:41.600]   I'm sitting here. I'm going god. I have to take another meeting on what color the home page banner should be
[00:26:41.600 --> 00:26:48.320]   Or your regulators up our ass. Yeah sundark. Could you take this uh call for me?
[00:26:48.880 --> 00:26:50.880]   He doesn't want to run a day to day
[00:26:50.880 --> 00:26:56.160]   But who's gonna referee between all those CEOs who's gonna decide where that google money goes
[00:26:56.160 --> 00:26:59.920]   There's a
[00:26:59.920 --> 00:27:05.920]   That's goo George Bush is the decider larry is the allocator. Isn't though what where's what's serge's role in all of this
[00:27:05.920 --> 00:27:07.920]   What's his role now?
[00:27:07.920 --> 00:27:12.640]   Project x big ideas. See sir. See in my opinion, sir. Gated this a few years ago. Yeah
[00:27:12.640 --> 00:27:15.040]   And that larry's looking at sir
[00:27:15.760 --> 00:27:20.560]   Man, he's got this project x he's having fun. He's zooming around doesn't wear shoes rocket ships
[00:27:20.560 --> 00:27:26.400]   And me i'm sitting in the meeting about what color the google banner is can we pay for his fun?
[00:27:26.400 --> 00:27:32.720]   So he's I bet you he's you know, he's gonna watch his philanthropy see what happens with his philanthropy. He's got a foundation
[00:27:32.720 --> 00:27:38.400]   Uh watch what happens with uh project x plus one the larry page
[00:27:38.400 --> 00:27:42.880]   version I think this and but what would have happened if if instead of this
[00:27:43.440 --> 00:27:50.640]   Google went through some sort of reorg and larry said now i'm going to be the go join the board and sundar pachias the ceo google
[00:27:50.640 --> 00:27:53.600]   Stop how would the market have reacted to that now? Yeah
[00:27:53.600 --> 00:27:59.280]   Yeah, no, I agree. I agree and he has handed sundar a kind of you know
[00:27:59.280 --> 00:28:05.360]   A ball of something something that might be unpleasant. I mean do you think sundar put was pushing for this
[00:28:05.360 --> 00:28:11.280]   I don't think so, but maybe I think i'm going to soon dar was proving himself from day one
[00:28:11.360 --> 00:28:14.480]   I think sundar the respect that sundar clearly has
[00:28:14.480 --> 00:28:21.680]   In in that world is and that's the world where there's some you know, there's some back by sundar is people loved he's very impressive
[00:28:21.680 --> 00:28:24.160]   So the other one he wanted to be a ceo
[00:28:24.160 --> 00:28:26.240]   Omid
[00:28:26.240 --> 00:28:30.160]   Is is this is what's interesting to me is omid who's all so much respected who came back
[00:28:30.160 --> 00:28:35.120]   In important roles one of the stories said that he now becomes an advisor to alphabet and google
[00:28:35.120 --> 00:28:40.080]   That was I don't know what i don't know the terminology behind that. Yeah, so that
[00:28:40.720 --> 00:28:46.800]   So here's here's my theory on all this you're gonna love this jeff. Um, so my theory is this has been in the works for several years
[00:28:46.800 --> 00:28:49.520]   I've heard up to four years
[00:28:49.520 --> 00:28:52.240]   and I believe that they
[00:28:52.240 --> 00:28:58.480]   Had a feeling there was a couple of executives that thought that they would end up in the coveted ceo role
[00:28:58.480 --> 00:29:01.440]   One of them was vikindotra the other one is sundar pachai
[00:29:01.440 --> 00:29:06.400]   And vikindotra made a big power play with google plus by taking everything under his wing
[00:29:06.960 --> 00:29:11.520]   And key convinced larry and surrogate to allow him to connect everything to his projects
[00:29:11.520 --> 00:29:17.280]   And then at some we'll hear about this in 10 years when we read jeff d'arvers's book about this
[00:29:17.280 --> 00:29:24.320]   But at some point sundar pachai won that and that's why vikindotra left a year ago. That's exactly what happened. Yeah, that's really interesting
[00:29:24.320 --> 00:29:31.840]   Yep sundar took chrome chrome o s made it a success took and roid when roobin left made it continued its growth
[00:29:32.000 --> 00:29:38.640]   Yep, and and is quietly operating in the background making friends building businesses and uh one he won
[00:29:38.640 --> 00:29:43.280]   Yep, and there you know, this is his reward. Yeah, I don't know how much faith we should put in them
[00:29:43.280 --> 00:29:47.200]   But there are rumors that sundar had had at least one ceo offer
[00:29:47.200 --> 00:29:54.000]   Possibly more interesting. Oh, well michursoft wasn't he a contender for michursoft's they mentioned his name. I don't think he was
[00:29:54.000 --> 00:29:57.040]   Interestingly, although I don't know how much there is to that
[00:29:58.720 --> 00:30:01.840]   What would make you what a horrific step that would have been yeah
[00:30:01.840 --> 00:30:05.280]   Sundar we were gonna make you ceo, but enjoy the twitter
[00:30:05.280 --> 00:30:12.800]   You get a free account you get a free job. That would be the biggest. What was I think oh my god
[00:30:12.800 --> 00:30:13.840]   I could have had a
[00:30:13.840 --> 00:30:15.680]   had a
[00:30:15.680 --> 00:30:20.880]   Challenge do you think that's interesting you brought up. All me court astana yet. It's interesting that he went back just a few days ago
[00:30:20.880 --> 00:30:26.160]   All right, that's very interesting. He was their first business their first cfo
[00:30:26.160 --> 00:30:29.680]   And he went back to it was a physical but but but he went back well
[00:30:29.680 --> 00:30:33.280]   He's been working on for this summer, but Larry on august 10
[00:30:33.280 --> 00:30:39.920]   August tense was two days ago said there's you know said he's now going to be a part of alpha
[00:30:39.920 --> 00:30:42.480]   But yes, but what was the um
[00:30:42.480 --> 00:30:47.920]   Oh, had started named for us when then who was in charge of revenue? Uh, he left the company to become an investor
[00:30:47.920 --> 00:30:50.560]   And is for
[00:30:50.560 --> 00:30:56.160]   He cash decash ora. Oh, yeah cash ora. So when the cash left, right
[00:30:56.160 --> 00:30:59.280]   That's what I think omead kind of came back into the chief revenue role
[00:30:59.280 --> 00:31:04.560]   And so I don't know whether omead was also another candidate for ceo of google. I doubt that
[00:31:04.560 --> 00:31:07.040]   I think it was pretty clear a year ago that it was it was sundar
[00:31:07.040 --> 00:31:13.920]   Uh, but omead is also much respected. He's staying he's an advisor a year ago. Larry page said in a little bit
[00:31:13.920 --> 00:31:17.040]   We're going to make this alphabet thing. I'm going to step down
[00:31:18.000 --> 00:31:23.760]   And I need you as part of a senior management team to help me do this reorg my here's what I think
[00:31:23.760 --> 00:31:27.360]   Omead was doing it all behind the scenes. This was who was working on it
[00:31:27.360 --> 00:31:31.600]   Uh, okay. Okay, that makes sense. That makes a lot of sense. He was the guy to do it, right?
