
[00:00:00.000 --> 00:00:04.000]   Hi Jason Snell sitting in for Leo Laporte this week on Macbreak Weekly. There's so much going on
[01:30:03.080 --> 01:30:06.840]   But i'm gonna be missing my cast for mattress. I love my cast for mattress
[01:30:07.400 --> 01:30:12.520]   Casper is reinventing the mattress business. They they are an online
[01:30:12.520 --> 01:30:18.120]   Retailer, but they make the mattresses so there's no markup. There's no middleman
[01:30:18.120 --> 01:30:23.160]   They sell direct to you premium mattresses for a fraction of the cost
[01:30:23.160 --> 01:30:26.200]   No more resellers no more showrooms
[01:30:26.200 --> 01:30:28.840]   And I know wait you're saying but how do I know if I like it?
[01:30:28.840 --> 01:30:32.280]   Well, this is and i've mentioned this before I know you know the beauty part is
[01:30:32.280 --> 01:30:35.240]   You don't have to know you like it order a Casper
[01:30:35.240 --> 01:30:37.720]   The prices start at $500 for a twin
[01:30:37.720 --> 01:30:40.600]   Get a cat get your Casper mattress
[01:30:40.600 --> 01:30:44.200]   If you want keep your old mattresses put it aside and sleep on it
[01:30:44.200 --> 01:30:48.680]   You have a hundred nights if at any time in the hundred nights you say well, that was nice
[01:30:48.680 --> 01:30:51.000]   But I like my old mattress or I you know whatever
[01:30:51.000 --> 01:30:56.360]   Say call them they will they will come and get it. They will refund every penny will have cost you nothing
[01:30:56.360 --> 01:31:02.040]   It is but you're gonna love it. It's breathable which is important sleeping cool is really important
[01:31:02.040 --> 01:31:07.400]   You don't want to be sweaty and it's a very nice breathable design it matches. It's because you know
[01:31:07.400 --> 01:31:12.600]   Lisa and I you know she likes a cushy mattress. I like a firm mattress
[01:31:12.600 --> 01:31:18.200]   But we get both with our Casper mattress. It's got firm support and then it but it but it also
[01:31:18.200 --> 01:31:22.280]   Contours your body on top. It's kind of amazing
[01:31:22.280 --> 01:31:27.560]   You got springy latex phone supportive memory phone and the combination they're brilliant
[01:31:28.600 --> 01:31:34.040]   And they've won the wards because like the 2016 business intelligence group innovation award
[01:31:34.040 --> 01:31:38.040]   They are just great
[01:31:38.040 --> 01:31:41.960]   Don't lie in a bed in the show room. That's not gonna tell you whether you like a mattress get a Casper
[01:31:41.960 --> 01:31:46.600]   Engineered to meet the goldilocks standard not too high not too soft, but just right
[01:31:46.600 --> 01:31:49.160]   Casper mattresses by the way
[01:31:49.160 --> 01:31:53.320]   They uphold the highest environmental production standards. They're made in the USA
[01:31:54.840 --> 01:31:58.600]   They come in a very surprisingly compact box which makes it easy to move in
[01:31:58.600 --> 01:32:05.000]   And you get free shipping and returns should you want to in the us and
[01:32:05.000 --> 01:32:08.440]   Canada by the way, you get an additional $50
[01:32:08.440 --> 01:32:15.160]   Towards a mattress purchase just cuts your listening at Casper.com/macbreak use the promo code
[01:32:15.160 --> 01:32:18.200]   Mac break terms and conditions apply
[01:32:18.200 --> 01:32:20.920]   That's Casper.com
[01:32:21.960 --> 01:32:26.600]   Slash Mac break for $50 off your new Casper. You're gonna love it
[01:32:26.600 --> 01:32:30.200]   Now back to Mac break weekly
[01:32:30.200 --> 01:32:32.600]   It was Casper all along
[01:32:32.600 --> 01:32:35.960]   That's your plot twist it was Casper all along
[01:32:35.960 --> 01:32:38.760]   It's a it's a cue we're supposed to
[01:32:38.760 --> 01:32:44.280]   Be awake now awake and everybody awake and she cries against the machine
[01:32:44.280 --> 01:32:51.080]   All right, it's time for the picks of the week. I will go first as your sub host. I will go first
[01:32:51.720 --> 01:32:56.040]   I looked I can I'm convinced that I've talked about this app before but I'm going to talk about it again because it's great
[01:32:56.040 --> 01:33:02.200]   Especially if you use a Mac and you tether to a cellular device a lot which a lot of people do
[01:33:02.200 --> 01:33:07.400]   It's called trip mode it costs eight bucks. You can get it at trip mode.c h and what does it do?
[01:33:07.400 --> 01:33:11.080]   It lets you decide what apps and processes on your Mac
[01:33:11.080 --> 01:33:20.280]   Use data and which ones do not see unfortunately unlike your iPhone where there the apps can actually behave differently when they're on a cell network and a Wi-Fi network
[01:33:20.360 --> 01:33:23.480]   Your Mac just thinks it's on a Wi-Fi network all the time or ethernet, right?
[01:33:23.480 --> 01:33:26.840]   It doesn't know that you're tethered to a cell network
[01:33:26.840 --> 01:33:30.440]   Well, sometimes it does but it doesn't care. I guess is what I'm saying it doesn't care
[01:33:30.440 --> 01:33:32.680]   And so it will kill
[01:33:32.680 --> 01:33:37.160]   Your cell connection and use all your bandwidth doing an online backup
[01:33:37.160 --> 01:33:40.680]   Let's say because it doesn't understand that it really ought not to be using data
[01:33:40.680 --> 01:33:45.720]   So with trip mode you turn it on you choose the apps that you want to have access to the network
[01:33:45.720 --> 01:33:49.800]   And uncheck the apps that you don't it'll also warn you if an app tries to use
[01:33:50.200 --> 01:33:53.240]   Data so that you can go in there and choose whether to let it have data or not
[01:33:53.240 --> 01:33:57.080]   I use it actually all the time for podcasting because when I'm podcasting
[01:33:57.080 --> 01:34:01.160]   I want to use as little network as possible so that my audio and video can get through
[01:34:01.160 --> 01:34:06.360]   But I still want access to the internet, but it is perfect if you're somewhere where you have a very limited amount
[01:34:06.360 --> 01:34:07.480]   It's good for hotels too
[01:34:07.480 --> 01:34:12.360]   Not just tethering but hotels where you've got like a very small amount of bandwidth that you can really get out the door
[01:34:12.360 --> 01:34:16.760]   And you don't want that online backup firing you don't want that iCloud drive sync happening
[01:34:16.840 --> 01:34:21.800]   You don't want Dropbox triggering when you're trying to do something else so trip mode eight bucks
[01:34:21.800 --> 01:34:27.080]   It's cross-platform. You can actually buy for a little bit more get it for Mac and windows and I love it a lot
[01:34:27.080 --> 01:34:29.560]   So if you are a person in one of those circumstances
[01:34:29.560 --> 01:34:32.280]   It is great to let you manage your own data
[01:34:32.280 --> 01:34:37.480]   I wish apple would add some of this to macos in the future some intelligence about
[01:34:37.480 --> 01:34:45.000]   When you're on a certain kind of network, but alas, I think it is not to be so in the meantime we will use trip mode
[01:34:45.800 --> 01:34:47.800]   Andy, what's your pick?
[01:34:47.800 --> 01:34:51.560]   My pick is a book. I've been I pre-ordered a long time ago and finally came this week
[01:34:51.560 --> 01:34:53.800]   It is w
[01:34:53.800 --> 01:34:59.800]   Let's say classroom in a box from adobe is the lightroom cc and photoshop cc for photographers and written by
[01:34:59.800 --> 01:35:05.320]   Really great trainer lisa snider. She has she's a friend of mine have known her for a long long time
[01:35:05.320 --> 01:35:09.240]   But this is I was so excited about this book that I didn't even do the
[01:35:09.240 --> 01:35:10.520]   Lisa
[01:35:10.520 --> 01:35:12.520]   Maybe I'd like to review this sometime
[01:35:12.520 --> 01:35:16.120]   So could you put me on the comp list? No, I just went right on amazon and pre-ordered it
[01:35:16.120 --> 01:35:19.640]   And i'll tell you why because I've been I've been I'm a
[01:35:19.640 --> 01:35:22.040]   Photography fan i'm an amateur
[01:35:22.040 --> 01:35:24.680]   So I'm no stranger to lightroom and photoshop cc
[01:35:24.680 --> 01:35:31.400]   But the problem is that I'm sort of in the same boat as a rank beginner because I have never took taken classes
[01:35:31.400 --> 01:35:38.600]   So every technique that I use is something I figured out for myself as opposed to the right way or the better way of doing things
[01:35:39.240 --> 01:35:44.280]   And every time that uh every time that I look through the menus of photoshop and lightroom
[01:35:44.280 --> 01:35:46.680]   I will find a feature that oh
[01:35:46.680 --> 01:35:50.920]   So I could have done that in eight minutes instead of spending two days editing it
[01:35:50.920 --> 01:35:54.600]   Using my 1998 photoshop skills
[01:35:54.600 --> 01:35:58.040]   And it's a beautiful book like I said she at lisa is an educator
[01:35:58.040 --> 01:36:02.120]   She just teaches classes teaches classes teaches classes and she's been writing books pretty much forever
[01:36:02.120 --> 01:36:06.840]   So she knows how to teach stuff to people who don't necessarily know know what they're doing
[01:36:07.240 --> 01:36:13.000]   And it's beautifully illustrated every page is in color and it really will take you step by step by step
[01:36:13.000 --> 01:36:19.160]   Not in like academic sort of language saying a Gaussian blur uses the following algorithm
[01:36:19.160 --> 01:36:23.640]   It's here is a picture. I think we want to fix it by doing this we can do that easily by
[01:36:23.640 --> 01:36:27.320]   Using edge detection or we can use it better with a smart fill
[01:36:27.320 --> 01:36:33.960]   So the as a classroom in a book they're not dirt cheap the the cover price of this is a 5999
[01:36:34.280 --> 01:36:38.840]   But it really is a classroom in a book. It means it's not it's not a cheap book
[01:36:38.840 --> 01:36:43.320]   That's printed on bad paper with black and white illustrations with that one that is a
[01:36:43.320 --> 01:36:48.920]   Swipe strip of real color photos in the middle written by somebody for whom this is the third book
[01:36:48.920 --> 01:36:54.200]   They're writing this month on such disparate topics as microwave cooking feng shui
[01:36:54.200 --> 01:36:58.040]   And making the most of your xml based base database
[01:36:58.040 --> 01:37:03.720]   This is an expert who does nothing but talk about photoshop and it arrives three days ago and already
[01:37:03.800 --> 01:37:07.720]   I've been like I was going to edit these three or four pictures I took over the weekend
[01:37:07.720 --> 01:37:11.720]   But I want to read this chapter before I do it first so as far as I'm concerned
[01:37:11.720 --> 01:37:15.080]   It's already paid for itself. So this is very very high recommendation again
[01:37:15.080 --> 01:37:16.600]   I realize that 60 bucks isn't cheap
[01:37:16.600 --> 01:37:22.200]   But think of it in terms of going and taking a structured class only you can basically do this
[01:37:22.200 --> 01:37:24.440]   You can do this on the plane. You can do this on the train
[01:37:24.440 --> 01:37:28.040]   Keep it next to your desk. Keep it wherever you do your photo editing
[01:37:28.040 --> 01:37:31.000]   I guarantee you it will just pay for itself in the amount of time
[01:37:31.080 --> 01:37:36.360]   It saves you and the amount of pleasure gives you and being able to take the picture that you actually took
[01:37:36.360 --> 01:37:39.480]   And make it look like what you had in your head when you took that picture
[01:37:39.480 --> 01:37:44.280]   So that's where I got I would love to read the microwave cooking book by lisa snider though
[01:37:44.280 --> 01:37:46.280]   So if she wants to bring a job
[01:37:46.280 --> 01:37:51.320]   Um, it would involve kick but it would still involve kickboxing. Yeah, I'm sure I'm sure it would and feng shui too. Why not?
[01:37:51.320 --> 01:37:53.800]   Renee, what's your pick?
[01:37:53.800 --> 01:38:00.280]   I have two picks, but first breaking apple has released a new ios beta ios 10.1 beta 2 and apparently
[01:38:00.440 --> 01:38:05.720]   It fixes things like reduced motion for message effects and lets you replay message effects and all sorts of things like that
[01:38:05.720 --> 01:38:08.440]   So if you're on the beta track, uh run and go check it out
[01:38:08.440 --> 01:38:12.760]   No new portrait mode features, but some some some things I think will make some people happy
[01:38:12.760 --> 01:38:17.640]   Um, my two picks the first one Jason mentioned earlier, but I had very little to do with this
[01:38:17.640 --> 01:38:19.400]   But I'm delighted with how it turned out
[01:38:19.400 --> 01:38:23.720]   So there is an imore show sticker pack so you can find all the hosts of the imore show
[01:38:23.720 --> 01:38:26.120]   From mica sergeant to georgia doubt. It's friend. He called well
[01:38:26.680 --> 01:38:29.080]   Laurie Gill all of them in sticker form
[01:38:29.080 --> 01:38:35.160]   We tried to pick some of the catchphrases that we are mocked the most for and because stickers are delightful
[01:38:35.160 --> 01:38:39.400]   You can now throw a srenity true facts on anything that you want to put it on
[01:38:39.400 --> 01:38:42.040]   Or like an animal or you know
[01:38:42.040 --> 01:38:47.720]   Sort of anything that you find delightful at the moment. I really enjoy it and we have been sticker obliterating people with them
[01:38:47.720 --> 01:38:51.400]   So uh your mileage may vary check them out though if you haven't it's free
[01:38:51.400 --> 01:38:54.120]   So you have nothing to lose but your time and maybe your sanity
[01:38:54.760 --> 01:38:58.760]   The second pick is a wonderful article mica sergeant the afra mentioned mica sergeant put together
[01:38:58.760 --> 01:39:01.080]   On apple lugs now
[01:39:01.080 --> 01:39:05.480]   I didn't link to a specific product because it really depends on which watch you have what color it is and what size it has
[01:39:05.480 --> 01:39:09.000]   And he went through and put together a list of all the different
[01:39:09.000 --> 01:39:15.000]   Lugs and what it is is apple has a lot of bands and third parts have a lot of bands that just ship with uh stainless steel lugs
[01:39:15.000 --> 01:39:21.880]   And some people are okay with that other people get really upset because they have a space gray or a space black or a rose gold or a
[01:39:22.280 --> 01:39:25.800]   Gold watch and it just doesn't match and they can never unsee that
[01:39:25.800 --> 01:39:29.320]   It's like a panda look or something and it it it really bothers them
[01:39:29.320 --> 01:39:35.560]   So with this you can just go and pick a separate set of lugs ones that match the casing style of the apple watch that you have
[01:39:35.560 --> 01:39:37.320]   it comes with
[01:39:37.320 --> 01:39:42.360]   Uh the torx screws that you need so you just unscrew the lugs on that your favorite band you screw them into the new
[01:39:42.360 --> 01:39:50.360]   Um, lug and you pop it onto your watch and you have blissfully coordinated apple watch serenity in your future
[01:39:50.840 --> 01:39:56.920]   Uh and he tried it with a bunch of different ones and really like the results and I I'm ordering and spending my entire weekend
[01:39:56.920 --> 01:40:02.120]   I think fixing all my apple watch bands. So if you're into apple watch if you have a few bands like I do
[01:40:02.120 --> 01:40:06.520]   You might be super interested in this. That's the understatement of the week right there a few bands
[01:40:06.520 --> 01:40:10.520]   I have the leather
[01:40:10.520 --> 01:40:14.360]   I have the leather band. It's got the stainless steel lugs and I've got a space gray
[01:40:14.360 --> 01:40:19.480]   Watching it doesn't bother me too much, but I have friends who look at it. They're like that's like clown pants there man
[01:40:19.480 --> 01:40:22.040]   I think you're an animal. That's right. Exactly right. You can't do that
[01:40:22.040 --> 01:40:27.240]   Well, I think we've reached the end. Did I did I do okay? Did I did I ruin the show guys or was it was it okay?
[01:40:27.240 --> 01:40:29.800]   It was fantabulous. Okay good
[01:40:29.800 --> 01:40:33.560]   Good you were you you landed yet you landed the plane on the water
[01:40:33.560 --> 01:40:36.120]   You were and and you were
[01:40:36.120 --> 01:40:41.320]   A list actor. It wasn't meant to be a water landing or have I landed in the wrong place
[01:40:41.320 --> 01:40:47.240]   That's terrible the pontoons out. Do we we landed? Okay? Good. All right. Well leo is going to be back next week
[01:40:47.640 --> 01:40:52.920]   And I'm sure everybody out there will be happy to to welcome him back after his trip to europe
[01:40:52.920 --> 01:40:56.280]   I I'm very happy to leo and everybody at twit for
[01:40:56.280 --> 01:41:02.360]   For letting me sit in and you can reach me at six colors calm where I write about apple stuff all the time
[01:41:02.360 --> 01:41:07.720]   And I write weekly at macworld.com I podcasted the incomparable.com and relay.fm
[01:41:07.720 --> 01:41:13.000]   Andy and ico thank you for being here. You are obviously at suntimes.com
[01:41:13.400 --> 01:41:17.320]   C w ob.com everybody that means the colossal waste of bandwidth. I was there
[01:41:17.320 --> 01:41:22.840]   I was the webmaster for the original version of the colossal waste of bandwidth where else can we find you Andy
[01:41:22.840 --> 01:41:26.520]   As I'm fond of saying whatever I bring up the length of our friendship
[01:41:26.520 --> 01:41:30.040]   It was jason who told me how to both face text and I teach you about
[01:41:30.040 --> 01:41:33.960]   That's that's that's going back quite a bit. It's a little bit
[01:41:33.960 --> 01:41:37.880]   Yeah, again the price of the price of admission to the
[01:41:37.880 --> 01:41:41.560]   Andy and ico online fun ride is uh spell my last name
[01:41:41.880 --> 01:41:45.160]   Uh c wb.com which is how we pronounce it in the old gala
[01:41:45.160 --> 01:41:52.840]   That also redirects to anotco.com, which is the same site and i'm also an oco on twitter and instagram fabulous rene richy
[01:41:52.840 --> 01:41:55.960]   From i'm more and so many more things. Thanks for being here
[01:41:55.960 --> 01:42:00.840]   Thanks for having me jason. I look forward to seeing you at all in Ireland soon. Yes. We are going to be in Ireland
[01:42:00.840 --> 01:42:03.960]   That's going to be great. Do you have anything else to plug? I mean you plug the sticker pack already
[01:42:03.960 --> 01:42:07.080]   I feel like you've uh that that's a must download for everybody
[01:42:07.640 --> 01:42:13.080]   I hope so apple talk last week we had ben baharen from uh creative strategy zon to talk about where the missing max are
[01:42:13.080 --> 01:42:15.720]   This week we have liz plus her from self magazine
[01:42:15.720 --> 01:42:22.520]   Talking about the fitness benefits of the apple watch so if if you like listening to single focused apple centric podcast
[01:42:22.520 --> 01:42:27.000]   We have an additional one for your playlist. Awesome. All right. That's it leo's back next week
[01:42:27.000 --> 01:42:30.920]   But until then I just want to remind you get back to work break time
[01:42:30.920 --> 01:42:33.560]   Is over see everybody
[01:42:33.560 --> 01:42:35.560]   You
[01:42:35.560 --> 01:42:37.560]   You
[01:42:37.560 --> 01:42:39.560]   You
[01:42:39.560 --> 01:42:42.140]   (upbeat music)
[01:42:42.140 --> 01:42:44.720]   (upbeat music)

