
[00:00:00.000 --> 00:00:05.120]   Coming up next, I'm Philian for vacationing Leo Laporte and we're talking about Apple music and
[01:31:08.560 --> 01:31:15.600]   Next year will be the case for that only because I find that if I need to grab for my phone and i'm not looking at it
[01:31:15.600 --> 01:31:19.600]   I need to be able to tell which part is the top and which part is the bottom
[01:31:19.600 --> 01:31:24.160]   Yeah, one of the nicest the home button gone for years. Well for a couple of years
[01:31:24.800 --> 01:31:29.760]   It's it's it's so iconic for so many reasons and also I mean it's it's amazing
[01:31:29.760 --> 01:31:32.800]   when you look at how
[01:31:32.800 --> 01:31:33.760]   simple
[01:31:33.760 --> 01:31:35.440]   human engineering
[01:31:35.440 --> 01:31:38.960]   Considerations can can create a feature that's just as good as something that seems
[01:31:38.960 --> 01:31:41.520]   Complicated for actual hardware engineering
[01:31:41.520 --> 01:31:46.880]   I love the moto x one of the reasons why I love it is that they put a little divot on the back at the top of the screen
[01:31:46.880 --> 01:31:52.320]   That just immediately oriented in your hand so you know, you're you know, you're you're holding it right side up
[01:31:52.400 --> 01:31:55.120]   You also know that it's it feels a bit more secure in your pocket
[01:31:55.120 --> 01:31:58.720]   And all they had to do was just sort of you know, lick your thumb on the clay maldol
[01:31:58.720 --> 01:32:03.760]   And here you go. We just put a divot on the screen. Oh, it's worth adding that uh the same way when apple hears
[01:32:03.760 --> 01:32:08.480]   We need multitasking. They're like, oh no what you really want is is surfing safari while you're listening to pandora
[01:32:08.480 --> 01:32:09.920]   Here's an api for you
[01:32:09.920 --> 01:32:15.040]   The whole reason for exploring home buttonless iphones is people saying we want small screen iphones again like the iphone
[01:32:15.040 --> 01:32:20.880]   For or for s and what apple hears is oh the case like the whole package is too big for you
[01:32:20.880 --> 01:32:22.960]   So if we could reduce the case thing around it
[01:32:22.960 --> 01:32:27.920]   You could still have a big screen and not have to worry about reaching all the corners or using it one-handed
[01:32:27.920 --> 01:32:34.160]   So it's an exploration sort of how can we solve the real problem you have and not any particular version through hardware features or not?
[01:32:34.160 --> 01:32:37.440]   Kristina Warren is back. Hello. Yeah
[01:32:37.440 --> 01:32:42.000]   We were just talking before we go into pics of the week. We're talking about the idea of a forced
[01:32:42.000 --> 01:32:47.760]   Bloomberg had that piece about a possible force touch iphone this year and not next year
[01:32:48.080 --> 01:32:51.120]   Uh, what do you think about force touching an iphone and what do you think of it happening? Maybe this year?
[01:32:51.120 --> 01:32:55.200]   Yeah, no so much so and I don't I don't want to repeat too much of what you guys have already said
[01:32:55.200 --> 01:32:57.280]   I guess my big question would be
[01:32:57.280 --> 01:33:00.880]   Are they putting force touch on the home button because if they do that that makes total sense, right?
[01:33:00.880 --> 01:33:06.560]   Um as kelly was saying so many of those buttons fail it'd be like a great way of like or moving a moving part
[01:33:06.560 --> 01:33:12.400]   If they do it on the screen, I wonder if that adds too much ui complexity because already on the apple watch
[01:33:12.400 --> 01:33:16.400]   I find myself like I don't always know when to when to force touch
[01:33:16.960 --> 01:33:21.200]   And so I wonder how much like training it would take and what it would do to developers
[01:33:21.200 --> 01:33:24.240]   It especially, you know
[01:33:24.240 --> 01:33:26.240]   To give it to us like this year
[01:33:26.240 --> 01:33:28.640]   Um to start to build those things in
[01:33:28.640 --> 01:33:33.120]   Um, but I don't I don't I think that that we've heard so many rumors
[01:33:33.120 --> 01:33:39.600]   It seems likely we'll probably see something force touch like I just don't know if it's going to be on the screen or if it'll be on the button
[01:33:39.600 --> 01:33:41.280]   um
[01:33:41.280 --> 01:33:45.200]   I would I probably eventually would I would be okay with the home button going away
[01:33:45.360 --> 01:33:49.360]   But as you said and even it's so iconic. I don't I don't know what they would do
[01:33:49.360 --> 01:33:57.360]   Without it to a certain degree. Yeah, it's it's easier to imagine at this point an iPhone with sharp corners
[01:33:57.360 --> 01:33:59.520]   Then an iPhone without a home without me
[01:33:59.520 --> 01:34:00.960]   So
[01:34:00.960 --> 01:34:02.560]   That's the angle
[01:34:02.560 --> 01:34:08.240]   I think I wonder if apple has ever like sent up and they need to do actual real world field radio testing if they simply
[01:34:08.240 --> 01:34:13.600]   Will make a few cases with sharp corners on them. They will never ever in a million years think that this is an actual iPhone
[01:34:14.400 --> 01:34:19.840]   Uh, we are going to be right back to our picks of the week before that we have another message from the recationing leo the port wheel
[01:34:19.840 --> 01:34:25.360]   He limit me let me interrupt for just a little bit any I've come back
[01:34:25.360 --> 01:34:30.240]   From the grave looks like i'm I don't know in the afterlife to have
[01:34:30.240 --> 01:34:33.600]   Now you about legal zoom
[01:34:33.600 --> 01:34:34.640]   Uh
[01:34:34.640 --> 01:34:38.160]   We i'm a fan of legal zoom. You know I use them 10 years ago to incorporate twit
[01:34:38.160 --> 01:34:42.000]   We're still using the same legal documents that I paid so little for back then
[01:34:42.880 --> 01:34:48.400]   Uh, so many reasons why a smart business person might choose legal zoom. I haven't rose told me to
[01:34:48.400 --> 01:34:54.720]   Um, but i'm telling you to it'll help you incorporate if you're starting a business or form an llc. That's what we did
[01:34:54.720 --> 01:34:59.760]   Uh or do a non-profit I actually investigated that at legal zoom and it was it is really um
[01:34:59.760 --> 01:35:02.400]   For a lot of you a good choice
[01:35:02.400 --> 01:35:07.360]   You can also register your trademark to protect your products and services you can even file for a patent
[01:35:07.360 --> 01:35:12.160]   With the help of legal zoom.com for a lot less than a law firm. They're not a law firm
[01:35:13.040 --> 01:35:16.320]   But they also can help you get advice from an attorney
[01:35:16.320 --> 01:35:19.760]   They built a network of independent attorneys in most states
[01:35:19.760 --> 01:35:24.560]   To provide you with legal advice and other useful services to help you run your new business
[01:35:24.560 --> 01:35:28.080]   So you can go to legal zoom.com
[01:35:28.080 --> 01:35:31.360]   Pick an attorney based on their profile, but also
[01:35:31.360 --> 01:35:33.920]   reviews from legal zoom clients
[01:35:33.920 --> 01:35:41.520]   Uh, whether you need a contract reviewed or advice and whether you should incorporate or form an lc chapter s chapter c chapter
[01:35:41.520 --> 01:35:44.080]   Llc what's the difference what state you should do it in?
[01:35:44.080 --> 01:35:45.520]   Um
[01:35:45.520 --> 01:35:47.520]   Those legal questions you can get answered to
[01:35:47.520 --> 01:35:54.080]   Start with legal zoom.com complete transparency up front pricing customer reviews and a 100 percent
[01:35:54.080 --> 01:36:00.320]   Satisfaction guarantee legal zoom make the smart choice for your business legal zoom.com
[01:36:00.320 --> 01:36:02.720]   By the way, if you use the offer code
[01:36:02.720 --> 01:36:10.000]   mbw a checkout you'll get a little bit back and they'll know where you heard about legal zoom.com offer code mbw
[01:36:10.560 --> 01:36:17.200]   Legal help is here at legal zoom.com now back to the panel at mac break weekly andy
[01:36:17.200 --> 01:36:23.840]   I'm a big fan of the the sort of holoha shirt that still makes you look like a vacationing clergyman
[01:36:23.840 --> 01:36:28.000]   You know black and a little bit muted green, but not really a whole lot of colors. That's
[01:36:28.000 --> 01:36:30.480]   That's that's that's in my closet right now
[01:36:30.480 --> 01:36:34.880]   Uh time for picks of the week. I'm gonna start off with kelly gammant kelly. What's your pick this week?
[01:36:35.440 --> 01:36:41.360]   Okay, so since we've got apple music now and everybody's uh going to be listening to their phone a lot more
[01:36:41.360 --> 01:36:44.240]   I thought that this would be a super fantastic pick
[01:36:44.240 --> 01:36:49.680]   Um, this is a what I'm what I'm picking here is a case
[01:36:49.680 --> 01:36:54.400]   Four headphones and that sounds kind of silly, but i'm about to tell you why it's awesome
[01:36:54.400 --> 01:36:58.320]   So this is from square jellyfish at square jellyfish.com
[01:36:58.320 --> 01:37:01.280]   And the reason it's neat is because you pop it open
[01:37:01.760 --> 01:37:05.200]   And there's your headphones and they can be the ear pods or the earbuds
[01:37:05.200 --> 01:37:08.560]   It doesn't matter they make a flavor for for each kind of apple headphone
[01:37:08.560 --> 01:37:13.520]   And just like the box that you have they wind around and then they they slide the prong
[01:37:13.520 --> 01:37:17.600]   The jack up the middle right there like that, but here's why this one is great
[01:37:17.600 --> 01:37:21.440]   So when you close it, it's super compact and it's it's one piece
[01:37:21.440 --> 01:37:25.520]   So you don't have to worry about losing it like if you were saving the apple box and winding your headphones and that
[01:37:25.520 --> 01:37:28.240]   Here's the reason that I think this one is fantastic
[01:37:28.800 --> 01:37:31.680]   Because if you press a little bit it goes like this
[01:37:31.680 --> 01:37:37.200]   And the top becomes a place where you can set your phone
[01:37:37.200 --> 01:37:39.200]   Oh
[01:37:39.200 --> 01:37:43.360]   Or your ipad mini um, i've used a full-size ipad with varying degrees of success
[01:37:43.360 --> 01:37:45.680]   But it'll hold your phone either direction
[01:37:45.680 --> 01:37:49.120]   Particularly or horizontally it's fantastic with an ipad mini
[01:37:49.120 --> 01:37:54.960]   And it's got a little bit of rubber on the edges where it would hit the deck
[01:37:55.600 --> 01:38:00.160]   So if you like to use your phone or your ipad on an airplane and you need your headphones
[01:38:00.160 --> 01:38:04.000]   I got you because the rubber keeps it from shaking
[01:38:04.000 --> 01:38:09.520]   Most of most of the way like it helps a lot of the vibration of the the tray on the airplane
[01:38:09.520 --> 01:38:14.080]   So that's why I like this and they will you can get them in a bunch of colors
[01:38:14.080 --> 01:38:15.760]   and
[01:38:15.760 --> 01:38:17.200]   I think
[01:38:17.200 --> 01:38:19.200]   They're right around like five dollars
[01:38:19.200 --> 01:38:21.600]   For one of these
[01:38:21.600 --> 01:38:26.560]   Um, and I I love mine. I take it everywhere. I think it's it's just fantastic
[01:38:26.560 --> 01:38:28.080]   In fact, I got one
[01:38:28.080 --> 01:38:33.680]   And what I did was I bought a I bought a second one at mac world and I think I bought it for
[01:38:33.680 --> 01:38:36.640]   Like five dollars or something a couple of years ago
[01:38:36.640 --> 01:38:42.320]   And I just love them because it's so the handiest thing and that's my pick this week
[01:38:42.320 --> 01:38:46.400]   Wow, they got they had a whole bunch of cool stuff like that. They've got a pocket tripod
[01:38:46.400 --> 01:38:50.960]   They've got a car vent mount. They okay, so they they know what they're doing
[01:38:50.960 --> 01:38:52.160]   I
[01:38:52.160 --> 01:38:54.560]   Really like squared all the square jellyfish stuff. I have
[01:38:54.560 --> 01:38:57.040]   uh, the the tripod piece
[01:38:57.040 --> 01:39:00.880]   I have the pocket tripod like that one there. I have the um
[01:39:00.880 --> 01:39:03.200]   The phone mount
[01:39:03.200 --> 01:39:06.480]   Which has the the screw hole in the bottom to put it on a tripod
[01:39:06.480 --> 01:39:08.080]   But it it slides
[01:39:08.080 --> 01:39:10.880]   Open to hold whatever device you want to have hold it
[01:39:10.880 --> 01:39:14.160]   And it's uh really great. I like all of their stuff
[01:39:14.160 --> 01:39:15.200]   I've used it
[01:39:15.200 --> 01:39:19.040]   I drop it in the bottom of my backpack or in my shoulder bag when I'm headed somewhere
[01:39:19.600 --> 01:39:26.080]   And uh, I'm not the most careful person with my stuff and all my all my square jellyfish stuff still looks great
[01:39:26.080 --> 01:39:29.760]   It manages to survive me. Yeah, so I feel like that's a pretty good sign
[01:39:29.760 --> 01:39:34.160]   I love the design. I mean if if you're if you're a if you're an accessory designer
[01:39:34.160 --> 01:39:38.640]   I want you to think about the prototype. You're building no matter what it is
[01:39:38.640 --> 01:39:44.640]   Right now and think is there a way we can add a simple feature that also turns it into a phone or iPad stand
[01:39:44.640 --> 01:39:48.640]   Because there almost certainly is a way you can do that and when we discover that
[01:39:48.960 --> 01:39:51.040]   Oh my god, I thought this was just a stylist
[01:39:51.040 --> 01:39:55.840]   But if I twist this and pull it out legs pop out and hey now i've got an iPhone stand
[01:39:55.840 --> 01:40:01.920]   I will put an extra piece of money into a box and mail it to you because that's that's clever. That's just good thinking
[01:40:01.920 --> 01:40:04.880]   Uh, Christina, what's your pick this week?
[01:40:04.880 --> 01:40:13.680]   All right. So my my pick is uh an amazing amazing game called yoko's chess game yoko. Oh no has a chest game
[01:40:13.680 --> 01:40:16.160]   Oh, um
[01:40:16.240 --> 01:40:18.640]   Yeah, it is it's as fabulous as you thought it would be
[01:40:18.640 --> 01:40:23.760]   Um, it's bizarre is all get out. She has a couple of remotes. It's it's got a standard mode
[01:40:23.760 --> 01:40:28.880]   Um, there's a doggy chess mode where all the pieces are dogs and it makes noise
[01:40:28.880 --> 01:40:33.680]   Um, it's got weird ass background music from off of her latest album in the background
[01:40:33.680 --> 01:40:35.360]   and um
[01:40:35.360 --> 01:40:39.440]   She's got this this mode called trust mode where all the pieces are white
[01:40:39.440 --> 01:40:42.240]   And you basically have to trust
[01:40:42.640 --> 01:40:46.640]   I guess like like what pieces are yours and what pieces are are the opponents. Um, it's
[01:40:46.640 --> 01:40:50.960]   It's a free app that the the trust mode and the doggy mode are in app purchases
[01:40:50.960 --> 01:40:54.800]   Uh, well worth the money because the the dog sounds are fantastic
[01:40:54.800 --> 01:40:59.840]   It's not a bad chess game, but it's so freaking weird that it has to be my sake of the week because it's so bizarre
[01:40:59.840 --> 01:41:02.080]   The yoko otto has a chess game
[01:41:02.080 --> 01:41:03.280]   Wow
[01:41:03.280 --> 01:41:05.280]   Playing chess on the honor system
[01:41:05.280 --> 01:41:10.160]   That's something that a lot of elder may then will get very very angry about
[01:41:10.720 --> 01:41:17.440]   Yes, and also if you read if you if you read like the it's it's it's worth getting just to uh to to read the rules that she's
[01:41:17.440 --> 01:41:23.600]   Um, it's just czar. It's so great. Did it break up the king and bishop?
[01:41:23.600 --> 01:41:28.320]   Yeah, I mean
[01:41:28.320 --> 01:41:32.560]   Basically, she's she's proving like how she was able to be together three, you know, um beetles
[01:41:32.560 --> 01:41:37.680]   Um at chess clearly no, it's a bit this is it we we found this yesterday
[01:41:37.760 --> 01:41:41.040]   And I when I haven't been playing with apple music up and playing this it's
[01:41:41.040 --> 01:41:44.000]   Yoko no she has it has an iphone app you guys
[01:41:44.000 --> 01:41:47.520]   That's cool. They just released that best as for a
[01:41:47.520 --> 01:41:52.080]   There's a there's a one woman. She's she has a one woman show at mama right now
[01:41:52.080 --> 01:41:58.240]   Uh and which you get you get to oh, there's also a lot of like interactive things on the wall that are kind of similar
[01:41:58.240 --> 01:42:02.720]   So that's that's pretty cool. Yeah, apparently this the the the the
[01:42:03.120 --> 01:42:08.880]   Trust game was was built out of uh some sort of actual thing that she created in like 1996 for some installation
[01:42:08.880 --> 01:42:12.960]   So yeah, I mean she's apparently but that's chest thing for a while and now she's nap
[01:42:12.960 --> 01:42:18.880]   Okay, what what is the yoko gambit like if there's an opening move called the yoko
[01:42:18.880 --> 01:42:25.200]   I will I will leave that as an exercise for the listener
[01:42:25.200 --> 01:42:26.240]   Uh
[01:42:26.240 --> 01:42:28.160]   Renee, what's your pick this week?
[01:42:28.160 --> 01:42:33.680]   All right, so I have a pick but I just wanted to mention in passing that iBooks got updated and there's now audiobooks inside iBooks
[01:42:33.680 --> 01:42:38.560]   So if you've always hankered to have all your books written and spoken all in one place
[01:42:38.560 --> 01:42:41.920]   There's that and I too sorry iBooks author now finally
[01:42:41.920 --> 01:42:48.400]   Supports the iphone as well. So if you've always wanted your iTunes author your iBooks author stuff on your iphone
[01:42:48.400 --> 01:42:49.840]   You can get that as well
[01:42:49.840 --> 01:42:54.320]   And it looks like iTunes update still hasn't come out and a couple of other apples updates for today still haven't come out
[01:42:54.320 --> 01:42:55.840]   So there's more goodies
[01:42:55.840 --> 01:42:57.840]   Hopefully as the day progresses
[01:42:57.840 --> 01:43:01.040]   Yeah, it was mostly an update for for apple music
[01:43:01.040 --> 01:43:04.160]   The other cool thing that you'll want to know is that they did fix that
[01:43:04.160 --> 01:43:08.720]   Messages bug where if someone sends you the message of doom it does and no longer locks up
[01:43:08.720 --> 01:43:16.480]   They decide they they thought about it both ways they decided maybe it works better if you can't lock up the phone with the message of doom
[01:43:16.480 --> 01:43:18.080]   So
[01:43:18.080 --> 01:43:19.760]   Unicode is hard
[01:43:19.760 --> 01:43:21.760]   So my pick is a camera
[01:43:22.240 --> 01:43:24.240]   Obscura and it's an app by ben rice
[01:43:24.240 --> 01:43:29.840]   Who's a young developer, but he's a photographer. He did all the photographs for the oil conference
[01:43:29.840 --> 01:43:31.840]   If you're familiar with that conference
[01:43:31.840 --> 01:43:39.200]   He's very good and he sort of wanted a camera app that was just really fun to use and he really succeeded brilliantly in making that
[01:43:39.200 --> 01:43:43.200]   So it gets a lot of stuff out of your way it does have filters it does have manual controls
[01:43:43.200 --> 01:43:45.920]   But all of it is is super accessible
[01:43:45.920 --> 01:43:49.840]   And it's sort of for the person who just wants to take a great picture
[01:43:50.240 --> 01:43:53.520]   They want to have a little bit more control over it then you know, maybe the basic built-in
[01:43:53.520 --> 01:43:59.760]   iOS camera app, but they don't want to be futzing with every dial or every switch and spending a lot of time and maybe having
[01:43:59.760 --> 01:44:03.760]   Their pixel dog run away from them before the shot is as taking place
[01:44:03.760 --> 01:44:10.000]   So it's it's on the app store. You can you can get it now their filters aren't an extra in-app purchase, but they're totally worth it
[01:44:10.000 --> 01:44:12.800]   Um, I think it's Gotham like filter is enough
[01:44:12.800 --> 01:44:15.440]   Sort of make rans even happy
[01:44:15.440 --> 01:44:22.240]   So if you are really into iPhone photography and you do love your new camera apps give camera obscure. Oh, look it's totally worth it
[01:44:22.240 --> 01:44:27.920]   Well, um my pick of the week is actually mostly for people who are listening live
[01:44:27.920 --> 01:44:32.400]   Appcamp for girls is having their fundraising an ad go go fundraising campaign
[01:44:32.400 --> 01:44:36.160]   You can still throw money into the kitty today and tomorrow july first
[01:44:36.160 --> 01:44:41.040]   You should definitely do that because there there are there are some organizations that I think that they should
[01:44:41.040 --> 01:44:44.960]   Basically have baskets full of money for all the money being thrown at them
[01:44:45.280 --> 01:44:50.960]   And kelly app camp for girls is definitely that maybe you can do a better job than I can't explaining how cool app camp for girls is
[01:44:50.960 --> 01:44:53.760]   um
[01:44:53.760 --> 01:44:58.560]   I talk about it all the time and so it's so you'd think i'd be way better at this
[01:44:58.560 --> 01:45:05.520]   um app camp for girls is amazing what we do is we take girls who are going into grade eight and grade nine and
[01:45:05.520 --> 01:45:08.800]   uh, so that's about 12 13 years old and
[01:45:08.800 --> 01:45:12.320]   For a week we have day camp and they come in each day
[01:45:12.320 --> 01:45:16.800]   We give them an an ipod touch to use for the week and they learn about developing apps
[01:45:16.800 --> 01:45:21.440]   and they use macbook pros and they use xcode and they have to type stuff in xcode and
[01:45:21.440 --> 01:45:23.200]   uh, there's
[01:45:23.200 --> 01:45:29.680]   Bugs in the app they have to find them they have to fix them and at the end of the week they have to pitch their app to a panel of investors
[01:45:29.680 --> 01:45:33.520]   and uh, we really have the most amazing time
[01:45:33.520 --> 01:45:36.720]   uh getting the getting them excited about
[01:45:36.720 --> 01:45:40.160]   uh, software and the reason that it's exciting is because
[01:45:40.560 --> 01:45:42.560]   every time we do it every time we do
[01:45:42.560 --> 01:45:47.920]   uh, the camp there's uh teams of four we team the girls up in groups of four and
[01:45:47.920 --> 01:45:54.160]   Every single time we do this there's one girl who realizes that someone has to draw all of the stuff that goes into an app
[01:45:54.160 --> 01:45:57.120]   somebody had to generate all of the art that you see and
[01:45:57.120 --> 01:45:59.520]   someone realizes that uh
[01:45:59.520 --> 01:46:07.120]   Breaking stuff is really fun like I they're the best thing in the world to do is to push that button and push back
[01:46:07.120 --> 01:46:12.320]   When you're not supposed to push back and what happens if you hit the home button in the middle and how does all how does all of this work?
[01:46:12.320 --> 01:46:18.640]   and what what happens when you do these things and then um, someone else realizes that uh,
[01:46:18.640 --> 01:46:23.040]   Getting up and talking about their app to other people is like the best thing they could have been doing
[01:46:23.040 --> 01:46:32.640]   And all of these things like showing people that there's more to developing software than just hunching over and typing mystery strings of characters
[01:46:32.640 --> 01:46:34.960]   Into what looks like a terminal
[01:46:34.960 --> 01:46:41.760]   um, you know, there's there's so much more to it than that and and we don't necessarily expect that all of them are going to become computer scientists
[01:46:41.760 --> 01:46:46.480]   But we do hear the same stories from all of them, which is things about um
[01:46:46.480 --> 01:46:53.840]   Things about how I went to this camp and I was the only girl and so all of the boys shouted me down and none of my ideas made
[01:46:53.840 --> 01:47:00.080]   It into the project we were doing or um, you know, I would I tried to offer and and you know
[01:47:00.080 --> 01:47:04.800]   None of the boys took me seriously because it was a computer thing and i'm female and that's not supposed to happen
[01:47:04.960 --> 01:47:11.840]   and you know, we we kept hearing these stories over and over and and one of the great things about this year is that um
[01:47:11.840 --> 01:47:16.880]   We had volunteers that once they extended the dub dub dc scholarship program
[01:47:16.880 --> 01:47:21.440]   To stem organizations one of the organizations they extended it to was app camp for girls
[01:47:21.440 --> 01:47:25.680]   And some of the people who volunteer for app camp were people who got those scholarships
[01:47:25.680 --> 01:47:27.840]   And it was really great to get to
[01:47:27.840 --> 01:47:33.200]   Have the opportunity to have those people at dub dub actually learning actually talking about that stuff
[01:47:33.680 --> 01:47:35.680]   and I really
[01:47:35.680 --> 01:47:41.360]   I get so much more out of it. Like I know we're doing something that's really great for the girls that are there who
[01:47:41.360 --> 01:47:45.280]   Get to learn a lot more about what it takes to make software development happen
[01:47:45.280 --> 01:47:51.760]   And what software development is all about and yet at the same time we get so much out of it to see their ideas and
[01:47:51.760 --> 01:47:57.840]   When they didn't have to put up with all of this kind of stuff, you know, nearly as long as as all of the adults have
[01:47:57.840 --> 01:48:03.360]   Um, you know, they have so much enthusiasm for it and they're so great and super creative
[01:48:04.000 --> 01:48:08.160]   And just getting to have the the the week that we get to spend with them
[01:48:08.160 --> 01:48:13.920]   Um every time like it's a completely different group of people and it's always so so so much fun
[01:48:13.920 --> 01:48:19.920]   And so the indiegogo fundraiser that we're doing is to build this into a sustainable organization gene had an idea
[01:48:19.920 --> 01:48:23.600]   And we've proven it can work and we've proven that
[01:48:23.600 --> 01:48:27.600]   It's something we can execute not just in a different location, but in a different country
[01:48:27.680 --> 01:48:33.520]   We are officially a society of canada now so that we can start our eastward migration
[01:48:33.520 --> 01:48:36.640]   Um, so yeah, we're coming for you rene
[01:48:36.640 --> 01:48:40.240]   Can we you not may you're not die of cholera
[01:48:40.240 --> 01:48:44.160]   Yeah, I
[01:48:44.160 --> 01:48:50.800]   I love my ox and so but i it's i love it so much and and i'm really excited that this went from
[01:48:51.280 --> 01:48:58.240]   An idea that gene mcdonald had to what it is today and we're what we're doing with this current fundraiser is
[01:48:58.240 --> 01:49:04.720]   Trying to build an ongoing organization that will have the funding for things like staff members so that we have people for whom
[01:49:04.720 --> 01:49:07.600]   appcamp for girls is their entire job and
[01:49:07.600 --> 01:49:14.400]   Coordinating all of these things and being able to take the app camp kit and export it to anybody that wants to build one
[01:49:14.400 --> 01:49:17.600]   And making this a reality for as many people as
[01:49:18.080 --> 01:49:21.680]   Want it to be a reality for them and that's our ultimate goal
[01:49:21.680 --> 01:49:24.640]   um in the joke. I always tell people is that
[01:49:24.640 --> 01:49:30.000]   Um, what I do to make sure that I can keep track of all my stuff because everybody's got the same white cable
[01:49:30.000 --> 01:49:35.440]   And everybody's got the same charger, you know for their laptop and everything else i put a helikitty sticker on it
[01:49:35.440 --> 01:49:39.360]   And it has 100 return rate for me
[01:49:39.360 --> 01:49:46.320]   Nobody else ever once i'm going to my laptop adapter with the helikitty sticker and I want that to stop working
[01:49:47.040 --> 01:49:48.240]   Yeah
[01:49:48.240 --> 01:49:53.520]   Oh again. I every every time every time I've met people who have been working with app camp for girls. It's just
[01:49:53.520 --> 01:49:59.120]   Every they're all like you which is a great thing to say about a organization
[01:49:59.120 --> 01:50:01.600]   Uh, and I just I I've I've had
[01:50:01.600 --> 01:50:05.680]   Only a few experiences to teach in environments like that not necessarily
[01:50:05.680 --> 01:50:07.920]   Uh just for girls but for all kids
[01:50:07.920 --> 01:50:15.120]   But if there's anything that sort of brushes aside any cynicism that has sort of crept in after 10 years or 20 years of
[01:50:15.200 --> 01:50:18.000]   Observing technology or working in technology and running apps
[01:50:18.000 --> 01:50:22.880]   It's being the person who shows someone the first their first app dev kit
[01:50:22.880 --> 01:50:27.280]   And watching them as they discover that they have a power that they did not have
[01:50:27.280 --> 01:50:31.600]   Before they got out of the car this morning. Uh, so just really great organization
[01:50:31.600 --> 01:50:33.120]   And I'm so glad we had a chance to talk about it
[01:50:33.120 --> 01:50:36.960]   Uh before we go though, of course apple tried to be fuddle us
[01:50:36.960 --> 01:50:41.200]   By coming up with a big announcement just after we normally stop
[01:50:41.680 --> 01:50:45.600]   Recording but we stuck it to them didn't we stuck ticket to the rene rene
[01:50:45.600 --> 01:50:49.360]   Tell us what apple tried to get us to not be able to talk about today
[01:50:49.360 --> 01:50:55.920]   So yeah, so pushing out software is hard garage band 10.1 for os 10 just got updated and it brings the funk andy
[01:50:55.920 --> 01:50:58.880]   It brings you electronic dance music the hip hop the noise as well though
[01:50:58.880 --> 01:51:02.560]   We got the funk. Do we got the noise as well?
[01:51:02.560 --> 01:51:04.560]   You go, um, yeah, no, absolutely
[01:51:04.560 --> 01:51:09.840]   It uh, it has all for everyone who's loved the acoustic stuff and the sort of stuff that's been in garage band before
[01:51:10.080 --> 01:51:16.080]   They've now added all the synthesizers and they've added all the beats and everything that you could want to use to produce sort of the electronic
[01:51:16.080 --> 01:51:21.280]   The hip hop that sort of sound it's got this awesome pad that you can use to sort of move things around
[01:51:21.280 --> 01:51:26.480]   And you can record stuff now. They brought the record level feature down from the pro set to the the free garage band
[01:51:26.480 --> 01:51:29.840]   Set and it's just I only had a really brief time to look at it
[01:51:29.840 --> 01:51:32.800]   But I mean there's house. There's techno. There's dubstep
[01:51:32.800 --> 01:51:35.360]   And I think it's really awesome that kids were not just kids
[01:51:35.360 --> 01:51:39.920]   But everybody who's listening to this kind of music can now go to garage band and have it sort of easily accessible
[01:51:40.080 --> 01:51:46.640]   To them so they can go from enjoying it to sort of making it and the barrier for entry into garage band has always been extremely low
[01:51:46.640 --> 01:51:51.840]   And they got a really good way of rewarding you they kind of do all the heavy lifting so that you don't have to
[01:51:51.840 --> 01:51:57.760]   Worry about how to how to get started. You don't have to feel like a failure and stop as soon as you get started
[01:51:57.760 --> 01:52:03.280]   And they brought all of that to the new sort of techno electronic sound that they're they're adding to this feature set now
[01:52:03.280 --> 01:52:07.600]   So there's a ton of stuff inside there. There's 10 new drums. There's a hundred new loops
[01:52:07.760 --> 01:52:12.560]   Again, it's all of apples music director people involved. So it's super high quality. It sounds great
[01:52:12.560 --> 01:52:16.720]   It's really easy to use if you're at all interested in this kind of stuff, absolutely check it out
[01:52:16.720 --> 01:52:23.680]   Oh great. So we did we did mesh get it in garage band still when the the adult version of the busy box
[01:52:23.680 --> 01:52:26.640]   We played with as little kids with the with the added friends
[01:52:26.640 --> 01:52:30.720]   You can actually create art with it, but who who am I kidding? I'm just using to use the drum machine
[01:52:30.720 --> 01:52:35.680]   The next stuff like rocyna mentioned in the iOS version it will be coming to the OS 10 version in a future update not there this time
[01:52:37.120 --> 01:52:41.280]   Sopa, yeah, I guess what I guess that's going to be it for us this week
[01:52:41.280 --> 01:52:45.360]   Kelly Gomond. Thanks for joining us this week. Where can people read you ever see you this week?
[01:52:45.360 --> 01:52:50.480]   You can find me over at macobserver.com. I'm sometimes also on the daily observation podcast
[01:52:50.480 --> 01:52:55.280]   I host a show with mike rose called the after show, which is also a fun one
[01:52:55.280 --> 01:52:58.560]   And you can read my stuff over at macobserver.com
[01:52:58.560 --> 01:53:01.040]   Super chrisianeth
[01:53:01.040 --> 01:53:04.000]   I'm sure you're gonna have a lot more stuff to write about apple music
[01:53:04.080 --> 01:53:07.440]   I fear for your fingers and your keyboard once that stuff's gonna be hitting
[01:53:07.440 --> 01:53:12.800]   Yeah, so I've got a full review that I've got in the works and that hopefully that'll be up by Thursday
[01:53:12.800 --> 01:53:17.840]   With any luck maybe midday tomorrow. We'll see. I'm still like sleepy. So
[01:53:17.840 --> 01:53:21.680]   And we've got to actually wait for the iTunes release to finally come out to you so
[01:53:21.680 --> 01:53:27.120]   Um, gotta give them some time, but uh, but until then um, you can follow me on twitter
[01:53:27.120 --> 01:53:30.480]   I met film underscore girl. You can read all of my work on mashable
