
[00:00:00.000 --> 00:00:03.480]   It's time for Mac Break Weekly. Oh boy. Oh boy. Oh boy. Oh boy
[01:32:33.720 --> 01:32:39.160]   I've spent for o led as much as I would get by spending two or three hundred dollars for another component
[01:32:39.160 --> 01:32:43.000]   That would be kind of fun to have it's true that micro led. I don't know when that'll be out
[01:32:43.080 --> 01:32:49.400]   But that could be the big thing. That's the technology scott was talking about. I'm guessing he didn't tell us
[01:32:49.400 --> 01:32:53.080]   I'll see like a $25,000 one first and then we'll all look it and go. Ah
[01:32:53.080 --> 01:32:57.080]   That's the idea though is it's direct view. They're basically doing what o led does
[01:32:57.080 --> 01:33:02.520]   But they're doing it with with leds and they're using gallium nitride instead of the organic
[01:33:02.520 --> 01:33:07.400]   Stuff in the um in the which means it'll last longer
[01:33:07.400 --> 01:33:12.600]   But you know you you hear about these things. It doesn't necessarily mean it's going to be in the store
[01:33:13.400 --> 01:33:16.920]   Yeah, no, that's that's 25,000 then all led to 25,000
[01:33:16.920 --> 01:33:21.480]   Just so by the time you're ready for a new tv. Maybe you'll get a micro led to led
[01:33:21.480 --> 01:33:27.880]   That's always the most fun part of ces year after year after year the who who wants to win the crown as the best
[01:33:27.880 --> 01:33:34.360]   Stupid tv out there where this gets out because because like sam sum will have now we have the the
[01:33:34.360 --> 01:33:37.400]   273 inch
[01:33:37.400 --> 01:33:42.120]   12k display and actually this has like uh this has actually like servo
[01:33:42.440 --> 01:33:45.720]   Servo controlled pixels to make it not just 3d with classes
[01:33:45.720 --> 01:33:50.520]   But it will make sure that like the the cars will actually like stick out and crawl and create shadows
[01:33:50.520 --> 01:33:55.000]   They're natural to the lighting and you know that they're people that have that kind of a money
[01:33:55.000 --> 01:34:00.920]   And they will but they buy a new tv every eight months or they they hire people to replace their tv's every eight months
[01:34:00.920 --> 01:34:08.520]   But they only have to ever make the one because it's never going to be on the market for anywhere actually interestingly enough in 2014 apple
[01:34:09.320 --> 01:34:13.880]   Bought a company called luxvue that does micro led
[01:34:13.880 --> 01:34:17.080]   The rumors that apple watch will be the first one to adopt
[01:34:17.080 --> 01:34:23.880]   Yeah, so you might see micro led displays from apple at some point they've had this for three years
[01:34:23.880 --> 01:34:26.280]   um
[01:34:26.280 --> 01:34:28.280]   But we don't know why
[01:34:28.280 --> 01:34:31.480]   Let's take a break. That's our ces update
[01:34:31.480 --> 01:34:37.000]   And i'm sure there'll be much more coming up our back of the book the picks of the week
[01:34:37.480 --> 01:34:42.440]   But first i got a pick for you and it's on my watch or a keychain. It's on everything i've got
[01:34:42.440 --> 01:34:48.040]   Uh, it's on my bike. It's in my luggage. It's called the tracker and it's the best way
[01:34:48.040 --> 01:34:52.600]   To make sure you can find the stuff you own but you can't find
[01:34:52.600 --> 01:34:57.880]   Don't spend hours every day searching for your keys or your remote controls
[01:34:57.880 --> 01:35:02.040]   Get the tracker. This is the new tracker pixels about the size of a dime really lightweight
[01:35:02.040 --> 01:35:03.480]   It's the smallest lightest
[01:35:03.480 --> 01:35:05.480]   Bluetooth tracking device on the market today
[01:35:06.040 --> 01:35:10.440]   But like all the tracker's replaceable batteries mean it goes and goes and goes
[01:35:10.440 --> 01:35:16.040]   You put it on whatever you need to keep track of your keys your wallet. It's small enough to fit in your wallet
[01:35:16.040 --> 01:35:18.600]   your remote control of course
[01:35:18.600 --> 01:35:23.400]   And uh, it has powerful led lights is great for remote because a lot of times the remote
[01:35:23.400 --> 01:35:25.720]   You can't find it because it slipped down behind the cushions
[01:35:25.720 --> 01:35:29.640]   Well, the lights make it easy to find it also has a very loud alarm now
[01:35:29.640 --> 01:35:33.800]   The alarm is useful for a couple of reasons one is two-way separation alerts
[01:35:34.200 --> 01:35:37.960]   So you put the tracker app on your phone. That's how you find your tracker to stuff
[01:35:37.960 --> 01:35:41.880]   But also if you leave your tracker stuff behind your phone can howl at you
[01:35:41.880 --> 01:35:47.400]   If so it basically is like find my iphone for your keys or whatever you've attached your tracker to
[01:35:47.400 --> 01:35:50.280]   I love that idea vice versa too
[01:35:50.280 --> 01:35:52.680]   If you can't find your phone you press the button in the tracker
[01:35:52.680 --> 01:35:55.720]   You don't have to go to the computer and fire up find my i-f
[01:35:55.720 --> 01:35:59.960]   I just press the button in the tracker the phone even if it's silenced will make loud noises
[01:36:01.000 --> 01:36:03.880]   And the crowd locate network is something unique
[01:36:03.880 --> 01:36:09.960]   Five million trackers out there means that everywhere in the world there are people running the tracker app and when
[01:36:09.960 --> 01:36:13.400]   They see your purse or your keys
[01:36:13.400 --> 01:36:20.440]   Or your luggage when they walk by with the app running on their phone the the app without you know, just automatically
[01:36:20.440 --> 01:36:23.400]   Says I saw them they're right here
[01:36:23.400 --> 01:36:25.320]   It's awesome
[01:36:25.320 --> 01:36:27.640]   th e t r a c k r
[01:36:28.600 --> 01:36:31.720]   And then with a 30-day money back guarantee you've got nothing to lose
[01:36:31.720 --> 01:36:36.600]   And the app actually lets you order new batteries if you get low it tells you you're getting low and you can get a new battery
[01:36:36.600 --> 01:36:40.360]   It's very easy to put them in i've done that a couple of times already on my mini tracker devices
[01:36:40.360 --> 01:36:44.280]   Go to the tracker.com/macbreak so you can get many tracker devices
[01:36:44.280 --> 01:36:47.880]   I've got great prices on bundles right now and no matter what you order
[01:36:47.880 --> 01:36:51.480]   Take 20 off when you use our website
[01:36:51.480 --> 01:36:55.320]   The tracker.com/macbreak 20 percent off
[01:36:55.320 --> 01:36:57.960]   on any order
[01:36:57.960 --> 01:37:01.640]   The tell your friends the tracker.com
[01:37:01.640 --> 01:37:06.120]   slash macbreak and I personally thank tracker
[01:37:06.120 --> 01:37:09.640]   More than once helping me find my stuff
[01:37:09.640 --> 01:37:15.080]   My favorite story I told it earlier today is when I lost my keys in my scottie vest shirt
[01:37:15.080 --> 01:37:17.400]   Oh no
[01:37:17.400 --> 01:37:20.760]   Because it's got so many pockets and I couldn't find my keys
[01:37:20.760 --> 01:37:23.800]   And I thought I left them somewhere and I was looking all over them
[01:37:23.800 --> 01:37:27.240]   I went to the bar I thought I left them at and then I realized oh wait a minute
[01:37:27.240 --> 01:37:28.520]   I have the tracker on them
[01:37:28.520 --> 01:37:31.400]   I pressed I opened the phone press the trapper tracker button
[01:37:31.400 --> 01:37:34.520]   And my shirt starts making like oh I've had them all along
[01:37:34.520 --> 01:37:40.920]   All right time for your picks of the week let's start with Andy and I go Andy
[01:37:40.920 --> 01:37:46.040]   Uh one of my favorite things I've put onto my mac in quite a long time
[01:37:46.040 --> 01:37:51.000]   Uh flexy but they're the makers of Fantasticell came out with a contact manager
[01:37:51.000 --> 01:37:51.560]   Excuse me
[01:37:51.560 --> 01:37:53.240]   Contact utility called card hop
[01:37:53.240 --> 01:37:53.800]   Love it
[01:37:53.800 --> 01:37:54.600]   That
[01:37:54.600 --> 01:37:57.320]   Oh my goodness, it's everything it's you can
[01:37:57.320 --> 01:37:59.960]   And this this is true of this
[01:37:59.960 --> 01:38:03.240]   What I'm about to say is true of mac os is true of windows true of everything
[01:38:03.240 --> 01:38:07.640]   You can always tell the stuff that nobody at the company wants to work on and the
[01:38:07.640 --> 01:38:12.200]   Contact manager at any operating system. Nobody thinks that's a cool thing to work on
[01:38:12.200 --> 01:38:13.720]   So that's why it looks like
[01:38:13.720 --> 01:38:14.200]   20
[01:38:14.200 --> 01:38:20.520]   2004 2005 card hop is a menu lit that will essentially make the make your mac os
[01:38:20.600 --> 01:38:24.840]   Contact's database as useful as a phone app. You just type in
[01:38:24.840 --> 01:38:29.240]   The part a partial name. It will immediately populate here is the here is the contact
[01:38:29.240 --> 01:38:31.000]   You're looking for what do you want to do with it?
[01:38:31.000 --> 01:38:33.720]   Just by clicking I want to send a message. I want to send an email
[01:38:33.720 --> 01:38:35.960]   I want to call this person. I want to edit this sort of thing
[01:38:35.960 --> 01:38:39.640]   It doesn't it doesn't matter how you put that information into the database
[01:38:39.640 --> 01:38:45.640]   It will surface it for you. So it's not as though you forgot to put you forgot to put the company name where it should have been
[01:38:45.640 --> 01:38:49.560]   Uh, it's good for organizing. It's good for exporting. I just
[01:38:50.360 --> 01:38:54.600]   It's not it's not a complicated app. It's just a simple drop down from your menu bar
[01:38:54.600 --> 01:39:00.280]   But it works exactly you the way you would hope a context database would work. I got to say that
[01:39:00.280 --> 01:39:08.520]   I've so I had written off the bill the mac os built in context app so long ago that now I just go into my mail client
[01:39:08.520 --> 01:39:14.040]   And look for an email that that person has sent me that will probably have a phone number attached to the end of it
[01:39:14.040 --> 01:39:17.160]   Because it's that's that kind of search works a lot better for me
[01:39:17.160 --> 01:39:19.800]   but card hop is
[01:39:20.200 --> 01:39:23.400]   Quickly corrected that behavior. It's 20 bucks a stock sheet
[01:39:23.400 --> 01:39:30.040]   But oh my goodness you will totally is if you go directly to flexibets.com you can download a free like 21 day trial
[01:39:30.040 --> 01:39:34.120]   But you will probably as I did spend the 20 bucks
[01:39:34.120 --> 01:39:39.400]   Very very quickly and then forget about any amount of money you spend for it's really superb
[01:39:39.400 --> 01:39:46.920]   I use it and fantastic health too together on my mac and either and by the way we're talking about drafts
[01:39:47.640 --> 01:39:55.560]   Work so great because I could just send stuff and all of the flexibets stuff has kind of natural language and interprets
[01:39:55.560 --> 01:40:02.680]   And yeah, exactly such. It's just killer. I can't I can't believe that even in this day and age
[01:40:02.680 --> 01:40:08.440]   I'm thinking I wish the context and stuff like that worked though as well as it did in my newton message pad in the late 90s
[01:40:08.440 --> 01:40:13.960]   Like why why can't I just type and anti-nocco 1313 makkenberg lane
[01:40:14.840 --> 01:40:23.320]   Tulsa, Oklahoma 617 4441414 like okay, you know what there's enough information here that I bet you can figure out that that
[01:40:23.320 --> 01:40:25.960]   Bum-bum-bum-bum-bum-bum
[01:40:25.960 --> 01:40:30.680]   That's probably a phone number that looks like an address doesn't it that looks like a first name in the last name
[01:40:30.680 --> 01:40:34.520]   Why should I even have to tab between fields to tell it where things should go?
[01:40:34.520 --> 01:40:41.320]   And the way that you can simply add just cut and paste things from a web page or wherever or an email into card hop and boom
[01:40:41.320 --> 01:40:48.120]   You've got a contact. Oh my goodness. Why are we waiting so long for this to happen? Apple just never buy it buy it buy it buy it
[01:40:48.120 --> 01:40:50.200]   Bite make it rain
[01:40:50.200 --> 01:40:53.960]   Fly them in first class get Michael and fly them in fun higher. Yeah, exactly
[01:40:53.960 --> 01:40:58.680]   I want my favorite thing about an iPhone card hop. I really I'm sure they're working
[01:40:58.680 --> 01:41:03.080]   Yeah, I keep asking but my favorite thing about it is that humans aren't great at context switching
[01:41:03.080 --> 01:41:04.680]   So if I say I want to contact Andy
[01:41:04.680 --> 01:41:08.680]   I like I have to go and find the app and then I forget what I want to do because then I got to find Andy in the app
[01:41:08.680 --> 01:41:11.480]   And with this is just like I type Andy and then I can make him phone
[01:41:11.480 --> 01:41:16.760]   I can send an email like it's like it's person first and it's it's the way my brain works and it's just so much faster
[01:41:16.760 --> 01:41:19.960]   I'm using something called full contact on iOS right now
[01:41:19.960 --> 01:41:23.480]   But I would replace it with card hop as soon as I as soon as I can I mean you
[01:41:23.480 --> 01:41:27.240]   It apples contact and calendar are bare minimum
[01:41:27.240 --> 01:41:31.400]   They work you could tell the stuff that Steve Jobs is just isn't used instead of Steve Jobs
[01:41:31.400 --> 01:41:36.680]   It's what we used to call a third-party opportunity. Yes, I agree. They're not bad
[01:41:36.680 --> 01:41:39.320]   This is that nice about creating a third-party opportunity
[01:41:39.320 --> 01:41:43.560]   You can more already apple like they sure lock enough apps you can more you already them right back
[01:41:43.560 --> 01:41:45.800]   Renee your pick of the week
[01:41:45.800 --> 01:41:48.440]   My pick of the week. So this this is just for fun. This is for lol's
[01:41:48.440 --> 01:41:51.560]   This is from CES and as far as I know it's not quite available yet
[01:41:51.560 --> 01:41:57.160]   But I saw it and I just I thought it would be fun to share and that is colder announced a bunch of uh, I don't know
[01:41:57.160 --> 01:42:00.120]   I pronounce it color color. It's called color. It's called color connect
[01:42:00.120 --> 01:42:03.240]   So they make all these bathrooms. I want the toilet
[01:42:03.960 --> 01:42:09.320]   Oh, yeah, so seriously, there's a mirror that you can have different lighting settings if you want to do different makeup effects
[01:42:09.320 --> 01:42:13.160]   There's a bath and you could say schlomo or alexi whatever
[01:42:13.160 --> 01:42:19.480]   Um bath oil gray hot and then it'll just bubble or sorry bubbles. Oh gray hot and it'll just do it for you
[01:42:19.480 --> 01:42:24.440]   The toilet will flush for you. It'll warm for you. The shower will place music for you
[01:42:24.440 --> 01:42:29.960]   It it does it'll have like the per-anil control like like you can mesh it with your lighting and your music
[01:42:30.200 --> 01:42:33.000]   So you walk into the shower and it's like boom boom boom boom boom
[01:42:33.000 --> 01:42:37.560]   Uns on lasers as you're going and I know like these are early days
[01:42:37.560 --> 01:42:42.840]   It's not star trek yet, but you can go to the faucet and say eight ounces of you know 30 degree water
[01:42:42.840 --> 01:42:44.920]   I know it does in celsius and fahrenheit like
[01:42:44.920 --> 01:42:49.480]   1973 degree water and it was just for the exact amount for you
[01:42:49.480 --> 01:42:51.800]   Yeah, and again, like these are the first generations
[01:42:51.800 --> 01:42:55.400]   They probably don't have the longevity that will eventually have with these products
[01:42:55.400 --> 01:42:57.800]   Um, but just that we have this stuff now
[01:42:58.360 --> 01:43:01.000]   Yeah, yeah, mommy potty warm hot don't have to touch it
[01:43:01.000 --> 01:43:06.040]   Uh, hey, hey device, uh flush toilet seat down wall
[01:43:06.040 --> 01:43:12.920]   So wash my buttocks you could actually work out in your shower with all this nonsense
[01:43:12.920 --> 01:43:16.200]   It's just this is the future leo and it's coming soon
[01:43:16.200 --> 01:43:19.880]   I already saw the future ever been in airport bathroom where none of the
[01:43:19.880 --> 01:43:26.600]   Hand activated devices work. You can't turn on a faucet. You can't get soap. You can't get towels
[01:43:27.000 --> 01:43:29.720]   Nothing works the internet is down. You can't shower
[01:43:29.720 --> 01:43:33.560]   I've seen the future and it's got some problems
[01:43:33.560 --> 01:43:37.880]   I think all this stuff is manual though too. So you can go full on galactica if you want to
[01:43:37.880 --> 01:43:40.840]   But it'd be nice like in the morning you wake up and you say shower
[01:43:40.840 --> 01:43:45.320]   You know shower 20 degrees or whatever again, whatever it is in fahrenheit 23 countries that use it
[01:43:45.320 --> 01:43:47.160]   I can't I can't understand anymore leo
[01:43:47.160 --> 01:43:51.320]   But uh, but it would be nice when this stuff begins preempt like it knows that when you wake up
[01:43:51.320 --> 01:43:54.760]   And as soon as it detects your phone lifting it knows you're awake
[01:43:54.760 --> 01:43:56.760]   You're gonna want to shower and it turns it on for you
[01:43:56.760 --> 01:43:58.920]   And it turns the lights on and starts brewing the coffee
[01:43:58.920 --> 01:44:04.920]   And it just starts helping like the predictive execution stuff that we're getting it would just we're getting one step closer to that
[01:44:04.920 --> 01:44:09.080]   I can see this happening. I can and I wouldn't mind it
[01:44:09.080 --> 01:44:11.720]   The connected pooper as long as it works
[01:44:11.720 --> 01:44:16.280]   Because I also can see a vision where the batteries are down and everything
[01:44:16.280 --> 01:44:21.720]   You gotta go on there. I can't I just I've just I've just got great advice for apple
[01:44:21.800 --> 01:44:24.600]   Okay, we we talked about how syree seems to have fallen behind
[01:44:24.600 --> 01:44:29.960]   With here is how they they reclaim all of that and then take a lead that no one can match them
[01:44:29.960 --> 01:44:32.760]   Stephen friday is a big fan of apple things
[01:44:32.760 --> 01:44:36.760]   You have steven friday in his jeeps voice for all this whole automation stuff
[01:44:36.760 --> 01:44:40.120]   So you're a bathmulter is at the appropriate temperature
[01:44:40.120 --> 01:44:42.920]   Oh, he's Jarvis. Even friday is Jarvis
[01:44:42.920 --> 01:44:46.760]   You've you've seen the steven friday alarm clock, right?
[01:44:46.760 --> 01:44:49.000]   Yes, I have I own the steven friday
[01:44:49.000 --> 01:44:51.000]   Do you I'm so jealous
[01:44:51.160 --> 01:44:53.160]   I would love I would love to
[01:44:53.160 --> 01:45:01.320]   Why would you use the bird setting?
[01:45:01.320 --> 01:45:05.000]   Why would you use me madam your horoscope?
[01:45:05.000 --> 01:45:12.040]   Advises a demonstration of courage in the face of adverse circumstances very good madam
[01:45:12.040 --> 01:45:19.640]   I just feel like I want steven friday wake me up in the morning
[01:45:19.960 --> 01:45:21.960]   I
[01:45:21.960 --> 01:45:29.160]   Don't have a pick we gotta get my pick is let's get going to security now because steve wants to talk all about meltdown inspector and
[01:45:29.160 --> 01:45:35.480]   Running running a little bit late run a little bit late. So let's wrap this puppy up
[01:45:35.480 --> 01:45:42.200]   We do mac break weekly right after ios today because it's kind of like a they both go together right like peanut butter and jelly
[01:45:42.200 --> 01:45:44.600]   You can tune in nine a.m
[01:45:44.600 --> 01:45:47.560]   Pacific time noon eastern
[01:45:48.120 --> 01:45:55.240]   That's uh, 1700 utc to start your day with ios today following immediately after generally around we try we shoot for 11 am pacific
[01:45:55.240 --> 01:45:56.840]   2 p.m. Eastern
[01:45:56.840 --> 01:46:02.600]   1800 utc for mac break weekly that's every tuesday you can watch live at twit.tv/live
[01:46:02.600 --> 01:46:08.280]   Join us in the chatroom at irc. twit.tv. There's somebody there all the time 24/7 I go in there
[01:46:08.280 --> 01:46:13.000]   Middle of the night. There's people chatting in there. It's a lot of fun in the evenings. They have a music
[01:46:14.280 --> 01:46:22.040]   They have a dj it's great. It's a party irc. twit.tv. Yeah, no, i'm not kidding dale poco. It's called poco radio. It's a kids wild
[01:46:22.040 --> 01:46:24.440]   um if you can't watch live
[01:46:24.440 --> 01:46:30.040]   And by the way, you you are invited to visit us in the studio, but we do ask that you email us first
[01:46:30.040 --> 01:46:34.520]   We don't like surprises tickets at twit.tv and let us know you're coming
[01:46:34.520 --> 01:46:40.120]   We'll be glad to have you visit us in the studio watch the show live if you want pose for a picture afterwards if you like
[01:46:40.520 --> 01:46:47.560]   But if you can't do any of that on-demand audio and video of everything we do available at our website twit.tv in this case twit.tv/m
[01:46:47.560 --> 01:46:49.560]   B w
[01:46:49.560 --> 01:46:55.800]   And of course you probably use overcasts or pocket casts or apples podcast app. You just subscribe in there
[01:46:55.800 --> 01:46:59.640]   And you will get your very own
[01:46:59.640 --> 01:47:02.280]   copy
[01:47:02.280 --> 01:47:08.760]   Automatically delivered piping hot and fresh to your device so you can listen at your leisure
[01:47:09.400 --> 01:47:14.200]   Thank you for being here now. It's time to get back to work because guess what break time is over
[01:47:14.200 --> 01:47:17.000]   Bye
[01:47:17.000 --> 01:47:19.000]   You
[01:47:19.000 --> 01:47:21.000]   You
[01:47:21.000 --> 01:47:23.580]   (upbeat music)
[01:47:23.580 --> 01:47:26.160]   (upbeat music)

