
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[00:22:47.520 --> 00:22:52.800]   You can never say bulletproof with anything that server side, but that it really understands deep deep context
[00:22:52.800 --> 00:22:54.080]   um
[00:22:54.080 --> 00:22:58.160]   And metadata and information about music and it'll be really like a first class
[00:22:58.720 --> 00:23:01.920]   Musical assistant and they've added home kit functionality to it
[00:23:01.920 --> 00:23:07.760]   But I think that's sort of stage two and this is going to be as as is often the case with apple and iterative process where
[00:23:07.760 --> 00:23:12.400]   You know like apple watch version one lea we talked about this many many times compared to where it is now
[00:23:12.400 --> 00:23:15.760]   I think we'll see home pod as sort of apple's first step into this
[00:23:15.760 --> 00:23:20.720]   Do you see it's out to a range of bigger and smaller speakers is google and amazon have done
[00:23:20.720 --> 00:23:27.280]   I don't I don't know how much will do I think they'll bring something in underneath because I think there's a large umbrella
[00:23:27.440 --> 00:23:31.120]   Underneath 350 dollars for a speaker and there's room to have something there
[00:23:31.120 --> 00:23:38.240]   But I also think they'll iterate quickly on this and maybe we'll get series two and series one home pod next and the cheaper will be series one
[00:23:38.240 --> 00:23:40.960]   But also they'll like there's like the syri kit right now is
[00:23:40.960 --> 00:23:45.680]   Very bare bones like it'll do some things but it won't do ride sharing for example
[00:23:45.680 --> 00:23:49.360]   It'll do things like you can use messenger apps you can tell I can say what's app andy
[00:23:49.360 --> 00:23:56.000]   Blah blah blah and it'll do that for me fine so it'll integrate with all messaging apps, but it doesn't have a very wide range of integrations
[00:23:56.000 --> 00:24:02.080]   What is the support for this? This is this is the syri kit that uh, yes apple wants third parties to adopt
[00:24:02.080 --> 00:24:06.400]   What is what is the support for this look like? Are there a lot of syri kit apps now?
[00:24:06.400 --> 00:24:14.720]   Not so far so apple has a very different approach to amazon and they both have pros and cons amazon's let them do incredibly rapid deployment
[00:24:14.720 --> 00:24:16.400]   but uh
[00:24:16.400 --> 00:24:21.520]   Brian ramelli who's really good at voice first that had a good analogy said like if you got in first with pizza
[00:24:21.680 --> 00:24:30.560]   Too bad if your dominoes are pizza because that first developer owns pizza on a lexin and that's going to be something that amazon has effects eventually apple is building these things out very slowly
[00:24:30.560 --> 00:24:38.160]   um and doing a lot of uh contextual domain knowledge on them, but it's probably too slowly because as far as I know there's like there's todo's it'll
[00:24:38.160 --> 00:24:46.000]   I don't integrate with things like omni focus and things and there's uh messaging so it'll integrate with things like skype and what's app and
[00:24:46.000 --> 00:24:48.720]   You know all the different in addition to iMessage
[00:24:49.120 --> 00:24:55.520]   It says in their in their PR. It says syri kit messaging lists and notes and notes and that's it
[00:24:55.520 --> 00:25:00.400]   So that really needs music like you couldn't make a restaurant reservation. You couldn't
[00:25:00.400 --> 00:25:06.080]   Not yet. No. Yeah, it's going to be fairly limited. Although I suspect messaging lists and notes covers
[00:25:06.080 --> 00:25:09.040]   Mostly use cases even people with amazon echoes
[00:25:09.040 --> 00:25:13.840]   Uh, they said timers. I mean, that's what we saw the data and you can set a timer on this right? I mean
[00:25:14.160 --> 00:25:18.400]   Yeah, set timers play music all the basics of if you're an apple music user
[00:25:18.400 --> 00:25:22.640]   This is definitely the right choice for you because of the direct integration apple music
[00:25:22.640 --> 00:25:27.440]   Yeah, and there's some confusing language and they'll have to follow up on too about your iTunes library that i'm not clear
[00:25:27.440 --> 00:25:31.680]   That's just like iTunes in the cloud. So if you if you do pay for iTunes in the cloud
[00:25:31.680 --> 00:25:34.320]   I have to figure out exactly what they mean by that
[00:25:34.320 --> 00:25:36.320]   But if just from pure apple music context
[00:25:36.320 --> 00:25:41.120]   It's basically you ask syri for a song and if that song is in the apple and the nice thing about it
[00:25:41.120 --> 00:25:44.160]   So if I run uh apple's music match technology
[00:25:44.160 --> 00:25:47.360]   Would that mean that my entire library?
[00:25:47.360 --> 00:25:49.040]   That's not clear to me. I want to find that out
[00:25:49.040 --> 00:25:53.760]   But if you say for example play smooth criminal by by michael jacks or by alien ad farm or by glee
[00:25:53.760 --> 00:25:59.360]   You'll get whatever version the song you want and you can ask for it in different ways and based on you know top charts and
[00:25:59.360 --> 00:26:07.120]   A vast array of different uh metrics. Actually, i'm looking at the examples in the syri kit syri kit's much more capable
[00:26:07.760 --> 00:26:12.480]   Than the limited stuff. It's gonna allow the home pod to do you can make a voice call you can get rides
[00:26:12.480 --> 00:26:15.040]   But that does my heart to see that stuff's all coming is just
[00:26:15.040 --> 00:26:20.560]   To get here that's a that's a so don't be fooled by the stuff you can do with syri on the smartphone
[00:26:20.560 --> 00:26:25.600]   It's it isn't the same as on the home pod. It's not it's not that full syri kit integration
[00:26:25.600 --> 00:26:30.400]   From the problems that he you never know which platform syri can do what on and that has to be fixed because if you can't rely on a
[00:26:30.400 --> 00:26:32.240]   Technology to be there you won't use it
[00:26:32.400 --> 00:26:37.840]   That's that's why i think that apple is really making making their smart speaker perfect for apple
[00:26:37.840 --> 00:26:41.920]   Meaning that this is why they really not trying to identify it as a smart speaker
[00:26:41.920 --> 00:26:44.000]   They're trying to say a mat look how great
[00:26:44.000 --> 00:26:50.800]   Listen to how great this sound is and listen to how great this will be for listening to apple music on if they were trying to
[00:26:50.800 --> 00:26:53.440]   advertise it market at the way that
[00:26:53.440 --> 00:26:58.000]   Google advertises google home or amazon does ali osha
[00:26:58.560 --> 00:27:05.040]   They would it's sort of like the same reason why they didn't try to sell the ipad as a notebook because that makes people say
[00:27:05.040 --> 00:27:09.120]   Well, why isn't there a usb port? Why isn't there a keyboard? Why isn't there a printer port?
[00:27:09.120 --> 00:27:14.480]   Why isn't there a networking port if you say this is a really wonderful speaker that responds to voice commands
[00:27:14.480 --> 00:27:22.000]   They can then have people listen to an echo speaker next to this speaker and say wow this really kicks amazon's butt that way
[00:27:22.000 --> 00:27:28.400]   But that that would rene brought up is exactly what i was trying i've been trying to figure out over the past 24 hours
[00:27:28.960 --> 00:27:29.920]   like uh
[00:27:29.920 --> 00:27:36.080]   if uh, if uh, I have I do I do have an apple music account but pretty much just for research
[00:27:36.080 --> 00:27:41.520]   All my music is on a server or it's stuff that the stuff i'm using uh, iTunes match for
[00:27:41.520 --> 00:27:47.760]   This would really not be a this would be a lesser return on a 350 dollar investment
[00:27:47.760 --> 00:27:49.600]   If it's awesome
[00:27:49.600 --> 00:27:56.320]   If if the only way that it will do what I would expect it to do with voice commands and music is if i have a subscription to apple music
[00:27:56.320 --> 00:28:02.800]   If it can't if it can't you know give me uh tracks from this album, which is not on apple music at all
[00:28:02.800 --> 00:28:04.800]   uh, then
[00:28:04.800 --> 00:28:06.800]   It's not useless, but
[00:28:06.800 --> 00:28:13.840]   You you you you want you you're sort of asking me to ask you how come these other people that aren't
[00:28:13.840 --> 00:28:18.640]   You have as much money in the bank as you do apple configure this out, but somehow you can't
[00:28:18.640 --> 00:28:23.280]   So there's gonna be a lot of there's gonna be a lot of people on front of the the day that
[00:28:23.920 --> 00:28:27.200]   Homepods chip who are writing about this stuff who are just going to be
[00:28:27.200 --> 00:28:33.360]   Trying to find every piece of music they have that is not on apple music to see if they can do anything with it
[00:28:33.360 --> 00:28:35.840]   it'll it'll almost certainly work with airplay, but
[00:28:35.840 --> 00:28:42.000]   Then we get the problem. I'm if music has an airplay speaker. I can now buy google home x
[00:28:42.000 --> 00:28:45.840]   Uh speaker instead because that will still that will still chromecast
[00:28:45.840 --> 00:28:48.560]   It's hard to find stuff
[00:28:48.560 --> 00:28:51.120]   Music apple music has a pretty good
[00:28:51.520 --> 00:28:56.080]   Pretty but you know like the the andy and jim dal rumble problem is I have my like I want the third
[00:28:56.080 --> 00:29:01.840]   Oz life track that I but the new problem is that it's like the first something people asked is why doesn't it work with
[00:29:01.840 --> 00:29:07.680]   Spotify because a lot of people these day like some people they just don't have they never bought stuff on itunes
[00:29:07.680 --> 00:29:10.240]   They're not gonna start now. They never bought cd's not gonna start now
[00:29:10.240 --> 00:29:15.200]   Their entire life has been just streaming stuff, but they've already they already have a relationship with a specific service
[00:29:15.200 --> 00:29:20.000]   And they want that service and we don't have syri kit yet for podcasts
[00:29:20.240 --> 00:29:25.200]   Like it'll do apple podcast, but like if you prefer a different client like pocket cast or overcast or something
[00:29:25.200 --> 00:29:26.560]   I won't like
[00:29:26.560 --> 00:29:29.520]   Well, what's the audible support gonna be because I want to listen to those books
[00:29:29.520 --> 00:29:35.200]   Um, it's almost I can tell you like it's almost certainly it will not support
[00:29:35.200 --> 00:29:40.640]   But it I mean at some point syri kit has to be open to audio sources. It's just it's such a obvious
[00:29:40.640 --> 00:29:43.040]   You know google. I can't play my audiobooks either
[00:29:43.040 --> 00:29:45.680]   They've actually just opened their own audiobook store
[00:29:47.360 --> 00:29:51.040]   Right. Yeah, I suspect you and apple does sell audiobooks
[00:29:51.040 --> 00:29:55.680]   From audible on itunes, but that's different and just because you own it on
[00:29:55.680 --> 00:29:56.800]   Onable doesn't you can airplane it?
