
[00:00:00.000 --> 00:00:05.400]   It's time for Mac break weekly Renee and Andy and Alex are all here and of course
[01:32:26.000 --> 01:32:29.680]   There is mine fell out
[01:32:29.680 --> 01:32:37.600]   What does that do and boy need it? I think it just keeps the the the screen away from the oh, it's a protective
[01:32:38.320 --> 01:32:42.480]   Yeah, it's just there to protect it. It's just keep an eye on that the keys so you don't end up with
[01:32:42.480 --> 01:32:48.800]   Yeah, I've had mine for more than a year and it's it's falling out. So I guess okay. Yeah, we're both using them. Yeah, yeah
[01:32:48.800 --> 01:32:52.720]   I love this the nice thing about this. Here's what I like about it is what I don't like about it
[01:32:52.720 --> 01:32:53.520]   You can't use it in your lap
[01:32:53.520 --> 01:32:59.120]   So if you want to use it in your lap don't complain when you buy it after I said something because you can't you can't use it in your lap
[01:32:59.120 --> 01:33:02.960]   But you can put it on anything that you'd like you know because it's got this little kickstand on the back
[01:33:02.960 --> 01:33:08.080]   so you can pop this little kickstand opened love it and um and you can set it set it down
[01:33:08.240 --> 01:33:11.600]   And what's nice is if you're on a plane, which I'm often on a plane
[01:33:11.600 --> 01:33:17.040]   Uh, you can tear off your keyboard and then just set this down and and watch it
[01:33:17.040 --> 01:33:23.200]   Um, so it's nice that way also if you're gonna draw on it and I probably draw on my i've had more than anything else I do
[01:33:23.200 --> 01:33:28.400]   Um, it's kind of where I sketch out ideas and then they go that keynote ideas then they go into something else
[01:33:28.400 --> 01:33:31.520]   And being able to rip that off and just start working on it is great
[01:33:31.520 --> 01:33:36.160]   But I do like having the keyboard and I do like having the protection so so the um
[01:33:36.640 --> 01:33:42.640]   Uh, I I it took me a little while because I was like, I don't know if I'm gonna like the fact that I can't put it on my on my because I have my other
[01:33:42.640 --> 01:33:48.720]   iPad cases all let you you can just open them up and and actually type on them like they're a laptop
[01:33:48.720 --> 01:33:54.400]   And um, so what I really do like also is this being able to put my my pencil somewhere
[01:33:54.400 --> 01:34:00.480]   And yes, I lost a little thing on the end. Who whoever leo did you do you still have this little bit? Yeah, this little bit. Yeah, I do
[01:34:00.480 --> 01:34:03.680]   Wow, that's impressive. That's pretty good. I lose them
[01:34:04.640 --> 01:34:09.600]   I lose them very quickly. Yeah, but uh, but I was losing my pencils and I and I
[01:34:09.600 --> 01:34:11.920]   Because I never use my pencil so I
[01:34:11.920 --> 01:34:14.720]   Oh, see I use it all the time
[01:34:14.720 --> 01:34:20.400]   Well, and and I for a while I was using Andy's idea, which was I got chopstick holders a chopstick case
[01:34:20.400 --> 01:34:24.800]   And I had I had some in there, but then it just it was just much easier to have it right here
[01:34:24.800 --> 01:34:31.280]   So, um anyway, so that's it. It's uh, it's good inside of that caveat. You can't put it on your lap anything else
[01:34:31.360 --> 01:34:37.600]   It's it's it's a it's a great case and and I like it and don't buy it until you get your iPad because obviously the next generation
[01:34:37.600 --> 01:34:41.600]   iPad won't fit this case. You didn't mention back like keys, which is huge
[01:34:41.600 --> 01:34:46.480]   It is backlit. It's it's a great. It's actually a relatively comfortable thing to type on. I love it
[01:34:46.480 --> 01:34:47.520]   I
[01:34:47.520 --> 01:34:52.560]   It was part of me really experimenting with what I wanted to do as as far as not taking my laptop home every day
[01:34:52.560 --> 01:34:55.680]   Um trying to leave it there so that when I get up in the morning and having tea
[01:34:55.680 --> 01:34:59.040]   I can still respond to things and and work on stuff, but I don't
[01:34:59.680 --> 01:35:05.520]   Have to lug the the truck home, you know, every every time and so it's uh, and it's been it's been great that way
[01:35:05.520 --> 01:35:09.200]   I a lot of times I get up in the morning and I'm I have to build a lot of presentations and keynote
[01:35:09.200 --> 01:35:14.320]   And so I get on I get on this guy and I sit there and sketch out my presentations that I have to do that day
[01:35:14.320 --> 01:35:19.040]   And then I just leave it on iCloud the iCloud works. I mean, so that's a whole nother thing
[01:35:19.040 --> 01:35:25.280]   But leave it on iCloud come into the office open up my laptop and build out the keynote doc and so it's it's a
[01:35:25.280 --> 01:35:27.840]   It's it's it's a good. It's a good mix
[01:35:28.240 --> 01:35:33.840]   I love it. I'm taking it on my trip and this is quite beat up now because I've had it since I got the 10.5
[01:35:33.840 --> 01:35:38.640]   And I'm almost certainly gonna buy another one if I get a new iPad because it really is yeah
[01:35:38.640 --> 01:35:41.920]   I wish it, you know, it's a little this is a little wobbly
[01:35:41.920 --> 01:35:47.840]   It is it doesn't grab right on yeah, and so it slides off a little bit and you know and stuff
[01:35:47.840 --> 01:35:51.120]   But it's so it's not the greatest case in terms of protection
[01:35:51.120 --> 01:35:55.600]   But it's still compact and I just slide that my backpack and I have that on the plane and I love it
[01:35:55.760 --> 01:36:01.520]   Yeah, yeah, but let's let's let's let's ping back to what Renee was talking about with his iPhone case
[01:36:01.520 --> 01:36:08.800]   I really really wish that more like tablet cases were made of like a really nice leather because I'm kind of tired of having to
[01:36:08.800 --> 01:36:12.640]   It's they're they're inexpensive and it's fine. So fine
[01:36:12.640 --> 01:36:15.440]   So after about six months or a year you throw it away and get another one
[01:36:15.440 --> 01:36:20.400]   But I really really want my iPad which is a device that I use almost every single day
[01:36:20.400 --> 01:36:22.160]   And as always in my hands when I leave the house
[01:36:22.560 --> 01:36:29.600]   I wanted to have that sort of patina and that sort of where the the my the oil of my fingers has interacted with the leather and
[01:36:29.600 --> 01:36:31.840]   Made these really deep rich patterns and
[01:36:31.840 --> 01:36:37.040]   It starts looking like as Renee so aptly say in jeanne johns's bull whip after after time
[01:36:37.040 --> 01:36:40.240]   You really what you really like the street cred of being able to say this
[01:36:40.240 --> 01:36:47.920]   My iPad has been places and done things man. This is not this I didn't just I didn't win it in a in a real estate
[01:36:47.920 --> 01:36:52.320]   Real estate sales competition. This is my constant companion for the past three years
[01:36:52.400 --> 01:36:53.840]   inseparable
[01:36:53.840 --> 01:36:56.160]   Yeah, this has this is aggressively plastic
[01:36:56.160 --> 01:36:58.960]   Yeah, unfortunately
[01:36:58.960 --> 01:37:01.280]   On the other hand, it's rigid enough and yeah, I don't know
[01:37:01.280 --> 01:37:07.280]   I am I am going as you know a way you guys will be hosting the show for the next three weeks
[01:37:07.280 --> 01:37:13.120]   Uh tomorrow I get on a plane to bar cilona then on a boat sailing around the western mediterranean jealous
[01:37:13.120 --> 01:37:18.320]   I am so excited rough life and you won't be able to see my pictures on instagram
[01:37:19.200 --> 01:37:24.320]   Uh because I've deactivated my account or on facebook because I've deactivated my account even twitter now
[01:37:24.320 --> 01:37:27.440]   I've locked up because I decided I'm gonna go private. I'm done
[01:37:27.440 --> 01:37:35.520]   I have enough. I don't want it. So I decided here, but you know, I know my family. Oh, we deservedly. Oh, I know
[01:37:35.520 --> 01:37:40.160]   My uh my family wants to see pictures
[01:37:40.160 --> 01:37:43.120]   Probably a lot more than anybody else did anyway
[01:37:43.120 --> 01:37:47.440]   So what i'm gonna use is and now we've plugged this before and bill Atkinson was here last week
[01:37:47.440 --> 01:37:51.600]   Because I mentioned he'll be here again on friday for the second part of that interview on triangulation
[01:37:51.600 --> 01:37:56.000]   But he wrote photo card bill made the most amazing app
[01:37:56.000 --> 01:37:59.520]   And I this is what I decided to do is and i've never done this
[01:37:59.520 --> 01:38:02.000]   I thought this is about time I did this with photo card
[01:38:02.000 --> 01:38:07.920]   You could take the pictures that you take from your trip whatever, you know, you choose and i'm gonna do i'm gonna try to do one a day
[01:38:07.920 --> 01:38:10.640]   Put those pictures on a beautiful
[01:38:10.640 --> 01:38:15.280]   Postcard that's about the size of a half and eight and a half and by an 11 inch page and then the other side
[01:38:15.760 --> 01:38:21.040]   Write a little message. This is the message i'm gonna send to my family saying hey, we're about to sit on a trip get ready
[01:38:21.040 --> 01:38:23.280]   We're gonna get you're gonna get a postcard every day
[01:38:23.280 --> 01:38:26.080]   It take bill mails them himself
[01:38:26.080 --> 01:38:30.320]   So it takes a few days that you you know
[01:38:30.320 --> 01:38:36.000]   I'll mail this from wherever I am email this from wherever I am and actually you see i have seven addresses so I can do a mailing list
[01:38:36.000 --> 01:38:39.840]   And then bill prints them out in uh in silicon valley
[01:38:40.560 --> 01:38:44.000]   Prints them beautifully they're laminated and everything and then mails them out
[01:38:44.000 --> 01:38:47.440]   So they'll be mailed from the united states not from wherever we are in europe
[01:38:47.440 --> 01:38:50.160]   That's a little bit of a disadvantage, but on the other hand
[01:38:50.160 --> 01:38:54.400]   Uh it comes faster so it'll take about five days after I start tomorrow
[01:38:54.400 --> 01:38:57.920]   Before they start arriving, but i'm gonna send a postcard every day to family and friends
[01:38:57.920 --> 01:39:01.840]   And if you're interested we we've used these before for our twit christmas cards
[01:39:01.840 --> 01:39:05.040]   Um that they're just it's a fantastic
[01:39:05.040 --> 01:39:09.840]   App it's free cost about a buck 50 to send one of these you buy credits
[01:39:10.480 --> 01:39:15.680]   uh bill sells the credits and then you use two credits for a domestic
[01:39:15.680 --> 01:39:22.880]   Uh card and three credits to send it internationally and then how much the credit uh cost depend on how many you buy
[01:39:22.880 --> 01:39:25.120]   But uh, it's roughly 75 cents a credit
[01:39:25.120 --> 01:39:28.560]   So this is so about about a buck 50 to mail really love this app
[01:39:28.560 --> 01:39:33.440]   So this is uh, and if you guys want to be on the mailing list, just let me know and i'll i'll send you a
[01:39:33.440 --> 01:39:38.320]   A card as well because I think i'm just trying the old-fashioned way
[01:39:38.960 --> 01:39:44.560]   Sort of old-fashioned. Yeah, yeah, i've actually sending postcards from my trip instead of posting it all on instagram
[01:39:44.560 --> 01:39:47.360]   Now if I had pictures of mermaids that might be different
[01:39:47.360 --> 01:39:54.720]   Follow Andy and ico he is at ih natko.com you'll also find his flicker
[01:39:54.720 --> 01:40:00.880]   Group at andi his instagram at in notco his twitter at an notco
[01:40:00.880 --> 01:40:03.600]   He's got lots of great stuff
[01:40:03.600 --> 01:40:07.040]   Damn it's someone beat me to an not go on and flicker i'd take the andi
[01:40:08.000 --> 01:40:09.760]   Who else has an ico?
[01:40:09.760 --> 01:40:14.960]   No, no i'm joking. It was i was just i was an early enough flicker user that was also that was old
[01:40:14.960 --> 01:40:20.400]   That was back in the day when i tried to get andi everywhere before realizing that that was a fool's errand and that i'm
[01:40:20.400 --> 01:40:23.840]   That's it's more important to get the and not go. Yeah, yeah
[01:40:23.840 --> 01:40:31.120]   Um, thank you so much for being here mr. Alex lindsay follow him on twitter at a l ex
[01:40:31.120 --> 01:40:33.920]   l-i-n-d-s-a-y
[01:40:33.920 --> 01:40:35.920]   and uh
[01:40:35.920 --> 01:40:37.920]   You'll tell you what's going on?
[01:40:38.080 --> 01:40:40.080]   I uh, I um
[01:40:40.080 --> 01:40:44.160]   I'm starting to try to use instagram more so i'm going the other direction lio i'm i'm
[01:40:44.160 --> 01:40:51.760]   Posting more things being less private because i don't have as many secret things to do and uh, and then i've heard of this thing called snapchat
[01:40:51.760 --> 01:40:54.400]   That i might actually try here. It's the kids like it
[01:40:54.400 --> 01:41:00.560]   So if you search for me you might be able to find that and then uh, you're going the opposite way of for me
[01:41:00.560 --> 01:41:03.600]   Yeah, exactly i'm going completely the opposite the
[01:41:03.600 --> 01:41:06.560]   uh, the
[01:41:06.800 --> 01:41:09.600]   We it took a took us a little while to figure out how we were going to use patreon
[01:41:09.600 --> 01:41:11.680]   But patreon is really my rnd group
[01:41:11.680 --> 01:41:16.560]   So if you go if you go there you see me testing all of our training apparatuses and i'm you know
[01:41:16.560 --> 01:41:20.320]   i'll talk about video and it's and andi and i are having discussions
[01:41:20.320 --> 01:41:21.440]   on
[01:41:21.440 --> 01:41:26.800]   On the patreon thing as we try to figure out if we want to do something that's a ship that looks like a show and so if you um,
[01:41:26.800 --> 01:41:29.200]   if you uh
[01:41:29.200 --> 01:41:33.280]   If you want to be part of that it's you can go to the patreon slash pixacore
[01:41:33.280 --> 01:41:35.920]   um, and uh, it's pretty it's pretty cheap
[01:41:36.480 --> 01:41:42.800]   And uh, it's it's mostly there. It's just like the group that i kind of test things with so um, anyway if you're interested
[01:41:42.800 --> 01:41:44.800]   uh, come check us out
[01:41:44.800 --> 01:41:48.000]   Very nice and i'm more.com to read rene richies
[01:41:48.000 --> 01:41:50.800]   tribute to tim cook
[01:41:50.800 --> 01:41:54.000]   Follow him on vector to i'm more.com slash vector his podcast
[01:41:54.000 --> 01:41:59.280]   And uh, he's going to go out in the 40 degree weather and chase pokemon now
[01:41:59.280 --> 01:42:03.440]   The event ended an hour ago leo i'm going to stay here and work on on my next video
[01:42:04.480 --> 01:42:07.920]   Thank god in the air condition in the air conditioning in the nice chill
[01:42:07.920 --> 01:42:13.200]   I'm word.com slash because i saw last week it didn't work, but we fixed it so i'm more.com slash vectors should be working again for you
[01:42:13.200 --> 01:42:13.920]   Oh
[01:42:13.920 --> 01:42:18.960]   Yikes. Yeah, I mean, I've been using that address yikes. Well, it was just it was down last show. I don't know why
[01:42:18.960 --> 01:42:23.520]   Oh, we fixed it right away. I saw it like what's going on here. Uh, internet aliasing is so hard
[01:42:23.520 --> 01:42:30.000]   Thank you rene. Thank you, andi. Thank you, uh, Alex. Uh, I will see you in a few weeks
[01:42:30.000 --> 01:42:32.480]   Have a good one. Tell us
[01:42:32.480 --> 01:42:37.120]   Thank you all for being here if you want to join us in studio at a nice studio audience a family was here and left
[01:42:37.120 --> 01:42:41.440]   I think they were the vontrap family. The balloon was out there. I'm not sure but they had to run
[01:42:41.440 --> 01:42:46.000]   Did they sing they were singing on the way out good night good night. Oh vidos
[01:42:46.000 --> 01:42:49.920]   Uh, but thanks to lucas and new jean who are also here. Thanks to uh
[01:42:49.920 --> 01:42:57.600]   The uh, oh, yeah, it was the van trap helton family. They were here briefly and uh, if you want to be in studio
[01:42:57.600 --> 01:43:00.720]   Just email tickets at twit dot tv
[01:43:01.920 --> 01:43:06.240]   Tickets at twit dot tv will put a chair out for you. You can also watch our live stream twit dot tv slash
[01:43:06.240 --> 01:43:10.880]   live if you do that be in the chatroom and irc dot twits dot tv
[01:43:10.880 --> 01:43:13.680]   And have much fun
[01:43:13.680 --> 01:43:15.920]   Much much fun in the chat room
[01:43:15.920 --> 01:43:19.920]   Now if you don't want to watch live because you know because you have a life or something
[01:43:19.920 --> 01:43:25.920]   You can always get on demand versions of the show at twit dot tv slash m b w short for mac break weekly
[01:43:25.920 --> 01:43:28.640]   Or subscribe in your favorite podcatcher
[01:43:29.440 --> 01:43:31.440]   And uh, you'll get it automatically when it ships
[01:43:31.440 --> 01:43:37.680]   Right after the show which we do the show tuesday's right about 11 am pacific 2 pm eastern 1800 utc
[01:43:37.680 --> 01:43:41.920]   So you could expect it, uh, you know about four or five hours after that as the editors
[01:43:41.920 --> 01:43:50.000]   Turned through all the profanities and eliminate thank you so much for being here now back to work has break time
[01:43:50.000 --> 01:43:52.800]   is over
[01:43:52.800 --> 01:43:54.800]   You
[01:43:54.800 --> 01:43:56.800]   You
[01:43:56.800 --> 01:43:58.800]   You
[01:43:58.800 --> 01:44:00.800]   You
[01:44:00.800 --> 01:44:03.380]   (upbeat music)
[01:44:03.380 --> 01:44:06.260]   [MUSIC PLAYING]

