;FFMETADATA1
title=One Nil to the Arsenal
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, Jason Snell
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-11-29
track=846
language=English
genre=Podcast
comment=Musk vs Apple, China, Manchester United
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.720]   It's time for Mac break weekly Jason Snell and Ian Oco Alex Lindsey are all here
[00:23:27.400 --> 00:23:33.880]   This is like um, you know one of those news round table shows. I feel like the question. Yeah. Yeah
[00:23:33.880 --> 00:23:37.080]   Question I say you're morten konfrocky
[00:23:37.080 --> 00:23:40.760]   Uh
[00:23:40.760 --> 00:23:45.000]   Anyway, let's take a break our show today brought I just have to tell you about my eight sleep
[00:23:45.080 --> 00:23:49.160]   I have to tell you about my eight sleep. It's brought to you today by eight sleep
[00:23:49.160 --> 00:23:52.440]   Which makes the most wizzy scientific
[00:23:52.440 --> 00:23:54.920]   Technol, I mean sometimes technology really
[00:23:54.920 --> 00:23:57.960]   It's home
[00:23:57.960 --> 00:24:00.280]   In the case of eight sleep, it hits my bed
[00:24:00.280 --> 00:24:05.720]   And it's incredible and the more I use it the more and we've had this now for almost a year
[00:24:05.720 --> 00:24:10.840]   The more I use it the more I think I don't know how I lived without it. What is eight sleep?
[00:24:11.000 --> 00:24:15.880]   It's a tech leak. We have the eight sleep pod, which you can get a mattress that does this too
[00:24:15.880 --> 00:24:18.280]   They they make a mattress. We just got the cover
[00:24:18.280 --> 00:24:22.200]   It's a tech layer that fits onto your mattress kind of like like a fitted sheet
[00:24:22.200 --> 00:24:26.920]   Uh wood and then you see that unit right there that that is feeding the pod
[00:24:26.920 --> 00:24:30.520]   And it uses it's liquid cooling it dynamically cools
[00:24:30.520 --> 00:24:34.520]   And heats this what's cool about it each side of the bed
[00:24:34.520 --> 00:24:37.640]   To maintain the optimal sleeping temperature for your
[00:24:38.200 --> 00:24:43.960]   Sleep for your body with the pod you can sleep as cool as 55 degrees and I can tell you that's chilly
[00:24:43.960 --> 00:24:47.160]   Or as hot as 110 degrees and I can tell you that's hot
[00:24:47.160 --> 00:24:50.040]   What's interesting is there are times you want both?
[00:24:50.040 --> 00:24:53.240]   This past summer when it got really hot like it was a hot, you know
[00:24:53.240 --> 00:24:57.240]   You hate those those sweltering nights, you know, you're sweaty and you can't cool off
[00:24:57.240 --> 00:25:02.040]   Then you got the fan on and you got the windows open and you still there's no way to get cool
[00:25:02.040 --> 00:25:03.480]   Imagine
[00:25:03.480 --> 00:25:07.000]   Getting in bed and it's cool. It's like an air-conditioned bed
[00:25:07.400 --> 00:25:11.880]   It feels so good and then as winter comes and now it's cold out
[00:25:11.880 --> 00:25:17.720]   I can turn my bed up. In fact when I get in bed now, it's nice and toasty. I love that
[00:25:17.720 --> 00:25:22.680]   It's it's kind of I don't have to turn on the air conditioning or the heating it saves me money
[00:25:22.680 --> 00:25:24.520]   It just changes the temperature on the bed
[00:25:24.520 --> 00:25:29.000]   But then it's more than that because they have a sleep doctor that monitors your movements
[00:25:29.000 --> 00:25:30.840]   The temperature of the room
[00:25:30.840 --> 00:25:36.840]   How deeply you're sleeping and it eases you into a deeper sleep and that's what really makes
[00:25:37.000 --> 00:25:42.760]   A difference clinical data shows that eight sleep users experience up to 34 more deep sleep
[00:25:42.760 --> 00:25:49.560]   If you're getting a half hour more deep sleep every night you wake up feeling great confident
[00:25:49.560 --> 00:25:57.800]   Your mind and body are moving through the restorative sleep stages vital for physical recovery hormone regulation mental clarity
[00:25:57.800 --> 00:26:03.480]   It's just awesome and because each side is different lisa has different temperatures than I do my wife
[00:26:04.040 --> 00:26:09.480]   Uh, we both sleep comfortably the only bad thing about the eight sleep is then when you stay at a hotel, which we did the other day
[00:26:09.480 --> 00:26:14.200]   It's like where's my eight sleep? This is the bed's all the same temperature. I don't like it
[00:26:14.200 --> 00:26:16.680]   Give me some arm blankets
[00:26:16.680 --> 00:26:20.440]   It's really fantastic if you've ever woken up in the middle of night too hot or too cold
[00:26:20.440 --> 00:26:23.960]   You're gonna want the eight sleep. It's not a holiday miracle
[00:26:23.960 --> 00:26:27.080]   Although it sounds like one if better sleep is on your wish list
[00:26:27.080 --> 00:26:33.160]   Look no farther than the new pod three. They just released it. We just ordered ours. I'm very excited
[00:26:33.640 --> 00:26:35.400]   For a limited time eight sleep is offering
[00:26:35.400 --> 00:26:41.080]   All of our listeners up to 400 dollars off the sleep fit holiday bundle
[00:26:41.080 --> 00:26:45.800]   That includes the pod cover. I was just telling you about one thing that we love so very much
[00:26:45.800 --> 00:26:51.960]   Go to eight sleep dot com slash twit to get the exclusive holiday savings eight sleep currently ships in the us
[00:26:51.960 --> 00:26:54.200]   Canada the uk
[00:26:54.200 --> 00:26:59.400]   So let countries in the eu and I know summers coming it's gonna be a hot one in australia starting to warm up already
[00:26:59.880 --> 00:27:03.800]   You need it too. So they ship down there too eight sleep dot com slash twit
[00:27:03.800 --> 00:27:07.400]   And if you're listening after tomorrow after November 30th
[00:27:07.400 --> 00:27:11.960]   This is only good today and tomorrow use the same url eight sleep dot com slash twit
[00:27:11.960 --> 00:27:16.680]   To check out the pod cover. I'm sure there will be other exclusive holiday savings
[00:27:16.680 --> 00:27:20.600]   And of course you can always save $150 to check out with our usual offer
[00:27:20.600 --> 00:27:25.560]   Eight but the key is that address eight sleep dot com slash twit for the best deal
[00:27:25.560 --> 00:27:28.840]   anytime eight sleep eight
[00:27:29.400 --> 00:27:36.040]   Sleep dot com slash twit. Thank you eight sleep. Thank you. Thank you. Thank you. Thank you for helping me get a great night
[00:27:36.040 --> 00:27:38.280]   sleep
[00:27:38.280 --> 00:27:40.280]   All right on we go
[00:27:40.280 --> 00:27:43.080]   China
[00:27:43.080 --> 00:27:45.080]   and I
[00:27:45.080 --> 00:27:50.520]   So complicated I our hearts uh go out to all the people who are
[00:27:50.520 --> 00:27:53.560]   So bravely standing up to president she
[00:27:53.560 --> 00:27:57.560]   To the chinese communist party say we want freedom. It was stimulated by
[00:27:58.120 --> 00:28:01.880]   Excessive lockdowns during covid, but there's been more the fox con plant
[00:28:01.880 --> 00:28:04.520]   Was offering a $1400
[00:28:04.520 --> 00:28:12.200]   Recruitment bonuses which they neglected to pay people protested they they exited on mass leading to a big show slowed down and
[00:28:12.200 --> 00:28:15.480]   iPhone production about a 30 percent production loss
[00:28:15.480 --> 00:28:18.760]   Um, they're holding up blank sheets of paper to show
[00:28:18.760 --> 00:28:21.320]   um, you know censorship
[00:28:21.320 --> 00:28:27.960]   Um, and what happens apparently I did not know this it happened. It's happened previously in china is airdrop is used
[00:28:28.600 --> 00:28:30.600]   For instance, they used it in hong kong
[00:28:30.600 --> 00:28:35.960]   For chinese nationals coming into hong kong they would airdrop them information
[00:28:35.960 --> 00:28:41.720]   People had not read because of censorship in china about the hong kong protests
[00:28:41.720 --> 00:28:45.160]   So they would airdrop them on mass to people in the trains
[00:28:45.160 --> 00:28:47.720]   Uh coming in
[00:28:47.720 --> 00:28:53.720]   And of course chinese 30s. How does that work like I was looking at that. I was like how do you I don't even know how to airdrop it to lots of people
[00:28:54.120 --> 00:28:58.360]   Well, it's the everyone thing right so you obviously have to do a onesie toosey
[00:28:58.360 --> 00:29:00.360]   But if you get a hundred
[00:29:00.360 --> 00:29:06.920]   Protesters, you know hundred activists standing in the train station and then just and they see people have their airdrop
[00:29:06.920 --> 00:29:12.520]   Open to everyone because it has to be open to everyone that will just send them the the protest materials boom boom boom boom boom
[00:29:12.520 --> 00:29:14.680]   Um
[00:29:14.680 --> 00:29:20.280]   Apparently was effective. I know i'm just going by reports out of hong kong and now out of mainland china
[00:29:20.760 --> 00:29:24.040]   apple is saying it says we're going to turn this off for everyone
[00:29:24.040 --> 00:29:31.400]   But they turn it off with 16 1 1 in china for chinese only phones earlier
[00:29:31.400 --> 00:29:34.040]   Uh this month
[00:29:34.040 --> 00:29:36.360]   I wonder how I wonder how that played out
[00:29:36.360 --> 00:29:42.760]   We've talked about this briefly last week. I know and I I said at the time that I think that this is a good idea because
[00:29:42.760 --> 00:29:49.240]   For it's a good default to have a a timeout a timeout period for
[00:29:49.880 --> 00:29:54.280]   A reasonable security thing. Yeah, right because you would you would turn it on not because hey
[00:29:54.280 --> 00:29:58.920]   I want complete strangers on the train to be able to just drop stuff with me on my phone anonymously
[00:29:58.920 --> 00:30:03.080]   You do it because you just you're in a group of people you want to swap some stuff and that's it
[00:30:03.080 --> 00:30:07.240]   So it is it is a smart thing, but I think that with apple's track record
[00:30:07.240 --> 00:30:11.800]   We really do have to ask is this a feature that maybe was on the back burner. Maybe was suggested
[00:30:11.800 --> 00:30:16.920]   Maybe it was on a whiteboard somewhere. Hey, maybe we should do that sometime and then there was a request that said
[00:30:17.000 --> 00:30:19.720]   Yeah, let's put this let's bump this up to number one priority
[00:30:19.720 --> 00:30:25.160]   Basically at the request of the chinese government, but we don't know and that's the problem. We don't have that smoking gun
[00:30:25.160 --> 00:30:30.920]   That apple does say it's going to come to every iphone later in a year
[00:30:30.920 --> 00:30:33.720]   sometime past year
[00:30:33.720 --> 00:30:39.960]   They did not trump it this change they said quote this up as usual this update
[00:30:39.960 --> 00:30:43.720]   Includes bug fix bug fixes and security updates is recommended for all users
[00:30:43.960 --> 00:30:50.280]   But it did come november 9th exactly a week before the protests started to really break out
[00:30:50.280 --> 00:30:57.080]   I don't know, you don't like it. I don't buy it. I mean the thing is is that it's again
[00:30:57.080 --> 00:31:01.400]   It's not they're not making up a new feature. It's a feature that they said that they were going to roll out
[00:31:01.400 --> 00:31:06.440]   Um, I also you know the the thing is is this happens all the time where they pick certain regions
[00:31:06.440 --> 00:31:12.040]   That are probably you know, and they just start testing it, you know on on those on those regions and and so on so forth
[00:31:12.120 --> 00:31:17.560]   I don't you know, how like how would you know that? I don't know thinking that the protests are going to be 10 a week away
[00:31:17.560 --> 00:31:19.560]   Maybe maybe you somehow knew that but I
[00:31:19.560 --> 00:31:24.200]   Like the attorney airdrop the governor probably knew it and said this is the said to apple
[00:31:24.200 --> 00:31:28.600]   Hey, turn that off now. We need I'd have to see I'd really have to see a smoking gun before I would
