;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[00:23:06.260 --> 00:23:10.280]   But early believers the people who are like even like at the first demo
[00:23:10.280 --> 00:23:14.120]   We were like oh, there's so much you could do with this concept
[00:23:14.120 --> 00:23:20.680]   This could be this could be like the sports car where if I just take all of this unnecessary weight off of this
[00:23:20.680 --> 00:23:25.800]   then this could be so much faster and so much efficient at this job that it's being designed to do and
[00:23:25.800 --> 00:23:29.760]   This is this is where it kind of drops the ball. It could really be
[00:23:30.520 --> 00:23:32.520]   Apple's version of a $600
[00:23:32.520 --> 00:23:35.000]   Windows Windows multi-touch notebook
[00:23:35.000 --> 00:23:42.680]   If it had if you if they could just sand over some of these sharp splinters that you get whenever you rub your hands over
[00:23:42.680 --> 00:23:46.320]   Oh in a way that Apple did not think that you are going to rub your hand over it
[00:23:46.320 --> 00:23:47.760]   I felt really
[00:23:47.760 --> 00:23:54.840]   belittled a little bit by apples new ads iPad your next computer is not a computer because honestly I feel just like these people
[00:23:54.840 --> 00:23:57.960]   There she is in the desk
[00:23:58.440 --> 00:24:00.600]   The printers the cables
[00:24:00.600 --> 00:24:05.360]   The wires
[00:24:05.360 --> 00:24:10.440]   And she looks out the window and there's somebody doing everything she ever wanted to do
[00:24:10.440 --> 00:24:13.080]   And I bet that's me actually right there
[00:24:13.080 --> 00:24:26.480]   Which is ironic because Apple is the dongle company that they're mocking right guys dongles, but okay
[00:24:27.920 --> 00:24:31.400]   See in a way apples cannibalizing their own audience for this aren't they?
[00:24:31.400 --> 00:24:35.600]   That's the idea you always said that
[00:24:35.600 --> 00:24:39.840]   Yeah, of course of course it's ironic that they're choosing a little mermaid a
[00:24:39.840 --> 00:24:46.320]   Girl who leapt into like an initially attractive situation without thinking things
[00:24:46.320 --> 00:24:49.600]   Royley screwed. Thank you Andy
[00:24:49.600 --> 00:24:53.680]   But she should have just bought a laptop like her dad the king's told
[00:24:56.320 --> 00:25:01.280]   The king of textual textural analysis mr. Andrew and not go
[00:25:01.280 --> 00:25:11.600]   My issue is that like even the finder is not good enough and like I'm hoping that this files finally has a little thing
[00:25:11.600 --> 00:25:17.120]   That spins around to tell me, you know the pro it has a progress circle finally right like every day every day
[00:25:17.120 --> 00:25:22.120]   I try to copy a hundred to 200 gigabyte files between my see fast or I see my CF
[00:25:22.640 --> 00:25:26.080]   Express card and my Mac and finally just goes you can't disconnect this
[00:25:26.080 --> 00:25:31.880]   I'm not disconnecting it nothing in space time has moved and then like the file slows down and then it reconnects and it just I
[00:25:31.880 --> 00:25:33.640]   Don't I don't want to see that anymore
[00:25:33.640 --> 00:25:37.440]   Like if that's not helpful to me because all you're doing is ruining my transaction
[00:25:37.440 --> 00:25:42.600]   I need a new system where you're peacefully in the background using all the great things about Apple file system
[00:25:42.600 --> 00:25:46.800]   Buffering it redundantly so that if there's any dislike connections reconnections
[00:25:46.800 --> 00:25:50.880]   I don't need to see that you just handle that like packet loss on the internet
[00:25:50.880 --> 00:25:55.080]   We have these wonderful technologies now. I demand better. They're both fine in the files that
[00:25:55.080 --> 00:25:59.800]   So tired of them just to make you feel better the situations no better in Windows
[00:25:59.800 --> 00:26:05.600]   It I don't know why it is but these explorer apps that are really kind of fundamental to an operating system that let you see
[00:26:05.600 --> 00:26:07.200]   What's on your hard drive?
[00:26:07.200 --> 00:26:14.440]   They're terrible. They're so inconsiderate and by the way on Linux - I'm thinking about the gnomes a nautilus
[00:26:14.440 --> 00:26:17.600]   Finder is just as bad
[00:26:17.920 --> 00:26:23.280]   So maybe there's something about these kinds of utilities that it just they're not well done
[00:26:23.280 --> 00:26:29.880]   I know what it is. That's the job you give to Joe. It's like who wants to code the explorer
[00:26:29.880 --> 00:26:35.240]   I'll let Joe do it. He just got out of college. He'll have fun with it
[00:26:35.240 --> 00:26:40.600]   It's not the it's not the job that the top of the line programmers want maybe you know
[00:26:40.600 --> 00:26:43.080]   That's my you don't you don't you don't hire someone who?
[00:26:43.600 --> 00:26:51.600]   Who was topping their classes Stanford and hire them away from from another prestigious career by saying we're gonna put you in charge of
[00:26:51.600 --> 00:26:55.320]   Making it makes sense how you move files from one device to another
[00:26:55.320 --> 00:27:05.880]   My PhD work was about this new type of I drop that gives you AR just through this liquid coating over the splitter of your eye
[00:27:05.880 --> 00:27:11.380]   Manage and trying to drive a Ireland manager can write stupid
[00:27:12.080 --> 00:27:17.920]   That's a great idea, but we really need to check button on the files and the iPad
[00:27:17.920 --> 00:27:25.480]   As a 20% project. Yeah, we will we will see some interesting changes however in iOS 15
[00:27:25.480 --> 00:27:29.560]   I'm very excited about I'm certain the big things were happening in the next year and iPad OS
[00:27:29.560 --> 00:27:34.280]   But this this would have been a great year for them to like make the great things happen or at least show off thing
[00:27:34.280 --> 00:27:41.520]   Great things they hope to happen in 2022 on iOS 15 is good though like there are some there are some good things on the iPad this year
[00:27:42.520 --> 00:27:47.480]   But they're not there yet. Oh, you mean like even with iOS 14 iPad OS 14
[00:27:47.480 --> 00:27:51.920]   No iPad OS 15 likes yes, just the way they are everything's gonna get better. Yes
[00:27:51.920 --> 00:27:55.280]   multitasking was like our can't like arcane spellcraft
[00:27:55.280 --> 00:28:01.400]   I never use you have to figure out just the exact time to not pull an app off the dock or to delete it by accident
[00:28:01.400 --> 00:28:04.320]   Or to launch it but to pull it into the window you wanted
[00:28:04.320 --> 00:28:10.780]   And God help you if you wanted to put it into slide over immediately or change a setup you already had and they fixed so much of that
[00:28:11.160 --> 00:28:18.120]   Absolutely, I can't isn't it. I'm right almost I'm so close to doing the public beta on iPad OS 15 doing the beta
[00:28:18.120 --> 00:28:20.840]   It's good. I'll wait till you see it's okay
[00:28:20.840 --> 00:28:26.320]   Isn't it bizarre that all that all that was for me at least 20% of that is just by oh wow
[00:28:26.320 --> 00:28:32.000]   You actually gave me keyboard shortcuts for managing multitasking operations. Yes like wow
[00:28:32.000 --> 00:28:35.000]   1988 rocks
[00:28:35.000 --> 00:28:39.720]   And more than that like for everything like they gave keyboard like this it's fully bounced almost everything now
[00:28:39.720 --> 00:28:45.560]   It's like they did the promise of that two years ago saying every every feature should be accessible to everybody no matter what the input method is
[00:28:45.560 --> 00:28:47.720]   trackpad keyboard voice
[00:28:47.720 --> 00:28:52.640]   You know touch all of those should be co-equal, but it's taking a while. Yeah
[00:28:52.640 --> 00:28:59.240]   Public beta is app for iOS 14 7 watch OS 6 7 6 Mac OS 11 5
[00:28:59.240 --> 00:29:02.160]   But not for moderate
[00:29:02.160 --> 00:29:08.440]   There is a when is the public beta for moderate and I pass July July it'll be July
[00:29:08.440 --> 00:29:11.640]   It's usually like a month after they get they get the first developer seeds
[00:29:11.640 --> 00:29:15.600]   The first developer seed comes out at the dub dub at that day and then there's usually one
[00:29:15.600 --> 00:29:21.160]   One or two like hot fixes, you know the ones that come in ones that come in red and not blue
[00:29:21.160 --> 00:29:27.480]   I'm gonna violate they've weighed the public. I'm gonna violate my own rules and probably do that because I have that top of the line
[00:29:27.480 --> 00:29:32.120]   M1 iPad and I really want to use it to its fullest extent
[00:29:32.120 --> 00:29:36.000]   So maybe I'll put that a few rings, but it hasn't been catastrophic
[00:29:36.000 --> 00:29:40.720]   Okay, so it's good to know it's because it'll be even more stable for the public beta. I'm sure
[00:29:40.720 --> 00:29:46.520]   If you plug it, this is from scooter X an ntfs formatted ntfs
[00:29:46.520 --> 00:29:50.960]   That's windows file system formatted stick into the iPad. You can now be rid of it the files app
[00:29:50.960 --> 00:29:55.880]   No, it's read only no, right, but that's kind of like the iMac
[00:29:55.880 --> 00:30:00.800]   He also points out and you'll be happy to know there is a progress bar on
[00:30:00.800 --> 00:30:03.280]   The files app on a high OS
[00:30:04.080 --> 00:30:10.720]   15 progress circle on top of the document icon. Yeah, so some steps are being made in the red direction
[00:30:10.720 --> 00:30:13.920]   I agreed the multitasking is gonna be very interesting. I you know, I
[00:30:13.920 --> 00:30:17.120]   have some weird fetish for note-taking apps and
[00:30:17.120 --> 00:30:22.800]   Yes, and I'm really interested by this corner slide up with the notes
[00:30:22.800 --> 00:30:23.720]   I
[00:30:23.720 --> 00:30:28.680]   Quick notes quick notes and the fact that it goes and I really feel like I might that's something
[00:30:28.680 --> 00:30:33.280]   I might actually use all the and it persists if you go back to a web page your quick note for that web page
[00:30:33.280 --> 00:30:36.000]   I love that that looked super powerful
[00:30:36.000 --> 00:30:42.080]   Super good. The other thing that makes it all work so good is the live text is so so well done
[00:30:42.080 --> 00:30:43.880]   Like it's it's instant
[00:30:43.880 --> 00:30:48.760]   It's it's always actually live because they can use those neural engine processors on the devices that have them
[00:30:48.760 --> 00:30:54.120]   So it'll go back in time and go through your existing photo library the way it did with face recognition
[00:30:54.120 --> 00:31:00.800]   For example, but it'll also if you go to a web page with a photo on it'll make that photo instantly available in live text as well
[00:31:00.800 --> 00:31:05.640]   And they trained it with these models that had just all these different types of typeface and handwriting
[00:31:05.640 --> 00:31:08.440]   And then they went through and distorted it and trained it again
[00:31:08.440 --> 00:31:13.960]   Scooted it just trained it again elongated it wrapped it around circles that all these things and kept training it
[00:31:13.960 --> 00:31:19.320]   So like you have blurry little text things and you can not only caught, you know
[00:31:19.320 --> 00:31:22.280]   Select them copy them if they're data detectors
[00:31:22.280 --> 00:31:29.520]   You can click the email address or the phone number all of these things it just it unlocks all the informational content in every photo
[00:31:29.520 --> 00:31:33.920]   You've ever taken so somebody told me that the WWDC for live text
[00:31:33.920 --> 00:31:38.720]   They showed the Simpsons it reading the Simpsons blackboard. Is that did you see that?
[00:31:38.720 --> 00:31:42.320]   Yeah, it's so good. Is that was that a keynote? Oh?
[00:31:42.320 --> 00:31:48.640]   Was that I was today they do it session that was a session though. Yeah, that's really really cool
[00:31:48.640 --> 00:31:53.000]   Yeah, and this is I just have a screen class. I'm sorry go ahead to me
